Orthogroup	Arabidopsis_thaliana_rna_prot	Brassica_napus_rna_prot
OG0000497	NM_114529.6.p1	XM_013787111.3.p1
OG0000497	NM_001345358.1.p1	XM_013877144.3.p1, XM_048752198.1.p1, XM_048752201.1.p1, XM_048752202.1.p1, XM_022693338.2.p1, XM_013859228.3.p1, XM_013889079.3.p1, XM_022695900.2.p1
OG0000497	NM_129529.4.p1, NM_001336792.1.p1	XM_013821688.3.p1, XM_022719158.2.p1, XM_013831130.3.p1, XM_048775758.1.p1, XM_013861534.3.p1
OG0000498	NM_125093.6.p1	XM_013829538.3.p1, XM_048747104.1.p1, XM_048742925.1.p1, XM_048768805.1.p1, XR_007328858.1.p1
OG0000498	NM_119136.4.p1, NM_001341980.1.p1	XM_048781197.1.p1, XM_048745347.1.p1, XM_013882796.3.p1, XM_048763231.1.p1
OG0000498	NM_113013.5.p1	XM_048744469.1.p1, XM_013829591.3.p1, XM_048774347.1.p1, XM_048758833.1.p1
OG0000499	NM_122400.3.p1, NM_001343904.1.p1	XM_013848164.3.p1
OG0000499	NM_001343903.1.p1, NM_122399.3.p1	XM_048748331.1.p1
OG0000500	NM_124149.4.p1	XM_013841963.3.p1, XM_013851709.3.p1
OG0000500	NM_118795.4.p1	XM_013886426.3.p1, XM_022694793.2.p1
OG0000500	NM_001345171.1.p1, NM_124973.5.p1	XM_013827264.3.p1, XM_048773271.1.p1, XM_048752323.1.p1, XM_013841290.3.p1, XM_048751203.1.p1, XM_013820717.3.p1
OG0000501	NM_125589.5.p1, NM_001345513.1.p1, NM_001345512.1.p1	XM_048781868.1.p1, XM_048771484.1.p1, XM_048771485.1.p1, XM_048781869.1.p1, XM_048771486.1.p1, XM_048747267.1.p1, XM_048747266.1.p1
OG0000501	NM_120811.5.p1	XM_013860176.3.p1, XM_022688784.2.p1
OG0000502	NM_104390.2.p1	XM_048773911.1.p1, XM_013784935.3.p1, XR_002664830.2.p1
OG0000503	NM_119022.3.p1	XM_048781765.1.p1
OG0000503	NM_111300.4.p1	XM_048758593.1.p1, XM_013880307.3.p1
OG0000503	NM_122861.4.p1	XM_013854972.3.p1
OG0000504	NM_115014.5.p1	XM_048771816.1.p1, XM_048775834.1.p1, XM_048745928.1.p1, XM_048741058.1.p1, XM_048764546.1.p1
OG0000505	NM_120055.5.p1	XM_048744973.1.p1, XM_048734977.1.p1
OG0000505	NM_127702.4.p1	XM_013888066.3.p1, XM_013861630.3.p1, XM_048741548.1.p1, XM_013856471.3.p1
OG0000507	NM_129548.4.p1	XM_013837026.3.p1, XM_013879111.3.p1, XM_013879113.3.p1
OG0000507	NM_001035791.1.p1, NM_115435.6.p1, NM_001035793.2.p1	XM_013800467.3.p1, XM_013816708.3.p1
OG0000507	NM_001036468.2.p1, NM_130143.4.p1	XM_013832818.3.p1, XM_022719102.2.p1
OG0000507	NM_115987.4.p1	XM_048778297.1.p1, XM_048741348.1.p1, XM_013856990.3.p1, XM_048760245.1.p1
OG0000507	NM_100061.3.p1	XM_013796251.3.p1, XM_013874970.3.p1, XM_013866710.3.p1
OG0000508	NM_001084952.2.p1	XM_013840305.3.p1
OG0000508	NM_001340518.1.p1	XM_022691774.2.p1, XM_013855345.3.p1
OG0000508	NM_001338629.1.p1, NM_001338630.1.p1	XM_013829978.3.p1, XM_013855461.3.p1, XM_013796035.3.p1, XM_022705366.2.p1, XM_022704877.2.p1
OG0000508	NM_128906.3.p1	XM_048778426.1.p1, XM_048780735.1.p1, XM_013896841.3.p1
OG0000508	NM_001035876.2.p1	XM_013810781.3.p1, XM_013837560.3.p1
OG0000508	NM_001036663.2.p1	XM_048741978.1.p1
OG0000509	NM_119652.3.p1, NM_001036713.3.p1	XM_013800707.3.p1, XM_048738836.1.p1, XM_048750369.1.p1, XM_048778956.1.p1, XM_013815160.3.p1
OG0000509	NM_001036066.2.p1, NM_202796.2.p1, NM_179419.4.p1	XM_048780331.1.p1, XM_048738506.1.p1
OG0000509	NM_117019.5.p1	XM_048776008.1.p1, XM_048750937.1.p1
OG0000509	NM_001332556.1.p1, NM_102112.4.p1	XM_013870482.3.p1
OG0000509	NM_105858.1.p1	XM_013796892.3.p1
OG0000510	NM_001345629.1.p1, NM_001345630.1.p1, NM_001037063.2.p1, NM_125842.4.p1	XM_048781965.1.p1, XM_048781966.1.p1, XM_013817448.3.p1
OG0000510	NM_104608.4.p1, NM_179495.3.p1, NM_001198334.1.p1	XM_022719410.2.p1, XM_013891014.3.p1, XM_013816775.3.p1, XM_013816774.3.p1
OG0000510	NM_127283.6.p1	XM_013887536.3.p1
OG0000511	NM_001343316.1.p1, NM_121417.5.p1	XM_013806955.3.p1, XM_013859424.3.p1, XM_022693548.2.p1
OG0000511	NM_119916.4.p1	XM_013832623.3.p1, XM_048745009.1.p1
OG0000511	NM_119917.3.p1, NM_001085039.1.p1	XM_013873532.3.p1, XM_013847780.3.p1
OG0000511	NM_114856.3.p1, NM_126140.3.p1	XM_013853031.3.p1, XM_048749266.1.p1
OG0000511	NM_127455.4.p1, NM_119163.3.p1	XM_013840381.3.p1, XM_013886173.3.p1
OG0000512	NM_001341623.1.p1	XM_013883199.2.p1, XM_048744101.1.p1, XM_048737820.1.p1, XM_013894343.3.p1, XM_013879618.2.p1, XM_022706384.2.p1
OG0000512	NM_117193.3.p1	XM_022716158.2.p1, XM_013828655.2.p1
OG0000512	NM_123524.4.p1, NM_001198378.2.p1, NM_105082.5.p1	XM_013825199.3.p1, XM_013829446.2.p1
OG0000512	NM_001340109.1.p1, NM_116021.4.p1	XM_013847002.3.p1, XM_013792993.3.p1
OG0000512	NM_001125061.2.p1, NM_130179.3.p1	XM_013892419.3.p1
OG0000513	NM_001198152.1.p1, NM_180622.3.p1	XM_013804377.3.p1, XM_013799723.3.p1, XM_013866141.3.p1, XM_013804193.3.p1, XM_022714754.2.p1
OG0000513	NM_111098.4.p1	XM_048746039.1.p1, XM_013822948.3.p1
OG0000513	NM_001125758.2.p1, NM_121585.4.p1	XM_013812339.3.p1, XM_013874090.3.p1
OG0000514	NM_202961.5.p1	XM_048737812.1.p1, XM_048751253.1.p1, XM_048751252.1.p1, XM_048737813.1.p1, XM_013786485.3.p1, XM_013791186.3.p1
OG0000514	NM_100609.4.p1, NM_001331694.1.p1, NM_001331693.1.p1	XM_022702790.2.p1, XM_013831685.3.p1, XM_048743524.1.p1
OG0000515	NM_116402.4.p1	XM_013867313.3.p1
OG0000515	NM_001340482.1.p1, NM_116683.3.p1	XM_022699318.2.p1, XM_013814831.3.p1, XM_013804046.3.p1
OG0000515	NM_104910.3.p1	XM_013884405.3.p1, XM_048753773.1.p1, XM_022700788.2.p1, XM_013842100.3.p1
OG0000516	NM_203193.3.p1, NM_180840.2.p1, NM_001344938.1.p1	XM_022712411.2.p1, XM_048754433.1.p1, XM_022709204.2.p1, XM_022709203.2.p1, XM_013847526.3.p1, XM_013847525.3.p1
OG0000516	NM_117313.2.p1, NM_118385.4.p1	XM_013816624.3.p1, XM_048763028.1.p1, XM_013882103.3.p1
OG0000517	NM_101527.4.p1	XM_013827475.3.p1, XM_048766417.1.p1, XM_013852634.3.p1, XM_013786175.3.p1, XM_013854772.3.p1, XM_013854878.3.p1
OG0000519	NM_179573.4.p1, NM_106560.4.p1	XM_013786181.3.p1, XM_013805024.3.p1, XM_048736405.1.p1, XM_013794794.3.p1, XM_013793171.3.p1, XM_013846408.2.p1
OG0000519	NM_117586.4.p1	XM_013809331.3.p1, XR_001274147.3.p1, XM_013812997.3.p1
OG0000519	NM_113125.4.p1	XM_013792448.3.p1, XM_048774026.1.p1, XM_013858877.3.p1, XM_013896031.3.p1, XM_022695117.2.p1
OG0000520	NM_001331644.1.p1, NM_001035904.2.p1	XM_013860828.3.p1, XM_022703331.2.p1, XM_013841005.3.p1, XM_048743497.1.p1
OG0000520	NM_001336284.1.p1, NM_001336287.1.p1, NM_001336293.1.p1, NM_001336292.1.p1, NM_001336291.1.p1, NM_001336288.1.p1, NM_001336297.1.p1, NM_001336294.1.p1, NM_001336295.1.p1	XM_013788109.3.p1, XM_013867114.3.p1, XM_013878483.3.p1, XM_013827789.3.p1, XM_013893334.3.p1, XM_022719331.2.p1, XM_048754298.1.p1
OG0000520	NM_129885.3.p1, NM_001202811.1.p1	XM_013835444.3.p1, XM_048753351.1.p1
OG0000520	NM_001339966.1.p1, NM_115797.6.p1, NM_001339968.1.p1, NM_180389.3.p1	XM_048764799.1.p1, XM_013808289.3.p1, XM_013808290.3.p1, XM_048764802.1.p1, XM_048764801.1.p1, XM_048764803.1.p1, XM_048735646.1.p1, XM_013792849.3.p1, XM_013792850.3.p1, XM_013877774.3.p1, XM_048753713.1.p1, XM_013886651.3.p1
OG0000521	NM_001341682.1.p1, NM_001341680.1.p1	XM_022712229.2.p1, XM_048763376.1.p1, XM_013788757.3.p1, XM_013883840.3.p1, XM_048744153.1.p1
OG0000521	NM_001125741.1.p1, NM_121253.5.p1	XM_013865343.3.p1
OG0000521	NM_001036828.2.p1, NM_121944.3.p1	XM_013807743.3.p1, XM_013807742.3.p1, XM_013811917.3.p1, XM_013811918.3.p1, XM_048746468.1.p1, XM_013820592.3.p1, XM_013866509.3.p1, XM_013866507.3.p1
OG0000522	NM_100666.4.p1, NM_100667.4.p1, NM_001345413.1.p1, NM_001331742.1.p1, NM_001331743.1.p1, NM_001084014.1.p1	XM_013860892.3.p1, XM_013840464.3.p1, XM_048746601.1.p1, XM_022700419.2.p1, XM_013841158.3.p1, XM_048741900.1.p1, XM_013785674.3.p1, XM_013840462.3.p1, XM_048752176.1.p1, XM_013802122.3.p1, XM_048754460.1.p1
OG0000523	NM_001343955.1.p1	XM_048761943.1.p1
OG0000523	NM_121211.4.p1	XM_013884666.3.p1, XM_013870623.3.p1, XM_013798337.3.p1, XM_048742390.1.p1, XM_048769272.1.p1
OG0000523	NM_113026.2.p1	XM_048774295.1.p1, XM_013836275.3.p1
OG0000523	NM_001084230.3.p1, NM_104056.4.p1	XM_013791075.3.p1, XM_013897056.3.p1
OG0000523	NM_121622.4.p1	XM_013810519.3.p1, XM_013794399.3.p1, XM_022711802.2.p1, XM_013873930.3.p1
OG0000523	NM_001331935.1.p1	XM_048782141.1.p1, XM_022702692.2.p1
OG0000524	NM_001198053.1.p1, NM_001332066.1.p1, NM_101206.5.p1, NM_115224.1.p1, NM_113486.7.p1, NM_001084739.2.p1	XM_048762807.1.p1, XM_048762809.1.p1, XR_007328793.1.p1, XM_048770711.1.p1, XM_048768699.1.p1
OG0000525	NM_001198475.1.p1, NM_106215.4.p1	XM_048762465.1.p1, XM_048736805.1.p1, XM_013786555.2.p1, XM_013786465.2.p1, XM_013882487.3.p1, XM_013874028.3.p1
OG0000525	NM_120052.3.p1	XM_013800711.3.p1, XR_002654936.2.p1, XM_013851347.3.p1, XM_013870177.3.p1, XM_013869531.3.p1, XM_013792520.3.p1
OG0000525	NM_127205.5.p1	XM_013869533.3.p1
OG0000526	NM_127815.4.p1	XM_013808686.3.p1, XM_013870109.3.p1
OG0000526	NM_121082.5.p1, NM_001343114.1.p1	XM_013810671.3.p1, XM_013843900.3.p1
OG0000526	NM_001203691.1.p1, NM_125940.3.p1, NM_001203690.2.p1, NM_001345680.1.p1	XM_048753757.1.p1, XM_013886255.3.p1, XM_013854852.3.p1, XM_013854853.3.p1, XM_013787614.3.p1, XM_013858447.3.p1
OG0000527	NM_001335820.1.p1	XM_013832893.3.p1, XM_048741512.1.p1, XM_022707515.2.p1
OG0000528	NM_001338261.1.p1, NM_001338263.1.p1	XM_048772554.1.p1
OG0000528	NM_001338262.1.p1, NM_112554.3.p1	XM_022687792.2.p1, XM_048770520.1.p1, XM_013840210.3.p1
OG0000528	NM_180755.2.p1, NM_122675.4.p1, NM_001344046.1.p1	XM_022702442.2.p1, XM_048773387.1.p1, XM_022697234.2.p1, XM_022714216.2.p1
OG0000528	NM_202501.3.p1, NM_111437.3.p1, NM_001337595.1.p1	XM_013822193.3.p1, XM_048775430.1.p1
OG0000529	NM_124370.4.p1	XM_022716112.2.p1, XM_013828574.3.p1, XM_013789885.3.p1, XM_022703954.2.p1, XM_013845749.3.p1
OG0000529	NM_105732.3.p1	XM_013845364.3.p1
OG0000529	NM_001338809.1.p1, NM_180301.4.p1, NM_113558.5.p1, NM_001338810.1.p1, NM_202637.3.p1, NM_202636.2.p1, NM_001338808.1.p1	XM_013850890.3.p1, XM_048781200.1.p1
OG0000529	NM_125707.4.p1, NM_001345579.1.p1	XM_013805755.3.p1, XM_013848507.3.p1, XM_013791580.3.p1, XM_013863467.3.p1
OG0000529	NM_114694.3.p1	XM_022693130.2.p1
OG0000530	NM_105533.2.p1	XM_013845632.3.p1, XM_013793870.3.p1
OG0000530	NM_105535.4.p1	XM_022694272.2.p1, XM_013877683.3.p1, XM_013796783.3.p1, XM_013846128.3.p1, XM_013793872.3.p1
OG0000530	NM_103796.4.p1, NM_112730.4.p1, NM_112731.1.p1	XM_022720167.2.p1, XM_013896141.3.p1
OG0000531	NM_101994.1.p1	XM_013792121.2.p1
OG0000531	NM_103784.2.p1	XM_048781994.1.p1, XM_013819674.3.p1
OG0000533	NM_001337357.1.p1, NM_111043.3.p1, NM_121431.3.p1, NM_001343329.1.p1, NM_001203056.2.p1, NM_113640.2.p1, NM_001338863.1.p1, NM_001338864.1.p1	XM_048739289.1.p1, XM_013789209.3.p1, XM_048762096.1.p1
OG0000533	NM_001161321.1.p1, NM_001161320.2.p1, NM_125727.6.p1	XR_002660332.2.p1, XM_013872041.3.p1, XM_013872039.3.p1, XM_013849834.3.p1, XM_022706247.2.p1, XM_013805761.3.p1
OG0000534	NM_001333080.1.p1, NM_001333079.1.p1, NM_103124.4.p1	XM_048780354.1.p1, XM_048738996.1.p1, XM_048761752.1.p1, XM_048758825.1.p1
OG0000534	NM_117049.5.p1, NM_001340637.1.p1	XM_013879683.3.p1
OG0000534	NM_179196.2.p1, NM_001204038.1.p1, NM_120099.4.p1	XM_048744981.1.p1, XM_013880322.3.p1, XM_048777590.1.p1, XM_013801256.3.p1, XM_013821931.3.p1
OG0000535	NM_001332686.1.p1	XM_013853587.3.p1, XM_048763552.1.p1
OG0000535	NM_105543.6.p1, NM_001334378.1.p1	XM_013793877.3.p1, XM_013793648.3.p1, XM_022703981.2.p1
OG0000535	NM_113459.2.p1	XM_013789351.3.p1, XM_013872095.3.p1
OG0000535	NM_101192.3.p1	XM_013785769.3.p1, XM_013838460.3.p1, XM_013841428.3.p1, XM_013855975.3.p1
OG0000535	NM_001338915.1.p1, NM_113703.3.p1, NM_001338914.1.p1	XM_013789160.3.p1, XM_022706509.2.p1
OG0000536	NM_104270.3.p1	XM_013799149.3.p1
OG0000536	NM_001333621.1.p1, NM_104272.2.p1, NM_123464.2.p1	XM_048781746.1.p1
OG0000536	NM_104276.1.p1	XM_013877426.3.p1, XM_013814915.3.p1, XM_013877143.3.p1, XM_013859388.3.p1
OG0000536	NM_001338115.1.p1	XM_013834314.3.p1
OG0000537	NM_001334569.1.p1, NM_105973.4.p1	XM_013839994.3.p1
OG0000537	NM_101642.3.p1	XM_013786294.3.p1, XM_013832197.3.p1
OG0000537	NM_179270.2.p1	XM_048772988.1.p1, XM_022690483.2.p1, XR_002660371.2.p1, XR_007317443.1.p1, XM_048743484.1.p1
OG0000538	NM_117567.4.p1	XM_022718802.2.p1, XM_022718803.2.p1
OG0000538	NM_113159.4.p1	XM_013864237.3.p1, XM_013881111.3.p1, XM_013818949.3.p1, XM_013791274.3.p1, XM_048744405.1.p1, XR_007339404.1.p1, XM_013829518.3.p1
OG0000538	NM_001337299.1.p1, NM_001337300.1.p1, NM_001337298.1.p1, NM_130380.3.p1, NM_001337297.1.p1	XM_013877117.3.p1
OG0000539	NM_117730.3.p1	XM_048746242.1.p1, XM_013888196.3.p1, XM_013888228.3.p1, XM_013888203.3.p1, XM_013888219.3.p1
OG0000539	NM_118791.4.p1, NM_001341813.1.p1	XM_013882658.3.p1, XM_048781685.1.p1, XM_013869066.3.p1
OG0000539	NM_124981.4.p1, NM_001345176.1.p1	XM_013829975.3.p1, XM_013820711.3.p1, XM_048773237.1.p1, XM_048773233.1.p1, XM_048752317.1.p1, XM_048752316.1.p1
OG0000540	NM_125672.3.p1	XM_013865580.3.p1, XM_013845405.3.p1, XM_013842134.3.p1
OG0000540	NM_113704.4.p1	XM_013891347.3.p1, XM_013864894.3.p1, XM_013865414.3.p1, XM_013819704.3.p1, XM_013789159.3.p1, XM_022707215.2.p1
OG0000540	NM_102219.3.p1	XM_048740951.1.p1, XM_013842631.3.p1
OG0000540	NM_105710.3.p1	XM_013857664.3.p1, XM_013858443.3.p1, XM_013847166.3.p1
OG0000541	NM_127505.5.p1	XM_048739657.1.p1, XM_013877297.3.p1, XM_013847930.3.p1
OG0000541	NM_118743.3.p1	XM_022694785.2.p1, XM_013816126.3.p1
OG0000541	NM_148142.3.p1	XM_013817801.3.p1, XM_013817800.3.p1, XM_022700840.2.p1, XM_022698832.2.p1, XM_013877467.3.p1, XM_013811574.3.p1, XM_013857270.3.p1
OG0000541	NM_105930.3.p1	XM_022704013.2.p1, XM_013837005.3.p1, XM_013821184.3.p1, XM_013794122.3.p1, XM_013846189.3.p1
OG0000542	NM_179884.4.p1, NM_128922.3.p1, NM_201861.3.p1	XM_013889040.3.p1, XM_013828018.3.p1, XM_013828016.3.p1, XM_013889060.3.p1, XM_013815839.3.p1, XM_048754988.1.p1
OG0000547	NM_115889.5.p1, NM_001340030.1.p1	XM_013792803.3.p1, XM_022707689.2.p1
OG0000547	NM_001337093.1.p1, NM_130032.3.p1	XM_013879327.3.p1, XM_013892536.3.p1, XM_013892541.3.p1, XM_013836182.3.p1
OG0000547	NM_124079.4.p1, NM_001036949.1.p1	XM_013821822.3.p1, XM_013793373.3.p1
OG0000547	NM_001203828.2.p1	XM_013870273.3.p1, XM_013855470.3.p1, XM_022716772.2.p1, XM_013881843.3.p1
OG0000548	NM_001123786.1.p1	XM_013796064.3.p1
OG0000548	NM_100934.4.p1, NM_001331914.1.p1	XM_013799900.3.p1, XM_013860728.3.p1, XM_013826908.3.p1, XM_013820891.3.p1, XM_013796062.3.p1
OG0000549	NM_001335206.1.p1, NM_001124788.2.p1, NM_001335204.1.p1, NM_201683.3.p1, NM_126427.4.p1	XM_048781232.1.p1, XM_048781231.1.p1, XM_048781234.1.p1, XM_022687929.2.p1, XM_013789338.3.p1
OG0000550	NM_180387.2.p1, NM_115726.3.p1	XM_048737096.1.p1, XM_013868957.3.p1, XM_013837131.3.p1, XM_013808205.3.p1
OG0000550	NM_001202717.2.p1	XM_013827774.3.p1, XM_013878475.3.p1, XM_048778871.1.p1, XM_048753999.1.p1
OG0000551	NM_001338572.1.p1, NM_001203017.2.p1, NM_001338571.1.p1	XM_048772920.1.p1, XM_013881329.3.p1, XM_048744414.1.p1, XM_048737257.1.p1, XM_013784714.3.p1, XM_013881132.3.p1
OG0000552	NM_126398.4.p1	XM_048781254.1.p1, XM_013837291.3.p1
OG0000552	NM_101254.4.p1, NM_001332094.1.p1	XM_013822357.3.p1, XM_013801905.3.p1, XM_048741755.1.p1, XM_013809216.3.p1, XM_013852361.3.p1
OG0000552	NM_001332716.1.p1, NM_001332715.1.p1, NM_102420.4.p1	XM_048737997.1.p1, XM_048737996.1.p1, XM_013786615.3.p1, XM_022703792.2.p1
OG0000553	NM_001334724.1.p1, NM_106284.5.p1	XM_048736302.1.p1, XM_013847061.3.p1
OG0000553	NM_101915.3.p1, NM_001332454.1.p1	XM_013882465.3.p1, XM_013871979.3.p1, XM_013797968.3.p1, XM_013852001.3.p1, XM_022687327.2.p1, XM_048782532.1.p1, XM_048756735.1.p1, XM_048756734.1.p1
OG0000553	NM_001335542.1.p1, NM_001335540.1.p1, NM_127269.3.p1, NM_001335539.1.p1	XM_048737316.1.p1, XM_022706014.2.p1, XM_013808937.3.p1, XM_048735047.1.p1, XR_007314419.1.p1, XM_013822012.3.p1
OG0000553	NM_119693.5.p1, NM_001342333.1.p1	XM_022717089.2.p1, XM_013787798.3.p1, XM_048778790.1.p1, XM_013815128.3.p1
OG0000554	NM_128394.5.p1, NM_001336164.1.p1	XM_022715293.2.p1, XM_013836968.3.p1
OG0000554	NM_119154.5.p1	XM_048781173.1.p1, XM_013892562.3.p1, XM_048764649.1.p1
OG0000555	NM_001340247.1.p1, NM_116269.4.p1	XM_013875807.3.p1, XM_048768536.1.p1, XM_013879808.3.p1, XM_013879813.3.p1, XM_048750014.1.p1, XM_013828838.3.p1
OG0000555	NM_001337158.1.p1	XM_013892658.3.p1, XM_013892765.3.p1, XM_013894214.3.p1, XM_013832805.3.p1
OG0000555	NM_116002.4.p1, NM_001340090.1.p1	XM_013852530.3.p1, XM_013856563.3.p1, XM_022717833.2.p1, XM_022717834.2.p1, XM_013788901.3.p1
OG0000556	NM_106723.5.p1	XM_013793130.3.p1, XM_013843087.3.p1, XM_013870416.3.p1, XM_013821473.3.p1
OG0000556	NM_126186.4.p1	XM_013789419.3.p1, XM_013828814.3.p1, XM_013872907.3.p1
OG0000556	NM_180080.2.p1, NM_180079.4.p1	XM_013836375.3.p1, XM_013836374.3.p1, XM_013879307.3.p1, XM_013869949.3.p1, XM_048778789.1.p1, XM_022718545.2.p1
OG0000557	NM_001341701.1.p1, NM_001341705.1.p1, NM_001341702.1.p1, NM_202881.2.p1	XM_013815776.3.p1
OG0000557	NM_001341703.1.p1, NM_001341699.1.p1, NM_001341700.1.p1, NM_118607.3.p1	XM_013815775.3.p1
OG0000557	NM_180364.4.p1	XM_013805702.3.p1, XM_013822865.3.p1, XM_013792477.3.p1, XM_013846839.3.p1
OG0000558	NM_124221.3.p1	XM_013805306.3.p1
OG0000558	NM_001341828.1.p1, NM_001341827.1.p1, NM_001341826.1.p1, NM_001341829.1.p1	XM_048742543.1.p1, XM_013869054.3.p1
OG0000558	NM_001345125.1.p1, NM_001345124.1.p1	XM_013785228.3.p1, XM_022712776.2.p1
OG0000558	NM_126505.1.p1	XM_013891037.3.p1, XM_048769939.1.p1
OG0000558	NM_122961.4.p1	XM_013859716.3.p1, XM_013865713.2.p1
OG0000559	NM_101243.5.p1	XM_022720708.2.p1, XM_013809206.3.p1, XM_048771160.1.p1
OG0000559	NM_001344892.1.p1, NM_124422.4.p1, NM_118621.4.p1	XM_013884083.3.p1
OG0000560	NM_126158.3.p1, NM_180955.3.p1	XM_022715157.2.p1, XM_013856419.3.p1, XM_022717108.2.p1, XM_013787838.2.p1, XM_013885497.3.p1
OG0000560	NM_202269.2.p1, NM_179458.3.p1, NM_103882.4.p1	XM_013865115.3.p1, XM_048781062.1.p1, XM_022703953.2.p1, XM_013786765.3.p1
OG0000561	NM_121666.3.p1	XM_048748845.1.p1, XM_048770733.1.p1
OG0000561	NM_105294.3.p1	XM_013835266.3.p1
OG0000561	NM_118394.3.p1	XM_048762667.1.p1, XM_048740818.1.p1, XM_013884979.3.p1
OG0000561	NM_117305.5.p1	XM_013845572.3.p1
OG0000562	NM_130122.3.p1	XM_013896724.3.p1, XM_013830736.3.p1
OG0000562	NM_125612.3.p1	XM_048770326.1.p1, XM_022692336.2.p1, XM_013805656.3.p1
OG0000562	NM_130123.2.p1	XM_048753399.1.p1, XM_022720241.2.p1
OG0000564	NM_125370.4.p1	XM_013826661.3.p1
OG0000564	NM_180895.3.p1, NM_180894.4.p1	XM_048750212.1.p1, XM_048746640.1.p1, XM_013806303.3.p1, XM_048768984.1.p1, XM_048768985.1.p1, XM_048746641.1.p1, XM_048746630.1.p1, XM_048746629.1.p1, XM_048746637.1.p1, XM_048746638.1.p1, XM_048746635.1.p1, XM_048746636.1.p1, XM_048746639.1.p1, XM_048746633.1.p1, XM_048746631.1.p1, XM_048746628.1.p1, XM_013860338.3.p1
OG0000564	NM_001035739.2.p1, NM_114482.2.p1	XM_048749311.1.p1, XM_048734778.1.p1
OG0000565	NM_129294.4.p1	XM_013831213.3.p1, XM_013825172.3.p1, XM_013889290.3.p1
OG0000565	NM_001035775.2.p1	XM_013792476.3.p1, XM_013843423.3.p1, XM_013805716.3.p1, XM_013822871.3.p1
OG0000565	NM_128427.3.p1	XM_013891689.3.p1
OG0000566	NM_001035973.3.p1	XM_013856096.3.p1, XM_048782350.1.p1
OG0000566	NM_001334989.1.p1	XM_013816754.3.p1
OG0000566	NM_112458.5.p1, NM_001202976.1.p1, NM_001338190.1.p1	XM_048739083.1.p1, XM_013880868.3.p1
OG0000567	NM_115381.3.p1	XM_013886869.3.p1, XM_013821980.3.p1, XM_048754669.1.p1, XM_048754670.1.p1, XM_048754666.1.p1
OG0000567	NM_129501.3.p1	XM_022718410.2.p1, XM_013819549.3.p1, XM_013879141.3.p1, XM_048752600.1.p1, XM_013832175.3.p1, XM_013896768.3.p1
OG0000567	NM_001336184.1.p1, NM_001124932.1.p1	XM_013802118.3.p1, XM_013852394.3.p1, XM_048777821.1.p1, XM_013819336.3.p1, XM_013796361.3.p1, XM_013845759.3.p1
OG0000567	NM_113307.2.p1	XM_013892261.3.p1, XM_013897003.3.p1
OG0000567	NM_117432.3.p1	XM_048778345.1.p1, XM_013826474.3.p1, XM_048737667.1.p1, XM_013855801.3.p1
OG0000568	NM_001343861.1.p1, NM_001343863.1.p1, NM_001203448.2.p1, NM_122333.6.p1	XM_048746545.1.p1, XM_048746551.1.p1, XM_013803712.3.p1, XM_013853323.3.p1
OG0000568	NM_001334162.1.p1	XM_048769984.1.p1, XM_022711432.2.p1, XM_013804764.3.p1
OG0000569	NM_128799.4.p1	XM_048756534.1.p1, XM_048778394.1.p1, XM_048756533.1.p1, XM_013882174.3.p1, XM_013882175.3.p1, XM_013878635.3.p1, XM_013827919.3.p1
OG0000569	NM_001336391.1.p1	XM_048780773.1.p1, XM_013827917.3.p1
OG0000569	NM_100398.3.p1, NM_001331523.1.p1	XM_048741952.1.p1, XM_013811105.3.p1, XM_022693162.2.p1, XM_022702677.2.p1
OG0000570	NM_102724.3.p1, NM_114627.4.p1	XM_013892993.3.p1, XM_013836059.3.p1, XM_013836041.3.p1
OG0000570	NM_001339316.1.p1, NM_001339315.1.p1, NM_001339317.1.p1, NM_202668.2.p1	XM_048770604.1.p1, XM_013817387.3.p1, XM_013817389.3.p1
OG0000570	NM_001343220.1.p1	XM_048769264.1.p1, XM_013861017.3.p1, XM_022698599.2.p1, XM_013798322.3.p1
OG0000571	NM_121286.4.p1	XM_013812573.3.p1, XM_013812536.3.p1, XM_013812537.3.p1
OG0000571	NM_180522.3.p1, NM_121950.3.p1	XM_013807746.3.p1, XM_048769002.1.p1, XM_013838570.3.p1
OG0000571	NM_129750.4.p1	XM_013891951.3.p1, XM_013835812.3.p1, XM_048753312.1.p1
OG0000571	NM_115613.4.p1, NM_001339876.1.p1	XM_013792943.3.p1, XM_013851353.3.p1, XM_013808116.3.p1, XM_013856818.3.p1
OG0000572	NM_103120.4.p1	XM_048761747.1.p1, XM_022705820.2.p1, XM_022690874.2.p1, XM_022690875.2.p1, XM_013859697.3.p1, XM_048765749.1.p1, XM_022708322.2.p1, XM_022708323.2.p1, XM_022708321.2.p1, XM_013808304.3.p1, XM_048758831.1.p1, XM_013893876.3.p1, XM_022719552.2.p1
OG0000578	NM_102868.4.p1, NM_001036044.2.p1	XM_013789096.3.p1, XM_013867219.3.p1, XM_022689518.2.p1
OG0000578	NM_148358.3.p1, NM_179214.2.p1, NM_001341364.1.p1	XM_022690807.2.p1, XM_048734877.1.p1, XM_022690805.2.p1, XM_013814856.3.p1, XM_048745520.1.p1, XM_013885074.3.p1, XM_048773977.1.p1
OG0000579	NM_112361.5.p1	XM_013880831.3.p1, XM_013829400.3.p1, XM_022703413.2.p1, XM_048778043.1.p1
