Orthogroup	Arabidopsis_thaliana_rna_prot	Hordeum_vulgare_rna_prot
OG0001547	NM_201914.3.p1, NM_001084558.3.p1, NM_001336817.1.p1	XM_045104579.1.p1, XM_045103909.1.p1, XM_045092272.1.p1
OG0001548	NM_001343488.1.p1, NM_121736.3.p1, NM_123085.3.p1, NM_101691.9.p1, NM_001123832.2.p1, NM_148701.2.p1	XM_045100822.1.p1, XM_045100821.1.p1
OG0001549	NM_122143.3.p1, NM_114303.2.p1, NM_001125299.2.p1	XM_045117057.1.p1, XM_045117056.1.p1, XM_045106733.1.p1
OG0001550	NM_105057.3.p1, NM_123503.2.p1, NM_125392.3.p1, NM_001125990.2.p1	XM_045091497.1.p1, XM_045124897.1.p1
OG0001551	NM_104296.5.p1, NM_001160950.2.p1, NM_202580.2.p1, NM_122061.4.p1	XM_045091463.1.p1
OG0001552	NM_001161132.1.p1, NM_111937.5.p1, NM_001342605.1.p1, NM_120244.6.p1	XM_045119007.1.p1, XM_045091905.1.p1
OG0001553	NM_001335555.1.p1, NM_001202616.1.p1, NM_001342379.1.p1, NM_119756.5.p1	XM_045103018.1.p2
OG0001555	NM_001331450.1.p1, NM_100277.5.p1, NM_001331451.1.p1, NM_123776.4.p1, NM_104323.4.p1, NM_122768.2.p1, NM_122774.4.p1	XM_045114827.1.p1
OG0001556	NM_112631.3.p1, NM_001333318.1.p1, NM_001333319.1.p1, NM_001333316.1.p1, NM_202599.2.p1	XM_045108794.1.p1, XM_045108795.1.p1, XM_045107712.1.p1, XM_045107689.1.p1
OG0001557	NM_001334438.1.p1, NM_180642.2.p1, NM_001334437.1.p1, NM_001334440.1.p1, NM_001334439.1.p1, NM_105686.6.p1	XM_045110865.1.p1
OG0001558	NM_129185.4.p1, NM_001336591.1.p1	XM_045121698.1.p1
OG0001559	NM_121686.4.p1, NM_203064.3.p1, NM_111168.2.p1, NM_001337453.1.p1	XM_045099676.1.p1, XM_045099675.1.p1, XM_045099678.1.p1, XM_045099677.1.p1
OG0001560	NM_001342207.1.p1, NM_119478.7.p1, NM_001338116.1.p1	XM_045103553.1.p1, XM_045125458.1.p1, XM_045125457.1.p1, XM_045125451.1.p1
OG0001561	NM_001340008.1.p1, NM_001340009.1.p1, NM_129978.4.p1	XM_045104429.1.p1, XM_045104426.1.p1, XM_045104424.1.p1, XM_045104430.1.p1, XM_045104425.1.p1, XM_045104428.1.p1, XM_045104427.1.p1, XM_045090899.1.p1, XM_045090900.1.p1
OG0001563	NM_117141.6.p1, NM_001340683.1.p1, NM_118542.4.p1, NM_001341641.1.p1	XM_045115532.1.p1
OG0001564	NM_001342189.1.p1, NM_119452.4.p1	XM_045105091.1.p1, XM_045105092.1.p1
OG0001565	NM_001345172.1.p1, NM_001345173.1.p1, NM_124977.4.p1	XM_045096881.1.p1, XM_045104813.1.p1, XM_045104812.1.p1
OG0001566	NM_119205.3.p1, NM_001345279.1.p1, NM_001345280.1.p1, NM_122418.2.p1, NM_128063.5.p1, NM_119334.3.p1	XM_045106930.1.p1
OG0001567	NM_180931.2.p1, NM_125820.3.p1	XM_045122009.1.p1
OG0001567	NM_100097.5.p1	XM_045115834.1.p1
OG0001568	NM_124262.4.p1, NM_100355.4.p1, NM_123800.1.p1	XM_045106761.1.p1
OG0001569	NM_202067.2.p1, NM_100768.4.p1, NM_202301.2.p1, NM_104356.3.p1	XM_045093637.1.p1
OG0001570	NM_103488.4.p1, NM_101732.3.p1, NM_106105.2.p1	XM_045112731.1.p1, XM_045092751.1.p1
OG0001571	NM_101943.2.p1, NM_106300.4.p1, NM_119705.3.p1	XM_045098663.1.p1, XM_045101087.1.p1
OG0001572	NM_102355.5.p1, NM_105523.3.p1	XM_045098575.1.p1, XM_045102243.1.p1
OG0001574	NM_129238.4.p1, NM_113559.4.p1	XM_045127003.1.p1
OG0001575	NM_121062.5.p1, NM_180941.3.p1	XM_045128520.1.p1, XM_045126943.1.p1
OG0001575	NM_114602.4.p1, NM_180332.1.p1, NM_180333.1.p1	XM_045118829.1.p1, XM_045091980.1.p1, XM_045091981.1.p1
OG0001576	NM_115367.3.p1, NM_129492.3.p1, NM_121361.3.p1, NM_115211.5.p1	XM_045117119.1.p1, XM_045091303.1.p1, XM_045091579.1.p1, XM_045123192.1.p1
OG0001577	NM_117989.4.p1, NM_115732.4.p1, NM_123945.4.p1, NM_180045.4.p1	XM_045119336.1.p1, XM_045111585.1.p1
OG0001578	NM_116478.5.p1	XM_045100260.1.p1
OG0001579	NM_118953.2.p1, NM_201769.3.p1, NM_179676.3.p1	XM_045104459.1.p1, XM_045112439.1.p1
OG0001580	NM_119391.2.p1, NM_128109.3.p1, NM_122449.2.p1, NM_121161.3.p1	XM_045121416.1.p1, XM_045120546.1.p1
OG0001581	NM_120166.2.p1	XM_045106191.1.p3, XM_045093973.1.p1, XM_045126957.1.p1, XM_045110774.1.p1, XM_045096435.1.p1, XM_045100497.1.p1, XM_045120946.1.p1, XM_045120947.1.p1
OG0001582	NM_120564.2.p1	XM_045115093.1.p1, XM_045105862.1.p1, XM_045117052.1.p1
OG0001583	NM_122116.6.p1, NM_129747.5.p1	XM_045099440.1.p1, XM_045098236.1.p1, XM_045103896.1.p1
OG0001584	NM_122472.4.p1	XM_045121033.1.p1
OG0001585	NM_126592.3.p1	XM_045121169.1.p1
OG0001585	NM_128970.2.p1	XM_045090576.1.p1
OG0001586	NM_201819.2.p1, NM_128310.4.p1	XM_045116740.1.p1, XM_045110525.1.p1, XM_045121684.1.p1, XM_045106732.1.p1
OG0001593	NM_001036117.1.p1, NM_104405.4.p1	XM_045102679.1.p1, XM_045102678.1.p1, XM_045102677.1.p1, XM_045120562.1.p1
OG0001594	NM_178941.4.p1, NM_001036488.1.p1, NM_178943.3.p1, NM_130161.3.p1	XM_045094760.1.p1, XM_045115225.1.p1, XM_045115223.1.p1
OG0001595	NM_001331380.1.p1, NM_100185.3.p1, NM_116493.3.p1, NM_001036500.2.p1	XM_045129436.1.p1
OG0001596	NM_111323.4.p1, NM_001084023.1.p1, NM_100736.3.p1	XM_045114542.1.p1, XM_045111240.1.p1, XM_045127268.1.p1, XM_045124032.1.p1
OG0001597	NM_116092.4.p1, NM_001084602.2.p1, NM_180138.3.p1, NM_111520.5.p1	XM_045090218.1.p1
OG0001598	NM_127343.2.p1, NM_119774.3.p1, NM_180949.3.p1, NM_126019.4.p1, NM_001345751.1.p1, NM_001345752.1.p1, NM_001126036.2.p1, NM_001085337.1.p1	XM_045096316.1.p1
OG0001599	NM_001203058.1.p1, NM_113650.4.p1, NM_123435.4.p1, NM_001125871.1.p1, NM_111037.4.p1	XM_045113424.1.p1
OG0001600	NM_129504.4.p1, NM_001161093.2.p1, NM_115386.3.p1	XM_045111122.1.p1
OG0001601	NM_001161298.2.p1, NM_001344803.1.p1, NM_124249.3.p1	XM_045122170.1.p1
OG0001602	NM_123795.5.p1, NM_001331440.1.p1, NM_100256.3.p1, NM_001197972.1.p1, NM_001331439.1.p1	XM_045121392.1.p1, XM_045120120.1.p1
OG0001603	NM_001203619.1.p1, NM_124949.3.p1	XM_045127709.1.p1, XM_045093551.1.p1
OG0001605	NM_118962.5.p1	XM_045102696.1.p1
OG0001605	NM_127645.4.p1, NM_001341491.1.p1, NM_116741.4.p1, NM_001203749.1.p1	XM_045102582.1.p1, XM_045121345.1.p1
OG0001606	NM_001331887.1.p1, NM_100886.7.p1	XM_045124264.1.p1, XM_045124263.1.p1, XM_045124265.1.p1
OG0001607	NM_001332351.1.p1, NM_101720.8.p1, NM_001332352.1.p1, NM_106076.4.p1	XM_045110170.1.p1
OG0001608	NM_001334552.1.p1, NM_105940.4.p1, NM_122521.5.p1	XM_045090315.1.p1, XM_045126866.1.p1
OG0001609	NM_119344.3.p1, NM_101455.2.p1, NM_001335003.1.p1	XM_045114858.1.p1, XM_045092479.1.p1
OG0001610	NM_101751.2.p1, NM_106136.5.p1, NM_001336509.1.p1, NM_179898.3.p1, NM_001336508.1.p1	XM_045092371.1.p1
OG0001611	NM_112559.4.p1, NM_148104.4.p1, NM_180194.3.p1, NM_001337676.1.p1, NM_180195.2.p1	XM_045090468.1.p1, XM_045090467.1.p1
OG0001612	NM_103180.3.p1, NM_001338186.1.p1	XM_045122487.1.p1, XM_045104009.1.p1
OG0001613	NM_001338563.1.p1, NM_001338561.1.p1, NM_001338562.1.p1, NM_113107.7.p1	XM_045109504.1.p1, XM_045109505.1.p1, XM_045109506.1.p1, XM_045109507.1.p1
OG0001614	NM_001339717.1.p1, NM_115366.4.p1	XM_045122783.1.p1, XM_045122782.1.p1
OG0001615	NM_117145.3.p1, NM_001340684.1.p1, NM_124731.1.p1, NM_118912.6.p1, NM_124732.2.p1	XM_045126741.1.p1, XM_045105204.1.p1, XM_045103914.1.p1, XM_045100713.1.p1
OG0001616	NM_116527.4.p1	XM_045090071.1.p1
OG0001616	NM_001341435.1.p1, NR_142340.1.p1	XM_045095358.1.p1
OG0001617	NM_179636.3.p1, NM_001342377.1.p1, NM_119754.4.p1	XM_045108141.1.p1, XM_045094627.1.p1
OG0001618	NM_001342451.1.p1, NM_119926.5.p1	XM_045126604.1.p1, XM_045129487.1.p1
OG0001619	NM_122376.4.p1, NM_001343893.1.p1, NM_001343892.1.p1	XM_045091049.1.p1, XM_045091050.1.p1
OG0001620	NM_001344996.1.p1, NM_203198.1.p1, NM_122294.4.p1	XM_045090267.1.p1
OG0001621	NM_001345554.1.p1, NM_102483.3.p1, NM_104678.2.p1	XM_045100929.1.p1, XM_045095287.1.p1
OG0001622	NM_106138.3.p1, NM_001345556.1.p1, NM_125657.5.p1, NM_102474.4.p1	XM_045091882.1.p1, XM_045127868.1.p1, XM_045129546.1.p1
OG0001623	NM_116445.2.p1, NM_178954.2.p1, NM_100152.3.p1, NM_202015.2.p1, NM_116131.5.p1	XM_045125884.1.p1
OG0001624	NM_106683.2.p1, NM_101424.3.p1, NM_106682.1.p1, NM_118289.1.p1	XM_045115007.1.p1
OG0001625	NM_101792.4.p1, NM_202136.1.p1, NM_202135.3.p1, NM_202416.1.p1, NM_106164.3.p1, NM_119842.7.p1, NM_114935.3.p1	XM_045109260.1.p1
OG0001626	NM_130342.3.p1	XM_045108469.1.p1, XM_045108470.1.p1
OG0001627	NM_102948.4.p1, NM_179917.4.p1	XM_045093454.1.p1
OG0001628	NM_103511.4.p1	XM_045124609.1.p1, XM_045124611.1.p1, XM_045124610.1.p1
OG0001629	NM_121949.3.p1, NM_104019.3.p1	XM_045127251.1.p1, XM_045090057.1.p1
OG0001631	NM_148696.4.p1, NM_117483.4.p1, NM_113281.3.p1	XM_045094075.1.p1, XM_045094076.1.p1, XM_045106250.1.p1
OG0001632	NM_115480.4.p1, NM_129604.2.p1	XM_045125650.1.p1, XM_045108966.1.p1
OG0001633	NM_116536.5.p1	XM_045117856.1.p1, XM_045101449.1.p1, XM_045108136.1.p1
OG0001634	NM_121115.4.p1, NM_121114.4.p1	XM_045104846.1.p1, XM_045092594.1.p1
OG0001635	NM_128153.3.p1	XM_045129457.1.p1
OG0001636	NM_202463.1.p1, NM_202462.1.p1	XM_045092738.1.p1, XM_045095578.1.p1
OG0001644	NM_001035645.3.p1, NM_106363.5.p1	XM_045119500.1.p1, XM_045122081.1.p1
OG0001645	NM_114676.4.p1, NM_001339350.1.p1, NM_001035751.2.p1, NM_125685.7.p1	XM_045110855.1.p1
OG0001646	NM_121000.4.p1, NM_001036320.1.p1, NM_127834.3.p1, NM_119949.5.p1	XM_045097420.1.p1, XM_045121863.1.p1, XM_045102595.1.p1
OG0001647	NM_001337725.1.p1, NM_001036751.2.p1	XM_045091353.1.p1
OG0001648	NM_001331834.1.p1, NM_001198019.2.p1, NM_001337615.1.p1, NM_001337614.1.p1, NM_122559.2.p1, NM_001343981.1.p1, NM_001343980.1.p1, NM_001036869.2.p1, NM_001343979.1.p1, NM_203111.2.p1	XM_045107582.1.p1
OG0001649	NM_001161062.2.p1, NM_001335984.1.p1, NM_001342126.1.p1	XR_006632535.1.p1
OG0001650	NM_001333928.1.p1, NM_001161089.2.p1, NM_111736.2.p1, NM_120203.3.p1, NM_129371.3.p1	XM_045114426.1.p1
OG0001651	NM_001203143.1.p1, NM_115088.2.p1, NM_129043.5.p1	XM_045102301.1.p1, XM_045129035.1.p1
OG0001652	NM_001342663.1.p1, NM_120340.4.p1, NM_001342662.1.p1, NM_001342664.1.p1, NM_001342661.1.p1, NM_125400.3.p1, NM_001331723.1.p1	XM_045123198.1.p1
OG0001653	NM_104712.5.p1, NM_001331913.1.p1, NM_202073.4.p1	XM_045121046.1.p1, XM_045121047.1.p1, XM_045091350.1.p1, XM_045105437.1.p1, XM_045110417.1.p2
OG0001654	NM_100964.5.p1, NM_001331938.1.p1, NM_001331936.1.p1, NM_001331937.1.p1	XM_045094674.1.p1
OG0001655	NM_001332818.1.p1, NM_001332817.1.p1, NM_001332816.1.p1	XM_045123734.1.p1, XM_045121133.1.p1
OG0001656	NM_001333036.1.p1, NM_001333037.1.p1	XM_045122032.1.p1
OG0001657	NM_001334745.1.p1, NM_101973.3.p1	XM_045129267.1.p1, XM_045124753.1.p1
OG0001658	NM_127959.2.p1, NM_119201.3.p1, NM_001335877.1.p1, NM_127958.3.p1, NM_119199.5.p1, NM_119200.3.p1	XM_045096356.1.p1
OG0001659	NM_104623.3.p1, NM_001335939.1.p1, NM_128017.3.p1, NM_128711.2.p1, NM_128584.2.p1, NM_128575.2.p1, NM_100572.3.p1	XM_045117145.1.p1
OG0001659	NM_129583.2.p1	XM_045117126.1.p1, XM_045121928.1.p1
OG0001660	NM_123653.3.p1, NM_001336076.1.p1, NM_128214.3.p1, NM_119493.3.p1	XM_045118149.1.p1, XM_045108953.1.p1
OG0001661	NM_001336137.1.p1, NM_001336136.1.p1, NM_001342776.1.p1, NM_001342774.1.p1	XM_045096038.1.p1
OG0001662	NM_115593.7.p1, NM_001336925.1.p1, NM_001336927.1.p1, NM_129719.4.p1	XM_045090434.1.p1, XM_045120351.1.p1, XM_045117438.1.p1
OG0001664	NM_001337616.1.p1	XM_045101619.1.p1, XM_045101620.1.p1, XM_045101618.1.p1, XM_045095077.1.p1
OG0001665	NM_116347.1.p1, NM_001337730.1.p1, NM_001337731.1.p1	XM_045111398.1.p1, XM_045118723.1.p1, XM_045118732.1.p1, XR_006630495.1.p1
OG0001666	NM_001338347.1.p1, NM_001338348.1.p1, NM_112747.3.p1, NM_103785.4.p1	XM_045111922.1.p1, XM_045104434.1.p1
OG0001667	NM_126156.5.p1, NM_114847.5.p1, NM_001339443.1.p1	XM_045126632.1.p1
OG0001667	NM_123127.4.p1	XM_045097091.1.p1
OG0001668	NM_001345330.1.p1, NM_001345331.1.p1, NM_001345332.1.p1	XM_045117089.1.p1
OG0001668	NM_001340239.1.p1	XM_045123823.1.p1
OG0001669	NM_124350.3.p1, NM_001341656.1.p1, NM_118559.2.p1	XM_045125730.1.p1, XM_045124329.1.p1
OG0001670	NM_118264.3.p1, NM_116749.3.p1, NM_001341904.1.p1, NM_118951.3.p1	XM_045113842.1.p1
OG0001671	NM_001341962.1.p1, NM_119067.2.p1	XM_045119080.1.p1
OG0001673	NM_180719.4.p1, NM_122125.3.p1, NM_001343714.1.p1	XM_045125322.1.p1
OG0001674	NM_001344380.1.p1, NM_123471.4.p1, NM_180307.4.p1	XM_045094184.1.p1, XM_045100764.1.p1, XM_045122250.1.p1
OG0001675	NM_100556.5.p1, NM_202047.1.p1	XM_045129121.1.p1, XM_045129122.1.p1
OG0001676	NM_105551.3.p1, NM_101195.3.p1, NM_113466.2.p1	XM_045118794.1.p1, XM_045118795.1.p1
OG0001677	NM_101300.4.p1, NM_110987.4.p1	XM_045112383.1.p1
OG0001678	NM_105982.4.p1, NM_101651.4.p1	XM_045115217.1.p1, XM_045127446.1.p1, XM_045090058.1.p1
OG0001679	NM_102953.4.p1, NM_179407.3.p1	XM_045115632.1.p1
OG0001680	NM_123674.2.p1, NM_103617.4.p1, NM_103616.1.p1, NM_103614.5.p1	XM_045124453.1.p1, XM_045090516.1.p1
OG0001681	NM_129994.3.p1, NM_129993.5.p1, NM_104400.5.p1	XM_045123615.1.p1, XM_045129558.1.p1, XM_045093455.1.p1, XM_045129560.1.p1, XM_045098331.1.p1
OG0001682	NM_114839.3.p1, NM_148455.2.p1, NM_104644.4.p1	XM_045129056.1.p1, XM_045114002.1.p1, XM_045128353.1.p1
OG0001683	NM_180166.3.p1, NM_111059.5.p1, NM_121416.6.p1	XM_045103379.1.p1, XM_045110392.1.p1
OG0001684	NM_118950.4.p1	XM_045113843.1.p1
OG0001684	NM_112687.3.p1	XM_045104502.1.p1, XM_045097458.1.p1
OG0001685	NM_113920.2.p1, NM_113337.4.p1, NM_117422.3.p1	XM_045097293.1.p1, XM_045114366.1.p1
OG0001686	NM_118359.4.p1	XM_045123889.1.p1, XM_045123890.1.p1
OG0001687	NM_119937.3.p1	XM_045129063.1.p1, XM_045113998.1.p1, XM_045126394.1.p1
OG0001688	NM_125239.3.p1	XM_045117137.1.p1, XM_045098936.1.p2, XM_045106646.1.p1, XM_045105391.1.p1
OG0001697	NM_001035730.4.p1, NM_128290.4.p1, NM_129168.2.p1	XM_045112399.1.p1, XM_045117006.1.p1, XM_045129809.1.p1, XM_045093426.1.p1, XM_045122889.1.p1
OG0001698	NM_119808.2.p1, NM_127374.4.p1, NM_104651.5.p1, NM_100895.3.p1, NM_001035940.2.p1	XM_045101265.1.p1, XM_045095455.1.p1
OG0001699	NM_126440.3.p1, NM_179215.2.p1, NM_118089.4.p1, NM_118088.4.p1, NM_001036593.2.p1, NM_102864.2.p1	XM_045128002.1.p1
OG0001701	NM_128896.6.p1, NM_001084531.1.p1	XM_045127193.1.p1
OG0001702	NM_001123912.1.p1, NM_102723.3.p1, NM_001123913.1.p1, NM_129856.3.p1, NM_001337001.1.p1	XM_045116552.1.p1, XM_045120631.1.p1
OG0001703	NM_001125588.2.p1, NM_118744.3.p1, NM_125077.4.p1, NM_127506.5.p1, NM_001202624.1.p1	XM_045106476.1.p1, XM_045125101.1.p1
OG0001704	NM_100738.3.p1, NM_001198012.1.p1, NM_111324.4.p1	XM_045091462.1.p1, XM_045123055.1.p1, XM_045098387.1.p1, XM_045095639.1.p1, XM_045097626.1.p1, XM_045111248.1.p1
OG0001705	NM_111546.4.p1, NM_130303.3.p1, NM_001198322.1.p1, NM_104524.4.p1, NM_001333782.1.p1	XM_045090338.1.p1, XM_045090340.1.p1, XM_045129682.1.p1
OG0001706	NM_125228.4.p1, NM_001342916.1.p1, NM_127291.4.p1, NM_001202610.1.p1	XM_045109271.1.p1
OG0001707	NM_001343385.1.p1, NM_001203384.1.p1, NM_001343384.1.p1, NM_110997.5.p1, NM_001337329.1.p1	XM_045121324.1.p1, XM_045121325.1.p1, XM_045123777.1.p1
OG0001708	NM_110994.4.p1, NM_121513.5.p1, NM_001203385.1.p1	XM_045125238.1.p1, XM_045120305.1.p1, XM_045129934.1.p1
OG0001710	NM_001203752.2.p1, NM_001340546.1.p1	XM_045106099.1.p1, XM_045091947.1.p1
OG0001712	NM_122304.1.p1, NM_122303.3.p1, NM_001343834.1.p1, NM_100041.2.p1, NM_001332577.1.p1, NM_001331284.1.p1	XM_045114473.1.p1
OG0001713	NM_179333.2.p1, NM_001332143.1.p1, NM_101371.5.p1, NM_126188.4.p1, NM_001335047.1.p1, NM_001335048.1.p1	XM_045126595.1.p1, XM_045126603.1.p1, XM_045126609.1.p1
OG0001714	NM_001332242.1.p1, NM_001332243.1.p1, NM_101526.3.p1	XM_045092303.1.p1
OG0001715	NM_001332268.1.p1, NM_202117.2.p1, NM_101545.4.p1, NM_001334852.1.p1, NM_001335626.1.p1	XM_045111783.1.p1, XM_045111781.1.p1, XM_045111780.1.p1
OG0001716	NM_122078.5.p1, NM_001332978.1.p1	XM_045107111.1.p1, XM_045107270.1.p1, XM_045090040.1.p1
OG0001717	NM_001333498.1.p1, NM_001333496.1.p1, NM_104050.3.p1	XM_045120217.1.p1, XM_045120216.1.p1
OG0001718	NM_104388.4.p1, NM_001333691.1.p1	XM_045119047.1.p1
OG0001718	NM_125706.2.p1, NM_001345577.1.p1, NM_001345576.1.p1, NM_203256.2.p1	XM_045122116.1.p1
OG0001719	NM_104402.4.p1, NM_001333697.1.p1	XM_045113181.1.p1, XM_045126801.1.p1, XM_045122764.1.p1
OG0001721	NM_001333905.1.p1, NM_001333904.1.p1, NM_179501.1.p1, NM_001342757.1.p1, NM_120510.4.p1	XM_045109848.1.p1, XM_045123713.1.p1, XM_045123711.1.p1
OG0001722	NM_001337175.1.p1, NM_001337174.1.p1, NM_001340708.1.p1	XM_045113063.1.p1
OG0001723	NM_118910.4.p1, NM_001341878.1.p1, NM_001337225.1.p1, NM_130263.3.p1, NM_130264.2.p1, NM_180134.2.p1	XM_045108815.1.p1, XM_045108813.1.p1, XM_045093701.1.p1, XM_045113682.1.p1, XM_045109250.1.p1, XM_045104094.1.p1, XM_045108548.1.p1
OG0001724	NM_113259.4.p1, NM_001338646.1.p1, NM_113258.5.p1	XM_045110162.1.p1, XM_045098145.1.p1, XM_045098557.1.p1, XM_045108681.1.p1
OG0001725	NM_001339524.1.p1, NM_115021.2.p1	XM_045124834.1.p1, XM_045094166.1.p1, XM_045094165.1.p1, XM_045094163.1.p1, XM_045094164.1.p1
OG0001726	NM_001345520.1.p1, NM_180914.2.p1, NM_118684.9.p1, NM_001341749.1.p1, NM_148375.6.p1	XM_045106425.1.p1, XM_045105852.1.p1, XM_045106579.1.p1
OG0001727	NM_102790.4.p1, NM_001343478.1.p1, NM_121709.2.p1, NM_121711.5.p1	XM_045117543.1.p1, XM_045115150.1.p1, XM_045104242.1.p1
OG0001728	NM_121921.4.p1, NM_001343591.1.p1, NM_202506.2.p1, NM_111483.3.p1	XM_045127540.1.p1, XM_045091529.1.p1
OG0001729	NM_001343973.1.p1, NM_180537.3.p1, NM_180536.3.p1	XM_045108902.1.p1
OG0001730	NM_106346.3.p1, NM_001344436.1.p1	XM_045114116.1.p1, XM_045122637.1.p1, XM_045122636.1.p1, XM_045112711.1.p1
OG0001731	NM_127302.3.p1, NM_001345729.1.p1, NM_125994.2.p1, NM_127298.5.p1, NM_103440.4.p1, NM_128925.2.p1	XM_045115710.1.p1
OG0001732	NM_100366.4.p1, NM_104441.2.p1, NM_112180.4.p1	XM_045095911.1.p1, XM_045095912.1.p1
OG0001733	NM_100823.4.p1, NM_112625.2.p1	XM_045107645.1.p1
OG0001734	NM_100833.2.p1, NM_105823.4.p1, NM_117067.4.p1, NM_103099.2.p1	XM_045124537.1.p1, XM_045091605.1.p1, XM_045101799.1.p1
OG0001735	NM_115942.2.p1, NM_130099.2.p1, NM_101104.4.p1, NM_104962.2.p1	XM_045092165.1.p1, XM_045092147.1.p1
OG0001736	NM_106151.3.p1, NM_101779.5.p1, NM_147879.3.p1	XM_045098458.1.p1
OG0001737	NM_101996.4.p1	XM_045122072.1.p1
OG0001738	NM_125578.3.p1, NM_102508.3.p1	XM_045122264.1.p1, XM_045122267.1.p1
OG0001740	NM_122614.4.p1, NM_111384.4.p1, NM_116166.5.p1	XM_045117851.1.p1
OG0001741	NM_111510.4.p1	XM_045093780.1.p1, XM_045093781.1.p1, XM_045120127.1.p1
OG0001742	NM_120427.3.p1, NM_111823.3.p1	XM_045123709.1.p1, XM_045123708.1.p1, XM_045123707.1.p1
OG0001743	NM_122466.2.p1, NM_118979.1.p1	XM_045120343.1.p1, XM_045110930.1.p1, XM_045119168.1.p1
OG0001743	NM_113179.4.p1	XM_045093269.1.p1, XR_006611199.1.p1
OG0001744	NM_120455.4.p1, NM_180725.3.p1, NM_114344.4.p1	XM_045129714.1.p1
OG0001745	NM_129242.3.p1, NM_114368.3.p1	XM_045102174.1.p1, XM_045124215.1.p1
OG0001746	NM_115385.7.p1	XM_045129044.1.p1, XM_045128973.1.p1
OG0001747	NM_116054.3.p1, NM_130233.5.p1	XM_045099649.1.p1, XM_045114451.1.p1, XM_045094438.1.p1
OG0001748	NM_118290.2.p1	XM_045116675.1.p1, XM_045127145.1.p1
OG0001750	NM_119224.5.p1, NM_127972.5.p1	XM_045099960.1.p1
OG0001751	NM_119322.4.p1, NM_128035.5.p1	XM_045103846.1.p1
OG0001752	NM_120216.4.p1, NM_129382.3.p1	XM_045099808.1.p1, XM_045099799.1.p1
OG0001753	NM_120665.3.p1	XM_045121768.1.p1, XM_045122759.1.p1
OG0001754	NM_128106.4.p1, NM_122444.4.p1	XM_045100050.1.p1, XM_045102161.1.p1, XM_045094741.1.p1
OG0001755	NM_125115.4.p1	XM_045112237.1.p1, XM_045098600.1.p1, XM_045111816.1.p1, XM_045100487.1.p1, XM_045100490.1.p1, XM_045100489.1.p1, XM_045100486.1.p1
OG0001756	NM_128351.3.p1	XM_045103424.1.p1, XM_045104728.1.p1, XM_045106803.1.p1, XM_045097768.1.p1, XM_045115400.1.p1
OG0001759	NM_001332891.1.p1, NM_001036038.2.p1	XM_045093894.1.p1, XM_045095064.1.p1, XM_045105910.1.p1
OG0001760	NM_130017.5.p1	XM_045098882.1.p1
OG0001760	NM_102972.3.p1, NM_001336555.1.p1, NM_129091.4.p1, NM_001036410.1.p1, NM_179913.3.p1, NM_001333007.1.p1	XM_045101835.1.p1
OG0001761	NM_001344994.1.p1, NM_001036985.1.p1, NM_180794.5.p1, NM_001083985.1.p1, NM_001331473.1.p1, NM_001083986.1.p1, NM_100311.4.p1	XM_045092412.1.p1
OG0001762	NM_001336278.1.p1, NM_125991.4.p1, NM_001336277.1.p1, NM_128617.4.p1, NM_001037078.2.p1	XR_006627108.1.p1
OG0001763	NM_001161070.2.p1, NM_001336260.1.p1, NM_001331672.1.p1, NM_001084002.2.p1, NM_100564.5.p1	XM_045118990.1.p1, XM_045110339.1.p1
OG0001764	NM_111879.3.p1, NM_001337875.1.p1, NM_001085057.2.p1, NM_001339181.1.p1	XM_045114048.1.p1, XM_045123903.1.p1, XM_045123904.1.p1
OG0001765	NM_001336313.1.p1, NM_001124950.2.p1, NM_001336314.1.p1	XR_006631001.1.p1
OG0001766	NM_001125597.2.p1, NM_001341851.1.p1, NM_202590.3.p1, NM_104189.3.p1	XM_045123861.1.p1, XM_045119372.1.p1
OG0001767	NM_001202724.2.p1, NM_001336362.1.p1, NM_001197984.1.p1, NM_100436.5.p1, NM_121303.8.p1, NM_001161240.2.p1	XM_045094882.1.p1, XM_045102651.1.p1, XM_045127135.1.p1, XM_045127136.1.p1
OG0001768	NM_129057.4.p1, NM_001198081.2.p1, NM_001334890.1.p1, NM_106605.4.p1	XM_045090231.1.p1
OG0001769	NM_101928.7.p1, NM_102012.3.p1, NM_001198127.2.p1, NM_001332525.1.p1, NM_001332524.1.p1	XM_045100546.1.p1, XM_045127117.1.p1
OG0001770	NM_105734.3.p1, NM_102175.4.p1	XM_045124059.1.p1
OG0001770	NM_001198435.1.p1, NM_105733.3.p1	XM_045124058.1.p1
OG0001771	NM_001333488.1.p1, NM_201880.2.p1, NM_001336575.1.p1, NM_001202758.1.p1	XM_045090835.1.p1, XM_045108386.1.p1
OG0001772	NM_180282.1.p1, NM_112787.3.p1, NM_001203002.1.p1, NM_202608.2.p1, NM_112786.3.p1	XM_045128157.1.p1
OG0001773	NM_001203940.1.p1, NM_119162.5.p1, NM_001345257.1.p1	XM_045103140.1.p1, XM_045122672.1.p1, XM_045111812.1.p1
OG0001774	NM_101834.4.p1, NM_001332197.1.p1, NM_001342012.1.p1, NM_001203944.2.p1, NM_001335883.1.p1, NM_001335879.1.p1, NM_001335881.1.p1, NM_180878.2.p1	XM_045093051.1.p1, XM_045112362.1.p1
