Orthogroup	Arabidopsis_thaliana_rna_prot	Coffea_arabica_rna_prot
OG0001258	NM_179595.5.p1, NM_201671.3.p1, NM_001335107.1.p1, NM_126296.5.p1, NM_126295.1.p1	XM_027252039.1.p1, XM_027252041.1.p1, XM_027252042.1.p1, XR_003457881.1.p1, XM_027252327.1.p1, XM_027252044.1.p1
OG0001259	NM_001336594.1.p1, NM_129190.3.p1, NM_125677.4.p1	XM_027268918.1.p1, XM_027268919.1.p1, XM_027265765.1.p1, XM_027265764.1.p1
OG0001259	NM_123394.4.p1	XM_027219168.1.p1, XM_027219169.1.p1, XM_027219171.1.p1, XM_027246284.1.p1
OG0001260	NM_180021.5.p1, NM_001336924.1.p1, NM_129717.5.p1	XM_027210006.1.p1, XM_027214293.1.p1
OG0001261	NM_001337208.1.p1, NM_001337209.1.p1, NM_130235.5.p1	XM_027259722.1.p1
OG0001261	NM_114797.3.p1, NM_122351.5.p1	XM_027254180.1.p1, XM_027247717.1.p1
OG0001262	NM_001337975.1.p1, NM_112047.4.p1	XM_027212815.1.p1
OG0001263	NM_202560.2.p1, NM_112018.4.p1, NM_120739.3.p1, NM_001339691.1.p1, NM_001339688.1.p1, NM_001339689.1.p1, NM_001339690.1.p1	XM_027212125.1.p1
OG0001264	NM_116024.3.p1, NM_001340113.1.p1, NM_001340111.1.p1	XM_027259535.1.p1
OG0001265	NM_001340261.1.p1, NM_111571.3.p1, NM_117680.4.p1	XM_027260215.1.p1
OG0001266	NM_129207.5.p1	XM_027214255.1.p1, XM_027215075.1.p1
OG0001266	NM_001342781.1.p1, NM_120538.2.p1	XM_027255588.1.p1
OG0001267	NM_001343483.1.p1, NM_121729.3.p1, NM_001343484.1.p1	XM_027222633.1.p1
OG0001268	NM_103706.4.p1	XM_027264108.1.p1
OG0001268	NM_104548.3.p1	XM_027246701.1.p1
OG0001269	NM_100680.4.p1	XM_027245352.1.p1, XM_027229879.1.p1, XM_027270192.1.p1
OG0001270	NM_104693.3.p1, NM_100928.4.p1	XM_027241901.1.p1, XM_027242328.1.p1
OG0001270	NM_124388.4.p1, NM_125684.5.p1	XM_027268901.1.p1
OG0001271	NM_101754.3.p1, NM_101755.3.p1	XM_027258100.1.p1, XM_027266572.1.p1, XM_027266543.1.p1
OG0001272	NM_102675.4.p1	XM_027230228.1.p1, XM_027230226.1.p1, XM_027232333.1.p1, XM_027232335.1.p1
OG0001273	NM_114868.4.p1, NM_126125.3.p1	XM_027223109.1.p1, XM_027219658.1.p1
OG0001273	NM_116812.2.p1, NM_103611.2.p1	XM_027235785.1.p1
OG0001274	NM_120429.4.p1, NM_103999.2.p1	XM_027239952.1.p1
OG0001274	NM_106048.4.p1	XM_027268107.1.p1, XM_027265830.1.p1, XM_027266058.1.p1
OG0001275	NM_104332.3.p1	XM_027207626.1.p1, XM_027266753.1.p1
OG0001275	NM_123055.2.p1, NM_105243.4.p1	XM_027218187.1.p1
OG0001276	NM_121134.4.p1	XM_027217142.1.p1
OG0001276	NM_179584.3.p1, NM_106726.5.p1, NM_128767.4.p1	XM_027270890.1.p1
OG0001277	NM_120195.3.p1, NM_111741.3.p1, NM_129363.3.p1	XM_027215524.1.p1, XR_003449683.1.p1, XM_027212167.1.p1
OG0001278	NM_129174.4.p1, NM_111984.5.p2, NM_115118.5.p1	XM_027267942.1.p1, XM_027271076.1.p1, XM_027233870.1.p1, XM_027229878.1.p1
OG0001279	NM_118324.2.p1, NM_116686.2.p1	XM_027240256.1.p1, XM_027231770.1.p1, XM_027230005.1.p1, XM_027240255.1.p1, XM_027231769.1.p1
OG0001280	NM_120210.3.p1, NM_120211.3.p1, NM_119461.4.p1, NM_124878.3.p1	XM_027213809.1.p1, XR_003448768.1.p1
OG0001281	NM_119540.3.p1, NM_119541.4.p1, NM_119543.3.p1	XM_027253055.1.p1
OG0001282	NM_125285.4.p1	XM_027247464.1.p1, XM_027255999.1.p1, XM_027256000.1.p1
OG0001289	NM_130171.4.p1, NM_001035852.3.p1, NM_100037.4.p1	XM_027252611.1.p1, XM_027252610.1.p1
OG0001290	NM_115982.3.p1	XM_027259302.1.p1
OG0001291	NM_202226.3.p1, NM_103042.6.p1, NM_103044.3.p1, NM_103043.2.p1, NM_001036056.1.p1, NM_103045.6.p1	XM_027225453.1.p1, XM_027214688.1.p1
OG0001292	NM_117559.6.p1, NM_001340963.1.p1, NM_202820.2.p1, NM_001338599.1.p1, NM_113180.3.p1, NM_001338600.1.p1, NM_001036565.3.p1, NM_123754.6.p1	XM_027260536.1.p1
OG0001292	NM_116195.3.p1, NM_001340199.1.p1	XM_027240386.1.p1
OG0001293	NM_180823.3.p1, NM_124198.4.p1	XR_003448441.1.p1, XR_003448440.1.p1
OG0001293	NM_203172.4.p1, NM_001036951.2.p1	XM_027230530.1.p1, XM_027230533.1.p1
OG0001294	NM_001331488.1.p1, NM_001331489.1.p1, NM_001336447.1.p1, NM_001084530.3.p1	XM_027260869.1.p1
OG0001295	NM_120034.2.p1, NM_127683.3.p1, NM_001335481.1.p1, NM_119653.4.p1	XM_027237598.1.p1
OG0001295	NM_001342150.1.p1, NM_001125625.2.p1, NM_001203959.1.p1, NM_180409.2.p1, NM_001203240.1.p1, NM_001340212.1.p1	XM_027240204.1.p1, XM_027240192.1.p1
OG0001295	NM_001339763.1.p1, NM_115465.5.p1	XM_027255412.1.p1, XM_027248861.1.p1
OG0001296	NM_001342223.1.p1, NM_001198022.2.p1, NM_100845.3.p1	XM_027235555.1.p1
OG0001297	NM_103985.4.p1, NM_001198263.1.p1, NM_124849.4.p1	XM_027249263.1.p1, XM_027206773.1.p1
OG0001298	NM_115551.3.p1, NM_129664.6.p1, NM_120589.4.p1	XM_027216129.1.p1, XM_027216122.1.p1, XM_027216134.1.p1
OG0001298	NM_115552.4.p1, NM_001203182.1.p1	XM_027214260.1.p1, XR_003449547.1.p1, XM_027216139.1.p1, XM_027216142.1.p1, XM_027214261.1.p1
OG0001299	NM_125924.3.p1, NM_180472.1.p1, NM_121073.4.p1	XM_027218683.1.p1, XM_027218682.1.p1
OG0001300	NM_119166.5.p1, NM_001203942.1.p1, NM_202910.4.p1	XM_027211268.1.p1
OG0001302	NM_001339381.1.p1, NM_122274.3.p1	XM_027268805.1.p1, XM_027265680.1.p1
OG0001302	NM_127312.3.p1	XM_027220672.1.p1
OG0001303	NM_121088.4.p1, NM_127822.3.p1	XM_027219403.1.p1
OG0001303	NM_100844.2.p1, NM_001333822.1.p1	XM_027238071.1.p1
OG0001304	NM_001342044.1.p1, NM_001335918.1.p1, NM_125168.3.p1	XM_027214700.1.p1
OG0001305	NM_106062.4.p1	XM_027267038.1.p1
OG0001305	NM_129209.4.p1, NM_001336601.1.p1	XM_027216811.1.p1
OG0001306	NM_129386.3.p1	XM_027230566.1.p1, XM_027214748.1.p1, XM_027210414.1.p1
OG0001306	NM_129584.2.p1, NM_001336827.1.p1	XM_027248492.1.p1
OG0001307	NM_115516.3.p1, NM_001336872.1.p1, NM_201922.3.p1, NM_201923.4.p1	XM_027226359.1.p1
OG0001308	NM_001337799.1.p1	XM_027215133.1.p1, XM_027215142.1.p1, XM_027215138.1.p1, XM_027215132.1.p1, XM_027215140.1.p1, XM_027215129.1.p1, XM_027215137.1.p1, XM_027215134.1.p1, XM_027215139.1.p1, XM_027215136.1.p1, XM_027215135.1.p1, XM_027212065.1.p1, XM_027212054.1.p1, XM_027212064.1.p1, XM_027212057.1.p1, XM_027212062.1.p1, XM_027212058.1.p1, XM_027212060.1.p1, XM_027212063.1.p1
OG0001309	NM_001337963.1.p1, NM_001337964.1.p1	XM_027233463.1.p1, XM_027233461.1.p1
OG0001310	NM_001338063.1.p1	XM_027217307.1.p1
OG0001310	NM_115710.3.p1	XM_027214471.1.p1
OG0001311	NM_104201.3.p1, NR_139863.1.p1, NM_001338148.1.p1, NM_128662.2.p1	XM_027271603.1.p1
OG0001312	NM_001338465.1.p1, NM_001338467.1.p1	XM_027266762.1.p1
OG0001313	NM_001338515.1.p1, NM_113019.4.p1, NM_104046.3.p1, NM_179462.2.p1	XM_027215146.1.p1, XM_027269289.1.p1
OG0001314	NM_115415.3.p1	XM_027255122.1.p1
OG0001314	NM_001339636.1.p1, NM_001339635.1.p1, NM_001339638.1.p1, NM_001339637.1.p1	XM_027214796.1.p1, XM_027214795.1.p1
OG0001315	NM_001343855.1.p1	XM_027247761.1.p1, XM_027247763.1.p1, XM_027247765.1.p1, XM_027254292.1.p1, XM_027247766.1.p1, XM_027220899.1.p1, XM_027254290.1.p1, XM_027254287.1.p1
OG0001315	NM_001340697.1.p1	XM_027224994.1.p1, XM_027224993.1.p1, XM_027224995.1.p1
OG0001316	NM_001343318.1.p1, NM_001343319.1.p1, NM_121422.4.p1	XM_027246137.1.p1, XM_027246138.1.p1
OG0001317	NM_001343358.1.p1, NM_121476.4.p1	XM_027218296.1.p1
OG0001318	NM_001345636.1.p1, NM_001345633.1.p1, NM_125848.3.p1, NM_001345637.1.p1, NM_001345634.1.p1	XR_003448502.1.p1, XM_027205555.1.p1, XR_003447823.1.p1, XM_027208986.1.p1, XM_027245976.1.p1
OG0001319	NM_127049.4.p1, NM_119547.5.p1	XM_027250271.1.p1
OG0001319	NM_126141.2.p1, NM_001345827.1.p1	XM_027221963.1.p1
OG0001320	NM_100278.3.p1, NM_123775.4.p1	XM_027236211.1.p1, XM_027238925.1.p1, XM_027236212.1.p1, XM_027238926.1.p1, XR_003453785.1.p1, XR_003453326.1.p1
OG0001321	NM_104726.3.p1, NM_102224.4.p1, NM_105705.4.p1	XM_027243849.1.p1, XM_027240977.1.p1
OG0001322	NM_102525.3.p1	XR_003453766.1.p1, XM_027238651.1.p1
OG0001323	NM_103011.2.p1	XM_027224778.1.p1
OG0001324	NM_119599.1.p1	XM_027217215.1.p1, XR_003449893.1.p1
OG0001324	NM_121561.3.p1, NM_111083.3.p1	XM_027218849.1.p1
OG0001326	NM_119290.3.p1, NM_179149.3.p1	XM_027226017.1.p1, XM_027226018.1.p1
OG0001327	NM_125582.3.p1, NM_120813.2.p1	XM_027265824.1.p1
OG0001327	NM_121336.4.p1	XM_027243554.1.p1
OG0001328	NM_121144.4.p1, NM_122431.3.p1	XM_027228418.1.p1
OG0001332	NM_001334287.1.p1, NM_105398.4.p1	XM_027211326.1.p1, XM_027214190.1.p1
OG0001332	NM_001036226.2.p1, NM_001334924.1.p1, NM_106631.5.p1, NM_001198511.1.p1	XM_027270485.1.p1, XM_027270486.1.p1, XM_027270484.1.p1
OG0001333	NM_001203538.2.p1, NM_001036930.2.p1, NM_123760.3.p1, NM_179256.1.p1	XM_027263137.1.p1, XM_027260910.1.p1, XM_027215521.1.p1
OG0001334	NM_126969.4.p1, NM_120310.2.p1, NM_001203277.2.p1, NM_001337814.1.p1, NM_001084658.2.p1	XM_027216976.1.p1, XM_027216975.1.p1
OG0001335	NM_202601.3.p1, NM_001338310.1.p1, NM_001084705.3.p1, NM_112667.4.p1, NM_001123979.2.p1, NM_001123978.2.p1, NM_103746.3.p1	XM_027267345.1.p1, XM_027267344.1.p1, XM_027269649.1.p1
OG0001336	NM_001085143.1.p1, NM_122149.5.p1, NM_128313.7.p1, NM_100709.5.p1	XM_027216626.1.p1
OG0001337	NM_001337077.1.p1, NM_180081.4.p1, NM_001340006.1.p1, NM_180391.4.p1, NM_001125387.1.p1, NM_115858.6.p1	XM_027233589.1.p1, XM_027233588.1.p1, XM_027231846.1.p1
OG0001338	NM_001125705.2.p1, NM_001342862.1.p1, NM_001342863.1.p1, NM_001342864.1.p1, NM_111991.5.p1, NM_001337939.1.p1, NM_001337940.1.p1, NM_001337938.1.p1, NM_129167.3.p1, NM_179929.3.p1, NM_001336586.1.p1	XM_027212803.1.p1
OG0001339	NM_001342341.1.p1, NM_001342342.1.p1, NM_001342343.1.p1, NM_001342344.1.p1, NM_001160815.2.p1	XM_027232561.1.p1, XM_027230429.1.p1
OG0001340	NM_123052.5.p1, NM_179491.3.p1	XM_027211371.1.p1
OG0001340	NM_001161114.2.p1	XM_027212556.1.p1, XM_027212520.1.p1, XM_027212518.1.p1, XM_027212517.1.p1
OG0001341	NM_128736.3.p1, NM_128734.1.p1, NM_128735.1.p1	XM_027248154.1.p1
OG0001341	NM_001197991.1.p1, NM_100470.5.p1, NM_001336335.1.p1, NM_128708.5.p1, NM_001336334.1.p1	XM_027261652.1.p1
OG0001342	NM_122070.3.p1	XM_027213552.1.p1
OG0001343	NM_129422.4.p1, NM_001202773.2.p1, NM_001336714.1.p1	XM_027215287.1.p1
OG0001344	NM_001202828.1.p1, NM_180122.4.p1	XM_027252711.1.p1, XM_027259582.1.p1
OG0001345	NM_001332718.1.p1, NM_102423.3.p1	XM_027243677.1.p1
OG0001347	NM_001339196.1.p1, NM_114382.5.p1	XM_027214011.1.p1
OG0001347	NM_126681.3.p1, NM_001335311.1.p1	XM_027214351.1.p1, XM_027214354.1.p1, XM_027211394.1.p1
OG0001348	NM_112729.4.p1	XM_027270497.1.p1, XM_027267643.1.p1
OG0001348	NM_102359.3.p1, NM_105532.5.p1, NM_001335552.1.p1	XM_027254081.1.p1
OG0001349	NM_202726.2.p1, NM_001336984.1.p1, NM_115719.3.p1	XR_003450770.1.p1, XM_027215342.1.p1
OG0001350	NM_117181.4.p1	XM_027229803.1.p1, XR_003451353.1.p1, XM_027224320.1.p1, XM_027224321.1.p1, XM_027229804.1.p1, XM_027224325.1.p1, XM_027224324.1.p1
OG0001350	NM_001337186.1.p1	XM_027259571.1.p1, XM_027259577.1.p1, XM_027259578.1.p1, XM_027259576.1.p1, XM_027259573.1.p1, XM_027259574.1.p1, XM_027259572.1.p1
OG0001351	NM_113812.5.p1, NM_001338974.1.p1, NM_001339319.1.p1, NM_114628.4.p1, NM_125641.4.p1	XM_027219040.1.p1, XM_027267890.1.p1
OG0001352	NM_100269.4.p1, NM_180796.1.p1, NM_123779.5.p1, NM_100268.5.p1, NM_179134.1.p1, NM_118994.4.p1, NM_001341920.1.p1	XM_027215714.1.p1
OG0001353	NM_119514.4.p1, NM_001342222.1.p1	XM_027250400.1.p1, XM_027257027.1.p1, XM_027257025.1.p1
OG0001354	NM_001343026.1.p1, NM_120952.6.p1	XM_027222780.1.p1, XM_027219078.1.p1
OG0001354	NM_123353.4.p1	XM_027219659.1.p1, XM_027219660.1.p1
OG0001355	NM_001344445.1.p1, NM_001344447.1.p1	XM_027235635.1.p1, XM_027235632.1.p1, XM_027235641.1.p1, XM_027235633.1.p1, XM_027235630.1.p1, XM_027235639.1.p1, XM_027235636.1.p1
OG0001356	NM_001344746.1.p1, NM_124154.5.p1	XM_027231461.1.p1, XM_027231462.1.p1, XM_027231459.1.p1, XM_027231460.1.p1, XM_027231747.1.p1, XM_027231463.1.p1
OG0001357	NM_106277.4.p1, NM_101905.5.p1	XM_027236442.1.p1
OG0001358	NM_104243.4.p1, NM_112305.2.p1	XR_003448488.1.p1, XM_027208822.1.p1
OG0001359	NM_125446.4.p1, NM_125445.3.p1	XM_027270274.1.p1, XM_027214572.1.p1
OG0001359	NM_104362.3.p1	XM_027242969.1.p1
OG0001360	NM_125977.2.p1, NM_114830.2.p1, NM_119939.3.p1, NM_127846.2.p1	XM_027222285.1.p1
OG0001360	NM_116873.2.p1	XM_027234358.1.p1
OG0001361	NM_147888.2.p1	XM_027255464.1.p1, XM_027255463.1.p1
OG0001361	NM_115065.3.p1	XM_027226848.1.p1
OG0001363	NM_116355.3.p1	XM_027259495.1.p1
OG0001363	NM_118486.6.p1, NM_124661.3.p1	XM_027247876.1.p1, XM_027254398.1.p1
OG0001364	NM_126070.4.p1	XM_027218819.1.p1, XM_027218820.1.p1
OG0001365	NM_119998.2.p1	XR_003448459.1.p1
OG0001366	NM_120480.1.p1	XM_027233844.1.p1, XM_027233841.1.p1, XM_027233840.1.p1, XM_027230596.1.p1, XM_027233839.1.p1, XM_027210620.1.p1, XM_027210621.1.p1, XM_027268993.1.p1, XM_027266142.1.p1, XM_027271112.1.p1
OG0001367	NM_126109.3.p1	XM_027222533.1.p1
OG0001368	NR_140219.1.p1, NM_127764.2.p1	XM_027223247.1.p1, XM_027221760.1.p1, XM_027221084.1.p1, XR_003450843.1.p1, XR_003450837.1.p1, XR_003450844.1.p1, XR_003450839.1.p1, XR_003450838.1.p1, XR_003450842.1.p1, XR_003450840.1.p1, XM_027221676.1.p1, XR_003450845.1.p1, XR_003450841.1.p1, XM_027223245.1.p1, XR_003451081.1.p1, XR_003451083.1.p1, XM_027223244.1.p1, XR_003451082.1.p1, XR_003451084.1.p1, XR_003450832.1.p1, XR_003450834.1.p1, XR_003450833.1.p1, XR_003450835.1.p1
OG0001369	NM_129754.4.p1	XM_027216468.1.p1
OG0001377	NM_001339580.1.p1, NM_001035770.2.p1, NM_129177.3.p1	XM_027217016.1.p1, XM_027268358.1.p1, XM_027214511.1.p1, XM_027214453.1.p1
OG0001378	NM_001331770.1.p1, NM_001035922.1.p1, NM_001331769.1.p1	XM_027227865.1.p1, XM_027227859.1.p1, XM_027250426.1.p1, XM_027227871.1.p1, XM_027227875.1.p1
OG0001379	NM_001036004.3.p1, NM_001333076.1.p1, NM_001333077.1.p1	XM_027239284.1.p1, XM_027239283.1.p1
OG0001380	NM_179532.4.p1, NM_105566.5.p1, NM_001036016.2.p1, NM_001332708.1.p1, NM_102390.3.p1, NM_001332709.1.p1	XM_027242230.1.p1, XM_027242231.1.p1
OG0001382	NM_124617.3.p1	XM_027247989.1.p1
OG0001382	NM_001340260.1.p1	XM_027260770.1.p1
OG0001383	NM_001084857.2.p1, NM_116039.4.p1	XM_027259619.1.p1
OG0001383	NM_124722.3.p1, NM_118929.5.p1	XM_027247772.1.p1, XR_003458253.1.p1
OG0001385	NM_001344141.1.p1, NM_123024.2.p1, NM_001344146.1.p1, NM_001344144.1.p1, NM_001344147.1.p1	XM_027220841.1.p1
OG0001385	NM_001123761.2.p1, NM_001331546.1.p1, NM_001340976.1.p1	XM_027260482.1.p1
OG0001386	NM_128439.3.p1, NM_001202697.1.p1, NM_179794.2.p1	XM_027231403.1.p1
OG0001386	NM_102294.7.p1, NM_001160892.1.p1	XM_027241808.1.p1
OG0001387	NM_001197956.2.p1, NM_001340295.1.p1, NM_116329.3.p1	XM_027259608.1.p1
OG0001387	NM_124692.3.p1	XM_027247788.1.p1, XM_027254309.1.p1
OG0001388	NM_201796.2.p1, NM_127973.5.p1	XM_027215809.1.p1
OG0001388	NM_001198426.1.p1, NM_105571.4.p1	XM_027240687.1.p1
OG0001388	NM_121574.3.p1, NM_001203389.1.p1	XM_027223654.1.p1, XM_027223652.1.p1
OG0001389	NM_001343125.1.p1, NM_001203353.2.p1	XM_027267637.1.p1
OG0001390	NM_001203541.1.p1, NM_001344536.1.p1	XM_027208159.1.p1, XM_027208158.1.p1
OG0001390	NM_102610.4.p1	XM_027249581.1.p1
OG0001391	NM_180847.2.p1, NM_124691.3.p1, NM_001203598.1.p1, NM_001345033.1.p1	XM_027254307.1.p1
OG0001392	NM_119697.4.p1, NM_001335545.1.p1, NM_127284.3.p1	XR_003452749.1.p1, XM_027230297.1.p1, XR_003452374.1.p1
OG0001393	NM_001331396.1.p1, NM_100203.3.p1, NM_116520.4.p1	XM_027269258.1.p1, XM_027269255.1.p1, XM_027269173.1.p1, XM_027259723.1.p1
OG0001394	NM_106098.4.p1, NM_001332359.1.p1, NM_001332361.1.p1, NM_101727.3.p1, NM_120854.3.p1	XM_027267827.1.p1
OG0001395	NM_101166.4.p1, NM_123162.4.p1, NM_001338813.1.p1, NM_113567.4.p1, NM_102179.2.p1	XM_027243895.1.p1, XM_027243896.1.p1
OG0001396	NM_001334614.1.p1, NM_106054.4.p1, NM_202128.1.p1, NM_101704.5.p1	XM_027270404.1.p1
OG0001396	NM_105556.5.p1, NM_001334382.1.p1	XM_027241670.1.p1, XM_027241669.1.p1, XM_027241671.1.p1, XM_027241672.1.p1
OG0001397	NM_001334416.1.p1	XM_027242730.1.p1
OG0001397	NM_001344304.1.p1, NM_001344305.1.p1	XR_003450492.1.p1, XM_027220390.1.p1
OG0001398	NM_111151.5.p1, NM_001337436.1.p1	XR_003452486.1.p1, XM_027233106.1.p1, XM_027233105.1.p1, XM_027231352.1.p1
OG0001399	NM_104433.5.p1, NM_112184.4.p1, NM_104432.5.p1, NM_112185.3.p1, NM_001338046.1.p1	XM_027206212.1.p1, XM_027230950.1.p1
OG0001400	NM_127148.2.p1, NM_119558.3.p1, NM_001338376.1.p1, NM_112788.3.p1	XM_027256596.1.p1
OG0001401	NM_128317.5.p1	XM_027248974.1.p1, XM_027255545.1.p1
OG0001401	NM_001339589.1.p1, NM_115140.3.p1, NM_129189.5.p1	XM_027213469.1.p1
OG0001403	NM_127596.3.p1	XM_027238301.1.p1
OG0001404	NM_117900.5.p1, NM_001341244.1.p1, NM_103004.3.p1, NM_202224.1.p1	XM_027229139.1.p1
OG0001405	NM_100779.5.p1	XM_027258870.1.p1, XM_027247493.1.p1, XM_027204987.1.p1, XM_027258873.1.p1
OG0001405	NM_001344430.1.p1, NM_123567.3.p1, NM_180788.3.p1, NM_122737.4.p1	XM_027254230.1.p1, XM_027225930.1.p1
OG0001406	NM_123756.2.p1, NM_100299.2.p1, NM_119016.3.p1	XM_027238075.1.p1
OG0001407	NM_100664.5.p1, NM_128410.3.p1	XM_027230497.1.p1, XM_027230860.1.p1, XM_027252608.1.p1
OG0001408	NM_120577.4.p1, NM_124990.2.p1, NM_104521.3.p1, NM_100794.4.p1	XM_027252145.1.p1
OG0001409	NM_106490.4.p1, NM_101574.3.p1	XM_027209121.1.p1
OG0001410	NM_102726.3.p1, NM_124005.5.p1, NM_117927.3.p1	XM_027232227.1.p1, XM_027207640.1.p1
OG0001411	NM_129882.2.p1	XM_027261448.1.p1
OG0001412	NM_104135.3.p1, NM_112443.3.p1	XM_027270845.1.p1
OG0001413	NM_104854.4.p1	XM_027249269.1.p1
OG0001414	NM_118410.3.p1, NM_117275.4.p1, NM_130105.4.p1, NM_115951.2.p1	XM_027224675.1.p1, XM_027224673.1.p1, XM_027224674.1.p1, XM_027224672.1.p1, XM_027228536.1.p1, XM_027252359.1.p1
OG0001415	NM_120454.4.p1, NM_180429.4.p1	XM_027215384.1.p1
OG0001416	NM_125226.4.p1, NM_125225.2.p1	XM_027235253.1.p1
OG0001416	NM_120616.3.p1	XM_027248407.1.p1
OG0001417	NM_120877.3.p1	XM_027267931.1.p1, XM_027270746.1.p1, XM_027267762.1.p1, XM_027267760.1.p1, XM_027267930.1.p1, XM_027270745.1.p1, XM_027270747.1.p1
OG0001418	NM_202317.3.p1	XM_027239377.1.p1, XM_027234770.1.p1
OG0001418	NM_121087.3.p1	XM_027222599.1.p1, XM_027219091.1.p1
OG0001419	NM_128328.3.p1	XM_027207253.1.p1, XM_027210371.1.p1, XM_027214493.1.p1
OG0001420	NM_128992.3.p1	XR_003458813.1.p1, XM_027258475.1.p1, XM_027251511.1.p1, XM_027251510.1.p1
OG0001423	NM_001337007.1.p1, NM_001337009.1.p1, NM_129862.3.p1, NM_001337008.1.p1, NM_115768.5.p1, NM_001035812.2.p1	XM_027205516.1.p1, XM_027205512.1.p1, XM_027208346.1.p1, XM_027205514.1.p1, XM_027208338.1.p1
OG0001424	NM_119675.4.p1, NM_001342324.1.p1, NM_001036714.5.p1, NM_101914.4.p1	XM_027221894.1.p1
OG0001424	NM_001035996.1.p1, NM_202144.2.p1, NM_001332452.1.p1	XM_027234995.1.p1
OG0001425	NM_120078.2.p1, NM_001335761.1.p1, NM_001036312.2.p1, NM_001342293.1.p1	XM_027256426.1.p1
OG0001426	NM_001037014.2.p1	XM_027217102.1.p1
OG0001426	NM_001332196.1.p1, NM_101465.5.p1, NM_106733.3.p1	XM_027267495.1.p1
OG0001427	NM_001335073.1.p1	XM_027237264.1.p1, XM_027234306.1.p1
OG0001427	NM_120991.3.p1, NM_001037059.2.p1, NM_001345626.1.p1, NM_001345625.1.p1, NM_125832.4.p1, NM_001345624.1.p1, NM_180934.2.p1, NM_180933.2.p1	XM_027222299.1.p1, XM_027250397.1.p1
OG0001428	NM_201673.1.p1, NM_126328.4.p1, NM_102463.4.p1	XM_027225563.1.p1
OG0001430	NM_104744.4.p1, NM_001333900.1.p1, NM_001333899.1.p1, NM_001124047.2.p1, NM_001123788.1.p1, NM_100941.4.p1	XM_027244617.1.p1
OG0001431	NM_001124033.2.p1, NM_104498.4.p1, NM_112114.4.p1	XM_027205790.1.p1, XM_027208345.1.p1
OG0001431	NM_179576.3.p1	XM_027205982.1.p1, XM_027205980.1.p1, XM_027208526.1.p1, XM_027242676.1.p1
OG0001432	NM_001197995.1.p1, NM_100552.4.p1, NM_201838.2.p1, NM_128615.3.p1, NM_001336276.1.p1	XM_027239745.1.p1
OG0001432	NM_100309.4.p1, NM_001331471.1.p1	XM_027260626.1.p1, XM_027260627.1.p1, XR_003459236.1.p1
OG0001435	NM_103068.2.p1, NM_001198201.1.p1	XM_027238074.1.p1, XM_027236492.1.p1
OG0001435	NM_202435.2.p1, NM_001334799.1.p1	XM_027218124.1.p1, XM_027235827.1.p1, XM_027245038.1.p1
OG0001436	NM_001334885.1.p1, NM_001334886.1.p1, NM_106600.3.p1, NM_001198508.1.p1, NM_001332221.1.p1, NM_101497.4.p1	XM_027271567.1.p1, XM_027207902.1.p1
OG0001437	NM_001202669.1.p1, NM_001335983.1.p1, NM_001335980.1.p1, NM_128079.8.p1, NM_001335982.1.p1, NM_001342123.1.p1, NM_001203957.2.p1, NM_001342122.1.p1	XM_027229633.1.p1
OG0001438	NM_115022.3.p1, NM_001203127.1.p1	XM_027215498.1.p1, XM_027215497.1.p1
OG0001438	NM_125220.4.p1	XM_027235395.1.p1, XM_027235390.1.p1
OG0001439	NM_001339810.1.p1, NM_001339807.1.p1, NM_001339808.1.p1, NM_001203178.2.p1, NM_115531.4.p1	XM_027211252.1.p1, XM_027211253.1.p1
OG0001440	NM_120331.5.p1	XM_027231698.1.p1, XR_003452541.1.p1, XR_003452542.1.p1, XR_003452544.1.p1
OG0001441	NM_100101.4.p1, NM_001331327.1.p1, NM_001331328.1.p1, NM_180601.2.p1	XM_027257672.1.p1
OG0001442	NM_100241.4.p1, NM_001331422.1.p1, NM_116580.4.p1, NM_001341905.1.p1, NM_118955.3.p1	XM_027208575.1.p1
OG0001442	NM_105980.4.p1	XM_027243103.1.p1
OG0001443	NM_001334354.1.p1, NM_105491.2.p1, NM_001334357.1.p1	XM_027240903.1.p1, XM_027240904.1.p1, XM_027240504.1.p1, XM_027242381.1.p1
OG0001443	NM_001334249.1.p1, NM_001334248.1.p1	XM_027218362.1.p1, XM_027222911.1.p1, XM_027218361.1.p1
OG0001444	NM_001341241.1.p1, NM_117886.3.p1	XM_027225357.1.p1, XM_027225358.1.p1
OG0001444	NM_001334340.1.p1, NM_202376.3.p1, NM_105472.3.p1	XM_027239854.1.p1
OG0001445	NM_202444.2.p1, NM_001334848.1.p1, NM_106528.4.p1	XM_027205584.1.p1, XM_027205583.1.p1
OG0001446	NM_001335612.1.p1, NM_127435.4.p1, NM_117721.2.p1	XM_027265198.1.p1, XM_027260087.1.p1, XM_027265197.1.p1, XM_027260085.1.p1
OG0001447	NM_001336327.1.p1, NM_128692.5.p1, NM_100494.5.p1, NM_001337029.1.p1, NM_129904.3.p1, NM_201950.3.p1	XM_027263815.1.p1, XM_027263816.1.p1
OG0001448	NM_180091.2.p1, NM_001337094.1.p1	XM_027257615.1.p1
OG0001449	NM_001337844.1.p1, NM_111815.5.p1, NM_001337845.1.p1, NM_116921.5.p1	XM_027268099.1.p1
OG0001449	NM_104777.4.p1	XM_027233876.1.p1
