Orthogroup	Arabidopsis_thaliana_rna_prot	Glycine_max_rna_prot
OG0000628	NM_128851.4.p1	XM_041016755.1.p1, XM_006582314.4.p1, XM_041016754.1.p1, XM_041016756.1.p1, XM_041016757.1.p1, XM_041016758.1.p1, XM_041016753.1.p1, XM_006578316.4.p1, XM_014774642.3.p1, XM_003526293.5.p1
OG0000628	NM_001345502.1.p1, NM_203250.4.p1, NM_203249.2.p1, NM_001203661.1.p1	XM_041014975.1.p1, XM_041014969.1.p1, XM_041014970.1.p1, XM_041014972.1.p1, XM_014774847.2.p1, XM_041014976.1.p1
OG0000629	NM_117884.3.p1, NM_001333004.1.p1, NM_102966.4.p1	NM_001353422.1.p1, XM_041005456.1.p1, XM_014766924.3.p1, XM_003534235.5.p1, NM_001249811.2.p1
OG0000629	NM_180501.3.p1, NM_111169.5.p1	XM_003538606.5.p1, XM_006573786.4.p1
OG0000630	NM_102395.3.p1, NM_001334400.1.p1	XM_003531909.5.p1, XM_003547744.4.p1, XM_014768538.3.p1, XM_006574898.4.p1, XM_003516406.5.p1
OG0000630	NM_125484.4.p1	XM_003522936.5.p1, NM_001255745.2.p1, XM_014774707.3.p1, XM_041014602.1.p1, XM_041011107.1.p1, XM_006579637.4.p1, XM_003549531.5.p1
OG0000631	NM_111786.2.p1, NM_111787.2.p1	XM_003536917.4.p1, XM_041008074.1.p1, XM_003554289.5.p1, XM_003521306.5.p1
OG0000632	NM_115924.4.p1, NM_001337116.1.p1, NM_130077.3.p1	NM_001248905.2.p1
OG0000633	NM_106265.4.p1, NM_103408.3.p1, NM_102033.1.p1, NM_102034.1.p1	XM_003523159.5.p1, XM_003527413.5.p1, XM_003550396.5.p1, XM_006596465.4.p1
OG0000633	NM_120004.5.p1, NM_001342497.1.p1, NM_001342496.1.p1, NM_118949.1.p1	XM_006591972.4.p1, XM_003537706.5.p1
OG0000633	NM_118322.4.p1	XM_003549723.5.p1, XM_003529590.4.p1
OG0000634	NM_001342780.1.p1	XM_014772912.3.p1, XM_006606229.4.p1, XM_041013427.1.p1, XM_041005841.1.p1, XM_006581574.2.p1, XM_014774953.3.p1
OG0000634	NM_001344952.1.p1	XM_003535368.5.p1, XM_003555479.5.p1, XR_003262950.2.p1, XM_003549096.5.p1
OG0000635	NM_101133.3.p1	XM_003525683.5.p1, XM_006600746.4.p1, XM_006573696.4.p1
OG0000635	NM_124581.3.p1	XM_003535579.5.p1
OG0000635	NM_129202.1.p1	XM_003553539.4.p1, XM_003546924.4.p1, XM_003536996.4.p1, XM_003541400.4.p1
OG0000636	NM_112706.3.p1, NM_101377.5.p1	XM_041004911.1.p1, XM_006587158.4.p1, NM_001252890.2.p1, XM_041005615.1.p1, XM_006605277.3.p1
OG0000637	NM_103863.3.p1, NM_119572.7.p1	XM_003544418.5.p1, XM_003550284.4.p1, XM_003525844.5.p1, XM_003523908.4.p1, XM_006577971.4.p1, XM_003529357.4.p1, XM_006574834.3.p1
OG0000637	NM_105835.2.p1, NM_102123.4.p1	XM_003556124.5.p1, XM_006599398.3.p1, XM_026126286.2.p1, XM_003519923.5.p1
OG0000638	NM_179379.4.p1, NM_179380.1.p1, NM_102449.4.p1	XM_041005272.1.p1, XM_003517924.5.p1, XM_003518677.5.p1, XM_003532015.5.p1, XM_014779353.2.p1, XM_006602235.4.p1
OG0000638	NM_117913.5.p1	XM_041011224.1.p1, XM_006600826.3.p1, XM_006579608.4.p1, XM_041015788.1.p1
OG0000639	NM_103733.4.p1, NM_112646.2.p1, NM_123913.2.p1	XM_003548246.5.p1, XM_003533241.5.p1
OG0000639	NM_105247.4.p1	NM_001289202.2.p1
OG0000640	NM_106480.4.p1	XR_005891974.1.p1, XM_014776318.3.p1, XR_005891976.1.p1, XR_005891972.1.p1, XR_005891239.1.p1, XM_041015129.1.p1, XM_041015130.1.p1
OG0000640	NM_129075.4.p1, NM_001036052.2.p1, NM_102996.3.p1	XM_041018463.1.p1, XM_041018462.1.p1, XM_003530518.4.p1, XM_006585828.3.p1, XM_003530517.5.p1, XM_003531915.4.p1, XM_003517877.5.p1, XM_006572916.4.p1
OG0000641	NM_001036360.3.p1, NM_128414.3.p1, NM_001203649.1.p1, NM_001339212.1.p1	XM_006594047.4.p1, XM_014765504.3.p1, XM_006588684.3.p1, XM_041007427.1.p1, XR_005887565.1.p1, XM_006590945.4.p1, XR_005888748.1.p1, XM_041009837.1.p1, XM_041008510.1.p1, XM_006594934.4.p1
OG0000642	NM_111954.3.p1, NM_001202929.1.p1, NM_120642.3.p1, NM_001342829.1.p1, NM_001339761.1.p1, NM_115455.5.p1	NM_001289310.1.p1, XM_003552278.5.p1, XM_003519351.5.p1, XM_003544033.4.p1
OG0000642	NM_129381.4.p1	XM_014771227.3.p1, XM_003529110.5.p1, NM_001367054.1.p1
OG0000643	NM_100780.3.p1, NM_202070.1.p1	XM_003554601.5.p1, XM_003521649.5.p1, XM_003536022.5.p1, XM_003556468.5.p1
OG0000643	NM_118641.3.p1, NM_001203904.1.p1, NM_124485.3.p1	XM_003532213.5.p1, XM_041017866.1.p1, XM_014775802.3.p1, XM_003522407.5.p1, XM_003526861.5.p1
OG0000644	NM_001332539.1.p1, NM_001332538.1.p1, NM_106449.3.p1, NM_001334809.1.p1, NM_001334811.1.p1, NM_001334812.1.p1, NM_001334810.1.p1, NM_116931.3.p1	XM_041008982.1.p1, XM_041008986.1.p1, XM_026125122.2.p1, XM_006581488.4.p1, XM_026125664.2.p1, XM_003532918.4.p1
OG0000645	NM_201677.3.p1, NM_126348.4.p1, NM_001335149.1.p1, NM_201676.2.p1, NM_201678.1.p1	XM_003517931.5.p1, XM_003518679.4.p1, XM_006605504.4.p1, XM_041017405.1.p1, XM_041017404.1.p1
OG0000646	NM_001335713.1.p1, NM_127654.4.p1, NM_116577.5.p1, NM_001340445.1.p1	XM_006594548.4.p1, XM_006597346.3.p1, XM_006594269.4.p1, XM_006594270.4.p1, XM_041008206.1.p1, XM_041008203.1.p1, XM_003541503.5.p1, XM_003528385.5.p1, XM_041008437.1.p1, XM_006594798.4.p1, XM_014764772.3.p1, XM_026124529.2.p1, XM_014777099.3.p1, NM_001250451.2.p1
OG0000647	NM_127969.3.p1, NM_001335916.1.p1, NM_001342018.1.p1, NM_001342017.1.p1, NM_119217.3.p1	XM_041007788.1.p1, XM_006575252.4.p1, XM_003518176.4.p1, XM_041011084.1.p1, XM_006600470.4.p1, XM_041011085.1.p1, XM_041011087.1.p1, XM_006578397.4.p1, XM_041014557.1.p1, XM_006582048.4.p1, XM_006582046.4.p1, XM_006582050.4.p1
OG0000649	NM_106199.5.p1	XM_041014768.1.p1, XM_041014769.1.p1, XM_041014766.1.p1, XM_041014767.1.p1, XM_041014765.1.p1, XM_006577917.4.p1
OG0000649	NM_119120.2.p1, NM_179139.1.p1, NM_001341977.1.p1, NM_127508.2.p1, NM_125079.3.p1	XM_014769673.2.p1, XM_006595272.3.p1, XM_014765410.3.p1, XM_003542283.5.p1, NM_001256884.1.p1, XM_003534875.5.p1, XM_003547426.5.p1
OG0000650	NM_001345296.1.p1, NM_125215.5.p1	XM_006601986.4.p1, XM_006601989.4.p1, XM_006591205.3.p1, XM_006575395.4.p1, XM_006575394.4.p1, XM_003519247.5.p1, XM_014767145.3.p1
OG0000650	NM_111702.2.p1, NM_202528.3.p1	XM_006587845.4.p1, XM_003551570.5.p1
OG0000651	NM_117762.3.p1	NM_001317438.2.p1, XM_003538690.5.p1, XM_003525804.5.p1, NM_001317661.2.p1
OG0000651	NM_100083.2.p1	XR_005886421.1.p1
OG0000651	NM_115922.3.p1, NM_130075.4.p1	NM_001253070.1.p1, XM_003516968.5.p1, XM_003517923.5.p1
OG0000652	NM_129195.6.p1, NM_105366.4.p1	XM_041012643.1.p1, XM_006604562.4.p1, XM_041014138.1.p1, XM_041014139.1.p1
OG0000653	NM_001342060.1.p1, NM_001036681.4.p1, NM_202920.3.p1, NM_001342062.1.p1, NM_001342063.1.p1, NM_001342058.1.p1, NM_001203949.2.p1, NM_001342059.1.p1, NM_119267.5.p1, NM_001342061.1.p1, NM_127998.3.p1	XM_006580439.4.p1, XM_003525277.5.p1, XM_003530493.5.p1, XM_006584718.4.p1
OG0000654	NM_001337120.1.p1, NM_001084593.1.p1, NM_130088.3.p1, NM_119990.3.p1	XM_003523950.5.p1, XM_014774373.3.p1, XM_041016198.1.p1, XM_003526714.5.p1, XM_006581015.4.p1, XM_026128140.2.p1
OG0000655	NM_001340122.1.p1, NM_001340121.1.p1, NM_001084856.2.p1, NM_001337190.1.p1, NM_130206.3.p1, NM_001125064.1.p1	XM_006598844.4.p1, XM_026126073.2.p1, XM_014768938.3.p1, XM_014768939.2.p1, XM_014768940.3.p1, XM_041016880.1.p1, XM_041016883.1.p1, NM_001255914.2.p1, XM_041016881.1.p1, XM_041016884.1.p1, XM_041010738.1.p1, XM_041012763.1.p1, XM_014772092.3.p1
OG0000656	NM_127040.4.p1, NM_001202598.1.p1, NM_001124846.2.p1, NM_119546.3.p1	XM_041009298.1.p1, XM_041011503.1.p1, XM_041014800.1.p1
OG0000656	NM_102539.3.p1, NM_148080.2.p1	XM_003536531.5.p1
OG0000657	NM_118239.3.p1, NM_001341476.1.p1	XM_014772283.3.p1, XM_041006509.1.p1, XM_003538580.5.p1
OG0000658	NM_001345354.1.p1, NM_180892.2.p1, NM_001345355.1.p1, NM_001345353.1.p1	XM_041008559.1.p1, XM_003543470.5.p1, XM_041009866.1.p1
OG0000658	NM_001342650.1.p1, NM_180423.3.p1, NM_120301.4.p1	XM_003520852.5.p1, XM_041015901.1.p1, NM_001255144.2.p1, NM_001253055.1.p1, XM_014771266.3.p1, XM_041016870.1.p1, NM_001254708.3.p1
OG0000659	NM_001342671.1.p1, NM_120359.3.p1	XM_006594040.4.p1, XM_006594041.4.p1, XM_006588682.4.p1, XM_003536929.5.p1
OG0000660	NM_120928.3.p1, NM_001343000.1.p1, NM_001343805.1.p1, NM_001343807.1.p1, NM_122255.6.p1, NM_001343806.1.p1	XM_041004958.1.p1
OG0000661	NM_001343176.1.p1, NM_119349.2.p1	XM_003523647.5.p1, XM_041015451.1.p1, XM_003523645.5.p1, XR_001388832.2.p1, XM_006582282.4.p1, XM_041016743.1.p1, XM_003526277.5.p1, XM_003526283.5.p1, XM_003526273.5.p1, XM_006582281.4.p1, XM_003526276.5.p1, XM_003556776.4.p1, XM_006605572.4.p1, XM_006605571.4.p1
OG0000662	NM_110993.4.p1, NM_121515.6.p1, NM_126327.4.p1, NM_101309.5.p1	XM_006573027.3.p1, XM_003519723.5.p1, XM_003530637.5.p1
OG0000663	NM_179008.2.p1	XM_003545277.5.p1, XM_003550279.4.p1
OG0000664	NM_106092.4.p1	XM_041008219.1.p1
OG0000664	NM_105828.4.p1, NM_117044.3.p1, NM_202797.1.p1	XM_041006641.1.p1, NM_001249870.2.p1, XM_041006644.1.p1, XM_041006642.1.p1, XM_014763873.3.p1, XM_006574416.4.p1, XR_413008.4.p1, XM_014762563.3.p1, XM_041013080.1.p1
OG0000665	NM_124708.3.p1, NM_118933.3.p1	XM_003527925.5.p1, XM_003522501.5.p1, XM_003544044.5.p1, XM_006593696.4.p1
OG0000665	NM_117184.4.p1, NM_118506.3.p1, NM_202870.1.p1	XM_014777134.3.p1, XM_003538634.5.p1, XM_006580480.4.p1, XM_003532381.5.p1
OG0000666	NM_117300.3.p1, NM_117302.6.p1, NM_117301.9.p1, NM_118397.4.p1, NM_118395.3.p1, NM_117303.3.p1, NM_123829.3.p1	XM_003550837.5.p1, XM_003549831.5.p1
OG0000667	NM_121528.3.p1, NM_001036809.1.p1, NM_001343391.1.p1	XM_003533493.5.p1, XM_003534402.4.p1, XM_003534401.5.p1, XM_006602845.4.p1
OG0000668	NM_103998.3.p1, NM_001084225.2.p1, NM_001198265.1.p1	NM_001255566.2.p1, XM_003547050.5.p1, XM_041006382.1.p1, XM_041006381.1.p1, XM_041007060.1.p1, NM_001250054.2.p1
OG0000669	NM_122440.6.p1, NM_001084762.2.p1	XM_003545407.5.p1, XM_003549242.5.p1, XM_006582420.3.p1
OG0000669	NM_001339084.1.p1, NM_114085.4.p1, NM_122853.4.p1	XM_003542599.5.p1, XM_006600672.3.p1, XM_041011154.1.p1, XM_006600671.4.p1, XM_006594190.4.p1, XM_003549690.5.p1, XM_014769695.3.p1, XM_026125127.2.p1
OG0000670	NM_001342429.1.p1, NM_001204014.2.p1, NM_119871.3.p1	XM_006579753.4.p1, XM_026128412.2.p1, XM_006579756.4.p1, XM_006600933.4.p1, XM_014776120.3.p1, XR_005891993.1.p1, XM_041016489.1.p1, XM_014763851.3.p1, XM_014763847.3.p1
OG0000670	NM_001085225.2.p1, NM_001344457.1.p1, NM_001085226.1.p1	XM_006601237.3.p1, XM_006601239.3.p1, XM_041011523.1.p1, XM_006601236.3.p1, XM_006595894.4.p1, XM_014767170.2.p1, XM_006577945.4.p1, XM_006577946.4.p1, XM_041016243.1.p1
OG0000671	NM_127135.4.p1, NM_001335458.1.p1, NM_119607.5.p1	XM_014778147.2.p1, XM_003529338.5.p1, XM_003518801.5.p1
OG0000671	NM_114922.5.p1, NM_001339476.1.p1	XM_003517243.5.p1, XM_003537281.5.p1, XM_006600928.4.p1
OG0000672	NM_121750.4.p1, NM_001343498.1.p1, NM_001337466.1.p1	XM_003534454.4.p1
OG0000673	NM_114709.4.p1, NM_125730.3.p1, NM_124417.3.p1	XM_006578633.3.p1, XM_006582457.3.p1, XM_006579529.4.p1, XM_003549793.5.p1
OG0000673	NM_113639.4.p1, NM_001338862.1.p1, NM_123445.2.p1, NM_123444.2.p1	XM_006604030.2.p1, XM_041015370.1.p1
OG0000674	NM_102304.3.p1	XM_006583650.4.p1
OG0000675	NM_179528.2.p1, NM_179527.3.p1, NM_179529.2.p1	XM_041017072.1.p1, XM_014778087.2.p1, XM_003529180.4.p1, NM_001253939.2.p1, XM_006574398.4.p1
OG0000675	NM_117881.4.p1	XM_003516946.5.p1, XM_003534238.4.p1
OG0000679	NM_001198039.1.p1, NM_179312.4.p1, NM_101055.4.p1	XM_041016869.1.p1, NM_001353852.1.p1, NM_001353885.1.p1, NM_001353856.1.p1
OG0000679	NM_001084314.2.p1, NM_105396.4.p1	NM_001353853.1.p1, XR_001388506.3.p1, XM_006580413.4.p1, XM_003522659.4.p1
OG0000680	NM_001338443.1.p1, NM_001338440.1.p1, NM_001338442.1.p1, NM_001338441.1.p1, NM_001333435.1.p1, NM_001333433.1.p1	XM_006589682.4.p1, XM_003555142.5.p1
OG0000680	NM_112533.1.p1, NM_104795.4.p1, NM_001124052.2.p1, NM_001124053.2.p1	XM_014767985.3.p1, XM_014765817.3.p1, XM_014765642.3.p1, XM_014765641.3.p1, XM_003541502.5.p1
OG0000681	NM_001203026.1.p1, NM_001338651.1.p1, NM_001338650.1.p1, NM_001338649.1.p1, NM_001125211.3.p1	XM_014769282.2.p1, XM_003529565.5.p1, NM_001250379.1.p1
OG0000682	NM_117708.6.p1, NM_001160767.2.p1, NM_180193.3.p1	XM_003550482.5.p1
OG0000683	NM_001341336.1.p1, NM_001341338.1.p1, NM_001341337.1.p1, NM_118062.7.p1	XM_041010215.1.p1, XM_006599141.4.p1, XM_003547774.4.p1, XM_003547773.5.p1, XM_041010219.1.p1, XM_041010280.1.p1, XM_003547683.5.p1, XR_005886409.1.p1, XM_006587593.4.p1, XR_005886410.1.p1, XR_005886411.1.p1, XM_041015924.1.p1, XM_041015933.1.p1, XM_041015932.1.p1, XM_041015929.1.p1, XM_041015926.1.p1
OG0000684	NM_001203962.1.p1, NM_119407.3.p1	XM_003522586.5.p1, XM_003522585.5.p1, XM_006581321.4.p1, XM_003526382.5.p1, XM_003544574.5.p1, XM_003544575.4.p1, XM_003550115.5.p1, XM_003550116.4.p1
OG0000685	NM_001331329.1.p1	XM_006589466.4.p1, XM_006589468.4.p1, XM_003536407.5.p1, XM_006587215.4.p1, XM_041010573.1.p1, XM_014762127.3.p1, XM_014768562.2.p1
OG0000686	NM_120039.3.p1, NM_127690.4.p1	XM_003537710.4.p1, XM_003540435.5.p1, XM_003526999.5.p1, XM_003522718.5.p1
OG0000686	NM_113420.3.p1	XM_003520936.5.p1
OG0000686	NM_001334697.1.p1, NM_001334696.1.p1, NM_106226.4.p1, NM_101852.4.p1	XM_006581101.4.p1, XM_003523441.5.p1
OG0000687	NM_119727.4.p1, NM_001342363.1.p1, NM_127316.4.p1	XM_003537632.5.p1, NM_001365106.1.p1
OG0000687	NM_101912.3.p1, NM_106281.6.p1, NM_001334719.1.p1, NM_001334720.1.p1	NM_001254692.2.p1, XM_003523962.5.p1
OG0000688	NM_001336386.1.p1	XM_041010664.1.p1
OG0000689	NM_104567.3.p1, NM_100832.2.p1	XM_003539338.5.p1, XM_006592588.4.p1
OG0000689	NM_001340648.1.p1, NM_103096.2.p1, NM_202395.1.p1, NM_105821.4.p1	XM_006590407.4.p1, XM_003516679.5.p1
OG0000690	NM_001343628.1.p1, NM_001343629.1.p1, NM_121997.3.p1, NM_001343630.1.p1, NM_001343627.1.p1	XR_005890368.1.p1, XR_005890369.1.p1, XR_005890371.1.p1, XM_003536749.5.p1
OG0000691	NM_180373.3.p1, NM_115338.1.p1	XM_006574699.3.p1, XM_006574700.4.p1, XM_003519913.5.p1, XM_003548024.5.p1, XM_006599380.4.p1, XM_041005864.1.p1, XM_006589362.4.p1, XM_006606185.2.p1, XM_003556186.5.p1
OG0000691	NM_128393.3.p1, NM_100674.3.p1, NM_202061.2.p1, NM_100675.4.p1	XM_003539719.5.p1, XM_041007431.1.p1, XM_003538144.5.p1, XM_041007027.1.p1, XM_003543431.4.p1, XM_014764985.3.p1
OG0000692	NM_120357.6.p1, NM_120356.4.p1	XM_041012400.1.p1, NM_001317638.1.p1, NM_001317586.2.p1, XM_006588679.3.p1, NM_001248217.1.p1, NM_001317494.1.p1, NM_001255211.3.p1
OG0000693	NM_001036521.3.p1, NM_116939.5.p1, NM_001340603.1.p1, NM_202153.2.p1, NM_001332542.1.p1, NM_102068.5.p1	XM_014767090.3.p1, XM_003544734.5.p1, XM_014765359.3.p1, XM_003542443.5.p1, XM_006593502.4.p1, XM_014765358.3.p1, XM_014765360.3.p1, XM_041014697.1.p1, XM_003522758.5.p1, NM_001255109.2.p1, XM_014774592.3.p1, XM_041014699.1.p1
OG0000694	NM_125083.3.p1	XM_006586956.4.p1, XM_003546413.5.p1, XM_003549179.5.p1, XM_026124927.2.p1
OG0000695	NM_202249.3.p1	XM_014767254.3.p1
OG0000696	NM_112336.5.p1	XM_003546815.5.p1, XM_003531369.5.p1
OG0000696	NM_001336241.1.p1, NM_001161069.1.p1, NM_001336239.1.p1, NM_128567.3.p1	XM_006575362.4.p1, XM_006596375.4.p1
OG0000697	NM_001337030.1.p1, NM_001337032.1.p1, NM_001161100.2.p1	XM_041009467.1.p1, XM_006596992.4.p1, XM_014767362.3.p1, XM_006596994.4.p1, XM_006596993.4.p1, NM_001255311.2.p1
OG0000698	NM_001203119.1.p1, NM_114913.4.p1	XM_014776115.3.p1, XM_014776114.3.p1, XM_003516548.5.p1, XM_041006600.1.p1, XM_003525656.4.p1
OG0000698	NM_129679.2.p1, NM_115535.3.p1	XM_003535860.5.p1, XM_003518936.4.p1, XM_041012517.1.p1, XM_041012515.1.p1, XM_041012516.1.p1
OG0000699	NM_130333.4.p1, NM_116148.3.p1	XM_003520690.5.p1, XM_003553604.5.p1, XM_003536077.5.p1
OG0000699	NM_180363.3.p1, NM_001203151.1.p1	XM_003542426.5.p1, XM_003537161.5.p1
OG0000700	NM_104455.4.p1	XM_003552937.5.p1
OG0000700	NM_148137.1.p1, NM_122412.1.p1, NM_124988.2.p1, NM_001203918.2.p1	XM_006586735.4.p1, XM_006586736.4.p1, XM_003534943.4.p1, XR_003265692.1.p1
OG0000701	NM_102098.3.p1, NM_001332550.1.p1, NM_001334518.1.p1, NM_105880.4.p1	XM_003556452.4.p1, NM_001255536.2.p1, XM_006577188.4.p1, XM_003554616.5.p1, XM_003522730.5.p1, XM_003526518.5.p1, XM_041016380.1.p1, XM_003544766.5.p1, XM_003519136.4.p1
OG0000702	NM_001332805.1.p1, NM_102585.3.p1	NM_001255282.2.p1, XM_003526492.4.p1
OG0000702	NM_116391.4.p1	XM_026124694.2.p1, NM_001254369.2.p1, NM_001250060.3.p1, XM_006580861.4.p1
OG0000702	NM_127813.3.p1, NM_201781.1.p1	XM_006585869.4.p1, XM_003551186.5.p1
OG0000703	NM_001333252.1.p1	XR_415005.4.p1, XM_006601223.4.p1, XM_006601224.4.p1, XM_003544414.5.p1
OG0000703	NM_119860.3.p1	NM_001255302.2.p1, XM_003537255.5.p1, XM_003550016.5.p1, XM_003524604.5.p1
OG0000704	NM_126195.3.p1, NM_148647.3.p1, NM_001334484.1.p1	NM_001249536.1.p1, NM_001249526.2.p1, NM_001251691.2.p1, XM_003555857.4.p1
OG0000704	NM_123143.3.p1, NM_105319.4.p1	XM_003519293.4.p1, XM_003544197.5.p1, XM_006601941.4.p1, XM_003537405.5.p1
OG0000705	NM_001336149.1.p1, NM_001336148.1.p1, NM_100683.3.p1, NM_100681.2.p1	XM_003539152.4.p1, XM_003538136.2.p1, XM_003541939.5.p1
OG0000706	NM_201907.2.p1, NM_001336739.1.p1, NM_115312.1.p1	XM_003554227.5.p1, XM_006604413.4.p1, XM_006574984.4.p1, XM_041006281.1.p1
OG0000706	NM_113197.4.p1, NM_117544.4.p1	XM_003536152.5.p1, XM_003556344.5.p1, XM_003519012.5.p1, XM_003536565.5.p1
OG0000707	NM_118100.1.p1, NM_118097.3.p1, NM_118094.3.p1, NM_118093.1.p1, NM_001341372.1.p1, NM_118096.2.p1, NM_118095.2.p1, NM_001341374.1.p1, NM_001341373.1.p1	XM_003550647.5.p1, XM_003546567.5.p1
OG0000708	NM_126090.5.p1, NM_001345809.1.p1, NM_001345808.1.p1	XM_003551011.4.p1, XM_006579821.3.p1, XM_003551009.5.p1, XM_003551008.5.p1, XM_006579819.4.p1, XM_006600948.4.p1, XR_005892674.1.p1, XM_026126322.2.p1, XM_003524528.5.p1, XM_006590600.4.p1, XM_003516545.4.p1, XM_006573557.3.p1, XR_419133.4.p1
OG0000709	NM_101552.3.p1, NM_106529.2.p1	XR_417313.4.p1, NM_001250834.2.p1, XM_006592871.3.p1, XM_006592870.3.p1
OG0000709	NM_129822.3.p1	XM_003540354.5.p1, NM_001248731.2.p1, XM_003539944.4.p1, XM_003526177.5.p1
OG0000710	NM_110988.3.p1, NM_121519.3.p1	XM_003534408.5.p1, XM_003551681.5.p1, XM_003554344.5.p1, XM_003543716.5.p1
OG0000711	NM_102552.1.p1, NM_113433.1.p1, NM_126475.2.p1, NM_148082.1.p1, NM_126320.1.p1, NM_114036.1.p1	XM_014768792.1.p1
OG0000712	NM_128272.2.p1, NM_122106.2.p1	XM_006595756.4.p1, XM_006588894.3.p1
OG0000717	NM_001035913.2.p1	XM_003537986.5.p1, XM_006591824.4.p1
OG0000717	NM_116367.3.p1, NM_001123738.2.p1, NM_001331281.1.p1, NM_001202826.1.p1, NM_001337177.1.p1	XM_003534498.4.p1, NM_001255435.2.p1, NM_001352963.1.p1
OG0000717	NM_117204.7.p1	XM_003525328.5.p1, XM_006584669.4.p1, NM_001254449.2.p1
OG0000718	NM_102411.3.p1	XM_003528512.5.p1, XM_041013628.1.p1, NM_001251478.2.p1, NM_001251494.2.p1
OG0000718	NM_001036456.1.p1, NM_129820.3.p1	XM_006591823.4.p1, NM_001255222.3.p1
OG0000719	NM_001203526.1.p1, NM_001344464.1.p1	XM_006600126.4.p1, XM_014769313.3.p1, XM_006600125.4.p1
OG0000719	NM_001345769.1.p1, NM_001345768.1.p1	XM_003548841.5.p1, XM_041011167.1.p1, XR_001385305.2.p1, XM_003520271.4.p1
OG0000720	NM_101878.4.p1	XM_026128805.2.p1, XM_006581086.4.p1, XM_006577894.4.p1, XM_006577893.4.p1
OG0000720	NM_126004.6.p1, NM_001203701.1.p1	NM_001255593.2.p1, XM_003538844.5.p1
OG0000721	NM_101224.2.p1, NM_101221.2.p1, NM_101225.2.p1, NM_101218.3.p1, NM_101222.4.p1, NM_101217.4.p1, NM_101220.1.p1, NM_001332069.1.p1, NM_101219.2.p1, NM_101223.2.p1	NM_001370696.1.p1, XR_003266808.2.p1, NM_001317551.2.p1
OG0000721	NM_104842.2.p1	XM_003554918.5.p1
OG0000722	NM_122929.2.p1	XM_006580435.3.p1, XM_006584727.4.p1
OG0000722	NM_119272.3.p1, NM_001342067.1.p1, NM_127999.3.p1	XM_041008975.1.p1, XM_041010999.1.p1, XM_006578996.4.p1
OG0000722	NM_001334855.1.p1, NM_001332256.1.p1	XM_041007957.1.p1, XM_041009760.1.p1
OG0000723	NM_001332346.1.p1, NM_001332343.1.p1, NM_001332344.1.p1, NM_106046.5.p1	XM_041005499.1.p1
OG0000723	NM_105041.4.p1, NM_202350.1.p1, NM_123496.2.p1	XM_041017878.1.p1, XM_014778629.3.p1, XM_014775832.3.p1, XM_006580516.4.p1, XM_006580514.4.p1
OG0000724	NM_102589.4.p1	XM_006583757.4.p1, XM_006583756.4.p1, XM_003542698.5.p1, XM_003545932.5.p1, XM_003542997.5.p1
OG0000724	NM_202284.3.p1, NM_001333574.1.p1, NM_001333571.1.p1, NM_001333573.1.p1	XM_041008384.1.p1, XM_003539549.5.p1
OG0000725	NM_001336592.1.p1, NM_129186.5.p1, NM_106089.1.p1, NM_106088.3.p1, NM_106090.4.p1	XM_041013784.1.p1, XM_041013783.1.p1, XM_003542553.5.p1, NM_001255764.2.p1, XM_003535829.5.p1
OG0000726	NM_130246.3.p1, NM_001337215.1.p1, NM_001337216.1.p1	XM_014768429.3.p1, NM_001255953.3.p1, XM_041016867.1.p1, XM_041016866.1.p1, XM_041016865.1.p1, NM_001255709.3.p1
OG0000727	NM_111627.2.p1	XM_006576716.3.p1, XM_003554075.5.p1
OG0000728	NM_129449.2.p1	XM_006588833.4.p1, XM_003537098.5.p1
OG0000728	NM_111902.2.p1, NM_120569.3.p1	XM_006605644.4.p1, XM_003555647.5.p1, XM_003535897.4.p1, XM_041006355.1.p1
OG0000729	NM_112077.3.p1, NM_112076.3.p1, NM_112078.2.p1, NM_112081.2.p1, NM_112079.2.p1, NM_112082.2.p1, NM_129170.3.p1	XM_014767848.3.p1
OG0000730	NM_114753.2.p1	NM_001251467.2.p1, XM_041004778.1.p1, NM_001249350.2.p1, XM_003556056.5.p1
OG0000730	NM_130145.6.p1, NM_115990.5.p1	XM_003534525.5.p1, NM_001248252.2.p1, XM_003521086.5.p1, XM_003528818.5.p1
OG0000731	NM_179162.4.p1	XM_006605909.4.p1
OG0000731	NM_115161.4.p1	XM_003523927.5.p1, XM_026128166.2.p1, XR_414570.4.p1, XM_003527675.4.p1
OG0000732	NM_180737.3.p1, NM_124730.5.p1	XM_003525278.5.p1, XM_006584717.4.p1, XR_005889745.1.p1, XM_003527942.4.p1, XM_014774934.3.p1
OG0000734	NM_126402.3.p1	XM_003518721.5.p1, XM_006574878.4.p1, XM_006573088.3.p1
OG0000735	NM_100474.2.p1, NM_113397.1.p1, NM_123211.1.p1, NM_123210.2.p1, NM_114821.1.p1, NM_100473.2.p1, NM_128699.3.p1, NM_179869.2.p1, NM_128301.2.p1, NM_001124960.1.p1, NM_128703.1.p1	XM_006574235.1.p1, XM_006591474.1.p1, XM_006574234.1.p1, XM_006574098.1.p1, XM_006596531.1.p1, XM_006576058.4.p1
OG0000736	NM_001161234.1.p1, NM_001161235.1.p1, NM_121155.4.p1, NM_121158.4.p1	XM_003531660.5.p1, XM_003522572.4.p1, XM_003526364.5.p1, XM_003526365.4.p1, XM_041016301.1.p1
