Orthogroup	Arabidopsis_thaliana_rna_prot	Vitis_vinifera_rna_prot
OG0002129	NM_001333233.1.p1, NM_001333232.1.p1, NM_001333234.1.p1, NM_202243.3.p1	XM_002266737.4.p1
OG0002130	NM_001334595.1.p1, NM_106001.3.p1, NM_101658.3.p1	XM_002279243.4.p1
OG0002131	NM_001339490.1.p1	XM_010650776.3.p1
OG0002131	NM_001335477.1.p1, NM_127202.5.p1	XM_010649367.3.p1
OG0002132	NM_001335562.1.p1, NM_127337.3.p1, NM_119765.2.p1, NM_114984.3.p1, NM_001339495.1.p1	XM_019219568.2.p1
OG0002133	NM_112462.6.p1	XM_002264276.4.p1
OG0002133	NM_119368.3.p1, NM_128092.2.p1, NM_001335990.1.p1, NM_001335992.1.p1, NM_001335991.1.p1	XM_010650372.3.p1
OG0002134	NM_102802.2.p1, NM_001336530.1.p1	XM_002269134.4.p1
OG0002135	NM_115432.5.p1, NM_001339744.1.p1, NM_129215.4.p1, NM_001336805.1.p1, NM_129547.3.p1	XM_002280181.4.p1
OG0002136	NM_115642.2.p1, NM_180414.3.p1, NM_001336965.1.p1, NM_001336963.1.p1, NM_001336964.1.p1, NM_180037.4.p1	XM_002282861.4.p1
OG0002137	NM_111287.3.p1, NM_001337505.1.p1	XM_019219498.2.p1, XM_002268746.5.p1, XM_019219497.2.p1
OG0002138	NM_111992.3.p1, NM_001337941.1.p1	XM_019221905.2.p1, XM_010655824.3.p1
OG0002139	NM_121449.2.p1	XM_002271284.5.p1, XM_002272149.4.p1
OG0002139	NM_001338925.1.p1	XM_002274376.5.p1
OG0002140	NM_001339762.1.p1, NM_129572.5.p1, NM_125249.3.p1	XM_019224434.2.p1, XM_010652594.2.p1, XM_010652593.2.p1
OG0002141	NM_124081.4.p1, NM_001341236.1.p1, NM_001341237.1.p1, NM_117870.4.p1	XM_019223998.2.p1, XM_010664291.3.p1
OG0002142	NM_125736.4.p1	XM_019226625.2.p1
OG0002142	NM_001343322.1.p1, NM_121425.4.p1	XM_010662485.3.p1
OG0002143	NM_001343479.1.p1, NM_121712.4.p1, NM_111182.3.p1	XM_002274890.5.p1
OG0002144	NM_180509.4.p1, NM_001343522.1.p1	XM_002267207.4.p1, XM_010654853.3.p1, XM_059738868.1.p1
OG0002144	NM_179420.2.p1, NM_103325.4.p1	XM_002285788.5.p1
OG0002145	NM_116338.4.p1, NM_100025.3.p1	XM_002276719.5.p1
OG0002145	NM_117179.3.p1	XM_010660740.3.p1
OG0002146	NM_101267.4.p1, NM_126380.5.p1, NM_126356.2.p1, NM_102432.3.p1, NM_105613.5.p1	XM_002267365.4.p1
OG0002148	NM_101598.3.p1, NM_112266.4.p1, NM_104285.5.p1	XM_010657795.3.p1, XM_002270787.5.p1
OG0002149	NM_102053.3.p1, NM_148664.3.p1	XM_002285786.4.p1
OG0002150	NM_103046.4.p1, NM_103048.5.p1, NM_117113.4.p1	XM_002276749.5.p1, XM_002268823.5.p1
OG0002151	NM_112521.4.p1, NM_104076.4.p1	XM_002277762.5.p1, XM_010649983.3.p1, XM_010656314.3.p1, XM_059739479.1.p1
OG0002152	NM_106061.4.p1, NM_106060.3.p1, NM_106059.5.p1	XM_010665209.3.p1, XM_010665582.1.p1, XM_002270024.4.p1, XM_010665210.3.p1, XR_009464646.1.p1, XM_002274199.3.p1, XM_059734184.1.p1, XM_002274098.5.p1
OG0002153	NM_128138.3.p1	XM_019219353.2.p1
OG0002154	NM_124253.3.p1, NM_111591.4.p1, NM_113395.4.p1	XM_002267455.5.p1, XM_002268865.5.p1
OG0002155	NM_111688.7.p1, NM_111950.3.p1	XM_002276819.4.p1, XM_002269869.5.p1
OG0002156	NM_124117.3.p1, NM_117838.4.p1	XM_002277868.5.p1
OG0002156	NM_112495.4.p1	NM_001281029.1.p1
OG0002157	NM_113446.5.p1	XM_059738337.1.p1
OG0002157	NM_129942.3.p1	XM_002274965.5.p1
OG0002158	NM_125372.4.p1	XM_002281378.5.p1
OG0002158	NM_114525.3.p1, NM_125329.4.p1	XM_003632100.4.p1
OG0002159	NM_114854.2.p1, NM_126142.5.p1, NM_119918.3.p1	XM_002284260.5.p1
OG0002160	NM_115829.4.p1	XM_010652413.3.p1
OG0002161	NM_118318.3.p1, NM_116701.2.p1	XM_003632910.4.p1, XR_009465315.1.p1
OG0002162	NM_117370.3.p1	XM_059738224.1.p1, XM_059738222.1.p1, XM_059738223.1.p1, XM_002270621.4.p1
OG0002163	NM_117439.3.p1	XM_059739296.1.p1
OG0002165	NM_118555.4.p1	XM_002285116.3.p1
OG0002166	NM_119400.3.p1, NM_127631.3.p1	XM_002274190.5.p1
OG0002167	NM_126128.4.p1, NM_119888.3.p1, NM_127894.2.p1	XM_002278493.4.p1
OG0002167	NM_119586.3.p1, NM_127090.2.p1	XM_010649595.3.p1
OG0002168	NM_126018.3.p1	XM_010650723.3.p1
OG0002168	NM_119660.4.p1	XM_002277574.4.p1
OG0002169	NM_125963.3.p1, NM_119830.6.p1	XM_010650860.3.p1
OG0002170	NM_120199.2.p1, NR_142489.1.p1	XM_002278765.5.p1
OG0002170	NM_129556.4.p1	XM_002276014.4.p1
OG0002172	NM_127131.5.p1	XM_002282019.5.p1
OG0002172	NM_123792.4.p1	XM_002284589.4.p1
OG0002173	NM_126178.4.p1, NM_201658.1.p1	XM_002279942.4.p1, XM_010665185.3.p1
OG0002174	NM_201675.2.p1, NM_126341.3.p1	XM_010653514.3.p1
OG0002175	NM_127241.5.p1	XM_010660140.3.p1, XM_010660142.3.p1
OG0002176	NM_127311.5.p1	XM_019218763.2.p1, XR_009466025.1.p1, XR_786234.3.p1, XR_009466024.1.p1, XR_786235.3.p1
OG0002187	NM_001331287.1.p1, NM_001331286.1.p1, NM_001035853.1.p1, NM_100047.4.p1	XM_002274690.4.p1
OG0002187	NM_105046.3.p1	XM_002274960.5.p1
OG0002188	NM_001036060.3.p1, NM_001036059.2.p1	XM_002281960.5.p1
OG0002189	NM_001036307.2.p1, NM_001335739.1.p1, NM_001084464.1.p1, NM_120053.3.p1, NM_001342513.1.p1	XM_002268745.5.p1
OG0002190	NM_001036457.3.p1, NM_001336996.1.p1, NM_001336995.1.p1	XM_010658651.3.p1, XM_010658652.3.p1
OG0002191	NM_123516.4.p1, NM_124643.4.p1, NM_001036641.2.p1, NM_118706.4.p1	XM_002278723.5.p1, XM_010664377.3.p1
OG0002192	NM_001036693.2.p1, NM_119381.3.p1, NM_128100.4.p1	XM_002285132.4.p1
OG0002193	NM_001036730.2.p1, NM_106251.5.p1, NM_101877.6.p1	XM_010665836.3.p1, XM_002280255.4.p1
OG0002194	NM_001084005.3.p1, NM_128551.4.p1	XM_002279000.4.p1
OG0002194	NM_001336824.1.p1	XM_002272074.4.p1
OG0002196	NM_001203324.1.p1, NM_001085075.1.p1	XM_010649422.2.p1
OG0002197	NM_001085007.1.p1, NM_119358.4.p1	XM_010650423.3.p1, XM_010650425.3.p1, XM_003631717.4.p1
OG0002198	NM_121497.5.p1, NM_001085116.1.p1	XM_010662660.3.p1, XM_059742742.1.p1, XM_019224878.2.p1, XM_010662661.3.p1, XM_019224876.2.p1, XM_059742415.1.p1, XM_002264625.5.p1
OG0002199	NM_125335.4.p1, NM_001085303.1.p1	XM_002264890.5.p1
OG0002200	NM_001125204.1.p1, NM_113136.4.p1	XM_002272696.5.p1, XM_019221101.2.p1, XM_010651585.3.p1, XM_059736852.1.p1
OG0002201	NM_001125328.2.p1, NM_001339434.1.p1	XM_059738599.1.p1
OG0002203	NM_100814.4.p1	XM_002280478.5.p1, XM_010661439.3.p1
OG0002203	NM_001198024.1.p1, NM_100943.4.p1, NM_001198025.1.p1, NM_179303.4.p1, NM_001333917.1.p1	XM_019220075.2.p1
OG0002205	NM_001202809.2.p1, NM_001337017.1.p1, NM_100461.6.p1	XM_059737053.1.p1, XM_010652167.3.p1
OG0002206	NM_114572.3.p1, NM_001339297.1.p1, NM_001339299.1.p1, NM_114567.5.p1, NM_114568.6.p1, NM_001203095.1.p1, NM_114571.1.p1, NM_001339302.1.p1, NM_001339301.1.p1	XM_010652633.3.p1
OG0002207	NM_111809.5.p1	XM_002280236.3.p1
OG0002207	NM_001339202.1.p1, NM_114397.2.p1, NM_001339203.1.p1	XM_019220360.2.p1, XM_010652844.3.p1, XM_002282201.5.p1
OG0002208	NM_001203517.2.p1, NM_123479.4.p1, NM_105009.3.p1	XM_010662604.3.p1
OG0002208	NM_124607.5.p1	XM_010664465.3.p1
OG0002209	NM_130359.3.p1, NM_001337284.1.p1	XM_002270166.5.p1, XM_010653771.3.p1
OG0002210	NM_001331628.1.p1, NM_001336312.1.p1, NM_179825.3.p1, NM_001336310.1.p1	XM_002282071.5.p1
OG0002211	NM_125288.4.p1, NM_001331696.1.p1	XM_010652653.3.p1
OG0002211	NM_001336684.1.p1, NM_201899.2.p1	XM_010665790.3.p1
OG0002212	NM_101490.4.p1, NM_001332216.1.p1, NM_001334895.1.p1, NM_106607.5.p1	XM_002277064.4.p1
OG0002213	NM_101676.4.p1, NM_001332334.1.p1, NM_106025.4.p1	XM_059734205.1.p1, XM_059734207.1.p1, XM_010665367.3.p1, XM_010665366.3.p1, XM_019226524.2.p1, XM_010665370.3.p1, XM_059734203.1.p1, XM_059734202.1.p1
OG0002214	NM_114977.3.p1, NM_126025.3.p1	XM_010650751.3.p1
OG0002214	NM_101841.5.p1, NM_001332416.1.p1	XM_002277877.5.p1
OG0002215	NM_102067.3.p1, NM_001332541.1.p1, NM_106454.4.p1	XM_002284189.5.p1
OG0002216	NM_102344.3.p1, NM_001332675.1.p1, NM_105503.3.p1	XM_002276490.5.p1, XM_002279397.4.p1
OG0002217	NM_001332984.1.p1, NM_102923.4.p1, NM_001332983.1.p1	XM_002277208.5.p1
OG0002218	NM_103692.3.p1, NM_001333288.1.p1	XM_002279720.4.p1, XM_002273448.4.p1, XM_019219805.1.p1
OG0002219	NM_103902.4.p1, NM_001333424.1.p1, NM_001333425.1.p1	XM_002273507.3.p1
OG0002220	NM_122982.4.p1	XM_002269517.5.p1
OG0002221	NM_106407.7.p1, NM_001334788.1.p1	XM_010665909.3.p1, XM_059734623.1.p1
OG0002221	NM_126468.4.p1	XM_002267381.4.p1, XM_010659188.3.p1
OG0002222	NM_001334952.1.p1, NM_106655.3.p1, NM_001334954.1.p1, NM_001334953.1.p1	XM_002265259.5.p1
OG0002222	NM_122443.3.p1, NM_119379.3.p1	XM_019219511.2.p1
OG0002223	NM_105578.3.p1, NM_202379.3.p1, NM_001335200.1.p1	XM_002264967.5.p1
OG0002224	NM_001335704.1.p1, NM_127643.5.p1	XM_002263813.4.p1
OG0002225	NM_127796.3.p1, NM_001335797.1.p1, NM_001335796.1.p1	XM_010646920.3.p1
OG0002226	NM_179699.3.p1, NM_001336548.1.p1	XM_010648488.3.p1
OG0002227	NM_129610.3.p1	XM_002274291.4.p1
OG0002228	NM_001339864.1.p1, NM_001339863.1.p1, NM_001339862.1.p1, NM_001339860.1.p1, NM_001339861.1.p1, NM_001336936.1.p1, NM_129738.5.p1	XM_010655468.3.p1
OG0002229	NM_001340116.1.p1, NM_130202.4.p1, NM_001337189.1.p1	XM_002271071.5.p1, XM_002276682.4.p1
OG0002230	NM_001340138.1.p1, NM_116075.3.p1, NM_130267.6.p1, NM_001337231.1.p1	XM_002281109.5.p1
OG0002230	NM_112640.5.p1	XM_002275479.5.p1
OG0002231	NM_203063.2.p1, NM_121683.4.p1, NM_001343462.1.p1, NM_001343463.1.p1, NM_001337449.1.p1, NM_001337450.1.p1	XM_003633958.4.p1, XM_002277535.4.p1
OG0002232	NM_001337747.1.p1, NM_111665.3.p1, NM_001337746.1.p1	XM_059734879.1.p1, XM_019216240.2.p1
OG0002233	NM_112255.4.p1, NM_001338097.1.p1, NM_104295.4.p1	XM_010656173.3.p1, XM_059739434.1.p1, XM_059739433.1.p1, XM_059739432.1.p1, XM_059739431.1.p1, XM_059739428.1.p1, XM_010656176.3.p1, XM_010656174.3.p1, XM_002275712.5.p1
OG0002234	NM_122216.4.p1	XM_002272262.5.p1
OG0002234	NM_001338760.1.p1	XM_003631181.4.p1
OG0002235	NM_102360.4.p1, NM_101203.5.p1, NM_113479.5.p1, NM_001338767.1.p1	XM_002282060.5.p1, XM_002276144.5.p1
OG0002236	NM_001338822.1.p1, NM_001338821.1.p1, NM_001338819.1.p1, NM_113581.4.p1, NM_001338820.1.p1	XM_002277037.4.p1, XM_059742659.1.p1, XM_010662361.3.p1
OG0002237	NM_001339348.1.p1, NM_114674.7.p1	XM_003633786.4.p1, XM_010664901.3.p1
OG0002238	NM_103694.4.p1	XM_002273623.5.p1
OG0002238	NM_116138.4.p1, NM_001340170.1.p1	XM_002267015.4.p1, XM_002283281.5.p1
OG0002239	NM_001342493.1.p1, NM_001342495.1.p1, NM_001342492.1.p1, NM_001342494.1.p1	XM_010648004.3.p1, XM_059735807.1.p1, XM_010647961.3.p1, XM_010647979.3.p1, XM_010647966.3.p1, XM_010647972.3.p1, XM_059735806.1.p1
OG0002240	NM_001342909.1.p1, NM_001342908.1.p1	XM_002268439.4.p1, XM_002268362.4.p1, XM_019221549.2.p1, XM_059739266.1.p1, XM_010655600.3.p1
OG0002241	NM_120999.3.p1, NM_001343053.1.p1, NM_125839.4.p1	XM_003631461.1.p1, XM_002285565.4.p1, XM_002263865.5.p1
OG0002242	NM_121331.3.p1	XM_010658539.3.p1
OG0002242	NM_121409.4.p1, NM_001343314.1.p1	XM_010662387.3.p1
OG0002243	NM_180517.3.p1, NM_001343557.1.p1, NM_001343559.1.p1, NM_121869.4.p1, NM_001343558.1.p1	XM_010651472.2.p1
OG0002244	NM_123393.1.p1, NM_001344318.1.p1, NM_123391.4.p1	XM_002278593.4.p1
OG0002245	NM_001344699.1.p1, NM_124051.5.p1, NM_001344700.1.p1	XM_010665261.3.p1
OG0002246	NM_125774.3.p1, NM_001345612.1.p1, NM_147856.4.p1	XM_002274141.5.p1
OG0002246	NM_100054.3.p1	XM_010665889.3.p1
OG0002247	NM_001345658.1.p1, NM_125896.3.p1	XM_002270327.4.p1, XM_002284116.5.p1
OG0002248	NM_001345687.1.p1	XM_019218106.2.p1, XM_003635004.4.p1
OG0002248	NM_118589.3.p1	XM_010666081.3.p1, XM_059734381.1.p1
OG0002249	NM_100405.4.p1, NM_113072.2.p1, NM_117200.4.p1	XM_002280238.5.p1
OG0002250	NM_101159.2.p1, NM_180305.2.p1, NM_113580.2.p1	XM_002277331.5.p1
OG0002251	NM_101712.4.p1, NM_106066.6.p1, NM_106064.4.p1	XM_002277996.5.p1, XM_002265358.4.p1
OG0002252	NM_101768.4.p1	XM_019225209.2.p1, XM_010662581.3.p1, XM_010662578.3.p1, XM_019226594.2.p1, XM_059733951.1.p1, XM_019226595.2.p1, XM_002278649.5.p1
OG0002253	NM_102904.3.p1, NM_102902.2.p1, NM_102906.4.p1	XM_002278146.2.p1, XM_002278208.5.p1
OG0002254	NM_103072.3.p1	XM_002266743.4.p1, XM_059734429.1.p1, XM_010645699.3.p1
OG0002255	NM_118634.3.p1, NM_103076.4.p1	XM_002276825.5.p1, XM_010656184.3.p1
OG0002256	NM_103354.4.p1, NM_116920.4.p1	XM_010665962.3.p1
OG0002257	NM_104787.3.p1	XM_010645915.3.p1, XM_002271052.5.p1
OG0002258	NM_117523.4.p1, NM_117522.3.p1	XM_002284505.5.p1, XM_002284511.5.p1
OG0002258	NM_105226.4.p1	XM_002279143.5.p1, XM_002283901.4.p1
OG0002259	NM_105729.6.p1	XM_002272024.4.p1
OG0002260	NM_106032.5.p1	XR_009465812.1.p1, XR_009465813.1.p1, XR_002030352.2.p1
OG0002261	NM_106283.3.p1	XM_002271408.4.p1
OG0002263	NM_112973.3.p1	XM_002285517.5.p1
OG0002264	NM_130381.3.p1	XM_003632267.4.p1
OG0002264	NM_202034.3.p1, NM_113160.3.p1	XM_002278938.4.p1
OG0002265	NM_125294.3.p1, NM_114557.3.p1, NM_125293.4.p1	XM_019220295.2.p1, XM_019220296.2.p2, NM_001281100.1.p1
OG0002266	NM_114959.3.p1, NM_126037.5.p1, NM_119806.3.p1	XM_002275273.5.p1
OG0002267	NM_125287.5.p1	XM_003632133.4.p1
OG0002267	NM_115271.5.p1	XM_002277385.4.p1
OG0002268	NM_115410.3.p1	XM_010660240.3.p1, XM_002283196.5.p1
OG0002269	NM_115989.4.p1	XM_002267950.4.p1, XM_010663449.3.p1, XM_010663448.3.p1, XM_059743227.1.p1
OG0002270	NM_130151.7.p1	XM_059742988.1.p1, XM_002273807.4.p1
OG0002270	NM_116273.5.p1	XM_019225799.2.p1, XM_002274576.5.p1
OG0002271	NM_118435.5.p1	XM_002276615.5.p1
OG0002271	NM_125600.3.p1, NM_120806.4.p1	XM_010664207.3.p1
OG0002272	NM_118505.5.p1	XM_010660604.3.p1, XM_010660613.3.p1
OG0002273	NM_124622.5.p1, NM_118694.5.p1	XM_019226245.2.p1, XM_002272286.5.p1
OG0002274	NM_118881.3.p1, NM_124754.4.p1	XM_002269302.5.p1, XM_002284764.4.p1
OG0002275	NM_119622.3.p1	XM_010666411.3.p1, XM_002283784.5.p1
OG0002275	NM_126042.3.p1	XM_002265888.4.p1
OG0002276	NM_119720.4.p1	XM_002279906.4.p1, XM_002272827.4.p1, XM_002272384.4.p1
OG0002277	NM_120395.2.p1	XM_002275502.4.p1, XM_002280793.5.p1, XM_002285032.5.p1
OG0002278	NM_120706.5.p1	XM_002281630.5.p1
OG0002279	NM_130038.4.p1	XM_002271100.5.p1
OG0002280	NM_180938.3.p1, NM_121006.4.p1	XM_010653638.3.p1, XM_002282109.4.p1, XM_019220070.2.p1, XM_010651689.3.p1, XM_002284145.5.p1
OG0002281	NM_125936.4.p1, NM_121080.3.p1	XM_059738550.1.p1, XM_002285692.5.p1
OG0002282	NM_121293.3.p1	XM_002282978.5.p1
OG0002283	NM_122036.5.p1, NM_125314.5.p1	XM_002275058.5.p1, XM_002269006.5.p1, XM_059738237.1.p1
OG0002284	NM_123492.4.p1	XM_002267554.5.p1
OG0002285	NM_125373.3.p1	XM_059740387.1.p1
OG0002285	NM_126453.5.p1	XM_002266692.4.p1
OG0002286	NM_125840.4.p1	XM_002264155.4.p1
OG0002287	NM_203113.3.p1, NM_180752.3.p1	XM_010661371.3.p1, XM_002282825.4.p1, XM_010661367.3.p1
OG0002297	NM_001337943.1.p1, NM_001035595.1.p1, NM_001337942.1.p1, NM_180229.4.p1	XR_002030694.2.p1, XM_010655832.3.p1, XM_010655833.2.p1, XM_010655835.2.p1, XM_010655834.3.p1
OG0002298	NM_001331239.1.p1, NM_001331241.1.p1, NM_001331240.1.p1, NM_001035846.2.p1, NM_001340325.1.p1, NM_001340327.1.p1, NM_001340329.1.p1, NM_001340322.1.p1, NM_001340326.1.p1, NM_001340323.1.p1, NM_116381.4.p1	XM_002268402.5.p1
OG0002299	NM_001331276.1.p1, NM_001035851.2.p1, NM_100031.5.p1	XM_059736596.1.p1
OG0002300	NM_001123984.1.p1, NM_001123983.1.p1, NM_119775.4.p1, NM_001342402.1.p1, NM_001342403.1.p1, NM_001036716.2.p1, NM_001036717.2.p1, NM_001335567.1.p1, NM_001335568.1.p1, NM_001335572.1.p1, NM_001335570.1.p1, NM_127351.3.p1, NM_001335569.1.p1, NM_001335571.1.p1, NM_001202617.2.p1, NM_001335573.1.p1	XM_002268410.5.p1
OG0002301	NM_120736.3.p1, NM_001036766.2.p1, NM_001342884.1.p1	XM_010654936.3.p1
OG0002303	NM_001084912.2.p1, NM_001340829.1.p1, NM_001340828.1.p1, NM_001340831.1.p1, NM_001340827.1.p1, NM_001160757.2.p1, NM_117373.5.p1, NM_001340830.1.p1	XM_059738076.1.p1
OG0002304	NM_001085034.5.p1	XM_002277886.5.p1
OG0002304	NM_112818.4.p1, NM_103861.4.p1	XM_010649434.3.p1
OG0002305	NM_179670.4.p1, NM_001124879.1.p1, NM_001335687.1.p1	XM_010654083.3.p1, XM_059737966.1.p1
OG0002306	NM_001125095.2.p1, NM_001337502.1.p1, NR_143281.1.p1, NR_143277.1.p1, NR_143275.1.p1, NR_143279.1.p1, NR_143280.1.p1, NM_121829.2.p1	XM_002282288.4.p1
OG0002307	NM_001161044.1.p1, NM_126984.4.p1, NM_119521.5.p1	XM_002269738.5.p1
OG0002308	NM_001198404.1.p1, NM_105368.3.p1, NM_001334262.1.p1, NM_118803.5.p1, NM_124930.4.p1	XM_002276721.5.p1
OG0002309	NM_148666.4.p1, NM_001198502.1.p1	XM_002265966.5.p1
OG0002310	NM_001198509.2.p1, NM_001334908.1.p1	XR_002030945.2.p1, XM_059739729.1.p1, XM_010656826.3.p1
OG0002311	NM_001344537.1.p1, NM_123786.4.p1, NM_001202633.1.p1, NM_001335694.1.p1, NM_127617.3.p1	XM_002275194.5.p1
OG0002312	NM_115651.3.p1, NM_001203191.1.p1, NM_201940.4.p1	XM_002278169.4.p1, XM_059739268.1.p1
OG0002313	NM_123388.5.p1, NM_001203512.2.p1, NM_123387.3.p1, NM_117644.3.p1, NM_001341052.1.p1	XM_002279740.4.p1
OG0002314	NM_001203534.2.p1, NM_123734.3.p1	XR_009465658.1.p1, XM_059736883.1.p1
OG0002315	NM_001342172.1.p1, NM_001203963.2.p1	XM_002284047.5.p1
OG0002316	NM_106577.4.p1, NM_001334880.1.p1, NM_001334878.1.p1	XM_002262882.4.p1
OG0002317	NM_179299.4.p1, NM_001331884.1.p1, NM_001331886.1.p1, NM_001331885.1.p1	XM_019224663.2.p1, XM_002268941.4.p1
OG0002319	NM_001332989.1.p1, NM_179406.2.p1, NM_001332990.1.p1	XM_010664608.3.p1, XM_019224854.2.p1, XM_059734609.1.p1
OG0002320	NM_001334418.1.p1, NM_102447.5.p1	XM_002275215.5.p1
OG0002321	NM_001334798.1.p1, NM_106429.6.p1, NM_001334797.1.p1, NM_001334794.1.p1	XM_010665964.3.p1
OG0002322	NM_119044.2.p1, NM_127569.3.p1, NM_179664.2.p1, NM_001335661.1.p1	XM_010650210.3.p1, XM_002280757.5.p1, XM_010658003.3.p1
OG0002323	NM_001336383.1.p1, NM_128785.3.p1	XM_059736070.1.p1, XM_010649907.3.p1
OG0002323	NM_117602.9.p1	XM_003631199.3.p1
OG0002324	NM_179895.1.p1, NM_128982.2.p1, NM_179896.4.p1, NM_001336504.1.p1, NM_001336502.1.p1, NM_001336503.1.p1, NM_001336505.1.p1, NM_102693.3.p1	XM_019218080.1.p1, XR_009466726.1.p1, XM_002271400.5.p1
OG0002325	NM_001339756.1.p1, NM_115446.4.p1, NM_001339755.1.p1, NM_001336821.1.p1, NM_179994.3.p1, NM_001336820.1.p1	XM_059742039.1.p1, XR_009467407.1.p1
OG0002326	NM_115567.3.p1, NM_001336901.1.p1, NM_001336902.1.p1	XM_019221690.2.p1, XM_003632686.4.p1
OG0002326	NM_115306.5.p1	XM_059741531.1.p1, XM_059741532.1.p1
OG0002327	NM_001338480.1.p1, NM_001338481.1.p1, NM_112939.4.p1	XM_059735573.1.p1, XM_010646161.3.p1, XM_019217482.2.p1, XM_002279404.4.p1
OG0002328	NM_117647.3.p1, NM_001338537.1.p1, NM_180289.4.p1	XM_002277883.5.p1, XM_002270300.4.p1, XM_010658498.3.p1, XM_002266889.5.p1
OG0002329	NM_001345581.1.p1, NM_125711.5.p1, NM_001345580.1.p1, NM_001339366.1.p1, NM_114697.4.p1, NM_001339367.1.p1	XM_002278156.5.p1
OG0002330	NM_001339607.1.p1, NM_180359.2.p1, NM_115187.2.p1, NM_001339606.1.p1, NM_001339605.1.p1, NM_202693.2.p1	XM_059740616.1.p1, XM_002285373.4.p1
OG0002331	NM_001340871.1.p1, NM_117440.3.p1, NM_102944.3.p1	XM_002283612.5.p1, XM_010666573.3.p1, XM_059734753.1.p1, XM_059734755.1.p1, XM_059734760.1.p1, XM_019225128.2.p1, XM_059734745.1.p1, XM_059734749.1.p1, XM_019225137.2.p1, XM_010666582.3.p1, NM_001281290.1.p1
OG0002332	NM_106463.3.p1	XM_002285764.4.p1
OG0002332	NM_121057.2.p1, NM_001343094.1.p1	XM_002262753.5.p1
OG0002333	NM_122388.4.p1, NM_001343121.1.p1, NM_001343122.1.p1, NM_203033.1.p1, NM_119282.3.p1	XM_002283053.4.p1
OG0002334	NM_203039.3.p1, NM_001343223.1.p1, NM_121233.4.p1	XM_002278269.4.p1
OG0002335	NM_001343684.1.p1, NM_180714.4.p1, NM_001343685.1.p1	XM_002277825.5.p1, XM_010657794.3.p1
OG0002336	NM_001345498.1.p1, NM_125576.6.p1	XM_019226609.2.p1, XM_002284703.5.p1
OG0002337	NM_001345574.1.p1, NM_125700.4.p1	XM_003634219.3.p1
OG0002338	NM_001345813.1.p1, NM_126117.3.p1	XM_059738683.1.p1, XR_009466249.1.p1
OG0002340	NM_130323.4.p1, NM_116466.4.p1, NM_100160.4.p1	XM_002268456.5.p1
OG0002341	NM_100217.3.p1	XM_002273723.5.p1
OG0002341	NM_117380.4.p1	XM_002279138.5.p1
OG0002342	NM_101196.3.p1	XM_002281622.5.p1
OG0002342	NM_111501.3.p1	XM_002277298.4.p1
OG0002343	NM_117481.2.p1, NM_126214.5.p1, NM_126213.3.p1, NM_113553.3.p1, NM_113552.4.p1, NM_118498.4.p1, NM_118499.4.p1, NM_101364.4.p1, NM_101363.4.p1, NM_101362.3.p1, NM_102837.2.p1, NM_101365.3.p1	XM_003631157.4.p1, NM_001281222.1.p1, XM_059736148.1.p1, XM_059736237.1.p1
OG0002344	NM_128176.3.p1	XM_002279018.4.p1
OG0002344	NM_101610.3.p1, NM_105926.5.p1	XM_002274623.4.p1
OG0002345	NM_101789.4.p1, NM_128040.1.p1	XM_002264514.3.p1, XM_059743243.1.p1
OG0002345	NM_106160.3.p1, NM_106162.3.p1, NM_106161.3.p1	NM_001281159.1.p1
OG0002346	NM_114669.4.p1	XM_002283096.5.p1
OG0002346	NM_102228.4.p1	XM_010655033.3.p1
OG0002347	NM_102735.3.p1, NM_202208.1.p1	XM_059740093.1.p1, XM_059740092.1.p1
OG0002348	NM_106433.4.p1	XM_002270666.5.p1, XM_002285789.5.p1
OG0002349	NM_103586.4.p1	XM_010666432.3.p1, XM_010666433.3.p1, XM_002280972.4.p1
OG0002350	NM_103925.6.p1	XM_002266875.5.p1
OG0002351	NM_104480.4.p1, NM_112134.3.p1	XM_002270742.5.p1
OG0002352	NM_113335.1.p1, NM_113336.3.p1, NR_142327.1.p1	XM_002285522.5.p1
OG0002354	NM_121364.3.p1	XM_002278887.4.p1
OG0002354	NM_105605.3.p1	XM_002266304.4.p1
OG0002355	NM_119512.8.p1, NM_121076.3.p1	XM_002266719.5.p1, XM_003632429.4.p1
OG0002355	NM_105881.3.p1	XM_003634369.4.p1
OG0002356	NM_106594.4.p1	XM_010646802.3.p1
OG0002357	NM_120664.4.p1, NM_111966.4.p1	XM_002279951.4.p1
OG0002358	NM_118880.4.p1	XM_002284741.3.p1
OG0002359	NM_112450.2.p1	XM_010656494.3.p1
OG0002359	NM_128217.4.p1, NM_179751.2.p1	XM_002282236.5.p1
OG0002360	NM_112707.3.p1	XM_002277189.5.p1
OG0002360	NM_126180.4.p1	XM_002283369.5.p1
OG0002361	NM_116790.3.p1	XM_002264284.5.p1
OG0002361	NM_112920.4.p1	XM_002277758.4.p1
OG0002362	NM_113058.4.p1	XM_010658923.3.p1
OG0002363	NM_117563.3.p1, NM_113174.3.p1	XM_010653697.3.p1, XM_059737825.1.p1, XM_002283037.4.p1
OG0002364	NR_141619.1.p1, NR_141618.1.p1, NR_141617.1.p1, NM_113363.2.p1	XM_002280992.4.p1
OG0002365	NM_124233.3.p1, NM_113429.5.p1	XM_002263530.5.p1
OG0002367	NM_113615.4.p1	XM_010662427.3.p1
