Orthogroup	Arabidopsis_thaliana_rna_prot	Solanum_lycopersicum_rna_prot
OG0001222	NM_001336202.1.p1, NM_128476.3.p1, NM_128475.4.p1	XM_004236689.4.p1, XM_004241168.4.p1, XM_019214375.2.p1, XM_019214374.2.p1
OG0001222	NM_111871.7.p1	XM_019210855.2.p1
OG0001223	NM_001336970.1.p1, NM_001336969.1.p1, NM_180038.2.p1, NM_129800.2.p1, NM_001336971.1.p1, NM_001339908.1.p1, NM_115674.4.p1	XM_004244208.4.p1, XM_004243351.4.p1
OG0001224	NM_111582.3.p1, NM_001337686.1.p1	XM_004240415.3.p1, XM_004240414.4.p1, XM_010328018.3.p1, XM_004247056.4.p1
OG0001225	NM_125204.3.p1	XM_004239562.3.p1
OG0001226	NM_104228.3.p1, NM_001338136.1.p1	XM_004244248.4.p1, XM_010328806.2.p1
OG0001227	NM_113076.3.p1, NM_001338550.1.p1	XM_004251462.4.p1, XM_026028768.1.p1
OG0001229	NM_001340187.1.p1, NM_001340188.1.p1	XM_010324725.3.p1
OG0001229	NM_121870.4.p1	XM_004241020.3.p1, XM_010322890.3.p1, XM_004229168.4.p1
OG0001230	NM_117933.6.p1, NM_001341268.1.p1, NM_001341270.1.p1, NM_001341269.1.p1	NM_001347958.1.p1
OG0001231	NM_100530.5.p1	XM_004248166.4.p1
OG0001232	NM_126441.1.p1, NM_101230.4.p1, NM_121588.3.p1, NM_123241.3.p1, NM_113954.2.p1	XM_004238955.4.p1, XM_004237019.4.p1, XM_019212710.2.p1, XM_010317895.3.p1
OG0001233	NM_106178.4.p1, NM_101801.3.p1	NM_001294181.2.p1, NM_001302905.1.p1
OG0001234	NM_113739.3.p1, NM_123378.3.p1	XM_004232225.3.p1
OG0001234	NM_102257.2.p1	XM_004238669.4.p1
OG0001234	NM_117877.2.p1, NM_124071.3.p1	XM_004244505.4.p1
OG0001235	NM_112083.4.p1	XM_004230002.4.p1, XM_004230001.4.p1
OG0001235	NM_121954.3.p1	XM_004251193.4.p1
OG0001236	NM_115032.3.p1	XM_019215789.2.p1, XM_004249589.4.p1
OG0001237	NM_115089.3.p1	XM_010321532.3.p1, XM_004237469.4.p1
OG0001237	NM_120382.4.p1	XM_004246635.4.p1, XM_026027697.1.p1, XM_004249550.4.p1
OG0001238	NM_117780.4.p1, NM_117849.4.p1, NM_124108.3.p1	NM_001348415.1.p1, XM_004244512.4.p1, XM_004241943.4.p1
OG0001238	NM_115903.3.p1, NM_130055.2.p1	NM_001247304.2.p1
OG0001239	NM_116025.4.p1, NM_180402.2.p1, NM_130189.3.p1	XM_026032454.1.p1, XM_010328458.3.p1, XM_010328690.3.p1, XM_004248021.4.p1
OG0001240	NM_123655.5.p1	XM_004238106.4.p1
OG0001244	NM_119387.3.p1, NM_001342136.1.p1	XM_004242902.4.p1, XM_010325136.3.p1, XM_026031925.1.p1, XM_026031923.1.p1, XM_010325138.2.p1
OG0001244	NM_001036227.3.p1, NM_202277.3.p1	XM_004242165.4.p1, XM_004252444.4.p1, XM_004235665.4.p1
OG0001245	NM_127704.3.p1, NM_120056.6.p1, NM_001342518.1.p1, NM_001342520.1.p1, NM_001036734.2.p1, NM_001342519.1.p1	XM_004230904.2.p1, XM_010317030.3.p1
OG0001246	NM_122088.4.p1, NM_001036837.2.p1, NM_114180.3.p1	XM_026031181.1.p1, XM_026031182.1.p1, XM_026031180.1.p1, XM_026031178.1.p1, XM_010315760.3.p1, XM_019211442.2.p1, XM_004243635.4.p1, XM_019214773.2.p1
OG0001247	NM_111283.4.p1, NM_101214.4.p1, NM_001084061.1.p1	XM_004241455.4.p1, NM_001247874.2.p1, NM_001279325.2.p1
OG0001248	NM_001084452.2.p1, NM_127544.3.p1, NM_119057.4.p1	NM_001247781.2.p1
OG0001250	NM_001343397.1.p1, NM_001337322.1.p1, NM_110979.2.p1, NM_001343396.1.p1, NM_121535.4.p1, NM_001085120.1.p1	XM_004228325.4.p1, XM_010321147.3.p1, XM_004232164.3.p1
OG0001251	NM_115153.4.p1, NM_001124981.1.p1, NM_001336598.1.p1, NM_129203.3.p1, NM_180428.2.p1, NM_120450.3.p1	NM_001346988.1.p1
OG0001251	NM_001341807.1.p1, NM_118785.4.p1, NM_001341806.1.p1, NM_001341809.1.p1	NM_001310027.1.p1
OG0001252	NM_104410.3.p1, NM_001160957.2.p1	XM_004228650.4.p1, XM_026029061.1.p1, XM_004228645.4.p1
OG0001253	NM_001202949.2.p1, NM_001338044.1.p1, NM_112179.3.p1, NM_104444.4.p1, NM_001345182.1.p1, NM_001345186.1.p1, NM_001345185.1.p1, NM_001345184.1.p1	XM_004248256.4.p1
OG0001254	NM_120807.4.p1	XM_004234320.4.p1
OG0001254	NM_104990.4.p1, NM_001332049.1.p1, NM_001332047.1.p1, NM_001332048.1.p1, NM_001332050.1.p1, NM_101145.3.p1	XM_004245591.4.p1
OG0001255	NM_126385.4.p1, NM_101262.3.p1, NM_001332105.1.p1	XM_004239040.4.p1
OG0001256	NM_122448.4.p1, NM_121157.2.p1	NM_001319202.1.p1
OG0001256	NM_101405.4.p1, NM_001332163.1.p1	XM_004235917.4.p1
OG0001257	NM_001334558.1.p1, NM_105954.3.p1, NM_112241.4.p1	XM_026030222.1.p1, XM_004235551.4.p1, XM_010316009.3.p1
OG0001257	NM_123884.4.p1	XR_003245172.1.p1, XR_003245171.1.p1, XM_026029189.1.p1, XM_010317348.3.p1, XM_004231529.4.p1
OG0001258	NM_179595.5.p1, NM_201671.3.p1, NM_001335107.1.p1, NM_126296.5.p1, NM_126295.1.p1	XM_004230340.4.p1, XM_004230341.4.p1
OG0001259	NM_001336594.1.p1, NM_129190.3.p1, NM_125677.4.p1	XM_004241480.4.p1, XM_026030085.1.p1, XM_026030084.1.p1, XM_004236060.4.p1
OG0001259	NM_123394.4.p1	XM_004232245.4.p1
OG0001260	NM_180021.5.p1, NM_001336924.1.p1, NM_129717.5.p1	XM_004236538.4.p1
OG0001260	NM_111648.6.p1, NM_001337728.1.p1	XM_004229637.4.p1
OG0001261	NM_001337208.1.p1, NM_001337209.1.p1, NM_130235.5.p1	XM_004229971.4.p1
OG0001261	NM_114797.3.p1, NM_122351.5.p1	XM_019212592.2.p1, NM_001247217.1.p1
OG0001262	NM_001337975.1.p1, NM_112047.4.p1	XM_026029849.1.p1, XM_004234725.4.p1
OG0001263	NM_202560.2.p1, NM_112018.4.p1, NM_120739.3.p1, NM_001339691.1.p1, NM_001339688.1.p1, NM_001339689.1.p1, NM_001339690.1.p1	XM_026028115.1.p1, XM_026028116.1.p1, XM_026028117.1.p1, XM_026028119.1.p1, XM_004249337.3.p1
OG0001264	NM_116024.3.p1, NM_001340113.1.p1, NM_001340111.1.p1	NM_001347312.1.p1
OG0001265	NM_001340261.1.p1, NM_111571.3.p1, NM_117680.4.p1	XM_004252856.4.p1, XM_010323049.3.p1
OG0001266	NM_129207.5.p1	XM_010327636.3.p1, XM_019216041.2.p1
OG0001266	NM_001342781.1.p1, NM_120538.2.p1	XM_010314266.3.p1
OG0001267	NM_001343483.1.p1, NM_121729.3.p1, NM_001343484.1.p1	NM_001347838.1.p1, NM_001319853.1.p1, XM_019211975.2.p1
OG0001268	NM_103706.4.p1	XM_004236870.4.p1
OG0001268	NM_104548.3.p1	XM_010315455.3.p1
OG0001268	NM_100127.3.p1	XM_010323986.3.p1
OG0001269	NM_100680.4.p1	XM_019214371.2.p1
OG0001270	NM_104693.3.p1, NM_100928.4.p1	XM_004238657.4.p1
OG0001270	NM_124388.4.p1, NM_125684.5.p1	XM_004241504.4.p1, XM_004236086.4.p1
OG0001271	NM_101754.3.p1, NM_101755.3.p1	XM_004236119.4.p1, XM_004236118.4.p1
OG0001272	NM_102675.4.p1	XM_004234004.4.p1, XM_010319110.3.p1, XM_004232923.4.p1
OG0001273	NM_114868.4.p1, NM_126125.3.p1	XM_004234613.4.p1, XM_004231830.4.p1
OG0001273	NM_116812.2.p1, NM_103611.2.p1	XM_004238078.4.p1
OG0001274	NM_120429.4.p1, NM_103999.2.p1	XM_010322519.3.p1
OG0001274	NM_106048.4.p1	XM_004236033.4.p1
OG0001275	NM_104332.3.p1	XM_004243290.4.p1, XM_019214745.1.p1, XM_004234292.4.p1
OG0001275	NM_123055.2.p1, NM_105243.4.p1	XM_004232611.4.p1, XM_010317424.2.p1
OG0001276	NM_121134.4.p1	XM_004250717.4.p1
OG0001276	NM_179584.3.p1, NM_106726.5.p1, NM_128767.4.p1	XM_004241634.4.p1, XM_004235887.4.p1
OG0001277	NM_120195.3.p1, NM_111741.3.p1, NM_129363.3.p1	XM_004249555.4.p1, XM_004246800.4.p1
OG0001278	NM_129174.4.p1, NM_111984.5.p2, NM_115118.5.p1	XM_004246442.4.p1, NM_001329219.1.p1
OG0001279	NM_118324.2.p1, NM_116686.2.p1	XM_004233741.4.p1, XM_004232648.4.p1, XM_004233740.4.p1
OG0001280	NM_120210.3.p1, NM_120211.3.p1, NM_119461.4.p1, NM_124878.3.p1	XM_004249021.4.p1, XM_004246730.4.p1
OG0001281	NM_119540.3.p1, NM_119541.4.p1, NM_119543.3.p1	XM_010316874.3.p1, XM_026029010.1.p1, XM_026029011.1.p1, XM_026028968.1.p1
OG0001282	NM_125285.4.p1	NM_001328261.1.p1, XM_004234067.4.p1
OG0001289	NM_130171.4.p1, NM_001035852.3.p1, NM_100037.4.p1	XM_004229874.4.p1, XM_004248008.4.p1
OG0001290	NM_115982.3.p1	XM_004239994.4.p1, XM_004229784.3.p1, XM_026031783.1.p1
OG0001291	NM_202226.3.p1, NM_103042.6.p1, NM_103044.3.p1, NM_103043.2.p1, NM_001036056.1.p1, NM_103045.6.p1	XM_010326204.2.p1, XM_026029880.1.p1, XM_026027923.1.p1, XM_004249226.4.p1
OG0001292	NM_117559.6.p1, NM_001340963.1.p1, NM_202820.2.p1, NM_001338599.1.p1, NM_113180.3.p1, NM_001338600.1.p1, NM_001036565.3.p1, NM_123754.6.p1	XM_004247547.4.p1
OG0001292	NM_116195.3.p1, NM_001340199.1.p1	XM_004247147.4.p1
OG0001293	NM_180823.3.p1, NM_124198.4.p1	XM_010325604.3.p1, XM_004243534.4.p1, XM_004239210.4.p1
OG0001293	NM_203172.4.p1, NM_001036951.2.p1	XM_004236602.4.p1
OG0001294	NM_001331488.1.p1, NM_001331489.1.p1, NM_001336447.1.p1, NM_001084530.3.p1	XM_010316468.2.p1, XM_019215492.2.p1
OG0001295	NM_120034.2.p1, NM_127683.3.p1, NM_001335481.1.p1, NM_119653.4.p1	XM_004248630.4.p1, NM_001247559.1.p1
OG0001295	NM_001339763.1.p1, NM_115465.5.p1	XM_004249866.4.p1
OG0001296	NM_001342223.1.p1	XM_026028058.1.p1, XM_026028061.1.p1
OG0001296	NM_001198022.2.p1, NM_100845.3.p1	XM_026028449.1.p1, XM_010314515.3.p1
OG0001297	NM_103985.4.p1, NM_001198263.1.p1, NM_124849.4.p1	XM_019214992.2.p1, XM_010325504.3.p1, XM_004232706.4.p1, XM_004248289.4.p1, XM_004244111.4.p1
OG0001298	NM_115551.3.p1, NM_129664.6.p1, NM_120589.4.p1	XM_004249054.4.p1
OG0001298	NM_115552.4.p1, NM_001203182.1.p1	XM_004249052.3.p1
OG0001299	NM_124491.3.p1, NM_001203582.1.p1	XM_004235155.4.p1
OG0001299	NM_125924.3.p1, NM_180472.1.p1, NM_121073.4.p1	XM_010314331.3.p1, XM_004250061.4.p1
OG0001300	NM_119166.5.p1, NM_001203942.1.p1, NM_202910.4.p1	NM_001279224.2.p1
OG0001302	NM_001339381.1.p1, NM_122274.3.p1	XM_026030019.1.p1, XM_004235248.4.p1
OG0001302	NM_127312.3.p1	XM_004232509.4.p1, XM_004234467.4.p1
OG0001303	NM_121088.4.p1, NM_127822.3.p1	XM_004250473.4.p1, XM_004236647.4.p1, XM_019213824.1.p1
OG0001304	NM_001342044.1.p1, NM_001335918.1.p1, NM_125168.3.p1	XM_019211335.2.p1, XM_010324901.3.p1, XM_019210980.1.p1
OG0001305	NM_106062.4.p1	XM_004236045.4.p1
OG0001305	NM_129209.4.p1, NM_001336601.1.p1	NM_001247151.2.p1, NM_001345845.1.p1
OG0001306	NM_129386.3.p1	XM_004246733.4.p1, XM_004249667.4.p1
OG0001306	NM_129584.2.p1, NM_001336827.1.p1	XM_010323865.3.p1
OG0001307	NM_115516.3.p1, NM_001336872.1.p1, NM_201922.3.p1, NM_201923.4.p1	XM_004228435.3.p1
OG0001308	NM_001337799.1.p1	XM_004246799.3.p1
OG0001309	NM_001337963.1.p1, NM_001337964.1.p1	XM_026030467.1.p1, XM_010320991.3.p1, XM_004237117.4.p1
OG0001310	NM_001338063.1.p1	XM_004228567.4.p1, XM_019214445.2.p1, XM_019214446.2.p1
OG0001310	NM_115710.3.p1	XM_019215861.2.p1, XM_010313854.3.p1, XM_019215882.2.p1
OG0001311	NM_104201.3.p1, NR_139863.1.p1, NM_001338148.1.p1, NM_128662.2.p1	NM_001247647.1.p1
OG0001312	NM_001338465.1.p1, NM_001338467.1.p1	XM_026030253.1.p1, XM_010320126.3.p1
OG0001313	NM_105180.4.p1	NM_001346865.1.p1
OG0001313	NM_001338515.1.p1, NM_113019.4.p1, NM_104046.3.p1, NM_179462.2.p1	XM_004242742.3.p1, NM_001346841.1.p1, NM_001346845.1.p1, NM_001346847.1.p1
OG0001314	NM_115415.3.p1	XM_010323134.3.p1, XM_004239866.4.p1
OG0001315	NM_001343855.1.p1	XM_004235059.4.p1
OG0001315	NM_001340697.1.p1	XM_004245461.4.p1
OG0001316	NM_001343318.1.p1, NM_001343319.1.p1, NM_121422.4.p1	XM_004233953.4.p1, XM_004233541.4.p1, XM_019212235.2.p1, XM_004233253.4.p1
OG0001317	NM_001343358.1.p1, NM_121476.4.p1	XM_010317983.3.p1
OG0001318	NM_001345636.1.p1, NM_001345633.1.p1, NM_125848.3.p1, NM_001345637.1.p1, NM_001345634.1.p1	XM_010316788.3.p1, XM_010316799.3.p1
OG0001319	NM_127049.4.p1, NM_119547.5.p1	XM_004230660.4.p1, XM_026028311.1.p1
OG0001319	NM_126141.2.p1, NM_001345827.1.p1	XM_004233406.4.p1
OG0001320	NM_100278.3.p1, NM_123775.4.p1	XM_004237748.4.p1, XM_010321787.3.p1
OG0001321	NM_104726.3.p1, NM_102224.4.p1, NM_105705.4.p1	XM_004238621.4.p1, NM_001309261.1.p1, NM_001247906.1.p1, NM_001310316.1.p1
OG0001322	NM_102525.3.p1	XM_010321941.3.p1, XM_004237991.4.p1
OG0001323	NM_116056.2.p1, NM_130243.3.p1	XM_004248375.3.p1
OG0001323	NM_103011.2.p1	XM_004244612.3.p1
OG0001324	NM_119599.1.p1	XM_004246586.4.p1
OG0001326	NM_119290.3.p1, NM_179149.3.p1	XM_004253009.4.p1
OG0001327	NM_125582.3.p1, NM_120813.2.p1	XM_004252423.4.p1, XM_004235799.3.p1
OG0001328	NM_121144.4.p1, NM_122431.3.p1	XM_004244893.4.p1
OG0001332	NM_001334287.1.p1, NM_105398.4.p1	XM_026031803.1.p1, XM_026031805.1.p1, XM_019214629.2.p1
OG0001332	NM_001036226.2.p1, NM_001334924.1.p1, NM_106631.5.p1, NM_001198511.1.p1	XM_026031604.1.p1, XM_004241690.2.p1
OG0001333	NM_001203538.2.p1, NM_001036930.2.p1, NM_123760.3.p1, NM_179256.1.p1	XM_004247750.4.p1, XM_019213847.2.p1, XM_004239853.4.p1, XM_026031255.1.p1, XM_004239854.4.p1
OG0001334	NM_126969.4.p1, NM_120310.2.p1, NM_001203277.2.p1, NM_001337814.1.p1, NM_001084658.2.p1	XM_004246359.4.p1
OG0001335	NM_202601.3.p1, NM_001338310.1.p1, NM_001084705.3.p1, NM_112667.4.p1, NM_001123979.2.p1, NM_001123978.2.p1, NM_103746.3.p1	XM_010324324.3.p1, XM_010320353.3.p1, XM_004235723.4.p1
OG0001336	NM_001085143.1.p1, NM_122149.5.p1, NM_128313.7.p1, NM_100709.5.p1	XM_004251005.4.p1, XM_004241274.4.p1, XM_004228405.4.p1
OG0001337	NM_001337077.1.p1, NM_180081.4.p1, NM_001340006.1.p1, NM_180391.4.p1, NM_001125387.1.p1, NM_115858.6.p1	XM_010317742.3.p1, XM_004228582.4.p1
OG0001338	NM_001125705.2.p1, NM_001342862.1.p1, NM_001342863.1.p1, NM_001342864.1.p1, NM_111991.5.p1, NM_001337939.1.p1, NM_001337940.1.p1, NM_001337938.1.p1, NM_129167.3.p1, NM_179929.3.p1, NM_001336586.1.p1	XM_004246831.4.p1, XM_004249378.4.p1
OG0001340	NM_123052.5.p1, NM_179491.3.p1	NM_001279005.2.p1
OG0001340	NM_001161114.2.p1	XM_004231583.4.p1, XR_739447.3.p1
OG0001341	NM_105217.4.p1	XM_004250022.4.p1
OG0001341	NM_001197991.1.p1, NM_100470.5.p1, NM_001336335.1.p1, NM_128708.5.p1, NM_001336334.1.p1	XM_004241356.4.p1
OG0001342	NM_122070.3.p1	XM_004243667.4.p1
OG0001343	NM_129422.4.p1, NM_001202773.2.p1, NM_001336714.1.p1	XM_004248963.4.p1, XM_010329393.3.p1
OG0001344	NM_001202828.1.p1, NM_180122.4.p1	XM_004231156.4.p1, XM_010328574.3.p1, XM_004248401.4.p1, XM_004248029.4.p1, XM_019215897.2.p1, XM_004248028.3.p1, XM_010328700.2.p1, XM_004248027.4.p1, XM_004240036.4.p1
OG0001345	NM_001332718.1.p1, NM_102423.3.p1	XM_004237005.4.p1, XM_004239018.4.p1, XM_004228357.4.p1
OG0001346	NM_126119.2.p1, NM_114886.3.p1, NM_127898.5.p1, NM_119854.3.p1	XM_010317676.3.p1
OG0001346	NM_001333265.1.p1, NM_103607.4.p1	NM_001348417.1.p1
OG0001347	NM_001339196.1.p1, NM_114382.5.p1	XM_004240070.4.p1
OG0001347	NM_126681.3.p1, NM_001335311.1.p1	XM_010321741.3.p1
OG0001348	NM_112729.4.p1	NM_001353773.1.p1
OG0001348	NM_102359.3.p1, NM_105532.5.p1, NM_001335552.1.p1	XM_004242079.3.p1, NM_001353772.1.p1
OG0001349	NM_202726.2.p1, NM_001336984.1.p1, NM_115719.3.p1	XM_004234708.4.p1, XM_019212858.2.p1, NM_001317933.1.p1
OG0001350	NM_117181.4.p1	XM_026032459.1.p1, XM_026032460.1.p1
OG0001350	NM_001337186.1.p1	XM_019216052.2.p1, XM_019216051.2.p1, XM_004248399.4.p1, XM_010328696.3.p1
OG0001351	NM_113812.5.p1, NM_001338974.1.p1, NM_001339319.1.p1, NM_114628.4.p1, NM_125641.4.p1	XM_004232172.4.p1, NM_001247365.2.p1, XM_004235963.4.p1, XM_004241532.4.p1
OG0001352	NM_100269.4.p1, NM_180796.1.p1, NM_123779.5.p1, NM_100268.5.p1, NM_179134.1.p1, NM_118994.4.p1, NM_001341920.1.p1	XM_004246895.4.p1
OG0001353	NM_119514.4.p1, NM_001342222.1.p1	XM_004246390.4.p1, XM_010327545.3.p1, XM_004246391.4.p1, XM_004246392.4.p1, XM_026032867.1.p1, XM_004246393.4.p1
OG0001354	NM_001343026.1.p1, NM_120952.6.p1	NM_001321451.1.p1
OG0001354	NM_123353.4.p1	XM_010319576.3.p1, XM_010319575.2.p1
OG0001355	NM_001344445.1.p1, NM_001344447.1.p1	XM_026029300.1.p1, XM_026029312.1.p1, XM_026029313.1.p1
OG0001357	NM_106277.4.p1, NM_101905.5.p1	XM_010316454.3.p1, XM_004253077.4.p1
OG0001357	NM_120001.2.p1	XM_004249653.4.p1, XM_004231037.4.p1, XM_010317115.3.p1, XM_004231038.4.p1
OG0001358	NM_104243.4.p1, NM_112305.2.p1	XM_010315578.2.p1, XM_004251782.3.p1, XM_004243138.3.p1, XM_004248179.4.p1
OG0001359	NM_125446.4.p1, NM_125445.3.p1	XM_004251073.4.p1
OG0001359	NM_104362.3.p1	XM_004244149.3.p1
OG0001360	NM_125977.2.p1, NM_114830.2.p1, NM_119939.3.p1, NM_127846.2.p1	NM_001247097.2.p1, XM_026029057.1.p1, NM_001247231.2.p1
OG0001360	NM_116873.2.p1	NM_001247227.2.p1
OG0001361	NM_147888.2.p1	XM_004249891.4.p1, XM_019213286.2.p1
OG0001361	NM_115065.3.p1	XM_004251170.4.p1, XM_004241300.4.p1
OG0001362	NM_115291.1.p1, NM_129399.3.p1	XM_004237451.4.p1
OG0001363	NM_116355.3.p1	XM_004229884.4.p1, XM_004248015.4.p1
OG0001363	NM_118486.6.p1	XM_004245516.4.p1
OG0001364	NM_117759.4.p1	XM_010322076.2.p1, XM_010322075.3.p1
OG0001366	NM_120480.1.p1	XM_004251917.4.p1, XM_010316559.2.p1
OG0001367	NM_126109.3.p1	XM_010322026.3.p1, XM_004252715.3.p1
OG0001368	NR_140219.1.p1, NM_127764.2.p1	XM_004237410.4.p1
OG0001369	NM_129754.4.p1	XM_004249149.4.p1, XM_004249148.3.p1, XM_004249223.4.p1, XM_004234786.4.p1
OG0001376	NM_001338705.1.p1, NM_001035684.3.p1, NM_001338702.1.p1, NM_113386.7.p1, NM_001338704.1.p1, NM_001338703.1.p1	XM_010328015.3.p1, XM_019215706.2.p1
OG0001377	NM_001339580.1.p1, NM_001035770.2.p1, NM_129177.3.p1	XM_004249776.4.p1, XM_004249779.4.p1, XM_010314022.3.p1, NM_001324396.1.p1, NM_001246913.2.p1, NM_001247864.1.p1, NM_001247772.1.p1
OG0001378	NM_001331770.1.p1, NM_001035922.1.p1, NM_001331769.1.p1	XM_026028341.1.p1, XM_010315055.3.p1, XM_010315060.3.p1, XM_010324134.3.p1, XM_004241272.4.p1
OG0001379	NM_001036004.3.p1, NM_001333076.1.p1, NM_001333077.1.p1	XM_026030790.1.p1, XM_004237782.4.p1, XM_010321814.3.p1
OG0001380	NM_179532.4.p1, NM_105566.5.p1, NM_001036016.2.p1, NM_001332708.1.p1, NM_102390.3.p1, NM_001332709.1.p1	XM_010326602.3.p1, XM_010326536.2.p1, XM_026030434.1.p1, XM_004238958.4.p1
OG0001382	NM_124617.3.p1	XM_010319303.3.p1
OG0001383	NM_001084857.2.p1, NM_116039.4.p1	XM_010328751.3.p1
OG0001383	NM_124722.3.p1, NM_118929.5.p1	XM_010319711.3.p1
OG0001385	NM_001344141.1.p1, NM_123024.2.p1, NM_001344146.1.p1, NM_001344144.1.p1, NM_001344147.1.p1	XM_004247278.4.p1
OG0001385	NM_001123761.2.p1, NM_001331546.1.p1, NM_001340976.1.p1	XM_019212743.2.p1, XM_004247476.4.p1
OG0001386	NM_128439.3.p1, NM_001202697.1.p1, NM_179794.2.p1	XM_010314996.3.p1, XM_010314991.3.p1, XM_004250918.4.p1
OG0001386	NM_102294.7.p1, NM_001160892.1.p1	XR_741390.3.p1, XM_010322656.3.p1
OG0001387	NM_001197956.2.p1, NM_001340295.1.p1, NM_116329.3.p1	XM_010323215.3.p1, XM_004240031.4.p1
OG0001387	NM_124692.3.p1	XM_004240905.3.p1, XM_004234122.4.p1
OG0001388	NM_201796.2.p1, NM_127973.5.p1	XM_004242946.2.p1
OG0001388	NM_001198426.1.p1, NM_105571.4.p1	XM_004238961.4.p1
OG0001388	NM_121574.3.p1, NM_001203389.1.p1	XM_004232079.4.p1
OG0001389	NM_001343125.1.p1, NM_001203353.2.p1	XM_004252184.3.p1, XM_004252183.3.p1, XM_010320320.3.p1, XM_010320322.3.p1
OG0001390	NM_001203541.1.p1, NM_001344536.1.p1	XM_004243334.4.p1
OG0001390	NM_102610.4.p1	XM_004232874.4.p1
OG0001391	NM_180847.2.p1, NM_124691.3.p1, NM_001203598.1.p1, NM_001345033.1.p1	XM_010319081.3.p1
OG0001392	NM_119697.4.p1, NM_001335545.1.p1, NM_127284.3.p1	XM_004231055.4.p1, XM_004248957.4.p1, XR_003243972.1.p1
OG0001393	NM_001331396.1.p1, NM_100203.3.p1, NM_116520.4.p1	XM_019215668.2.p1, XM_010328057.2.p1
OG0001394	NM_106098.4.p1, NM_001332359.1.p1, NM_001332361.1.p1, NM_101727.3.p1, NM_120854.3.p1	XM_010320517.3.p1
OG0001395	NM_101166.4.p1, NM_123162.4.p1, NM_001338813.1.p1, NM_113567.4.p1, NM_102179.2.p1	XM_004239077.4.p1
OG0001395	NM_001333276.1.p1, NM_103646.4.p1	XM_004251947.3.p1, XM_004242744.4.p1
OG0001396	NM_001334614.1.p1, NM_106054.4.p1, NM_202128.1.p1, NM_101704.5.p1	XM_004235689.4.p1
OG0001396	NM_105556.5.p1, NM_001334382.1.p1	XM_026031048.1.p1, XM_004238920.4.p1
OG0001397	NM_001334416.1.p1	XM_004238752.4.p1
OG0001397	NM_001344304.1.p1, NM_001344305.1.p1	XM_004232173.4.p1, XM_010317954.3.p1, XM_010318803.3.p1, XM_004233313.4.p1
OG0001398	NM_111151.5.p1, NM_001337436.1.p1	XM_004250046.4.p1
OG0001399	NM_104433.5.p1, NM_112184.4.p1, NM_104432.5.p1, NM_112185.3.p1, NM_001338046.1.p1	XM_004229014.4.p1, XM_004228587.3.p1, XM_004250044.4.p1, XM_004234770.4.p1
OG0001400	NM_127148.2.p1, NM_119558.3.p1, NM_001338376.1.p1, NM_112788.3.p1	XM_004248856.4.p1, XM_004230783.4.p1
OG0001401	NM_128317.5.p1	XM_019210863.2.p1
OG0001401	NM_001339589.1.p1, NM_115140.3.p1, NM_129189.5.p1	NM_001345837.1.p1, NM_001320184.1.p1
OG0001402	NM_105874.4.p1, NM_001340613.1.p1, NM_116985.3.p1	XM_004250587.4.p1
OG0001403	NM_127596.3.p1	XM_004247081.4.p1
OG0001404	NM_117900.5.p1, NM_001341244.1.p1, NM_103004.3.p1, NM_202224.1.p1	XM_010326165.3.p1, XM_010327256.2.p1, XM_010324561.3.p1
OG0001405	NM_100779.5.p1	XM_004230185.4.p1
OG0001405	NM_001344430.1.p1, NM_123567.3.p1, NM_180788.3.p1, NM_122737.4.p1	XM_004234937.4.p1, NM_001247707.2.p1
OG0001406	NM_128882.2.p1, NM_100340.4.p1	NM_001331182.1.p1
OG0001406	NM_123756.2.p1, NM_100299.2.p1, NM_119016.3.p1	NM_001321028.1.p1, XM_004247070.4.p1, NM_001320500.1.p1
OG0001407	NM_100664.5.p1, NM_128410.3.p1	XM_004240230.4.p1, XM_004237614.4.p1, XM_004240553.3.p1, XM_004251217.4.p1
OG0001408	NM_120577.4.p1, NM_124990.2.p1, NM_104521.3.p1, NM_100794.4.p1	NM_001309378.1.p1
OG0001409	NM_106490.4.p1, NM_101574.3.p1	XM_004243135.4.p1, XM_010325313.3.p1, XM_010325312.3.p1, XM_004251784.4.p1
OG0001410	NM_102726.3.p1, NM_124005.5.p1, NM_117927.3.p1	XM_004232967.4.p1, NM_001279337.2.p1, XM_004251776.4.p1, XM_004251777.4.p1
OG0001411	NM_103049.3.p1, NM_117112.2.p1	XM_004244687.4.p1
OG0001412	NM_104135.3.p1, NM_112443.3.p1	XM_010324016.3.p1, XM_004235916.4.p1
OG0001413	NM_104854.4.p1	XM_004234535.4.p1
OG0001414	NM_118410.3.p1, NM_117275.4.p1, NM_130105.4.p1, NM_115951.2.p1	XM_010326303.3.p1, XM_004245642.4.p1, XM_004241967.4.p1, XM_004229775.4.p1
OG0001415	NM_120454.4.p1, NM_180429.4.p1	NM_001247525.1.p1, XM_026032697.1.p1, XM_010329385.3.p1, NR_131258.1.p1, XM_010329381.3.p1
OG0001416	NM_120616.3.p1	XM_004240835.4.p1, XM_004239916.3.p1
OG0001417	NM_120877.3.p1	XM_010324275.3.p1, XM_026031644.1.p1, XM_026031645.1.p1, XR_003247274.1.p1
OG0001418	NM_202317.3.p1	XM_010321906.3.p1, XM_026030818.1.p1
OG0001418	NM_121087.3.p1	XM_004250100.4.p1
OG0001419	NM_128328.3.p1	XM_026031737.1.p1, XM_004249397.4.p1
