Orthogroup	Arabidopsis_thaliana_rna_prot	Zea_mays_rna_prot
OG0001146	NM_126084.3.p1, NM_001345806.1.p1	NM_001154358.1.p1, XM_008646257.3.p1, XM_008667251.4.p1
OG0001147	NM_123590.6.p1, NM_102093.5.p1, NM_202860.1.p1, NM_102092.6.p1	NM_001147659.1.p1
OG0001148	NM_105600.4.p1	NM_001348954.1.p1, NM_001158603.2.p1, XM_035962273.1.p1, NM_001156330.2.p1
OG0001151	NM_122260.4.p1	NM_001157617.1.p1, XM_008672479.2.p1, NM_001157702.1.p1, XR_002263863.2.p1, XM_008655184.3.p1, XM_008655182.2.p1, XM_008655183.2.p1, NM_001156581.1.p1
OG0001156	NM_001035713.4.p1, NM_113789.4.p1, NM_121512.5.p1, NM_110996.3.p1	NM_001157080.1.p1, XM_008669548.3.p1, XM_008653395.4.p1
OG0001157	NM_130042.1.p1, NM_001035823.2.p1, NM_115890.4.p1, NM_001084851.2.p1	NM_001148705.1.p1, XM_008683333.4.p1, NM_001174204.2.p1, NM_001152971.1.p1
OG0001158	NM_001036395.1.p1, NM_128898.4.p1, NM_001344085.1.p1, NM_124906.3.p1, NM_118808.5.p1	NM_001143339.1.p1
OG0001160	NM_001083975.2.p1, NM_001337149.1.p1, NM_130135.4.p1, NM_001337148.1.p1, NM_001337150.1.p1	NM_001147294.1.p1, XM_020543620.3.p1, XM_008651901.4.p1
OG0001161	NM_001084073.1.p1, NM_101437.5.p1	NM_001357030.1.p1, NM_001279843.1.p1, XM_035962224.1.p1, XM_035962225.1.p1, NM_001153260.1.p1, NM_001111910.2.p1, XM_008681684.3.p1
OG0001162	NM_001084841.2.p1, NM_115729.4.p1, NM_001203199.1.p1, NM_001339929.1.p1, NM_001084573.2.p1, NM_001336991.1.p1	XM_008656022.3.p1, XM_008656018.3.p1, XM_008656021.3.p1, XM_008656020.3.p1, XM_035965862.1.p1, XM_008674676.4.p1, NM_001155983.1.p1, XM_008674675.3.p1, XM_008674674.3.p1, XM_020549738.2.p1, XM_035965861.1.p1
OG0001163	NM_001339661.1.p1, NM_180371.2.p1, NM_001084815.2.p1	XM_008645402.3.p1, XM_035968004.1.p1, XM_023300525.2.p1, NM_001350279.1.p1, XM_023300526.2.p1, XM_023300523.2.p1, XM_023300524.2.p1, XM_023300521.2.p1, XM_035960516.1.p1, XM_035960514.1.p1, XM_035960518.1.p1, XM_023300502.2.p1, XM_023300501.2.p1, XM_023300494.2.p1, XM_023300510.2.p1, XM_035960510.1.p1, XM_023300497.2.p1, XM_023300507.1.p1, XM_035960508.1.p1, XM_035960509.1.p1, XM_023300493.2.p1, XM_023300516.2.p1, XM_023300509.2.p1, XM_035960513.1.p1, XM_023300503.2.p1, XM_035960511.1.p1
OG0001164	NM_121689.4.p1	NM_001359452.1.p1, XM_020553090.2.p1, NM_001136657.1.p1, NM_001366830.1.p1
OG0001166	NM_001335052.1.p1, NM_126189.4.p1, NM_001337114.1.p1, NM_001123917.1.p1, NM_001337812.1.p1, NM_111770.3.p1	XM_008651723.4.p1, NM_001148518.1.p1, XM_008657761.3.p1, XM_008657762.3.p1
OG0001167	NM_001338533.1.p1, NM_122643.3.p1, NM_111411.5.p1, NM_001125108.2.p1	NR_156758.1.p1, XM_008663324.4.p1
OG0001168	NM_001125653.1.p1	NM_001361397.1.p1, NM_001361406.1.p1
OG0001168	NM_126589.3.p1, NM_118831.4.p1	NM_001317364.1.p1, XM_020551315.2.p1, XM_020545035.3.p1, XM_020548396.1.p1, XM_035963033.1.p1, XM_008671524.3.p1, NM_001358373.1.p1, XM_008672222.4.p1
OG0001169	NM_001339674.1.p1, NM_001339673.1.p1, NM_001203160.1.p1, NM_115307.5.p1, NM_001339672.1.p1, NM_001339675.1.p1	XM_020541989.3.p1, XM_035961667.1.p1, XM_020541992.2.p1, XM_020541991.2.p1, XM_020550239.2.p1, XM_020550240.2.p1, XM_020550237.2.p1, XM_020550238.2.p1
OG0001170	NM_001332232.1.p1, NM_001332234.1.p1, NM_202114.2.p1, NM_001332233.1.p1, NM_001345527.1.p1, NM_125606.3.p1, NM_001203663.1.p1	XM_020545045.2.p1, NM_001368323.1.p1, XM_008669360.3.p1
OG0001171	NM_116601.1.p1, NM_116785.4.p1, NM_001340555.1.p1, NM_001203754.1.p1, NM_116787.1.p1, NM_179199.2.p1	NM_001147611.1.p1, NM_001157217.1.p1
OG0001172	NM_001203890.1.p1	NM_001153599.1.p1
OG0001172	NM_148482.5.p1, NM_105805.6.p1	NM_001197012.1.p1, XM_008676534.2.p1
OG0001173	NM_116258.4.p1, NM_118696.5.p1, NM_001203909.1.p1, NM_001341758.1.p1	XM_008678356.4.p1, NM_001138769.2.p1, NM_001152755.1.p1
OG0001174	NM_100554.5.p1, NM_202046.2.p1, NM_001331667.1.p1, NM_001336274.1.p1, NM_128610.3.p1, NM_001336273.1.p1	NM_001137069.1.p1, NM_001174816.1.p1, XM_008674893.4.p1, XM_008666889.4.p1
OG0001175	NM_124341.4.p1, NM_104616.5.p1, NM_001331877.1.p1	NM_001143148.1.p1
OG0001176	NM_104227.2.p1, NM_001333596.1.p1	XM_020543218.1.p1, XM_008645606.4.p1, XM_020553413.3.p1
OG0001177	NM_001335736.1.p1, NM_127695.3.p1, NM_001335735.1.p1, NM_201773.3.p1, NM_179189.4.p1	NM_001176824.1.p1, NM_001154090.1.p1, NM_001138237.1.p1, XM_008662322.3.p1, NM_001367218.1.p1
OG0001178	NM_001337948.1.p1, NM_100716.5.p1, NM_100717.2.p1, NM_001336111.1.p1, NM_128282.1.p1	NM_001138996.1.p1, XM_020547326.3.p1, NM_001112522.2.p1
OG0001179	NM_001337935.1.p1, NM_111985.5.p1, NM_120697.3.p1, NM_128233.3.p1	NM_001111893.2.p1, NM_001148649.1.p1, NM_001156461.1.p1
OG0001180	NM_116505.2.p1, NM_100190.4.p1, NM_001338597.1.p1, NM_001340967.1.p1	XM_020546830.2.p1, XM_035964312.1.p1, XM_008663732.4.p1, XM_023301841.2.p1
OG0001182	NM_001343196.1.p1, NM_001343199.1.p1, NM_001343197.1.p1, NM_001342169.1.p1	XM_008675130.3.p1, XM_008675131.3.p1, XM_008651257.3.p1, XR_004850348.1.p1, XM_008651256.4.p1
OG0001183	NM_119654.2.p1, NM_001342309.1.p1	XM_020548372.3.p1, NM_001156760.2.p1, XM_020548935.1.p1
OG0001184	NM_115274.3.p1, NM_120196.4.p1, NM_001342576.1.p1	XM_008656063.3.p1, XM_008656064.3.p1, XM_035961271.1.p1
OG0001185	NM_148764.1.p1, NM_120876.3.p1, NM_001342969.1.p1, NM_120880.4.p1, NM_001342971.1.p1	XM_035962318.1.p1, XM_035962328.1.p1, XM_035962323.1.p1, XM_008654421.3.p1
OG0001186	NM_001342977.1.p1, NM_125490.3.p1, NM_111082.4.p1, NM_180170.3.p1	NM_001372498.1.p1, XM_008674768.2.p1, NM_001157836.2.p1
OG0001187	NM_111974.4.p1, NM_128492.3.p1, NM_100617.3.p1, NM_125312.3.p1, NM_001345339.1.p1	NM_001365402.1.p1, NM_001155565.2.p1, NM_001279945.2.p1, NM_001152575.2.p1, NM_001319751.2.p1
OG0001188	NM_119798.1.p1, NM_104516.1.p1, NM_114481.1.p1, NM_127370.1.p1, NM_128277.5.p1, NM_179629.2.p1, NM_127196.4.p1	NM_001143501.1.p1, NM_001156183.2.p1, NM_001148498.1.p1
OG0001189	NM_119938.4.p1, NM_127848.4.p1, NM_104624.4.p1	NM_001148694.1.p1, NM_001372303.1.p1
OG0001190	NM_110972.2.p1, NM_121539.4.p1, NM_201810.2.p1	NM_001157777.2.p1, NM_001148421.2.p1
OG0001191	NM_113102.4.p1, NM_113094.2.p1, NM_113095.2.p1, NM_113096.2.p1, NM_113097.1.p1, NM_113092.5.p1, NM_128719.1.p1, NM_113090.2.p1, NM_115693.2.p1	NM_001368102.1.p1
OG0001192	NM_113589.4.p1, NM_113588.3.p1	NM_001175550.1.p1
OG0001192	NM_116548.2.p1	XM_020541418.2.p1
OG0001193	NM_114084.3.p1	XM_020546000.2.p1, NM_001153965.2.p1, XM_008645367.3.p1, XM_008645368.3.p1, NM_001349858.1.p1, XM_008645583.4.p1, XM_008676867.4.p1
OG0001194	NM_127411.2.p1, NM_119838.3.p1, NM_126068.3.p1	NM_001147444.1.p1, XM_008672294.4.p1, NM_001148841.2.p1
OG0001195	NM_129597.4.p1, NM_120621.2.p1, NM_128574.4.p1	XM_020552763.3.p1, NM_001196970.1.p1, XM_020542291.3.p1, NM_001155007.2.p1
OG0001196	NM_128854.4.p1	XM_008653447.4.p1, XM_008653448.4.p1, XM_035960655.1.p1
OG0001196	NM_128262.4.p1, NM_122122.3.p1	XM_035961517.1.p1, XM_008656943.4.p1, NM_001359539.1.p1, XM_035959714.1.p1, XM_035959710.1.p1, XM_035959709.1.p1, XM_020539092.3.p1
OG0001197	NM_179939.2.p1, NM_128357.7.p1	XM_008646912.3.p1
OG0001198	NM_179737.2.p1	NM_001360947.1.p1
OG0001202	NM_001035845.2.p1	XM_020539712.3.p1, NM_001319723.1.p1, XM_020543542.3.p1
OG0001203	NM_124004.3.p1, NM_001344673.1.p1, NM_001036034.2.p1, NM_001332877.1.p1, NM_102729.3.p1, NM_001036401.3.p1, NM_001036402.3.p1	XM_008651853.4.p1, XM_008651851.3.p1, XM_020542454.2.p1
OG0001203	NM_111531.5.p1, NM_001084647.5.p1	NM_001176702.1.p1, XM_008660694.3.p1
OG0001205	NM_001036413.3.p1, NR_140731.1.p1	XM_008681463.4.p1, XM_020552837.3.p1
OG0001206	NM_001036428.3.p1, NM_115248.2.p1, NM_001339641.1.p1, NM_129335.5.p1	NM_001112512.2.p1, XM_020549423.3.p1, XM_008656227.3.p1, NM_001139383.1.p1, NM_001152415.1.p1
OG0001207	NM_118811.7.p1, NM_104923.4.p1, NM_001036620.2.p1, NM_118360.3.p1	XM_008674736.3.p1, NM_001157333.1.p1, XM_008656229.4.p1, XM_035961306.1.p1, XM_035961308.1.p1, XM_035961309.1.p1, NM_001157791.1.p1
OG0001208	NM_202196.3.p1, NM_001332801.1.p1, NM_001084145.1.p1, NM_102575.3.p1	NM_001143654.1.p1, XM_020547286.3.p1
OG0001209	NM_001084543.2.p1, NM_001342721.1.p1, NM_001337851.1.p1, NM_111828.3.p1, NM_120442.4.p1	XM_008673933.4.p1
OG0001210	NM_129973.3.p1, NM_001084585.2.p1, NM_115855.4.p1	NM_001196508.1.p1, XM_008651428.3.p1, NM_001157727.1.p1, XM_035961492.1.p1
OG0001210	NM_120992.5.p1	NM_001369884.1.p1
OG0001212	NM_101190.7.p1, NM_001123806.1.p1, NM_001332650.1.p1, NM_102289.4.p1	NM_001158580.1.p1, XM_020543168.1.p1, NM_001138017.1.p1
OG0001213	NM_104850.2.p1, NM_001198357.1.p1	XM_008681742.4.p1, NM_001112384.1.p1, NM_001112385.1.p1, XR_004857993.1.p1
OG0001214	NM_105138.5.p1, NM_123564.3.p1, NM_001338354.1.p1, NM_001202999.2.p1, NM_001338355.1.p1, NM_001333368.1.p1, NM_103806.2.p1, NM_179456.3.p1, NM_001333369.1.p1, NM_001333367.1.p1	NM_001159166.1.p1, XM_008645657.3.p1, XM_008680709.3.p1, XM_020552652.2.p1
OG0001215	NM_129392.4.p1, NM_129598.4.p1, NM_001339767.1.p1, NM_001339768.1.p1, NM_001203171.2.p1, NM_001342816.1.p1, NM_001342818.1.p1	NM_001155627.1.p1, NM_001348752.1.p1, XM_008656097.4.p1, NM_001137982.2.p1, NM_001147662.1.p1
OG0001216	NM_001203327.1.p1, NM_120890.3.p1, NM_001337487.1.p1	NM_001155904.1.p1, XM_035964807.1.p1, XM_008653354.4.p1
OG0001217	NM_115303.2.p1, NM_203043.2.p1, NM_001203366.1.p1, NM_121271.4.p1	XM_008658638.4.p1
OG0001218	NM_124085.5.p1, NM_001203825.2.p1, NM_001203826.1.p1	XM_008665218.4.p1, NM_001155637.1.p1
OG0001219	NM_001332020.1.p1, NM_101092.4.p1, NM_104935.2.p1, NM_105258.3.p1, NM_101086.5.p1, NM_001334043.1.p1, NM_001334085.1.p1, NM_104940.4.p1, NM_104938.5.p1	NM_001157345.2.p1
OG0001221	NM_180054.2.p1	NM_001157180.2.p1, XM_008648903.4.p1, XM_008648943.4.p1, NM_001326386.1.p1
OG0001221	NM_103941.2.p1, NM_001333443.1.p1	NM_001138144.1.p1
OG0001222	NM_111871.7.p1	XM_008680937.4.p1, NM_001358704.1.p1
OG0001223	NM_001336970.1.p1, NM_001336969.1.p1, NM_180038.2.p1, NM_129800.2.p1, NM_001336971.1.p1, NM_001339908.1.p1, NM_115674.4.p1	NM_001317240.1.p1, NM_001350185.1.p1, XM_008681571.4.p1, XM_008658997.4.p1, NM_001147121.1.p1
OG0001224	NM_111582.3.p1, NM_001337686.1.p1	XM_020545111.3.p1, XM_020545112.3.p1, XM_020547985.2.p1, XR_004856018.1.p1, XR_004856017.1.p1, NM_001158324.1.p1, XM_008663831.4.p1, XR_004853055.1.p1, XM_020547984.2.p1
OG0001225	NM_001338029.1.p1, NM_001338027.1.p1, NM_112143.4.p1, NM_180241.2.p1	XM_008649453.3.p1, XM_035960155.1.p1
OG0001225	NM_125204.3.p1	NR_146398.1.p1, XM_008662850.2.p1, NM_001137704.1.p1, XM_008679357.3.p1
OG0001226	NM_106504.4.p1, NM_104228.3.p1, NM_001338136.1.p1	NM_001136825.1.p1, XM_035963342.1.p1, XM_035961894.1.p1, NM_001157983.1.p1, XM_035962288.1.p1
OG0001227	NM_113076.3.p1, NM_001338550.1.p1	XM_008678246.3.p1, XM_020551261.3.p1, XM_035966616.1.p1, NM_001365515.1.p1, XM_008678249.3.p1, XM_035967817.1.p1, XM_035967812.1.p1, XM_035967813.1.p1, XM_035967815.1.p1, XM_035967814.1.p1, XM_035967816.1.p1, XM_035967818.1.p1, XM_035959427.1.p1, NM_001147552.2.p1, XM_035959429.1.p1, XM_035959428.1.p1, XM_035959430.1.p1, XM_035967811.1.p1, XM_020553166.3.p1, XM_020553165.2.p1, XM_008649301.3.p1, NM_001360206.1.p1, NM_001148142.2.p1
OG0001229	NM_001340187.1.p1, NM_001340188.1.p1	XM_008663733.3.p1
OG0001230	NM_117933.6.p1, NM_001341268.1.p1, NM_001341270.1.p1, NM_001341269.1.p1	XM_020549596.3.p1, XM_008674298.4.p1, XM_008674294.4.p1, NM_001148527.1.p1, XM_008674295.4.p1, NM_001158317.2.p1
OG0001231	NM_100530.5.p1	XM_008674311.4.p1, XM_008674313.4.p1, XM_008674312.4.p1, XM_035965762.1.p1, XM_035965763.1.p1
OG0001232	NM_126441.1.p1, NM_101230.4.p1, NM_121588.3.p1, NM_123241.3.p1, NM_113954.2.p1	NR_163815.1.p1, XM_008647972.3.p1
OG0001233	NM_106178.4.p1, NM_101801.3.p1	NM_001358133.1.p1, NM_001138792.3.p1, NM_001366169.1.p1, NM_001366170.1.p1, NM_001155307.2.p1, XM_035959601.1.p1
OG0001234	NM_113739.3.p1, NM_123378.3.p1, NM_102257.2.p1, NM_117877.2.p1, NM_124071.3.p1	NM_001157782.2.p1
OG0001235	NM_112083.4.p1, NM_121954.3.p1	XM_008649714.4.p1, XM_008669972.1.p1, XM_035964862.1.p1, XM_035964864.1.p1, XM_020547813.1.p1, XM_035964863.1.p1, NM_001165544.1.p1, XM_035967123.1.p1, XM_035967124.1.p1, XM_035967122.1.p1, XM_035967121.1.p1
OG0001236	NM_115032.3.p1	NM_001156539.1.p1, XM_035965852.1.p1, XM_020549725.3.p1, NM_001155332.1.p1
OG0001237	NM_115089.3.p1, NM_120382.4.p1	NM_001148799.1.p1, XM_008649385.3.p1, NM_001151157.1.p1
OG0001238	NM_117780.4.p1, NM_117849.4.p1, NM_124108.3.p1, NM_115903.3.p1, NM_130055.2.p1	NM_001158864.1.p1
OG0001239	NM_116025.4.p1, NM_180402.2.p1, NM_130189.3.p1	XM_008678882.4.p1, NM_001152556.1.p1, NM_001148790.2.p1, NM_001155465.1.p1
OG0001240	NM_123655.5.p1	XM_035962058.1.p1, XM_035962059.1.p1, NM_001148450.2.p1
OG0001244	NM_119387.3.p1, NM_001342136.1.p1, NM_001036227.3.p1, NM_202277.3.p1	XM_020538379.2.p1, NM_001362127.1.p1
OG0001245	NM_127704.3.p1, NM_120056.6.p1, NM_001342518.1.p1, NM_001342520.1.p1, NM_001036734.2.p1, NM_001342519.1.p1	NM_001358710.1.p1, NM_001147802.1.p1, XM_020540356.3.p1
OG0001246	NM_122088.4.p1, NM_001036837.2.p1, NM_114180.3.p1	XM_008654543.4.p2, XM_008654541.4.p2, XM_008671992.3.p1, XM_008671993.3.p1
OG0001247	NM_111283.4.p1, NM_101214.4.p1, NM_001084061.1.p1	NM_001112230.2.p1, XM_020551757.2.p1, XM_020551756.2.p1, NM_001112481.1.p1, NM_001111915.2.p1
OG0001248	NM_001084452.2.p1, NM_127544.3.p1, NM_119057.4.p1	NM_001112059.2.p1, XM_008676846.3.p1, NM_001369883.1.p1, XM_008673842.4.p1, XM_008673841.4.p1, XM_008673843.3.p1, NM_001137498.1.p1, NM_001152584.2.p1
OG0001250	NM_001343397.1.p1, NM_001337322.1.p1, NM_110979.2.p1, NM_001343396.1.p1, NM_121535.4.p1, NM_001085120.1.p1	NM_001351795.1.p1, XM_023301609.1.p1
OG0001251	NM_115153.4.p1, NM_001124981.1.p1, NM_001336598.1.p1, NM_129203.3.p1, NM_180428.2.p1, NM_120450.3.p1	NM_001147365.2.p1, NM_001111866.2.p1
OG0001251	NM_001341807.1.p1, NM_118785.4.p1, NM_001341806.1.p1, NM_001341809.1.p1	NM_001360605.1.p1
OG0001252	NM_104410.3.p1, NM_001160957.2.p1, NM_111259.4.p1	XM_008683077.3.p1, XM_023300687.2.p1, XM_023300691.2.p1, NM_001143361.1.p1, XM_023300697.2.p1, XM_023300702.2.p1, XM_035961557.1.p1, XM_023300709.2.p1
OG0001253	NM_001202949.2.p1, NM_001338044.1.p1, NM_112179.3.p1, NM_104444.4.p1, NM_001345182.1.p1, NM_001345186.1.p1, NM_001345185.1.p1, NM_001345184.1.p1	XM_008648414.4.p1, NM_001301476.2.p1, NM_001153157.1.p1, XM_035966879.1.p1
OG0001254	NM_120807.4.p1, NM_104990.4.p1, NM_001332049.1.p1, NM_001332047.1.p1, NM_001332048.1.p1, NM_001332050.1.p1, NM_101145.3.p1	XM_008681266.3.p1, XM_035967500.1.p1, XM_035967499.1.p1, XM_020552797.3.p1, XM_008681264.4.p1, XM_008681267.3.p1, NM_001148863.1.p1, NM_001349818.1.p1, NM_001358900.1.p1, NM_001156407.1.p1, NM_001146796.1.p1
OG0001255	NM_126385.4.p1, NM_101262.3.p1, NM_001332105.1.p1	NM_001137361.1.p1, NM_001154425.2.p1, XM_008661858.3.p1, XM_020544433.3.p1, XM_008658976.4.p1
OG0001256	NM_122448.4.p1, NM_121157.2.p1, NM_101405.4.p1, NM_001332163.1.p1	NM_001155213.1.p1, XM_008661526.4.p1
OG0001257	NM_001334558.1.p1, NM_105954.3.p1, NM_112241.4.p1	XM_020549794.2.p1, XM_008659560.3.p1
OG0001257	NM_123884.4.p1	XM_008676064.3.p1, XM_020546527.3.p1
OG0001258	NM_179595.5.p1, NM_201671.3.p1, NM_001335107.1.p1, NM_126296.5.p1, NM_126295.1.p1	NM_001112084.2.p1
OG0001259	NM_001336594.1.p1, NM_129190.3.p1, NM_125677.4.p1, NM_123394.4.p1	NM_001196801.1.p1, XR_004858205.1.p1, XR_002750663.2.p1, XR_002750664.2.p1, NR_146348.1.p1, NM_001137874.1.p1
OG0001260	NM_111648.6.p1, NM_001337728.1.p1	XM_008656335.4.p1, NM_001137232.1.p1
OG0001261	NM_001337208.1.p1, NM_001337209.1.p1, NM_130235.5.p1, NM_114797.3.p1, NM_122351.5.p1	NM_001374293.1.p1, NM_001111835.2.p1, XM_008666541.4.p1, XM_008646484.3.p1
OG0001262	NM_001337975.1.p1, NM_112047.4.p1	NM_001174454.1.p1, NM_001155650.2.p1, XM_008664371.3.p1, NM_001147650.1.p1
OG0001263	NM_202560.2.p1, NM_112018.4.p1, NM_120739.3.p1, NM_001339691.1.p1, NM_001339688.1.p1, NM_001339689.1.p1, NM_001339690.1.p1	NM_001374073.1.p1, XR_559643.2.p1
OG0001264	NM_116024.3.p1, NM_001340113.1.p1, NM_001340111.1.p1	NM_001156502.2.p1, XM_020549957.3.p1, NM_001177122.2.p1
OG0001265	NM_001340261.1.p1, NM_111571.3.p1, NM_117680.4.p1	NM_001156766.1.p1, XM_020552370.2.p1, NM_001254870.1.p1, NM_001153632.1.p1, XR_556758.3.p1, XM_008656663.3.p1
OG0001266	NM_129207.5.p1, NM_001342781.1.p1, NM_120538.2.p1	XM_008651462.3.p1
OG0001267	NM_001343483.1.p1, NM_121729.3.p1, NM_001343484.1.p1	XM_020541422.2.p1, NM_001114652.2.p1
OG0001268	NM_103706.4.p1	NM_001139132.2.p1
OG0001268	NM_104548.3.p1, NM_100127.3.p1	XM_008657596.3.p1, NM_001156964.1.p1
OG0001269	NM_100680.4.p1	XM_008661197.4.p1
OG0001270	NM_104693.3.p1, NM_100928.4.p1, NM_124388.4.p1, NM_125684.5.p1	NM_001149487.2.p1, NM_001372457.1.p1, NM_001372467.1.p1, NM_001371687.1.p1, NM_001147050.1.p1, XM_008678523.4.p1
OG0001271	NM_101754.3.p1, NM_101755.3.p1	NM_001324211.1.p1, NM_001148327.1.p1, NM_001147384.1.p1, NM_001147838.2.p1
OG0001272	NM_102675.4.p1	NM_001358427.1.p1, NM_001346853.1.p1, XM_035959192.1.p1, XM_008650433.4.p1, NM_001279811.2.p1, XM_020542294.2.p1, NM_001329052.1.p1, XM_023300323.2.p1
OG0001273	NM_114868.4.p1, NM_126125.3.p1, NM_116812.2.p1, NM_103611.2.p1	XM_008654167.3.p1
OG0001274	NM_120429.4.p1, NM_103999.2.p1, NM_106048.4.p1	NM_001346064.1.p1, XM_008665442.4.p1, XM_008681293.4.p1
OG0001275	NM_104332.3.p1	NM_001143185.1.p1
OG0001275	NM_123055.2.p1, NM_105243.4.p1	NM_001154150.4.p1, NM_001175846.2.p1
OG0001276	NM_121134.4.p1, NM_179584.3.p1, NM_106726.5.p1, NM_128767.4.p1	NR_159677.1.p1, NM_001155191.1.p1, NM_001143275.1.p1
OG0001277	NM_120195.3.p1, NM_111741.3.p1, NM_129363.3.p1	XM_008658010.4.p1, XM_008651447.4.p1, XM_008676597.4.p1, NM_001143391.2.p1
OG0001278	NM_129174.4.p1, NM_111984.5.p2, NM_115118.5.p1	NM_001143283.1.p1, XM_008650713.3.p1, XM_008650714.4.p1, NM_001137768.1.p1
OG0001279	NM_118324.2.p1, NM_116686.2.p1	NM_001176148.1.p1
OG0001280	NM_120210.3.p1, NM_120211.3.p1, NM_119461.4.p1, NM_124878.3.p1	XM_008655966.4.p1, NM_001111582.2.p1
OG0001281	NM_119540.3.p1, NM_119541.4.p1, NM_119543.3.p1	NM_001348559.1.p1, NM_001175584.1.p1, XM_008654046.3.p1, XM_008659801.2.p1, XM_035962014.1.p1
OG0001282	NM_125285.4.p1	XM_008649141.3.p1, NM_001358636.1.p1, XM_008656697.3.p1, XM_035961441.1.p1, NM_001154398.1.p1, XM_035966739.1.p1, XM_008656606.4.p1, NM_001152720.1.p1, XM_035965783.1.p1
OG0001289	NM_130171.4.p1, NM_001035852.3.p1, NM_100037.4.p1	NM_001137835.1.p1
OG0001290	NM_001035955.1.p1, NM_101146.3.p1, NM_104995.4.p1, NM_001340730.1.p1, NM_117237.5.p1, NM_115982.3.p1	NM_001136726.1.p1, NM_001367009.1.p1, NM_001154069.2.p1, NM_001346854.1.p1, XM_008653314.4.p1
OG0001291	NM_202226.3.p1, NM_103042.6.p1, NM_103044.3.p1, NM_103043.2.p1, NM_001036056.1.p1, NM_103045.6.p1	NM_001137325.1.p1, NM_001147579.1.p1
OG0001292	NM_117559.6.p1, NM_001340963.1.p1, NM_202820.2.p1, NM_001338599.1.p1, NM_113180.3.p1, NM_001338600.1.p1, NM_001036565.3.p1, NM_123754.6.p1, NM_116195.3.p1, NM_001340199.1.p1	NM_001152005.2.p1, XM_020553515.2.p1, NM_001175963.1.p1, XM_008662325.4.p1
OG0001293	NM_180823.3.p1, NM_124198.4.p1, NM_203172.4.p1, NM_001036951.2.p1	XM_035961349.1.p1, XM_008656393.4.p1, XM_008656395.3.p1, NM_001155195.1.p1, XM_008677991.3.p1, XM_020544169.1.p1, NM_001279386.2.p1
OG0001294	NM_001331488.1.p1, NM_001331489.1.p1, NM_001336447.1.p1, NM_001084530.3.p1	XM_008679490.3.p1, XM_008679493.2.p1, XM_035958983.1.p1, XM_008652637.4.p1, NM_001138651.1.p1
OG0001295	NM_120034.2.p1, NM_127683.3.p1, NM_001335481.1.p1, NM_119653.4.p1	XM_008647514.2.p2, XM_008680450.2.p1
OG0001295	NM_001342150.1.p1, NM_001125625.2.p1, NM_001203959.1.p1, NM_180409.2.p1, NM_001203240.1.p1, NM_001340212.1.p1	XM_008652927.4.p1, XM_008670279.4.p1
OG0001295	NM_001339763.1.p1, NM_115465.5.p1	XM_020540538.3.p1, NM_001156017.1.p1
OG0001296	NM_001342223.1.p1, NM_001198022.2.p1, NM_100845.3.p1	XM_035961400.1.p1, XM_020542025.2.p1, XM_020542027.2.p1
OG0001297	NM_103985.4.p1, NM_001198263.1.p1, NM_124849.4.p1	XM_008652886.4.p1, XM_035967234.1.p1, XM_035967233.1.p1, NM_001153031.2.p1
OG0001298	NM_115551.3.p1, NM_129664.6.p1, NM_120589.4.p1, NM_115552.4.p1, NM_001203182.1.p1	XM_008675699.2.p1
OG0001299	NM_124491.3.p1, NM_001203582.1.p1, NM_125924.3.p1, NM_180472.1.p1, NM_121073.4.p1	XM_008660434.4.p1, NM_001156485.2.p1, NM_001158868.1.p1, NM_001139119.1.p1, NM_001155028.1.p1
OG0001300	NM_119166.5.p1, NM_001203942.1.p1, NM_202910.4.p1	XM_008679522.3.p1, XM_035967695.1.p1, XM_035967694.1.p1, XM_035967697.1.p1, XM_035967696.1.p1
OG0001302	NM_001339381.1.p1, NM_122274.3.p1	NM_001175222.1.p1
OG0001302	NM_127312.3.p1	NM_001366997.1.p1
OG0001303	NM_121088.4.p1, NM_127822.3.p1, NM_100844.2.p1, NM_001333822.1.p1	XM_008658153.4.p1, NM_001369844.1.p1, XM_008658868.3.p1, XM_008676633.3.p1
OG0001304	NM_001342044.1.p1, NM_001335918.1.p1, NM_125168.3.p1	XM_008666421.3.p1
OG0001305	NM_106062.4.p1	NM_001156182.2.p1, NM_001148829.1.p1
OG0001305	NM_129209.4.p1, NM_001336601.1.p1	XM_035961040.1.p1, NM_001112426.1.p1
OG0001306	NM_129827.3.p1, NM_129386.3.p1, NM_129584.2.p1, NM_001336827.1.p1	NM_001176479.1.p1
OG0001307	NM_115516.3.p1, NM_001336872.1.p1, NM_201922.3.p1, NM_201923.4.p1	XM_008660429.3.p1, XM_008660430.3.p1, NM_001156314.1.p1
OG0001309	NM_001337963.1.p1, NM_001337964.1.p1	XM_035964850.1.p1, NM_001158748.1.p1, XM_023302161.2.p1, XM_008669945.3.p1, XM_020553049.2.p1, XM_035967682.1.p1
OG0001310	NM_001338063.1.p1, NM_115710.3.p1	XM_008655160.4.p1, XM_008661905.4.p1, XM_008666752.3.p1
OG0001311	NM_104201.3.p1, NR_139863.1.p1, NM_001338148.1.p1, NM_128662.2.p1	XM_008657544.3.p1, NR_158754.1.p1
