Orthogroup	Arabidopsis_thaliana_rna_prot	Brassica_oleracea_rna_prot
OG0000953	NM_128325.3.p1	XM_013776368.1.p1
OG0000953	NM_129769.3.p1	XM_013768006.1.p1
OG0000953	NM_123718.2.p1, NM_130002.1.p1, NM_130001.3.p1	XM_013745858.1.p1
OG0000953	NM_128387.2.p1	XM_013779782.1.p1
OG0000953	NM_130000.3.p1	XM_013779822.1.p1
OG0000953	NM_123423.4.p1	XM_013733811.1.p1
OG0000954	NM_123523.3.p1	XM_013779661.1.p1
OG0000954	NM_129421.4.p1	XM_013778613.1.p1, XM_013769641.1.p1, XM_013769640.1.p1, XM_013779424.1.p1
OG0000955	NM_124078.3.p1	XM_013751115.1.p1, XM_013738808.1.p1, XM_013762772.1.p1
OG0000960	NM_001084049.2.p1	XM_013728386.1.p1, XM_013749651.1.p1, XM_013749650.1.p1
OG0000961	NM_001084516.2.p1, NM_001336316.1.p1, NM_128667.2.p1	XM_013766597.1.p1
OG0000961	NM_129818.4.p1	XM_013780461.1.p1, XM_013778776.1.p1
OG0000961	NM_102646.5.p1	XM_013782886.1.p1, XM_013738603.1.p1
OG0000961	NM_128958.3.p1, NM_001336483.1.p1	XM_013778899.1.p1, XM_013766933.1.p1, XM_013779135.1.p1
OG0000962	NM_123559.5.p1	XM_013781438.1.p1, XM_013737065.1.p1
OG0000962	NM_114795.4.p1	XM_013751504.1.p1
OG0000962	NM_124737.3.p1, NM_001161305.1.p1	XM_013756086.1.p1, XM_013759803.1.p1
OG0000963	NM_180882.3.p1, NM_001345297.1.p1, NM_001345298.1.p1, NM_125217.4.p1	XM_013755572.1.p1, XM_013773881.1.p1, XM_013764979.1.p1
OG0000963	NM_128602.5.p1, NM_001202712.2.p1	XM_013774644.1.p1, XM_013774645.1.p1, XM_013774643.1.p1, XM_013775408.1.p1
OG0000964	NM_001203516.2.p1, NM_123478.4.p1, NM_001344386.1.p1	XM_013732317.1.p1, XM_013779090.1.p1, XM_013779089.1.p1
OG0000964	NM_123477.5.p1, NM_001344384.1.p1	XM_013747519.1.p1
OG0000964	NM_113596.2.p1, NM_001338835.1.p1	XM_013743281.1.p1, XM_013757956.1.p1, XM_013757957.1.p1, XM_013757960.1.p1, XM_013743280.1.p1
OG0000964	NM_111069.4.p1	XM_013758583.1.p1, XM_013758582.1.p1
OG0000965	NM_100237.1.p1	XM_013748049.1.p1, XM_013745062.1.p1
OG0000965	NM_001335712.1.p1, NM_001335711.1.p1, NM_127653.5.p1	XM_013758742.1.p1
OG0000965	NM_104806.4.p1	XM_013776267.1.p1, XM_013763757.1.p1, XM_013751150.1.p1
OG0000965	NM_001331971.1.p1, NM_001331972.1.p1, NM_100990.4.p1	XM_013728059.1.p1
OG0000966	NM_001331993.1.p1, NM_101024.2.p1	XM_013776194.1.p1, XM_013782898.1.p1
OG0000966	NM_116246.3.p1, NM_103562.3.p1, NM_104855.4.p1, NM_116263.2.p1	XM_013757807.1.p1, XM_013776172.1.p1
OG0000967	NM_001332375.1.p1, NM_101741.4.p1	XM_013749934.1.p1, XM_013749933.1.p1, XM_013731642.1.p1
OG0000967	NM_106127.5.p1	XM_013765597.1.p1
OG0000968	NM_106649.3.p1, NM_202458.2.p1, NM_001334947.1.p1	XM_013734321.1.p1
OG0000969	NM_125875.3.p1	XM_013764123.1.p1, XM_013754457.1.p1
OG0000969	NM_111272.4.p1	XM_013728996.1.p1
OG0000969	NM_121827.2.p1	XM_013752941.1.p1
OG0000969	NM_105150.3.p1, NM_001335636.1.p1	XM_013750502.1.p1
OG0000970	NM_120410.5.p1, NM_001342698.1.p1	XM_013762978.1.p1
OG0000970	NM_001337847.1.p1, NM_202541.3.p1, NM_111818.4.p1	XM_013782932.1.p1, XM_013782933.1.p1, XM_013739323.1.p1
OG0000970	NM_179980.4.p1, NM_001336757.1.p1	XM_013778717.1.p1, XM_013778716.1.p1, XM_013779335.1.p1
OG0000971	NM_001337659.1.p1, NM_111523.3.p1	XM_013773480.1.p1
OG0000971	NM_001343345.1.p1, NM_121465.4.p1, NM_001343347.1.p1, NM_001343346.1.p1	XM_013757942.1.p1
OG0000971	NM_180161.2.p1	XM_013758577.1.p1, XM_013773310.1.p1
OG0000972	NM_124232.4.p1, NM_001344777.1.p1	XM_013763522.1.p1, XM_013763520.1.p1, XM_013738462.1.p1
OG0000972	NM_111613.5.p1, NM_001337703.1.p1	XM_013783042.1.p1
OG0000973	NM_112644.3.p1, NM_001338295.1.p1	XM_013769718.1.p1
OG0000973	NM_123525.4.p1, NM_001344404.1.p1	XM_013775876.1.p1
OG0000973	NM_118501.5.p1	XM_013740116.1.p1, XM_013740114.1.p1, XM_013770333.1.p1
OG0000974	NM_126680.4.p1	XM_013741058.1.p1
OG0000974	NM_122930.3.p1	XM_013744934.1.p1
OG0000974	NM_112910.5.p1, NM_001338461.1.p1	XM_013767062.1.p1
OG0000974	NM_103943.3.p1	XM_013771835.1.p1, XM_013729303.1.p1
OG0000974	NR_142381.1.p1, NM_119274.5.p1	XM_013743149.1.p1
OG0000975	NM_121965.4.p1	XM_013766778.1.p1, XM_013766777.1.p1, XM_013760713.1.p1
OG0000975	NM_001339539.1.p1	XM_013744454.1.p1, XM_013744455.1.p1, XM_013738322.1.p1, XM_013738321.1.p1
OG0000975	NM_116504.3.p1	XM_013756154.1.p1
OG0000976	NM_112225.5.p1	XM_013729915.1.p1, XM_013755339.1.p1
OG0000976	NM_125070.3.p1	XM_013765215.1.p1, XM_013773521.1.p1
OG0000976	NM_001339590.1.p1	XM_013781110.1.p1
OG0000976	NM_001341781.1.p1, NM_118747.3.p1, NM_001341777.1.p1, NM_001341778.1.p1, NM_001341779.1.p1, NM_001341782.1.p1, NM_001341783.1.p1, NM_179222.2.p1	XM_013740103.1.p1, XM_013749836.1.p1
OG0000977	NM_130261.3.p1	XM_013776212.1.p1
OG0000977	NM_116071.5.p1, NM_001340136.1.p1	XM_013744120.1.p1, XM_013778416.1.p1
OG0000977	NM_111465.5.p1	XM_013730362.1.p1, XM_013773772.1.p1
OG0000977	NM_001343974.1.p1, NM_203108.2.p1, NM_180547.3.p1	XM_013738683.1.p1, XM_013753217.1.p1
OG0000977	NM_104556.5.p1	XM_013759627.1.p1
OG0000978	NM_001341292.1.p1, NM_001341293.1.p1	XM_013766669.1.p1, XM_013784297.1.p1, XM_013741860.1.p1
OG0000979	NM_125009.4.p1, NM_001345190.1.p1, NM_001345193.1.p1, NM_001345192.1.p1, NM_001345191.1.p1	XM_013761097.1.p1, XM_013770263.1.p1
OG0000979	NM_111145.4.p1	XM_013774969.1.p1, XM_013774968.1.p1, XM_013777350.1.p1
OG0000979	NM_121650.4.p1	XM_013773896.1.p1, XM_013773897.1.p1
OG0000980	NM_125521.2.p1, NM_001345465.1.p1	XM_013741225.1.p1
OG0000981	NM_116332.4.p1	XM_013773180.1.p1
OG0000981	NM_100018.5.p1	XM_013728422.1.p1, XM_013728217.1.p1
OG0000981	NM_118930.3.p1	XM_013763327.1.p1
OG0000981	NM_124695.4.p1	XM_013767426.1.p1, XM_013762835.1.p1, XM_013751609.1.p1
OG0000982	NM_113425.2.p1	XM_013771105.1.p1
OG0000982	NM_106330.4.p1	XM_013763277.1.p1, XM_013734970.1.p1
OG0000982	NM_114234.2.p1, NM_114231.1.p1, NM_101968.3.p1	XM_013740650.1.p1, XM_013748170.1.p1, XM_013729232.1.p1
OG0000983	NM_104462.4.p1	XM_013774230.1.p1, XM_013736569.1.p1
OG0000984	NM_105882.3.p1	XM_013729480.1.p1, XM_013734919.1.p1, XM_013763236.1.p1
OG0000984	NM_115891.2.p1, NM_115892.4.p1	XM_013749744.1.p1, XM_013779242.1.p1
OG0000984	NM_130043.3.p1	XM_013770213.1.p1, XM_013779553.1.p1
OG0000985	NM_111393.3.p1	XM_013766332.1.p1, XM_013728878.1.p1, XM_013767858.1.p1
OG0000985	NM_122624.4.p1	XM_013739527.1.p1, XM_013763483.1.p1
OG0000986	NM_129157.3.p1	XM_013771795.1.p1, XM_013779151.1.p1
OG0000986	NM_111997.3.p1	XM_013739347.1.p1, XM_013730258.1.p1
OG0000986	NM_120715.3.p1	XM_013750558.1.p1, XM_013770047.1.p1
OG0000986	NM_129098.1.p1	XM_013780055.1.p1
OG0000987	NM_113191.2.p1	XM_013751890.1.p1, XM_013731127.1.p1
OG0000987	NM_116203.3.p1	XM_013780420.1.p1
OG0000988	NM_115457.3.p1	XM_013745327.1.p1, XM_013733297.1.p1
OG0000988	NM_129573.2.p1	XM_013767443.1.p1
OG0000989	NM_116232.5.p1	XM_013757041.1.p1
OG0000989	NM_130079.3.p1	XM_013774713.1.p1, XM_013732472.1.p1, XM_013732473.1.p1
OG0000990	NM_128075.7.p1	XM_013775692.1.p1
OG0000990	NM_119343.4.p1	XM_013766046.1.p1, XM_013766056.1.p1, XM_013743960.1.p1
OG0000991	NM_128909.3.p1	XM_013775405.1.p1, XM_013775404.1.p1, XM_013782057.1.p1
OG0000994	NM_001084380.2.p1, NM_106619.3.p1, NM_001334913.1.p1, NM_001334914.1.p1	XM_013732410.1.p1
OG0000994	NM_001332206.1.p1, NM_001332205.1.p1, NM_202110.2.p1, NM_101474.3.p1	XM_013783234.1.p1
OG0000994	NM_001035780.3.p1, NM_001339659.1.p1	XM_013744913.1.p1, XM_013733362.1.p1
OG0000995	NM_179290.3.p1, NM_100786.4.p1	XM_013745956.1.p1
OG0000995	NM_105512.3.p1, NM_001036175.2.p1	XM_013757555.1.p1
OG0000996	NM_001203656.2.p1, NM_125513.2.p1, NM_001125997.1.p1, NM_001342966.1.p1, NM_001036773.2.p1	XM_013753563.1.p1, XM_013767927.1.p1
OG0000997	NM_001124082.1.p1, NM_130074.3.p1	XM_013779957.1.p1, XM_013772470.1.p1, XM_013764504.1.p1
OG0000997	NM_105241.4.p1	XM_013779951.1.p1, XM_013779373.1.p1
OG0000998	NM_001339436.1.p1, NM_001125329.2.p1	XM_013744677.1.p1, XM_013773832.1.p1
OG0000999	NM_100081.5.p1, NM_001197959.1.p1, NM_001331318.1.p1, NM_001331319.1.p1, NM_001331320.1.p1	XM_013745576.1.p1, XM_013745577.1.p1, XM_013745578.1.p1
OG0000999	NM_101108.4.p1	XM_013782602.1.p1, XM_013750320.1.p1
OG0001000	NM_001198133.1.p1, NM_102079.5.p1, NM_202154.2.p1	XM_013739811.1.p1, XM_013731380.1.p1, XM_013744737.1.p1
OG0001000	NM_001333118.1.p1, NM_001333119.1.p1, NM_103195.4.p1, NM_001333117.1.p1	XM_013732581.1.p1, XM_013782760.1.p1
OG0001001	NM_130214.3.p1, NM_201971.3.p1, NM_001202833.1.p1	XM_013773557.1.p1, XM_013773556.1.p1, XM_013781637.1.p1
OG0001001	NM_122330.2.p1	XM_013743115.1.p1
OG0001002	NM_001334535.1.p1, NM_001334534.1.p1, NM_105908.4.p1	XM_013735329.1.p1, XM_013761775.1.p1, XM_013735355.1.p1
OG0001002	NM_001332302.1.p1, NM_101601.4.p1	XM_013746043.1.p1, XM_013729341.1.p1
OG0001003	NM_179405.4.p1, NM_102922.5.p1, NM_001332982.1.p1	XM_013731275.1.p1, XM_013731983.1.p1
OG0001003	NM_118031.4.p1, NM_179077.2.p1, NM_001341325.1.p1	XM_013774853.1.p1, XM_013774854.1.p1, XM_013742807.1.p1, XM_013746535.1.p1
OG0001004	NM_001333882.1.p1, NM_104705.4.p1, NM_001333884.1.p1, NM_001333883.1.p1	XM_013750052.1.p1, XM_013780952.1.p1
OG0001004	NM_102235.2.p1	XM_013749017.1.p1
OG0001004	NM_105697.4.p1, NM_001334443.1.p1	XM_013764997.1.p1
OG0001004	NM_127426.3.p1	XM_013756028.1.p1
OG0001005	NM_179756.4.p1, NM_128237.3.p1, NM_001336085.1.p1, NM_179757.2.p1, NM_001336086.1.p1	XM_013766302.1.p1, XM_013766301.1.p1
OG0001006	NM_001336323.1.p1, NM_128673.5.p1	XM_013775572.1.p1
OG0001006	NM_123244.4.p1	XM_013768418.1.p1, XM_013781882.1.p1, XM_013758270.1.p1
OG0001007	NM_127420.2.p1	XM_013755111.1.p1, XM_013755112.1.p1
OG0001007	NM_001338123.1.p1, NM_001338122.1.p1, NM_112313.3.p1, NM_114027.3.p1, NM_113869.2.p1	XM_013772171.1.p1
OG0001007	NM_127418.2.p1	XM_013738067.1.p1
OG0001007	NR_142395.1.p1	XM_013770613.1.p1, XM_013740720.1.p1
OG0001008	NM_122146.4.p1	XM_013764226.1.p1
OG0001008	NM_001343524.1.p1	XM_013771646.1.p1, XM_013763963.1.p1
OG0001008	NM_111238.3.p1	XM_013779879.1.p1, XM_013771556.1.p1
OG0001008	NM_103173.3.p1	XM_013740358.1.p1, XM_013741208.1.p1
OG0001009	NM_101255.2.p1	XM_013748239.1.p1
OG0001009	NM_001342964.1.p1	XM_013768316.1.p1, XM_013756993.1.p1
OG0001009	NM_125514.5.p1, NM_001345457.1.p1	XM_013760836.1.p1, XM_013743705.1.p1
OG0001010	NM_120882.4.p1, NM_001342974.1.p1	XM_013753432.1.p1
OG0001010	NM_125506.5.p1	XM_013762752.1.p1, XM_013738459.1.p1, XM_013753511.1.p1
OG0001010	NM_101723.4.p1	XM_013782629.1.p1, XM_013782630.1.p1, XM_013748680.1.p1
OG0001011	NM_101250.4.p1	XM_013783366.1.p1
OG0001011	NM_001344285.1.p1, NM_123284.4.p1	XM_013779060.1.p1, XM_013779062.1.p1, XM_013779152.1.p1
OG0001012	NM_001344624.1.p1, NM_001344625.1.p1	XM_013765533.1.p1, XM_013743028.1.p1
OG0001013	NM_124966.3.p1, NM_001345162.1.p1	XM_013757494.1.p1
OG0001014	NM_101688.3.p1	XM_013783352.1.p1, XM_013749317.1.p1
OG0001014	NM_106012.6.p1	XM_013733369.1.p1, XM_013766197.1.p1
OG0001014	NM_101355.3.p1	XM_013729804.1.p1, XM_013729803.1.p1, XM_013747255.1.p1
OG0001014	NM_126228.5.p1	XM_013758795.1.p1, XM_013758792.1.p1, XM_013738121.1.p1
OG0001015	NM_101544.5.p1	XM_013731411.1.p1
OG0001016	NM_113327.3.p1	XM_013741411.1.p1
OG0001016	NM_117945.3.p1	XM_013741121.1.p1, XM_013732821.1.p1
OG0001016	NM_102749.3.p1	XM_013729085.1.p1
OG0001016	NM_112304.3.p1	XM_013767572.1.p1, XM_013732216.1.p1
OG0001016	NM_106486.3.p1	XM_013764484.1.p1, XM_013735785.1.p1
OG0001017	NM_117116.4.p1	XM_013753490.1.p1
OG0001017	NM_103037.4.p1	XM_013767702.1.p1, XM_013738141.1.p1
OG0001017	NM_112074.3.p1	XM_013773960.1.p1, XM_013780405.1.p1, XM_013731270.1.p1
OG0001017	NM_121388.9.p1	XM_013753596.1.p1
OG0001018	NM_106593.4.p1, NM_202446.1.p1	XM_013734882.1.p1
OG0001018	NM_104310.4.p1	XM_013769588.1.p1
OG0001018	NM_112110.4.p1	XM_013773290.1.p1, XM_013731401.1.p1
OG0001019	NM_127170.1.p1, NM_127171.2.p1	XM_013742943.1.p1, XM_013742942.1.p1, XM_013742944.1.p1, XM_013742945.1.p1
OG0001019	NM_112769.3.p1	XM_013754418.1.p1, XM_013766982.1.p1
OG0001020	NM_180923.1.p1, NM_180922.1.p1, NM_125703.4.p1	XM_013754648.1.p1, XM_013771206.1.p1, XM_013771208.1.p1, XM_013771209.1.p1
OG0001021	NM_115556.4.p1	XM_013779507.1.p1
OG0001021	NM_115557.3.p1	XM_013735485.1.p1, XM_013735685.1.p1, XM_013741415.1.p1, XM_013741414.1.p1, XM_013748444.1.p1, XM_013748437.1.p1, XM_013746230.1.p1, XM_013741779.1.p1, XM_013759654.1.p1
OG0001021	NM_129689.2.p1	XM_013779627.1.p1, XM_013779852.1.p1
OG0001022	NM_115988.3.p1	XM_013744632.1.p1, XM_013744631.1.p1, XM_013744630.1.p1, XM_013733945.1.p1
OG0001022	NM_130144.4.p1	XM_013780946.1.p1
OG0001022	NM_116291.5.p1, NM_179204.2.p1	XM_013774116.1.p1, XM_013757262.1.p1
OG0001023	NM_117459.4.p1	XM_013746965.1.p1
OG0001023	NM_124103.4.p1	XM_013738107.1.p1, XM_013752542.1.p1, XM_013770925.1.p1
OG0001023	NM_125496.3.p1	XM_013742876.1.p1, XM_013756171.1.p1
OG0001024	NM_179815.3.p1	XM_013781244.1.p1, XM_013774903.1.p1, XM_013778103.1.p1
OG0001024	NM_119353.4.p1	XM_013743560.1.p1
OG0001025	NM_123625.4.p1	XM_013764168.1.p1
OG0001025	NM_126063.3.p1	XM_013755171.1.p1, XM_013763999.1.p1, XM_013743514.1.p1
OG0001025	NM_127942.3.p1	XM_013775444.1.p1, XM_013749795.1.p1
OG0001025	NM_119846.4.p1	XM_013740722.1.p1, XM_013762041.1.p1
OG0001026	NM_121880.4.p1	XM_013757346.1.p1
OG0001027	NM_148409.2.p1, NM_127786.3.p1	XM_013748562.1.p1, XM_013779888.1.p1
OG0001027	NM_122121.3.p1	XM_013764230.1.p1, XM_013764507.1.p1, XM_013772753.1.p1
OG0001027	NM_128266.2.p1	XM_013775897.1.p1, XM_013770791.1.p1
OG0001028	NM_129609.3.p1	XM_013770326.1.p1, XM_013778988.1.p1
OG0001030	NM_126255.4.p1, NM_001035872.3.p1	XM_013738722.1.p1, XM_013761167.1.p1, XM_013751808.1.p1
OG0001030	NM_105483.4.p1, NM_001084322.2.p1	XM_013733198.1.p1, XM_013732959.1.p1
OG0001030	NM_001332671.1.p1, NM_001332672.1.p1	XM_013783502.1.p1, XM_013767823.1.p1
OG0001031	NM_127867.5.p1	XM_013775681.1.p1
OG0001031	NM_001035944.2.p1, NM_100969.4.p1	XM_013730087.1.p1, XM_013744364.1.p1
OG0001031	NM_104774.6.p1	XM_013750486.1.p1
OG0001031	NM_125760.2.p1	XM_013769959.1.p1
OG0001031	NM_120946.5.p1	XM_013757790.1.p1, XM_013757791.1.p1, XM_013773862.1.p1
OG0001032	NM_180041.5.p1	XM_013780596.1.p1
OG0001032	NM_001036102.3.p1	XM_013773407.1.p1
OG0001032	NM_112356.4.p1	XM_013782833.1.p1, XM_013768750.1.p1
OG0001033	NM_119759.4.p1, NM_179173.4.p1	XM_013739485.1.p1, XM_013739445.1.p1, XM_013738475.1.p1
OG0001033	NM_001335558.1.p1, NM_001335559.1.p1, NM_001036290.2.p1, NM_001335560.1.p1	XM_013751183.1.p1
OG0001034	NM_104547.4.p1, NM_001084261.1.p1	XM_013756753.1.p1, XM_013756751.1.p1, XM_013756755.1.p1, XM_013756752.1.p1
OG0001034	NM_001332601.1.p1, NM_102193.4.p1	XM_013742799.1.p1
OG0001035	NM_001125034.1.p1, NM_129886.4.p1	XM_013776650.1.p1, XM_013766809.1.p1
OG0001035	NM_180390.3.p1	XM_013749261.1.p1
OG0001036	NM_124300.4.p1	XM_013751242.1.p1
OG0001036	NM_111556.4.p1, NM_001161122.1.p1	XM_013774958.1.p1, XM_013730238.1.p1, XM_013779590.1.p1, XM_013780076.1.p1
OG0001036	NM_001337603.1.p1, NM_111444.5.p1, NM_122581.3.p1	XM_013739968.1.p1, XM_013754148.1.p1, XM_013762783.1.p1
OG0001037	NM_001339004.1.p1	XM_013753371.1.p1
OG0001037	NM_123313.5.p1	XM_013758064.1.p1, XM_013734377.1.p1
OG0001037	NM_001339005.1.p1, NM_001203068.2.p1, NM_113833.4.p1	XM_013734375.1.p1, XM_013734376.1.p1
OG0001037	NM_102430.5.p1	XM_013761014.1.p1, XM_013740549.1.p1
OG0001038	NM_128552.4.p1, NM_179808.2.p1	XM_013775591.1.p1, XM_013767355.1.p1, XM_013775402.1.p1
OG0001038	NM_111953.3.p1	XM_013731670.1.p1, XM_013773550.1.p1
OG0001038	NM_001203301.2.p1	XM_013765064.1.p1
OG0001039	NM_202855.1.p1, NM_118265.5.p1, NM_001203857.1.p1	XM_013767528.1.p1, XM_013746956.1.p1
OG0001039	NM_001345079.1.p1, NM_124791.3.p1	XM_013753915.1.p1, XM_013753914.1.p1, XM_013760510.1.p1
OG0001040	NM_001331536.1.p1, NM_001331537.1.p1	XM_013783650.1.p1, XM_013746432.1.p1, XM_013747511.1.p1
OG0001040	NM_117612.3.p1	XM_013758875.1.p1, XM_013762175.1.p1
OG0001041	NM_101376.4.p1, NM_001332147.1.p1, NM_001332146.1.p1	XM_013749939.1.p1, XM_013749938.1.p1, XM_013749940.1.p1, XM_013744816.1.p1
OG0001041	NM_001334602.1.p1, NM_106034.3.p1	XM_013736976.1.p1
OG0001042	NM_202133.1.p1, NM_001332386.1.p1	XM_013749182.1.p1, XM_013744756.1.p1, XM_013728482.1.p1
OG0001042	NM_106153.4.p1, NM_001334673.1.p1	XM_013762686.1.p1, XM_013736892.1.p1, XM_013734553.1.p1
OG0001043	NM_119158.4.p1	XM_013735846.1.p1, XM_013738505.1.p1
OG0001043	NM_001335622.1.p1	XM_013774342.1.p1
OG0001043	NM_001341993.1.p1	XM_013742136.1.p1, XM_013754541.1.p1
OG0001044	NM_121491.3.p1	XM_013754281.1.p1
OG0001044	NM_114670.2.p1	XM_013748867.1.p1
OG0001044	NM_001335940.1.p1	XM_013778869.1.p1, XM_013747150.1.p1
OG0001044	NM_119182.4.p1	XM_013745309.1.p1
OG0001045	NM_001338430.1.p1, NM_001338429.1.p1	XM_013732974.1.p1, XM_013782626.1.p1, XR_001261450.1.p1, XM_013734003.1.p1, XM_013767187.1.p1
OG0001046	NM_114437.5.p1, NM_114438.1.p1	XM_013768514.1.p1
OG0001046	NM_114441.1.p1	XM_013761026.1.p1
OG0001046	NM_001339216.1.p1, NM_001339214.1.p1, NM_114434.2.p1	XM_013772369.1.p1
OG0001047	NM_001343923.1.p1, NM_001343924.1.p1	XM_013754024.1.p1
OG0001047	NM_001343177.1.p1, NM_121168.5.p1	XM_013753488.1.p1
OG0001047	NM_106686.3.p1	XM_013775387.1.p1, XM_013768277.1.p1, XM_013763321.1.p1, XM_013737434.1.p1, XM_013734958.1.p1
OG0001047	NM_101426.5.p1	XM_013745455.1.p1, XM_013782859.1.p1
OG0001048	NM_121452.4.p1	XM_013751443.1.p1
OG0001048	NM_111028.3.p1	XM_013763487.1.p1, XM_013767873.1.p1
OG0001048	NM_113670.4.p1	XM_013737740.1.p1
OG0001048	NM_105458.3.p1	XM_013732771.1.p1
OG0001048	NM_101170.4.p1	XM_013731451.1.p1, XM_013750108.1.p1
OG0001049	NM_119189.1.p1	XM_013734767.1.p1
OG0001049	NM_179714.5.p1	XM_013766474.1.p1, XM_013750160.1.p1
OG0001049	NM_118944.3.p1	XM_013737845.1.p1, XM_013745681.1.p1
OG0001049	NM_101710.3.p1	XM_013748258.1.p1, XM_013729643.1.p1, XM_013744504.1.p1
OG0001050	NM_129933.4.p1	XM_013774516.1.p1, XM_013781367.1.p1
OG0001050	NM_121629.3.p1	XM_013757449.1.p1
OG0001050	NM_111131.3.p1	XM_013729712.1.p1, XM_013775302.1.p1
OG0001051	NM_111092.4.p1	XM_013779869.1.p1, XM_013775068.1.p1, XM_013728023.1.p1
OG0001051	NM_121579.4.p1	XM_013766857.1.p1, XM_013769711.1.p1, XM_013750704.1.p1
OG0001052	NM_111358.4.p1	XM_013733283.1.p1, XM_013729324.1.p1
OG0001052	NM_122698.5.p1	XM_013739875.1.p1, XM_013751305.1.p1, XM_013751304.1.p1
OG0001053	NM_124125.4.p1	XM_013760855.1.p1, XM_013737629.1.p1, XM_013737630.1.p1, XM_013754196.1.p1
OG0001056	NM_001344136.1.p1, NM_123016.2.p1, NM_001344137.1.p1	XM_013781751.1.p1, XM_013769364.1.p1
OG0001056	NM_001035548.1.p1, NM_111143.3.p1, NM_001035547.2.p1	XM_013777403.1.p1, XM_013767040.1.p1, XM_013730414.1.p1
OG0001057	NM_112904.3.p1, NM_001084724.2.p1	XM_013728308.1.p1
OG0001057	NM_102611.2.p1	XM_013782128.1.p1
OG0001057	NM_001341032.1.p1, NM_117621.5.p1	XM_013764261.1.p1
OG0001057	NM_202615.2.p1, NM_001338450.1.p1, NM_112899.3.p1, NM_117626.5.p1	XM_013768272.1.p1, XM_013768803.1.p1, XM_013779614.1.p1
OG0001057	NM_112901.3.p1	XM_013731246.1.p1
OG0001057	NM_103937.4.p1, NM_103935.4.p1	XM_013733270.1.p1
OG0001057	NM_123622.2.p1	XM_013782415.1.p1, XM_013747446.1.p1
OG0001057	NM_001161159.2.p1, NM_112903.3.p1	XM_013767029.1.p1, XM_013772802.1.p1
OG0001058	NM_001035818.3.p1	XM_013733238.1.p1
OG0001058	NM_001337039.1.p1, NM_001337041.1.p1, NM_001161101.2.p1, NM_001337038.1.p1	XM_013776649.1.p1, XM_013775545.1.p1, XM_013774983.1.p1, XM_013774982.1.p1
OG0001059	NM_001342559.1.p1, NM_120149.4.p1	XM_013762839.1.p1
OG0001059	NM_001036219.1.p1, NM_001198495.1.p1, NM_106465.4.p1	XM_013764705.1.p1
OG0001059	NM_103280.5.p1, NM_001333167.1.p1, NM_001333168.1.p1	XM_013728567.1.p1
OG0001060	NM_128684.5.p1, NM_001036377.1.p1, NM_001036376.1.p1	XM_013781198.1.p1
OG0001060	NM_001331616.1.p1	XM_013781555.1.p1
OG0001061	NM_001036465.2.p1, NM_001337126.1.p1, NM_180102.2.p1, NM_001337125.1.p1	XM_013782192.1.p1
OG0001061	NM_179090.4.p1	XM_013769745.1.p1, XM_013769744.1.p1, XM_013738142.1.p1
OG0001062	NM_102273.3.p1, NM_121312.3.p1	XM_013728568.1.p1, XM_013771055.1.p1, XM_013769727.1.p1, XM_013756318.1.p1
OG0001062	NM_001084290.2.p1, NM_001332017.1.p1	XM_013747205.1.p1, XM_013747165.1.p1, XM_013729263.1.p1
OG0001063	NM_001125435.1.p1, NM_116298.4.p1	XM_013756845.1.p1, XM_013774296.1.p1
OG0001063	NM_115979.5.p1	XM_013782103.1.p1, XM_013736847.1.p1
OG0001064	NM_118080.3.p1	XM_013742007.1.p1, XM_013775038.1.p1
OG0001064	NM_001344595.1.p1, NM_001161291.1.p1, NM_123887.4.p1	XM_013765710.1.p1, XM_013765713.1.p1, XM_013765709.1.p1, XM_013743239.1.p1, XM_013743240.1.p1
OG0001065	NM_118544.4.p1	XM_013738799.1.p1, XM_013767929.1.p1, XM_013747837.1.p1
OG0001065	NM_001203603.2.p1, NM_001345063.1.p1, NM_001345061.1.p1	XM_013757557.1.p1
OG0001065	NM_122346.3.p1	XM_013738573.1.p1
OG0001066	NM_116491.3.p1, NM_001203732.1.p1	XM_013756884.1.p1, XM_013759087.1.p1
OG0001066	NM_104673.1.p1, NM_001333868.1.p1	XM_013759681.1.p1
OG0001066	NM_103467.2.p1, NM_001331372.1.p1	XM_013747436.1.p1
OG0001067	NM_001203976.1.p1, NM_119503.2.p1	XM_013748946.1.p1
OG0001067	NM_103539.2.p1	XM_013728928.1.p1, XM_013734868.1.p1
OG0001067	NM_180650.3.p1, NM_106397.5.p1	XM_013736208.1.p1
OG0001068	NM_001333631.1.p1, NM_104288.3.p1, NM_001333630.1.p1, NM_115417.5.p1, NM_001339735.1.p1	XM_013747578.1.p1
OG0001069	NM_105265.5.p1	XM_013759487.1.p1, XM_013737380.1.p1, XM_013758331.1.p1
OG0001069	NM_121463.5.p1	XM_013774328.1.p1
OG0001070	NM_120083.5.p1	XM_013773563.1.p1
OG0001070	NM_106185.2.p1	XM_013732508.1.p1
OG0001070	NM_001334681.1.p1, NM_106183.4.p1	XM_013734369.1.p1
OG0001071	NM_129350.4.p1, NM_001336682.1.p1	XM_013776778.1.p1, XM_013768098.1.p1, XM_013776079.1.p1
OG0001071	NM_115262.3.p1	XM_013775796.1.p1, XM_013775797.1.p1, XM_013775790.1.p1, XM_013775791.1.p1
