Orthogroup	Arabidopsis_thaliana_rna_prot	Quercus_robur_rna_prot
OG0001480	NM_114632.4.p1, NM_001203100.1.p1	XM_050400408.1.p1
OG0001481	NM_115246.4.p1, NM_001336344.1.p1, NM_201847.3.p1, NM_001336342.1.p1, NM_128717.3.p1, NM_001331590.1.p1, NM_001331591.1.p1, NM_100467.3.p1	XR_007647786.1.p1
OG0001482	NM_001331716.1.p1, NM_100655.4.p1	XM_050386811.1.p1, XM_050435558.1.p1
OG0001482	NM_116317.4.p1	XM_050393526.1.p1
OG0001483	NM_106139.3.p1, NM_001332166.1.p1, NM_001332167.1.p1	XM_050430439.1.p1, XM_050430440.1.p1, XM_050415875.1.p1
OG0001483	NM_001342154.1.p1, NM_001343926.1.p1	XM_050412578.1.p1
OG0001484	NM_001334620.1.p1	XM_050403479.1.p1
OG0001484	NM_001332691.1.p1, NM_001332693.1.p1, NM_001332695.1.p1, NM_102384.4.p1	XM_050420041.1.p1, XR_007652806.1.p1
OG0001485	NM_179385.2.p1, NM_102542.1.p1, NM_001332786.1.p1	XM_050409287.1.p1
OG0001485	NM_127860.2.p1, NM_119927.3.p1	XM_050435953.1.p1, XM_050435954.1.p1
OG0001486	NM_104406.6.p1, NM_001333700.1.p1, NM_001333699.1.p1, NM_112203.4.p1	XM_050422131.1.p1
OG0001487	NM_101096.3.p1, NM_001334045.1.p1, NM_001334044.1.p1, NM_104943.3.p1	XM_050408861.1.p1
OG0001488	NM_119598.2.p1, NR_142390.1.p1, NM_119597.4.p1	XM_050405579.1.p1, XM_050405577.1.p1
OG0001488	NM_001335601.1.p1, NM_127419.4.p1	XR_007659507.1.p1, XR_007659508.1.p1, XM_050435538.1.p1
OG0001489	NM_101788.4.p1	XM_050411394.1.p1
OG0001489	NM_001335866.1.p1, NM_001335867.1.p1, NM_127941.4.p1	XM_050435549.1.p1
OG0001490	NM_130058.2.p1, NM_001336175.1.p1, NM_001336177.1.p1, NM_115911.3.p1	XM_050426484.1.p1, XM_050425438.1.p1, XM_050426481.1.p1, XM_050426451.1.p1, XM_050426449.1.p1, XM_050426457.1.p1, XM_050425439.1.p1, XM_050426479.1.p1, XM_050426467.1.p1, XM_050426466.1.p1, XM_050426474.1.p1, XM_050426476.1.p1, XM_050426475.1.p1, XM_050426462.1.p1, XM_050426463.1.p1, XM_050426464.1.p1, XM_050426458.1.p1, XM_050426485.1.p1, XM_050426468.1.p1, XM_050426469.1.p1, XM_050426471.1.p1, XM_050426472.1.p1, XM_050426478.1.p1, XM_050426460.1.p1, XM_050429013.1.p1, XM_050429016.1.p1, XM_050386275.1.p1, XM_050425450.1.p1, XM_050426492.1.p1, XM_050429017.1.p1
OG0001491	NM_119203.3.p1	XM_050388344.1.p1
OG0001491	NM_115416.2.p1, NM_001336797.1.p1, NM_129535.4.p1	XM_050394640.1.p1
OG0001492	NM_148725.4.p1, NM_001338161.1.p1, NM_001338162.1.p1, NM_001338163.1.p1, NM_104188.4.p1, NM_179471.2.p1	XM_050391626.1.p1, XM_050391623.1.p1
OG0001493	NM_114383.3.p1, NM_001339198.1.p1	XM_050420565.1.p1, XM_050420548.1.p1, XM_050420606.1.p1, XM_050420592.1.p1
OG0001494	NM_001339932.1.p1, NM_001339933.1.p1, NM_115738.4.p1	XM_050393325.1.p1, XM_050393326.1.p1
OG0001494	NM_118012.5.p1, NM_001341308.1.p1	XM_050431573.1.p1
OG0001495	NM_115812.4.p1, NM_001339985.1.p1, NM_102826.4.p1	XM_050402628.1.p1
OG0001496	NM_203109.2.p1, NM_180555.3.p1	XM_050417423.1.p1, XM_050417424.1.p1, XM_050404220.1.p1
OG0001496	NM_001340141.1.p1, NM_116078.4.p1	XM_050408877.1.p1
OG0001497	NM_129030.2.p1, NM_118205.2.p1, NM_001341459.1.p1	XM_050432089.1.p1
OG0001498	NM_148657.3.p1, NM_001342739.1.p1	XM_050389682.1.p1
OG0001498	NM_121349.4.p1	XM_050428731.1.p1, XM_050428734.1.p1, XM_050428733.1.p1
OG0001499	NM_121891.4.p1, NM_001343573.1.p1	XM_050384291.1.p1, XM_050384290.1.p1, XM_050384302.1.p1, XM_050384300.1.p1, XM_050384303.1.p1, XM_050384297.1.p1
OG0001500	NM_118008.4.p1	XM_050431551.1.p1
OG0001500	NM_123140.2.p1, NM_001344221.1.p1	XM_050413257.1.p1, XM_050403677.1.p1, XM_050407025.1.p1, XM_050403671.1.p1, XM_050403669.1.p1
OG0001501	NM_180171.2.p1, NM_111103.6.p1	XM_050414398.1.p1
OG0001501	NM_105093.3.p1, NM_123531.3.p1, NM_001344409.1.p1, NM_001344410.1.p1, NM_180782.3.p1	XM_050415564.1.p1, XM_050415565.1.p1
OG0001502	NM_001344437.1.p1	XM_050411819.1.p1
OG0001503	NM_117521.4.p1	XM_050395558.1.p1, XM_050383470.1.p1
OG0001504	NM_129514.3.p1	XM_050394482.1.p1
OG0001504	NM_001345346.1.p1, NM_125326.4.p1, NM_001345345.1.p1	XM_050435011.1.p1
OG0001505	NM_101012.5.p1	XM_050433061.1.p1, XM_050433062.1.p1
OG0001506	NM_124872.3.p1, NM_118834.4.p1	XM_050390987.1.p1
OG0001506	NM_101037.4.p1	XM_050432623.1.p1
OG0001507	NM_103632.3.p1	XM_050411240.1.p1
OG0001508	NM_104412.3.p1, NM_112197.4.p1, NM_125036.5.p1	XM_050418135.1.p1
OG0001509	NM_105719.5.p1, NM_180620.3.p1	XM_050420648.1.p1
OG0001510	NM_105720.4.p1	XM_050420647.1.p1, XM_050420645.1.p1, XM_050420646.1.p1
OG0001511	NM_111612.4.p1	XM_050396542.1.p1
OG0001511	NM_116866.3.p1	XM_050399384.1.p1
OG0001512	NM_120217.5.p1, NM_111725.3.p1	XM_050387971.1.p1
OG0001512	NM_118990.4.p1, NM_127616.5.p1	XM_050392421.1.p1
OG0001513	NM_117551.3.p1, NM_113183.4.p1	XM_050384707.1.p1, XM_050384630.1.p1, XM_050384708.1.p1, XM_050384757.1.p1
OG0001514	NM_113821.3.p1, NM_123329.2.p1	XM_050415648.1.p1, XM_050417278.1.p1
OG0001515	NM_114744.4.p1	XM_050400510.1.p1
OG0001515	NM_121407.3.p1	XM_050414709.1.p1, XM_050414707.1.p1, XM_050414708.1.p1
OG0001516	NM_130177.3.p1	XM_050413171.1.p1, XM_050424469.1.p1
OG0001517	NM_118530.5.p1	XM_050412990.1.p1
OG0001517	NM_116048.3.p1, NM_130218.5.p1	XM_050393497.1.p1
OG0001518	NM_117086.4.p1	XM_050401934.1.p1, XR_007647921.1.p1, XM_050401933.1.p1, XM_050401936.1.p1, XM_050401937.1.p1
OG0001519	NM_117890.5.p1	XM_050410058.1.p1
OG0001519	NM_129079.2.p1	XM_050426814.1.p1
OG0001520	NM_118632.3.p1	XM_050405328.1.p1, XM_050411208.1.p1, XM_050411211.1.p1, XM_050411213.1.p1, XM_050411214.1.p1, XM_050411210.1.p1
OG0001521	NM_118712.6.p1, NM_125139.3.p1	XM_050433108.1.p1, XM_050416571.1.p1
OG0001522	NM_120280.4.p1	XM_050388380.1.p1
OG0001523	NM_120983.2.p1, NM_125830.2.p1	XM_050407400.1.p1
OG0001523	NM_124380.3.p1	XM_050398434.1.p1
OG0001524	NM_121218.5.p1	XM_050408296.1.p1
OG0001524	NM_179659.2.p1	XM_050414299.1.p1, XR_007651570.1.p1, XM_050414298.1.p1
OG0001525	NM_121239.4.p1	XM_050414218.1.p1, XM_050407688.1.p1
OG0001526	NM_121970.2.p1	XM_050415744.1.p1
OG0001526	NM_148870.3.p1	XM_050423929.1.p1, XM_050387753.1.p1
OG0001527	NM_122355.4.p1	XM_050414521.1.p1, XM_050414522.1.p1, XM_050399392.1.p1
OG0001528	NM_122462.2.p1	XR_007649674.1.p1, XM_050410957.1.p1
OG0001529	NM_122518.3.p1	XM_050407573.1.p1
OG0001530	NM_124580.4.p1	XM_050410686.1.p1
OG0001531	NM_125010.3.p1	XM_050390096.1.p1, XM_050390097.1.p1
OG0001532	NM_128919.4.p1, NM_128920.3.p1	XM_050412046.1.p1, XM_050417981.1.p1, XM_050412043.1.p1, XM_050412044.1.p1
OG0001542	NM_125464.3.p1	XM_050430518.1.p1
OG0001542	NM_115335.3.p1, NM_001035784.2.p1, NM_179975.3.p1	XM_050394140.1.p1
OG0001543	NM_001035943.2.p1, NM_001331916.1.p1, NM_100936.3.p1	XM_050420730.1.p1, XM_050420733.1.p1, XM_050420731.1.p1, XM_050420732.1.p1, XM_050420729.1.p1
OG0001544	NM_119583.4.p1	XM_050406340.1.p1
OG0001544	NM_101636.3.p1, NM_001035984.2.p1, NM_001123830.1.p1	XM_050433164.1.p1
OG0001545	NM_179565.2.p1, NM_001036212.1.p1, NM_179566.2.p1, NM_001124136.2.p1	XM_050398575.1.p1, XM_050398574.1.p1, XM_050398573.1.p1
OG0001546	NM_001331478.1.p1, NM_001123753.2.p1, NM_100323.7.p1, NM_001036562.2.p1, NM_113232.5.p1	XM_050383385.1.p1
OG0001547	NM_201914.3.p1, NM_001084558.3.p1, NM_001336817.1.p1	XM_050432504.1.p1, XM_050406179.1.p1, XM_050394771.1.p1
OG0001548	NM_001343488.1.p1, NM_121736.3.p1	XM_050414432.1.p1
OG0001548	NM_123085.3.p1, NM_101691.9.p1, NM_001123832.2.p1, NM_148701.2.p1	XM_050400367.1.p1, XM_050400369.1.p1, XM_050400364.1.p1, XM_050400366.1.p1, XM_050400363.1.p1
OG0001549	NM_122143.3.p1, NM_114303.2.p1, NM_001125299.2.p1	XM_050387687.1.p1, XM_050424265.1.p1, XM_050424271.1.p1
OG0001550	NM_105057.3.p1, NM_123503.2.p1	XM_050410423.1.p1
OG0001550	NM_125392.3.p1, NM_001125990.2.p1	XM_050435595.1.p1
OG0001551	NM_104296.5.p1, NM_001160950.2.p1, NM_202580.2.p1	XM_050429443.1.p1, XM_050429444.1.p1
OG0001551	NM_122061.4.p1	XM_050414171.1.p1
OG0001552	NM_001161132.1.p1, NM_111937.5.p1	XM_050394895.1.p1
OG0001552	NM_001342605.1.p1, NM_120244.6.p1	XR_007655768.1.p1, XM_050431489.1.p1, XM_050431490.1.p1, XM_050388093.1.p1, XM_050388095.1.p1
OG0001553	NM_001335555.1.p1, NM_001202616.1.p1, NM_001342379.1.p1, NM_119756.5.p1	XM_050411776.1.p1, XR_007644657.1.p1
OG0001554	NM_180770.2.p1, NM_001203501.1.p1, NM_001344187.1.p1, NM_001344186.1.p1, NM_123096.3.p1	XM_050414134.1.p1
OG0001555	NM_001331450.1.p1, NM_100277.5.p1, NM_001331451.1.p1, NM_123776.4.p1	XM_050395773.1.p1
OG0001555	NM_104323.4.p1, NM_122768.2.p1, NM_122774.4.p1	XM_050419316.1.p1
OG0001556	NM_112631.3.p1, NM_001333318.1.p1, NM_001333319.1.p1, NM_001333316.1.p1, NM_202599.2.p1	XM_050383639.1.p1
OG0001557	NM_001334438.1.p1, NM_180642.2.p1, NM_001334437.1.p1, NM_001334440.1.p1, NM_001334439.1.p1, NM_105686.6.p1	XM_050415411.1.p1, XM_050420910.1.p1
OG0001558	NM_129185.4.p1, NM_001336591.1.p1	XM_050387603.1.p1, XM_050387602.1.p1
OG0001559	NM_121686.4.p1, NM_203064.3.p1, NM_111168.2.p1, NM_001337453.1.p1	XM_050397935.1.p1, XM_050397936.1.p1
OG0001560	NM_001342207.1.p1, NM_119478.7.p1	XM_050405202.1.p1
OG0001560	NM_001338116.1.p1	XM_050429160.1.p1
OG0001561	NM_001340008.1.p1, NM_001340009.1.p1, NM_129978.4.p1	XM_050400322.1.p1, XM_050400324.1.p1, XM_050400323.1.p1
OG0001562	NM_202856.3.p1, NM_118276.4.p1, NM_116739.4.p1, NM_001340525.1.p1, NM_202784.3.p1	XM_050433111.1.p1, XM_050433112.1.p1
OG0001563	NM_117141.6.p1, NM_001340683.1.p1, NM_118542.4.p1, NM_001341641.1.p1	XM_050412921.1.p1, XM_050412922.1.p1
OG0001564	NM_001342189.1.p1, NM_119452.4.p1	XM_050408323.1.p1, XM_050408337.1.p1, XM_050408343.1.p1, XM_050408329.1.p1
OG0001565	NM_001345172.1.p1, NM_001345173.1.p1, NM_124977.4.p1	XM_050390412.1.p1
OG0001565	NM_001345239.1.p1, NM_001345240.1.p1, NM_001345241.1.p1, NM_125092.4.p1	XM_050414454.1.p1, XM_050414453.1.p1
OG0001566	NM_001345279.1.p1, NM_001345280.1.p1	XM_050403935.1.p1
OG0001566	NM_122418.2.p1, NM_128063.5.p1, NM_119334.3.p1	XM_050416350.1.p1, XM_050412300.1.p1
OG0001567	NM_180931.2.p1, NM_125820.3.p1	XM_050406502.1.p1
OG0001567	NM_100097.5.p1	XM_050426663.1.p1
OG0001568	NM_124262.4.p1	XM_050383147.1.p1, XM_050422792.1.p1
OG0001568	NM_100355.4.p1, NM_123800.1.p1	XM_050432027.1.p1
OG0001569	NM_202067.2.p1, NM_100768.4.p1, NM_202301.2.p1, NM_104356.3.p1	XM_050418301.1.p1, XM_050384489.1.p1
OG0001570	NM_103488.4.p1, NM_101732.3.p1, NM_106105.2.p1	XM_050413429.1.p1
OG0001571	NM_101943.2.p1, NM_106300.4.p1	XM_050412050.1.p1
OG0001571	NM_119705.3.p1	XM_050406059.1.p1
OG0001572	NM_102355.5.p1, NM_105523.3.p1	XM_050385106.1.p1, XM_050401162.1.p1
OG0001573	NM_111034.3.p1	XM_050401876.1.p1, XM_050420465.1.p1, XM_050415023.1.p1, XM_050402275.1.p1, XM_050415442.1.p1, XM_050415444.1.p1, XM_050415014.1.p1, XM_050415021.1.p1, XM_050415020.1.p1, XM_050415018.1.p1, XM_050415017.1.p1
OG0001574	NM_116377.2.p1	XM_050394415.1.p1
OG0001574	NM_129238.4.p1, NM_113559.4.p1	XM_050426130.1.p1, XM_050387274.1.p1
OG0001575	NM_121062.5.p1, NM_180941.3.p1	XM_050435150.1.p1
OG0001575	NM_114602.4.p1, NM_180332.1.p1, NM_180333.1.p1	XM_050384144.1.p1
OG0001576	NM_115367.3.p1, NM_129492.3.p1, NM_121361.3.p1	XM_050394354.1.p1
OG0001576	NM_115211.5.p1	XM_050386812.1.p1
OG0001577	NM_117989.4.p1, NM_115732.4.p1, NM_123945.4.p1, NM_180045.4.p1	XM_050392604.1.p1
OG0001578	NM_116478.5.p1	XM_050408488.1.p1
OG0001579	NM_118953.2.p1, NM_201769.3.p1, NM_179676.3.p1	XM_050392212.1.p1
OG0001580	NM_119391.2.p1, NM_128109.3.p1, NM_122449.2.p1, NM_121161.3.p1	XM_050412503.1.p1
OG0001581	NM_120166.2.p1	XM_050435273.1.p1
OG0001582	NM_120564.2.p1	XM_050425459.1.p1
OG0001583	NM_122116.6.p1	XM_050427870.1.p1, XM_050427871.1.p1
OG0001583	NM_129747.5.p1	XM_050389946.1.p1, XM_050389945.1.p1
OG0001584	NM_122472.4.p1	XM_050408529.1.p1
OG0001585	NM_126592.3.p1	XM_050391965.1.p1
OG0001585	NM_128970.2.p1	XM_050431439.1.p1
OG0001586	NM_201819.2.p1, NM_128310.4.p1	XR_007653892.1.p1, XR_007653889.1.p1, XR_007653891.1.p1
OG0001593	NM_001036117.1.p1, NM_104405.4.p1	XM_050422141.1.p1
OG0001594	NM_178941.4.p1, NM_001036488.1.p1, NM_178943.3.p1, NM_130161.3.p1	XM_050424721.1.p1
OG0001595	NM_001331380.1.p1, NM_100185.3.p1, NM_116493.3.p1, NM_001036500.2.p1	XM_050419171.1.p1, XM_050407734.1.p1
OG0001596	NM_111323.4.p1, NM_001084023.1.p1, NM_100736.3.p1	XM_050419375.1.p1, XM_050419376.1.p1, XM_050419372.1.p1, XM_050419373.1.p1
OG0001597	NM_116092.4.p1, NM_001084602.2.p1, NM_180138.3.p1	XM_050408710.1.p1
OG0001597	NM_111520.5.p1	XM_050383699.1.p1, XM_050383702.1.p1
OG0001598	NM_127343.2.p1, NM_119774.3.p1, NM_180949.3.p1, NM_126019.4.p1, NM_001345751.1.p1, NM_001345752.1.p1, NM_001126036.2.p1, NM_001085337.1.p1	XM_050436429.1.p1
OG0001599	NM_001203058.1.p1, NM_113650.4.p1, NM_123435.4.p1, NM_001125871.1.p1, NM_111037.4.p1	XM_050420422.1.p1, XM_050420421.1.p1, XM_050420423.1.p1, XM_050414992.1.p1, XM_050414991.1.p1
OG0001600	NM_129504.4.p1, NM_001161093.2.p1, NM_115386.3.p1	XM_050394405.1.p1, XM_050435113.1.p1
OG0001601	NM_001161298.2.p1, NM_001344803.1.p1, NM_124249.3.p1	XM_050396850.1.p1
OG0001602	NM_123795.5.p1, NM_001331440.1.p1, NM_100256.3.p1, NM_001197972.1.p1, NM_001331439.1.p1	XM_050392389.1.p1, XM_050392390.1.p1
OG0001603	NM_101189.4.p1	XM_050420452.1.p1
OG0001603	NM_001203619.1.p1, NM_124949.3.p1	XM_050390512.1.p1
OG0001604	NM_100246.1.p1, NM_001203751.2.p1, NM_116743.3.p1, NM_001340527.1.p1, NM_001340933.1.p1, NM_001340932.1.p1, NM_117519.4.p1, NM_001340455.1.p1, NM_116586.6.p1, NM_001340451.1.p1, NM_001340452.1.p1, NM_116583.4.p1, NM_001340454.1.p1, NM_001340453.1.p1, NM_001340462.1.p1, NM_001340461.1.p1, NM_116588.2.p1, NM_001340458.1.p1, NM_001203740.1.p1, NM_116587.6.p1, NM_001340457.1.p1	XM_050390025.1.p1, XM_050392376.1.p1, XM_050426801.1.p1, XM_050426800.1.p1, XM_050426802.1.p1, XM_050429966.1.p1, XM_050433817.1.p1, XM_050420305.1.p1, XM_050420324.1.p1
OG0001605	NM_118962.5.p1	XM_050392223.1.p1
OG0001605	NM_127645.4.p1	XM_050387631.1.p1
OG0001605	NM_001341491.1.p1, NM_116741.4.p1, NM_001203749.1.p1	XM_050433078.1.p1
OG0001606	NM_001331887.1.p1, NM_100886.7.p1	XM_050395603.1.p1, XM_050395604.1.p1
OG0001607	NM_001332351.1.p1, NM_101720.8.p1, NM_001332352.1.p1, NM_106076.4.p1	XM_050414570.1.p1, XM_050414567.1.p1, XM_050414568.1.p1, XM_050402684.1.p1
OG0001608	NM_001334552.1.p1, NM_105940.4.p1	XM_050429465.1.p1
OG0001608	NM_122521.5.p1	XM_050407513.1.p1, XM_050407521.1.p1
OG0001609	NM_119344.3.p1	XM_050412343.1.p1, XM_050412344.1.p1
OG0001609	NM_101455.2.p1, NM_001335003.1.p1	XM_050430809.1.p1
OG0001610	NM_101751.2.p1, NM_106136.5.p1, NM_001336509.1.p1, NM_179898.3.p1, NM_001336508.1.p1	XM_050403229.1.p1, XM_050401242.1.p1, XR_007647691.1.p1, XM_050400867.1.p1, XM_050400865.1.p1, XM_050400864.1.p1, XM_050402452.1.p1, XM_050402463.1.p1, XM_050402464.1.p1
OG0001611	NM_112559.4.p1, NM_148104.4.p1, NM_180194.3.p1, NM_001337676.1.p1, NM_180195.2.p1	XM_050383940.1.p1
OG0001612	NM_103180.3.p1, NM_001338186.1.p1	XM_050427487.1.p1, XM_050427488.1.p1
OG0001613	NM_001338563.1.p1, NM_001338561.1.p1, NM_001338562.1.p1, NM_113107.7.p1	XM_050432878.1.p1, XM_050392135.1.p1, XM_050392136.1.p1
OG0001614	NM_001339717.1.p1, NM_115366.4.p1	XM_050394341.1.p1
OG0001615	NM_117145.3.p1, NM_001340684.1.p1	XM_050412955.1.p1
OG0001615	NM_124731.1.p1, NM_118912.6.p1, NM_124732.2.p1	XM_050396625.1.p1
OG0001616	NM_116527.4.p1	XM_050408905.1.p1
OG0001616	NM_001341435.1.p1, NR_142340.1.p1	XM_050402746.1.p1
OG0001617	NM_179636.3.p1	XM_050385733.1.p1, XM_050385732.1.p1, XM_050385730.1.p1, XM_050385731.1.p1, XM_050385729.1.p1
OG0001617	NM_001342377.1.p1, NM_119754.4.p1	XM_050385734.1.p1
OG0001618	NM_001342451.1.p1, NM_119926.5.p1	XM_050410420.1.p1, XM_050435951.1.p1
OG0001619	NM_122376.4.p1, NM_001343893.1.p1, NM_001343892.1.p1	XM_050395967.1.p1, XM_050395966.1.p1, XM_050395961.1.p1, XM_050395962.1.p1
OG0001620	NM_001344996.1.p1, NM_203198.1.p1, NM_122294.4.p1	XM_050395786.1.p1, XM_050395789.1.p1
OG0001621	NM_001345554.1.p1	XM_050399719.1.p1, XM_050399720.1.p1
OG0001621	NM_102483.3.p1, NM_104678.2.p1	XM_050420930.1.p1
OG0001622	NM_106138.3.p1, NM_001345556.1.p1, NM_125657.5.p1	XM_050399622.1.p1
OG0001622	NM_102474.4.p1	XM_050420979.1.p1
OG0001623	NM_116445.2.p1, NM_178954.2.p1, NM_100152.3.p1, NM_202015.2.p1, NM_116131.5.p1	XM_050407790.1.p1, XM_050407789.1.p1
OG0001624	NM_106683.2.p1, NM_101424.3.p1, NM_106682.1.p1	XM_050430387.1.p1
OG0001624	NM_118289.1.p1	XM_050410275.1.p1, XM_050415834.1.p1
OG0001625	NM_101792.4.p1, NM_202136.1.p1, NM_202135.3.p1, NM_202416.1.p1, NM_106164.3.p1	XM_050411412.1.p1
OG0001625	NM_119842.7.p1, NM_114935.3.p1	XM_050435531.1.p1
OG0001626	NM_130342.3.p1	XM_050410254.1.p1
OG0001626	NM_102578.4.p1, NM_179387.2.p1	XM_050420074.1.p1
OG0001627	NM_102948.4.p1, NM_179917.4.p1	XM_050411002.1.p1
OG0001628	NM_103511.4.p1	XM_050436620.1.p1, XM_050398520.1.p1, XM_050398519.1.p1
OG0001629	NM_121949.3.p1, NM_104019.3.p1	XM_050418698.1.p1
OG0001631	NM_148696.4.p1	XM_050396549.1.p1
OG0001632	NM_115480.4.p1, NM_129604.2.p1	XM_050394920.1.p1
OG0001633	NM_116536.5.p1	XM_050411088.1.p1, XM_050411089.1.p1
OG0001634	NM_121115.4.p1, NM_121114.4.p1	XM_050412255.1.p1, XM_050412250.1.p1, XM_050412249.1.p1, XM_050431783.1.p1, XM_050412254.1.p1, XM_050412243.1.p1, XM_050412246.1.p1, XM_050412244.1.p1
OG0001635	NM_128153.3.p1	XM_050429810.1.p1, XM_050408866.1.p1
OG0001636	NM_202463.1.p1, NM_202462.1.p1	XM_050430771.1.p1
OG0001644	NM_001035645.3.p1	XM_050436571.1.p1
OG0001644	NM_106363.5.p1	XM_050412720.1.p1
OG0001645	NM_114676.4.p1, NM_001339350.1.p1, NM_001035751.2.p1, NM_125685.7.p1	XM_050415447.1.p1, XM_050415448.1.p1, XM_050400659.1.p1
OG0001646	NM_121000.4.p1	XM_050404423.1.p1
OG0001646	NM_001036320.1.p1, NM_127834.3.p1, NM_119949.5.p1	XM_050436102.1.p1
OG0001647	NM_001337725.1.p1	XM_050424686.1.p1, XM_050424684.1.p1
OG0001647	NM_001036751.2.p1	XM_050387425.1.p1
OG0001648	NM_001337615.1.p1, NM_001337614.1.p1, NM_122559.2.p1, NM_001343981.1.p1, NM_001343980.1.p1, NM_001036869.2.p1, NM_001343979.1.p1, NM_203111.2.p1	XM_050417445.1.p1, XM_050417449.1.p1, XM_050417448.1.p1
OG0001649	NM_001161062.2.p1, NM_001335984.1.p1, NM_001342126.1.p1	XM_050412411.1.p1
OG0001650	NM_001333928.1.p1	XM_050430932.1.p1
OG0001650	NM_129371.3.p1	XM_050385965.1.p1, XM_050387916.1.p1
OG0001651	NM_129043.5.p1	XM_050405527.1.p1, XM_050405528.1.p1
OG0001652	NM_001342663.1.p1, NM_120340.4.p1, NM_001342662.1.p1, NM_001342664.1.p1, NM_001342661.1.p1	XM_050386799.1.p1, XM_050386800.1.p1
OG0001652	NM_125400.3.p1, NM_001331723.1.p1	XM_050435459.1.p1
OG0001653	NM_104712.5.p1, NM_001331913.1.p1, NM_202073.4.p1	XM_050420782.1.p1, XM_050420778.1.p1, XR_007652986.1.p1, XR_007652987.1.p1
OG0001654	NM_100964.5.p1, NM_001331938.1.p1, NM_001331936.1.p1, NM_001331937.1.p1	XM_050405416.1.p1, XM_050405417.1.p1, XM_050405418.1.p1
OG0001655	NM_001332818.1.p1, NM_001332817.1.p1, NM_001332816.1.p1	XM_050431176.1.p1
OG0001656	NM_001333036.1.p1, NM_001333037.1.p1	XR_007646817.1.p1, XM_050397441.1.p1, XR_007646812.1.p1, XR_007646813.1.p1, XM_050397437.1.p1, XM_050397445.1.p1, XM_050397438.1.p1, XM_050397443.1.p1, XM_050397442.1.p1, XM_050397440.1.p1
OG0001657	NM_001334745.1.p1, NM_101973.3.p1	XM_050412617.1.p1
OG0001658	NM_127959.2.p1, NM_119201.3.p1, NM_001335877.1.p1, NM_127958.3.p1, NM_119199.5.p1, NM_119200.3.p1	XM_050405435.1.p1, XM_050416432.1.p1
OG0001659	NM_104623.3.p1, NM_001335939.1.p1, NM_128017.3.p1, NM_128711.2.p1, NM_128584.2.p1, NM_128575.2.p1, NM_100572.3.p1	XM_050389958.1.p1, XM_050433197.1.p1
OG0001659	NM_129583.2.p1	XM_050393339.1.p1
OG0001660	NM_123653.3.p1, NM_001336076.1.p1, NM_128214.3.p1, NM_119493.3.p1	XM_050411224.1.p1
OG0001661	NM_001336137.1.p1, NM_001336136.1.p1	XM_050425968.1.p1
OG0001661	NM_001342776.1.p1, NM_001342774.1.p1	XM_050394016.1.p1
OG0001662	NM_115593.7.p1, NM_001336925.1.p1, NM_001336927.1.p1, NM_129719.4.p1	XR_007645469.1.p1
OG0001663	NM_180117.2.p1, NM_130183.4.p1, NM_001337179.1.p1, NM_116023.2.p1	XM_050424250.1.p1
OG0001664	NM_001337616.1.p1	XM_050417426.1.p1
OG0001665	NM_116347.1.p1, NM_001337730.1.p1, NM_001337731.1.p1	XM_050410401.1.p1, XM_050410400.1.p1
OG0001666	NM_001338347.1.p1, NM_001338348.1.p1, NM_112747.3.p1, NM_103785.4.p1	XM_050419934.1.p1
OG0001667	NM_126156.5.p1, NM_114847.5.p1, NM_001339443.1.p1	XM_050405549.1.p1, XM_050435975.1.p1
OG0001667	NM_123127.4.p1	XM_050414078.1.p1
OG0001668	NM_001345330.1.p1, NM_001345331.1.p1, NM_001345332.1.p1	XM_050433889.1.p1
OG0001668	NM_001340239.1.p1	XM_050424650.1.p1, XM_050422646.1.p1
OG0001669	NM_105234.3.p1	XM_050386827.1.p1
OG0001669	NM_124350.3.p1, NM_001341656.1.p1, NM_118559.2.p1	XM_050417169.1.p1
OG0001671	NM_001341962.1.p1, NM_119067.2.p1	XM_050413509.1.p1, XM_050413513.1.p1
OG0001672	NM_001342919.1.p1, NM_001342917.1.p1, NM_203017.2.p1, NM_001342918.1.p1, NM_120792.2.p1	XM_050424375.1.p1
OG0001672	NM_129404.4.p1	XM_050388108.1.p1
OG0001673	NM_180719.4.p1, NM_122125.3.p1, NM_001343714.1.p1	XM_050429079.1.p1
OG0001674	NM_001344380.1.p1, NM_123471.4.p1, NM_180307.4.p1	XM_050414748.1.p1
OG0001675	NM_100556.5.p1, NM_202047.1.p1	XM_050393463.1.p1, XM_050393464.1.p1
OG0001676	NM_105551.3.p1, NM_101195.3.p1, NM_113466.2.p1	XM_050402296.1.p1, XM_050415374.1.p1
OG0001677	NM_101300.4.p1	XM_050421086.1.p1
OG0001677	NM_110987.4.p1	XM_050415570.1.p1
OG0001678	NM_105982.4.p1, NM_101651.4.p1	XM_050413984.1.p1, XM_050413997.1.p1, XM_050414001.1.p1
OG0001679	NM_102953.4.p1, NM_179407.3.p1	XM_050407751.1.p1
OG0001680	NM_123674.2.p1, NM_103617.4.p1, NM_103616.1.p1, NM_103614.5.p1	XM_050409960.1.p1, XM_050409942.1.p1
OG0001681	NM_129994.3.p1, NM_129993.5.p1	XM_050428493.1.p1
OG0001681	NM_104400.5.p1	XM_050421829.1.p1
OG0001682	NM_114839.3.p1	XM_050436012.1.p1
OG0001682	NM_148455.2.p1, NM_104644.4.p1	XM_050409173.1.p1
