Orthogroup	Arabidopsis_thaliana_rna_prot	Gossypium_hirsutum_rna_prot
OG0001605	NM_001341491.1.p1, NM_116741.4.p1, NM_001203749.1.p1	XM_016880096.2.p1, XM_041115686.1.p1, XM_041102699.1.p1
OG0001606	NM_001331887.1.p1, NM_100886.7.p1	XM_016862278.2.p1, XM_016871431.2.p1
OG0001607	NM_001332351.1.p1, NM_101720.8.p1, NM_001332352.1.p1, NM_106076.4.p1	XM_041077373.1.p1, XM_016863333.2.p1, XM_016863334.2.p1, XM_016888806.2.p1
OG0001608	NM_001334552.1.p1, NM_105940.4.p1	XM_016896619.2.p1, XM_016896620.2.p1, XM_041116310.1.p1, XM_041093773.1.p1
OG0001608	NM_122521.5.p1	XM_016894751.2.p1, XM_016826821.2.p1, XM_016897715.2.p1, XM_016818774.2.p1
OG0001609	NM_119344.3.p1	XR_001686810.2.p1, XM_016833977.2.p1, XM_016833975.2.p1, XM_016894950.2.p1, XM_016894945.2.p1
OG0001609	NM_101455.2.p1, NM_001335003.1.p1	XM_016894225.2.p1
OG0001610	NM_101751.2.p1, NM_106136.5.p1, NM_001336509.1.p1, NM_179898.3.p1, NM_001336508.1.p1	XM_016884849.2.p1, XM_016809853.2.p1, XM_016809852.2.p1, XM_016840227.2.p1
OG0001611	NM_112559.4.p1, NM_148104.4.p1, NM_180194.3.p1, NM_001337676.1.p1, NM_180195.2.p1	XM_016813207.2.p1, XM_016813208.2.p1, XM_041079396.1.p1, XM_016857218.2.p1, XM_041077338.1.p1
OG0001612	NM_103180.3.p1, NM_001338186.1.p1	XM_016883394.2.p1
OG0001613	NM_001338563.1.p1, NM_001338561.1.p1, NM_001338562.1.p1, NM_113107.7.p1	XM_041082970.1.p1, XM_016880360.2.p1, XM_041106868.1.p1, XM_041101194.1.p1, XM_041089037.1.p1, XM_016810919.2.p1, XM_016883692.2.p1, XM_016883693.2.p1
OG0001614	NM_001339717.1.p1, NM_115366.4.p1	XM_041091947.1.p1, XM_016856851.2.p1, XR_005927341.1.p1, XM_041114211.1.p1, XR_005927340.1.p1, XR_005927342.1.p1, XM_041091946.1.p1, XM_016856854.2.p1, XM_016856852.2.p1
OG0001615	NM_117145.3.p1, NM_001340684.1.p1	XM_016839396.2.p1
OG0001615	NM_124731.1.p1, NM_118912.6.p1, NM_124732.2.p1	XM_016855002.2.p1
OG0001616	NM_116527.4.p1	XM_016869681.2.p1
OG0001616	NM_001341435.1.p1, NR_142340.1.p1	XM_016884377.2.p1
OG0001617	NM_179636.3.p1	XM_041106431.1.p1, XM_016820918.2.p1, XM_016845251.2.p1, XM_016837010.2.p1
OG0001617	NM_001342377.1.p1, NM_119754.4.p1	XM_016845592.2.p1, XM_016837011.2.p1, XR_001683507.2.p1, XM_016820899.2.p1
OG0001618	NM_001342451.1.p1, NM_119926.5.p1	XM_016897466.2.p1, XM_041113908.1.p1, XM_016841823.2.p1, XM_016879797.2.p1, XM_016864590.2.p1, XM_041089596.1.p1, XM_016864592.2.p1, XM_041089597.1.p1
OG0001619	NM_122376.4.p1, NM_001343893.1.p1, NM_001343892.1.p1	XM_041112099.1.p1, XM_016842965.2.p1, XR_001688724.2.p1
OG0001620	NM_001344996.1.p1, NM_203198.1.p1, NM_122294.4.p1	XM_016817058.2.p1, XM_016817059.2.p1, XM_016817056.2.p1, XM_041101767.1.p1, XM_016827944.2.p1, XM_016827954.2.p1, XM_016817060.2.p1, XM_016847072.2.p1, XM_016883626.2.p1, XM_041074460.1.p1
OG0001621	NM_001345554.1.p1	XR_001681107.2.p1, XM_016884858.2.p1
OG0001621	NM_102483.3.p1, NM_104678.2.p1	XM_016837195.2.p1, XM_016810655.2.p1, XM_041112473.1.p1, XM_016829829.2.p1
OG0001622	NM_106138.3.p1, NM_001345556.1.p1, NM_125657.5.p1	XM_016884851.2.p1
OG0001622	NM_102474.4.p1	XM_016837177.2.p1, XM_041111441.1.p1
OG0001623	NM_116445.2.p1, NM_178954.2.p1, NM_100152.3.p1, NM_202015.2.p1, NM_116131.5.p1	XM_016888285.2.p1, XR_001699040.2.p1, XM_041117866.1.p1, XM_016888287.2.p1, XM_016888286.2.p1, XM_041096644.1.p1, XM_041117867.1.p1, XR_001691776.2.p1, XM_016854843.2.p1, XM_016854840.2.p1, XM_016854841.2.p1, XM_016840478.2.p1, XM_016840477.2.p1, XM_016856391.2.p1
OG0001624	NM_106683.2.p1, NM_101424.3.p1, NM_106682.1.p1	XM_016822604.2.p1, XM_041116280.1.p1
OG0001624	NM_118289.1.p1	XM_016872453.2.p1, XM_041075285.1.p1
OG0001625	NM_101792.4.p1, NM_202136.1.p1, NM_202135.3.p1, NM_202416.1.p1, NM_106164.3.p1	XM_016837946.2.p1, XM_016893102.2.p1, XM_041094450.1.p1, XM_016896733.2.p1, XM_041094109.1.p1
OG0001626	NM_130342.3.p1	XM_041081076.1.p1, XM_016853280.2.p1
OG0001626	NM_102578.4.p1, NM_179387.2.p1	XM_041100543.1.p1, XM_016837046.2.p1
OG0001627	NM_102948.4.p1, NM_179917.4.p1	XM_016849893.2.p1, XM_041074268.1.p1, XM_041090656.1.p1
OG0001628	NM_103511.4.p1	XM_016854218.2.p1, XM_016839559.2.p1, XM_016838252.2.p1, XM_016838251.2.p1, XM_016887260.2.p1, XM_016885743.2.p1
OG0001629	NM_104019.3.p1	XM_016889807.2.p1, XM_016888296.2.p1, XM_016895326.2.p1
OG0001631	NM_148696.4.p1	XM_016887870.2.p1, XM_041116655.1.p1
OG0001631	NM_117483.4.p1, NM_113281.3.p1	XM_016872416.2.p1, XM_041101271.1.p1
OG0001632	NM_115480.4.p1, NM_129604.2.p1	XM_016817224.2.p1, XM_016819100.2.p1, XM_016892514.2.p1
OG0001633	NM_116536.5.p1	XM_016861783.2.p1, XM_016869686.2.p1, XM_016887468.2.p1, XM_041075880.1.p1, XM_041075884.1.p1, XM_041075881.1.p1
OG0001634	NM_121115.4.p1, NM_121114.4.p1	XM_016833916.2.p1, XM_016833917.2.p1, XM_016833918.2.p1, XM_016833919.2.p1, XM_016827726.2.p1
OG0001635	NM_128153.3.p1	XM_016833006.2.p1, XM_016816585.2.p1, XM_016813424.2.p1, XM_041084163.1.p1, XM_016861474.2.p1, XM_041117158.1.p1
OG0001636	NM_202463.1.p1, NM_202462.1.p1	XM_016873706.2.p1
OG0001644	NM_001035645.3.p1	XM_016822529.2.p1, XM_016839547.2.p1
OG0001644	NM_106363.5.p1	XM_016831833.2.p1, XM_041112197.1.p1, XM_041089949.1.p1
OG0001645	NM_114676.4.p1, NM_001339350.1.p1, NM_001035751.2.p1, NM_125685.7.p1	XM_016895955.2.p1, XM_016865932.2.p1, XM_041101022.1.p1
OG0001646	NM_121000.4.p1	XM_041082527.1.p1, XM_016878973.2.p1
OG0001646	NM_001036320.1.p1, NM_127834.3.p1, NM_119949.5.p1	XM_016843248.2.p1, XM_016843247.2.p1, XM_041078806.1.p1, XM_016885350.2.p1, XM_041079792.1.p1
OG0001647	NM_001337725.1.p1	XM_016819011.2.p1, XM_041074167.1.p1
OG0001647	NM_001036751.2.p1	XM_016831986.2.p1, XM_016835986.2.p1
OG0001648	NM_001337615.1.p1, NM_001337614.1.p1, NM_122559.2.p1, NM_001343981.1.p1, NM_001343980.1.p1, NM_001036869.2.p1, NM_001343979.1.p1, NM_203111.2.p1	XM_016818803.2.p1, XM_016818801.2.p1, XM_016850077.2.p1, XM_016850073.2.p1, XM_016850078.2.p1, XM_016850076.2.p1
OG0001649	NM_001161062.2.p1, NM_001335984.1.p1, NM_001342126.1.p1	XM_041084819.1.p1, XM_041109322.1.p1, XR_005926950.1.p1, XM_041093231.1.p1, XM_041093230.1.p1, XR_005913688.1.p1
OG0001650	NM_001333928.1.p1	XM_016855539.2.p1, XR_001701397.2.p1, XM_016899904.2.p1
OG0001650	NM_129371.3.p1	XM_016815583.2.p1, XM_016861705.2.p1, XM_016825266.2.p1, XM_016861704.2.p1
OG0001651	NM_129043.5.p1	XR_001692439.2.p1, XM_016858500.2.p1, XM_016858505.2.p1
OG0001652	NM_001342663.1.p1, NM_120340.4.p1, NM_001342662.1.p1, NM_001342664.1.p1, NM_001342661.1.p1	XM_016824937.2.p1
OG0001652	NM_125400.3.p1, NM_001331723.1.p1	XM_016889565.2.p1, XM_016865056.2.p1, XM_016864564.2.p1, XM_016864566.2.p1, XM_016812184.2.p1
OG0001653	NM_104712.5.p1, NM_001331913.1.p1, NM_202073.4.p1	XR_005911962.1.p1, XM_041091030.1.p1, XM_041111699.1.p1
OG0001654	NM_100964.5.p1, NM_001331938.1.p1, NM_001331936.1.p1, NM_001331937.1.p1	XM_041108313.1.p1, XM_041108318.1.p1, XM_041108316.1.p1, XM_041108310.1.p1, XM_041108319.1.p1, XM_016867593.2.p1, XM_016867584.2.p1, XM_041111678.1.p1, XM_016823992.2.p1, XM_016823994.2.p1, XM_041091007.1.p1, XM_016864058.2.p1, XM_041082533.1.p1, XM_016864074.2.p1, XM_016864084.2.p1
OG0001655	NM_001332818.1.p1, NM_001332817.1.p1, NM_001332816.1.p1	XM_016875318.2.p1, XM_016875319.2.p1, XM_041113594.1.p1, XM_041093882.1.p1, XM_016878153.2.p1
OG0001656	NM_001333036.1.p1, NM_001333037.1.p1	XR_001687170.2.p1, XM_016836550.2.p1, XR_001687168.2.p1, XR_001687167.2.p1, XM_016836549.2.p1, XM_016836545.2.p1, XM_016836546.2.p1, XM_041098950.1.p1, XM_016836553.2.p1, XM_016859568.2.p1, XM_016859567.2.p1, XM_016859569.2.p1, XM_016859570.2.p1, XM_016859571.2.p1, XM_041075225.1.p1
OG0001657	NM_001334745.1.p1, NM_101973.3.p1	XM_016824017.2.p1, XM_041111671.1.p1, XM_041088416.1.p1, XM_041088417.1.p1, XM_041088415.1.p1, XM_041087594.1.p1, XM_041114360.1.p1
OG0001658	NM_127959.2.p1, NM_119201.3.p1, NM_001335877.1.p1, NM_127958.3.p1, NM_119199.5.p1, NM_119200.3.p1	XM_016879046.2.p1, XM_016824311.2.p1, XM_041089152.1.p1, XM_016850011.2.p1, XM_041074735.1.p1, XM_041074737.1.p1
OG0001659	NM_104623.3.p1, NM_001335939.1.p1, NM_128017.3.p1, NM_128711.2.p1, NM_128584.2.p1, NM_128575.2.p1, NM_100572.3.p1	XM_041092021.1.p1, XM_016896842.2.p1, XM_016884456.2.p1, XM_016810001.2.p1
OG0001660	NM_123653.3.p1, NM_001336076.1.p1, NM_128214.3.p1, NM_119493.3.p1	XM_041094936.1.p1, XM_041087287.1.p1, XM_041094147.1.p1, XM_041113880.1.p1, XM_016832242.2.p1
OG0001661	NM_001336137.1.p1, NM_001336136.1.p1	XR_005930464.1.p1, XR_001688379.2.p1, XM_016889661.2.p1, XM_016816436.2.p1, XM_041076411.1.p1, XM_016813385.2.p1, XM_041113172.1.p1, XM_016895451.2.p1, XM_041113171.1.p1, XM_041093448.1.p1, XM_016833700.2.p1, XM_016833697.2.p1, XM_016833702.2.p1, XM_041093444.1.p1
OG0001661	NM_001342776.1.p1, NM_001342774.1.p1	XM_041103467.1.p1, XM_041078046.1.p1, XM_041111231.1.p1
OG0001662	NM_115593.7.p1, NM_001336925.1.p1, NM_001336927.1.p1, NM_129719.4.p1	XM_016816073.2.p1
OG0001663	NM_180117.2.p1, NM_130183.4.p1, NM_001337179.1.p1, NM_116023.2.p1	XM_016853662.2.p1, XM_016853667.2.p1, XM_041082811.1.p1, XM_016876695.2.p1, XM_016839416.2.p1, XM_016890105.2.p1
OG0001664	NM_001337616.1.p1	XM_041104744.1.p1, XM_016810540.2.p1, XM_016810526.2.p1, XM_016818513.2.p1, XM_041085571.1.p1
OG0001665	NM_116347.1.p1, NM_001337730.1.p1, NM_001337731.1.p1	XM_041091330.1.p1, XM_041091326.1.p1, XM_016838182.2.p1, XM_016838183.2.p1
OG0001666	NM_001338347.1.p1, NM_001338348.1.p1, NM_112747.3.p1, NM_103785.4.p1	XM_041110198.1.p1, XM_041110196.1.p1, XM_016850143.2.p1, XM_016850145.2.p1, XM_016819234.2.p1, XM_016819230.2.p1, XM_016819233.2.p1, XM_016819232.2.p1, XM_016880313.2.p1, XM_016860248.2.p1
OG0001667	NM_126156.5.p1, NM_114847.5.p1, NM_001339443.1.p1	XM_016836112.2.p1, XM_016811043.2.p1, XM_041084625.1.p1, XM_016824975.2.p1, XM_016841837.2.p1, XM_016850801.2.p1, XM_016850802.2.p1
OG0001667	NM_123127.4.p1	XM_016862124.2.p1, XM_016846120.2.p1
OG0001668	NM_001345330.1.p1, NM_001345331.1.p1, NM_001345332.1.p1	XM_016896247.2.p1, XM_016889691.2.p1
OG0001668	NM_001340239.1.p1	XM_041105890.1.p1, XM_016854103.2.p1
OG0001669	NM_124350.3.p1, NM_001341656.1.p1, NM_118559.2.p1	XM_016842991.2.p1, NM_001327428.2.p1
OG0001670	NM_118264.3.p1, NM_116749.3.p1	XM_016855570.2.p1
OG0001671	NM_001341962.1.p1, NM_119067.2.p1	XR_005914697.1.p1, XM_016827041.2.p1, XM_016827042.2.p1, XM_041095697.1.p1, XM_016899184.2.p1, XM_041115241.1.p1, XM_041092117.1.p1, XM_041112850.1.p1, XM_016894565.2.p1
OG0001672	NM_129404.4.p1	XM_016883659.2.p1
OG0001673	NM_180719.4.p1, NM_122125.3.p1, NM_001343714.1.p1	XM_041117755.1.p1, XR_001699086.2.p1, XM_041117757.1.p1, XM_041117756.1.p1, XM_016889729.2.p1, XM_016833725.2.p1, XM_016844921.2.p1
OG0001674	NM_001344380.1.p1, NM_123471.4.p1, NM_180307.4.p1	XM_016881364.2.p1, XM_041107214.1.p1, XM_041107213.1.p1, XM_041083299.1.p1, XM_016828359.2.p1, XM_016871160.2.p1, XM_016817035.2.p1
OG0001675	NM_100556.5.p1, NM_202047.1.p1	XM_041097964.1.p1, XM_041097965.1.p1, XM_016869490.2.p1, XM_016869491.2.p1, XM_016869492.2.p1, XM_041097962.1.p1, XM_041097963.1.p1, XM_016891257.2.p1, XM_016891260.2.p1, XM_016891258.2.p1, XM_041116771.1.p1, XM_041116772.1.p1, XM_016891261.2.p1
OG0001676	NM_105551.3.p1, NM_101195.3.p1, NM_113466.2.p1	XM_016888661.2.p1, XM_016867290.2.p1, XM_016880804.2.p1
OG0001677	NM_101300.4.p1	XM_016835640.2.p1, XM_016835639.2.p1
OG0001677	NM_110987.4.p1	XM_041101617.1.p1, XM_041101616.1.p1, XM_041101620.1.p1, XM_041101619.1.p1, XM_016812789.2.p1, XM_016812791.2.p1, XM_016812790.2.p1, XM_016812788.2.p1
OG0001678	NM_105982.4.p1, NM_101651.4.p1	XM_041104607.1.p1, XM_041104606.1.p1, XM_016812883.2.p1, XM_016836537.2.p1, XM_041098948.1.p1, XM_016859522.2.p1, XM_016842512.2.p1
OG0001679	NM_102953.4.p1, NM_179407.3.p1	XM_016876348.2.p1, XM_041080550.1.p1, XM_016876347.2.p1, XM_016850690.2.p1, XM_016862346.2.p1, XM_016862348.2.p1, XM_016862347.2.p1, XM_016850691.2.p1, XM_041090652.1.p1, XM_041104437.1.p1, XM_016871808.2.p1
OG0001680	NM_123674.2.p1, NM_103617.4.p1, NM_103616.1.p1, NM_103614.5.p1	XM_016877350.2.p1, XM_016877349.2.p1, XM_016862211.2.p1, XM_041094163.1.p1
OG0001681	NM_129994.3.p1, NM_129993.5.p1	XM_016856933.2.p1
OG0001681	NM_104400.5.p1	XM_016856722.2.p1, XM_041099413.1.p1, XM_041075527.1.p1, XM_016820078.2.p1, XM_016819097.2.p1, XM_016828969.2.p1
OG0001682	NM_114839.3.p1	XM_016839006.1.p1
OG0001682	NM_148455.2.p1, NM_104644.4.p1	XM_041102827.1.p1, XM_041086291.1.p1, XM_016862297.2.p1
OG0001683	NM_180166.3.p1, NM_111059.5.p1, NM_121416.6.p1	XM_016817160.2.p1, XM_016817159.2.p1, XM_016892465.2.p1, XM_016869944.2.p1
OG0001684	NM_118950.4.p1	XM_016880367.2.p1, XM_016871078.2.p1, XM_016811972.2.p1
OG0001684	NM_112687.3.p1	XM_041101755.1.p1
OG0001685	NM_113920.2.p1	XM_041097426.1.p1
OG0001685	NM_113337.4.p1, NM_117422.3.p1	XM_016869356.2.p1, XM_016860364.2.p1, XM_041077295.1.p1, XM_016814723.2.p1, XM_016817703.2.p1
OG0001686	NM_118359.4.p1	XM_041079159.1.p1, XM_041079158.1.p1, XM_016822493.2.p1, XM_016822494.2.p1, XM_016843833.2.p1, XM_041102300.1.p1, XM_016843835.2.p1, XM_016843837.2.p1, XM_016814956.2.p1, XM_041077128.1.p1, XM_016877636.2.p1, XM_016877635.2.p1, XM_041077127.1.p1, XM_016866925.2.p1, XM_016868634.2.p1, XM_016900145.2.p1, XM_016900150.2.p1, XM_041096356.1.p1, XM_041096362.1.p1, XM_041096363.1.p1, XM_041096364.1.p1, XM_041096359.1.p1, XM_041096358.1.p1, XM_041096357.1.p1, XM_016896453.2.p1, XM_016896452.2.p1
OG0001687	NM_119937.3.p1	XM_016862293.2.p1, XM_041106613.1.p1, XM_016890563.2.p1
OG0001688	NM_125239.3.p1	XM_016866063.2.p1, XM_016818608.2.p1, XM_016900341.2.p1, XM_041106552.1.p1, XM_041106553.1.p1
OG0001696	NM_001342673.1.p1, NM_001342672.1.p1, NM_120362.4.p1, NM_180425.2.p1, NM_001036746.2.p1, NM_001337829.1.p1, NM_001035585.4.p1, NM_001337831.1.p1, NM_001337833.1.p1, NM_001337828.1.p1, NM_001337830.1.p1, NM_001337834.1.p1, NM_111794.4.p1, NM_001337832.1.p1	XM_016815631.2.p1
OG0001697	NM_001035730.4.p1, NM_128290.4.p1	XM_041117745.1.p1, XM_016889599.2.p1, XM_016833750.2.p1
OG0001697	NM_129168.2.p1	XM_016882992.2.p1
OG0001698	NM_119808.2.p1, NM_127374.4.p1	XM_016869305.2.p1, XM_016843147.2.p1, XM_016879970.2.p1, XM_016840047.2.p1, XM_016854616.2.p1
OG0001698	NM_104651.5.p1, NM_100895.3.p1, NM_001035940.2.p1	XM_016811499.2.p1, XM_016893570.2.p1
OG0001699	NM_126440.3.p1	XM_016875044.2.p1
OG0001699	NM_179215.2.p1, NM_118089.4.p1, NM_118088.4.p1, NM_001036593.2.p1, NM_102864.2.p1	XM_016845742.2.p1, XM_016822945.2.p1
OG0001700	NM_121728.4.p1, NM_111189.3.p1	XM_016889388.2.p1
OG0001700	NM_128639.4.p1, NM_001084514.1.p1, NM_128638.3.p1	XM_016826800.2.p1, XM_016840977.2.p1, XM_016854879.2.p1
OG0001701	NM_128896.6.p1, NM_001084531.1.p1	XM_041102384.1.p1, XM_016844057.2.p1, XM_041102383.1.p1, XM_016844054.2.p1, XM_016844056.2.p1, XM_041079271.1.p1, XM_041077271.1.p1, XM_041077270.1.p1, XM_041089477.1.p1, XM_016864103.2.p1, XM_016864105.2.p1, XM_041088180.1.p1, XM_041088178.1.p1
OG0001702	NM_001123912.1.p1, NM_102723.3.p1, NM_001123913.1.p1	XM_041116383.1.p1, XM_041116384.1.p1, XM_041116385.1.p1
OG0001702	NM_129856.3.p1, NM_001337001.1.p1	XM_041077594.1.p1, XM_041101541.1.p1, XM_016812600.2.p1
OG0001703	NM_001125588.2.p1, NM_118744.3.p1, NM_125077.4.p1, NM_127506.5.p1, NM_001202624.1.p1	XM_041117102.1.p1, XM_016834383.2.p1, XM_016823286.2.p1, XM_016823287.2.p1
OG0001704	NM_100738.3.p1, NM_001198012.1.p1, NM_111324.4.p1	XM_016814067.2.p1, XM_016857766.2.p1, XM_041085522.1.p1
OG0001705	NM_111546.4.p1	XM_016835672.2.p1
OG0001705	NM_130303.3.p1	XM_041104729.1.p1, XM_016837730.2.p1, XM_016889906.2.p1, XM_041096654.1.p1
OG0001706	NM_125228.4.p1, NM_001342916.1.p1, NM_127291.4.p1, NM_001202610.1.p1	XM_016822070.2.p1, XM_016885869.2.p1, XM_016893748.2.p1, NM_001327422.1.p1, XM_016869870.2.p1, XM_016876948.2.p1, XM_016859845.2.p1
OG0001707	NM_001343385.1.p1, NM_001203384.1.p1, NM_001343384.1.p1, NM_110997.5.p1, NM_001337329.1.p1	XM_016895976.2.p1, XM_016810939.2.p1, XM_016810941.2.p1, XM_016817414.2.p1
OG0001708	NM_110994.4.p1, NM_121513.5.p1, NM_001203385.1.p1	XM_016896293.2.p1, XM_016849497.2.p1, XM_041093681.1.p1, XM_041093690.1.p1, XM_041088754.1.p1, XM_016817400.2.p1, XM_016894429.2.p1
OG0001709	NM_124875.5.p1	XM_016849214.2.p1
OG0001710	NM_102873.5.p1, NM_001203752.2.p1, NM_001340546.1.p1	XM_016895888.2.p1
OG0001711	NM_202808.3.p1, NM_001203774.1.p1, NM_117267.5.p1, NM_001340753.1.p1	XM_041074883.1.p1, XM_016857920.2.p1, XM_016857914.2.p1, XR_005916951.1.p1, XM_041098621.1.p1
OG0001712	NM_122304.1.p1, NM_122303.3.p1, NM_001343834.1.p1	XM_016886275.2.p1, XM_041077814.1.p1
OG0001712	NM_100041.2.p1, NM_001332577.1.p1, NM_001331284.1.p1	XM_041105893.1.p1, XM_041105892.1.p1, XM_016853305.2.p1
OG0001713	NM_179333.2.p1, NM_001332143.1.p1, NM_101371.5.p1, NM_126188.4.p1, NM_001335047.1.p1, NM_001335048.1.p1	XM_041109269.1.p1, XM_041109259.1.p1, XM_041109265.1.p1, XM_041109272.1.p1, XM_041109253.1.p1, XM_041109255.1.p1, XM_041109248.1.p1, XR_005910435.1.p1, XR_005910436.1.p1, XR_005910434.1.p1, XR_005910438.1.p1, XR_005910439.1.p1, XR_005910437.1.p1, XM_016896107.2.p1, XM_016896108.2.p1
OG0001714	NM_001332242.1.p1, NM_001332243.1.p1, NM_101526.3.p1	XM_016859625.2.p1, XM_016836608.2.p1, XM_016859622.2.p1, XM_016836605.2.p1, XM_016836607.2.p1, XM_041098964.1.p1, XM_041098963.1.p1, XM_016859624.2.p1
OG0001715	NM_001332268.1.p1, NM_202117.2.p1, NM_101545.4.p1, NM_001334852.1.p1	XM_016862094.2.p1, XM_041079430.1.p1
OG0001715	NM_001335626.1.p1	XR_005907901.1.p1
OG0001716	NM_122078.5.p1, NM_001332978.1.p1	XM_041110352.1.p1, XM_016830631.2.p1, XM_041109337.1.p1
OG0001717	NM_001333498.1.p1, NM_001333496.1.p1, NM_104050.3.p1	XM_016845604.2.p1, XM_016845603.2.p1, XM_041102955.1.p1, XM_041102957.1.p1
OG0001718	NM_104388.4.p1, NM_001333691.1.p1	XM_016822841.2.p1, XM_016822843.2.p1, XM_016822842.2.p1, XM_041093751.1.p1
OG0001718	NM_125706.2.p1, NM_001345577.1.p1, NM_001345576.1.p1, NM_203256.2.p1	XR_001691724.2.p1, XM_016840084.2.p1
OG0001719	NM_104402.4.p1, NM_001333697.1.p1	XM_016879514.2.p1, XM_041085822.1.p1, XM_041109543.1.p1, XM_041085821.1.p1
OG0001720	NM_001344466.1.p1, NM_123658.6.p1, NM_001333791.1.p1	XM_016893081.2.p1, XM_016835564.1.p1
OG0001720	NM_126105.3.p1	XM_041105587.1.p1
OG0001721	NM_001333905.1.p1, NM_001333904.1.p1, NM_179501.1.p1, NM_001342757.1.p1, NM_120510.4.p1	XM_016844981.2.p1, XM_041078066.1.p1
OG0001722	NM_001337175.1.p1, NM_001337174.1.p1	XM_041080950.1.p1, XM_041105886.1.p1, XM_041096764.1.p1, XM_016887877.2.p1, XM_041082793.1.p1, XM_016842967.2.p1
OG0001722	NM_001340708.1.p1	XM_041100063.1.p1, XM_016875072.2.p1
OG0001724	NM_113259.4.p1, NM_001338646.1.p1, NM_113258.5.p1	XM_041110828.1.p1, XM_041110830.1.p1, XM_016829705.2.p1, XM_041110825.1.p1, XM_016829703.2.p1, XM_016887351.2.p1, XM_016848595.2.p1, XM_016848755.2.p1, XM_016819665.2.p1, XM_016820551.2.p1, XM_016848194.2.p1, XM_016820550.2.p1
OG0001725	NM_001339524.1.p1, NM_115021.2.p1	XR_005909979.1.p1, XM_016868590.2.p1, XM_016829725.2.p1
OG0001726	NM_001345520.1.p1, NM_180914.2.p1	XM_041100130.1.p1, XM_041074709.1.p1, XM_016812934.2.p1, XM_041105400.1.p1, XM_041080452.1.p1, XM_041083762.1.p1
OG0001727	NM_102790.4.p1, NM_001343478.1.p1, NM_121709.2.p1, NM_121711.5.p1	XM_016851131.2.p1, XM_041099186.1.p1, XM_041114604.1.p1, NM_001327333.1.p1, XM_016899826.2.p1, XM_041107873.1.p1, XM_016828930.1.p1, XM_041114138.1.p1, XM_041084308.1.p1, XM_016885447.2.p1
OG0001728	NM_121921.4.p1, NM_001343591.1.p1, NM_202506.2.p1, NM_111483.3.p1	XM_016858875.2.p1, XM_016858874.2.p1, XM_041088922.1.p1
OG0001729	NM_001343973.1.p1, NM_180537.3.p1, NM_180536.3.p1	XM_016849591.2.p1, XM_041084419.1.p1
OG0001730	NM_106346.3.p1, NM_001344436.1.p1	XM_016842881.2.p1, XM_016842878.2.p1, XM_016842882.2.p1, XM_016874461.2.p1, XM_016838277.2.p1
OG0001731	NM_127302.3.p1, NM_001345729.1.p1, NM_125994.2.p1, NM_127298.5.p1	XM_016887975.2.p1, XM_016875235.2.p1
OG0001731	NM_103440.4.p1, NM_128925.2.p1	XM_016871186.2.p1
OG0001732	NM_100366.4.p1	XM_016846179.2.p1, XM_041102316.1.p1, XM_016846177.2.p1, XM_041079004.1.p1, XM_041079006.1.p1, XM_016811414.2.p1, XM_041088651.1.p1
OG0001732	NM_104441.2.p1, NM_112180.4.p1	XM_016886393.2.p1, XR_005907690.1.p1, XM_016849280.2.p1, XM_016849278.2.p1
OG0001733	NM_100823.4.p1	XM_016812443.2.p1, XM_016818514.2.p1
OG0001733	NM_112625.2.p1	XM_016838375.2.p1, XM_016886628.2.p1
OG0001734	NM_100833.2.p1	XM_016874895.2.p1
OG0001735	NM_115942.2.p1, NM_130099.2.p1	XM_016879682.2.p1, XM_016826593.2.p1
OG0001735	NM_101104.4.p1, NM_104962.2.p1	XM_041074871.1.p1, XM_016863120.2.p1, XM_041083510.1.p1, XM_016900098.2.p1, XM_016850618.2.p1
OG0001736	NM_106151.3.p1, NM_101779.5.p1	XM_016826869.2.p1, XM_016861412.2.p1, XM_016864146.2.p1, XM_016820020.2.p1, XM_041075316.1.p1
OG0001736	NM_147879.3.p1	XM_016864974.2.p1, XM_041075321.1.p1, XM_016826832.2.p1, XM_016861419.2.p1
OG0001737	NM_101996.4.p1	XM_041114103.1.p1, XM_041114107.1.p1, XM_041114106.1.p1, XM_016842904.2.p1, XM_041088429.1.p1, XM_041088430.1.p1, XM_041088428.1.p1
OG0001738	NM_125578.3.p1	XM_016881384.2.p1
OG0001738	NM_102508.3.p1	XM_016880418.2.p1, XM_016837048.2.p1
OG0001739	NM_102909.3.p2	XM_041074386.1.p2, XM_041074389.1.p2, XM_041074387.1.p2, XM_041098416.1.p2, XM_016826371.2.p2
OG0001739	NM_121771.3.p1	XM_016841873.2.p1, XM_016815706.2.p1
OG0001740	NM_122614.4.p1, NM_111384.4.p1	XM_016818203.2.p1, XM_016818204.2.p1, XM_016812361.2.p1, XM_016812362.2.p1, XM_016819826.2.p1, XM_016812187.2.p1
OG0001740	NM_116166.5.p1	XM_016840558.2.p1, XM_016869682.2.p1, XM_016874839.2.p1, XM_016877762.2.p1
OG0001741	NM_111510.4.p1	XM_016868963.2.p1, XM_016824815.2.p1, XM_016816802.2.p1
OG0001742	NM_120427.3.p1, NM_111823.3.p1	XM_016825209.2.p1, XM_016836005.2.p1, XM_016836006.2.p1, XM_016847746.2.p1, XM_041111969.1.p1, XM_016831953.2.p1
OG0001743	NM_118979.1.p1	XM_016896336.2.p1, XM_016865199.2.p1
OG0001743	NM_113179.4.p1	XM_016844348.2.p1
