Orthogroup	Arabidopsis_thaliana_rna_prot	Triticum_aestivum_x_rna_prot
OG0000789	NM_201926.2.p1, NM_180010.1.p1, NM_129672.2.p1, NM_115544.3.p1	XM_044494665.1.p1, XM_044494662.1.p1, XM_044502291.1.p1, XM_044502290.1.p1, XM_044502289.1.p1, XR_006429647.1.p1, XR_006429648.1.p1, XM_044557295.1.p1
OG0000793	NM_001333716.1.p1, NM_001035611.2.p1	XM_044517149.1.p1, XM_044538903.1.p1
OG0000794	NM_001337244.1.p1, NM_001340148.1.p1	XM_044561813.1.p1, XM_044561812.1.p1, XM_044561810.1.p1, XM_044558590.1.p1, XM_044589638.1.p1, XM_044508800.1.p1, XM_044510149.1.p1, XM_044590617.1.p1, XM_044551320.1.p1, XM_044490143.1.p1, XM_044552721.1.p1, XM_044500634.1.p1, XM_044492682.1.p1
OG0000794	NM_001333309.1.p1, NM_103718.5.p1, NM_001333310.1.p1, NM_112620.5.p1, NM_001338288.1.p1, NM_001340149.1.p1, NM_116087.4.p1, NM_130274.4.p1, NM_001036476.1.p1	XM_044531396.1.p1
OG0000796	NM_101657.5.p1, NM_001332329.1.p1, NM_001332330.1.p1, NM_001332327.1.p1, NM_001124122.1.p1, NM_202408.3.p1, NM_105999.5.p1, NM_001334592.1.p1, NM_001334593.1.p1	XM_044564183.1.p1, XM_044564184.1.p1, XM_044564187.1.p1, XM_044564185.1.p1, XM_044547659.1.p1, XM_044547658.1.p1, XM_044477567.1.p1, XM_044469347.1.p1, XM_044602338.1.p1, XM_044549367.1.p1, XM_044565943.1.p1, XM_044565942.1.p1, XM_044559783.1.p1
OG0000798	NM_127978.4.p1, NM_121122.4.p1, NM_001203463.1.p1	XM_044534207.1.p1, XM_044573991.1.p1, XM_044566169.1.p1
OG0000798	NM_104386.3.p1, NM_112228.3.p1	XM_044573652.1.p1
OG0000799	NM_180839.2.p1, NM_001203585.1.p1, NM_124520.3.p1, NM_001344935.1.p1	XR_006460939.1.p1, XR_006460937.1.p1, XM_044544707.1.p1, XR_006477565.1.p1, XM_044573832.1.p1, XR_006477566.1.p1, XR_006477568.1.p1, XR_006477570.1.p1, XM_044536020.1.p1, XM_044536021.1.p1
OG0000800	NM_001203775.2.p1, NM_124527.5.p1, NM_001341725.1.p1	XM_044593430.1.p1, XM_044593431.1.p1, XM_044471426.1.p1, XM_044569756.1.p1, XM_044510810.1.p1, XM_044582809.1.p1, XM_044585863.1.p1
OG0000800	NM_001344773.1.p1	XM_044482838.1.p1, XM_044482837.1.p1, XM_044488268.1.p1, XM_044499472.1.p1
OG0000801	NM_001332077.1.p1, NM_001332076.1.p1, NM_001332075.1.p1	XM_044593306.1.p1, XM_044593308.1.p1, XM_044469017.1.p1, XM_044469061.1.p1, XM_044469050.1.p1, XM_044469075.1.p1, XM_044469011.1.p1, XM_044469026.1.p1, XM_044541406.1.p1, XM_044541424.1.p1, XM_044541399.1.p1, XM_044541415.1.p1, XM_044541433.1.p1
OG0000802	NM_102336.2.p1, NM_001334348.1.p1	XM_044473507.1.p1, XM_044465251.1.p1, XM_044597356.1.p1, XM_044505668.1.p1
OG0000803	NM_128569.4.p1, NM_001336243.1.p1	XM_044494598.1.p1, XM_044481399.1.p1, XM_044489032.1.p1, XM_044502251.1.p1, XM_044485803.1.p1, XM_044494597.1.p1, XM_044578928.1.p1, XM_044485804.1.p1, XM_044494600.1.p1, XM_044502252.1.p1, XM_044580201.1.p1, XM_044588980.1.p1
OG0000804	NM_001337492.1.p1, NM_001337491.1.p1	XM_044467204.1.p1, XM_044600117.1.p1, XM_044600116.1.p1, XM_044520332.1.p1, XM_044514980.1.p1, XM_044506538.1.p1, XM_044506537.1.p1, XM_044490163.1.p1, XM_044496914.1.p1, XM_044496915.1.p1, XM_044480689.1.p1
OG0000805	NM_117278.4.p1, NM_118406.4.p1, NM_116237.4.p1, NM_001340235.1.p1	XM_044578032.1.p1, XM_044585576.1.p1, XM_044551704.1.p1, XM_044562424.1.p1, XM_044555301.1.p1
OG0000807	NM_103063.4.p1	XM_044563720.1.p1, XM_044563717.1.p1, XM_044563718.1.p1, XM_044556866.1.p1
OG0000807	NM_001344859.1.p1, NM_001344858.1.p1	XM_044502989.1.p1
OG0000808	NM_114867.3.p1, NM_001345820.1.p1, NM_126126.3.p1, NM_119579.3.p1	XM_044540652.1.p1
OG0000809	NM_101126.3.p1	XM_044598806.1.p1, XM_044473874.1.p1, XM_044465567.1.p1, XM_044596454.1.p1, XM_044473875.1.p1, XM_044465613.1.p1
OG0000810	NM_114665.4.p1, NM_125663.4.p1, NM_101745.5.p1	XM_044517269.1.p1, XM_044523180.1.p1, XM_044530434.1.p1, XM_044523454.1.p1, XM_044539108.1.p1, XM_044530780.1.p1, XM_044463090.1.p1, XM_044471450.1.p1
OG0000811	NM_104614.5.p1	XM_044506675.1.p1, XM_044520061.1.p1
OG0000811	NM_118432.2.p1	XM_044512889.1.p1, XM_044469571.1.p1, XM_044602570.1.p1, XM_044560733.1.p1, XM_044550599.1.p1
OG0000812	NM_111724.3.p1	XM_044466959.1.p1
OG0000813	NM_120412.3.p1, NM_111819.5.p1, NM_115183.4.p1	XM_044506435.1.p1, XM_044506434.1.p1, XM_044589126.1.p1, XM_044594031.1.p1, XM_044513729.1.p1, XM_044476511.1.p1, XM_044472779.1.p1, XM_044480966.1.p1, XM_044595792.1.p1, XM_044497204.1.p1, XM_044488533.1.p1, XM_044587560.1.p1, XM_044497203.1.p1, XM_044488467.1.p1
OG0000818	NM_001036415.3.p1, NM_115150.3.p1, NM_115152.3.p1, NM_001336597.1.p1, NM_179934.2.p1, NM_001203289.1.p1, NM_120447.3.p1, NM_001342724.1.p1, NM_111833.6.p1, NM_128333.4.p1	XM_044468412.1.p1, XM_044597335.1.p1, XM_044476665.1.p1
OG0000819	NM_179749.3.p1, NM_179750.3.p1, NM_001084021.2.p1	XM_044476178.1.p1, XM_044604325.1.p1, XM_044526822.1.p1, XM_044543012.1.p1, XM_044538964.1.p1, XM_044530667.1.p1
OG0000820	NM_001339831.1.p1, NM_001339829.1.p1, NM_001339830.1.p1, NM_001339828.1.p1, NM_180379.4.p1, NM_001203180.2.p1, NM_001339827.1.p1, NM_001203181.1.p1, NM_001339826.1.p1, NM_001084566.2.p1, NM_129671.4.p1, NM_001336889.1.p1	XM_044500514.1.p1, XM_044500515.1.p1
OG0000821	NM_001084714.1.p1, NM_202606.2.p1, NM_001084715.1.p1, NM_106159.3.p1, NM_202415.2.p1	XM_044484684.1.p1, XM_044484674.1.p1, XM_044595131.1.p1, XM_044558758.1.p1, XM_044558751.1.p1, XM_044558762.1.p1
OG0000822	NM_001203220.1.p1, NM_001084853.2.p1, NM_180110.5.p1, NM_130137.6.p1, NM_100065.5.p1	XM_044528194.1.p1, XM_044515878.1.p1, XM_044510504.1.p1, XM_044570831.1.p1, XM_044586240.1.p1
OG0000823	NM_125038.6.p1, NM_001084980.2.p1	XM_044501747.1.p2, XM_044481237.1.p1, XM_044493951.1.p1, XM_044485257.1.p1, XM_044501749.1.p1, XM_044493953.1.p1, XM_044595340.1.p1, XM_044518236.1.p1, XM_044576559.1.p1, XM_044567339.1.p1, XM_044478644.1.p1, XM_044603312.1.p1, XM_044470427.1.p1
OG0000824	NM_111262.2.p1, NM_121822.4.p1	XM_044534951.1.p1, XM_044527432.1.p1
OG0000824	NM_001125711.2.p1, NM_120826.3.p1	XM_044602478.1.p1, XM_044477755.1.p1
OG0000826	NM_114486.2.p1, NM_115389.4.p1, NM_202712.3.p1, NM_104939.2.p1, NM_001198365.2.p1, NM_001334086.1.p1, NM_127338.1.p1	XM_044572545.1.p1, XM_044577902.1.p1, XM_044478916.1.p1, XM_044598186.1.p1
OG0000827	NM_123911.2.p1, NM_001203544.2.p1, NM_118030.3.p1	XM_044569520.1.p1, XM_044569523.1.p1, XM_044569524.1.p1, XM_044585029.1.p1, XM_044510473.1.p1, XM_044510472.1.p1, XM_044564538.1.p1, XM_044557744.1.p1, XM_044557747.1.p1, XM_044548017.1.p1
OG0000828	NM_121517.3.p1, NM_001332376.1.p1	XM_044584717.1.p1, XM_044584716.1.p1, XM_044505190.1.p1, XM_044581051.1.p1, XM_044581050.1.p1, XM_044505189.1.p1, XM_044573009.1.p1, XM_044582184.1.p1, XM_044568513.1.p1, XM_044510181.1.p1, XM_044497065.1.p1
OG0000829	NM_103667.3.p1, NM_001333283.1.p1, NM_202258.3.p1	XM_044506480.1.p1, XM_044506478.1.p1, XM_044506479.1.p1, XM_044515019.1.p1
OG0000830	NM_001345745.1.p1, NM_126008.5.p1	XM_044520444.1.p1, XM_044520442.1.p1, XM_044515104.1.p1, XM_044506428.1.p1, XM_044506430.1.p1
OG0000831	NM_001343541.1.p1, NM_001343540.1.p1, NM_121828.5.p1	XM_044511877.1.p1, XM_044511876.1.p1, XM_044511875.1.p1, XM_044511874.1.p1
OG0000833	NM_001345775.1.p1, NM_001345785.1.p1, NM_001345782.1.p1, NM_001345776.1.p1, NM_126058.2.p1, NM_001345786.1.p1	XM_044534672.1.p1, XM_044543346.1.p1, XM_044527158.1.p1, XM_044601168.1.p1, XM_044601167.1.p1, XM_044476273.1.p1, XM_044476271.1.p1, XM_044467990.1.p1, XM_044467988.1.p1
OG0000834	NM_101110.4.p1, NM_104965.4.p1	XM_044465778.1.p1, XM_044589274.1.p1, XM_044598971.1.p1
OG0000836	NM_114290.3.p1, NM_115107.4.p1	XM_044530074.1.p1, XM_044546439.1.p1, XM_044538257.1.p1, XM_044597116.1.p1, XM_044463828.1.p1, XM_044472109.1.p1, XM_044468482.1.p1, XM_044508278.1.p1, XM_044518189.1.p1, XM_044531815.1.p1, XM_044524452.1.p1, XM_044545133.1.p1, XM_044536955.1.p1, XM_044522805.1.p1, XM_044471056.1.p1, XM_044603891.1.p1, XM_044479279.1.p1, XM_044586703.1.p1, XM_044579422.1.p1, XM_044566947.1.p1
OG0000837	NM_130059.4.p1, NM_115913.3.p1, NM_117777.3.p1, NM_129125.2.p1	XM_044550584.1.p1, XM_044561448.1.p1, XM_044553575.1.p1, XM_044464381.1.p1, XM_044602728.1.p1
OG0000838	NM_201881.2.p1, NM_201882.3.p1, NM_122128.3.p1	XM_044524455.1.p1, XM_044524456.1.p1, XM_044524454.1.p1, XM_044563727.1.p1, XM_044563725.1.p1, XM_044556922.1.p1, XM_044556924.1.p1
OG0000839	NM_001334216.1.p1, NM_100443.5.p1, NM_001035899.2.p1, NM_001331561.1.p1, NM_128741.3.p1, NM_001336348.1.p1, NM_001337064.1.p1, NM_129952.7.p1	XM_044574147.1.p1, XM_044574148.1.p1, XM_044542143.1.p1
OG0000840	NM_124162.4.p1, NM_001036952.1.p1	XM_044498145.1.p1, XM_044589997.1.p1, XM_044481916.1.p1, XM_044503544.1.p1, XM_044492824.1.p1, XM_044550247.1.p1, XM_044550255.1.p1, XM_044477113.1.p1, XM_044594210.1.p1
OG0000841	NM_100708.2.p1, NM_001331771.1.p1, NM_001084020.1.p1	XM_044573999.1.p1
OG0000841	NM_001344181.1.p1, NM_123090.4.p1, NM_126258.3.p1, NM_101334.3.p1	XM_044520019.1.p1
OG0000842	NM_001341969.1.p1, NM_119098.3.p1	XM_044501052.1.p1, XM_044493075.1.p1
OG0000842	NM_101633.4.p1, NM_001084087.1.p1, NM_105959.3.p1	XM_044488904.1.p1, XM_044485346.1.p1, XM_044497502.1.p1, XM_044497503.1.p1, XM_044488902.1.p1
OG0000843	NM_001336105.1.p1, NM_001336104.1.p1, NM_001084497.1.p1, NM_100337.3.p1, NM_180718.2.p1, NM_114228.3.p1	XM_044569126.1.p1, XR_006474697.1.p1, XM_044577807.1.p1, XM_044584454.1.p1, XM_044577226.1.p1, XM_044543582.1.p1, XM_044527403.1.p1, XM_044527402.1.p1, XM_044543581.1.p1, XM_044534900.1.p1, XM_044534899.1.p1, XM_044543580.1.p1, XM_044527398.1.p1, XM_044527393.1.p1, XM_044600923.1.p1, XM_044467928.1.p1
OG0000844	NM_001203687.1.p1, NM_125898.2.p1, NM_121064.4.p1	XM_044510276.1.p1, XM_044520811.1.p1, XM_044515441.1.p1
OG0000844	NM_130025.5.p1	XM_044475864.1.p1
OG0000845	NM_001331273.1.p1, NM_001331274.1.p1, NM_001203720.1.p1, NM_116337.3.p1	XM_044482273.1.p1, XM_044498869.1.p1, XM_044490683.1.p1, XM_044499018.1.p1, XM_044490889.1.p1, XM_044490888.1.p1, XM_044490886.1.p1, XM_044490887.1.p1, XM_044499010.1.p1, XM_044552003.1.p1, XM_044562762.1.p1
OG0000846	NM_129058.5.p1, NM_001336538.1.p1, NM_102850.4.p1, NM_118114.5.p1, NM_001341378.1.p1, NM_001203846.2.p1	XM_044534264.1.p1, XM_044592046.1.p1, XM_044528342.1.p1, XM_044599997.1.p1, XM_044592045.1.p1, XM_044528334.1.p1, XM_044478020.1.p1, XM_044478021.1.p1, XM_044469822.1.p1, XM_044602781.1.p1
OG0000847	NM_202099.1.p1, NM_001332132.1.p1, NM_179331.3.p1, NM_101336.4.p1, NM_201669.2.p1, NM_126254.3.p1, NM_105482.4.p1	XM_044506846.1.p1
OG0000848	NM_123788.5.p1, NM_104196.3.p1, NM_112384.2.p1, NM_001332812.1.p1	XM_044494528.1.p1, XM_044484045.1.p1, XM_044595059.1.p1, XM_044469874.1.p1, XM_044602829.1.p1
OG0000850	NM_180140.2.p1, NM_001335623.1.p1, NM_127472.2.p1, NM_001343983.1.p1, NM_113318.2.p1, NM_121904.2.p1	XM_044471877.1.p1, XM_044471876.1.p1, XM_044471875.1.p1, XM_044596900.1.p1, XM_044463579.1.p1, XM_044596899.1.p1, XM_044479587.1.p1, XM_044463485.1.p1, XM_044471803.1.p1, XM_044463484.1.p1, XM_044463488.1.p1, XM_044471801.1.p1, XM_044463482.1.p1, XM_044463486.1.p1, XM_044471805.1.p1, XM_044471804.1.p1, XM_044463483.1.p1, XM_044521476.1.p1, XM_044569069.1.p1, XM_044575849.1.p1
OG0000851	NM_001335629.1.p1, NM_127483.3.p1	XM_044507896.1.p1, XM_044513429.1.p1, XM_044518958.1.p1, XM_044518957.1.p1, XM_044518960.1.p1, XM_044513423.1.p1, XM_044513427.1.p1, XM_044513426.1.p1, XM_044507894.1.p1, XM_044578448.1.p1, XM_044578450.1.p1, XM_044568957.1.p1, XM_044568955.1.p1, XM_044582034.1.p1
OG0000852	NM_119293.1.p1, NM_001335936.1.p1	XM_044468137.1.p1, XM_044476390.1.p1, XM_044476389.1.p1, XM_044478715.1.p1
OG0000853	NM_179242.1.p1, NM_100036.5.p1, NM_116363.6.p1, NM_001340309.1.p1	XM_044527918.1.p1, XM_044515522.1.p1
OG0000853	NM_116497.3.p1	XM_044480323.1.p1, XM_044594621.1.p1, XM_044594622.1.p1, XM_044599800.1.p1, XM_044466725.1.p1, XM_044474974.1.p1, XM_044601580.1.p1, XM_044476775.1.p1
OG0000854	NM_180210.2.p1, NM_121352.4.p1	XM_044564688.1.p1, XM_044564689.1.p1
OG0000854	NM_118980.4.p1, NM_001341915.1.p1	XM_044573023.1.p1, XM_044587067.1.p1, XM_044576894.1.p1
OG0000855	NM_106689.5.p1, NM_119412.6.p1, NM_001342161.1.p1	XM_044548748.1.p1, XM_044548753.1.p1, XM_044536255.1.p1, XM_044463450.1.p1, XM_044592810.1.p1
OG0000856	NM_127676.3.p1, NM_120029.3.p1	XM_044594512.1.p1, XM_044479907.1.p1, XR_006492001.1.p1, XM_044479908.1.p1, XM_044553086.1.p1, XM_044562313.1.p1, XM_044555117.1.p1, XM_044551603.1.p1
OG0000857	NM_180479.2.p1, NM_001343609.1.p1	XM_044575203.1.p1, XM_044569089.1.p1, XM_044582664.1.p1
OG0000858	NM_100380.4.p1, NM_104918.5.p1, NM_101073.3.p1	XM_044541722.1.p1, XM_044533093.1.p1, XM_044525634.1.p1, XM_044525633.1.p1, XM_044533092.1.p1, XM_044541721.1.p1, XM_044548557.1.p1, XM_044548555.1.p1, XM_044553838.1.p1, XM_044553837.1.p1, XM_044565118.1.p1, XM_044558368.1.p1, XM_044565116.1.p1, XM_044558370.1.p1, XM_044548558.1.p1, XM_044558367.1.p1
OG0000859	NM_130286.3.p1, NM_100805.2.p1, NM_104537.3.p1	XM_044514040.1.p1, XM_044504410.1.p1, XM_044599279.1.p1, XM_044466121.1.p1, XM_044474364.1.p1, XM_044474319.1.p1, XM_044463356.1.p1, XM_044596750.1.p1, XM_044471692.1.p1, XM_044596749.1.p1, XM_044466081.1.p1
OG0000860	NM_102391.3.p1, NM_101234.4.p1, NM_126434.4.p1, NM_201684.1.p1	XM_044541878.1.p1, XM_044525785.1.p1, XM_044525786.1.p1, XM_044541879.1.p1, XM_044586617.1.p1, XM_044579197.1.p1, XM_044569955.1.p1, XM_044603661.1.p1, XM_044470776.1.p1, XM_044478994.1.p1
OG0000861	NM_125102.2.p1, NM_118727.5.p1	XM_044556031.1.p1, XM_044563148.1.p1, XM_044552362.1.p1, XM_044552361.1.p1, XM_044573654.1.p1, XM_044582844.1.p1
OG0000861	NM_126221.4.p1, NM_101360.4.p1	XM_044572241.1.p1, XM_044587369.1.p1, XM_044501558.1.p1, XM_044485078.1.p1, XM_044595559.1.p1
OG0000862	NM_102297.2.p1	XM_044597478.1.p1, XM_044464144.1.p1, XM_044472428.1.p1
OG0000862	NM_102259.2.p1, NM_124391.3.p1	XM_044587724.1.p1, XM_044573471.1.p1, XM_044580926.1.p1
OG0000863	NM_129763.4.p1	XM_044547832.1.p1, XM_044557492.1.p1, XM_044564356.1.p1
OG0000863	NM_123651.4.p1, NM_103600.5.p1, NM_202253.1.p1	XM_044601586.1.p1, XM_044476780.1.p1, XM_044471141.1.p1, XM_044603963.1.p1, XM_044479357.1.p1
OG0000864	NM_119055.3.p1, NM_112504.3.p1, NM_104095.3.p1	XM_044584725.1.p1, XM_044571356.1.p1, XM_044577123.1.p1
OG0000865	NM_104376.3.p1, NM_113137.4.p1	XM_044512130.1.p1, XM_044517360.1.p1, XM_044509099.1.p1, XM_044543096.1.p1, XM_044534446.1.p1, XM_044543097.1.p1, XM_044517361.1.p1, XM_044512125.1.p1, XM_044512126.1.p1, XM_044512131.1.p1
OG0000866	NM_106362.3.p1	XM_044541291.1.p1, XM_044525211.1.p1, XM_044508299.1.p1, XM_044512874.1.p1, XM_044518053.1.p1, XM_044508298.1.p1, XM_044518049.1.p1, XM_044595565.1.p1, XM_044469992.1.p1, XM_044562409.1.p1, XM_044518048.1.p1
OG0000868	NM_118587.6.p1, NM_127820.4.p1	XM_044506166.1.p1, XM_044515403.1.p1, XM_044548426.1.p1, XM_044569414.1.p1, XM_044577175.1.p1
OG0000869	NM_128315.4.p1, NM_120465.3.p1	XM_044524480.1.p1, XM_044531839.1.p1, XM_044522323.1.p1, XM_044511036.1.p1, XM_044505238.1.p1, XM_044463994.1.p1
OG0000873	NM_001035888.2.p1, NM_202378.2.p1, NM_105575.3.p1	XM_044542187.1.p1
OG0000874	NM_124935.3.p1, NM_001036089.3.p1, NM_103938.5.p1	XM_044506516.1.p1, XM_044506515.1.p1, XM_044515057.1.p1
OG0000875	NM_001198230.2.p1, NM_001036292.2.p1, NM_179644.2.p1	XM_044557816.1.p1, XM_044564593.1.p1
OG0000876	NM_127871.5.p1	XM_044543321.1.p1
OG0000877	NM_001331522.1.p1, NM_001083993.2.p1, NM_128802.3.p1, NM_179123.3.p1, NM_118828.4.p1	XM_044585310.1.p1, XM_044567022.1.p1, XM_044562950.1.p1, XM_044577085.1.p1, XM_044577084.1.p1, XM_044584991.1.p1
OG0000878	NM_001084255.1.p1, NM_104461.3.p1, NM_001344744.1.p1, NM_124147.4.p1, NM_001085261.2.p1	XM_044556135.1.p1, XM_044552471.1.p1, XM_044563213.1.p1, XM_044582254.1.p1, XM_044582255.1.p1, XM_044524927.1.p1, XM_044532377.1.p1, XM_044524928.1.p1, XM_044540864.1.p1
OG0000879	NM_179127.2.p1, NM_001341866.1.p1, NM_001084984.2.p1, NM_118897.3.p1, NM_001341865.1.p1, NM_001341870.1.p1, NM_001341867.1.p1, NM_001341868.1.p1, NM_001341869.1.p1, NM_118898.3.p1, NM_202898.3.p1, NM_001341871.1.p1	XM_044568571.1.p1, XM_044493130.1.p1, XM_044596104.1.p1, XM_044563814.1.p1, XM_044563812.1.p1, XM_044556991.1.p1
OG0000880	NM_001123817.1.p1, NM_001332131.1.p1, NM_001332130.1.p1	XM_044492542.1.p1, XM_044503770.1.p1
OG0000881	NM_148113.3.p1, NM_124455.2.p1, NM_114604.2.p1, NM_001161195.1.p1, NM_001339307.1.p1, NM_114603.3.p1, NM_001344899.1.p1, NM_124447.2.p1	XM_044544588.1.p1, XM_044597310.1.p1, XM_044472268.1.p1, XM_044468319.1.p1, XM_044476569.1.p1, XM_044476568.1.p1, XM_044601388.1.p1, XM_044601389.1.p1, XM_044539272.1.p1, XM_044530976.1.p1
OG0000882	NM_102367.3.p1, NM_001198423.1.p1, NM_105558.3.p1, NM_113472.4.p1, NM_101197.4.p1	XM_044562604.1.p1, XM_044489278.1.p1, XM_044595586.1.p1, XM_044519345.1.p1, XM_044590139.1.p1, XM_044590143.1.p1, XM_044592641.1.p1, XM_044519358.1.p1, XM_044592622.1.p1, XM_044590140.1.p1, XM_044485088.1.p1, XM_044493744.1.p1, XM_044530124.1.p1, XM_044511095.1.p1, XM_044590455.1.p1, XM_044480634.1.p1
OG0000883	NM_001335504.1.p1, NM_001202608.1.p1, NM_001202609.1.p1, NM_127247.3.p1	XM_044515096.1.p1, XM_044515095.1.p1, XM_044515091.1.p1, XM_044506451.1.p1, XM_044464800.1.p1, XM_044538837.1.p1, XM_044538845.1.p1, XM_044593116.1.p1, XM_044593115.1.p1
OG0000884	NM_001343115.1.p1, NM_001343117.1.p1, NM_001343116.1.p1, NM_001203350.1.p1, NM_001345694.1.p1, NM_125949.7.p1, NM_001345695.1.p1	XM_044521966.1.p1, XM_044504408.1.p1, XM_044516746.1.p1
OG0000884	NM_125122.4.p1	XM_044584092.1.p1, XM_044573437.1.p1
OG0000884	NM_121749.3.p1, NM_001343497.1.p1	XM_044478757.1.p1, XM_044470549.1.p1, XM_044603427.1.p1
OG0000885	NM_123736.3.p1, NM_001331470.1.p1, NM_001338609.1.p1, NM_117536.4.p1	XM_044530943.1.p1, XM_044523620.1.p1, XM_044534997.1.p2, XM_044543689.1.p2, XM_044529914.1.p2
OG0000886	NM_001333850.1.p1, NM_001333851.1.p1, NM_101606.5.p1, NM_001332305.1.p1, NM_104642.2.p1	XM_044596089.1.p1, XM_044557362.1.p1
OG0000887	NM_121273.5.p1, NM_001343600.1.p1, NM_121947.4.p1	XM_044503655.1.p1, XM_044496065.1.p1, XR_006491894.1.p1
OG0000888	NM_106722.2.p1, NM_105645.4.p1	XM_044551285.1.p1, XM_044561730.1.p1, XM_044554481.1.p1, XM_044551286.1.p1, XM_044559320.1.p1, XM_044559321.1.p1, XM_044516864.1.p1, XM_044520047.1.p1, XM_044587837.1.p1, XM_044587838.1.p1, XM_044572794.1.p1, XM_044576594.1.p1
OG0000889	NM_126520.4.p1, NM_179605.3.p1, NM_001341825.1.p1, NM_179119.5.p1, NM_118798.2.p1, NM_001341821.1.p1, NM_001341822.1.p1, NM_001341823.1.p1	XM_044475403.1.p1
OG0000890	NM_128113.3.p1, NM_001345038.1.p1, NM_001345037.1.p1, NM_001345039.1.p1, NM_001345035.1.p1, NM_124694.4.p1	XM_044476554.1.p1, XR_006438620.1.p1, XM_044487652.1.p1, XM_044515532.1.p1, XM_044527914.1.p1
OG0000891	NM_100045.5.p1	XM_044486922.1.p1, XM_044503290.1.p1, XM_044495654.1.p1, XM_044486923.1.p1, XM_044503291.1.p1, XM_044503289.1.p1, XM_044495650.1.p1, XM_044495648.1.p1, XM_044486921.1.p1, XM_044509644.1.p1, XM_044544442.1.p1, XM_044535764.1.p1, XM_044535051.1.p1, XM_044535050.1.p1, XM_044544443.1.p1, XM_044538455.1.p1, XM_044544446.1.p1, XM_044535765.1.p1, XM_044538456.1.p1, XM_044538457.1.p1, XM_044504933.1.p1, XM_044546565.1.p1
OG0000892	NM_118600.2.p1, NM_202879.2.p1, NM_102181.1.p1, NM_105724.3.p1	XM_044527999.1.p1, XM_044535701.1.p1, XM_044592737.1.p1, XM_044499535.1.p1, XM_044491434.1.p1, XM_044482884.1.p1, XM_044482885.1.p1, XM_044550331.1.p1, XM_044476918.1.p1, XM_044587344.1.p1, XM_044571013.1.p1, XM_044505291.1.p1, XM_044535759.1.p1
OG0000893	NM_115669.3.p1, NM_129758.3.p1, NM_120748.2.p1	XM_044585553.1.p1, XM_044570974.1.p1, XM_044578212.1.p1, XM_044558448.1.p1, XM_044548635.1.p1, XM_044565195.1.p1, XM_044514829.1.p1, XM_044506891.1.p1, XM_044529136.1.p1, XM_044537230.1.p1
OG0000894	NM_118415.6.p1, NM_117269.4.p1	XM_044571030.1.p1, XM_044571031.1.p1, XM_044586406.1.p1, XR_006441747.1.p1, XR_006441746.1.p1, XM_044510395.1.p1, XR_006441749.1.p1
OG0000896	NM_129251.3.p1, NM_120417.4.p1, NM_125473.4.p1, NM_128369.2.p1	XM_044551047.1.p1, XM_044538547.1.p1, XM_044546620.1.p1, XM_044466794.1.p1
OG0000897	NM_001202963.1.p1, NM_112301.3.p1, NM_001035617.1.p1, NM_001084686.1.p1, NM_112302.4.p1	XM_044527359.1.p1, XM_044467829.1.p1, XM_044600968.1.p1, XM_044476205.1.p1, XM_044467828.1.p1, XM_044600967.1.p1
OG0000897	NM_001084937.1.p1, NM_001341277.1.p1	XM_044478436.1.p1, XM_044603129.1.p1
OG0000898	NM_001335765.1.p1, NM_001335767.1.p1, NM_127730.5.p1, NM_001335766.1.p1, NM_001036314.2.p1, NM_120081.2.p1	XM_044492586.1.p1, XM_044567610.1.p1, XM_044596022.1.p1
OG0000899	NM_179692.3.p1, NM_001335795.1.p1, NM_001037058.2.p1, NM_120978.5.p1, NM_001125723.2.p1, NM_001203338.1.p1	XM_044520808.1.p1, XM_044510269.1.p1, XM_044510272.1.p1, XM_044515430.1.p1, XM_044599894.1.p1, XM_044466807.1.p1
OG0000900	NM_001345826.1.p1, NM_126139.3.p1, NM_001037089.3.p1	XM_044545028.1.p1, XM_044531157.1.p1, XM_044508673.1.p1, XM_044512525.1.p1, XM_044521710.1.p1, XM_044546063.1.p1, XM_044537876.1.p1, XM_044529772.1.p1, XM_044531519.1.p1
OG0000901	NM_117785.5.p1, NM_001084930.1.p1, NM_117858.3.p1	XM_044568980.1.p1, XM_044596147.1.p1, XM_044595418.1.p1, XM_044501830.1.p1
OG0000902	NM_001123778.2.p1, NM_001331788.1.p1, NM_128621.3.p1	XM_044502113.1.p1, XM_044494376.1.p1, XM_044494374.1.p1, XM_044485645.1.p1, XM_044506339.1.p1, XM_044506340.1.p1, XM_044522219.1.p1, XM_044510947.1.p1
OG0000903	NM_001125628.4.p1, NM_117409.5.p1	XM_044546911.1.p1, XM_044556393.1.p1, XM_044563432.1.p1
OG0000904	NM_114190.3.p1, NM_001161189.1.p1, NM_122091.3.p1, NM_112277.4.p1, NM_001338113.1.p1	XM_044515366.1.p1, XM_044520730.1.p1, XM_044506184.1.p1
OG0000905	NM_001334708.1.p1, NM_202421.3.p1	XM_044464342.1.p1, XM_044602643.1.p1
OG0000905	NM_001340497.1.p1, NM_001340499.1.p1, NM_001203865.1.p1, NM_001341523.1.p1, NM_118315.2.p1, NM_001340500.1.p1, NM_116710.3.p1, NM_103952.4.p1, NM_001333450.1.p1, NM_112932.3.p1	XM_044600555.1.p1, XM_044600556.1.p1, XM_044475789.1.p1
