Orthogroup	Arabidopsis_thaliana_rna_prot	Citrus_sinensis_rna_prot
OG0000839	NM_100443.5.p1, NM_001035899.2.p1, NM_001331561.1.p1, NM_128741.3.p1, NM_001336348.1.p1, NM_001337064.1.p1, NM_129952.7.p1	XM_006493074.3.p1, XM_006493075.3.p1, XM_025093369.2.p1
OG0000841	NM_100708.2.p1, NM_001331771.1.p1, NM_001084020.1.p1	XM_006487880.4.p1
OG0000841	NM_126258.3.p1, NM_101334.3.p1	XM_052435039.1.p1, XM_006470748.4.p1
OG0000842	NM_001341969.1.p1, NM_119098.3.p1	XM_006475343.3.p1
OG0000842	NM_101633.4.p1, NM_001084087.1.p1, NM_105959.3.p1	XM_006466007.4.p1
OG0000843	NM_001336105.1.p1, NM_001336104.1.p1, NM_001084497.1.p1, NM_100337.3.p1, NM_180718.2.p1, NM_114228.3.p1	XM_006487737.3.p1, XM_025101915.2.p1, XM_006487734.4.p1
OG0000844	NM_121064.4.p1	XM_006464173.4.p1
OG0000844	NM_130025.5.p1	XM_006464315.4.p1
OG0000845	NM_001331273.1.p1, NM_001331274.1.p1, NM_001203720.1.p1, NM_116337.3.p1	XM_006491179.3.p1, XM_006480409.4.p1, XM_006480412.4.p1, XM_006468804.4.p1, XM_006491180.4.p1
OG0000846	NM_129058.5.p1, NM_001336538.1.p1, NM_102850.4.p1	XM_006468451.4.p1, XM_052434633.1.p1, XM_006468450.4.p1
OG0000847	NM_202099.1.p1, NM_001332132.1.p1, NM_179331.3.p1, NM_101336.4.p1, NM_201669.2.p1, NM_126254.3.p1, NM_105482.4.p1	XM_006492227.4.p1
OG0000848	NM_123788.5.p1	XM_025095405.2.p1
OG0000849	NM_001338201.1.p1, NM_001338203.1.p1, NM_001338202.1.p1, NM_112473.2.p1, NM_001338200.1.p1, NM_001334307.1.p1, NM_105419.2.p1, NM_001334309.1.p1, NM_001334308.1.p1, NM_001334312.1.p1, NM_001334313.1.p1	XM_052431432.1.p1, XM_052431431.1.p1, XR_008050629.1.p1, XM_052431433.1.p1, XM_006465532.4.p1, XM_052431435.1.p1, XM_052444307.1.p1, XM_052431246.1.p1
OG0000850	NM_001343983.1.p1	XM_006472914.2.p1
OG0000850	NM_113318.2.p1, NM_121904.2.p1	XM_052434482.1.p1
OG0000851	NM_001335629.1.p1, NM_127483.3.p1	XM_006483547.4.p1, XM_025101634.2.p1, XR_003064925.2.p1, XM_025097302.2.p1
OG0000852	NM_119293.1.p1, NM_001335936.1.p1	XM_015525641.2.p1, XM_006483501.4.p1
OG0000853	NM_179242.1.p1, NM_100036.5.p1, NM_116363.6.p1, NM_001340309.1.p1	XM_006491110.4.p1, XM_006491109.4.p1, XM_006491108.4.p1
OG0000853	NM_116497.3.p1	XM_006466529.3.p1, XM_006473240.4.p1
OG0000854	NM_180210.2.p1, NM_121352.4.p1	XM_006482826.4.p1
OG0000854	NM_118980.4.p1, NM_001341915.1.p1	XM_006469828.3.p1
OG0000855	NM_106689.5.p1	XM_052444136.1.p1, XM_006465378.4.p1, XM_025093584.2.p1
OG0000855	NM_119412.6.p1, NM_001342161.1.p1	XM_006476126.3.p1
OG0000856	NM_127341.4.p1, NM_001342395.1.p1, NM_001342396.1.p1	XM_006466892.4.p1, XR_008056514.1.p1
OG0000857	NM_180479.2.p1, NM_001343609.1.p1	XM_025097254.2.p1, XM_006474410.4.p1
OG0000858	NM_100380.4.p1	NM_001288883.1.p1
OG0000858	NM_104918.5.p1, NM_101073.3.p1	XM_006467301.4.p1
OG0000859	NM_104734.4.p1	XM_006483812.3.p1
OG0000859	NM_130286.3.p1	XM_006492313.4.p1
OG0000859	NM_100805.2.p1, NM_104537.3.p1	XM_006472180.4.p1
OG0000860	NM_102391.3.p1, NM_101234.4.p1, NM_126434.4.p1, NM_201684.1.p1	XM_006485654.4.p1, XM_006482384.4.p1, XM_006484201.4.p1
OG0000861	NM_125102.2.p1, NM_118727.5.p1	XM_006474581.3.p1
OG0000861	NM_126221.4.p1, NM_101360.4.p1	XM_006469148.4.p1
OG0000862	NM_102297.2.p1	XM_006483926.4.p1
OG0000862	NM_102259.2.p1	XM_006483702.4.p1
OG0000862	NM_124391.3.p1	XM_006476615.4.p1
OG0000863	NM_129763.4.p1	XM_006486596.4.p1
OG0000863	NM_123651.4.p1, NM_103600.5.p1, NM_202253.1.p1	XM_006473241.4.p1
OG0000864	NM_119055.3.p1	XM_006495063.4.p1
OG0000864	NM_112504.3.p1, NM_104095.3.p1	XM_006465619.4.p1
OG0000865	NM_104376.3.p1	XM_006471965.4.p1
OG0000865	NM_113137.4.p1	XM_006489302.4.p1
OG0000866	NM_106362.3.p1	XM_006472859.3.p1
OG0000868	NM_118587.6.p1	XM_006472408.4.p1, XM_006472407.4.p1
OG0000868	NM_127820.4.p1	XM_006466238.4.p1, XM_052431462.1.p1, XM_006466240.4.p1
OG0000869	NM_125597.2.p1	XM_006490286.3.p1
OG0000869	NM_128315.4.p1	XM_006487901.3.p1
OG0000869	NM_120465.3.p1	XM_006481728.3.p1
OG0000872	NM_128772.4.p1, NM_102670.3.p1	XM_006467545.4.p1
OG0000872	NM_112349.5.p1, NM_001035619.2.p1, NM_001338139.1.p1, NM_001338140.1.p1, NM_001035620.2.p1, NM_001333593.1.p1, NM_001036103.3.p1, NM_104217.5.p1	XM_006477804.4.p1
OG0000873	NM_001035888.2.p1, NM_202378.2.p1, NM_105575.3.p1	XM_006484184.4.p1
OG0000873	NM_001337370.1.p1, NM_001337377.1.p1, NM_001337376.1.p1, NM_001337374.1.p1, NM_001337369.1.p1, NM_111065.3.p1, NM_001337368.1.p1	XM_006493175.4.p1, XM_025093432.2.p1, XM_006470036.4.p1
OG0000874	NM_124935.3.p1	XM_006474892.4.p1, XM_006474894.4.p1
OG0000874	NM_001036089.3.p1, NM_103938.5.p1	XM_052436047.1.p1
OG0000875	NM_001198230.2.p1	XM_006473459.3.p1
OG0000875	NM_001036292.2.p1, NM_179644.2.p1	XM_025098907.2.p1
OG0000876	NM_201789.2.p1, NM_127872.4.p1, NM_001037088.2.p1, NM_126138.4.p1, NM_114860.4.p1	XM_006466426.3.p1, XM_025102191.2.p1
OG0000876	NM_127871.5.p1	XM_006466415.4.p1
OG0000877	NM_001331522.1.p1, NM_001083993.2.p1, NM_128802.3.p1	XM_006469615.4.p1
OG0000877	NM_179123.3.p1, NM_118828.4.p1	XM_006474994.4.p1
OG0000878	NM_001084255.1.p1, NM_104461.3.p1	XM_052433433.1.p1, XM_006474785.4.p1
OG0000878	NM_001344744.1.p1, NM_124147.4.p1, NM_001085261.2.p1	XM_006467198.4.p1
OG0000879	NM_179127.2.p1, NM_001341866.1.p1, NM_001084984.2.p1, NM_118897.3.p1, NM_001341865.1.p1, NM_001341870.1.p1, NM_001341867.1.p1, NM_001341868.1.p1, NM_001341869.1.p1, NM_118898.3.p1, NM_202898.3.p1, NM_001341871.1.p1	XM_006484627.4.p1, XM_006484626.4.p1, XM_006484625.4.p1
OG0000880	NM_001123817.1.p1, NM_001332131.1.p1, NM_001332130.1.p1	XR_008052243.1.p1, XM_015533490.3.p1
OG0000881	NM_148113.3.p1	XM_025093426.2.p1, XM_006493171.4.p1
OG0000881	NM_124455.2.p1	XM_006493172.4.p1
OG0000882	NM_102367.3.p1, NM_001198423.1.p1, NM_105558.3.p1, NM_113472.4.p1, NM_101197.4.p1	XM_006482233.4.p1, XM_006484350.3.p1
OG0000883	NM_121025.4.p1	XM_006464472.4.p1
OG0000883	NM_001335504.1.p1, NM_001202608.1.p1, NM_001202609.1.p1, NM_127247.3.p1	XM_052431780.1.p1, XM_052431778.1.p1, XM_052431776.1.p1, XM_052431781.1.p1
OG0000884	NM_001343115.1.p1, NM_001343117.1.p1, NM_001343116.1.p1, NM_001203350.1.p1, NM_001345694.1.p1, NM_125949.7.p1, NM_001345695.1.p1	XM_006466263.4.p1
OG0000884	NM_125122.4.p1	XM_006474129.4.p1
OG0000885	NM_123736.3.p1, NM_001331470.1.p1	XM_006479536.4.p1, XM_006489439.4.p1, XM_006471620.4.p1
OG0000886	NM_001333850.1.p1, NM_001333851.1.p1, NM_101606.5.p1, NM_001332305.1.p1, NM_104642.2.p1	XM_006465865.4.p1
OG0000887	NM_001334419.1.p1	XM_006476559.4.p1, XM_052439810.1.p1, XM_052439809.1.p1, XM_052439808.1.p1, XM_052439811.1.p1, XM_052439812.1.p1
OG0000887	NM_121273.5.p1, NM_001343600.1.p1, NM_121947.4.p1	XM_052432102.1.p1, XM_025096434.2.p1, XM_006470800.4.p1, XM_025094790.2.p1, XM_006470505.4.p1
OG0000888	NM_106722.2.p1	XM_025095778.2.p1, XM_015527887.3.p1
OG0000888	NM_105645.4.p1	NM_001288948.1.p1, XM_015525298.3.p1
OG0000888	NM_118020.5.p1, NM_001341318.1.p1	XM_025095896.2.p1
OG0000889	NM_126520.4.p1, NM_179605.3.p1	XM_006469456.3.p1
OG0000889	NM_001341825.1.p1, NM_179119.5.p1, NM_118798.2.p1, NM_001341821.1.p1, NM_001341822.1.p1, NM_001341823.1.p1	XM_006474885.2.p1
OG0000890	NM_128113.3.p1	XM_006484061.4.p1
OG0000890	NM_001345038.1.p1, NM_001345037.1.p1, NM_001345039.1.p1, NM_001345035.1.p1, NM_124694.4.p1	XM_006490484.4.p1
OG0000891	NM_100045.5.p1	XM_006487495.4.p1
OG0000892	NM_118600.2.p1, NM_202879.2.p1	XM_025098153.2.p1, XM_006476788.4.p1, XM_025098154.2.p1
OG0000892	NM_102181.1.p1, NM_105724.3.p1	XM_025100366.2.p1
OG0000893	NM_115669.3.p1, NM_129758.3.p1, NM_120748.2.p1	XM_006492849.4.p1
OG0000894	NM_118415.6.p1, NM_117269.4.p1	XM_006477261.4.p1, XM_015529937.3.p1
OG0000895	NM_119346.3.p1, NM_119348.2.p1, NM_119345.3.p1	XM_052440409.1.p1, XM_006473342.4.p1, XM_052439448.1.p1, XM_025100806.2.p1, XM_052439447.1.p1, XM_015532647.3.p1, XM_025096360.1.p1, XM_006464237.4.p1, XM_025102402.1.p1, XM_006471438.3.p1, XM_052440513.1.p1, XM_006471440.4.p1, XM_006471410.4.p1, XM_052440478.1.p1, XM_006471431.3.p1, XM_006471439.4.p1, XM_052431224.1.p1, XM_006471088.3.p1, XM_006471128.3.p1, XM_006473343.4.p1
OG0000896	NM_129251.3.p1, NM_120417.4.p1	XM_006491651.4.p1
OG0000896	NM_125473.4.p1, NM_128369.2.p1	XM_052432518.1.p1
OG0000897	NM_001202963.1.p1, NM_112301.3.p1, NM_001035617.1.p1, NM_001084686.1.p1, NM_112302.4.p1	XM_006477904.4.p1
OG0000897	NM_001084937.1.p1, NM_001341277.1.p1	XM_025094702.2.p1, XM_006467385.4.p1
OG0000898	NM_102533.5.p1	XM_052436775.1.p1, XM_006473471.4.p1
OG0000898	NM_001335765.1.p1, NM_001335767.1.p1, NM_127730.5.p1, NM_001335766.1.p1, NM_001036314.2.p1, NM_120081.2.p1	XM_025101668.2.p1
OG0000899	NM_179692.3.p1, NM_001335795.1.p1	XM_015527347.3.p1
OG0000899	NM_001037058.2.p1, NM_120978.5.p1, NM_001125723.2.p1, NM_001203338.1.p1	XM_052431944.1.p1
OG0000900	NM_001345826.1.p1, NM_126139.3.p1, NM_001037089.3.p1	XM_006466423.4.p1, XM_015532762.3.p1, XM_006466422.4.p1
OG0000901	NM_117785.5.p1, NM_001084930.1.p1, NM_117858.3.p1	XM_006477049.4.p1, XM_006477050.4.p1
OG0000902	NM_001123778.2.p1, NM_001331788.1.p1	XM_052432125.1.p1
OG0000902	NM_128621.3.p1	XM_015530876.3.p1, XM_015530877.3.p1
OG0000903	NM_001125628.4.p1	XM_025097960.2.p1
OG0000903	NM_117409.5.p1	XM_052435725.1.p1, XM_052435728.1.p1, XM_025097386.2.p1
OG0000904	NM_114190.3.p1, NM_001161189.1.p1, NM_122091.3.p1	XM_006474513.4.p1
OG0000904	NM_112277.4.p1, NM_001338113.1.p1	XM_052444220.1.p1, XM_025098270.2.p1, XM_006465762.4.p1
OG0000905	NM_001334708.1.p1, NM_202421.3.p1	XM_006473649.4.p1, XM_006473650.4.p1
OG0000905	NM_001340497.1.p1, NM_001340499.1.p1, NM_001203865.1.p1, NM_001341523.1.p1, NM_118315.2.p1, NM_001340500.1.p1, NM_116710.3.p1	XM_006467377.4.p1
OG0000905	NM_103952.4.p1, NM_001333450.1.p1, NM_112932.3.p1	XM_052433188.1.p1, XM_052433190.1.p1, XM_052433189.1.p1
OG0000906	NM_001203932.1.p1, NM_001341927.1.p1, NM_001203933.2.p1	XM_006470583.3.p1, XM_006473189.4.p1, XM_006484802.4.p1, XM_015532169.3.p1, XM_006468013.4.p1, XM_052445106.1.p1
OG0000906	NM_179668.2.p1, NM_001335676.1.p1	XM_025097986.2.p1
OG0000907	NM_112660.6.p1	XM_052436324.1.p1
OG0000907	NM_126249.5.p1	XM_006469238.4.p1
OG0000908	NM_101532.3.p1, NM_001332246.1.p1, NM_001332252.1.p1, NM_001332247.1.p1, NM_001334866.1.p1, NM_106550.4.p1	XM_015533380.3.p1
OG0000909	NM_001342459.1.p1, NM_119947.3.p1, NM_201783.2.p1, NM_127837.4.p1, NM_001335811.1.p1, NM_001335812.1.p1	XM_006466313.4.p1
OG0000910	NM_115208.4.p1, NM_129284.2.p1, NM_001336646.1.p1, NM_001336645.1.p1	XM_052443617.1.p1, XM_052443458.1.p1, XM_052443453.1.p1
OG0000910	NM_001341007.1.p1	XM_052436623.1.p1, XM_006477788.3.p1, XM_052436381.1.p1, XM_006493278.3.p1
OG0000911	NM_001342421.1.p1, NM_001342422.1.p1, NM_001342423.1.p1, NM_119849.6.p1	XM_006466646.3.p1
OG0000911	NM_118129.1.p1, NM_001336887.1.p1, NM_001336886.1.p1, NM_180009.2.p1, NM_001336888.1.p1	XM_025100012.2.p1, XM_006481247.4.p1, XM_006481244.4.p1
OG0000912	NM_001342880.1.p1, NM_203013.3.p1, NM_203012.1.p1, NM_001342881.1.p1, NM_120734.4.p1, NM_001337602.1.p1, NM_111443.4.p1	XM_006481552.4.p1
OG0000913	NM_122573.4.p1, NM_001343986.1.p1, NM_111449.4.p1, NM_001337606.1.p1, NM_115727.7.p1	XM_006472115.4.p1
OG0000914	NM_001338647.1.p1, NM_113263.4.p1	XM_052435551.1.p1, XM_052435553.1.p1, XM_015533572.3.p1, XM_006489186.4.p1, XM_006489184.4.p1, XM_015533632.3.p1
OG0000915	NM_001339034.1.p1, NM_001339036.1.p1, NM_001339035.1.p1	XM_052438599.1.p1, XM_025100024.2.p1, XR_003065985.2.p1, XR_003065986.2.p1, XM_052443643.1.p1, XM_006482709.4.p1, XM_052443644.1.p1, XM_006482708.4.p1
OG0000916	NM_116753.1.p1, NM_116751.4.p1, NM_001340533.1.p1, NM_001340532.1.p1	XM_006467854.4.p1
OG0000916	NM_111834.1.p1	XM_025095124.2.p1, XM_006469754.4.p1
OG0000917	NM_001343618.1.p1	XM_006492595.4.p1
OG0000917	NM_102980.4.p1	XM_006485360.4.p1
OG0000917	NM_118288.4.p1	XM_006464279.4.p1
OG0000918	NM_113718.5.p1	XM_006470289.4.p1
OG0000918	NM_123390.3.p1	XM_015533452.3.p1, XM_052432670.1.p1
OG0000918	NM_125680.3.p1, NM_001345563.1.p1	XM_052437779.1.p1
OG0000919	NM_101906.4.p1	XM_006473713.3.p1
OG0000919	NM_127319.4.p1	XM_006466997.4.p1
OG0000920	NM_202218.3.p1, NM_102920.3.p1, NM_102919.4.p1, NM_120645.3.p1	XM_052442242.1.p1
OG0000921	NM_115522.4.p1, NM_103176.2.p1	XM_006482314.3.p1, XM_006481966.4.p1, XM_006481967.4.p1
OG0000922	NM_128206.3.p1	XM_006473345.4.p1
OG0000922	NM_112781.3.p1, NM_103834.4.p1	XM_006479284.4.p1
OG0000922	NM_114899.4.p1	XM_006466682.4.p1
OG0000923	NM_105572.5.p1	XM_006482380.4.p1, XM_025099711.2.p1, XM_015531849.3.p1, XM_006484200.4.p1
OG0000924	NM_114187.5.p1, NM_122090.4.p1	XM_006474520.1.p1
OG0000924	NM_124296.3.p1	XM_006488970.4.p1
OG0000924	NM_116461.4.p1	XM_006479940.4.p1
OG0000925	NM_114739.2.p1, NM_122273.3.p1	XM_006485057.4.p1
OG0000926	NM_116301.3.p1	XM_006490951.4.p1, XM_025092502.2.p1
OG0000929	NM_122748.3.p1, NM_111339.3.p1, NM_001035557.2.p1	XM_006487719.4.p1
OG0000929	NM_128611.3.p1	XM_025098927.2.p1, XM_006479516.4.p1, XM_052437069.1.p1
OG0000930	NM_201896.2.p1, NM_129312.4.p1	XM_006480702.4.p1
OG0000930	NM_180240.2.p1, NM_202565.2.p1, NM_001035604.2.p1, NM_112092.3.p1	XM_006488235.4.p1, XM_006486025.4.p1
OG0000931	NM_101157.3.p1, NM_001332053.1.p1, NM_001332054.1.p1, NM_001338834.1.p1, NM_001338833.1.p1, NM_001035697.2.p1, NM_113586.4.p1	XM_006468819.4.p1
OG0000932	NM_001035927.2.p1, NM_001331791.1.p1, NM_001331792.1.p1, NM_001331793.1.p1	XM_006471741.4.p1, XM_006471739.3.p1, XM_006471740.3.p1
OG0000933	NM_126013.2.p1	XM_006466911.3.p1
OG0000933	NM_113583.4.p1, NM_001338823.1.p1, NM_001338824.1.p1, NM_001338825.1.p1	XM_006468830.4.p1
OG0000933	NM_180706.3.p1, NM_001036801.1.p1	XM_052434835.1.p1
OG0000934	NM_001344052.1.p1, NM_122684.2.p1, NM_122683.2.p1, NM_102161.4.p1, NM_105756.4.p1, NM_001084338.2.p1, NM_105755.3.p1, NM_105752.4.p1, NM_105753.4.p1	XM_006469126.4.p1, XM_006469256.4.p1, XM_006469131.4.p1, XM_006469127.3.p1
OG0000935	NM_001339437.1.p1, NM_001084796.1.p1, NM_125978.4.p1	XM_006466353.4.p1
OG0000936	NM_001341716.1.p1, NM_118619.3.p1, NM_001341714.1.p1	XM_015529815.3.p1, XM_006476950.4.p1
OG0000936	NM_001123748.2.p1, NM_100170.4.p1, NM_116481.3.p1	XM_006479865.4.p1
OG0000937	NM_180058.2.p1, NM_001202810.1.p1, NM_001337019.1.p1	XR_008055731.1.p1, XM_052443468.1.p1, XM_052443467.1.p1, XM_015531096.3.p1, XM_015531095.3.p1
OG0000938	NM_123757.5.p1, NM_100297.3.p1, NM_001331465.1.p1, NM_119015.4.p1, NM_001335672.1.p1, NM_001335673.1.p1	XM_006479341.4.p1
OG0000938	NM_100339.2.p1	XM_006493928.3.p1
OG0000939	NM_001332149.1.p1, NM_101379.5.p1	XM_006468721.4.p1
OG0000940	NM_001332367.1.p1, NM_001332366.1.p1, NM_101733.6.p1	XM_025098877.2.p1, XM_052438491.1.p1, XM_052438492.1.p1, XM_025098875.2.p1, XM_025098874.2.p1, XM_006477404.4.p1
OG0000940	NM_001335157.1.p1, NM_001335153.1.p1, NM_001335154.1.p1	XM_052439545.1.p1, XM_052439544.1.p1, XM_052439548.1.p1
OG0000941	NM_001344911.1.p1, NM_124464.3.p1	XM_006485065.4.p1
OG0000941	NM_001333657.1.p1, NM_104338.7.p1	XR_371860.3.p1, XM_006471733.4.p1, XM_052442082.1.p1
OG0000942	NM_115158.1.p1, NM_001335273.1.p1, NM_126543.7.p1, NM_001335272.1.p1	XM_015529217.3.p1, XM_052433792.1.p1, XM_006469438.4.p1, XM_025094785.2.p1
OG0000943	NM_112127.4.p1	XM_052433172.1.p1
OG0000943	NM_129861.3.p1, NM_001337006.1.p1	XM_006484847.4.p1
OG0000944	NM_120027.4.p1	XM_025102422.2.p1, XR_003066983.2.p1
OG0000944	NM_001341648.1.p1, NM_118551.3.p1, NM_001341652.1.p1, NM_001341650.1.p1	XM_006473609.4.p1
OG0000945	NM_001344111.1.p1, NM_126607.3.p1	XM_006474663.4.p1
OG0000945	NM_105913.2.p1	XM_006465847.4.p1
OG0000945	NM_128186.3.p1	XM_006474612.3.p1
OG0000946	NM_124693.4.p1, NM_001345034.1.p1	XM_006490486.3.p1
OG0000947	NM_113373.2.p1, NM_117395.3.p1	XM_006475627.4.p1
OG0000947	NM_106635.4.p1, NM_104103.6.p1	XM_006465556.4.p1
OG0000948	NM_105968.3.p1, NM_120576.1.p1, NM_180436.2.p1	XM_006471204.4.p1
OG0000949	NM_180157.1.p1, NM_110974.5.p1	XM_006482584.4.p1, XM_006482583.4.p1
OG0000950	NM_122964.3.p1	XM_006469476.3.p1
OG0000950	NM_124126.3.p1, NM_117834.7.p1	XM_052434389.1.p1, XM_006468120.4.p1
OG0000950	NM_117367.3.p1, NM_113435.3.p1	XM_015532175.3.p1
OG0000951	NM_117416.3.p1	XM_006466084.3.p1
OG0000952	NM_120937.5.p1	XM_015532064.3.p1
OG0000953	NM_128325.3.p1	XM_006478060.3.p1
OG0000953	NM_129769.3.p1	XM_006492851.3.p1
OG0000954	NM_123523.3.p1	XM_006477451.3.p1
OG0000954	NM_129421.4.p1	XM_006481205.4.p1
OG0000955	NM_124078.3.p1	XM_006476998.4.p1
OG0000960	NM_001084049.2.p1	XM_025101936.2.p1, XM_025101939.2.p1, XM_006487114.4.p1, XM_015532921.3.p1
OG0000961	NM_001084516.2.p1, NM_001336316.1.p1, NM_128667.2.p1, NM_129818.4.p1	XM_006468973.4.p1
OG0000961	NM_102646.5.p1, NM_128958.3.p1, NM_001336483.1.p1	XM_052431496.1.p1
OG0000962	NM_123559.5.p1	XM_006476233.4.p1, XM_006476232.4.p1
OG0000962	NM_114795.4.p1, NM_124737.3.p1, NM_001161305.1.p1	XM_006493101.4.p1, XM_006493100.4.p1
OG0000963	NM_128602.5.p1, NM_001202712.2.p1	XM_052444036.1.p1, XM_006464889.4.p1, XM_006464888.4.p1, XM_006464890.4.p1
OG0000964	NM_001203516.2.p1, NM_123478.4.p1, NM_001344386.1.p1, NM_123477.5.p1, NM_001344384.1.p1, NM_113596.2.p1, NM_001338835.1.p1, NM_111069.4.p1	XM_052434170.1.p1, XM_025095620.2.p1, XM_025095622.2.p1, XM_006468789.4.p1, XM_006468787.3.p1, XM_025095508.2.p1, XM_006468788.4.p1, XM_006468793.4.p1, XM_006468795.4.p1, XM_025095510.2.p1, XM_006468794.4.p1
OG0000965	NM_001335712.1.p1, NM_001335711.1.p1, NM_127653.5.p1	XM_015534356.3.p1
OG0000966	NM_001331993.1.p1, NM_101024.2.p1, NM_116246.3.p1, NM_103562.3.p1, NM_104855.4.p1, NM_116263.2.p1	XM_015526294.1.p1
OG0000967	NM_001332375.1.p1, NM_101741.4.p1, NM_106127.5.p1	XM_006476575.4.p1
OG0000968	NM_106649.3.p1, NM_202458.2.p1, NM_001334947.1.p1	XM_052444505.1.p1, XM_052444503.1.p1
OG0000969	NM_111272.4.p1, NM_121827.2.p1, NM_105150.3.p1, NM_001335636.1.p1	XM_006479024.4.p1, XM_006479264.4.p1
OG0000970	NM_120410.5.p1, NM_001342698.1.p1, NM_001337847.1.p1, NM_202541.3.p1, NM_111818.4.p1	XM_006481419.4.p1, XM_015531317.3.p1
OG0000970	NM_179980.4.p1, NM_001336757.1.p1	XM_006485570.4.p1, XM_006485571.4.p1
OG0000971	NM_001337659.1.p1, NM_111523.3.p1	XM_006488707.4.p1
OG0000971	NM_001343345.1.p1, NM_121465.4.p1, NM_001343347.1.p1, NM_001343346.1.p1, NM_180161.2.p1	XM_006470234.3.p1
OG0000972	NM_124232.4.p1, NM_001344777.1.p1, NM_111613.5.p1, NM_001337703.1.p1	XM_015532152.3.p1, XM_015532153.2.p1
OG0000973	NM_112644.3.p1, NM_001338295.1.p1	XM_006478479.2.p1
OG0000973	NM_123525.4.p1, NM_001344404.1.p1	XM_006476393.3.p1
OG0000973	NM_118501.5.p1	XM_006476391.4.p1
OG0000974	NM_126680.4.p1, NM_122930.3.p1	XM_052434233.1.p1
OG0000974	NM_112910.5.p1, NM_001338461.1.p1, NM_103943.3.p1	XM_052431352.1.p1
OG0000974	NR_142381.1.p1, NM_119274.5.p1	XM_006483579.4.p1
OG0000975	NM_121965.4.p1	XM_052437047.1.p1, XM_006475647.3.p1
OG0000975	NM_001339539.1.p1	XM_006479608.4.p1
OG0000975	NM_116504.3.p1	XM_006489387.4.p1
OG0000976	NM_112225.5.p1	XM_015532688.3.p1
OG0000976	NM_125070.3.p1, NM_001339590.1.p1, NM_001341781.1.p1, NM_118747.3.p1, NM_001341777.1.p1, NM_001341778.1.p1, NM_001341779.1.p1, NM_001341782.1.p1, NM_001341783.1.p1, NM_179222.2.p1	XM_025097133.2.p1, NM_001288916.1.p1
OG0000977	NM_130261.3.p1, NM_116071.5.p1, NM_001340136.1.p1	XM_006492376.4.p1
OG0000977	NM_111465.5.p1, NM_001343974.1.p1, NM_203108.2.p1, NM_180547.3.p1	XM_006480273.3.p1
OG0000978	NM_001341292.1.p1, NM_001341293.1.p1	XM_006467608.4.p1
OG0000979	NM_125009.4.p1, NM_001345190.1.p1, NM_001345193.1.p1, NM_001345192.1.p1, NM_001345191.1.p1	XM_006474686.4.p1
OG0000979	NM_111145.4.p1, NM_121650.4.p1	XM_006480365.4.p1
OG0000980	NM_125521.2.p1, NM_001345465.1.p1	XM_025098357.2.p1, XM_025098356.2.p1, XM_025098358.2.p1
OG0000981	NM_116332.4.p1, NM_100018.5.p1	XM_052437119.1.p1
OG0000981	NM_118930.3.p1, NM_124695.4.p1	XM_015529660.3.p1, XM_006476333.4.p1, XM_006490493.4.p1
OG0000982	NM_113425.2.p1	XM_006492580.3.p1
OG0000982	NM_106330.4.p1, NM_114234.2.p1, NM_114231.1.p1, NM_101968.3.p1	XM_006472905.4.p1
OG0000983	NM_104462.4.p1	XM_025097277.2.p1, XM_025097278.2.p1, XM_006475048.4.p1, XM_006474804.4.p1
OG0000984	NM_105882.3.p1	XM_006472941.4.p1
OG0000984	NM_115891.2.p1, NM_115892.4.p1, NM_130043.3.p1	XM_006464772.4.p1
OG0000985	NM_111393.3.p1, NM_122624.4.p1	XM_006495311.4.p1, XM_006472476.4.p1, XM_006471886.4.p1
OG0000986	NM_129157.3.p1, NM_111997.3.p1, NM_120715.3.p1, NM_129098.1.p1	XM_006481521.4.p1
OG0000987	NM_113191.2.p1	XM_052441892.1.p1
OG0000987	NM_116203.3.p1	XM_006479572.4.p1
OG0000988	NM_115457.3.p1	XM_006486242.4.p1
OG0000989	NM_116232.5.p1, NM_130079.3.p1	XM_006477152.3.p1, XM_006490802.4.p1, XM_006490801.4.p1
OG0000990	NM_128075.7.p1, NM_119343.4.p1	XM_006483390.4.p1, XM_006485973.3.p1, XM_006473926.4.p1
OG0000991	NM_128909.3.p1	XM_006468779.4.p1, XM_006482966.3.p1
OG0000994	NM_001035780.3.p1, NM_001339659.1.p1	XM_006471281.4.p1
OG0000995	NM_179290.3.p1, NM_100786.4.p1	XM_006472097.3.p1
OG0000995	NM_105512.3.p1, NM_001036175.2.p1	XM_006468678.4.p1, XM_015527263.3.p1, XM_015527262.3.p1
OG0000996	NM_001203656.2.p1, NM_125513.2.p1, NM_001125997.1.p1, NM_001342966.1.p1, NM_001036773.2.p1	XM_006477562.4.p1, XM_052438529.1.p1, XM_025098706.2.p1, XM_052438531.1.p1
OG0000997	NM_105241.4.p1	XM_006490785.4.p1
OG0000998	NM_001339436.1.p1, NM_001125329.2.p1	XM_025102697.2.p1, XM_006466318.4.p1, XM_006466316.4.p1, XM_006466314.4.p1
OG0000999	NM_100081.5.p1, NM_001197959.1.p1, NM_001331318.1.p1, NM_001331319.1.p1, NM_001331320.1.p1	XM_025092497.2.p1
OG0000999	NM_101108.4.p1	XM_006486737.4.p1, XM_025092642.2.p1, XM_006491491.4.p1
OG0001000	NM_001333118.1.p1, NM_001333119.1.p1, NM_103195.4.p1, NM_001333117.1.p1	XM_006472536.4.p1
