Orthogroup	Arabidopsis_thaliana_rna_prot	Solanum_tuberosum_rna_prot
OG0001108	NM_202526.2.p1, NM_001337759.1.p1	XM_006345402.2.p1, XM_006345401.2.p1, XR_366594.2.p1, XM_006338836.2.p1
OG0001109	NM_001338718.1.p1, NM_113400.4.p1	XM_015311030.1.p1, XM_015313094.1.p1
OG0001110	NM_123905.2.p1, NM_203158.2.p1, NM_001344615.1.p1, NM_001344616.1.p1, NM_203159.1.p1, NM_001341330.1.p1, NM_118038.5.p1, NM_114456.3.p1	XM_015314603.1.p1, XM_006359901.2.p1, XM_006359903.2.p1, XM_015314604.1.p1, XM_015314605.1.p1, XM_006359902.2.p1, XM_015306575.1.p1, XM_006342425.2.p1
OG0001111	NM_125292.4.p1, NM_128505.5.p1	XM_006350744.2.p1
OG0001112	NM_119980.3.p1	XM_006342772.1.p1, XM_006365250.2.p1
OG0001112	NM_001343473.1.p1, NM_111175.3.p1	XM_006352854.2.p1, XM_006361200.2.p1, XM_006347514.2.p1
OG0001113	NM_001345123.1.p1	XM_006352468.2.p1
OG0001114	NM_100659.5.p1	XM_006367598.2.p1, XM_006365096.2.p1
OG0001114	NM_123510.4.p1, NM_117206.4.p1, NM_118478.5.p1	XM_006360632.2.p1, XM_006343880.2.p1
OG0001115	NM_104925.2.p1, NM_101079.2.p1	XM_006352294.2.p1, XM_006346747.2.p1, XM_006365792.2.p1
OG0001117	NM_102245.2.p1	XM_006355905.2.p1
OG0001117	NM_123389.4.p1	XM_006344972.2.p1, XM_006338480.2.p1, XM_006357085.2.p1
OG0001118	NM_102587.2.p1, NM_102588.3.p1, NM_201863.2.p1, NM_128934.3.p1	XM_006366353.2.p1, XM_006358930.2.p1, XM_006338041.2.p1, XM_006357861.2.p1, XM_015313672.1.p1, XM_006357863.1.p1, XM_006364644.2.p1
OG0001119	NM_103813.4.p1	XM_006351041.2.p1, XM_006351038.2.p1, XM_006351128.2.p1, XM_006351040.2.p1, XM_006350986.2.p1
OG0001120	NM_114148.3.p1	XM_006342294.2.p1
OG0001121	NM_120067.7.p1	XM_006361981.2.p1
OG0001121	NM_106207.4.p1	XM_006341939.2.p1, XM_006342513.2.p1
OG0001122	NM_120980.3.p1	XM_006359733.1.p1
OG0001122	NM_106471.6.p1	XM_006364798.2.p1
OG0001123	NM_111248.5.p1	XM_006347652.2.p1, XM_006345302.2.p1, XM_006339147.2.p1
OG0001124	NM_129564.3.p1, NM_115048.7.p1	XM_006366292.2.p1
OG0001124	NM_127641.4.p1	XM_006343184.2.p1, XM_006347006.2.p1
OG0001125	NM_116772.4.p1, NM_202853.3.p1, NM_118235.4.p1	XM_006363593.2.p1, XM_006363592.2.p1
OG0001126	NM_127583.5.p1, NM_202904.2.p1	XM_015309977.1.p1, XM_006350227.2.p1, XM_015311045.1.p1, XM_006352654.2.p1
OG0001127	NM_180860.2.p1	XM_006362903.2.p1, XM_006367879.2.p1, XM_006360039.2.p1
OG0001131	NM_001344270.1.p1, NM_001344269.1.p1, NM_113938.3.p1, NM_001339051.1.p1, NM_001035718.1.p1	XM_006356769.2.p1, XM_015306561.1.p1, XM_015304530.1.p1
OG0001132	NM_114511.4.p1, NM_001035743.2.p1, NM_125319.3.p1, NM_001345342.1.p1, NM_001345343.1.p1, NM_128436.5.p1, NM_201826.3.p1	XM_015309441.1.p1
OG0001133	NM_001036084.2.p1, NM_103820.4.p1, NM_112768.3.p1	NM_001287909.1.p1
OG0001133	NM_104107.3.p1, NM_112480.4.p1	XM_006343004.2.p1
OG0001134	NM_001125794.3.p1, NM_122258.3.p1, NM_111227.4.p1	XR_367965.2.p1, XM_015312609.1.p1
OG0001135	NM_001342229.1.p1, NM_001160813.1.p1, NM_001342230.1.p1, NM_001335824.1.p1, NM_179701.2.p1, NM_001335825.1.p1, NM_119943.3.p1	XM_006367038.2.p1, XM_006367036.2.p1
OG0001136	NM_001332836.1.p1, NM_001332837.1.p1, NM_001198181.1.p1, NM_102653.4.p1	XM_006362354.2.p1, XM_015302971.1.p1
OG0001137	NM_106301.4.p1, NM_001334729.1.p1, NM_001198482.2.p1, NM_001332476.1.p1, NM_101944.3.p1	XM_015306443.1.p1, XM_006342124.2.p1
OG0001138	NM_001202966.1.p1, NM_112342.4.p1, NM_104225.2.p1, NM_106508.3.p1	XM_006360829.2.p1
OG0001138	NM_001335527.1.p1	XM_006342643.2.p1, XR_001472824.1.p1
OG0001139	NM_001331724.1.p1, NM_128424.3.p1, NM_001336183.1.p1	XM_006363330.2.p1, XM_006363328.2.p1
OG0001140	NM_102957.4.p1, NM_001333001.1.p1	XM_006361206.2.p1, XM_006365909.2.p1, XM_006352845.2.p1
OG0001141	NM_117032.4.p1, NM_103169.3.p1, NM_001334507.1.p1, NM_105848.5.p1	XM_006351090.2.p1
OG0001142	NM_113353.8.p1, NM_001338683.1.p1, NM_001340855.1.p1, NM_001340856.1.p1, NM_001340854.1.p1, NM_117408.4.p1	XM_006347725.2.p1
OG0001143	NM_122456.4.p1, NM_121180.4.p1, NM_001342152.1.p1, NM_001342153.1.p1, NM_119398.4.p1	XM_006364216.2.p1
OG0001144	NM_001344637.1.p1, NM_123938.4.p1, NM_203162.2.p1, NM_001344638.1.p1, NM_118004.3.p1	XM_015312671.1.p1, XR_367992.2.p1, XR_001474523.1.p1, XM_015312672.1.p1, XM_015313781.1.p1
OG0001145	NM_116044.4.p1	XM_006362076.2.p1, XM_006339656.2.p1, XM_006345492.2.p1
OG0001146	NM_126084.3.p1, NM_001345806.1.p1	XM_006354862.2.p1, XM_015312085.1.p1, XM_006342547.2.p1, XM_006342546.2.p1, XM_006360167.2.p1, XM_006338157.2.p1
OG0001147	NM_123590.6.p1	XM_015306597.1.p1, XM_006342044.2.p1
OG0001147	NM_102093.5.p1, NM_202860.1.p1, NM_102092.6.p1	XM_006363222.2.p1, XM_006363224.2.p1
OG0001148	NM_105600.4.p1	XM_006348651.2.p1, XM_006359519.2.p1
OG0001149	NM_180322.2.p1, NM_114279.4.p1, NM_122127.3.p1	XM_006340256.2.p1
OG0001150	NM_120843.1.p1	XM_015312449.1.p1
OG0001151	NM_122260.4.p1	XM_006365861.2.p1, XM_006365862.2.p1
OG0001157	NM_130042.1.p1, NM_001035823.2.p1, NM_115890.4.p1, NM_001084851.2.p1	XM_006347922.2.p1, XM_006347921.2.p1, XM_006338844.2.p1
OG0001158	NM_001036395.1.p1, NM_128898.4.p1, NM_001344085.1.p1, NM_124906.3.p1, NM_118808.5.p1	XM_006342621.2.p1, XM_006354472.1.p1
OG0001159	NM_113454.3.p1, NM_001203043.1.p1	XM_006348555.2.p1, XM_006367468.2.p1
OG0001159	NM_111114.2.p1, NM_001036811.1.p1	XM_006338235.2.p1
OG0001160	NM_001083975.2.p1, NM_001337149.1.p1, NM_130135.4.p1, NM_001337148.1.p1, NM_001337150.1.p1	XM_006339412.2.p1
OG0001161	NM_001084073.1.p1, NM_101437.5.p1	XM_006341337.2.p1
OG0001162	NM_001084841.2.p1, NM_115729.4.p1, NM_001203199.1.p1, NM_001339929.1.p1, NM_001084573.2.p1, NM_001336991.1.p1	XM_006364037.2.p1, XM_006348817.2.p1
OG0001163	NM_001339661.1.p1, NM_180371.2.p1, NM_001084815.2.p1	XM_006356697.2.p1
OG0001164	NM_124057.4.p1, NM_117882.3.p1, NM_001084934.1.p1	NM_001288293.1.p1, XM_006365913.2.p1, XM_006349022.2.p1
OG0001164	NM_121689.4.p1	XM_006347416.2.p1
OG0001166	NM_001335052.1.p1, NM_126189.4.p1, NM_001337114.1.p1, NM_001123917.1.p1, NM_001337812.1.p1, NM_111770.3.p1	XM_006348504.2.p1, XM_015311960.1.p1, XM_015311961.1.p1
OG0001167	NM_001338533.1.p1	XM_015309793.1.p1, XM_006342694.2.p1
OG0001168	NM_126589.3.p1, NM_118831.4.p1	XM_006346149.2.p1, XM_006351900.2.p1, XM_006366528.2.p1
OG0001169	NM_001339674.1.p1, NM_001339673.1.p1, NM_001203160.1.p1, NM_115307.5.p1, NM_001339672.1.p1, NM_001339675.1.p1	XM_006365386.2.p1, XM_006365385.2.p1
OG0001170	NM_001332232.1.p1, NM_001332234.1.p1, NM_202114.2.p1, NM_001332233.1.p1	XM_006364575.2.p1
OG0001170	NM_001345527.1.p1, NM_125606.3.p1, NM_001203663.1.p1	NM_001288135.1.p1, XM_006353315.2.p1, XM_006340463.2.p1
OG0001171	NM_116601.1.p1, NM_116785.4.p1, NM_001340555.1.p1, NM_001203754.1.p1, NM_116787.1.p1, NM_179199.2.p1	XM_015303011.1.p1, XM_006362443.2.p1, XM_015303010.1.p1, XM_015311145.1.p1, XM_006352148.2.p1, XM_006362446.2.p1, XM_006339316.2.p1
OG0001172	NM_001203890.1.p1	XM_006343775.2.p1
OG0001172	NM_148482.5.p1, NM_105805.6.p1	XM_006356868.2.p1, XM_006356869.2.p1
OG0001173	NM_116258.4.p1	XM_006339539.2.p1
OG0001173	NM_118696.5.p1, NM_001203909.1.p1, NM_001341758.1.p1	XM_006363268.2.p1, XM_006353844.2.p1, XM_006353842.2.p1, XM_006353839.2.p1, XM_006353843.2.p1
OG0001174	NM_100554.5.p1, NM_202046.2.p1, NM_001331667.1.p1, NM_001336274.1.p1, NM_128610.3.p1, NM_001336273.1.p1	XM_006351569.2.p1, XM_015311061.1.p1, XM_006352690.2.p1, XM_006366602.2.p1
OG0001175	NM_104616.5.p1, NM_001331877.1.p1	XM_015313112.1.p1
OG0001176	NM_104227.2.p1, NM_001333596.1.p1	XM_015310309.1.p1, XM_006351017.2.p1
OG0001177	NM_001335736.1.p1, NM_127695.3.p1, NM_001335735.1.p1, NM_201773.3.p1, NM_179189.4.p1	XM_006341957.2.p1, XM_015306416.1.p1, XM_006359546.2.p1
OG0001178	NM_001337948.1.p1	XM_006339264.2.p1
OG0001178	NM_100716.5.p1, NM_100717.2.p1, NM_001336111.1.p1, NM_128282.1.p1	XM_006362837.2.p1
OG0001179	NM_001337935.1.p1, NM_111985.5.p1, NM_120697.3.p1	XM_006364726.2.p1, XM_015304096.1.p1, XM_006339192.2.p1
OG0001179	NM_128233.3.p1	XM_006362669.2.p1, XM_006361080.2.p1
OG0001180	NM_116505.2.p1, NM_100190.4.p1	XM_006349646.2.p1
OG0001180	NM_001338597.1.p1, NM_001340967.1.p1	XM_015313546.1.p1, XM_015314978.1.p1
OG0001181	NM_001340183.1.p1	XM_006342687.2.p1, XM_006342684.2.p1, XM_006342688.2.p1, XM_015304992.1.p1, XM_006366611.2.p1, XM_006366612.2.p1, XM_006359351.2.p1
OG0001182	NM_001343196.1.p1, NM_001343199.1.p1, NM_001343197.1.p1, NM_001342169.1.p1	XM_015315470.1.p1, XM_006340204.2.p1, XM_006366149.2.p1
OG0001183	NM_119654.2.p1, NM_001342309.1.p1	XM_015302838.1.p1, XM_015314517.1.p1, XM_015314518.1.p1, XM_006359659.2.p1
OG0001185	NM_148764.1.p1, NM_120876.3.p1, NM_001342969.1.p1, NM_120880.4.p1, NM_001342971.1.p1	XM_006364859.2.p1, XM_006354693.2.p1, XM_015307709.1.p1, XM_015307707.1.p1, XM_006345078.2.p1
OG0001186	NM_001342977.1.p1, NM_125490.3.p1	XM_006354689.2.p1, XM_006345054.2.p1
OG0001186	NM_111082.4.p1, NM_180170.3.p1	XM_006365599.2.p1, XM_006338295.2.p1
OG0001187	NM_111974.4.p1	XM_006344520.2.p1, XM_006355632.2.p1
OG0001187	NM_128492.3.p1, NM_100617.3.p1, NM_125312.3.p1, NM_001345339.1.p1	XM_006350727.2.p1
OG0001188	NM_119798.1.p1, NM_104516.1.p1, NM_114481.1.p1, NM_127370.1.p1	XM_006360480.2.p1
OG0001188	NM_179629.2.p1, NM_127196.4.p1	XM_006361960.1.p1, XM_006361959.2.p1
OG0001189	NM_119938.4.p1, NM_127848.4.p1	XR_368685.2.p1, XM_006364340.2.p1, XR_368683.2.p1
OG0001189	NM_104624.4.p1	XM_015313121.1.p1
OG0001190	NM_110972.2.p1, NM_121539.4.p1	XM_006338351.2.p1
OG0001190	NM_201810.2.p1	XM_006338352.2.p1
OG0001191	NM_113102.4.p1, NM_113094.2.p1, NM_113095.2.p1, NM_113096.2.p1, NM_113097.1.p1, NM_113092.5.p1, NM_128719.1.p1, NM_113090.2.p1, NM_115693.2.p1	XM_006365822.2.p1
OG0001192	NM_116548.2.p1	XM_006366307.2.p1
OG0001193	NM_114084.3.p1	XM_015310446.1.p1, XM_015307756.1.p1
OG0001194	NM_127411.2.p1, NM_119838.3.p1	XM_006363078.2.p1, XM_006346871.2.p1
OG0001194	NM_126068.3.p1	XM_006366925.2.p1, XM_006366923.2.p1, XM_006366921.2.p1, XM_015313739.1.p1
OG0001195	NM_129597.4.p1, NM_120621.2.p1	XM_006355575.2.p1, XM_006355680.1.p1, XM_006355573.2.p1, XM_006355576.2.p1, XM_006367483.2.p1, XM_006353356.2.p1
OG0001195	NM_128574.4.p1	XM_006350862.2.p1, XM_006350802.2.p1
OG0001196	NM_128854.4.p1	XM_015313697.1.p1
OG0001196	NM_128262.4.p1	XM_006362679.1.p1, XM_006347206.2.p1
OG0001196	NM_122122.3.p1	XM_006347628.1.p1
OG0001197	NM_179939.2.p1	XM_006354334.2.p1, XM_015311840.1.p1, XM_015309707.1.p1, XM_006339034.2.p1
OG0001197	NM_128357.7.p1	XM_006348983.2.p1
OG0001198	NM_179737.2.p1	XM_006366145.2.p1, XM_006340206.1.p1
OG0001202	NM_001035845.2.p1	XM_006345399.2.p1
OG0001203	NM_124004.3.p1, NM_001344673.1.p1, NM_001036034.2.p1, NM_001332877.1.p1, NM_102729.3.p1, NM_001036401.3.p1, NM_001036402.3.p1	XM_006355543.2.p1, XM_006356022.2.p1
OG0001203	NM_111531.5.p1, NM_001084647.5.p1	XM_006337941.2.p1
OG0001204	NM_001198095.1.p1, NM_101621.3.p1, NM_202122.2.p1, NM_001334553.1.p1, NM_001036195.5.p1, NM_105941.8.p1	XM_006342889.2.p1
OG0001205	NM_001036413.3.p1, NR_140731.1.p1	XM_006361029.2.p1, XM_006362785.2.p1, XM_006348405.2.p1
OG0001206	NM_001036428.3.p1, NM_115248.2.p1, NM_001339641.1.p1, NM_129335.5.p1	XM_006340933.2.p1, XM_006340932.2.p1
OG0001207	NM_104923.4.p1, NM_001036620.2.p1, NM_118360.3.p1	NM_001288218.1.p1, XM_006355994.2.p1, XM_015312644.1.p1
OG0001208	NM_202196.3.p1, NM_001332801.1.p1, NM_001084145.1.p1, NM_102575.3.p1	XM_006346575.2.p1
OG0001209	NM_001084543.2.p1, NM_001342721.1.p1, NM_001337851.1.p1, NM_111828.3.p1, NM_120442.4.p1	XM_006361387.2.p1, XM_006341178.2.p1
OG0001210	NM_129973.3.p1, NM_001084585.2.p1, NM_115855.4.p1	XM_006351022.2.p1, XM_006344885.2.p1
OG0001210	NM_120992.5.p1	XM_015310633.1.p1, XM_015310634.1.p1
OG0001211	NR_142409.1.p1, NM_121152.2.p1, NM_001335728.1.p1, NM_001335730.1.p1, NM_001335729.1.p1, NM_001085043.1.p1, NM_001335501.1.p1, NM_001335498.1.p1, NM_001124861.2.p1, NM_001335499.1.p1, NM_127243.3.p1, NM_001335500.1.p1, NM_179164.2.p1, NM_001085025.2.p1, NM_001125647.2.p1, NM_001342326.1.p1, NM_119677.3.p1, NM_001342325.1.p1	XM_006343088.2.p1
OG0001212	NM_101190.7.p1, NM_001123806.1.p1, NM_001332650.1.p1, NM_102289.4.p1	XM_006341709.2.p1
OG0001213	NM_104850.2.p1, NM_001198357.1.p1	XM_006352537.2.p1, XM_015310990.1.p1
OG0001214	NM_105138.5.p1, NM_123564.3.p1	XM_006343735.2.p1, XM_006343734.2.p1
OG0001215	NM_129392.4.p1	XM_006363553.2.p1, XM_006360765.2.p1
OG0001215	NM_129598.4.p1, NM_001339767.1.p1, NM_001339768.1.p1, NM_001203171.2.p1, NM_001342816.1.p1, NM_001342818.1.p1	XM_006353354.2.p1
OG0001216	NM_001203327.1.p1, NM_120890.3.p1, NM_001337487.1.p1	XM_006339131.2.p1, XM_006346487.2.p1
OG0001217	NM_115303.2.p1, NM_203043.2.p1, NM_001203366.1.p1, NM_121271.4.p1	XM_006356299.1.p1
OG0001218	NM_124085.5.p1, NM_001203825.2.p1, NM_001203826.1.p1	XM_006362416.2.p1, XM_006359159.2.p1, XM_006361095.2.p1
OG0001220	NM_105504.3.p1	XM_006344082.2.p1
OG0001220	NM_112715.2.p1, NM_103773.2.p1, NM_001333359.1.p1	XM_006341527.2.p1, XM_006353757.2.p1
OG0001220	NM_105375.3.p1	XM_006357787.2.p1, XM_006346843.2.p1
OG0001221	NM_180054.2.p1	XM_006366652.1.p1, XM_006366650.2.p1
OG0001221	NM_103941.2.p1, NM_001333443.1.p1	XM_006346107.2.p1, XM_006344819.2.p1
OG0001222	NM_001336202.1.p1, NM_128476.3.p1, NM_128475.4.p1	XM_015307077.1.p1, XM_006343682.2.p1, XM_006346645.2.p1, XM_006350721.2.p1, XM_015314073.1.p1
OG0001222	NM_111871.7.p1	XM_015315413.1.p1
OG0001223	NM_001336970.1.p1, NM_001336969.1.p1, NM_180038.2.p1, NM_129800.2.p1, NM_001336971.1.p1, NM_001339908.1.p1, NM_115674.4.p1	XM_006348220.2.p1, XM_006348779.2.p1
OG0001224	NM_111582.3.p1, NM_001337686.1.p1	XM_006364482.2.p1, XM_006350240.2.p1, XM_006350241.2.p1
OG0001225	NM_125204.3.p1	XM_006338064.2.p1
OG0001226	NM_104228.3.p1, NM_001338136.1.p1	XM_006348273.2.p1, XM_015314648.1.p1
OG0001227	NM_113076.3.p1, NM_001338550.1.p1	XM_006351893.2.p1, XM_006351895.2.p1, XM_015310724.1.p1
OG0001229	NM_001340187.1.p1, NM_001340188.1.p1	XM_006352746.2.p1
OG0001229	NM_121870.4.p1	XM_006356632.2.p1, XM_006342713.2.p1
OG0001230	NM_117933.6.p1, NM_001341268.1.p1, NM_001341270.1.p1, NM_001341269.1.p1	XM_015312642.1.p1
OG0001231	NM_100530.5.p1	XR_001475104.1.p1
OG0001232	NM_126441.1.p1, NM_101230.4.p1, NM_121588.3.p1, NM_123241.3.p1, NM_113954.2.p1	XM_006348561.2.p1, XM_006363509.2.p1, XM_006346806.2.p1, XM_006338252.2.p1
OG0001233	NM_106178.4.p1, NM_101801.3.p1	XM_006342521.2.p1, XM_006341887.2.p1
OG0001234	NM_113739.3.p1, NM_123378.3.p1	XM_006338464.2.p1
OG0001234	NM_102257.2.p1	XM_006355919.1.p1
OG0001234	NM_117877.2.p1, NM_124071.3.p1	XM_006362420.2.p1
OG0001235	NM_112083.4.p1	XM_006347621.2.p1
OG0001235	NM_121954.3.p1	XM_015303109.1.p1, XM_006340294.2.p1
OG0001236	NM_115032.3.p1	XM_006349508.2.p1, XM_006349509.2.p1, XM_006338898.2.p1, XM_006338897.2.p1, XM_006338899.2.p1
OG0001237	NM_115089.3.p1	XM_006340400.2.p1
OG0001237	NM_120382.4.p1	XM_006361725.2.p1, XM_015303551.1.p1
OG0001238	NM_117780.4.p1, NM_117849.4.p1, NM_124108.3.p1	XM_006359191.2.p1, XM_006358275.2.p1, XM_006367402.2.p1
OG0001238	NM_115903.3.p1, NM_130055.2.p1	XM_006347879.2.p1
OG0001239	NM_116025.4.p1, NM_180402.2.p1, NM_130189.3.p1	XM_015314956.1.p1, XM_015314954.1.p1, XM_015314955.1.p1, XM_006343840.2.p1, XM_006343954.2.p1, XM_015307135.1.p1, XM_006339601.2.p1, XM_015314040.1.p1, XM_006358588.2.p1
OG0001240	NM_123655.5.p1	XM_006354819.2.p1
OG0001244	NM_119387.3.p1, NM_001342136.1.p1	XM_006347802.2.p1
OG0001244	NM_001036227.3.p1, NM_202277.3.p1	XM_006356199.1.p1, XM_006346581.2.p1, XM_006341654.2.p1
OG0001245	NM_127704.3.p1, NM_120056.6.p1, NM_001342518.1.p1, NM_001342520.1.p1, NM_001036734.2.p1, NM_001342519.1.p1	XM_006361935.2.p1, XM_006340642.2.p1
OG0001246	NM_122088.4.p1, NM_001036837.2.p1, NM_114180.3.p1	XM_015309809.1.p1, XM_015307743.1.p1, XM_015311452.1.p1, XM_006353708.2.p1
OG0001247	NM_111283.4.p1, NM_101214.4.p1, NM_001084061.1.p1	XM_006347339.2.p1, NM_001288348.1.p1, NM_001288415.1.p1
OG0001248	NM_001084452.2.p1, NM_127544.3.p1, NM_119057.4.p1	XM_006353435.2.p1, XM_006353434.2.p1, XM_015311367.1.p1
OG0001250	NM_001343397.1.p1, NM_001337322.1.p1, NM_110979.2.p1, NM_001343396.1.p1, NM_121535.4.p1, NM_001085120.1.p1	XM_006344268.2.p1, XM_006338372.2.p1
OG0001251	NM_115153.4.p1, NM_001124981.1.p1, NM_001336598.1.p1, NM_129203.3.p1, NM_180428.2.p1, NM_120450.3.p1	XM_006341090.2.p1, NM_001288338.1.p1
OG0001251	NM_001341807.1.p1, NM_118785.4.p1, NM_001341806.1.p1, NM_001341809.1.p1	XM_006346040.2.p1
OG0001252	NM_104410.3.p1, NM_001160957.2.p1	XM_006354060.2.p1, XM_015311652.1.p1, XM_006354061.2.p1
OG0001253	NM_001202949.2.p1, NM_001338044.1.p1, NM_112179.3.p1, NM_104444.4.p1, NM_001345182.1.p1, NM_001345186.1.p1, NM_001345185.1.p1, NM_001345184.1.p1	XM_015310987.1.p1
OG0001254	NM_120807.4.p1	XM_006353281.2.p1
OG0001254	NM_104990.4.p1, NM_001332049.1.p1, NM_001332047.1.p1, NM_001332048.1.p1, NM_001332050.1.p1, NM_101145.3.p1	XM_006358814.2.p1
OG0001255	NM_126385.4.p1, NM_101262.3.p1, NM_001332105.1.p1	XM_006348670.2.p1
OG0001256	NM_101405.4.p1, NM_001332163.1.p1	XM_006364147.2.p1
OG0001257	NM_001334558.1.p1, NM_105954.3.p1, NM_112241.4.p1	XM_006342923.2.p1, XM_006366092.1.p1
OG0001257	NM_123884.4.p1	XM_006356836.2.p1
OG0001258	NM_179595.5.p1, NM_201671.3.p1, NM_001335107.1.p1, NM_126296.5.p1, NM_126295.1.p1	XM_006358424.2.p1
OG0001259	NM_001336594.1.p1, NM_129190.3.p1, NM_125677.4.p1	XM_006347398.2.p1, XM_006344989.2.p1, XM_006344988.2.p1
OG0001259	NM_123394.4.p1	XM_006338494.2.p1
OG0001260	NM_180021.5.p1, NM_001336924.1.p1, NM_129717.5.p1	XM_006357943.2.p1
OG0001260	NM_111648.6.p1, NM_001337728.1.p1	XM_006345319.2.p1
OG0001261	NM_001337208.1.p1, NM_001337209.1.p1, NM_130235.5.p1	XM_006339697.2.p1
OG0001261	NM_114797.3.p1, NM_122351.5.p1	XM_006347429.2.p1
OG0001262	NM_001337975.1.p1, NM_112047.4.p1	XM_006349527.2.p1
OG0001263	NM_202560.2.p1, NM_112018.4.p1, NM_120739.3.p1, NM_001339691.1.p1, NM_001339688.1.p1, NM_001339689.1.p1, NM_001339690.1.p1	XM_006362234.2.p1, XM_006339126.2.p1
OG0001264	NM_116024.3.p1, NM_001340113.1.p1, NM_001340111.1.p1	XM_006345560.1.p1, XM_006339592.2.p1
OG0001265	NM_001340261.1.p1, NM_111571.3.p1, NM_117680.4.p1	XM_006349754.2.p1, XM_006342741.2.p1, XM_006342739.2.p1
OG0001266	NM_129207.5.p1	XM_015306053.1.p1, XM_015309774.1.p1
OG0001266	NM_001342781.1.p1, NM_120538.2.p1	XM_015314853.1.p1
OG0001267	NM_001343483.1.p1, NM_121729.3.p1, NM_001343484.1.p1	XM_006343240.2.p1, XM_006348122.2.p1
OG0001268	NM_103706.4.p1	XM_006355025.2.p1
OG0001268	NM_104548.3.p1	XM_006344746.2.p1, XM_015307568.1.p1
OG0001268	NM_100127.3.p1	XM_006349187.2.p1
OG0001269	NM_100680.4.p1	XM_006357507.2.p1, XM_015313475.1.p1, XM_015313477.1.p1
OG0001270	NM_104693.3.p1, NM_100928.4.p1	XM_006355884.2.p1
OG0001270	NM_124388.4.p1, NM_125684.5.p1	XM_006344964.2.p1
OG0001271	NM_101754.3.p1, NM_101755.3.p1	XM_006344919.2.p1, XM_006345116.2.p1
OG0001272	NM_102675.4.p1	XM_006356056.2.p1, XM_006355536.2.p1
OG0001273	NM_114868.4.p1, NM_126125.3.p1	XM_006343134.2.p1, XM_006339790.2.p1
OG0001273	NM_116812.2.p1, NM_103611.2.p1	XM_006354783.2.p1
OG0001274	NM_120429.4.p1, NM_103999.2.p1	XM_006348725.2.p1, XM_006348575.2.p1, XM_006348574.2.p1
OG0001274	NM_106048.4.p1	XM_006367477.2.p1, XM_006345027.2.p1
OG0001275	NM_104332.3.p1	XM_006357435.2.p1, XM_006357496.2.p1, XM_006351475.2.p1
OG0001275	NM_123055.2.p1, NM_105243.4.p1	XM_015309095.1.p1, XM_006350394.1.p1
OG0001276	NM_121134.4.p1	XM_006356867.2.p1
OG0001276	NM_179584.3.p1, NM_106726.5.p1, NM_128767.4.p1	XM_006356180.2.p1, XM_006341297.2.p1
OG0001277	NM_120195.3.p1, NM_111741.3.p1, NM_129363.3.p1	XM_006338934.2.p1, XM_006362998.2.p1
OG0001278	NM_129174.4.p1, NM_111984.5.p2, NM_115118.5.p1	XM_006341023.2.p1, XM_006339075.2.p1, NM_001287966.1.p1
OG0001279	NM_118324.2.p1, NM_116686.2.p1	XM_015309051.1.p1, XM_015309052.1.p1, XM_006348078.2.p1
OG0001280	NM_120210.3.p1, NM_120211.3.p1, NM_119461.4.p1, NM_124878.3.p1	XM_006363563.2.p1, XM_006363562.2.p1, XM_006362311.2.p1
OG0001281	NM_119540.3.p1, NM_119541.4.p1, NM_119543.3.p1	XM_015308206.1.p1, XM_006346450.1.p1, XM_015308205.1.p1
OG0001282	NM_125285.4.p1	XM_006346969.2.p1, XM_006346968.2.p1, XM_006343173.2.p1
OG0001289	NM_130171.4.p1, NM_001035852.3.p1, NM_100037.4.p1	XM_006339555.2.p1, NM_001287899.1.p1
OG0001290	NM_115982.3.p1	XM_006345448.2.p1, XM_006339391.2.p1
OG0001291	NM_202226.3.p1, NM_103042.6.p1, NM_103044.3.p1, NM_103043.2.p1, NM_001036056.1.p1, NM_103045.6.p1	XM_006349494.2.p1, XM_015310453.1.p1
OG0001292	NM_117559.6.p1, NM_001340963.1.p1, NM_202820.2.p1, NM_001338599.1.p1, NM_113180.3.p1, NM_001338600.1.p1, NM_001036565.3.p1, NM_123754.6.p1	XM_006363416.2.p1
OG0001292	NM_116195.3.p1, NM_001340199.1.p1	XM_006349650.2.p1
OG0001293	NM_180823.3.p1, NM_124198.4.p1	XM_015313520.1.p1, XM_006353034.2.p1
OG0001293	NM_203172.4.p1, NM_001036951.2.p1	XM_006350189.2.p1
OG0001294	NM_001331488.1.p1, NM_001331489.1.p1, NM_001336447.1.p1, NM_001084530.3.p1	XM_015306642.1.p1, XM_006354471.2.p1
OG0001295	NM_120034.2.p1, NM_127683.3.p1, NM_001335481.1.p1, NM_119653.4.p1	XM_006367270.1.p1, NM_001288676.1.p1
OG0001295	NM_001339763.1.p1, NM_115465.5.p1	XM_006350896.2.p1
OG0001296	NM_001342223.1.p1	XM_006351669.2.p1
OG0001296	NM_001198022.2.p1, NM_100845.3.p1	XM_015310374.1.p1, XM_015315039.1.p1
OG0001297	NM_103985.4.p1, NM_001198263.1.p1, NM_124849.4.p1	XM_006360517.2.p1, XM_006360518.2.p1, XM_006365820.2.p1, XM_006352424.2.p1, XM_006360036.2.p1
OG0001298	NM_115551.3.p1, NM_129664.6.p1, NM_120589.4.p1	XM_006364696.2.p1
OG0001298	NM_115552.4.p1, NM_001203182.1.p1	XM_006364695.2.p1
OG0001299	NM_124491.3.p1, NM_001203582.1.p1	XM_006358122.2.p1
