Orthogroup	Arabidopsis_thaliana_rna_prot	Musa_acuminata_rna_prot
OG0000760	NM_118558.4.p1, NM_001341655.1.p1	XM_065098871.1.p1, XM_065122725.1.p1, XM_065122720.1.p1, XR_010485121.1.p1
OG0000760	NM_116494.5.p1	XM_009412446.3.p1, XM_065151209.1.p1
OG0000761	NM_001345216.1.p1, NM_125058.3.p1, NM_121217.3.p1, NM_001343214.1.p1	XM_009398260.3.p1, XM_065154957.1.p1, XM_065188553.1.p1, XM_065122378.1.p1, XM_065080370.1.p1, XM_065080368.1.p1, XM_065096572.1.p1, XM_065185936.1.p1, XM_009382944.3.p1, XM_065191440.1.p1
OG0000762	NM_001344456.1.p1, NM_001344978.1.p1, NM_001344981.1.p1, NM_001344979.1.p1, NM_124586.4.p1, NM_001344980.1.p1	XM_065109195.1.p1, XM_065109196.1.p1, XM_009419777.3.p1, XM_009419778.3.p1
OG0000763	NM_116121.7.p1	XM_065084736.1.p1
OG0000765	NM_114903.5.p1	XM_065179888.1.p1, XM_065179925.1.p1, XM_065179926.1.p1, XM_065179928.1.p1, XM_065179930.1.p1, XM_065179894.1.p1, XM_065179908.1.p1, XM_065179886.1.p1, XM_065179902.1.p1, XM_065179924.1.p1, XM_065106563.1.p1, XM_065106575.1.p1, XM_065106573.1.p1, XM_065106576.1.p1, XM_018825270.2.p1, XM_065106569.1.p1, XM_065106562.1.p1, XM_065106561.1.p1, XM_065145165.1.p1, XM_065145175.1.p1, XM_065145173.1.p1, XM_065145168.1.p1, XM_065145164.1.p1, XM_065145167.1.p1, XM_065145169.1.p1, XM_065145166.1.p1, XM_065145176.1.p1, XM_065145178.1.p1
OG0000766	NM_117234.3.p1	XM_065123543.1.p1, XM_065084563.1.p1, XM_065126904.1.p1, XM_065168927.1.p1, XM_009399076.3.p1, XM_009411531.3.p1, XM_065190285.1.p1, XM_065189090.1.p1
OG0000767	NM_119745.3.p1, NM_179170.3.p1, NM_179171.2.p1	XM_065135899.1.p1, XM_009420028.3.p1, XM_065083626.1.p1, XM_065117813.1.p1, XM_009387896.3.p1, XM_065092323.1.p1, XM_009383775.3.p1, XM_065088866.1.p1
OG0000773	NM_001036358.2.p1, NM_001336156.1.p1, NM_001336155.1.p1, NM_001336153.1.p1, NM_179784.2.p1	XM_065189675.1.p1
OG0000774	NM_001036584.3.p1, NM_001203831.1.p1, NM_001341263.1.p1, NM_001341261.1.p1, NM_001344678.1.p1, NM_124011.4.p1	XM_065167444.1.p1, XM_065149541.1.p1, XM_065167452.1.p1, XM_065149540.1.p1, XM_065143941.1.p1, XM_065143945.1.p1, XM_065101546.1.p1, XM_065101545.1.p1, XM_065101541.1.p1, XM_065145894.1.p1, XM_065101550.1.p1, XM_065101552.1.p1, XM_018823951.2.p1
OG0000776	NM_120171.3.p1, NM_127808.3.p1, NM_001037074.2.p1, NM_125929.3.p1	XM_065186874.1.p1, XM_065186875.1.p1, XM_065156168.1.p1, XM_009405759.3.p1, XM_065112189.1.p1, XM_065112188.1.p1, XM_065093089.1.p1, XM_018831016.2.p1, XM_065137586.1.p1, XM_009411106.3.p1, XM_065182288.1.p1, XM_065182282.1.p1, XM_009390503.3.p1, XM_065116958.1.p1, XM_065088176.1.p1, XM_009382602.3.p1, XM_009411008.3.p1, XM_065098505.1.p1, XM_065167599.1.p1, XM_009419319.3.p1
OG0000777	NM_001198368.1.p1, NM_001084294.2.p1, NM_001334059.1.p1, NM_001334060.1.p1, NM_001341571.1.p1, NM_001203876.2.p1, NM_117250.3.p1, NM_001340733.1.p1	XM_065136775.1.p1, XM_018826033.2.p1, XM_065089044.1.p1, XM_065172854.1.p1
OG0000778	NM_001340573.1.p1, NM_001340574.1.p1, NM_001340576.1.p1, NM_001340577.1.p1, NM_001340572.1.p1, NM_116886.3.p1, NM_001342232.1.p1, NM_001085021.2.p1	XM_065100958.1.p1, XM_065144229.1.p1, XM_065100959.1.p1, XM_065144228.1.p1, XM_065144231.1.p1, XM_065100960.1.p1, XM_065140565.1.p1, XM_065144652.1.p1, XM_065099620.1.p1, XM_065144649.1.p1, XM_065099621.1.p1
OG0000780	NM_123476.5.p1, NM_113601.3.p1, NM_001338838.1.p1, NM_180306.3.p1, NM_001338837.1.p1, NM_001203053.1.p1	XM_065193062.1.p1, XM_065193058.1.p1, XM_018829357.2.p1, XM_065153946.1.p1
OG0000781	NM_001331428.1.p1, NM_001331427.1.p1, NM_001331431.1.p1, NM_001331425.1.p1, NM_001331429.1.p1, NM_100242.3.p1, NM_001331433.1.p1, NM_001331430.1.p1, NM_001331432.1.p1, NM_001331423.1.p1	XM_065088565.1.p1, XM_065138599.1.p1
OG0000782	NM_125799.4.p1, NM_001336501.1.p1, NM_102687.4.p1	XM_065089821.1.p1, XM_009413625.3.p1, XM_065123081.1.p1, XM_065081000.1.p1, XM_065159269.1.p1
OG0000783	NM_001339389.1.p1, NM_127951.5.p1	XM_065163317.1.p1
OG0000783	NM_116014.3.p1, NM_001340106.1.p1, NM_202744.2.p1, NM_118481.4.p1	XM_065159220.1.p1, XM_065101094.1.p1, XM_065134552.1.p1, XM_065089028.1.p1, XM_065137901.1.p1, XM_065137898.1.p1, XM_065094400.1.p1, XM_065137905.1.p1, XM_065094401.1.p1, XM_065137912.1.p1, XM_065137902.1.p1, XM_065085161.1.p1, XM_065085216.1.p1, XM_065173424.1.p1, XM_065173914.1.p1
OG0000784	NM_127381.4.p1	XM_065154423.1.p1, XM_065137855.1.p1, XM_065137856.1.p1, XM_009405628.3.p1, XM_065171559.1.p1
OG0000785	NM_101435.3.p1, NM_106692.4.p1	XM_009382247.3.p1, XM_065087724.1.p1, XM_009411058.3.p1, XM_009403879.3.p1, XM_065158942.1.p1
OG0000785	NM_115857.2.p1	XM_065114242.1.p1, XM_065114241.1.p1, XM_009408781.3.p1, XM_065082294.1.p1, XM_065153964.1.p1, XM_065190039.1.p1
OG0000786	NM_120431.5.p1, NM_128380.5.p1, NM_120521.3.p1, NM_111882.5.p1	XM_065128144.1.p1, XM_009396387.3.p1, XM_065137572.1.p1, XM_065099228.1.p1, XM_065173620.1.p1, XM_065088585.1.p1, XM_065081308.1.p1, XM_009413087.3.p1, XM_065146356.1.p1, XM_065173759.1.p1, XM_009398640.3.p1
OG0000787	NM_112085.4.p1	XM_065105356.1.p1, XM_065141183.1.p1, XM_065141173.1.p1
OG0000788	NM_129192.4.p1, NM_115149.3.p1	XM_009415128.3.p1, XM_065165408.1.p1, XM_009385187.3.p1, XM_065112503.1.p1, XM_009381510.3.p1, XM_065087042.1.p1, XM_065087043.1.p1
OG0000789	NM_201926.2.p1, NM_180010.1.p1, NM_129672.2.p1, NM_115544.3.p1	XM_018829907.2.p1, XM_018829908.2.p1, XM_065079899.1.p1, XM_065079898.1.p1, XM_065079901.1.p1, XM_009421554.3.p1, XM_018818857.2.p1, XM_009421553.3.p1, XM_009388460.3.p1, XM_009385599.3.p1
OG0000793	NM_001333716.1.p1, NM_001035611.2.p1	XR_010514418.1.p1
OG0000793	NM_112190.5.p1, NM_001333717.1.p1, NM_104427.4.p1	XM_065113704.1.p1, XM_065188318.1.p1, XM_009420978.3.p1, XM_065182303.1.p1, XM_009420968.3.p1, XM_065136797.1.p1, XM_009420960.3.p1, XM_065113703.1.p1, XM_065157108.1.p1, XM_065157986.1.p1, XM_009410220.3.p1, XM_065190507.1.p1
OG0000794	NM_001333309.1.p1, NM_103718.5.p1, NM_001333310.1.p1, NM_112620.5.p1, NM_001338288.1.p1, NM_001340149.1.p1, NM_116087.4.p1, NM_130274.4.p1, NM_001036476.1.p1	XM_065089202.1.p1, XM_065134057.1.p1, XM_065120579.1.p1
OG0000796	NM_101657.5.p1, NM_001332329.1.p1, NM_001332330.1.p1, NM_001332327.1.p1, NM_001124122.1.p1, NM_202408.3.p1, NM_105999.5.p1, NM_001334592.1.p1, NM_001334593.1.p1	XM_009383839.3.p1, XM_009383837.3.p1, XM_018821001.2.p1, XM_065148870.1.p1, XM_065148869.1.p1, XM_065148872.1.p1
OG0000798	NM_127978.4.p1, NM_121122.4.p1, NM_001203463.1.p1	XM_065171227.1.p1, XM_009398501.3.p1
OG0000798	NM_104386.3.p1, NM_112228.3.p1	XM_065156069.1.p1, XM_065088383.1.p1, XM_065191418.1.p1, XM_065130141.1.p1, XM_065179342.1.p1
OG0000799	NM_180839.2.p1, NM_001203585.1.p1, NM_124520.3.p1, NM_001344935.1.p1	XR_672117.3.p1, XR_672116.3.p1, XM_065158557.1.p1, XR_001979100.2.p1
OG0000800	NM_001203775.2.p1, NM_124527.5.p1, NM_001341725.1.p1	XM_009384073.3.p1, XM_065134002.1.p1, XM_009403521.3.p1, XM_065092944.1.p1, XM_065189741.1.p1, XM_009397077.3.p1
OG0000800	NM_001344773.1.p1	XM_009394358.3.p1, XR_010495069.1.p1, XR_010495070.1.p1, XM_065143299.1.p1, XR_010495068.1.p1, XM_065143298.1.p1
OG0000801	NM_001332077.1.p1, NM_001332076.1.p1, NM_001332075.1.p1	XM_009409520.3.p1, XM_018829137.2.p1, XM_009409524.3.p1, XM_018829134.2.p1, XM_065158757.1.p1, XM_065191215.1.p1
OG0000802	NM_102336.2.p1, NM_001334348.1.p1	XM_065181294.1.p1, XM_065110525.1.p1
OG0000803	NM_128569.4.p1, NM_001336243.1.p1	XM_009390511.3.p1, XM_009390512.3.p1
OG0000804	NM_001337492.1.p1, NM_001337491.1.p1	XM_065129480.1.p1, XM_065086369.1.p1, XM_065162366.1.p1
OG0000805	NM_117278.4.p1, NM_118406.4.p1, NM_116237.4.p1, NM_001340235.1.p1	XM_065191146.1.p1, XM_065191143.1.p1, XM_065191147.1.p1, XM_065116397.1.p1, XM_065176285.1.p1, XM_009413217.3.p1, XM_065127581.1.p1, XM_065143804.1.p1, XM_009384635.3.p1
OG0000807	NM_103063.4.p1	XM_065128006.1.p1, XM_065128010.1.p1, XM_065128000.1.p1, XM_065085986.1.p1, XM_065085981.1.p1, XM_065085984.1.p1, XM_065085983.1.p1, XM_065172016.1.p1, XM_009406011.3.p1, XM_065172402.1.p1, XM_065086509.1.p1, XM_065086508.1.p1
OG0000808	NM_114867.3.p1, NM_001345820.1.p1, NM_126126.3.p1, NM_119579.3.p1	XM_065095508.1.p1, XM_065138157.1.p1, XM_065115345.1.p1, XM_018821162.2.p1, XM_065102258.1.p1, XM_065097867.1.p1, XM_065112564.1.p1, XM_065116244.1.p1, XM_009400398.3.p1, XM_009393881.3.p1
OG0000809	NM_122714.1.p1, NM_201964.2.p1, NM_130125.1.p1	XM_065159356.1.p1
OG0000809	NM_101126.3.p1	XM_065151446.1.p1, XM_065108764.1.p1, XM_009402690.2.p1, XM_065146521.1.p1
OG0000810	NM_114665.4.p1, NM_125663.4.p1, NM_101745.5.p1	XM_065151410.1.p1, XM_009402587.3.p1, XM_065121658.1.p1, XM_009400124.3.p1
OG0000811	NM_104614.5.p1	XM_065194864.1.p1, XM_065080407.1.p1, XM_065099617.1.p1, XM_065188344.1.p1, XM_009401783.3.p1
OG0000811	NM_118432.2.p1	XM_065107442.1.p1, XM_065078831.1.p1, XM_065173744.1.p1, XM_065088692.1.p1, XM_065180586.1.p1, XM_065094290.1.p1, XM_065177822.1.p1, XM_065092485.1.p1
OG0000812	NM_124453.3.p1	XM_009410359.2.p1
OG0000812	NM_111724.3.p1	XM_065103885.1.p1, XM_065122625.1.p1, XM_065139405.1.p1
OG0000813	NM_120412.3.p1, NM_111819.5.p1, NM_115183.4.p1	XM_065126651.1.p1, XM_065159281.1.p1, XM_065183135.1.p1, XM_065106392.1.p1
OG0000814	NM_121605.3.p1	XM_009397940.3.p1, XM_065172381.1.p1, XM_009419827.3.p1, XM_065083502.1.p1
OG0000814	NM_113453.3.p1	XM_009396280.3.p1
OG0000818	NM_001036415.3.p1, NM_115150.3.p1, NM_115152.3.p1, NM_001336597.1.p1, NM_179934.2.p1, NM_001203289.1.p1, NM_120447.3.p1, NM_001342724.1.p1, NM_111833.6.p1, NM_128333.4.p1	XM_009395555.3.p1, XM_065161928.1.p2, XM_065103871.1.p1
OG0000819	NM_179749.3.p1, NM_179750.3.p1, NM_001084021.2.p1	XM_065155363.1.p1, XM_065096362.1.p1, XM_065138982.1.p1, XM_065180167.1.p1, XM_065190491.1.p1, XM_065102304.1.p1, XM_065158778.1.p1
OG0000820	NM_001339831.1.p1, NM_001339829.1.p1, NM_001339830.1.p1, NM_001339828.1.p1, NM_180379.4.p1, NM_001203180.2.p1, NM_001339827.1.p1, NM_001203181.1.p1, NM_001339826.1.p1, NM_001084566.2.p1, NM_129671.4.p1, NM_001336889.1.p1	XM_065112821.1.p1, XR_010487785.1.p1, XR_010487783.1.p1, XM_009406413.3.p1, XM_065187484.1.p1
OG0000821	NM_001084714.1.p1, NM_202606.2.p1, NM_001084715.1.p1, NM_106159.3.p1, NM_202415.2.p1	XM_065095308.1.p1, XM_065134733.1.p1, XM_065134732.1.p1
OG0000822	NM_001203220.1.p1, NM_001084853.2.p1, NM_180110.5.p1, NM_130137.6.p1, NM_100065.5.p1	XM_065149980.1.p1, XM_065149979.1.p1, XM_065144959.1.p1, XM_065144957.1.p1, XM_009395655.3.p1
OG0000823	NM_125038.6.p1, NM_001084980.2.p1	XM_009407438.3.p1, XM_009417459.3.p1, XM_065108363.1.p1, XR_010514232.1.p1, XR_010514233.1.p1, XM_065131237.1.p1
OG0000824	NM_111262.2.p1, NM_121822.4.p1	XM_009390732.3.p1, XM_009390729.3.p1, XM_065096204.1.p1, XM_065096188.1.p1, XM_018822456.2.p1, XM_065139589.1.p1, XM_065181459.1.p1, XM_065181461.1.p1, XM_065181465.1.p1, XM_065181467.1.p1
OG0000824	NM_001125711.2.p1, NM_120826.3.p1	XM_009390990.3.p1, XR_010484133.1.p1
OG0000826	NM_114486.2.p1, NM_115389.4.p1, NM_202712.3.p1, NM_104939.2.p1, NM_001198365.2.p1, NM_001334086.1.p1, NM_127338.1.p1	XM_065143208.1.p1, XM_065123517.1.p1, XM_065097417.1.p1, XM_065185687.1.p1, XM_065176192.1.p1
OG0000827	NM_123911.2.p1, NM_001203544.2.p1, NM_118030.3.p1	XM_065136289.1.p1, XM_065089364.1.p1, XM_065089363.1.p1, XM_018820986.2.p1, XM_065134165.1.p1, XM_065174669.1.p1, XM_065174670.1.p1
OG0000828	NM_121517.3.p1, NM_001332376.1.p1	XM_065146234.1.p1, XM_065091848.1.p1, XM_065108392.1.p1, XM_009410557.3.p1, XM_009410558.3.p1, XM_009383597.3.p1, XM_065158172.1.p1
OG0000829	NM_103667.3.p1, NM_001333283.1.p1, NM_202258.3.p1	XM_065159821.1.p1, XM_065159819.1.p1, XM_065193472.1.p1, XM_065118762.1.p1, XM_065118761.1.p1, XM_009397348.3.p1
OG0000830	NM_119755.3.p1, NM_001342378.1.p1	XM_065090313.1.p1, XM_065133853.1.p1, XM_065133854.1.p1, XR_010492672.1.p1, XM_065094900.1.p1, XM_065086928.1.p1, XM_065150579.1.p1, XM_065150580.1.p1, XM_065163006.1.p1, XM_009416164.3.p1, XM_009416162.3.p1, XM_009420411.3.p1, XM_065093596.1.p1, XM_065093597.1.p1, XM_018822213.2.p1, XM_065105371.1.p1
OG0000831	NM_001343541.1.p1, NM_001343540.1.p1, NM_121828.5.p1	XM_065148876.1.p1, XM_009400242.3.p1, XM_065176606.1.p1, XM_065176605.1.p1, XM_009400243.3.p1, XM_065176607.1.p1, XM_009400241.3.p1, XM_018825175.2.p1, XM_009401053.3.p1, XM_009401051.3.p1, XM_065151734.1.p1, XM_009401054.3.p1, XM_009401055.3.p1
OG0000832	NM_123851.2.p1, NM_001344574.1.p1, NM_122635.2.p1, NM_119732.3.p1, NM_121726.1.p1, NM_112442.2.p1, NM_106663.1.p1	XM_018820427.2.p1
OG0000833	NM_001345775.1.p1, NM_001345785.1.p1, NM_001345782.1.p1, NM_001345776.1.p1, NM_126058.2.p1, NM_001345786.1.p1	XM_065118869.1.p1, XM_065193600.1.p1, XM_065193599.1.p1, XM_065193598.1.p1, XM_065101480.1.p1, XM_018823190.2.p1, XM_065101481.1.p1, XM_065158539.1.p1, XM_065115263.1.p1, XM_065176276.1.p1, XM_065145517.1.p1, XM_065106975.1.p1, XM_065180281.1.p1, XM_065096341.1.p1, XM_065096340.1.p1, XM_065139673.1.p1, XM_065096342.1.p1
OG0000834	NM_101110.4.p1, NM_104965.4.p1	XM_065096215.1.p1, XM_065192217.1.p1, XM_065095332.1.p1, XM_009384647.3.p1, XM_009420085.3.p1
OG0000835	NM_106193.4.p1, NM_119625.3.p1, NM_127373.2.p1	XM_065142457.1.p2, XM_065101266.1.p1, XM_009420191.3.p1, XM_065103058.1.p1, XM_009406403.3.p1, XM_009423138.3.p1, XM_065157616.1.p1, XM_065102836.1.p2, XM_065112055.1.p1, XM_009382115.3.p1, XM_065097748.1.p1
OG0000836	NM_114290.3.p1, NM_115107.4.p1	XM_009389966.3.p1, XM_009418602.3.p2, XM_009409062.3.p1, XM_065081538.1.p1, XM_009410009.3.p1, XM_065170857.1.p1, XM_065089665.1.p1, XM_065156248.1.p1
OG0000837	NM_130059.4.p1, NM_115913.3.p1, NM_117777.3.p1, NM_129125.2.p1	XM_065173404.1.p1, XM_009402619.3.p1, XM_065149465.1.p1, XM_065152042.1.p1, XM_065132984.1.p1, XM_065132983.1.p1, XM_009386187.3.p1, XM_065160067.1.p1, XM_065146130.1.p1, XM_065181035.1.p1, XM_065095221.1.p1
OG0000838	NM_201881.2.p1, NM_201882.3.p1, NM_122128.3.p1	XR_010514309.1.p1, XR_010487823.1.p1, XM_065111897.1.p1, XM_018827129.2.p1, XM_009391768.3.p1
OG0000839	NM_001334216.1.p1, NM_100443.5.p1, NM_001035899.2.p1, NM_001331561.1.p1, NM_128741.3.p1, NM_001336348.1.p1, NM_001337064.1.p1, NM_129952.7.p1	XM_009404455.3.p1, XM_009386869.3.p1, XM_065139648.1.p1
OG0000840	NM_124162.4.p1, NM_001036952.1.p1	XM_065120470.1.p1, XM_065089309.1.p1
OG0000840	NM_113572.4.p1, NM_101163.2.p1	XM_065112162.1.p1, XM_018820020.2.p1, XM_018819963.2.p1, XM_065129969.1.p1
OG0000841	NM_100708.2.p1, NM_001331771.1.p1, NM_001084020.1.p1	XM_009389824.3.p1, XM_065159493.1.p1, XM_065190896.1.p1
OG0000841	NM_001344181.1.p1, NM_123090.4.p1, NM_126258.3.p1, NM_101334.3.p1	XM_009421063.3.p1, XM_009391371.3.p1, XM_065109063.1.p1, XM_065087274.1.p1, XM_065157122.1.p1
OG0000842	NM_101633.4.p1, NM_001084087.1.p1, NM_105959.3.p1	XM_065179549.1.p1, XM_009411087.3.p1, XM_065081476.1.p1, XM_065161944.1.p1
OG0000843	NM_001336105.1.p1, NM_001336104.1.p1, NM_001084497.1.p1, NM_100337.3.p1, NM_180718.2.p1, NM_114228.3.p1	XM_009418809.3.p1, XM_018818571.2.p1, XM_009418811.3.p1
OG0000844	NM_127794.2.p1, NM_120152.4.p1, NM_001203687.1.p1, NM_125898.2.p1, NM_121064.4.p1	XM_065097268.1.p1, XM_009405775.3.p1
OG0000844	NM_130025.5.p1	XM_009401938.3.p1, XM_009392368.3.p1, XM_009387662.3.p1
OG0000845	NM_001331273.1.p1, NM_001331274.1.p1, NM_001203720.1.p1, NM_116337.3.p1	XM_009421500.3.p1, XM_065145123.1.p1, XM_009387098.3.p1, XM_009406192.3.p1, XM_009422972.3.p1, XM_065171915.1.p1, XM_009392411.3.p1
OG0000846	NM_129058.5.p1, NM_001336538.1.p1, NM_102850.4.p1, NM_118114.5.p1, NM_001341378.1.p1, NM_001203846.2.p1	XM_065095263.1.p1, XM_065140117.1.p1, XM_009400987.3.p1, XM_065132039.1.p1, XM_065123163.1.p1
OG0000847	NM_202099.1.p1, NM_001332132.1.p1, NM_179331.3.p1, NM_101336.4.p1, NM_201669.2.p1, NM_126254.3.p1, NM_105482.4.p1	XM_009392068.3.p1, XR_010494525.1.p1, XM_065139791.1.p1, XM_065139792.1.p1, XM_009405877.3.p1, XM_065089693.1.p1, XM_018820192.2.p1, XM_009384709.3.p1, XM_009382730.3.p1, XM_018822312.2.p1, XR_010484605.1.p1, XM_009403854.3.p1, XM_065109838.1.p1, XM_065125656.1.p1, XM_065125655.1.p1
OG0000848	NM_123788.5.p1, NM_104196.3.p1, NM_112384.2.p1, NM_001332812.1.p1	XM_065107090.1.p1, XM_065193778.1.p1, XM_009410526.3.p1, XM_065106044.1.p1, XM_009400683.3.p1, XM_065177432.1.p1, XM_065157067.1.p1, XM_009422343.3.p1, XM_009415089.3.p1, XM_009394982.3.p1, XM_065120092.1.p1, XM_065147394.1.p1
OG0000850	NM_180140.2.p1, NM_001335623.1.p1, NM_127472.2.p1, NM_001343983.1.p1, NM_113318.2.p1, NM_121904.2.p1	XM_065110329.1.p1, XM_009417381.2.p1, XM_065174407.1.p1, XM_065134068.1.p1, XM_065081283.1.p1, XM_065164376.1.p1, XM_009414591.2.p1, XM_065081341.1.p1
OG0000851	NM_001335629.1.p1, NM_127483.3.p1	XM_065098351.1.p1, XM_065177664.1.p1, XM_065098353.1.p1, XM_065144529.1.p1, XR_010485049.1.p1, XM_065177662.1.p1, XM_009398903.3.p1, XM_009398918.3.p1
OG0000852	NM_119293.1.p1, NM_001335936.1.p1	XM_065128097.1.p1, XM_065086099.1.p1, XM_009387686.3.p1, XM_009398769.3.p1, XR_010485040.1.p1, XM_065098339.1.p1, XM_065143520.1.p1, XR_010495095.1.p1, XM_065098337.1.p1, XM_065156176.1.p1, XM_065156171.1.p1, XM_065156166.1.p1, XM_065102691.1.p1
OG0000853	NM_179242.1.p1, NM_100036.5.p1, NM_116363.6.p1, NM_001340309.1.p1	XM_009413155.3.p1, XM_065163360.1.p1, XM_065131256.1.p1, XM_065181529.1.p1
OG0000853	NM_116497.3.p1	XM_065100070.1.p1, XM_065100071.1.p1, XM_009385954.3.p1, XM_009395144.3.p1
OG0000854	NM_180210.2.p1, NM_121352.4.p1	XM_009393614.3.p1, XM_065098878.1.p1, XM_009393538.3.p1, XM_065144471.1.p1, XM_065122344.1.p1, XM_065085252.1.p1, XM_065130609.1.p1
OG0000854	NM_118980.4.p1, NM_001341915.1.p1	XM_065147138.1.p1, XM_065179515.1.p1, XM_065106504.1.p1
OG0000855	NM_106689.5.p1, NM_119412.6.p1, NM_001342161.1.p1	XM_065161255.1.p1, XM_065116716.1.p1, XM_018829086.2.p1, XR_010498364.1.p1, XM_065088305.1.p1, XM_065139035.1.p1, XM_009404628.3.p1
OG0000856	NM_127676.3.p1, NM_120029.3.p1	XM_065092752.1.p1, XM_009393705.3.p1
OG0000856	NM_127341.4.p1, NM_001342395.1.p1, NM_001342396.1.p1	XM_065170353.1.p1, XM_065170352.1.p1, XM_065170355.1.p1, XM_065128401.1.p1, XM_065128402.1.p1, XM_065086449.1.p1, XM_009422302.3.p1, XM_009422301.3.p1
OG0000857	NM_180479.2.p1, NM_001343609.1.p1	XM_009410940.3.p1, XM_065116989.1.p1, XM_009410943.3.p1, XM_065191757.1.p1, XM_009410942.3.p1
OG0000858	NM_100380.4.p1, NM_104918.5.p1, NM_101073.3.p1	XM_009414995.3.p1, XM_065141577.1.p1, XR_010488779.1.p1, XR_010488777.1.p1, XR_010488778.1.p1, XM_009411773.3.p1
OG0000859	NM_104734.4.p1	XM_009408022.3.p1, XM_009418276.3.p1
OG0000859	NM_130286.3.p1, NM_100805.2.p1, NM_104537.3.p1	XM_009385668.3.p1, XM_065078709.1.p1
OG0000860	NM_102391.3.p1, NM_101234.4.p1, NM_126434.4.p1, NM_201684.1.p1	XM_065085235.1.p1, XM_065085233.1.p1, XM_065085225.1.p1, XM_065085232.1.p1, XM_065130595.1.p1, XM_065118042.1.p1, XM_009393010.3.p1, XM_065142699.1.p1, XM_009409662.3.p1, XM_065116328.1.p1
OG0000861	NM_125102.2.p1, NM_118727.5.p1	XM_065150878.1.p1, XM_065150930.1.p1, XM_009409785.3.p1, XM_009400349.3.p1, XM_009400348.3.p1, XM_018824525.2.p1
OG0000861	NM_126221.4.p1, NM_101360.4.p1	XM_065097425.1.p1, XM_009420166.3.p1, XM_065149180.1.p1, XM_065166135.1.p1
OG0000862	NM_102297.2.p1	XM_065162392.1.p1, XM_065162391.1.p1, XM_065122673.1.p1, XM_065122674.1.p1, XM_065122672.1.p1, XM_065122675.1.p1, XM_065141712.1.p1, XM_009418344.3.p1
OG0000862	NM_102259.2.p1, NM_124391.3.p1	XM_065118018.1.p1, XM_065159143.1.p1, XM_065189619.1.p1, XM_065115081.1.p1
OG0000863	NM_129763.4.p1	XM_065163844.1.p1, XM_065120955.1.p1, XM_065109379.1.p1, XM_065174425.1.p1, XM_065133395.1.p1
OG0000863	NM_123651.4.p1, NM_103600.5.p1, NM_202253.1.p1	XM_009422305.3.p1, XM_065171926.1.p1, XM_009416575.3.p1, XM_065122850.1.p1, XM_065095801.1.p1, XM_065187802.1.p1
OG0000864	NM_119055.3.p1, NM_112504.3.p1, NM_104095.3.p1	XM_065084814.1.p1, XM_065153177.1.p1, XM_018828864.2.p1, XM_009382917.3.p1, XM_065106838.1.p1, XM_009415580.3.p1, XM_009387494.3.p1, XM_065178813.1.p1, XM_065129577.1.p1
OG0000865	NM_104376.3.p1, NM_113137.4.p1	XM_009409276.2.p1, XM_065185632.1.p1, XM_009389383.3.p1, XM_065188411.1.p1, XM_065188410.1.p1, XM_065188412.1.p1, XM_065169383.1.p1
OG0000866	NM_106362.3.p1	XM_065113052.1.p1, XM_065187716.1.p1, XM_009418668.3.p1, XM_065080696.1.p1, XM_065094105.1.p1
OG0000868	NM_118587.6.p1, NM_127820.4.p1	XM_065082970.1.p1, XM_065082969.1.p1, XM_009393069.3.p1, XM_065087455.1.p1, XM_065087456.1.p1, XM_009381962.3.p1
OG0000869	NM_125597.2.p1	XM_009386260.3.p1
OG0000869	NM_128315.4.p1, NM_120465.3.p1	XM_009392472.2.p1, XM_065171874.1.p1, XM_009413682.3.p1, XM_065121195.1.p1, XM_065094567.1.p1, XM_009422241.3.p2
OG0000872	NM_128772.4.p1, NM_102670.3.p1, NM_112349.5.p1, NM_001035619.2.p1, NM_001338139.1.p1, NM_001338140.1.p1, NM_001035620.2.p1, NM_001333593.1.p1, NM_001036103.3.p1, NM_104217.5.p1	XM_065153763.1.p1
OG0000873	NM_001035888.2.p1, NM_202378.2.p1, NM_105575.3.p1	XM_065118839.1.p1, XM_065101432.1.p1
OG0000873	NM_001337370.1.p1, NM_001337377.1.p1, NM_001337376.1.p1, NM_001337374.1.p1, NM_001337369.1.p1, NM_111065.3.p1, NM_001337368.1.p1	XM_065154783.1.p1, XM_065154784.1.p1, XM_065089708.1.p1, XM_065175176.1.p1, XM_009422778.3.p1
OG0000874	NM_124935.3.p1, NM_001036089.3.p1, NM_103938.5.p1	XM_065136604.1.p1, XM_065136605.1.p1, XM_065136602.1.p1, XM_065136601.1.p1, XM_065183773.1.p1, XM_009397323.3.p1, XM_065193451.1.p1, XM_065193449.1.p1, XM_009412731.3.p1, XM_065113802.1.p1, XM_009407754.3.p1, XM_009407756.3.p1
OG0000875	NM_001198230.2.p1, NM_001036292.2.p1, NM_179644.2.p1	XM_065106781.1.p1, XM_065097371.1.p1, XM_065097372.1.p1, XR_010513867.1.p1, XM_065139759.1.p1, XM_065139757.1.p1, XM_065139756.1.p1, XM_065139762.1.p1, XM_065139763.1.p1, XM_065172671.1.p1, XM_065129477.1.p1, XM_065129478.1.p1, XM_009405630.3.p1, XM_065154239.1.p1, XM_065138823.1.p1, XM_065097360.1.p1
OG0000876	NM_127871.5.p1	XM_065125075.1.p1, XM_065156242.1.p1
