Orthogroup	Arabidopsis_thaliana_rna_prot	Malus_domestica_rna_prot
OG0000780	NM_123476.5.p1, NM_113601.3.p1, NM_001338838.1.p1, NM_180306.3.p1, NM_001338837.1.p1, NM_001203053.1.p1	XM_008343048.3.p1, XM_008343049.3.p1, XM_008380852.3.p1
OG0000781	NM_001331428.1.p1, NM_001331427.1.p1, NM_001331431.1.p1, NM_001331425.1.p1, NM_001331429.1.p1, NM_100242.3.p1, NM_001331433.1.p1, NM_001331430.1.p1, NM_001331432.1.p1, NM_001331423.1.p1	XM_029107939.1.p1, XM_029107943.1.p1, XM_029107941.1.p1, XM_029097858.1.p1, XM_029097863.1.p1, XM_029097861.1.p1, XM_029097856.1.p1, XM_029107937.1.p1, XM_029097855.1.p1, XM_029097854.1.p1
OG0000782	NM_125799.4.p1	XM_017323137.2.p1, XM_008395952.3.p1
OG0000782	NM_001336501.1.p1, NM_102687.4.p1	XM_029109038.1.p1, XM_029101824.1.p1
OG0000782	NM_114967.2.p1	XM_008339798.3.p1
OG0000783	NM_001339389.1.p1, NM_127951.5.p1	XM_008378406.3.p1, XM_008381910.3.p1
OG0000783	NM_116014.3.p1, NM_001340106.1.p1, NM_202744.2.p1	XM_008355791.3.p1
OG0000783	NM_118481.4.p1	XM_029092987.1.p1
OG0000784	NM_127381.4.p1	XM_008339858.3.p1, XM_017323169.2.p1, XM_008340042.3.p1
OG0000785	NM_101435.3.p1, NM_106692.4.p1	XM_008344506.3.p1
OG0000786	NM_120521.3.p1, NM_111882.5.p1	XM_008387270.3.p1, NM_001328971.1.p1
OG0000787	NM_112085.4.p1	XM_029090144.1.p1, NM_001293894.1.p1
OG0000788	NM_129192.4.p1, NM_115149.3.p1	XR_003768335.1.p1, XR_003768332.1.p1, XR_003768333.1.p1, XM_029090340.1.p1
OG0000789	NM_201926.2.p1, NM_180010.1.p1, NM_129672.2.p1, NM_115544.3.p1	XM_008377185.3.p1, XM_008377184.3.p1, NM_001293883.1.p1, XM_008347954.3.p1, XM_017335121.2.p1
OG0000794	NM_001337244.1.p1, NM_001340148.1.p1	XM_029091235.1.p1
OG0000794	NM_001333309.1.p1, NM_103718.5.p1, NM_001333310.1.p1, NM_112620.5.p1, NM_001338288.1.p1	XM_008392141.3.p1, XM_008368906.3.p1
OG0000794	NM_001340149.1.p1, NM_116087.4.p1, NM_130274.4.p1, NM_001036476.1.p1	XM_008355659.3.p1, XM_029108705.1.p1
OG0000795	NM_001345668.1.p1, NM_001085330.2.p1, NM_001345666.1.p1, NM_001203688.1.p1, NM_125906.4.p1, NM_001126027.1.p1, NM_001345665.1.p1, NM_001334760.1.p1, NM_202431.2.p1, NM_001334765.1.p1, NM_001334762.1.p1, NM_001334764.1.p1, NM_106358.4.p1, NM_001037067.1.p1, NM_125905.4.p1, NM_001345663.1.p1, NM_001126026.2.p1, NM_001345662.1.p1, NM_125904.3.p1, NM_001085329.1.p1, NM_121052.3.p1, NM_001203343.1.p1, NM_001161231.2.p1	XM_029107633.1.p1, XM_029107634.1.p1, XM_029109419.1.p1, XR_003773058.1.p1, XM_029101924.1.p1, XM_029097527.1.p1
OG0000796	NM_101657.5.p1, NM_001332329.1.p1, NM_001332330.1.p1, NM_001332327.1.p1, NM_001124122.1.p1, NM_202408.3.p1, NM_105999.5.p1, NM_001334592.1.p1, NM_001334593.1.p1	XM_029092925.1.p1, XM_029092927.1.p1, XM_008376849.3.p1, XM_029104141.1.p1, XM_008376847.3.p1
OG0000798	NM_127978.4.p1	XM_008356107.3.p1, XM_008369527.3.p1
OG0000798	NM_121122.4.p1, NM_001203463.1.p1	XM_008379416.3.p1, XM_008380833.3.p1, XM_008379417.3.p1
OG0000798	NM_104386.3.p1, NM_112228.3.p1	XM_008380488.3.p1, XM_008393103.3.p1
OG0000799	NM_180839.2.p1, NM_001203585.1.p1, NM_124520.3.p1, NM_001344935.1.p1	XM_029103181.1.p1, XM_008377836.3.p1, XM_008377843.3.p1, XM_008377849.3.p1, XR_003775042.1.p1, XM_017333389.2.p1, XR_001790487.2.p1, XR_003775041.1.p1
OG0000800	NM_001203775.2.p1	XM_008375589.3.p1, XM_029104585.1.p1, XM_008382934.3.p1
OG0000800	NM_124527.5.p1, NM_001341725.1.p1	XM_008377941.3.p1, XM_029106085.1.p1
OG0000800	NM_001344773.1.p1	XM_029102426.1.p1
OG0000801	NM_001332077.1.p1, NM_001332076.1.p1, NM_001332075.1.p1	XM_008341524.3.p1, XM_029091739.1.p1
OG0000802	NM_102336.2.p1, NM_001334348.1.p1	XM_029107316.1.p1, XM_008380583.2.p1, XM_008344551.2.p1, XM_029089464.1.p1, XM_029106418.1.p1, XM_029106420.1.p1, XM_029095318.1.p1, XM_008380581.3.p1
OG0000803	NM_128569.4.p1, NM_001336243.1.p1	XM_029099600.1.p1, XM_008386512.3.p1, XM_008386513.3.p1, XM_029088164.1.p1, XM_008386515.3.p1, XM_008386798.3.p1, XM_029088168.1.p1, XM_029088167.1.p1, XM_029088166.1.p1
OG0000804	NM_001337492.1.p1, NM_001337491.1.p1	XM_008393467.3.p1, XM_029092713.1.p1, XM_029092712.1.p1, XM_029090499.1.p1, XM_008340218.3.p1, XM_008342909.3.p1, XM_008342899.3.p1
OG0000805	NM_117278.4.p1, NM_118406.4.p1	XM_029104581.1.p1, XM_008375656.3.p1
OG0000806	NM_118672.4.p1, NM_001341729.1.p1, NM_001344958.1.p1	XM_008378531.3.p1, XM_008378524.3.p1
OG0000807	NM_103063.4.p1	XM_008389813.3.p1, XM_029098124.1.p1
OG0000807	NM_124714.4.p1	XM_008378494.3.p1, XM_029104435.1.p1
OG0000807	NM_001344859.1.p1, NM_001344858.1.p1	XM_029107459.1.p1, XM_029107460.1.p1
OG0000808	NM_114867.3.p1, NM_001345820.1.p1, NM_126126.3.p1	XM_008393279.3.p1, XM_008363181.3.p1
OG0000808	NM_119579.3.p1	XM_008362764.3.p1, NM_001294053.1.p1, XM_029109641.1.p1, XM_008374875.3.p1
OG0000809	NM_122714.1.p1, NM_201964.2.p1, NM_130125.1.p1	XM_008377649.3.p1, XM_008377667.3.p1
OG0000810	NM_114665.4.p1, NM_125663.4.p1, NM_101745.5.p1	XM_008376290.3.p1
OG0000811	NM_104614.5.p1	XM_008380449.3.p1, XM_008340788.3.p1
OG0000811	NM_118432.2.p1	XM_008378306.3.p1, XM_017327442.2.p1, XM_008371278.3.p1
OG0000812	NM_111090.4.p1, NM_121569.3.p1	XM_008343581.3.p1, XM_008381226.3.p1
OG0000812	NM_111724.3.p1	XM_008362659.3.p1, XM_008376433.3.p1
OG0000813	NM_120412.3.p1, NM_111819.5.p1, NM_115183.4.p1	XM_008394890.2.p1, XM_029104287.1.p1, XM_008361364.3.p1, XM_029088573.1.p1, XM_029101065.1.p1
OG0000814	NM_121605.3.p1	XM_008343607.3.p1, XM_008381262.3.p1
OG0000814	NM_113453.3.p1	XM_017323756.2.p1, XM_029095743.1.p1, XM_017337048.2.p1
OG0000818	NM_001036415.3.p1, NM_115150.3.p1	XM_029094226.1.p1, XM_008377358.3.p1
OG0000818	NM_115152.3.p1, NM_001336597.1.p1, NM_179934.2.p1, NM_001203289.1.p1, NM_120447.3.p1, NM_001342724.1.p1, NM_111833.6.p1	XM_029092686.1.p1, XM_029090369.1.p1
OG0000818	NM_128333.4.p1	XM_008362151.3.p1, XM_008387210.3.p1
OG0000819	NM_179749.3.p1, NM_179750.3.p1	XM_029095175.1.p1, NM_001294102.1.p1
OG0000819	NM_001084021.2.p1	XM_008387366.3.p1, XM_008383897.3.p1, XM_008383898.3.p1
OG0000820	NM_001339831.1.p1, NM_001339829.1.p1, NM_001339830.1.p1, NM_001339828.1.p1, NM_180379.4.p1, NM_001203180.2.p1, NM_001339827.1.p1, NM_001203181.1.p1, NM_001339826.1.p1, NM_001084566.2.p1, NM_129671.4.p1, NM_001336889.1.p1	XM_017332023.1.p1, XM_029103814.1.p1, XM_008377899.3.p1, XM_029103829.1.p1, XM_008377900.3.p1
OG0000821	NM_001084714.1.p1, NM_202606.2.p1, NM_001084715.1.p1	XM_008389133.3.p1
OG0000822	NM_001203220.1.p1, NM_001084853.2.p1, NM_180110.5.p1, NM_130137.6.p1, NM_100065.5.p1	XM_029091785.1.p1, XM_029091889.1.p1, XM_029091844.1.p1, XM_029091762.1.p1, XM_029091724.1.p1, XM_008377686.2.p1, XM_008377689.3.p1, XM_008377688.3.p1
OG0000823	NM_125038.6.p1, NM_001084980.2.p1	XM_008354117.3.p1, XM_008364741.3.p1
OG0000824	NM_111262.2.p1, NM_121822.4.p1	XM_029090260.1.p1, XM_029090261.1.p1, XM_017336527.2.p1, XM_017337227.2.p1, XM_029092913.1.p1, XM_008393463.3.p1
OG0000824	NM_001125711.2.p1, NM_120826.3.p1	XM_008376991.3.p1
OG0000827	NM_123911.2.p1, NM_001203544.2.p1, NM_118030.3.p1	XM_029097985.1.p1, XM_029104381.1.p1
OG0000828	NM_121517.3.p1	XM_029107806.1.p1, XM_029107805.1.p1, XM_008343325.3.p1
OG0000828	NM_001332376.1.p1	XM_008376310.3.p1, XM_029093233.1.p1, XM_029096458.1.p1, XM_017329609.2.p1, XM_017336636.2.p1
OG0000829	NM_103667.3.p1, NM_001333283.1.p1, NM_202258.3.p1	XM_008379180.3.p1, XM_008358958.3.p1, XM_008358959.3.p1
OG0000830	NM_119755.3.p1, NM_001342378.1.p1	XM_008395612.3.p1, XM_008339759.3.p1
OG0000830	NM_001345745.1.p1, NM_126008.5.p1	XM_008343889.2.p1
OG0000831	NM_001343541.1.p1, NM_001343540.1.p1, NM_121828.5.p1	XM_029104138.1.p1, XM_008376829.3.p1, XR_529763.3.p1, XM_008376830.3.p1, XM_008395273.3.p1, XM_017322460.2.p1, XM_008395274.3.p1
OG0000832	NM_112442.2.p1	XM_029089378.1.p1, XM_029093337.1.p1, XM_029108815.1.p1
OG0000833	NM_001345775.1.p1, NM_001345785.1.p1, NM_001345782.1.p1, NM_001345776.1.p1, NM_126058.2.p1, NM_001345786.1.p1	XM_029109596.1.p1, XR_524471.3.p1, XM_008344774.3.p1, XM_008344773.3.p1, XM_008364902.3.p1
OG0000834	NM_101110.4.p1, NM_104965.4.p1	XM_029103303.1.p1, XM_029103300.1.p1, XM_008378094.3.p1, XM_029106091.1.p1, XM_008371285.3.p1, XM_008371286.3.p1
OG0000835	NM_127373.2.p1	XM_008377131.3.p1, XM_008351691.3.p1, XM_008379038.3.p1, NM_001294360.1.p1, XM_008378979.3.p1, XM_008356435.3.p1, XM_029090910.1.p1
OG0000836	NM_114290.3.p1	XM_029098400.1.p1
OG0000837	NM_130059.4.p1, NM_115913.3.p1	XM_008358322.3.p1, XM_008348863.2.p1
OG0000837	NM_117777.3.p1, NM_129125.2.p1	XM_029104540.1.p1, XM_008371206.3.p1
OG0000838	NM_201881.2.p1, NM_201882.3.p1	XM_029092120.1.p1, XM_008388841.3.p1
OG0000838	NM_122128.3.p1	XM_008377735.3.p1, XM_029099931.1.p1
OG0000839	NM_001334216.1.p1	XM_008368664.3.p1
OG0000839	NM_100443.5.p1, NM_001035899.2.p1, NM_001331561.1.p1, NM_128741.3.p1, NM_001336348.1.p1, NM_001337064.1.p1, NM_129952.7.p1	XM_008364633.3.p1, XM_029098100.1.p1, XM_029095052.1.p1, XM_029095051.1.p1
OG0000840	NM_124162.4.p1, NM_001036952.1.p1	XM_029105120.1.p1
OG0000841	NM_126258.3.p1, NM_101334.3.p1	XM_008342316.3.p1, XM_008390911.3.p1
OG0000842	NM_001341969.1.p1, NM_119098.3.p1	XM_008339454.3.p1
OG0000842	NM_101633.4.p1, NM_001084087.1.p1, NM_105959.3.p1	XM_029097801.1.p1, XM_008393087.3.p1
OG0000843	NM_001336105.1.p1, NM_001336104.1.p1, NM_001084497.1.p1, NM_100337.3.p1, NM_180718.2.p1, NM_114228.3.p1	XM_029099967.1.p1, XM_029099966.1.p1, XM_029088719.1.p1
OG0000844	NM_121064.4.p1	XM_008355701.3.p1, XM_029094836.1.p1
OG0000844	NM_130025.5.p1	XM_008366558.3.p1, XM_008371588.3.p1
OG0000845	NM_001331273.1.p1, NM_001331274.1.p1, NM_001203720.1.p1, NM_116337.3.p1	XM_008394212.3.p1, XM_029103697.1.p1, XM_029093172.1.p1, XM_008394213.3.p1, XM_017331254.2.p1, XM_008377842.3.p1, XM_008351916.3.p1
OG0000846	NM_129058.5.p1, NM_001336538.1.p1, NM_102850.4.p1	XM_008373681.3.p1, XM_029102930.1.p1, XM_029102931.1.p1, XM_008385074.3.p1
OG0000846	NM_118114.5.p1, NM_001341378.1.p1, NM_001203846.2.p1	XM_008373678.3.p1
OG0000847	NM_202099.1.p1, NM_001332132.1.p1, NM_179331.3.p1, NM_101336.4.p1, NM_201669.2.p1, NM_126254.3.p1, NM_105482.4.p1	XM_008390919.3.p1, XM_008350520.3.p1, XM_008350519.3.p1
OG0000848	NM_104196.3.p1, NM_112384.2.p1, NM_001332812.1.p1	NM_001328880.1.p1, NM_001328795.1.p1, XM_029106860.1.p1
OG0000849	NM_001338201.1.p1, NM_001338203.1.p1, NM_001338202.1.p1, NM_112473.2.p1, NM_001338200.1.p1, NM_001334307.1.p1, NM_105419.2.p1, NM_001334309.1.p1, NM_001334308.1.p1, NM_001334312.1.p1, NM_001334313.1.p1	XM_029110058.1.p1, XM_029110056.1.p1, XM_029110057.1.p1, XM_029103532.1.p1, XM_029110054.1.p1, XM_029109859.1.p1, XM_029097344.1.p1, XM_008339207.3.p1
OG0000850	NM_113318.2.p1, NM_121904.2.p1	XM_008350209.3.p1
OG0000851	NM_001335629.1.p1, NM_127483.3.p1	XM_029104126.1.p1, XM_008390370.3.p1, XM_008390384.3.p1, XM_029096678.1.p1, XM_008390396.3.p1, XM_029092036.1.p1, XM_029092033.1.p1, XM_029092032.1.p1
OG0000852	NM_119293.1.p1, NM_001335936.1.p1	XM_008395730.3.p1, XM_008366906.3.p1
OG0000853	NM_179242.1.p1, NM_100036.5.p1, NM_116363.6.p1, NM_001340309.1.p1	XM_008377759.3.p1, XM_008348005.3.p1
OG0000853	NM_116497.3.p1	XM_008342017.3.p1, XM_008395566.3.p1, XM_029106871.1.p1
OG0000854	NM_180210.2.p1, NM_121352.4.p1	XM_008366484.3.p1
OG0000854	NM_118980.4.p1, NM_001341915.1.p1	XM_008383375.3.p1, XM_008344672.3.p1
OG0000855	NM_106689.5.p1	XM_008375257.3.p1, XM_008375263.3.p1, XM_008344510.3.p1, XM_008344512.3.p1
OG0000855	NM_119412.6.p1, NM_001342161.1.p1	XM_029095161.1.p1, XM_008353818.3.p1
OG0000856	NM_127676.3.p1, NM_120029.3.p1	XM_008374676.3.p1, XM_029109740.1.p1
OG0000856	NM_127341.4.p1, NM_001342395.1.p1, NM_001342396.1.p1	XM_008346007.3.p1, XM_008342480.2.p1, XM_008363121.3.p1
OG0000857	NM_180479.2.p1, NM_001343609.1.p1	XM_017333967.2.p1, XM_017323203.2.p1, XM_008395380.3.p1
OG0000858	NM_100380.4.p1	XM_008343921.3.p1, XM_008349923.3.p1
OG0000858	NM_104918.5.p1, NM_101073.3.p1	XM_008372823.3.p1, NM_001294118.1.p1
OG0000859	NM_104734.4.p1	XM_008391439.3.p1, XM_029096379.1.p1
OG0000859	NM_130286.3.p1	XM_008344971.3.p1
OG0000859	NM_100805.2.p1, NM_104537.3.p1	XM_008372139.3.p1
OG0000860	NM_102391.3.p1, NM_101234.4.p1, NM_126434.4.p1, NM_201684.1.p1	XM_008395039.3.p1, XM_008381242.3.p1, XM_008355290.3.p1, XM_008368807.3.p1, XM_008341527.3.p1
OG0000861	NM_125102.2.p1, NM_118727.5.p1	XM_029096502.1.p1, XM_029091674.1.p1
OG0000861	NM_126221.4.p1, NM_101360.4.p1	XM_008390973.3.p1
OG0000862	NM_102297.2.p1	XM_008342143.3.p1, XM_008391528.3.p1
OG0000862	NM_102259.2.p1	XM_008391368.3.p1, XM_008354780.3.p1
OG0000862	NM_124391.3.p1	XM_008376686.3.p1, XM_008394843.3.p1
OG0000863	NM_129763.4.p1	XM_008350299.3.p1, XM_008350712.3.p1
OG0000863	NM_123651.4.p1, NM_103600.5.p1, NM_202253.1.p1	XM_008395571.3.p1, XM_008349394.3.p1
OG0000864	NM_119055.3.p1	XM_008354132.2.p1
OG0000864	NM_112504.3.p1, NM_104095.3.p1	XM_008360406.2.p1, XM_008382720.3.p1
OG0000865	NM_104376.3.p1	XM_008372255.3.p1, XM_029089924.1.p1, NM_001328780.1.p1, NM_001294097.1.p1, NM_001293886.1.p1, NM_001294093.1.p1
OG0000865	NM_113137.4.p1	XR_003768106.1.p1, NM_001294051.1.p1, XM_029095729.1.p1
OG0000866	NM_106362.3.p1	XM_008370974.3.p1, XM_008348386.3.p1
OG0000868	NM_127820.4.p1	XM_029098651.1.p1, XM_029098320.1.p1, NM_001293986.1.p1, XM_029097982.1.p1, XM_008365515.3.p1, XM_008365517.3.p1, XM_008365516.3.p1, XM_029093263.1.p1
OG0000869	NM_125597.2.p1	NM_001293841.1.p1, XM_008378317.3.p1
OG0000869	NM_128315.4.p1	NM_001293884.1.p1
OG0000869	NM_120465.3.p1	NM_001293865.1.p1, XM_029089517.1.p1, NM_001293958.1.p1
OG0000872	NM_128772.4.p1, NM_102670.3.p1	XM_008368948.3.p1, XM_008385380.3.p1
OG0000872	NM_112349.5.p1, NM_001035619.2.p1, NM_001338139.1.p1, NM_001338140.1.p1, NM_001035620.2.p1, NM_001333593.1.p1, NM_001036103.3.p1, NM_104217.5.p1	XM_008388044.3.p1
OG0000873	NM_001035888.2.p1, NM_202378.2.p1, NM_105575.3.p1	XM_008341545.3.p1, XM_008352662.3.p1
OG0000873	NM_001337370.1.p1, NM_001337377.1.p1, NM_001337376.1.p1, NM_001337374.1.p1, NM_001337369.1.p1, NM_111065.3.p1, NM_001337368.1.p1	XM_029107630.1.p1, XM_008380866.3.p1, XM_008343059.3.p1
OG0000874	NM_124935.3.p1	XM_008364084.3.p1, XM_008364083.3.p1, XM_008361024.3.p1
OG0000875	NM_001198230.2.p1	XM_017336534.2.p1, XM_008389826.3.p1, XM_008389824.3.p1, XM_008389825.3.p1, XM_029106634.1.p1, XM_029106632.1.p1, XM_029106633.1.p1, XM_029106631.1.p1
OG0000875	NM_001036292.2.p1, NM_179644.2.p1	NM_001294059.1.p1, XM_008340106.3.p1
OG0000876	NM_201789.2.p1, NM_127872.4.p1, NM_001037088.2.p1, NM_126138.4.p1, NM_114860.4.p1	XM_008342647.3.p1, XM_017323325.2.p1
OG0000876	NM_127871.5.p1	XM_029092256.1.p1, XM_008369788.3.p1
OG0000877	NM_001331522.1.p1, NM_001083993.2.p1, NM_128802.3.p1	XR_001790999.2.p1, XM_008343788.3.p1
OG0000877	NM_179123.3.p1, NM_118828.4.p1	XM_029100141.1.p1, XM_008387655.2.p1
OG0000878	NM_001084255.1.p1, NM_104461.3.p1	XM_029087948.1.p1, XM_029099410.1.p1
OG0000878	NM_001344744.1.p1, NM_124147.4.p1, NM_001085261.2.p1	XM_029087701.1.p1, XM_008364962.3.p1, XM_029087700.1.p1
OG0000879	NM_179127.2.p1, NM_001341866.1.p1, NM_001084984.2.p1, NM_118897.3.p1, NM_001341865.1.p1, NM_001341870.1.p1, NM_001341867.1.p1, NM_001341868.1.p1, NM_001341869.1.p1, NM_118898.3.p1, NM_202898.3.p1, NM_001341871.1.p1	XM_008384058.3.p1, XM_008384040.3.p1, XM_008384066.3.p1, XM_008384052.3.p1
OG0000880	NM_001123817.1.p1, NM_001332131.1.p1, NM_001332130.1.p1	XM_029091799.1.p1
OG0000881	NM_148113.3.p1	XM_008369255.3.p1
OG0000881	NM_114604.2.p1, NM_001161195.1.p1, NM_001339307.1.p1, NM_114603.3.p1, NM_001344899.1.p1, NM_124447.2.p1	XM_029092097.1.p1
OG0000882	NM_102367.3.p1, NM_001198423.1.p1, NM_105558.3.p1, NM_113472.4.p1, NM_101197.4.p1	NM_001328800.1.p1, XM_008341482.3.p1
OG0000883	NM_121025.4.p1	XM_029100375.1.p1, XM_008340539.3.p1
OG0000883	NM_001335504.1.p1, NM_001202608.1.p1, NM_001202609.1.p1, NM_127247.3.p1	XM_029102206.1.p1, XM_029109755.1.p1
OG0000884	NM_001343115.1.p1, NM_001343117.1.p1, NM_001343116.1.p1, NM_001203350.1.p1, NM_001345694.1.p1, NM_125949.7.p1, NM_001345695.1.p1	XM_029101640.1.p1, XM_008340246.3.p1, XM_029087788.1.p1, XM_029087833.1.p1
OG0000884	NM_125122.4.p1	XM_029091051.1.p1
OG0000885	NM_123736.3.p1, NM_001331470.1.p1	XM_008392826.3.p1, XM_008342822.3.p1, NM_001300877.1.p1, XM_008368651.3.p1
OG0000885	NM_001338609.1.p1, NM_117536.4.p1	NM_001301119.1.p1, NM_001294015.1.p1
OG0000886	NM_001333850.1.p1, NM_001333851.1.p1, NM_101606.5.p1, NM_001332305.1.p1, NM_104642.2.p1	XM_008362230.3.p1
OG0000887	NM_001334419.1.p1	XM_008391268.3.p1, XM_008391270.3.p1, XM_008341688.3.p1
OG0000887	NM_121273.5.p1, NM_001343600.1.p1, NM_121947.4.p1	XM_029096088.1.p1, XM_008377093.3.p1, XM_029105140.1.p1, XM_029100010.1.p1, XM_008364897.3.p1, XM_008387477.3.p1
OG0000888	NM_105645.4.p1	NM_001293940.1.p1, XM_029088656.1.p1, XM_029088661.1.p1, NM_001328791.1.p1, XM_029087748.1.p1, NM_001293872.1.p1, XM_017336617.2.p1
OG0000888	NM_118020.5.p1, NM_001341318.1.p1	XM_029104417.1.p1
OG0000889	NM_126520.4.p1, NM_179605.3.p1	XM_029097659.1.p1, XM_008381756.3.p1
OG0000889	NM_001341825.1.p1, NM_179119.5.p1, NM_118798.2.p1, NM_001341821.1.p1, NM_001341822.1.p1, NM_001341823.1.p1	XM_008343986.3.p1, XM_029088856.1.p1
OG0000890	NM_128113.3.p1	XM_008391659.3.p1, XM_029095703.1.p1
OG0000890	NM_001345038.1.p1, NM_001345037.1.p1, NM_001345039.1.p1, NM_001345035.1.p1, NM_124694.4.p1	XM_017333496.2.p1, XM_029106200.1.p1, XM_017334639.2.p1
OG0000891	NM_100045.5.p1	XM_008371398.3.p1, XM_029091384.1.p1
OG0000892	NM_118600.2.p1, NM_202879.2.p1	XM_008394778.3.p1, XM_029103952.1.p1
OG0000892	NM_102181.1.p1, NM_105724.3.p1	XM_008391484.3.p1, XM_008341868.3.p1
OG0000893	NM_115669.3.p1, NM_129758.3.p1, NM_120748.2.p1	NM_001329007.1.p1, XM_029093119.1.p1
OG0000894	NM_118415.6.p1, NM_117269.4.p1	XR_003774475.1.p1, XM_029104606.1.p1, XM_029101039.1.p1
OG0000895	NM_119346.3.p1, NM_119348.2.p1, NM_119345.3.p1	XM_008380187.3.p1, XM_008345271.3.p1, XM_008389853.3.p1, XM_008393318.3.p1, XM_029094708.1.p1, XM_029107380.1.p1, XM_029095072.1.p1, XM_029098588.1.p1, XM_008380179.3.p1, XM_029092276.1.p1
OG0000896	NM_129251.3.p1, NM_120417.4.p1	XM_008389329.3.p1, XM_008357961.3.p1
OG0000896	NM_125473.4.p1, NM_128369.2.p1	XM_008361395.3.p1
OG0000897	NM_001202963.1.p1, NM_112301.3.p1, NM_001035617.1.p1, NM_001084686.1.p1, NM_112302.4.p1	XM_008384779.3.p1, XM_008374051.3.p1
OG0000897	NM_001084937.1.p1, NM_001341277.1.p1	XM_008373545.3.p1, XM_008373544.3.p1, XM_008373390.3.p1
OG0000898	NM_102533.5.p1	XM_008389820.3.p1, XM_029106623.1.p1, XM_029106622.1.p1
OG0000898	NM_001335765.1.p1, NM_001335767.1.p1, NM_127730.5.p1, NM_001335766.1.p1, NM_001036314.2.p1, NM_120081.2.p1	XM_008379058.3.p1, XM_008387677.3.p1
OG0000899	NM_179692.3.p1, NM_001335795.1.p1	XM_008340359.3.p1, XM_029107012.1.p1
OG0000899	NM_001037058.2.p1, NM_120978.5.p1, NM_001125723.2.p1, NM_001203338.1.p1	XM_008374967.3.p1, XM_008360131.3.p1
OG0000900	NM_001345826.1.p1, NM_126139.3.p1, NM_001037089.3.p1	XM_029092246.1.p1, XM_017327587.2.p1, XM_008369780.3.p1, XM_008369781.3.p1
OG0000901	NM_117785.5.p1, NM_001084930.1.p1, NM_117858.3.p1	XR_003768717.1.p1, XM_008377551.3.p1, XM_008375445.3.p1, XM_008370987.3.p1
OG0000902	NM_001123778.2.p1, NM_001331788.1.p1	XM_017331747.2.p1, XM_029101563.1.p1, XM_017331746.2.p1, XM_017336516.2.p1
OG0000902	NM_128621.3.p1	XM_029102672.1.p1, XM_029109258.1.p1
OG0000903	NM_117409.5.p1	XM_029094802.1.p1, XM_029087590.1.p1
OG0000904	NM_114190.3.p1, NM_001161189.1.p1, NM_122091.3.p1	XM_029089465.1.p1, XM_008339583.3.p1, XM_029093967.1.p1
OG0000904	NM_112277.4.p1, NM_001338113.1.p1	XM_008382531.3.p1, XM_008393871.3.p1
OG0000905	NM_001334708.1.p1, NM_202421.3.p1	XM_008389686.3.p1
OG0000905	NM_001340497.1.p1, NM_001340499.1.p1, NM_001203865.1.p1, NM_001341523.1.p1, NM_118315.2.p1, NM_001340500.1.p1, NM_116710.3.p1	XM_029101774.1.p1, XM_029087604.1.p1
OG0000905	NM_103952.4.p1, NM_001333450.1.p1, NM_112932.3.p1	XM_029100142.1.p1, XM_008366838.3.p1
OG0000906	NM_001203932.1.p1, NM_001341927.1.p1, NM_001203933.2.p1	XM_008387439.2.p1, XM_008345462.3.p1
OG0000906	NM_179668.2.p1, NM_001335676.1.p1	XM_008360251.3.p1
OG0000907	NM_112660.6.p1	XM_008376800.3.p1, XM_029093118.1.p1, XM_029093116.1.p1
OG0000907	NM_126249.5.p1	XM_029091767.1.p1
OG0000908	NM_101532.3.p1, NM_001332246.1.p1, NM_001332252.1.p1, NM_001332247.1.p1, NM_001334866.1.p1, NM_106550.4.p1	XM_029096797.1.p1, XM_008382480.3.p1
OG0000909	NM_001342459.1.p1, NM_119947.3.p1, NM_201783.2.p1, NM_127837.4.p1, NM_001335811.1.p1, NM_001335812.1.p1	XM_008379662.2.p1, XM_029106847.1.p1, XM_029095601.1.p1, XM_029095603.1.p1, XM_029095600.1.p1, XM_008385307.3.p1, XM_029095602.1.p1, XM_029089980.1.p1, XM_017325850.2.p1, XM_017325849.2.p1
OG0000910	NM_115208.4.p1, NM_129284.2.p1, NM_001336646.1.p1, NM_001336645.1.p1	XM_008372126.3.p1
OG0000910	NM_001341007.1.p1	XM_008392269.3.p1, XM_017336681.2.p1
OG0000911	NM_001342421.1.p1, NM_001342422.1.p1, NM_001342423.1.p1, NM_119849.6.p1	XM_008339950.3.p1
OG0000911	NM_118129.1.p1, NM_001336887.1.p1, NM_001336886.1.p1, NM_180009.2.p1, NM_001336888.1.p1	XM_008388700.2.p1
OG0000912	NM_001342880.1.p1, NM_203013.3.p1, NM_203012.1.p1, NM_001342881.1.p1, NM_120734.4.p1, NM_001337602.1.p1, NM_111443.4.p1	XM_008393763.3.p1, XM_008388897.3.p1
OG0000913	NM_122573.4.p1, NM_001343986.1.p1, NM_111449.4.p1, NM_001337606.1.p1, NM_115727.7.p1	XM_029089912.1.p1, XM_008372169.3.p1
OG0000914	NM_001338647.1.p1, NM_113263.4.p1	XM_008354572.3.p1, XM_008354570.3.p1, XM_008342677.3.p1, XM_008392589.3.p1, XM_008362098.3.p1, XM_029091221.1.p1, XM_008392591.3.p1, XR_003769910.1.p1, XM_017327194.2.p1, XM_017323632.2.p1, XM_029095633.1.p1, XM_029095632.1.p1
