Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Anoplophora_glabripennis_rna.fna.transdecoder_cd
OG0000149	gnl|WGS_AAJJ|TC002280-RA.p1, gnl|WGS_AAJJ|TC002278-RA.p1, gnl|WGS_AAJJ|TC031676-RB.p1, gnl|WGS_AAJJ|TC031676-RA.p1	XM_018720012.2.p1, XM_018720028.2.p1
OG0000149	gnl|WGS_AAJJ|TC031048-RA.p1, gnl|WGS_AAJJ|TC034365-RA.p1, gnl|WGS_AAJJ|TC016281-RB.p1, gnl|WGS_AAJJ|TC016281-RA.p1, gnl|WGS_AAJJ|TC013409-RA.p1, gnl|WGS_AAJJ|TC031677-RA.p1	XM_023454456.1.p1, XM_023453977.1.p1, XM_023453978.1.p1, XM_018723767.1.p1
OG0000150	gnl|WGS_AAJJ|TC002784-RA.p1	XM_018716003.1.p1
OG0000150	gnl|WGS_AAJJ|TC014648-RA.p1	XM_018711858.1.p1
OG0000150	gnl|WGS_AAJJ|TC002647-RA.p1	XM_018717879.2.p1
OG0000150	gnl|WGS_AAJJ|TC008415-RA.p1	XM_018716177.2.p1
OG0000150	gnl|WGS_AAJJ|TC009174-RA.p1	XM_018711321.2.p1
OG0000151	gnl|WGS_AAJJ|TC032664-RA.p1	XM_018710945.1.p1
OG0000151	gnl|WGS_AAJJ|TC032662-RA.p1	XM_018710944.1.p1
OG0000151	gnl|WGS_AAJJ|TC014400-RC.p1	XM_023456371.1.p1
OG0000151	gnl|WGS_AAJJ|TC014939-RA.p1	XM_018706165.1.p1
OG0000151	gnl|WGS_AAJJ|TC033536-RB.p1	XM_018712575.2.p1
OG0000152	gnl|WGS_AAJJ|TC014213-RA.p1, gnl|WGS_AAJJ|TC016222-RA.p1	XM_018717622.2.p1
OG0000152	gnl|WGS_AAJJ|TC008953-RB.p1	XM_018712063.2.p1, XM_018712065.2.p1
OG0000152	gnl|WGS_AAJJ|TC006904-RA.p1, gnl|WGS_AAJJ|TC032660-RA.p1, gnl|WGS_AAJJ|TC003968-RA.p1	XM_018720654.1.p1, XM_018709609.1.p1, XM_018709585.1.p1
OG0000152	gnl|WGS_AAJJ|TC008023-RA.p1	XM_018708219.1.p1
OG0000153	gnl|WGS_AAJJ|TC006757-RA.p1	XM_018712471.1.p1
OG0000153	gnl|WGS_AAJJ|TC032652-RA.p1, gnl|WGS_AAJJ|TC032650-RA.p1, gnl|WGS_AAJJ|TC032651-RA.p1	XM_018707591.1.p1
OG0000154	gnl|WGS_AAJJ|TC014779-RA.p1	XM_018710000.1.p1
OG0000154	gnl|WGS_AAJJ|TC006663-RA.p1	XM_023456251.1.p1
OG0000154	gnl|WGS_AAJJ|TC001941-RA.p1, gnl|WGS_AAJJ|TC001941-RB.p1	XM_018710061.2.p1, XM_023454355.1.p1
OG0000154	gnl|WGS_AAJJ|TC034265-RA.p1	XM_023454349.1.p1
OG0000155	gnl|WGS_AAJJ|TC005968-RA.p1, gnl|WGS_AAJJ|TC005970-RA.p1	XM_018710623.1.p1
OG0000155	gnl|WGS_AAJJ|TC006159-RA.p1	XM_018709181.1.p1
OG0000155	gnl|WGS_AAJJ|TC006181-RA.p1, gnl|WGS_AAJJ|TC033983-RA.p1	XM_018721803.2.p1
OG0000155	gnl|WGS_AAJJ|TC005637-RA.p1	XM_018708039.1.p1
OG0000155	gnl|WGS_AAJJ|TC005638-RA.p1	XM_018708587.2.p1
OG0000155	gnl|WGS_AAJJ|TC033977-RA.p1	XM_018709388.2.p1
OG0000155	gnl|WGS_AAJJ|TC014347-RA.p1	XM_023455262.1.p1
OG0000156	gnl|WGS_AAJJ|TC013492-RA.p1	XM_018722270.2.p1
OG0000156	gnl|WGS_AAJJ|TC034461-RA.p1, gnl|WGS_AAJJ|TC012795-RA.p1	XM_023454217.1.p1
OG0000156	gnl|WGS_AAJJ|TC032097-RA.p1	XM_023457274.1.p1, XM_023457273.1.p1
OG0000156	gnl|WGS_AAJJ|TC032098-RA.p1	XM_018715947.1.p1
OG0000156	gnl|WGS_AAJJ|TC012798-RA.p1, gnl|WGS_AAJJ|TC012797-RA.p1	XM_023454218.1.p1, XM_018706408.1.p1
OG0000156	gnl|WGS_AAJJ|TC014008-RA.p1	XM_018713795.2.p1
OG0000157	gnl|WGS_AAJJ|TC014343-RA.p1	XM_018723514.1.p1
OG0000157	gnl|WGS_AAJJ|TC005825-RA.p1	XM_018710340.1.p1
OG0000157	gnl|WGS_AAJJ|TC008652-RA.p1, gnl|WGS_AAJJ|TC008651-RA.p1	XM_018723575.2.p1, XM_018721855.2.p1, XM_018708930.1.p1
OG0000157	gnl|WGS_AAJJ|TC007385-RA.p1	XM_018723865.1.p1
OG0000159	gnl|WGS_AAJJ|TC002192-RA.p1	XM_018711472.2.p1
OG0000159	gnl|WGS_AAJJ|TC031978-RB.p1	XM_018714517.1.p1
OG0000160	gnl|WGS_AAJJ|TC032325-RA.p1	XM_018710800.1.p1, XM_018709759.2.p1
OG0000161	gnl|WGS_AAJJ|TC013958-RA.p2	XM_018716795.1.p1
OG0000161	gnl|WGS_AAJJ|TC033027-RA.p1	XM_018714785.2.p1
OG0000161	gnl|WGS_AAJJ|TC033243-RB.p1, gnl|WGS_AAJJ|TC033243-RA.p1	XM_018724323.1.p1
OG0000161	gnl|WGS_AAJJ|TC033104-RA.p1	XM_023457343.1.p1
OG0000161	gnl|WGS_AAJJ|TC033026-RA.p1	XM_018714784.1.p1
OG0000161	gnl|WGS_AAJJ|TC033028-RA.p1	XM_018724290.1.p1
OG0000163	gnl|WGS_AAJJ|TC010406-RA.p1	XM_018724312.2.p1, XM_018724310.2.p1
OG0000163	gnl|WGS_AAJJ|TC002315-RA.p1	XM_018713951.2.p1
OG0000163	gnl|WGS_AAJJ|TC010407-RA.p1	XM_018724295.1.p1
OG0000163	gnl|WGS_AAJJ|TC006488-RB.p1	XM_018710873.1.p1
OG0000164	gnl|WGS_AAJJ|TC032853-RA.p1	XM_018707172.2.p1
OG0000164	gnl|WGS_AAJJ|TC032001-RA.p1, gnl|WGS_AAJJ|TC016300-RA.p1	XM_018717267.2.p1
OG0000164	gnl|WGS_AAJJ|TC032489-RA.p1, gnl|WGS_AAJJ|TC035029-RA.p1	XM_018713126.1.p1, XM_018705271.1.p1
OG0000164	gnl|WGS_AAJJ|TC009986-RA.p1	XM_023455383.1.p1
OG0000164	gnl|WGS_AAJJ|TC034803-RA.p1, gnl|WGS_AAJJ|TC008841-RA.p1	XM_018715610.1.p1
OG0000164	gnl|WGS_AAJJ|TC009410-RA.p1	XM_018724710.1.p1
OG0000165	gnl|WGS_AAJJ|TC008896-RB.p1	XM_018717900.2.p1, XM_018717897.2.p1
OG0000165	gnl|WGS_AAJJ|TC014416-RA.p1	XM_018721983.2.p1
OG0000165	gnl|WGS_AAJJ|TC011808-RA.p1	XM_018717316.1.p1, XM_018717315.1.p1
OG0000165	gnl|WGS_AAJJ|TC006704-RA.p1	XM_018705973.2.p1
OG0000166	gnl|WGS_AAJJ|TC015880-RA.p1	XM_018719706.1.p1
OG0000166	gnl|WGS_AAJJ|TC010489-RA.p1	XM_018719958.1.p1
OG0000166	gnl|WGS_AAJJ|TC010490-RA.p1	XM_018719570.1.p1
OG0000166	gnl|WGS_AAJJ|TC000821-RA.p1	XM_018724522.2.p1
OG0000167	gnl|WGS_AAJJ|TC032576-RB.p1, gnl|WGS_AAJJ|TC032576-RA.p1	XM_018723986.1.p1, XM_018723980.1.p1
OG0000167	gnl|WGS_AAJJ|TC007481-RA.p1	XM_018705362.2.p1, XM_018705361.2.p1
OG0000167	gnl|WGS_AAJJ|TC015081-RA.p1	XM_018711909.1.p1
OG0000168	gnl|WGS_AAJJ|TC010208-RA.p1, gnl|WGS_AAJJ|TC010208-RF.p1	XM_018711297.1.p1
OG0000168	gnl|WGS_AAJJ|TC013320-RA.p1	XM_018724269.1.p1
OG0000168	gnl|WGS_AAJJ|TC014488-RA.p1	XM_018724262.1.p1
OG0000168	gnl|WGS_AAJJ|TC013319-RA.p1	XM_023454432.1.p1
OG0000168	gnl|WGS_AAJJ|TC010649-RB.p1, gnl|WGS_AAJJ|TC010649-RA.p1	XM_023457313.1.p1
OG0000169	gnl|WGS_AAJJ|TC032600-RA.p1, gnl|WGS_AAJJ|TC005320-RA.p1, gnl|WGS_AAJJ|TC005322-RA.p1	XM_018708903.1.p1, XM_018717722.1.p1
OG0000169	gnl|WGS_AAJJ|TC031547-RA.p1	XM_018723337.1.p1
OG0000169	gnl|WGS_AAJJ|TC030778-RA.p1	XM_018710604.1.p1
OG0000169	gnl|WGS_AAJJ|TC003856-RA.p1	XM_018712896.2.p1
OG0000170	gnl|WGS_AAJJ|TC002954-RA.p1, gnl|WGS_AAJJ|TC005955-RA.p1, gnl|WGS_AAJJ|TC005956-RA.p1, gnl|WGS_AAJJ|TC005954-RA.p1, gnl|WGS_AAJJ|TC005953-RA.p1, gnl|WGS_AAJJ|TC005431-RA.p1, gnl|WGS_AAJJ|TC005432-RA.p1	XM_018722889.1.p1
OG0000170	gnl|WGS_AAJJ|TC002952-RA.p1, gnl|WGS_AAJJ|TC002953-RA.p1	XM_018706093.1.p1, XM_023454733.1.p1, XM_018710556.2.p1, XM_018710548.1.p1, XM_018710550.1.p1, XM_018706154.1.p1, XM_023454380.1.p1, XM_018712260.1.p1
OG0000170	gnl|WGS_AAJJ|TC002955-RA.p1	XM_018712246.2.p1
OG0000171	gnl|WGS_AAJJ|TC007810-RA.p1	XM_018713220.1.p1
OG0000171	gnl|WGS_AAJJ|TC008001-RA.p1	XM_018708279.2.p1
OG0000171	gnl|WGS_AAJJ|TC011007-RB.p1	XM_018715270.2.p1
OG0000172	gnl|WGS_AAJJ|TC003869-RA.p1	XM_018720529.1.p1
OG0000172	gnl|WGS_AAJJ|TC007246-RA.p1	XM_018713019.1.p1
OG0000173	gnl|WGS_AAJJ|TC010863-RA.p1	XM_018723228.1.p1
OG0000173	gnl|WGS_AAJJ|TC004672-RA.p1	XM_018722315.2.p1, XM_023455238.1.p1
OG0000174	gnl|WGS_AAJJ|TC002878-RA.p1	XM_018717758.2.p1
OG0000174	gnl|WGS_AAJJ|TC003496-RA.p1	XM_018705477.2.p1, XM_023457303.1.p1, XM_018705430.2.p1, XM_023457300.1.p1, XM_023457301.1.p1, XM_018705471.2.p1, XM_018705432.2.p1, XM_018705469.1.p1, XM_018705422.1.p1
OG0000175	gnl|WGS_AAJJ|TC032506-RA.p1	XM_018712902.1.p1, XM_018712901.2.p1
OG0000176	gnl|WGS_AAJJ|TC010062-RA.p1	XM_018715209.1.p1
OG0000176	gnl|WGS_AAJJ|TC013401-RA.p1	XM_018713642.1.p1
OG0000176	gnl|WGS_AAJJ|TC013402-RA.p1	XM_023454875.1.p1
OG0000176	gnl|WGS_AAJJ|TC012567-RA.p1	XM_018706694.1.p1
OG0000176	gnl|WGS_AAJJ|TC030580-RA.p1	XM_018706696.1.p1
OG0000176	gnl|WGS_AAJJ|TC013480-RA.p1	XM_018713640.1.p1
OG0000177	gnl|WGS_AAJJ|TC012169-RA.p1	XM_018721913.1.p1
OG0000177	gnl|WGS_AAJJ|TC034444-RB.p1	XM_018705954.2.p1
OG0000177	gnl|WGS_AAJJ|TC012512-RA.p1	XM_018724433.1.p1
OG0000178	gnl|WGS_AAJJ|TC006353-RA.p1	XM_018719610.1.p1
OG0000178	gnl|WGS_AAJJ|TC005793-RA.p1	XM_018719607.2.p1
OG0000179	gnl|WGS_AAJJ|TC008838-RA.p1	XM_018713603.1.p1
OG0000179	gnl|WGS_AAJJ|TC034812-RA.p1	XM_023455782.1.p1
OG0000179	gnl|WGS_AAJJ|TC003570-RB.p1	XM_018712984.1.p1
OG0000179	gnl|WGS_AAJJ|TC007409-RB.p1	XM_018707141.1.p1
OG0000180	gnl|WGS_AAJJ|TC011257-RB.p1	XM_018710764.2.p1
OG0000180	gnl|WGS_AAJJ|TC001374-RA.p1	XM_018713909.2.p1
OG0000180	gnl|WGS_AAJJ|TC031930-RA.p1	XM_018719888.1.p1
OG0000180	gnl|WGS_AAJJ|TC033115-RA.p1	XM_023456423.1.p1, XM_018720635.1.p1
OG0000180	gnl|WGS_AAJJ|TC014278-RA.p1	XM_018716917.2.p1
OG0000181	gnl|WGS_AAJJ|TC033874-RC.p2	XM_023454719.1.p1
OG0000182	gnl|WGS_AAJJ|TC008430-RA.p1	XM_018717504.1.p1
OG0000182	gnl|WGS_AAJJ|TC010858-RA.p1	XM_018709749.1.p1
OG0000182	gnl|WGS_AAJJ|TC007068-RA.p1	XM_023455678.1.p1
OG0000182	gnl|WGS_AAJJ|TC007067-RA.p1	XM_018717473.1.p1
OG0000182	gnl|WGS_AAJJ|TC007066-RA.p1	XM_018714067.1.p1
OG0000183	gnl|WGS_AAJJ|TC015567-RA.p1, gnl|WGS_AAJJ|TC015152-RA.p1, gnl|WGS_AAJJ|TC015151-RA.p1	XM_018706909.2.p1, XM_023456300.1.p1
OG0000183	gnl|WGS_AAJJ|TC007966-RA.p1	XM_018716378.1.p1
OG0000183	gnl|WGS_AAJJ|TC007349-RA.p1	XM_018720829.2.p1
OG0000183	gnl|WGS_AAJJ|TC008439-RA.p1	XM_018707469.1.p1
OG0000184	gnl|WGS_AAJJ|TC009316-RA.p1	XM_018710542.1.p1
OG0000185	gnl|WGS_AAJJ|TC014879-RA.p1, gnl|WGS_AAJJ|TC032610-RA.p1	XM_018723906.2.p1
OG0000185	gnl|WGS_AAJJ|TC032612-RA.p1	XM_018724000.2.p1, XM_018723999.2.p1, XM_018724002.2.p1
OG0000185	gnl|WGS_AAJJ|TC005995-RA.p1	XM_018709456.1.p1
OG0000185	gnl|WGS_AAJJ|TC030730-RA.p1	XM_018722341.1.p1
OG0000188	gnl|WGS_AAJJ|TC004849-RA.p1	XM_018710287.2.p1
OG0000188	gnl|WGS_AAJJ|TC014317-RA.p1	XM_018713638.1.p1
OG0000188	gnl|WGS_AAJJ|TC009452-RA.p1	XM_018707407.1.p1, XM_018714770.1.p1
OG0000188	gnl|WGS_AAJJ|TC004564-RA.p1	XM_018712116.1.p1
OG0000189	gnl|WGS_AAJJ|TC007620-RA.p1	XM_018720061.2.p1
OG0000189	gnl|WGS_AAJJ|TC003991-RA.p1	XM_018708009.2.p1, XM_018708008.1.p1
OG0000189	gnl|WGS_AAJJ|TC011529-RA.p1	XM_018707988.1.p1
OG0000189	gnl|WGS_AAJJ|TC002295-RA.p1	XM_018708010.1.p1, XM_018708019.1.p1
OG0000190	gnl|WGS_AAJJ|TC001429-RA.p1, gnl|WGS_AAJJ|TC031343-RA.p1	XM_023456249.1.p1
OG0000191	gnl|WGS_AAJJ|TC005433-RA.p1	XM_018713330.1.p1, XM_018713333.1.p1, XM_018713332.1.p1
OG0000191	gnl|WGS_AAJJ|TC015181-RA.p1	XM_018714722.1.p1
OG0000191	gnl|WGS_AAJJ|TC002563-RA.p1	XM_018722835.1.p1
OG0000191	gnl|WGS_AAJJ|TC005550-RA.p1	XM_018720337.1.p1
OG0000192	gnl|WGS_AAJJ|TC008326-RA.p1	XM_023455345.1.p1
OG0000192	gnl|WGS_AAJJ|TC004313-RA.p1, gnl|WGS_AAJJ|TC004313-RB.p1	XM_023455359.1.p1
OG0000192	gnl|WGS_AAJJ|TC015502-RA.p1	XM_023456077.1.p1
OG0000193	gnl|WGS_AAJJ|TC014151-RA.p1	XM_018714140.1.p1
OG0000193	gnl|WGS_AAJJ|TC000396-RA.p1	XM_018720043.1.p1
OG0000193	gnl|WGS_AAJJ|TC007431-RA.p1	XM_018707286.1.p1
OG0000194	gnl|WGS_AAJJ|TC031776-RA.p1	XM_023455231.1.p1, XM_018719316.1.p1, XM_018718530.1.p1
OG0000195	gnl|WGS_AAJJ|TC004760-RA.p1	XM_023457389.1.p1
OG0000195	gnl|WGS_AAJJ|TC004632-RA.p1	XM_018721324.1.p1
OG0000195	gnl|WGS_AAJJ|TC001010-RA.p1	XM_018717565.1.p1
OG0000195	gnl|WGS_AAJJ|TC033399-RA.p1	XM_023455545.1.p1
OG0000195	gnl|WGS_AAJJ|TC032137-RA.p1	XM_018720467.1.p1
OG0000195	gnl|WGS_AAJJ|TC000555-RA.p1, gnl|WGS_AAJJ|TC032138-RA.p1	XM_018720468.1.p1
OG0000196	gnl|WGS_AAJJ|TC015079-RA.p1	XM_023455034.1.p1
OG0000196	gnl|WGS_AAJJ|TC004743-RA.p1	XM_018720576.1.p1
OG0000196	gnl|WGS_AAJJ|TC032271-RA.p1	XM_018717266.1.p1
OG0000196	gnl|WGS_AAJJ|TC000173-RA.p1, gnl|WGS_AAJJ|TC032270-RA.p1	XM_018714422.2.p1, XM_018714423.1.p1, XM_018705265.1.p1
OG0000196	gnl|WGS_AAJJ|TC000174-RA.p1	XM_018705305.2.p1
OG0000196	gnl|WGS_AAJJ|TC007331-RA.p1	XM_018723976.1.p1
OG0000197	gnl|WGS_AAJJ|TC001018-RA.p1	XM_023455688.1.p1
OG0000197	gnl|WGS_AAJJ|TC012852-RA.p1	XM_018712506.1.p1
OG0000197	gnl|WGS_AAJJ|TC004838-RB.p1, gnl|WGS_AAJJ|TC004836-RA.p1	XM_018714419.1.p1
OG0000197	gnl|WGS_AAJJ|TC004383-RA.p1	XM_018723554.1.p1
OG0000197	gnl|WGS_AAJJ|TC000394-RD.p1, gnl|WGS_AAJJ|TC000394-RA.p1	XM_018722533.1.p1
OG0000198	gnl|WGS_AAJJ|TC004957-RA.p1	XM_023456028.1.p1
OG0000198	gnl|WGS_AAJJ|TC000249-RA.p1, gnl|WGS_AAJJ|TC000248-RA.p1	XM_018705774.1.p1, XM_023454671.1.p1
OG0000198	gnl|WGS_AAJJ|TC000247-RA.p1	XM_018706121.1.p1
OG0000198	gnl|WGS_AAJJ|TC032249-RA.p1, gnl|WGS_AAJJ|TC000246-RA.p1	XM_018718277.1.p1, XM_018718282.2.p1, XM_023455187.1.p1
OG0000199	gnl|WGS_AAJJ|TC007853-RA.p1	XM_018718239.2.p1, XM_018717089.1.p1
OG0000199	gnl|WGS_AAJJ|TC005406-RA.p1	XM_018721846.1.p1
OG0000199	gnl|WGS_AAJJ|TC034298-RA.p1	XM_018721609.2.p1
OG0000200	gnl|WGS_AAJJ|TC031214-RB.p1	XM_018707546.1.p1
OG0000200	gnl|WGS_AAJJ|TC033861-RA.p1	XM_018708352.1.p1
OG0000200	gnl|WGS_AAJJ|TC013687-RA.p1, gnl|WGS_AAJJ|TC006641-RA.p1	XM_018714802.1.p1
OG0000200	gnl|WGS_AAJJ|TC010173-RA.p1	XM_018710775.1.p1
OG0000200	gnl|WGS_AAJJ|TC006146-RA.p1	XM_018718586.1.p1, XM_018712929.1.p1, XM_018718587.1.p1, XM_018712927.1.p1, XM_018712928.1.p1
OG0000201	gnl|WGS_AAJJ|TC030955-RA.p1	XM_018719092.1.p1, XM_018719094.1.p1, XM_018720870.1.p1, XM_023455177.1.p1
OG0000201	gnl|WGS_AAJJ|TC004286-RA.p1	XM_018707555.1.p1
OG0000202	gnl|WGS_AAJJ|TC008448-RA.p1	XM_018713178.1.p1
OG0000202	gnl|WGS_AAJJ|TC007053-RA.p1	XM_023454895.1.p1
OG0000202	gnl|WGS_AAJJ|TC007055-RA.p1	XM_018713202.2.p1
OG0000202	gnl|WGS_AAJJ|TC007226-RA.p1	XM_023454210.1.p1, XM_023457048.1.p1
OG0000202	gnl|WGS_AAJJ|TC007110-RA.p1	XM_018710966.1.p1
OG0000202	gnl|WGS_AAJJ|TC008070-RA.p1	XM_018705776.1.p1
OG0000203	gnl|WGS_AAJJ|TC008637-RA.p1, gnl|WGS_AAJJ|TC008638-RA.p1	XM_018718967.2.p1
OG0000203	gnl|WGS_AAJJ|TC032364-RA.p1	XM_018707967.2.p1
OG0000203	gnl|WGS_AAJJ|TC034867-RB.p1, gnl|WGS_AAJJ|TC034867-RA.p1	XM_018708097.1.p1
OG0000204	gnl|WGS_AAJJ|TC030128-RA.p1, gnl|WGS_AAJJ|TC030127-RA.p1, gnl|WGS_AAJJ|TC030126-RB.p1, gnl|WGS_AAJJ|TC015409-RA.p1, gnl|WGS_AAJJ|TC033314-RA.p1	XM_018718678.1.p1
OG0000204	gnl|WGS_AAJJ|TC030254-RA.p1	XM_023455965.1.p1, XM_018723465.1.p1
OG0000205	gnl|WGS_AAJJ|TC013045-RA.p1	XM_018713832.1.p1
OG0000205	gnl|WGS_AAJJ|TC031159-RA.p1	XM_018713811.2.p1
OG0000205	gnl|WGS_AAJJ|TC013048-RA.p1, gnl|WGS_AAJJ|TC013046-RA.p1, gnl|WGS_AAJJ|TC013047-RA.p1	XM_018713857.2.p1, XM_018713827.1.p1, XM_018713856.2.p1
OG0000205	gnl|WGS_AAJJ|TC012187-RA.p1, gnl|WGS_AAJJ|TC012188-RA.p1	XM_018724397.1.p1
OG0000206	gnl|WGS_AAJJ|TC011873-RA.p1	XM_023454742.1.p1
OG0000206	gnl|WGS_AAJJ|TC033785-RA.p1	XM_023454817.1.p1
OG0000206	gnl|WGS_AAJJ|TC001667-RA.p1	XM_023454820.1.p1
OG0000206	gnl|WGS_AAJJ|TC034177-RB.p1	XM_023455500.1.p1
OG0000207	gnl|WGS_AAJJ|TC007500-RA.p1	XM_018709661.2.p1
OG0000207	gnl|WGS_AAJJ|TC032793-RA.p1	XM_018709614.1.p1
OG0000207	gnl|WGS_AAJJ|TC008321-RA.p1	XM_018716616.1.p1
OG0000207	gnl|WGS_AAJJ|TC032883-RA.p1, gnl|WGS_AAJJ|TC032883-RB.p1	XM_023455390.1.p1
OG0000207	gnl|WGS_AAJJ|TC007996-RA.p1	XM_018709695.1.p1
OG0000208	gnl|WGS_AAJJ|TC012270-RA.p1	XM_018719717.1.p1
OG0000208	gnl|WGS_AAJJ|TC012269-RA.p1	XM_018719697.1.p1
OG0000208	gnl|WGS_AAJJ|TC012196-RA.p1	XM_018719630.1.p1
OG0000208	gnl|WGS_AAJJ|TC006493-RA.p1	XM_018709362.1.p1, XM_018709361.1.p1
OG0000208	gnl|WGS_AAJJ|TC012704-RA.p2	XM_018706462.1.p1
OG0000209	gnl|WGS_AAJJ|TC011226-RC.p1, gnl|WGS_AAJJ|TC011226-RG.p1, gnl|WGS_AAJJ|TC011226-RA.p1, gnl|WGS_AAJJ|TC011227-RB.p1, gnl|WGS_AAJJ|TC011227-RC.p1	XM_023455696.1.p1
OG0000209	gnl|WGS_AAJJ|TC004715-RE.p1	XM_023454842.1.p1
OG0000210	gnl|WGS_AAJJ|TC014251-RA.p1	XM_023457241.1.p1
OG0000210	gnl|WGS_AAJJ|TC033425-RA.p1	XM_023455102.1.p1
OG0000210	gnl|WGS_AAJJ|TC031142-RA.p1	XM_023454190.1.p1
OG0000210	gnl|WGS_AAJJ|TC005075-RA.p1	XM_018706050.1.p1
OG0000210	gnl|WGS_AAJJ|TC032339-RA.p1	XM_023454849.1.p1
OG0000211	gnl|WGS_AAJJ|TC010064-RA.p1	XM_018709524.1.p1
OG0000211	gnl|WGS_AAJJ|TC008757-RA.p1	XM_018709522.1.p1
OG0000211	gnl|WGS_AAJJ|TC030447-RA.p1	XM_018709530.1.p1, XM_018709525.1.p1, XM_018709531.1.p1, XM_018709528.1.p1, XM_018709526.1.p1, XM_018709551.1.p1, XM_018719416.1.p1, XM_018709527.1.p1, XM_018709518.1.p2, XM_018709535.1.p1, XM_018709552.1.p1, XM_018719418.1.p1, XM_018709548.1.p1, XM_018709519.1.p1, XM_018709520.1.p1, XM_018709545.1.p1, XM_018709550.1.p1, XM_018709537.1.p1
OG0000211	gnl|WGS_AAJJ|TC010063-RA.p1	XM_018709541.1.p1
OG0000212	gnl|WGS_AAJJ|TC006656-RA.p1	XM_023456310.1.p1
OG0000212	gnl|WGS_AAJJ|TC001251-RA.p1	XM_018709973.2.p1
OG0000212	gnl|WGS_AAJJ|TC008274-RA.p1	XM_018717465.1.p1
OG0000213	gnl|WGS_AAJJ|TC013810-RA.p1	XM_018705524.1.p1
OG0000215	gnl|WGS_AAJJ|TC007754-RA.p1	XM_023455056.1.p1
OG0000215	gnl|WGS_AAJJ|TC009978-RA.p1	XM_018723833.1.p1
OG0000216	gnl|WGS_AAJJ|TC032877-RA.p1	XM_018717738.1.p1
OG0000216	gnl|WGS_AAJJ|TC032879-RA.p1	XM_023453944.1.p1
OG0000216	gnl|WGS_AAJJ|TC032760-RA.p1	XM_018714865.2.p1
OG0000216	gnl|WGS_AAJJ|TC032189-RA.p1	XM_018714942.1.p1, XM_018714941.1.p1
OG0000217	gnl|WGS_AAJJ|TC004691-RA.p1	XM_018711003.1.p1
OG0000217	gnl|WGS_AAJJ|TC012518-RA.p1	XM_018708848.2.p1
OG0000217	gnl|WGS_AAJJ|TC031508-RA.p1	XM_023454104.1.p1
OG0000218	gnl|WGS_AAJJ|TC000676-RA.p1	XM_018712763.2.p1
OG0000218	gnl|WGS_AAJJ|TC000675-RA.p1	XM_018712767.1.p1
OG0000218	gnl|WGS_AAJJ|TC005582-RA.p1	XM_018721043.1.p1
OG0000218	gnl|WGS_AAJJ|TC006725-RA.p1	XM_018706677.2.p1
OG0000219	gnl|WGS_AAJJ|TC012131-RA.p1	XM_018707187.1.p1
OG0000219	gnl|WGS_AAJJ|TC001978-RA.p1, gnl|WGS_AAJJ|TC001977-RA.p1	XM_018714185.1.p1, XM_018714184.1.p1, XM_023456038.1.p1
OG0000219	gnl|WGS_AAJJ|TC013628-RA.p1	XM_018710259.1.p1
OG0000220	gnl|WGS_AAJJ|TC033053-RC.p1	XM_023454649.1.p1, XM_018713363.1.p1
OG0000220	gnl|WGS_AAJJ|TC032346-RA.p1	XM_018709809.2.p1
OG0000222	gnl|WGS_AAJJ|TC013187-RA.p1	XM_018722236.2.p1
OG0000222	gnl|WGS_AAJJ|TC010449-RA.p1	XM_018705833.2.p1
OG0000222	gnl|WGS_AAJJ|TC012434-RA.p1	XM_018713168.2.p1
OG0000222	gnl|WGS_AAJJ|TC000961-RA.p1	XM_018714500.1.p1
OG0000222	gnl|WGS_AAJJ|TC002141-RA.p1	XM_018714010.1.p1
OG0000223	gnl|WGS_AAJJ|TC012580-RA.p1, gnl|WGS_AAJJ|TC012579-RA.p1	XM_018721850.1.p1
OG0000223	gnl|WGS_AAJJ|TC012581-RA.p1	XM_023454249.1.p1
OG0000223	gnl|WGS_AAJJ|TC034639-RA.p1	XM_018712121.1.p1
OG0000223	gnl|WGS_AAJJ|TC003841-RA.p1	XM_018712278.2.p1
OG0000225	gnl|WGS_AAJJ|TC032969-RA.p1	XM_018720780.1.p1
OG0000225	gnl|WGS_AAJJ|TC006708-RA.p1	XM_018709901.2.p1
OG0000225	gnl|WGS_AAJJ|TC001199-RA.p1, gnl|WGS_AAJJ|TC006707-RA.p1	XM_018709924.2.p1
OG0000225	gnl|WGS_AAJJ|TC006706-RA.p1	XM_018705974.1.p1
OG0000226	gnl|WGS_AAJJ|TC011662-RA.p1	XM_018715064.1.p1
OG0000226	gnl|WGS_AAJJ|TC011665-RA.p1	XM_018722292.1.p1
OG0000226	gnl|WGS_AAJJ|TC012810-RA.p1	XM_018722293.1.p1
OG0000226	gnl|WGS_AAJJ|TC011661-RA.p1	XM_018715069.1.p1
OG0000227	gnl|WGS_AAJJ|TC033070-RA.p1	XM_018706056.1.p1
OG0000227	gnl|WGS_AAJJ|TC030113-RA.p1	XM_023454188.1.p1, XM_023454189.1.p1
OG0000227	gnl|WGS_AAJJ|TC030109-RA.p1	XM_023454187.1.p1
OG0000227	gnl|WGS_AAJJ|TC030120-RA.p1, gnl|WGS_AAJJ|TC030105-RA.p1	XM_023454192.1.p1
OG0000228	gnl|WGS_AAJJ|TC005264-RA.p1	XM_023456531.1.p1
