Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Mycosphaerella_fijiensis_rna_prot
OG0000575	XM_001588302.1.p1	XM_007928361.1.p1
OG0000576	XM_001598260.1.p1	XM_007924591.1.p1
OG0000577	XM_001594482.1.p1	XM_007929741.1.p1, XM_007929101.1.p1, XM_007924410.1.p1
OG0000577	XM_001597370.1.p1	XM_007921898.1.p1
OG0000579	XM_001598740.1.p1	XM_007927860.1.p1
OG0000579	XM_001598216.1.p1	XM_007923225.1.p1
OG0000581	XM_001598836.1.p1	XM_007923226.1.p1
OG0000581	XM_001585825.1.p1	XM_007922553.1.p1
OG0000582	XM_001592617.1.p1	XM_007924090.1.p1
OG0000582	XM_001592459.1.p1	XM_007923182.1.p1
OG0000583	XM_001587683.1.p1	XM_007933310.1.p1, XM_007933271.1.p1, XM_007929744.1.p1
OG0000584	XM_001584971.1.p1	XM_007924355.1.p1
OG0000584	XM_001584969.1.p1	XM_007924418.1.p1
OG0000585	XM_001594243.1.p1	XM_007923646.1.p1
OG0000586	XM_001596162.1.p1	XM_007921633.1.p1
OG0000587	XM_001588230.1.p1	XM_007921501.1.p1
OG0000588	XM_001586513.1.p1	XM_007924833.1.p1
OG0000588	XM_001586815.1.p1	XM_007930426.1.p1
OG0000589	XM_001593383.1.p1	XM_007923254.1.p1
OG0000589	XM_001598163.1.p1	XM_007925363.1.p1
OG0000590	XM_001591738.1.p1, XM_001589568.1.p1, XM_001593325.1.p1, XM_001596272.1.p1	XM_007922941.1.p1, XM_007932791.1.p1
OG0000592	XM_001597088.1.p1	XM_007929546.1.p1, XM_007929419.1.p1
OG0000592	XM_001588482.1.p1	XM_007923561.1.p1
OG0000592	XM_001586527.1.p1	XM_007921535.1.p1
OG0000593	XM_001589346.1.p1	XM_007931552.1.p1
OG0000594	XM_001588641.1.p1	XM_007927166.1.p1
OG0000595	XM_001589667.1.p1	XM_007925608.1.p1
OG0000595	XM_001587433.1.p1	XM_007923570.1.p1
OG0000596	XM_001598489.1.p1	XM_007927096.1.p1
OG0000597	XM_001586224.1.p1	XM_007930832.1.p1
OG0000600	XM_001598296.1.p1	XM_007929300.1.p1
OG0000601	XM_001594734.1.p1	XM_007930428.1.p1
OG0000602	XM_001593498.1.p1	XM_007927888.1.p1
OG0000602	XM_001593423.1.p1	XM_007921868.1.p1
OG0000603	XM_001589302.1.p1	XM_007929974.1.p1
OG0000607	XM_001590536.1.p1	XM_007932454.1.p1
OG0000608	XM_001585159.1.p1	XM_007924259.1.p1
OG0000610	XM_001587685.1.p1	XM_007933100.1.p1
OG0000611	XM_001584794.1.p1	XM_007931008.1.p1
OG0000611	XM_001588443.1.p1	XM_007928776.1.p1
OG0000612	XM_001585145.1.p1	XM_007932770.1.p1
OG0000612	XM_001585254.1.p1	XM_007923399.1.p1
OG0000613	XM_001598913.1.p1	XM_007922840.1.p1
OG0000613	XM_001590405.1.p1	XM_007924401.1.p1
OG0000614	XM_001596566.1.p1	XM_007922627.1.p1
OG0000614	XM_001595436.1.p1	XM_007924248.1.p1
OG0000616	XM_001588389.1.p1	XM_007926111.1.p1
OG0000617	XM_001593217.1.p1	XM_007931469.1.p1
OG0000617	XM_001591019.1.p1	XM_007929665.1.p1
OG0000618	XM_001591111.1.p1	XM_007925270.1.p1
OG0000620	XM_001588805.1.p1	XM_007926680.1.p1
OG0000621	XM_001596841.1.p1	XM_007928047.1.p1
OG0000621	XM_001598866.1.p1	XM_007924431.1.p1, XM_007925561.1.p1
OG0000622	XM_001588461.1.p1, XM_001598715.1.p1	XM_007924045.1.p1
OG0000623	XM_001590677.1.p1	XM_007924393.1.p1
OG0000624	XM_001594377.1.p1	XM_007928386.1.p1
OG0000625	XM_001589316.1.p1	XM_007931923.1.p1
OG0000626	XM_001588533.1.p1	XM_007928276.1.p1
OG0000628	XM_001586561.1.p1	XM_007933238.1.p1
OG0000629	XM_001594794.1.p1	XM_007921924.1.p1
OG0000630	XM_001589004.1.p1	XM_007926703.1.p1
OG0000631	XM_001585037.1.p1	XM_007931550.1.p1
OG0000633	XM_001590819.1.p1	XM_007932709.1.p1
OG0000634	XM_001593326.1.p1	XM_007931813.1.p1
OG0000641	XM_001586942.1.p1	XM_007933616.1.p1
OG0000642	XM_001592393.1.p1	XM_007922597.1.p1
OG0000643	XM_001589232.1.p1	XM_007933140.1.p1
OG0000643	XM_001586018.1.p1	XM_007925940.1.p1
OG0000644	XM_001591795.1.p1	XM_007923411.1.p1
OG0000645	XM_001590830.1.p1, XM_001589099.1.p1	XM_007929147.1.p1, XM_007924895.1.p1
OG0000646	XM_001590778.1.p1	XM_007932412.1.p1
OG0000647	XM_001587654.1.p1	XM_007921619.1.p1, XM_007933870.1.p1
OG0000648	XM_001589012.1.p1	XM_007927003.1.p1
OG0000649	XM_001589418.1.p1	XM_007922033.1.p1
OG0000649	XM_001589600.1.p1	XM_007927554.1.p1
OG0000651	XM_001588210.1.p1	XM_007929836.1.p1
OG0000652	XM_001592321.1.p1	XM_007921433.2.p1
OG0000654	XM_001588727.1.p1	XM_007927903.1.p1
OG0000655	XM_001593583.1.p1	XM_007922461.1.p1
OG0000655	XM_001597938.1.p1	XM_007923102.1.p1, XM_007927711.1.p1
OG0000656	XM_001594487.1.p1	XM_007921879.1.p1
OG0000657	XM_001593859.1.p1	XM_007927855.1.p1
OG0000657	XM_001591519.1.p1	XM_007924921.1.p1
OG0000658	XM_001588121.1.p1	XM_007932000.1.p1
OG0000659	XM_001588433.1.p1	XM_007926877.1.p1
OG0000659	XM_001597588.1.p1	XM_007929127.1.p1
OG0000660	XM_001587702.1.p1	XM_007933139.1.p1
OG0000661	XM_001591625.1.p1	XM_007922631.1.p1
OG0000662	XM_001587349.1.p1	XM_007927307.1.p1, XM_007923822.1.p1, XM_007928892.1.p1, XM_007925039.1.p1
OG0000663	XM_001595888.1.p1	XM_007923771.1.p1
OG0000663	XM_001593339.1.p1	XM_007928124.1.p1
OG0000665	XM_001597611.1.p1	XM_007925713.1.p1
OG0000665	XM_001587764.1.p1	XM_007933347.1.p1
OG0000666	XM_001590386.1.p1	XM_007926403.1.p1
OG0000675	XM_001593877.1.p1	XM_007922924.1.p1
OG0000676	XM_001588952.1.p1	XM_007933031.1.p1
OG0000678	XM_001591970.1.p1	XM_007926850.1.p1
OG0000680	XM_001597379.1.p1	XM_007926423.1.p1
OG0000680	XM_001594200.1.p1, XM_001594199.1.p1	XM_007931673.1.p1
OG0000681	XM_001588807.1.p1	XM_007926736.1.p1
OG0000683	XM_001592158.1.p1	XM_007924604.1.p1, XM_007922879.1.p1, XM_007932532.1.p1
OG0000684	XM_001594435.1.p1	XM_007926014.1.p1, XM_007933361.1.p1
OG0000685	XM_001596619.1.p1	XM_007921634.1.p1, XM_007932358.1.p1
OG0000685	XM_001586676.1.p1	XM_007932778.1.p1
OG0000687	XM_001590432.1.p1	XM_007929144.1.p1
OG0000687	XM_001588710.1.p1	XM_007921817.1.p1
OG0000688	XM_001584724.1.p1	XM_007932033.1.p1
OG0000688	XM_001597165.1.p1	XM_007923751.1.p1
OG0000690	XM_001592277.1.p1	XM_007934282.1.p1
OG0000694	XM_001592443.1.p1	XM_007921720.1.p1
OG0000694	XM_001586351.1.p1	XM_007930485.1.p1
OG0000695	XM_001598068.1.p1	XM_007928866.1.p1
OG0000696	XM_001591039.1.p1	XM_007928753.1.p1
OG0000697	XM_001592369.1.p1	XM_007925320.1.p1
OG0000698	XM_001588339.1.p1	XM_007930102.1.p1
OG0000699	XM_001586012.1.p1	XM_007922738.1.p1
OG0000700	XM_001596857.1.p1	XM_007921925.1.p1
OG0000701	XM_001598701.1.p1	XM_007930507.1.p1
OG0000701	XM_001597738.1.p1	XM_007923460.1.p1
OG0000702	XM_001590377.1.p1	XM_007926441.1.p1
OG0000703	XM_001586680.1.p1, XM_001584591.1.p1	XM_007922129.1.p1
OG0000704	XM_001593295.1.p1, XM_001598316.1.p1	XM_007926108.1.p1
OG0000705	XM_001590323.1.p1, XM_001589597.1.p1, XM_001586677.1.p1	XM_007929343.1.p1
OG0000709	XM_001588477.1.p1	XM_007925274.1.p1
OG0000709	XM_001589280.1.p1	XM_007926069.1.p1
OG0000711	XM_001593724.1.p1	XM_007923952.1.p1, XM_007924192.1.p1
OG0000718	XM_001584951.1.p1	XM_007931864.1.p1
OG0000718	XM_001589768.1.p1	XM_007923644.1.p1
OG0000719	XM_001594228.1.p1	XM_007924292.1.p1
OG0000723	XM_001595771.1.p1	XM_007923621.1.p1
OG0000724	XM_001597293.1.p1	XM_007927958.1.p1
OG0000726	XM_001595123.1.p1, XM_001591330.1.p1	XM_007926835.1.p1
OG0000727	XM_001592634.1.p1	XM_007923200.1.p1
OG0000728	XM_001588955.1.p1	XM_007923521.1.p1, XM_007931992.1.p1
OG0000729	XM_001593697.1.p1	XM_007922983.1.p1
OG0000730	XM_001592960.1.p1	XM_007927937.1.p1
OG0000731	XM_001598010.1.p1	XM_007926480.1.p1
OG0000733	XM_001590497.1.p1	XM_007932764.1.p1
OG0000735	XM_001592013.1.p1	XM_007925887.1.p1
OG0000736	XM_001598120.1.p1	XM_007926195.1.p1
OG0000736	XM_001586755.1.p1	XM_007933621.1.p1
OG0000737	XM_001585464.1.p1	XM_007922075.1.p1
OG0000738	XM_001589763.1.p1	XM_007923695.1.p1
OG0000739	XM_001591620.1.p1	XM_007924444.1.p1, XM_007924152.1.p1
OG0000740	XM_001594516.1.p1	XM_007933172.1.p1
OG0000741	XM_001585910.1.p1	XM_007934315.1.p1
OG0000742	XM_001597193.1.p1	XM_007921954.1.p1
OG0000742	XM_001598237.1.p1	XM_007923441.1.p1
OG0000743	XM_001591205.1.p1	XM_007933882.1.p1
OG0000751	XM_001589822.1.p1	XM_007932407.1.p1
OG0000751	XM_001596945.1.p1	XM_007922688.1.p1
OG0000752	XM_001597613.1.p1	XM_007925166.1.p1
OG0000753	XM_001587676.1.p1	XM_007933018.1.p1
OG0000753	XM_001591506.1.p1	XM_007924509.1.p1
OG0000754	XM_001593020.1.p1	XM_007931957.1.p1, XM_007932773.1.p1, XM_007927062.1.p1, XM_007931959.1.p1, XM_007932771.1.p1
OG0000755	XM_001596807.1.p1, XM_001586833.1.p1	XM_007924700.1.p1
OG0000757	XM_001593138.1.p1	XM_007930681.1.p1
OG0000758	XM_001590577.1.p1	XM_007932396.1.p1
OG0000759	XM_001593983.1.p1	XM_007925584.1.p1
OG0000760	XM_001598485.1.p1	XM_007925977.1.p1
OG0000761	XM_001592728.1.p1	XM_007930460.1.p1
OG0000761	XM_001592729.1.p1	XM_007930461.1.p1
OG0000762	XM_001594392.1.p1	XM_007923459.1.p1
OG0000762	XM_001585091.1.p1	XM_007931429.1.p1
OG0000762	XM_001590564.1.p1	XM_007932685.1.p1, XM_007931373.1.p1
OG0000763	XM_001590106.1.p1	XM_007932138.1.p1
OG0000763	XM_001591452.1.p1	XM_007925183.1.p1
OG0000764	XM_001590789.1.p1	XM_007932940.1.p1
OG0000764	XM_001589307.1.p1	XM_007930607.1.p1
OG0000766	XM_001584664.1.p1	XM_007927069.1.p1, XM_007929514.1.p1
OG0000767	XM_001596669.1.p1	XM_007923857.2.p1
OG0000769	XM_001591980.1.p1	XM_007926770.1.p1
OG0000770	XM_001585905.1.p1	XM_007925852.1.p1
OG0000770	XM_001593837.1.p1	XM_007930355.1.p1
OG0000772	XM_001596787.1.p1	XM_007929406.1.p1
OG0000773	XM_001589152.1.p1, XM_001585787.1.p1	XM_007925313.2.p1
OG0000774	XM_001585346.1.p1	XM_007927012.1.p1, XM_007927011.1.p1, XM_007927949.1.p1
OG0000775	XM_001588040.1.p1	XM_007927718.1.p1
OG0000776	XM_001587558.1.p1	XM_007926469.1.p1
OG0000777	XM_001589734.1.p1	XM_007921583.1.p1
OG0000779	XM_001596814.1.p1	XM_007931164.1.p1
OG0000780	XM_001596764.1.p1	XM_007928020.1.p1
OG0000780	XM_001589984.1.p1	XM_007929990.1.p1
OG0000781	XM_001591637.1.p1	XM_007922833.1.p1
OG0000782	XM_001592743.1.p1	XM_007930279.1.p1
OG0000788	XM_001593948.1.p1	XM_007921716.1.p1
OG0000789	XM_001595138.1.p1	XM_007923304.1.p1
OG0000790	XM_001588711.1.p1	XM_007921485.1.p1
OG0000791	XM_001594295.1.p1	XM_007925502.1.p1
OG0000791	XM_001589639.1.p1	XM_007928488.1.p1
OG0000791	XM_001590505.1.p1	XM_007932293.1.p1
OG0000792	XM_001593640.1.p1	XM_007923244.1.p1
OG0000793	XM_001588947.1.p1	XM_007926367.1.p1
OG0000793	XM_001588068.1.p1	XM_007923880.1.p1
OG0000794	XM_001589028.1.p1	XM_007926080.1.p1
OG0000796	XM_001590467.1.p1	XM_007932321.1.p1
OG0000796	XM_001597758.1.p1	XM_007927741.1.p1
OG0000797	XM_001586761.1.p1	XM_007929810.1.p1
OG0000799	XM_001598185.1.p1	XM_007927389.1.p1
OG0000800	XM_001586023.1.p1	XM_007925938.1.p1
OG0000800	XM_001592009.1.p1	XM_007933170.1.p1
OG0000801	XM_001592333.1.p1	XM_007928369.1.p1
OG0000803	XM_001592402.1.p1	XM_007923194.1.p1
OG0000805	XM_001598102.1.p1	XM_007926290.1.p1
OG0000806	XM_001590392.1.p1	XM_007928695.1.p1
OG0000806	XM_001589187.1.p1	XM_007930199.1.p1
OG0000807	XM_001597524.1.p1	XM_007924385.1.p1
OG0000808	XM_001597536.1.p1	XM_007930497.1.p1
OG0000809	XM_001598101.1.p1	XM_007933981.1.p1
OG0000810	XM_001592962.1.p1	XM_007926834.1.p1
OG0000812	XM_001593803.1.p1	XM_007923245.1.p1, XM_007927616.1.p1
OG0000812	XM_001596379.1.p1	XM_007923056.1.p1
OG0000813	XM_001592242.1.p1	XM_007926930.1.p1
OG0000814	XM_001594454.1.p1	XM_007925547.1.p1
OG0000814	XM_001591234.1.p1	XM_007930149.1.p1
OG0000815	XM_001590827.1.p1	XM_007931541.1.p1
OG0000817	XM_001589496.1.p1	XM_007933152.1.p1
OG0000818	XM_001596889.1.p1	XM_007928772.1.p1
OG0000819	XM_001595145.1.p1	XM_007927143.1.p1
OG0000820	XM_001596118.1.p1	XM_007924935.1.p1
OG0000821	XM_001596577.1.p1	XM_007933482.1.p1
OG0000821	XM_001594412.1.p1	XM_007931116.1.p1
OG0000822	XM_001597996.1.p1	XM_007924912.1.p1
OG0000823	XM_001594941.1.p1	XM_007931176.1.p1
OG0000824	XM_001596316.1.p1	XM_007930594.1.p1, XM_007930636.1.p1, XM_007926807.1.p1
OG0000833	XM_001585066.1.p1	XM_007931878.1.p1
OG0000835	XM_001594972.1.p1	XM_007933420.1.p1
OG0000837	XM_001589349.1.p1	XM_007929793.1.p1
OG0000838	XM_001585082.1.p1	XM_007931413.1.p1
OG0000840	XM_001590356.1.p1, XM_001598433.1.p1, XM_001591761.1.p1	XM_007925961.1.p1
OG0000842	XM_001590686.1.p1	XM_007932436.1.p1
OG0000842	XM_001590759.1.p1	XM_007926061.1.p1
OG0000843	XM_001595926.1.p1	XM_007921611.1.p1
OG0000844	XM_001588877.1.p1	XM_007923548.1.p1
OG0000845	XM_001589804.1.p1, XM_001591296.1.p1	XM_007927077.1.p1
OG0000846	XM_001590812.1.p1	XM_007932932.1.p1
OG0000847	XM_001590428.1.p1	XM_007927559.1.p1, XM_007924171.1.p1
OG0000848	XM_001596923.1.p1, XM_001593063.1.p1	XM_007928279.1.p1
OG0000849	XM_001598887.1.p1	XM_007924800.1.p1
OG0000850	XM_001590302.1.p1	XM_007930578.1.p1
OG0000850	XM_001591407.1.p1	XM_007921640.1.p1
OG0000851	XM_001598336.1.p1	XM_007922026.1.p1, XM_007926101.1.p1
OG0000852	XM_001595780.1.p1	XM_007921587.1.p1
OG0000853	XM_001591040.1.p1	XM_007930529.1.p1
OG0000855	XM_001591217.1.p1	XM_007921982.1.p1
OG0000856	XM_001592531.1.p1	XM_007922927.1.p1
OG0000857	XM_001593980.1.p1	XM_007930518.1.p1
OG0000859	XM_001591771.1.p1	XM_007930161.1.p1
OG0000860	XM_001597972.1.p1	XM_007933973.1.p1
OG0000862	XM_001597870.1.p1	XM_007934279.1.p1
OG0000863	XM_001596881.1.p1	XM_007923395.1.p1
OG0000864	XM_001593637.1.p1	XM_007928268.1.p1
OG0000864	XM_001589072.1.p1	XM_007931586.1.p1
OG0000866	XM_001590913.1.p1, XM_001598347.1.p1	XM_007933219.1.p1
OG0000867	XM_001592201.1.p1	XM_007921944.1.p1
OG0000868	XM_001596445.1.p1	XM_007930044.1.p1
OG0000869	XM_001586557.1.p1	XM_007923209.1.p1
OG0000870	XM_001589082.1.p1	XM_007932194.1.p1
OG0000871	XM_001584684.1.p1	XM_007924070.1.p1
OG0000879	XM_001589058.1.p1	XM_007932084.1.p1
OG0000880	XM_001594610.1.p1	XM_007932586.1.p1, XM_007932362.1.p1, XM_007921766.1.p1
OG0000881	XM_001598078.1.p1	XM_007924213.1.p1
OG0000882	XM_001591123.1.p1	XM_007925366.1.p1
OG0000883	XM_001592684.1.p1	XM_007928043.1.p1
OG0000886	XM_001597766.1.p1	XM_007928761.1.p1
OG0000887	XM_001590479.1.p1	XM_007933001.1.p1
OG0000888	XM_001588156.1.p1	XM_007926023.1.p1
OG0000889	XM_001595904.1.p1, XM_001587720.1.p1	XM_007930510.1.p1
OG0000890	XM_001595595.1.p1	XM_007926383.1.p1
OG0000892	XM_001589455.1.p1	XM_007922111.1.p1
OG0000893	XM_001593810.1.p1	XM_007922481.1.p1
OG0000894	XM_001594761.1.p1	XM_007923313.1.p1
OG0000896	XM_001588385.1.p1	XM_007927688.1.p1
OG0000896	XM_001597532.1.p1	XM_007927621.1.p1
OG0000896	XM_001585538.1.p1	XM_007926043.1.p1
OG0000898	XM_001594950.1.p1	XM_007931037.1.p1
OG0000899	XM_001590448.1.p1	XM_007931962.1.p1
OG0000900	XM_001587345.1.p1	XM_007926568.1.p1
OG0000900	XM_001587164.1.p1	XM_007932024.1.p1
OG0000901	XM_001594946.1.p1	XM_007931209.2.p1
OG0000902	XM_001590403.1.p1	XM_007924468.1.p1
OG0000902	XM_001597563.1.p1	XM_007925360.1.p1
OG0000905	XM_001585973.1.p1	XM_007931981.1.p1, XM_007929500.1.p1
OG0000906	XM_001598656.1.p1	XM_007925413.1.p1
OG0000907	XM_001594766.1.p1	XM_007933865.1.p1
OG0000908	XM_001594258.1.p1	XM_007930176.1.p1
OG0000909	XM_001592755.1.p1	XM_007927679.1.p1
OG0000910	XM_001591606.1.p1	XM_007924451.1.p1
OG0000911	XM_001586116.1.p1	XM_007931091.1.p1
OG0000912	XM_001596337.1.p1	XM_007927344.1.p1
OG0000913	XM_001595797.1.p1	XM_007926893.1.p1
OG0000914	XM_001585726.1.p1, XM_001585725.1.p1	XM_007930489.1.p1
OG0000915	XM_001594710.1.p1	XM_007923178.1.p1
OG0000917	XM_001594442.1.p1	XM_007928791.1.p1
OG0000917	XM_001594441.1.p1	XM_007923897.1.p1
OG0000918	XM_001597261.1.p1, XM_001591703.1.p1	XM_007929805.1.p1
OG0000919	XM_001591846.1.p1	XM_007923021.1.p1
OG0000920	XM_001587710.1.p1	XM_007933022.1.p1
OG0000921	XM_001594655.1.p1	XM_007931174.1.p1
OG0000925	XM_001595201.1.p1	XM_007925788.1.p1
OG0000925	XM_001591996.1.p1	XM_007924932.1.p1
OG0000925	XM_001591790.1.p1	XM_007931212.1.p1
OG0000930	XM_001593408.1.p1	XM_007934323.1.p1
OG0000931	XM_001596854.1.p1	XM_007932446.1.p1
OG0000932	XM_001587325.1.p1	XM_007924389.1.p1
OG0000933	XM_001585312.1.p1	XM_007921557.1.p1
OG0000935	XM_001596262.1.p1	XM_007924095.1.p1
OG0000936	XM_001587773.1.p1	XM_007925943.1.p1
OG0000938	XM_001587290.1.p1	XM_007923537.1.p1
OG0000939	XM_001589765.1.p1, XM_001596967.1.p1	XM_007930774.1.p1
OG0000940	XM_001588094.1.p1	XM_007930002.1.p1
OG0000940	XM_001591875.1.p1	XM_007922664.1.p1
OG0000942	XM_001586412.1.p1	XM_007929151.1.p1
OG0000943	XM_001594387.1.p1	XM_007928183.1.p1, XM_007922067.1.p1
OG0000944	XM_001598065.1.p1	XM_007929389.1.p1
OG0000945	XM_001598342.1.p1	XM_007926554.1.p1
OG0000946	XM_001595577.1.p1	XM_007926656.1.p1
OG0000947	XM_001591181.1.p1	XM_007923344.1.p1
OG0000948	XM_001598011.1.p1	XM_007926912.1.p1
OG0000949	XM_001592941.1.p1, XM_001593643.1.p1	XM_007923242.1.p1
OG0000949	XM_001593492.1.p1	XM_007928089.1.p1
OG0000950	XM_001588656.1.p1	XM_007922869.1.p1
OG0000951	XM_001595072.1.p1	XM_007928227.1.p1
OG0000952	XM_001590098.1.p1	XM_007921547.1.p1
OG0000953	XM_001586843.1.p1	XM_007921758.1.p1
OG0000954	XM_001592026.1.p1	XM_007928899.1.p1
OG0000956	XM_001585166.1.p1	XM_007932731.1.p1
OG0000957	XM_001585600.1.p1	XM_007927813.1.p1
OG0000957	XM_001585602.1.p1	XM_007927842.1.p1
OG0000958	XM_001588449.1.p1	XM_007927074.1.p1
OG0000959	XM_001593888.1.p1	XM_007921977.1.p1
OG0000960	XM_001598732.1.p1	XM_007921586.1.p1
OG0000961	XM_001587170.1.p1	XM_007928060.1.p1
OG0000964	XM_001593840.1.p1	XM_007927423.1.p1
OG0000964	XM_001598313.1.p1	XM_007926501.1.p1
OG0000965	XM_001585357.1.p1	XM_007926057.1.p1
OG0000966	XM_001585978.1.p1	XM_007923694.1.p1
OG0000967	XM_001592626.1.p1	XM_007932659.1.p1
OG0000968	XM_001586768.1.p1	XM_007929804.1.p1
OG0000969	XM_001592200.1.p1	XM_007921940.1.p1
OG0000970	XM_001587938.1.p1	XM_007930976.1.p1
OG0000971	XM_001585772.1.p1	XM_007925257.1.p1
OG0000972	XM_001597384.1.p1	XM_007924914.1.p1
OG0000974	XM_001594159.1.p1	XM_007925845.1.p1
OG0000975	XM_001590008.1.p1	XM_007929173.1.p1
OG0000981	XM_001590758.1.p1, XM_001592822.1.p1	XM_007932360.1.p1
OG0000983	XM_001587127.1.p1	XM_007931139.1.p1, XM_007926419.1.p1
OG0000986	XM_001589957.1.p1	XM_007927193.1.p1
OG0000987	XM_001586400.1.p1	XM_007921850.1.p1
OG0000988	XM_001596598.1.p1	XM_007925934.1.p1, XM_007924629.1.p1
OG0000990	XM_001587667.1.p1	XM_007933231.1.p1
OG0000991	XM_001584614.1.p1	XM_007934295.1.p1
OG0000992	XM_001587616.1.p1	XM_007924199.1.p1
OG0000993	XM_001592118.1.p1	XM_007926466.1.p1
OG0000994	XM_001598761.1.p1	XM_007927698.1.p1
OG0000995	XM_001598657.1.p1	XM_007925647.1.p1
OG0000997	XM_001597390.1.p1	XM_007924195.1.p1
OG0000998	XM_001586122.1.p1	XM_007922275.1.p1
OG0001002	XM_001591895.1.p1	XM_007921916.1.p1
OG0001003	XM_001586491.1.p1	XM_007925553.1.p1
OG0001004	XM_001591998.1.p1	XM_007922030.1.p1
OG0001004	XM_001590075.1.p1	XM_007921602.1.p1, XM_007928521.1.p1
OG0001007	XM_001597153.1.p1	XM_007928833.1.p1
OG0001010	XM_001587714.1.p1	XM_007930027.2.p1
OG0001013	XM_001595593.1.p1	XM_007929908.1.p1
OG0001014	XM_001598170.1.p1	XM_007928883.1.p1
OG0001015	XM_001592053.1.p1	XM_007933610.1.p1
OG0001016	XM_001595811.1.p1	XM_007926271.1.p1
OG0001017	XM_001590080.1.p1	XM_007932558.1.p1
OG0001018	XM_001589900.1.p1	XM_007926996.1.p1, XM_007928166.1.p1, XM_007926021.1.p1, XM_007933046.1.p1
OG0001019	XM_001593936.1.p1	XM_007921958.1.p1
OG0001020	XM_001587899.1.p1	XM_007921668.1.p1, XM_007925298.1.p1
OG0001021	XM_001596254.1.p1	XM_007921609.1.p1
OG0001022	XM_001584957.1.p1	XM_007927238.1.p1
OG0001022	XM_001592881.1.p1	XM_007927663.1.p1
OG0001023	XM_001589690.1.p1	XM_007925513.1.p1
OG0001024	XM_001590102.1.p1	XM_007931939.1.p1
OG0001025	XM_001597615.1.p1	XM_007925164.1.p1
OG0001028	XM_001595420.1.p1	XM_007924520.1.p1
OG0001029	XM_001597029.1.p1	XM_007929870.1.p1
OG0001030	XM_001590150.1.p1	XM_007928758.1.p1
OG0001031	XM_001598290.1.p1	XM_007929085.1.p1
OG0001032	XM_001592750.1.p1	XM_007927116.2.p1
OG0001033	XM_001593019.1.p1	XM_007927399.1.p1
OG0001034	XM_001589286.1.p1	XM_007926669.1.p1
OG0001035	XM_001591201.1.p1	XM_007921918.1.p1
OG0001037	XM_001585833.1.p1	XM_007921546.1.p1
OG0001038	XM_001584660.1.p1	XM_007923851.1.p1
OG0001039	XM_001589840.1.p1	XM_007931948.1.p1
OG0001040	XM_001585509.1.p1	XM_007922469.1.p1
OG0001041	XM_001595956.1.p1	XM_007923806.1.p1
OG0001043	XM_001588858.1.p1	XM_007928128.1.p1
OG0001044	XM_001585034.1.p1	XM_007931609.1.p1
OG0001061	XM_001598663.1.p1	XM_007922107.1.p1
OG0001062	XM_001589384.1.p1	XM_007924583.1.p1
OG0001062	XM_001589587.1.p1	XM_007924809.1.p1
OG0001063	XM_001594182.1.p1	XM_007921579.1.p1
OG0001064	XM_001585284.1.p1	XM_007926514.1.p1
OG0001065	XM_001596255.1.p1	XM_007924097.1.p1
OG0001066	XM_001597746.1.p1	XM_007924714.1.p1
OG0001066	XM_001589877.1.p1	XM_007927291.1.p1
OG0001067	XM_001590538.1.p1	XM_007923827.1.p1
OG0001068	XM_001594868.1.p1	XM_007930417.1.p1
OG0001068	XM_001591798.1.p1	XM_007926495.1.p1
OG0001069	XM_001592162.1.p1	XM_007928828.1.p1
OG0001070	XM_001587376.1.p1	XM_007926523.1.p1
OG0001071	XM_001592045.1.p1	XM_007926238.1.p1
OG0001072	XM_001594382.1.p1	XM_007927002.1.p1, XM_007928665.1.p1
OG0001073	XM_001592588.1.p1	XM_007922064.1.p1
OG0001075	XM_001598429.1.p1	XM_007924610.1.p1
OG0001076	XM_001595171.1.p1	XM_007922223.1.p1
OG0001077	XM_001595998.1.p1	XM_007923850.1.p1
OG0001078	XM_001590375.1.p1	XM_007926091.1.p1
OG0001079	XM_001598602.1.p1	XM_007921806.1.p1
OG0001081	XM_001593141.1.p1	XM_007930698.1.p1
OG0001083	XM_001584635.1.p1	XM_007922884.1.p1
OG0001084	XM_001589263.1.p1	XM_007931582.1.p1
OG0001085	XM_001591188.1.p1	XM_007923009.1.p1
OG0001086	XM_001593619.1.p1	XM_007929073.1.p1
OG0001088	XM_001598916.1.p1	XM_007924741.1.p1
OG0001090	XM_001587887.1.p1	XM_007933158.1.p1
OG0001091	XM_001584643.1.p1	XM_007931166.1.p1
OG0001092	XM_001591597.1.p1	XM_007928781.1.p1
OG0001093	XM_001593447.1.p1	XM_007927730.1.p1
OG0001095	XM_001593519.1.p1	XM_007929969.2.p1
OG0001098	XM_001590638.1.p1	XM_007924324.1.p1
OG0001098	XM_001584687.1.p1	XM_007921823.1.p1
OG0001099	XM_001587319.1.p1	XM_007924504.1.p1
OG0001100	XM_001597302.1.p1	XM_007925493.1.p1
OG0001101	XM_001592758.1.p1	XM_007926281.1.p1
OG0001102	XM_001584733.1.p1	XM_007928556.1.p1, XM_007929747.1.p1
OG0001103	XM_001592955.1.p1, XM_001588227.1.p1	XM_007926096.1.p1
OG0001105	XM_001592782.1.p1	XM_007922698.1.p1
OG0001107	XM_001593873.1.p1	XM_007921943.1.p1
OG0001108	XM_001585014.1.p1	XM_007923804.1.p1
OG0001109	XM_001593892.1.p1	XM_007924886.1.p1
