Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Phanerochaete_chrysosporium_rna_prot
OG0000630	XM_001589004.1.p1	XM_007400645.1.p1
OG0000631	XM_001585037.1.p1	XM_007401558.1.p1
OG0000634	XM_001593326.1.p1	XM_007399285.1.p1
OG0000641	XM_001586942.1.p1	XM_007395704.1.p1, XM_007395032.1.p1
OG0000642	XM_001592393.1.p1	XM_007394620.1.p1
OG0000643	XM_001589232.1.p1	XM_007395816.1.p1, XM_007395819.1.p1, XM_007395820.1.p1, XM_007390346.1.p1, XM_007395821.1.p1, XM_007395565.1.p1
OG0000643	XM_001586018.1.p1	XM_007402227.1.p1
OG0000644	XM_001591795.1.p1	XM_007393724.1.p1
OG0000645	XM_001590830.1.p1, XM_001589099.1.p1	XM_007394388.1.p1
OG0000647	XM_001587654.1.p1	XM_007393323.1.p1, XM_007401409.1.p1, XM_007401363.1.p1, XM_007401386.1.p1
OG0000648	XM_001589012.1.p1	XM_007393827.1.p1
OG0000649	XM_001589418.1.p1, XM_001589600.1.p1	XM_007391058.1.p1
OG0000650	XM_001598771.1.p1	XM_007393785.1.p1
OG0000651	XM_001588210.1.p1	XM_007389736.1.p1
OG0000652	XM_001592321.1.p1	XM_007398469.1.p1
OG0000656	XM_001594487.1.p1	XM_007389724.1.p1
OG0000658	XM_001588121.1.p1, XM_001585190.1.p1, XM_001590345.1.p1	XM_007399442.1.p1
OG0000659	XM_001597588.1.p1	XM_007393153.1.p1
OG0000660	XM_001587702.1.p1	XM_007393580.1.p1, XM_007397595.1.p1, XM_007397597.1.p1, XM_007393014.1.p1, XM_007393021.1.p1
OG0000661	XM_001591625.1.p1	XM_007395368.1.p1
OG0000662	XM_001587349.1.p1	XM_007397281.1.p1, XM_007400039.1.p1, XM_007391580.1.p1
OG0000663	XM_001595888.1.p1	XM_007397442.1.p1, XM_007397463.1.p1
OG0000665	XM_001597611.1.p1	XM_007391806.1.p1
OG0000665	XM_001587764.1.p1	XM_007393599.1.p1
OG0000675	XM_001593877.1.p1	XM_007397627.1.p1, XM_007390112.1.p1
OG0000676	XM_001595848.1.p1, XM_001588952.1.p1	XM_007403267.1.p1, XM_007402955.1.p1, XM_007401899.1.p1, XM_007401886.1.p1
OG0000677	XM_001595573.1.p1, XM_001590843.1.p1	XM_007396764.1.p1
OG0000678	XM_001591970.1.p1	XM_007395721.1.p1, XM_007395720.1.p1
OG0000681	XM_001588807.1.p1, XM_001593083.1.p1	XM_007391909.1.p1
OG0000682	XM_001593644.1.p1, XM_001598135.1.p1	XM_007401668.1.p1, XM_007401743.1.p1
OG0000684	XM_001598914.1.p1	XM_007400192.1.p1
OG0000684	XM_001594435.1.p1	XM_007398042.1.p1
OG0000686	XM_001592583.1.p1	XM_007401733.1.p1, XM_007394631.1.p1, XM_007394626.1.p1, XM_007403172.1.p1, XM_007394891.1.p1
OG0000687	XM_001590432.1.p1, XM_001588710.1.p1	XM_007395587.1.p1
OG0000688	XM_001584724.1.p1, XM_001597165.1.p1	XM_007389898.1.p1
OG0000690	XM_001592277.1.p1	XM_007399302.1.p1
OG0000692	XM_001593436.1.p1	XM_007392063.2.p1
OG0000694	XM_001592443.1.p1	XM_007396196.1.p1
OG0000695	XM_001598068.1.p1	XM_007396086.1.p1
OG0000696	XM_001591039.1.p1	XM_007392017.1.p1
OG0000699	XM_001589881.1.p1, XM_001587920.1.p1, XM_001586012.1.p1	XM_007402628.1.p1, XM_007403093.1.p1, XM_007393647.1.p1, XM_007390220.1.p1
OG0000700	XM_001596857.1.p1	XM_007392493.1.p1
OG0000701	XM_001598701.1.p1	XM_007393455.1.p1
OG0000701	XM_001597738.1.p1	XM_007398963.1.p1, XM_007395826.1.p1, XM_007400297.1.p1
OG0000703	XM_001586680.1.p1, XM_001584591.1.p1, XM_001593587.1.p1	XM_007390960.1.p1
OG0000704	XM_001593295.1.p1, XM_001598316.1.p1	XM_007390210.1.p1, XM_007391107.1.p1
OG0000709	XM_001588477.1.p1	XM_007390706.1.p1
OG0000709	XM_001589280.1.p1	XM_007400796.1.p1, XM_007401753.1.p1, XM_007401996.1.p1
OG0000718	XM_001584951.1.p1, XM_001589768.1.p1	XM_007399389.1.p1
OG0000722	XM_001588495.1.p1, XM_001591074.1.p1, XM_001595479.1.p1	XM_007397257.1.p1
OG0000723	XM_001597476.1.p1, XM_001595771.1.p1	XM_007396878.1.p1, XM_007396879.1.p1, XM_007396875.1.p1, XM_007396904.1.p1, XM_007396908.1.p1
OG0000726	XM_001589268.1.p1, XM_001587474.1.p1, XM_001595123.1.p1, XM_001591330.1.p1	XM_007401666.1.p1, XM_007395983.1.p1
OG0000727	XM_001591832.1.p1	XM_007393245.1.p1
OG0000727	XM_001592634.1.p1	XM_007394635.1.p1
OG0000729	XM_001593697.1.p1, XM_001596580.1.p1	XM_007394066.1.p1
OG0000730	XM_001592960.1.p1	XM_007390864.1.p1
OG0000731	XM_001598010.1.p1	XM_007389812.1.p1, XM_007389501.1.p1
OG0000733	XM_001590502.1.p1	XM_007392054.1.p1
OG0000733	XM_001590497.1.p1	XM_007390099.1.p1
OG0000735	XM_001592013.1.p1	XM_007394369.1.p1, XM_007394336.1.p1
OG0000736	XM_001586755.1.p1	XM_007399087.1.p1
OG0000737	XM_001585464.1.p1	XM_007399733.1.p1
OG0000738	XM_001589763.1.p1	XM_007397064.1.p1, XM_007400391.1.p1, XM_007390031.1.p1
OG0000739	XM_001591620.1.p1	XM_007400880.1.p1
OG0000740	XM_001585632.1.p1, XM_001594516.1.p1, XM_001587354.1.p1	XM_007398729.1.p1, XM_007398730.1.p1
OG0000741	XM_001597032.1.p1, XM_001585910.1.p1	XM_007395443.1.p1
OG0000742	XM_001597193.1.p1, XM_001598237.1.p1	XM_007397093.1.p1
OG0000743	XM_001591205.1.p1	XM_007394676.1.p1
OG0000753	XM_001587676.1.p1	XM_007400381.1.p1
OG0000753	XM_001591506.1.p1	XM_007396804.1.p1
OG0000757	XM_001593138.1.p1	XM_007393689.1.p1
OG0000758	XM_001590577.1.p1	XM_007395892.1.p1
OG0000759	XM_001593983.1.p1, XM_001584997.1.p1	XM_007399186.1.p1
OG0000761	XM_001592728.1.p1	XM_007397135.1.p1
OG0000761	XM_001592729.1.p1	XM_007390615.1.p1
OG0000762	XM_001594392.1.p1, XM_001585091.1.p1, XM_001590564.1.p1	XM_007390791.1.p1
OG0000763	XM_001590106.1.p1, XM_001591452.1.p1	XM_007400390.1.p1
OG0000764	XM_001590789.1.p1	XM_007390986.1.p1
OG0000764	XM_001589307.1.p1	XM_007392340.1.p1
OG0000767	XM_001594777.1.p1, XM_001596669.1.p1	XM_007400131.1.p1
OG0000768	XM_001590429.1.p1, XM_001593431.1.p1	XM_007394602.1.p1
OG0000770	XM_001585905.1.p1, XM_001593837.1.p1	XM_007392889.1.p1
OG0000772	XM_001596787.1.p1	XM_007392039.1.p1
OG0000773	XM_001589152.1.p1, XM_001585787.1.p1	XM_007396979.1.p1
OG0000775	XM_001588040.1.p1	XM_007391914.1.p1
OG0000776	XM_001587360.1.p1, XM_001587558.1.p1	XM_007398218.1.p1, XM_007399746.1.p1, XM_007399744.1.p1, XM_007399745.1.p1, XM_007394674.1.p1, XM_007399917.1.p1, XM_007395472.1.p1, XM_007395489.1.p1, XM_007395500.1.p1, XM_007398617.1.p1, XM_007400027.1.p1, XM_007392010.1.p1
OG0000778	XM_001594705.1.p1	XM_007392894.1.p1
OG0000779	XM_001596814.1.p1	XM_007390901.1.p1
OG0000780	XM_001596764.1.p1	XM_007393985.1.p1
OG0000781	XM_001591637.1.p1	XM_007400993.1.p1
OG0000782	XM_001592743.1.p1	XM_007393267.1.p1
OG0000788	XM_001593948.1.p1	XM_007390378.1.p1
OG0000789	XM_001595138.1.p1	XM_007396426.1.p1, XM_007390157.1.p1
OG0000790	XM_001588713.1.p1, XM_001588711.1.p1	XM_007395653.1.p1
OG0000791	XM_001594295.1.p1, XM_001589639.1.p1, XM_001590505.1.p1	XM_007392157.1.p1
OG0000792	XM_001590492.1.p1, XM_001593640.1.p1, XM_001592943.1.p1	XM_007400522.1.p1, XM_007397832.1.p1
OG0000793	XM_001588947.1.p1, XM_001588068.1.p1, XM_001588367.1.p1, XM_001595542.1.p1	XM_007395860.1.p1
OG0000794	XM_001589028.1.p1	XM_007395823.1.p1
OG0000795	XM_001596838.1.p1	XM_007393213.1.p1
OG0000796	XM_001590467.1.p1, XM_001597758.1.p1	XM_007397921.1.p1
OG0000797	XM_001586761.1.p1	XM_007396287.1.p1, XM_007397441.1.p1
OG0000798	XM_001591069.1.p1	XM_007400921.1.p1
OG0000801	XM_001595009.1.p1, XM_001592333.1.p1	XM_007402959.1.p1, XM_007399165.1.p1
OG0000804	XM_001586190.1.p1	XM_007398271.1.p1
OG0000806	XM_001590392.1.p1	XM_007401206.1.p1
OG0000806	XM_001589187.1.p1	XM_007390283.1.p1
OG0000807	XM_001587026.1.p1, XM_001597524.1.p1	XM_007397990.1.p1
OG0000809	XM_001598101.1.p1	XM_007394514.1.p1
OG0000810	XM_001592962.1.p1	XM_007399303.1.p1
OG0000811	XM_001594369.1.p1	XM_007398783.1.p1
OG0000814	XM_001591234.1.p1	XM_007400449.1.p1
OG0000815	XM_001590827.1.p1	XM_007392162.1.p1
OG0000818	XM_001596889.1.p1	XM_007396322.1.p1
OG0000819	XM_001595146.1.p1, XM_001595145.1.p1	XM_007397857.1.p1
OG0000824	XM_001596316.1.p1	XM_007400289.1.p1, XM_007395011.1.p1, XM_007393917.1.p1, XM_007402336.1.p1, XM_007393919.1.p1
OG0000833	XM_001585066.1.p1	XM_007390900.1.p1, XM_007390016.1.p1, XM_007390132.1.p1
OG0000835	XM_001590315.1.p1	XM_007392094.1.p1
OG0000835	XM_001594972.1.p1	XM_007395043.1.p1, XM_007395035.1.p1
OG0000837	XM_001589349.1.p1	XM_007401780.1.p1, XM_007401778.1.p1, XM_007395384.1.p1
OG0000840	XM_001590356.1.p1, XM_001598433.1.p1, XM_001591761.1.p1	XM_007400318.1.p1
OG0000842	XM_001590686.1.p1, XM_001590759.1.p1	XM_007394868.1.p1
OG0000843	XM_001595926.1.p1	XM_007400540.1.p1, XM_007400537.1.p1
OG0000844	XM_001588877.1.p1	XM_007393976.1.p1
OG0000846	XM_001590812.1.p1	XM_007399226.1.p1
OG0000847	XM_001590428.1.p1	XM_007398012.1.p1
OG0000849	XM_001598887.1.p1	XM_007393723.1.p1
OG0000851	XM_001598336.1.p1, XM_001589806.1.p1	XM_007390266.1.p1
OG0000853	XM_001591040.1.p1	XM_007397491.1.p1
OG0000855	XM_001591217.1.p1	XM_007401029.1.p1
OG0000856	XM_001593053.1.p1, XM_001592531.1.p1	XM_007396166.1.p1
OG0000858	XM_001595785.1.p1	XM_007394372.1.p1
OG0000860	XM_001597972.1.p1	XM_007398010.1.p1
OG0000862	XM_001597870.1.p1	XM_007390678.1.p1
OG0000863	XM_001597318.1.p1, XM_001596881.1.p1	XM_007394982.1.p1
OG0000864	XM_001593637.1.p1	XM_007390846.1.p1
OG0000865	XM_001593989.1.p1	XM_007394238.1.p1, XM_007394958.1.p1, XM_007400070.1.p1, XM_007400065.1.p1, XM_007390857.1.p1
OG0000866	XM_001590913.1.p1, XM_001598347.1.p1	XM_007392634.1.p1
OG0000868	XM_001596445.1.p1	XM_007395459.1.p1, XM_007395494.1.p1, XM_007393170.1.p1
OG0000869	XM_001586557.1.p1	XM_007393242.1.p1
OG0000872	XM_001598410.1.p1	XM_007401716.1.p1
OG0000879	XM_001589058.1.p1, XM_001592081.1.p1	XM_007396815.1.p1
OG0000880	XM_001594610.1.p1	XM_007393384.1.p1
OG0000882	XM_001591123.1.p1	XM_007398958.1.p1
OG0000883	XM_001592684.1.p1	XM_007401300.1.p1
OG0000884	XM_001590418.1.p1, XM_001598607.1.p1	XM_007391096.1.p1
OG0000886	XM_001597766.1.p1	XM_007398589.1.p1
OG0000888	XM_001588156.1.p1	XM_007390855.1.p1
OG0000889	XM_001595904.1.p1, XM_001587720.1.p1	XM_007390489.1.p1
OG0000890	XM_001595595.1.p1	XM_007399392.1.p1, XM_007397702.1.p1, XM_007392503.1.p1, XM_007400325.1.p1
OG0000891	XM_001596381.1.p1	XM_007398609.1.p1
OG0000892	XM_001589455.1.p1, XM_001589124.1.p1	XM_007390557.1.p1
OG0000893	XM_001593810.1.p1	XM_007394738.1.p1
OG0000894	XM_001594761.1.p1	XM_007395515.1.p1
OG0000895	XM_001589295.1.p1	XM_007397061.1.p1
OG0000896	XM_001598113.1.p1, XM_001588385.1.p1, XM_001597532.1.p1, XM_001595246.1.p1, XM_001585538.1.p1	XM_007396011.1.p1, XM_007399075.1.p1
OG0000898	XM_001594950.1.p1	XM_007394287.1.p1, XM_007390126.1.p1
OG0000899	XM_001590448.1.p1	XM_007394532.1.p1
OG0000900	XM_001587345.1.p1	XM_007393040.1.p1
OG0000901	XM_001594946.1.p1	XM_007400770.1.p1
OG0000902	XM_001590403.1.p1, XM_001597563.1.p1	XM_007400089.1.p1
OG0000905	XM_001585973.1.p1, XM_001585245.1.p1, XM_001587955.1.p1	XM_007400530.1.p1
OG0000906	XM_001593572.1.p1	XM_007395973.1.p1
OG0000910	XM_001591606.1.p1	XM_007391813.1.p1
OG0000911	XM_001586116.1.p1	XM_007393658.1.p1
OG0000912	XM_001596337.1.p1	XM_007394472.1.p1
OG0000914	XM_001585726.1.p1, XM_001585725.1.p1	XM_007390057.1.p1
OG0000915	XM_001594710.1.p1	XM_007390595.1.p1
OG0000917	XM_001591777.1.p1, XM_001594442.1.p1, XM_001594441.1.p1	XM_007391836.1.p1
OG0000919	XM_001591846.1.p1	XM_007390003.1.p1
OG0000920	XM_001587710.1.p1	XM_007392817.1.p1
OG0000921	XM_001594655.1.p1	XM_007391116.1.p1
OG0000925	XM_001591790.1.p1	XM_007401160.1.p1
OG0000935	XM_001596262.1.p1	XM_007390805.1.p1
OG0000938	XM_001587290.1.p1	XM_007398414.1.p1, XM_007402933.1.p1
OG0000940	XM_001588094.1.p1, XM_001591875.1.p1	XM_007400698.1.p1
OG0000941	XM_001591228.1.p1	XM_007399664.1.p1, XM_007391030.1.p1
OG0000942	XM_001586412.1.p1	XM_007398681.1.p1
OG0000944	XM_001598065.1.p1	XM_007396773.1.p1
OG0000946	XM_001595577.1.p1	XM_007390070.1.p1
OG0000947	XM_001591181.1.p1	XM_007390235.1.p1
OG0000948	XM_001598011.1.p1	XM_007400210.1.p1
OG0000949	XM_001592941.1.p1, XM_001593643.1.p1, XM_001593492.1.p1	XM_007397834.1.p1, XM_007389956.1.p1, XM_007400523.1.p1
OG0000953	XM_001586843.1.p1	XM_007392709.1.p1
OG0000954	XM_001592026.1.p1	XM_007390604.1.p1
OG0000955	XM_001594722.1.p1	XM_007396430.1.p1, XM_007402815.1.p1, XM_007396365.1.p1, XM_007396342.1.p1
OG0000956	XM_001585166.1.p1	XM_007394718.1.p1
OG0000957	XM_001585602.1.p1	XM_007390510.1.p1
OG0000958	XM_001588449.1.p1	XM_007390669.1.p1
OG0000959	XM_001593888.1.p1	XM_007399347.1.p1, XM_007392300.1.p1
OG0000960	XM_001598732.1.p1, XM_001587310.1.p1	XM_007393488.1.p1
OG0000964	XM_001593840.1.p1, XM_001598313.1.p1	XM_007401281.1.p1
OG0000965	XM_001585357.1.p1	XM_007398393.1.p1
OG0000966	XM_001585978.1.p1	XM_007395678.1.p1, XM_007392375.1.p1
OG0000968	XM_001586768.1.p1	XM_007393503.1.p1
OG0000969	XM_001592200.1.p1	XM_007393174.1.p1
OG0000970	XM_001587938.1.p1	XM_007398668.1.p1
OG0000971	XM_001585772.1.p1	XM_007399638.1.p1
OG0000972	XM_001597384.1.p1	XM_007394311.1.p1
OG0000973	XM_001591714.1.p1	XM_007398934.1.p1
OG0000974	XM_001594159.1.p1	XM_007395944.1.p1
OG0000975	XM_001590008.1.p1	XM_007390658.1.p1
OG0000983	XM_001587127.1.p1	XM_007393143.1.p1
OG0000986	XM_001589957.1.p1	XM_007395648.1.p1
OG0000987	XM_001586400.1.p1	XM_007401407.1.p1
OG0000989	XM_001593681.1.p1	XM_007397525.1.p1
OG0000990	XM_001587667.1.p1	XM_007400263.1.p1
OG0000991	XM_001584614.1.p1, XM_001588147.1.p1	XM_007400820.1.p1
OG0000992	XM_001587616.1.p1, XM_001588027.1.p1	XM_007390535.1.p1
OG0000993	XM_001592118.1.p1	XM_007393007.1.p1
OG0000994	XM_001598761.1.p1	XM_007397157.1.p1
OG0000996	XM_001585239.1.p1	XM_007398109.1.p1
OG0000997	XM_001597390.1.p1	XM_007390691.1.p1
OG0000998	XM_001586122.1.p1	XM_007400502.1.p1
OG0001000	XM_001588995.1.p1	XM_007399357.1.p1, XM_007399356.1.p1, XM_007399355.1.p1, XM_007399358.1.p1
OG0001002	XM_001591895.1.p1	XM_007399631.1.p1, XM_007391680.1.p1
OG0001003	XM_001586491.1.p1	XM_007394693.1.p1
OG0001004	XM_001591998.1.p1, XM_001590075.1.p1	XM_007396888.1.p1, XM_007392286.1.p1
OG0001007	XM_001584998.1.p1, XM_001597153.1.p1	XM_007390421.1.p1
OG0001008	XM_001587492.1.p1	XM_007397836.1.p1
OG0001010	XM_001587714.1.p1	XM_007392951.1.p1
OG0001012	XM_001591023.1.p1	XM_007389994.1.p1, XM_007390011.1.p1, XM_007389991.1.p1
OG0001013	XM_001595593.1.p1	XM_007390315.1.p1
OG0001014	XM_001598170.1.p1	XM_007390634.1.p1
OG0001017	XM_001590080.1.p1	XM_007395659.1.p1, XM_007395660.1.p1, XM_007395663.1.p1, XM_007395662.1.p1, XM_007395661.1.p1
OG0001020	XM_001587899.1.p1, XM_001598910.1.p1	XM_007391290.1.p1, XM_007391288.1.p1, XM_007390490.1.p1
OG0001022	XM_001584957.1.p1, XM_001592881.1.p1	XM_007397396.1.p1, XM_007397414.1.p1, XM_007397412.1.p1
OG0001023	XM_001589690.1.p1	XM_007397998.1.p1
OG0001024	XM_001590102.1.p1	XM_007401100.1.p1
OG0001025	XM_001597615.1.p1	XM_007400772.1.p1
OG0001028	XM_001595420.1.p1	XM_007398671.1.p1
OG0001029	XM_001597029.1.p1	XM_007395056.1.p1
OG0001030	XM_001590150.1.p1	XM_007393339.1.p1
OG0001031	XM_001598290.1.p1	XM_007391932.1.p1
OG0001032	XM_001592750.1.p1	XM_007396967.1.p1
OG0001033	XM_001593019.1.p1	XM_007398611.1.p1
OG0001034	XM_001589286.1.p1	XM_007397534.1.p1, XM_007392086.1.p1
OG0001035	XM_001591201.1.p1	XM_007397138.1.p1, XM_007396887.1.p1
OG0001037	XM_001585833.1.p1	XM_007395834.1.p1
OG0001038	XM_001584660.1.p1	XM_007401980.1.p1, XM_007394151.1.p1, XM_007402231.1.p1
OG0001039	XM_001589840.1.p1	XM_007401739.1.p1
OG0001040	XM_001585509.1.p1	XM_007393945.1.p1
OG0001041	XM_001595956.1.p1	XM_007391655.1.p1
OG0001043	XM_001588858.1.p1	XM_007390716.1.p1, XM_007396960.1.p1, XM_007399081.1.p1, XM_007397999.1.p1, XM_007395640.1.p1
OG0001044	XM_001594810.1.p1, XM_001585034.1.p1	XM_007397909.1.p1, XM_007397820.1.p1
OG0001053	XM_001589231.1.p1, XM_001596558.1.p1, XM_001588556.1.p1, XM_001585762.1.p1, XM_001586329.1.p1, XM_001593441.1.p1, XM_001589462.1.p1, XM_001585809.1.p1, XM_001589234.1.p1, XM_001596931.1.p1, XM_001584714.1.p1, XM_001597767.1.p1, XM_001588835.1.p1, XM_001586178.1.p1, XM_001595189.1.p1, XM_001589257.1.p1, XM_001585212.1.p1, XM_001597798.1.p1, XM_001586475.1.p1, XM_001586104.1.p1, XM_001596785.1.p1, XM_001591579.1.p1, XM_001586894.1.p1, XM_001586369.1.p1	XM_007391883.1.p1
OG0001061	XM_001598663.1.p1	XM_007393212.1.p1, XM_007390479.1.p1
OG0001062	XM_001589384.1.p1, XM_001589587.1.p1	XM_007392357.1.p1
OG0001063	XM_001594182.1.p1	XM_007401715.1.p1, XM_007401713.1.p1
OG0001064	XM_001585284.1.p1	XM_007397989.1.p1
OG0001065	XM_001596255.1.p1	XM_007396288.1.p1, XM_007393860.1.p1
OG0001066	XM_001597746.1.p1, XM_001589877.1.p1	XM_007391022.1.p1
OG0001067	XM_001586413.1.p1, XM_001586670.1.p1, XM_001590538.1.p1	XM_007397159.1.p1
OG0001068	XM_001594868.1.p1	XM_007392731.1.p1
OG0001070	XM_001587376.1.p1	XM_007390870.1.p1
OG0001071	XM_001592045.1.p1	XM_007400730.1.p1
OG0001075	XM_001598429.1.p1	XM_007398910.1.p1
OG0001076	XM_001598603.1.p1	XM_007394896.1.p1
OG0001077	XM_001595998.1.p1	XM_007389934.1.p1
OG0001078	XM_001590375.1.p1	XM_007396913.1.p1
OG0001079	XM_001598602.1.p1	XM_007393607.1.p1
OG0001081	XM_001593141.1.p1, XM_001588384.1.p1	XM_007400586.1.p1, XM_007394809.1.p1, XM_007394629.1.p1
OG0001082	XM_001597171.1.p1	XM_007400658.1.p1
OG0001083	XM_001584635.1.p1	XM_007390760.1.p1
OG0001084	XM_001589263.1.p1	XM_007393469.1.p1
OG0001085	XM_001591188.1.p1	XM_007396181.1.p1
OG0001086	XM_001593619.1.p1	XM_007395225.1.p1
OG0001088	XM_001598916.1.p1	XM_007390922.1.p1
OG0001090	XM_001587887.1.p1	XM_007396169.1.p2, XM_007395907.1.p1
OG0001091	XM_001584643.1.p1	XM_007393332.1.p1
OG0001092	XM_001591597.1.p1	XM_007389955.1.p1
OG0001093	XM_001593447.1.p1	XM_007395023.1.p1
OG0001095	XM_001593519.1.p1	XM_007396620.1.p1
OG0001099	XM_001587319.1.p1	XM_007390945.1.p1
OG0001101	XM_001592758.1.p1	XM_007390423.1.p1
OG0001103	XM_001592955.1.p1, XM_001588227.1.p1	XM_007401610.1.p1
OG0001105	XM_001592782.1.p1	XM_007394836.1.p1
OG0001107	XM_001593873.1.p1	XM_007394911.1.p1, XM_007399833.1.p1, XM_007394909.1.p1
OG0001108	XM_001585014.1.p1	XM_007391556.1.p1, XM_007391558.1.p1
OG0001109	XM_001593892.1.p1	XM_007396410.1.p1, XM_007396409.1.p1
OG0001110	XM_001593845.1.p1	XM_007395709.1.p1
OG0001112	XM_001595541.1.p1	XM_007390728.1.p1
OG0001113	XM_001596509.1.p1	XM_007394161.1.p1, XM_007394109.1.p1
OG0001114	XM_001588042.1.p1, XM_001594347.1.p1	XM_007389796.1.p1, XM_007398169.1.p1
OG0001115	XM_001593943.1.p1, XM_001588637.1.p1	XM_007392455.1.p1, XM_007401502.1.p1, XM_007392454.1.p1
OG0001118	XM_001590650.1.p1	XM_007393151.1.p1
OG0001120	XM_001591426.1.p1, XM_001593250.1.p1	XM_007396807.1.p1
OG0001121	XM_001593046.1.p1	XM_007394217.1.p1, XM_007394233.1.p1, XM_007401983.1.p1, XM_007394221.1.p1, XM_007402571.1.p1
OG0001122	XM_001594924.1.p1	XM_007390513.1.p1
OG0001123	XM_001592405.1.p1	XM_007396190.1.p1
OG0001124	XM_001598830.1.p1	XM_007392488.1.p1
OG0001125	XM_001588623.1.p1	XM_007389773.1.p1
OG0001126	XM_001590062.1.p1	XM_007391517.1.p1, XM_007395581.1.p1
OG0001127	XM_001590729.1.p1	XM_007391508.1.p1, XM_007399337.1.p1
OG0001128	XM_001594215.1.p1	XM_007391018.1.p1
OG0001129	XM_001595650.1.p1	XM_007400512.1.p1
OG0001130	XM_001590691.1.p1	XM_007395891.1.p1
OG0001131	XM_001591289.1.p1, XM_001597050.1.p1	XM_007400304.1.p1
OG0001132	XM_001589184.1.p1, XM_001597308.1.p1	XM_007395842.1.p1
OG0001133	XM_001584780.1.p1	XM_007394605.1.p1, XM_007391881.1.p1, XM_007394744.1.p1
OG0001146	XM_001587854.1.p1	XM_007399693.1.p1
OG0001147	XM_001589207.1.p1	XM_007395633.1.p1
OG0001150	XM_001585637.1.p1, XM_001586145.1.p1	XM_007395099.1.p1
OG0001151	XM_001586398.1.p1	XM_007397988.1.p1
OG0001152	XM_001585966.1.p1	XM_007397304.1.p1
OG0001153	XM_001585409.1.p1	XM_007395435.1.p1
OG0001154	XM_001596258.1.p1	XM_007400898.1.p1
OG0001155	XM_001593807.1.p1	XM_007390905.1.p1, XM_007401793.1.p1
OG0001157	XM_001585113.1.p1	XM_007402864.1.p1, XM_007392538.1.p1
OG0001159	XM_001593742.1.p1	XM_007391499.1.p1
OG0001160	XM_001597233.1.p1	XM_007392254.1.p1
OG0001161	XM_001597319.1.p1	XM_007390124.1.p1
OG0001162	XM_001592594.1.p1	XM_007390046.1.p1, XM_007390282.1.p1
OG0001163	XM_001595298.1.p1, XM_001594217.1.p1, XM_001590240.1.p1	XM_007400384.1.p1, XM_007392471.1.p1
OG0001164	XM_001586609.1.p1	XM_007390304.1.p1
OG0001165	XM_001590535.1.p1	XM_007393522.1.p1
OG0001166	XM_001590617.1.p1	XM_007397792.1.p1
OG0001168	XM_001589673.1.p1, XM_001595545.1.p1	XM_007393545.1.p1, XM_007399517.1.p1
OG0001171	XM_001597826.1.p1	XM_007399290.1.p1, XM_007397939.1.p1, XM_007395411.1.p1, XM_007395413.1.p1, XM_007395414.1.p1
OG0001173	XM_001598301.1.p1	XM_007395690.1.p1
OG0001174	XM_001586495.1.p1	XM_007401122.1.p1
OG0001177	XM_001594947.1.p1	XM_007403082.1.p1
OG0001178	XM_001589035.1.p1	XM_007391964.1.p1
OG0001179	XM_001593660.1.p1	XM_007390100.1.p1
OG0001180	XM_001596694.1.p1	XM_007392553.1.p1
OG0001181	XM_001593576.1.p1	XM_007397071.1.p1
OG0001182	XM_001594846.1.p1	XM_007393027.1.p1, XM_007392107.1.p1
OG0001183	XM_001590324.1.p1	XM_007395339.1.p1
OG0001184	XM_001594370.1.p1	XM_007400394.1.p1
OG0001185	XM_001586426.1.p1	XM_007398704.1.p1, XM_007391034.1.p1
OG0001187	XM_001586559.1.p1	XM_007398302.1.p1, XM_007401197.1.p1
OG0001189	XM_001589128.1.p1	XM_007396398.1.p1
OG0001190	XM_001593245.1.p1	XM_007394169.1.p1, XM_007390744.1.p1
OG0001191	XM_001585271.1.p1, XM_001592100.1.p1	XM_007396150.1.p1, XM_007396144.1.p1
OG0001192	XM_001586300.1.p1	XM_007397295.1.p1
OG0001196	XM_001588984.1.p1	XM_007391939.1.p1
OG0001197	XM_001590968.1.p1	XM_007401013.1.p1
OG0001198	XM_001589197.1.p1, XM_001597467.1.p1	XM_007402371.1.p1
OG0001199	XM_001586739.1.p1	XM_007392006.1.p1
OG0001200	XM_001586874.1.p1	XM_007393208.1.p1
OG0001202	XM_001592262.1.p1, XM_001590037.1.p1	XM_007399887.1.p1
OG0001203	XM_001595223.1.p1	XM_007392995.1.p1
OG0001204	XM_001587531.1.p1	XM_007391008.1.p1
OG0001205	XM_001597608.1.p1	XM_007400790.1.p1
OG0001206	XM_001590495.1.p1	XM_007397865.1.p1
OG0001207	XM_001598174.1.p1	XM_007397453.1.p1, XM_007394303.1.p1
OG0001208	XM_001585675.1.p1	XM_007394702.1.p1
OG0001209	XM_001584711.1.p1	XM_007397043.1.p1
OG0001210	XM_001593130.1.p1	XM_007393660.1.p1
OG0001212	XM_001587505.1.p1	XM_007393121.1.p1
OG0001213	XM_001586026.1.p1	XM_007395693.1.p1
OG0001214	XM_001594629.1.p1	XM_007391771.1.p1
OG0001215	XM_001598435.1.p1	XM_007394230.1.p1
OG0001216	XM_001587846.1.p1	XM_007399466.1.p1
OG0001218	XM_001585042.1.p1	XM_007400731.1.p1
OG0001219	XM_001598205.1.p1	XM_007392428.1.p2, XM_007392427.1.p1, XM_007392813.1.p1
