Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Tribolium_castaneum_rna_prot
OG0000442	XM_001594041.1.p1	TC010452.p1, TC031771.p1
OG0000442	XM_001595999.1.p1	TC003854.p1
OG0000444	XM_001585129.1.p1	TC001750.p1, TC001108.p1
OG0000446	XM_001595180.1.p1	TC032876.p1, TC007182.p1, TC034670.p1, TC007185.p1, TC032875.p1, TC007189.p1, TC032874.p1, TC007186.p1, TC007914.p1, TC034472.p1, TC012841.p1, TC012839.p1, TC012838.p1, TC011634.p1, TC012837.p1, TC033210.p1, TC014653.p1, TC011635.p1, TC007263.p1, TC007264.p1, TC031224.p1, TC031403.p1, TC032783.p1, TC007981.p1
OG0000448	XM_001596951.1.p1	TC032646.p1
OG0000452	XM_001593005.1.p1	TC009883.p1, TC033846.p1, TC033847.p1
OG0000456	XM_001586769.1.p1	TC015061.p1
OG0000457	XM_001597364.1.p1	TC014137.p1
OG0000457	XM_001595651.1.p1	TC011058.p1
OG0000458	XM_001594303.1.p1	TC004954.p1, TC014166.p1, TC012587.p1
OG0000458	XM_001589273.1.p1	TC004962.p1
OG0000459	XM_001595847.1.p1, XM_001594707.1.p1, XM_001588033.1.p1	TC031691.p1, TC003446.p1
OG0000460	XM_001597572.1.p1, XM_001597304.1.p1	TC004873.p1, TC004522.p1, TC000273.p1, TC011027.p1
OG0000461	XM_001594597.1.p1, XM_001594596.1.p1, XM_001590763.1.p1	TC012392.p1
OG0000463	XM_001594804.1.p1, XM_001595247.1.p1, XM_001597555.1.p1	TC033594.p1, TC009636.p1, TC007420.p1
OG0000465	XM_001596182.1.p1	TC010914.p1
OG0000465	XM_001598498.1.p1	TC002075.p1, TC008012.p1
OG0000466	XM_001597810.1.p1	TC009712.p1
OG0000467	XM_001588516.1.p1, XM_001588214.1.p1	TC004978.p1
OG0000469	XM_001586974.1.p1, XM_001588006.1.p1	TC001026.p1
OG0000470	XM_001589646.1.p1	TC009837.p1
OG0000470	XM_001589696.1.p1	TC030724.p1
OG0000473	XM_001597336.1.p1	TC009722.p1
OG0000473	XM_001585585.1.p1	TC008078.p1
OG0000474	XM_001586657.1.p1	TC010059.p1
OG0000474	XM_001586656.1.p1	TC014177.p1, TC009324.p1, TC010581.p1, TC034596.p1
OG0000475	XM_001586521.1.p1, XM_001592419.1.p1	TC007578.p1
OG0000476	XM_001584773.1.p1	TC000590.p1, TC013913.p1
OG0000479	XM_001592726.1.p1	TC008205.p1, TC010845.p1, TC015285.p1, TC015284.p1, TC015207.p1, TC011972.p1, TC034528.p1, TC014701.p1, TC033258.p1, TC013112.p1, TC033234.p1, TC014700.p1, TC000565.p1, TC009012.p1, TC009013.p1
OG0000485	XM_001592093.1.p1	TC003540.p1, TC004080.p1
OG0000490	XM_001593846.1.p1	TC009496.p1
OG0000490	XM_001589239.1.p1	TC005313.p1
OG0000491	XM_001591479.1.p1	TC005867.p1
OG0000491	XM_001590012.1.p1	TC005461.p1
OG0000492	XM_001589340.1.p1, XM_001589980.1.p1, XM_001586411.1.p1	TC001165.p1
OG0000494	XM_001594386.1.p1	TC034580.p1
OG0000497	XM_001596284.1.p1, XM_001587094.1.p1	TC008273.p1, TC031204.p1
OG0000498	XM_001586996.1.p1, XM_001595543.1.p1	TC006024.p1
OG0000500	XM_001584816.1.p1	TC030588.p1
OG0000500	XM_001592410.1.p1	TC004370.p1
OG0000501	XM_001584728.1.p1, XM_001591462.1.p1	TC031140.p1, TC008998.p1, TC009519.p1, TC000237.p1
OG0000502	XM_001585206.1.p1, XM_001590161.1.p1	TC015050.p1
OG0000503	XM_001597809.1.p1	TC013530.p1
OG0000506	XM_001596570.1.p1, XM_001585581.1.p1	TC014494.p1
OG0000507	XM_001592146.1.p1	TC009998.p1
OG0000507	XM_001594601.1.p1	TC014113.p1
OG0000512	XM_001587571.1.p1	TC033318.p1, TC002938.p1, TC034585.p1
OG0000514	XM_001593274.1.p1	TC005780.p1
OG0000517	XM_001590260.1.p1, XM_001588081.1.p1	TC004639.p1, TC001040.p1
OG0000518	XM_001590757.1.p1	TC003307.p1
OG0000518	XM_001597485.1.p1	TC005845.p1
OG0000519	XM_001588250.1.p1	TC015333.p1
OG0000519	XM_001592932.1.p1	TC034861.p1
OG0000520	XM_001596455.1.p1, XM_001591603.1.p1	TC032785.p1, TC007007.p1, TC008516.p1, TC000578.p1
OG0000522	XM_001597943.1.p1	TC005073.p1
OG0000523	XM_001586040.1.p1	TC002141.p1
OG0000523	XM_001585437.1.p1	TC000961.p1, TC010449.p1, TC013187.p1
OG0000524	XM_001594726.1.p1	TC011144.p1, TC009230.p1
OG0000532	XM_001593715.1.p1	TC000125.p1
OG0000532	XM_001596173.1.p1	TC009481.p1
OG0000541	XM_001586293.1.p1	TC004590.p1, TC006109.p1
OG0000543	XM_001595141.1.p1, XM_001594622.1.p1	TC007163.p1, TC009976.p1
OG0000547	XM_001597908.1.p1, XM_001595656.1.p1	TC011946.p1
OG0000548	XM_001598930.1.p1	TC013486.p1, TC014313.p1, TC033126.p1, TC032400.p1, TC012857.p1
OG0000554	XM_001597381.1.p1, XM_001593422.1.p1	TC013214.p1, TC033195.p1
OG0000555	XM_001594828.1.p1	TC032990.p1
OG0000558	XM_001590696.1.p1	TC008801.p1
OG0000560	XM_001595116.1.p1	TC006469.p1
OG0000561	XM_001592440.1.p1	TC005371.p1, TC006532.p1
OG0000565	XM_001591908.1.p1, XM_001586006.1.p1	TC014786.p1
OG0000566	XM_001592658.1.p1	TC013328.p1
OG0000566	XM_001594465.1.p1	TC010103.p1
OG0000568	XM_001586737.1.p1, XM_001595590.1.p1	TC015993.p1
OG0000571	XM_001596650.1.p1	TC010774.p1, TC000365.p1
OG0000572	XM_001588215.1.p1	TC011312.p1, TC002602.p1
OG0000572	XM_001597686.1.p1	TC015747.p1
OG0000575	XM_001588302.1.p1	TC015979.p1, TC015978.p1, TC005624.p1, TC005623.p1, TC034107.p1
OG0000578	XM_001585543.1.p1, XM_001596093.1.p1	TC015355.p1, TC007567.p1
OG0000579	XM_001598740.1.p1, XM_001598216.1.p1	TC003279.p1, TC003178.p1
OG0000580	XM_001589111.1.p1, XM_001595987.1.p1	TC006244.p1, TC006061.p1, TC013295.p1, TC003483.p1, TC000334.p1, TC008009.p1, TC032806.p1, TC011671.p1, TC034465.p1, TC014979.p1, TC014960.p1, TC006062.p1
OG0000581	XM_001598836.1.p1, XM_001585825.1.p1	TC012094.p1, TC011694.p1
OG0000582	XM_001592617.1.p1, XM_001592459.1.p1	TC000224.p1
OG0000583	XM_001587683.1.p1	TC001918.p1
OG0000584	XM_001584971.1.p1, XM_001584969.1.p1	TC014634.p1, TC012163.p1
OG0000588	XM_001586513.1.p1, XM_001586815.1.p1	TC030720.p1
OG0000589	XM_001593383.1.p1	TC008919.p1, TC014226.p1, TC006253.p1
OG0000589	XM_001598163.1.p1	TC013493.p1, TC014513.p1
OG0000593	XM_001589346.1.p1	TC008927.p1
OG0000595	XM_001589667.1.p1, XM_001587433.1.p1	TC002857.p1
OG0000596	XM_001598489.1.p1	TC000305.p1, TC001253.p1, TC033839.p1, TC005932.p1, TC033838.p1
OG0000597	XM_001586224.1.p1	TC009487.p1
OG0000599	XM_001598047.1.p1	TC009586.p1
OG0000603	XM_001589302.1.p1	TC005779.p1
OG0000603	XM_001585870.1.p1	TC002441.p1
OG0000607	XM_001590536.1.p1	TC009598.p1, TC009301.p1
OG0000610	XM_001587685.1.p1	TC034816.p1
OG0000611	XM_001584794.1.p1, XM_001588443.1.p1	TC011313.p1, TC034824.p1, TC006284.p1, TC006611.p1
OG0000612	XM_001585145.1.p1, XM_001585254.1.p1	TC007923.p1, TC003809.p1
OG0000614	XM_001596566.1.p1, XM_001595436.1.p1	TC006614.p1
OG0000616	XM_001588389.1.p1	TC032568.p1
OG0000618	XM_001591111.1.p1	TC012706.p1
OG0000619	XM_001584618.1.p1	TC016051.p1, TC012868.p1
OG0000620	XM_001588805.1.p1	TC013653.p1
OG0000621	XM_001596841.1.p1, XM_001598866.1.p1	TC002741.p1
OG0000624	XM_001594377.1.p1	TC007583.p1, TC032788.p1, TC007477.p1, TC007227.p1, TC011462.p1, TC032155.p1, TC015653.p1, TC016011.p1, TC009236.p1, TC032593.p1, TC034925.p1
OG0000625	XM_001589316.1.p1	TC032013.p1
OG0000628	XM_001586561.1.p1	TC032195.p1
OG0000629	XM_001594794.1.p1	TC010829.p1
OG0000630	XM_001589004.1.p1	TC033362.p1, TC006203.p1
OG0000631	XM_001585037.1.p1	TC010332.p1
OG0000634	XM_001593326.1.p1	TC008296.p1, TC007872.p1
OG0000648	XM_001594682.1.p1, XM_001589012.1.p1	TC000793.p1
OG0000649	XM_001589418.1.p1, XM_001589600.1.p1	TC010483.p1, TC031402.p1
OG0000650	XM_001598771.1.p1	TC013190.p1
OG0000651	XM_001588210.1.p1	TC014404.p1
OG0000661	XM_001591625.1.p1	TC013907.p1, TC008066.p1
OG0000663	XM_001595888.1.p1	TC014562.p1
OG0000665	XM_001597611.1.p1	TC002978.p1, TC030699.p1
OG0000665	XM_001587764.1.p1	TC006701.p1
OG0000666	XM_001588311.1.p1, XM_001590386.1.p1	TC003204.p1
OG0000675	XM_001593877.1.p1	TC005616.p1, TC005615.p1
OG0000678	XM_001586952.1.p1, XM_001591970.1.p1	TC011712.p1
OG0000681	XM_001588807.1.p1, XM_001593083.1.p1	TC033711.p1
OG0000685	XM_001596619.1.p1, XM_001586676.1.p1	TC031524.p1, TC015907.p1
OG0000686	XM_001592583.1.p1	TC001916.p1
OG0000690	XM_001592277.1.p1	TC013676.p1
OG0000692	XM_001593436.1.p1	TC006814.p1
OG0000694	XM_001592443.1.p1, XM_001586351.1.p1	TC006324.p1, TC006325.p1
OG0000695	XM_001598068.1.p1	TC009935.p1
OG0000700	XM_001596857.1.p1	TC015385.p1
OG0000702	XM_001590377.1.p1	TC008164.p1
OG0000704	XM_001593295.1.p1, XM_001598316.1.p1	TC000399.p1, TC014904.p1
OG0000709	XM_001588477.1.p1, XM_001598287.1.p1, XM_001589280.1.p1	TC007032.p1, TC032904.p1, TC007029.p1, TC007030.p1, TC032906.p1, TC032905.p1, TC011039.p1, TC005858.p1, TC031113.p1
OG0000718	XM_001584951.1.p1, XM_001589768.1.p1	TC008820.p1
OG0000724	XM_001597293.1.p1, XM_001593210.1.p1	TC006223.p1
OG0000726	XM_001589268.1.p1, XM_001587474.1.p1, XM_001595123.1.p1, XM_001591330.1.p1	TC012712.p1
OG0000727	XM_001592634.1.p1	TC006477.p1
OG0000731	XM_001598010.1.p1	TC014816.p1
OG0000733	XM_001590502.1.p1	TC009040.p1
OG0000741	XM_001597032.1.p1, XM_001585910.1.p1	TC008948.p1
OG0000743	XM_001597463.1.p1	TC012300.p1
OG0000743	XM_001591205.1.p1	TC004426.p1
OG0000751	XM_001589822.1.p1, XM_001596945.1.p1	TC006818.p1
OG0000753	XM_001587676.1.p1	TC009963.p1
OG0000753	XM_001591506.1.p1	TC002490.p1
OG0000754	XM_001593020.1.p1	TC013390.p1
OG0000758	XM_001590577.1.p1	TC009501.p1
OG0000761	XM_001592728.1.p1	TC033046.p1
OG0000763	XM_001590106.1.p1, XM_001591452.1.p1	TC011562.p1, TC031503.p1
OG0000764	XM_001590789.1.p1, XM_001589307.1.p1	TC003016.p1
OG0000767	XM_001594777.1.p1, XM_001596669.1.p1	TC000059.p1
OG0000770	XM_001585905.1.p1, XM_001593837.1.p1	TC000232.p1
OG0000775	XM_001588040.1.p1	TC014321.p1, TC034109.p1, TC006940.p1, TC000040.p1, TC009259.p1
OG0000777	XM_001589734.1.p1	TC015830.p1, TC015891.p1
OG0000779	XM_001596814.1.p1	TC033160.p1, TC001564.p1, TC033161.p1, TC006275.p1
OG0000781	XM_001591637.1.p1	TC006094.p1
OG0000788	XM_001593948.1.p1	TC013699.p1
OG0000789	XM_001595138.1.p1	TC031560.p1, TC003007.p1
OG0000790	XM_001588713.1.p1, XM_001588711.1.p1	TC002425.p1
OG0000792	XM_001590492.1.p1, XM_001593640.1.p1, XM_001592943.1.p1	TC002295.p1
OG0000794	XM_001589028.1.p1	TC011124.p1
OG0000797	XM_001586761.1.p1	TC004596.p1, TC002351.p1
OG0000798	XM_001591069.1.p1	TC000792.p1, TC014728.p1, TC008867.p1, TC010074.p1, TC014727.p1
OG0000804	XM_001586190.1.p1	TC003291.p1
OG0000806	XM_001590392.1.p1, XM_001589187.1.p1	TC010448.p1
OG0000807	XM_001587026.1.p1, XM_001597524.1.p1	TC005303.p1
OG0000808	XM_001597536.1.p1	TC013669.p1
OG0000810	XM_001592962.1.p1	TC030624.p1, TC012622.p1
OG0000811	XM_001589102.1.p1, XM_001594369.1.p1	TC002932.p1
OG0000812	XM_001593803.1.p1, XM_001596379.1.p1	TC013521.p1, TC009593.p1
OG0000813	XM_001592242.1.p1	TC034439.p1, TC034440.p1, TC011791.p1, TC010520.p1, TC011788.p1
OG0000819	XM_001595146.1.p1, XM_001595145.1.p1	TC000957.p1, TC013522.p1, TC007593.p1
OG0000821	XM_001596577.1.p1, XM_001594411.1.p1, XM_001594412.1.p1	TC000626.p1
OG0000823	XM_001594941.1.p1	TC014207.p1, TC004397.p1, TC014111.p1
OG0000833	XM_001585066.1.p1	TC015092.p1, TC013116.p1, TC015132.p1, TC010379.p1, TC031431.p1, TC003257.p1, TC006323.p1
OG0000837	XM_001589349.1.p1	TC010048.p1, TC008778.p1, TC008777.p1
OG0000838	XM_001585082.1.p1	TC007359.p1
OG0000842	XM_001590686.1.p1, XM_001590759.1.p1	TC012698.p1
OG0000845	XM_001589440.1.p1, XM_001589804.1.p1, XM_001591296.1.p1	TC002995.p1
OG0000846	XM_001590812.1.p1	TC002078.p1, TC012437.p1
OG0000855	XM_001591217.1.p1	TC009509.p1, TC007849.p1
OG0000858	XM_001595783.1.p1, XM_001595785.1.p1	TC015920.p1
OG0000859	XM_001591771.1.p1, XM_001598727.1.p1	TC032014.p1
OG0000860	XM_001597972.1.p1	TC013876.p1, TC008408.p1
OG0000864	XM_001593637.1.p1, XM_001589072.1.p1	TC007790.p1
OG0000869	XM_001586557.1.p1	TC000150.p1
OG0000870	XM_001589082.1.p1	TC010323.p1, TC011114.p1, TC003694.p1, TC001442.p1, TC008099.p1, TC009542.p1
OG0000872	XM_001598410.1.p1	TC032346.p1, TC033053.p1
OG0000881	XM_001598078.1.p1	TC009614.p1, TC007534.p1
OG0000882	XM_001591123.1.p1	TC005317.p1
OG0000883	XM_001592684.1.p1	TC030914.p1
OG0000886	XM_001597766.1.p1	TC003714.p1
OG0000888	XM_001588156.1.p1	TC006844.p1
OG0000894	XM_001594761.1.p1	TC009265.p1
OG0000895	XM_001589295.1.p1	TC000220.p1
OG0000898	XM_001594950.1.p1	TC032038.p1
OG0000899	XM_001590448.1.p1	TC032289.p1
OG0000900	XM_001587345.1.p1, XM_001587164.1.p1	TC003999.p1
OG0000901	XM_001594946.1.p1	TC000681.p1, TC000682.p1, TC032095.p1, TC000680.p1, TC000679.p1, TC000678.p1
OG0000909	XM_001592755.1.p1	TC012457.p1, TC033009.p1, TC008474.p1, TC016297.p1
OG0000911	XM_001586116.1.p1	TC010208.p1, TC013319.p1, TC014488.p1, TC013320.p1, TC010649.p1
OG0000912	XM_001596337.1.p1	TC030580.p1, TC012567.p1, TC010062.p1, TC013401.p1, TC013402.p1, TC013480.p1
OG0000914	XM_001585726.1.p1, XM_001585725.1.p1	TC033995.p1, TC007434.p1
OG0000915	XM_001594710.1.p1	TC004380.p1, TC004884.p1, TC006530.p1
OG0000917	XM_001591777.1.p1, XM_001594442.1.p1, XM_001594441.1.p1	TC000540.p1
OG0000919	XM_001591846.1.p1	TC034808.p1
OG0000921	XM_001594655.1.p1	TC031392.p1, TC002991.p1
OG0000925	XM_001595201.1.p1, XM_001591996.1.p1, XM_001591790.1.p1	TC031285.p1
OG0000935	XM_001596262.1.p1	TC003226.p1
OG0000939	XM_001589765.1.p1, XM_001596967.1.p1	TC000612.p1
OG0000942	XM_001586412.1.p1	TC031520.p1
OG0000944	XM_001598065.1.p1	TC014862.p1, TC033332.p1, TC031094.p1
OG0000947	XM_001591181.1.p1	TC013859.p1
OG0000948	XM_001598011.1.p1	TC006374.p1
OG0000950	XM_001588656.1.p1	TC000781.p1
OG0000951	XM_001595072.1.p1	TC032020.p1, TC034155.p1
OG0000952	XM_001590098.1.p1	TC011321.p1, TC011322.p1
OG0000954	XM_001592026.1.p1	TC010157.p1, TC004730.p1
OG0000957	XM_001585600.1.p1	TC034762.p1
OG0000957	XM_001585602.1.p1	TC001135.p1
OG0000958	XM_001588449.1.p1	TC009380.p1, TC009977.p1
OG0000959	XM_001593888.1.p1	TC015384.p1, TC008515.p1, TC004387.p1
OG0000964	XM_001593840.1.p1, XM_001598313.1.p1	TC000091.p1, TC003143.p1, TC002149.p1
OG0000965	XM_001585357.1.p1	TC034547.p1, TC032032.p1
OG0000966	XM_001585978.1.p1	TC016220.p1, TC033550.p1
OG0000968	XM_001586768.1.p1	TC007883.p1
OG0000969	XM_001592200.1.p1	TC034458.p1
OG0000970	XM_001587938.1.p1	TC005134.p1
OG0000973	XM_001591714.1.p1	TC014393.p1
OG0000974	XM_001594163.1.p1	TC012118.p1
OG0000974	XM_001594159.1.p1	TC004839.p1
OG0000975	XM_001590008.1.p1	TC013937.p1
OG0000983	XM_001587127.1.p1	TC015912.p1
OG0000986	XM_001589957.1.p1	TC003466.p1
OG0000990	XM_001587667.1.p1	TC010587.p1
OG0000991	XM_001584614.1.p1, XM_001588147.1.p1	TC009172.p1
OG0000993	XM_001592118.1.p1	TC007521.p1, TC003711.p1
OG0000994	XM_001598761.1.p1	TC006776.p1, TC010491.p1
OG0000998	XM_001586122.1.p1	TC009207.p1
OG0001000	XM_001588995.1.p1	TC012898.p1, TC012899.p1, TC012900.p1
OG0001002	XM_001591895.1.p1	TC014606.p1, TC012185.p1
OG0001003	XM_001586491.1.p1	TC006728.p1
OG0001007	XM_001584998.1.p1, XM_001597153.1.p1	TC013861.p1
OG0001010	XM_001587714.1.p1	TC000835.p1
OG0001014	XM_001598170.1.p1	TC034834.p1
OG0001015	XM_001593604.1.p1, XM_001592053.1.p1	TC031158.p1, TC012834.p1
OG0001016	XM_001595811.1.p1	TC006851.p1, TC007785.p1, TC007707.p1, TC000538.p1, TC000321.p1
OG0001021	XM_001596254.1.p1	TC013185.p1
OG0001023	XM_001589690.1.p1	TC030670.p1
OG0001024	XM_001590102.1.p1	TC033633.p1
OG0001025	XM_001597615.1.p1	TC031243.p1, TC005983.p1, TC034332.p1, TC014455.p1, TC000467.p1
OG0001028	XM_001595420.1.p1	TC013916.p1
OG0001029	XM_001597029.1.p1	TC000318.p1, TC000319.p1
OG0001031	XM_001598290.1.p1	TC015057.p1
OG0001032	XM_001592750.1.p1	TC004018.p1, TC033085.p1, TC003063.p1, TC004696.p1, TC003092.p1, TC004356.p1, TC031145.p1
OG0001035	XM_001591201.1.p1	TC011841.p1
OG0001037	XM_001585833.1.p1	TC003759.p1, TC004134.p1, TC004751.p1, TC004752.p1, TC014244.p1
OG0001039	XM_001589840.1.p1	TC001943.p1
OG0001041	XM_001595956.1.p1	TC005088.p1, TC033918.p1
OG0001061	XM_001598663.1.p1	TC010013.p1, TC002415.p1, TC000102.p1
OG0001063	XM_001594182.1.p1	TC002502.p1, TC002503.p1
OG0001064	XM_001585284.1.p1	TC012578.p1, TC009540.p1
OG0001070	XM_001587376.1.p1	TC013543.p1
OG0001071	XM_001592045.1.p1	TC006591.p1, TC009907.p1, TC001673.p1, TC013075.p1, TC009208.p1
OG0001073	XM_001592588.1.p1	TC009325.p1
OG0001075	XM_001598429.1.p1	TC006755.p1
OG0001077	XM_001595998.1.p1	TC000322.p1, TC015976.p1
OG0001078	XM_001590375.1.p1	TC006185.p1, TC014482.p1
OG0001079	XM_001598602.1.p1	TC010362.p1, TC010355.p1, TC010354.p1
OG0001082	XM_001597171.1.p1	TC007327.p1, TC034819.p1, TC002458.p1
OG0001083	XM_001584635.1.p1	TC000954.p1
OG0001084	XM_001589263.1.p1	TC009495.p1
OG0001085	XM_001591188.1.p1	TC007374.p1, TC006271.p1
OG0001086	XM_001593619.1.p1	TC034777.p1
OG0001090	XM_001587887.1.p1	TC004176.p1
OG0001093	XM_001593447.1.p1	TC011647.p1, TC014590.p1, TC012855.p1
OG0001095	XM_001593519.1.p1	TC005120.p1
OG0001098	XM_001590638.1.p1, XM_001584687.1.p1	TC012131.p1, TC009714.p1, TC012132.p1, TC001978.p1, TC001977.p1, TC013628.p1
OG0001099	XM_001587319.1.p1	TC032499.p1, TC003733.p1, TC011622.p1, TC012854.p1, TC011623.p1
OG0001101	XM_001592758.1.p1	TC004451.p1, TC004440.p1, TC000586.p1, TC011939.p1
OG0001103	XM_001592955.1.p1, XM_001588227.1.p1	TC007865.p1, TC002698.p1
OG0001105	XM_001592782.1.p1	TC004220.p1, TC032729.p1, TC032801.p1, TC032258.p1
OG0001107	XM_001593873.1.p1	TC010479.p1
OG0001113	XM_001596509.1.p1	TC003094.p1
OG0001114	XM_001588042.1.p1, XM_001594347.1.p1	TC011169.p1, TC011170.p1
OG0001116	XM_001587754.1.p1	TC002960.p1
OG0001117	XM_001587235.1.p1, XM_001589260.1.p1	TC014440.p1
OG0001119	XM_001587563.1.p1	TC015071.p1
OG0001121	XM_001593046.1.p1	TC033093.p1, TC009557.p1
OG0001122	XM_001594924.1.p1	TC032736.p1
OG0001123	XM_001592405.1.p1	TC007228.p1, TC008403.p1
OG0001124	XM_001598830.1.p1	TC015975.p1
OG0001125	XM_001588623.1.p1	TC014542.p1
OG0001126	XM_001590062.1.p1	TC000308.p1
OG0001128	XM_001594215.1.p1	TC012754.p1, TC011730.p1, TC011729.p1
OG0001129	XM_001595650.1.p1	TC006516.p1
OG0001130	XM_001590691.1.p1	TC005830.p1
OG0001131	XM_001591289.1.p1, XM_001597050.1.p1	TC013181.p1
OG0001132	XM_001589184.1.p1, XM_001597308.1.p1	TC003697.p1, TC001754.p1
OG0001145	XM_001589744.1.p1	TC013082.p1
OG0001147	XM_001589207.1.p1	TC014742.p1
OG0001150	XM_001585637.1.p1, XM_001586145.1.p1	TC013591.p1
OG0001152	XM_001585966.1.p1	TC008704.p1
OG0001153	XM_001585409.1.p1	TC013414.p1
OG0001155	XM_001593807.1.p1	TC003886.p1
OG0001156	XM_001587763.1.p1	TC013413.p1
OG0001157	XM_001585113.1.p1	TC013867.p1
OG0001159	XM_001593742.1.p1	TC031430.p1, TC034370.p1, TC031986.p1, TC006055.p1, TC000928.p1, TC004556.p1
OG0001160	XM_001597233.1.p1	TC010807.p1
OG0001162	XM_001592594.1.p1	TC000403.p1
OG0001164	XM_001586609.1.p1	TC033310.p1, TC016320.p1
OG0001165	XM_001590535.1.p1	TC030748.p1, TC034009.p1, TC005696.p1
OG0001166	XM_001590617.1.p1	TC003419.p1
OG0001173	XM_001598301.1.p1	TC034790.p1
OG0001175	XM_001596458.1.p1, XM_001595154.1.p1	TC013552.p1, TC013938.p1
OG0001178	XM_001589035.1.p1	TC009729.p1
OG0001179	XM_001593660.1.p1	TC008421.p1, TC011535.p1
OG0001180	XM_001596694.1.p1	TC003523.p1, TC011356.p1, TC010894.p1, TC001643.p1
OG0001182	XM_001594846.1.p1	TC013791.p1, TC004948.p1
OG0001184	XM_001594370.1.p1	TC006857.p1
OG0001185	XM_001586426.1.p1	TC002644.p1
OG0001187	XM_001586559.1.p1	TC009831.p1, TC014536.p1
OG0001188	XM_001596042.1.p1, XM_001597194.1.p1	TC011005.p1, TC030898.p1, TC033194.p1
OG0001190	XM_001593245.1.p1	TC009311.p1
OG0001193	XM_001591587.1.p1	TC034300.p1, TC034299.p1
OG0001194	XM_001585295.1.p1	TC010455.p1, TC031068.p1, TC009817.p1
OG0001196	XM_001588984.1.p1	TC012524.p1, TC008473.p1, TC034455.p1, TC015480.p1
OG0001197	XM_001590968.1.p1	TC005204.p1, TC003149.p1
OG0001199	XM_001586739.1.p1	TC004989.p1
OG0001200	XM_001586874.1.p1, XM_001595974.1.p1	TC015502.p1
OG0001203	XM_001595223.1.p1	TC004373.p1, TC004980.p1
OG0001204	XM_001587531.1.p1	TC013175.p1, TC030731.p1
OG0001205	XM_001597608.1.p1	TC010433.p1, TC009183.p1
OG0001206	XM_001590495.1.p1	TC034723.p1, TC008320.p1
OG0001207	XM_001598174.1.p1	TC014437.p1, TC011092.p1
OG0001208	XM_001585675.1.p1	TC005314.p1, TC033238.p1
OG0001209	XM_001584711.1.p1	TC033199.p1, TC013542.p1
OG0001210	XM_001593130.1.p1	TC006239.p1
OG0001213	XM_001586026.1.p1	TC014372.p1
OG0001214	XM_001594629.1.p1	TC004712.p1
OG0001216	XM_001587846.1.p1	TC007535.p1
OG0001218	XM_001585042.1.p1	TC008897.p1
OG0001219	XM_001598205.1.p1	TC013629.p1
OG0001220	XM_001590652.1.p1	TC003250.p1
OG0001221	XM_001587099.1.p1	TC001409.p1
OG0001222	XM_001586044.1.p1	TC004794.p1, TC008603.p1, TC001964.p1
OG0001223	XM_001596735.1.p1	TC009472.p1
OG0001227	XM_001598832.1.p1	TC000192.p1
OG0001244	XM_001587402.1.p1	TC002881.p1
OG0001245	XM_001598019.1.p1	TC013292.p1
OG0001246	XM_001596306.1.p1	TC000335.p1, TC030578.p1
OG0001248	XM_001597052.1.p1	TC009674.p1, TC006380.p1
OG0001250	XM_001585219.1.p1	TC007847.p1
OG0001251	XM_001597911.1.p1	TC013007.p1
OG0001252	XM_001589710.1.p1	TC005163.p1
OG0001253	XM_001594361.1.p1	TC006739.p1
OG0001254	XM_001594431.1.p1	TC010386.p1, TC032576.p1, TC015081.p1, TC007481.p1, TC010125.p1
OG0001255	XM_001585594.1.p1	TC002973.p1
OG0001258	XM_001592670.1.p1	TC005854.p1, TC007447.p1
OG0001259	XM_001587500.1.p1, XM_001595026.1.p1	TC011515.p1
OG0001260	XM_001591210.1.p1	TC008728.p1
OG0001261	XM_001592688.1.p1	TC004781.p1, TC010440.p1, TC000567.p1, TC010160.p1
OG0001262	XM_001584906.1.p1, XM_001592747.1.p1	TC014458.p1, TC000686.p1
OG0001263	XM_001593392.1.p1	TC012656.p1
OG0001266	XM_001594795.1.p1	TC011361.p1
OG0001267	XM_001593062.1.p1	TC012809.p1
OG0001268	XM_001595596.1.p1	TC006471.p1
OG0001270	XM_001592691.1.p1	TC031476.p1, TC001321.p1, TC005895.p1
OG0001271	XM_001587646.1.p1	TC004501.p1
OG0001272	XM_001592903.1.p1	TC005496.p1
OG0001273	XM_001598707.1.p1	TC030783.p1
OG0001275	XM_001588945.1.p1	TC015133.p1
OG0001276	XM_001596955.1.p1	TC010234.p1, TC000326.p1, TC003000.p1, TC030749.p1
OG0001277	XM_001588770.1.p1	TC016323.p1
OG0001278	XM_001597610.1.p1	TC011326.p1
OG0001279	XM_001591890.1.p1	TC008785.p1
OG0001280	XM_001586262.1.p1	TC004732.p1
OG0001281	XM_001584702.1.p1	TC011119.p1
OG0001282	XM_001595958.1.p1	TC010408.p1
OG0001284	XM_001596034.1.p1	TC008472.p1, TC010521.p1
OG0001287	XM_001586319.1.p1	TC005546.p1
OG0001288	XM_001590210.1.p1	TC000880.p1, TC009647.p1
OG0001290	XM_001588613.1.p1	TC013194.p1
OG0001292	XM_001595039.1.p1	TC013556.p1, TC015260.p1
OG0001295	XM_001587939.1.p1	TC005477.p1
OG0001296	XM_001585953.1.p1	TC009355.p1, TC009462.p1
OG0001297	XM_001591937.1.p1	TC012116.p1
OG0001298	XM_001595056.1.p1	TC006495.p1, TC013915.p1, TC000782.p1
OG0001299	XM_001596175.1.p1	TC006466.p1
