Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Puccinia_graminis_rna_prot
OG0000399	XM_001598920.1.p1	XM_003321661.2.p1, XM_003322502.2.p1
OG0000399	XM_001586912.1.p1	XM_003323860.2.p1
OG0000400	XM_001585385.1.p1	XM_003325324.2.p1
OG0000400	XM_001597020.1.p1, XM_001588070.1.p1, XM_001598807.1.p1	XM_003324632.2.p1, XM_003307701.2.p1, XM_003331049.2.p1
OG0000401	XM_001598784.1.p1, XM_001589106.1.p1	XM_003335827.2.p1, XM_003336329.2.p1, XM_003320453.2.p1, XM_003324414.2.p1, XM_003335426.2.p1
OG0000402	XM_001598752.1.p1	XM_003889359.1.p1, XM_003336436.2.p1, XM_003336794.2.p1, XM_003336815.2.p1, XM_003336982.2.p1, XM_003336800.2.p1
OG0000403	XM_001589101.1.p1	XM_003331067.2.p1
OG0000403	XM_001590733.1.p1	XM_003333173.2.p1
OG0000407	XM_001591874.1.p1	XM_003335358.2.p1
OG0000407	XM_001594751.1.p1	XM_003330928.2.p1, XM_003330946.2.p1
OG0000408	XM_001590719.1.p1	XM_003335806.2.p1
OG0000408	XM_001588056.1.p1	XM_003332239.2.p1
OG0000409	XM_001591593.1.p1	XM_003327278.2.p1
OG0000409	XM_001594161.1.p1	XM_003334908.2.p1
OG0000411	XM_001585214.1.p1	XM_003338349.2.p1, XM_003320407.2.p1
OG0000411	XM_001593430.1.p1	XM_003319368.2.p1
OG0000412	XM_001592689.1.p1	XM_003307592.2.p1
OG0000414	XM_001588538.1.p1	XM_003323707.2.p1
OG0000415	XM_001590013.1.p1	XM_003890734.1.p1, XM_003307169.2.p1
OG0000418	XM_001597732.1.p1, XM_001594531.1.p1	XM_003307506.2.p1
OG0000420	XM_001597867.1.p1, XM_001586169.1.p1	XM_003335449.2.p1
OG0000425	XM_001595569.1.p1	XM_003889329.1.p1
OG0000426	XM_001594352.1.p1	XM_003323292.2.p1
OG0000426	XM_001595306.1.p1	XM_003328263.2.p1
OG0000427	XM_001596733.1.p1	XM_003322707.2.p1
OG0000428	XM_001591689.1.p1	XM_003335775.1.p1
OG0000428	XM_001592756.1.p1	XM_003326203.2.p1
OG0000429	XM_001596406.1.p1	XM_003325977.2.p1, XM_003320933.2.p1, XM_003320600.2.p1, XM_003320973.1.p1, XM_003326609.2.p1, XM_003320601.2.p1, XM_003320935.2.p1, XM_003890454.1.p1, XM_003320970.2.p1, XM_003333317.2.p1, XM_003335994.2.p1
OG0000431	XM_001595021.1.p1	XM_003335319.2.p1
OG0000432	XM_001592025.1.p1	XM_003323192.2.p1
OG0000432	XM_001595641.1.p1	XM_003889883.1.p1
OG0000433	XM_001590463.1.p1	XM_003321312.2.p1, XM_003890480.1.p1
OG0000437	XM_001586166.1.p1, XM_001594881.1.p1	XM_003320379.2.p1, XM_003307537.2.p1, XM_003333411.2.p1
OG0000438	XM_001594730.1.p1	XM_003320179.2.p1
OG0000439	XM_001594207.1.p1	XM_003321438.2.p1
OG0000440	XM_001596584.1.p1	XM_003333622.2.p1
OG0000441	XM_001598052.1.p1	XM_003319200.2.p1
OG0000441	XM_001587956.1.p1	XM_003332093.2.p1
OG0000442	XM_001594041.1.p1	XM_003333024.2.p1
OG0000443	XM_001597889.1.p1	XM_003320770.2.p1
OG0000443	XM_001589171.1.p1	XM_003336694.2.p1, XM_003889100.1.p1
OG0000444	XM_001588771.1.p1	XM_003330704.2.p1, XM_003331070.2.p1, XM_003337913.2.p1, XM_003331077.2.p1
OG0000445	XM_001595885.1.p1	XM_003320335.2.p1, XM_003324878.1.p1
OG0000447	XM_001592798.1.p1, XM_001598386.1.p1	XM_003335995.2.p1, XM_003320881.2.p1
OG0000448	XM_001596951.1.p1	XM_003322569.2.p1, XM_003322566.2.p1
OG0000448	XM_001589303.1.p1	XM_003319468.2.p1
OG0000451	XM_001598145.1.p1	XM_003328599.2.p1
OG0000451	XM_001590342.1.p1	XM_003324907.2.p1, XM_003889636.1.p1
OG0000456	XM_001586769.1.p1	XM_003327335.2.p1
OG0000456	XM_001590674.1.p1	XM_003332759.1.p1
OG0000457	XM_001597364.1.p1	XM_003322249.2.p1
OG0000457	XM_001595651.1.p1	XM_003334231.2.p1
OG0000458	XM_001589273.1.p1	XM_003319704.2.p1
OG0000459	XM_001595847.1.p1	XM_003319268.2.p1
OG0000460	XM_001597572.1.p1, XM_001597304.1.p1	XM_003319551.2.p1
OG0000461	XM_001594597.1.p1, XM_001594596.1.p1	XM_003322820.2.p1
OG0000461	XM_001590763.1.p1	XM_003333300.2.p1
OG0000463	XM_001597555.1.p1	XM_003332947.2.p1
OG0000465	XM_001596182.1.p1	XM_003332603.2.p1
OG0000465	XM_001598498.1.p1	XM_003325344.2.p1
OG0000467	XM_001588516.1.p1, XM_001588214.1.p1	XM_003338157.2.p1
OG0000469	XM_001586974.1.p1	XM_003330324.2.p1
OG0000469	XM_001588006.1.p1	XM_003324614.1.p1
OG0000470	XM_001589696.1.p1	XM_003330668.2.p1
OG0000471	XM_001589081.1.p1	XM_003320823.2.p1
OG0000471	XM_001597763.1.p1	XM_003334184.2.p1
OG0000472	XM_001596286.1.p1, XM_001592203.1.p1, XM_001598844.1.p1	XM_003335822.2.p1
OG0000473	XM_001597336.1.p1	XM_003335218.2.p1
OG0000474	XM_001586657.1.p1	XM_003333680.2.p1
OG0000475	XM_001586521.1.p1	XM_003336912.2.p1, XM_003321965.2.p1
OG0000475	XM_001592419.1.p1	XM_003333688.2.p1
OG0000476	XM_001584773.1.p1	XM_003326291.2.p1
OG0000477	XM_001598467.1.p1	XM_003326226.2.p1
OG0000477	XM_001587693.1.p1	XM_003328516.2.p1, XM_003328624.2.p1
OG0000478	XM_001595503.1.p1	XM_003889671.1.p1, XM_003328020.2.p1
OG0000480	XM_001589137.1.p1	XM_003319949.2.p1, XM_003323697.2.p1, XM_003336461.1.p1, XM_003888863.1.p1, XM_003334951.2.p1, XM_003307286.2.p1, XM_003327048.2.p1, XM_003325655.2.p1, XM_003325650.2.p1, XM_003337372.1.p1, XM_003888928.1.p1, XM_003330479.2.p1, XM_003337891.2.p1, XM_003335530.2.p1, XM_003334953.2.p1
OG0000485	XM_001592093.1.p1	XM_003320078.2.p1
OG0000490	XM_001589239.1.p1	XM_003321458.2.p1
OG0000491	XM_001591479.1.p1	XM_003326724.2.p1
OG0000492	XM_001589340.1.p1	XM_003323529.2.p1
OG0000492	XM_001589980.1.p1, XM_001586411.1.p1	XM_003323367.2.p1
OG0000496	XM_001585344.1.p1, XM_001589703.1.p1, XM_001593971.1.p1	XM_003332719.2.p1, XM_003332714.2.p1, XM_003320168.2.p1, XM_003328655.2.p1, XM_003889402.1.p1
OG0000497	XM_001596284.1.p1	XM_003328017.2.p1
OG0000497	XM_001587094.1.p1	XM_003332995.2.p1
OG0000498	XM_001586996.1.p1, XM_001595543.1.p1	XM_003326874.2.p1
OG0000499	XM_001594743.1.p1, XM_001588554.1.p1	XM_003327623.1.p1
OG0000500	XM_001584816.1.p1	XM_003337989.2.p1, XM_003328637.2.p1
OG0000501	XM_001584728.1.p1	XM_003329012.1.p1
OG0000501	XM_001591462.1.p1	XM_003333026.2.p1
OG0000502	XM_001585206.1.p1	XM_003335317.2.p1
OG0000502	XM_001590161.1.p1	XM_003323280.2.p1
OG0000503	XM_001597809.1.p1	XM_003325003.2.p1
OG0000506	XM_001596570.1.p1	XM_003334011.2.p1, XM_003334012.2.p1
OG0000507	XM_001594601.1.p1	XM_003325012.2.p1
OG0000508	XM_001589593.1.p1	XM_003319963.2.p1, XM_003335227.2.p1, XM_003335228.2.p1
OG0000509	XM_001593419.1.p1	XM_003327019.2.p1
OG0000514	XM_001593274.1.p1	XM_003890207.1.p1, XM_003323143.2.p1
OG0000516	XM_001598362.1.p1, XM_001596103.1.p1	XM_003322306.2.p1, XM_003322308.2.p1
OG0000517	XM_001590260.1.p1	XM_003326928.2.p1
OG0000517	XM_001588081.1.p1	XM_003330026.2.p1
OG0000518	XM_001590757.1.p1	XM_003307328.2.p1
OG0000518	XM_001597485.1.p1	XM_003322143.2.p1
OG0000519	XM_001588250.1.p1	XM_003329631.2.p1
OG0000519	XM_001592932.1.p1	XM_003326587.2.p1
OG0000520	XM_001596455.1.p1, XM_001591603.1.p1	XM_003332006.2.p1, XM_003334088.2.p1
OG0000522	XM_001597943.1.p1	XM_003319663.2.p1
OG0000523	XM_001586040.1.p1	XM_003326079.2.p1
OG0000524	XM_001594726.1.p1	XM_003328679.2.p1
OG0000525	XM_001594404.1.p1	XM_003335253.2.p1
OG0000525	XM_001593959.1.p1	XM_003329540.2.p1
OG0000532	XM_001596173.1.p1	XM_003328692.2.p1
OG0000534	XM_001590038.1.p1	XM_003327942.2.p1
OG0000536	XM_001585792.1.p1, XM_001594223.1.p1, XM_001598108.1.p1	XM_003327136.2.p1, XM_003335978.2.p1, XM_003335971.2.p1, XM_003335975.2.p1, XM_003327606.2.p1, XM_003326067.2.p1, XM_003326068.2.p1
OG0000541	XM_001586293.1.p1	XM_003337517.2.p1
OG0000544	XM_001585633.1.p1, XM_001590593.1.p1	XM_003307196.2.p1, XM_003325893.2.p1, XM_003335662.2.p1, XM_003337651.2.p1
OG0000546	XM_001585394.1.p1, XM_001594546.1.p1	XM_003307090.2.p1, XM_003307123.2.p1
OG0000547	XM_001597908.1.p1	XM_003335281.2.p1
OG0000548	XM_001598930.1.p1	XM_003330134.2.p1, XM_003322412.2.p1
OG0000554	XM_001593422.1.p1	XM_003335279.2.p1
OG0000556	XM_001597214.1.p1, XM_001595928.1.p1	XM_003327983.2.p1, XM_003327989.1.p1, XM_003327988.1.p1, XM_003327987.2.p1, XM_003337296.2.p1
OG0000558	XM_001590696.1.p1	XM_003329429.2.p1
OG0000560	XM_001595116.1.p1	XM_003333905.2.p1
OG0000562	XM_001595328.1.p1	XM_003321113.2.p1, XM_003335761.2.p1
OG0000564	XM_001589362.1.p1	XM_003890521.1.p1
OG0000565	XM_001591908.1.p1	XM_003321980.2.p1
OG0000565	XM_001586006.1.p1	XM_003327247.2.p1
OG0000566	XM_001592658.1.p1	XM_003330058.2.p1
OG0000568	XM_001586737.1.p1, XM_001595590.1.p1	XM_003328332.2.p1
OG0000570	XM_001590616.1.p1	XM_003331414.2.p1
OG0000571	XM_001596650.1.p1	XM_003335520.2.p1
OG0000573	XM_001598905.1.p1	XM_003336013.2.p1, XM_003890098.1.p1
OG0000575	XM_001588302.1.p1	XM_003338662.2.p1, XM_003319190.1.p1
OG0000577	XM_001597370.1.p1	XM_003330163.2.p1
OG0000580	XM_001589111.1.p1, XM_001595987.1.p1	XM_003889380.1.p1
OG0000581	XM_001598836.1.p1, XM_001585825.1.p1	XM_003329105.2.p1
OG0000582	XM_001592617.1.p1	XM_003324595.2.p1
OG0000582	XM_001592459.1.p1	XM_003336857.2.p1
OG0000583	XM_001587683.1.p1	XM_003336101.2.p1
OG0000584	XM_001584971.1.p1	XM_003333450.2.p1
OG0000584	XM_001584969.1.p1	XM_003322898.2.p1
OG0000585	XM_001594243.1.p1	XM_003325257.2.p1
OG0000586	XM_001596162.1.p1	XM_003328062.2.p1
OG0000587	XM_001588230.1.p1	XM_003322416.2.p1
OG0000588	XM_001586513.1.p1	XM_003321188.2.p1
OG0000588	XM_001586815.1.p1	XM_003889924.1.p1
OG0000589	XM_001593383.1.p1	XM_003327144.2.p1, XM_003331865.2.p1
OG0000591	XM_001585967.1.p1	XM_003323277.2.p1
OG0000593	XM_001589346.1.p1	XM_003320173.2.p1
OG0000594	XM_001588641.1.p1	XM_003324612.2.p1
OG0000595	XM_001589667.1.p1, XM_001587433.1.p1	XM_003325087.2.p1
OG0000599	XM_001590786.1.p1	XM_003327534.2.p1
OG0000599	XM_001598047.1.p1	XM_003327158.2.p1
OG0000602	XM_001593423.1.p1	XM_003324525.2.p1
OG0000603	XM_001589302.1.p1	XM_003327546.2.p1
OG0000603	XM_001585870.1.p1	XM_003889489.1.p1
OG0000607	XM_001590536.1.p1	XM_003324669.1.p1
OG0000607	XM_001594619.1.p1	XM_003332180.2.p1
OG0000608	XM_001588104.1.p1, XM_001585159.1.p1	XM_003320889.2.p1
OG0000610	XM_001587685.1.p1	XM_003329059.2.p1
OG0000612	XM_001585145.1.p1, XM_001585254.1.p1	XM_003307064.2.p1
OG0000613	XM_001598913.1.p1	XM_003327038.2.p1
OG0000613	XM_001590405.1.p1	XM_003320949.2.p1
OG0000614	XM_001596566.1.p1, XM_001595436.1.p1	XM_003319365.2.p1
OG0000616	XM_001588389.1.p1	XM_003328670.2.p1
OG0000617	XM_001593217.1.p1	XM_003328815.1.p1
OG0000617	XM_001591019.1.p1	XM_003326519.2.p1
OG0000618	XM_001591111.1.p1	XM_003324655.2.p1
OG0000619	XM_001584618.1.p1	XM_003326529.2.p1
OG0000621	XM_001596841.1.p1, XM_001598866.1.p1	XM_003319666.2.p1
OG0000624	XM_001594377.1.p1	XM_003327334.2.p1
OG0000625	XM_001589315.1.p1, XM_001589316.1.p1	XM_003333573.2.p1
OG0000627	XM_001587865.1.p1	XM_003320551.2.p1
OG0000627	XM_001597895.1.p1	XM_003325788.1.p1
OG0000628	XM_001586561.1.p1	XM_003334357.2.p1
OG0000629	XM_001594794.1.p1	XM_003889743.1.p1, XM_003327560.2.p1
OG0000630	XM_001589004.1.p1	XM_003326765.2.p1
OG0000631	XM_001585037.1.p1	XM_003326719.2.p1
OG0000633	XM_001584744.1.p1	XM_003331041.2.p1
OG0000633	XM_001590819.1.p1	XM_003325055.2.p1
OG0000634	XM_001593326.1.p1	XM_003332551.2.p1
OG0000641	XM_001586942.1.p1	XM_003307127.2.p1
OG0000643	XM_001589232.1.p1	XM_003324238.2.p1, XM_003336137.2.p1, XM_003328191.2.p1
OG0000644	XM_001591795.1.p1	XM_003337363.2.p1
OG0000644	XM_001591081.1.p1	XM_003325410.2.p1
OG0000646	XM_001590778.1.p1	XM_003335819.2.p1
OG0000648	XM_001589012.1.p1	XM_003322325.2.p1
OG0000649	XM_001589418.1.p1, XM_001589600.1.p1	XM_003320381.2.p1
OG0000651	XM_001588210.1.p1	XM_003324222.2.p1
OG0000656	XM_001594487.1.p1	XM_003319393.2.p1
OG0000657	XM_001593859.1.p1, XM_001591519.1.p1	XM_003323402.2.p1, XM_003324415.2.p1, XM_003323391.2.p1, XM_003323400.2.p1
OG0000658	XM_001588121.1.p1, XM_001585190.1.p1, XM_001590345.1.p1	XM_003321246.2.p1
OG0000659	XM_001597588.1.p1	XM_003323805.2.p1
OG0000660	XM_001587702.1.p1	XM_003322985.2.p1
OG0000661	XM_001591625.1.p1	XM_003330345.2.p1
OG0000663	XM_001595888.1.p1	XM_003319292.2.p1
OG0000665	XM_001597611.1.p1	XM_003328666.2.p1
OG0000665	XM_001587764.1.p1	XM_003889413.1.p1
OG0000666	XM_001588311.1.p1, XM_001590386.1.p1	XM_003335536.2.p1
OG0000675	XM_001593877.1.p1	XM_003307142.2.p1
OG0000678	XM_001591970.1.p1	XM_003320561.2.p1
OG0000681	XM_001588807.1.p1, XM_001593083.1.p1	XM_003335570.2.p1, XM_003327888.2.p1
OG0000687	XM_001590432.1.p1, XM_001588710.1.p1	XM_003324936.2.p1, XM_003328013.2.p1
OG0000688	XM_001584724.1.p1, XM_001597165.1.p1	XM_003319790.2.p1, XM_003319807.2.p1
OG0000690	XM_001592277.1.p1	XM_003321069.2.p1
OG0000692	XM_001593436.1.p1	XM_003888686.1.p1
OG0000694	XM_001592443.1.p1	XM_003888691.1.p1
OG0000694	XM_001586351.1.p1	XM_003325053.2.p1
OG0000695	XM_001598068.1.p1	XM_003336092.2.p1
OG0000696	XM_001591039.1.p1	XM_003333113.2.p1
OG0000697	XM_001592369.1.p1	XM_003889935.1.p1
OG0000700	XM_001596857.1.p1	XM_003333128.2.p1
OG0000702	XM_001590377.1.p1	XM_003330770.2.p1
OG0000703	XM_001586680.1.p1, XM_001584591.1.p1, XM_001593587.1.p1	XM_003333155.2.p1, XM_003328358.2.p1
OG0000704	XM_001593295.1.p1, XM_001598316.1.p1	XM_003889545.1.p1, XM_003888637.1.p1, XM_003329306.2.p1, XM_003890178.1.p1
OG0000709	XM_001589280.1.p1	XM_003334023.2.p1
OG0000718	XM_001584951.1.p1, XM_001589768.1.p1	XM_003890319.1.p1
OG0000719	XM_001594228.1.p1	XM_003322826.2.p1, XM_003327443.1.p1, XM_003329435.2.p1, XM_003327536.2.p1, XM_003327537.2.p1, XM_003327538.2.p1
OG0000726	XM_001589268.1.p1, XM_001587474.1.p1, XM_001595123.1.p1, XM_001591330.1.p1	XM_003328710.2.p1, XM_003330498.1.p1
OG0000727	XM_001591832.1.p1, XM_001592634.1.p1	XM_003330644.2.p1
OG0000730	XM_001592960.1.p1	XM_003327479.1.p1, XM_003319886.2.p1
OG0000731	XM_001598010.1.p1	XM_003325247.2.p1, XM_003307100.2.p1
OG0000733	XM_001590502.1.p1	XM_003889842.1.p1
OG0000733	XM_001590497.1.p1	XM_003328408.2.p1
OG0000735	XM_001592013.1.p1	XM_003325608.2.p1, XM_003331357.2.p1
OG0000736	XM_001586755.1.p1	XM_003333598.2.p1
OG0000737	XM_001585464.1.p1	XM_003336173.2.p1, XM_003327585.1.p1, XM_003324180.1.p1, XM_003323978.1.p1, XM_003328533.1.p1, XM_003323934.1.p1, XM_003890113.1.p1, XM_003320725.1.p1, XM_003320741.1.p1, XM_003320742.2.p1, XM_003320470.1.p1, XM_003890554.1.p1, XM_003320839.2.p1, XM_003330841.2.p1, XM_003329253.2.p1, XM_003319352.1.p1, XM_003329353.1.p1, XM_003328383.2.p1
OG0000738	XM_001589763.1.p1	XM_003319454.2.p1, XM_003327446.2.p1
OG0000741	XM_001597032.1.p1, XM_001585910.1.p1	XM_003330184.2.p1, XM_003327985.2.p1
OG0000742	XM_001597193.1.p1, XM_001598237.1.p1	XM_003307617.2.p1
OG0000743	XM_001591205.1.p1	XM_003329458.2.p1
OG0000751	XM_001589822.1.p1, XM_001596945.1.p1	XM_003329554.2.p1
OG0000753	XM_001591506.1.p1	XM_003329172.2.p1
OG0000757	XM_001593138.1.p1	XM_003890057.1.p1
OG0000758	XM_001590577.1.p1	XM_003336058.2.p1
OG0000759	XM_001593983.1.p1, XM_001584997.1.p1	XM_003307396.2.p1
OG0000761	XM_001592728.1.p1	XM_003889324.1.p1
OG0000761	XM_001592729.1.p1	XM_003332726.2.p1
OG0000762	XM_001594392.1.p1, XM_001585091.1.p1, XM_001590564.1.p1	XM_003330585.2.p1
OG0000763	XM_001590106.1.p1, XM_001591452.1.p1	XM_003323680.2.p1
OG0000764	XM_001590789.1.p1	XM_003328349.2.p1
OG0000764	XM_001589307.1.p1	XM_003322075.2.p1
OG0000767	XM_001594777.1.p1, XM_001596669.1.p1	XM_003333882.2.p1
OG0000770	XM_001585905.1.p1, XM_001593837.1.p1	XM_003334334.2.p1
OG0000772	XM_001596787.1.p1	XM_003331869.2.p1
OG0000773	XM_001589152.1.p1, XM_001585787.1.p1	XM_003889322.1.p1
OG0000775	XM_001588040.1.p1	XM_003328603.2.p1
OG0000777	XM_001589734.1.p1	XM_003335303.2.p1
OG0000780	XM_001596764.1.p1	XM_003328288.2.p1
OG0000781	XM_001591637.1.p1	XM_003888500.1.p1, XM_003890443.1.p1
OG0000782	XM_001592743.1.p1	XM_003336046.2.p1, XM_003322411.2.p1
OG0000788	XM_001593948.1.p1	XM_003307194.2.p1
OG0000789	XM_001595138.1.p1	XM_003333842.2.p1, XM_003325734.2.p1, XM_003333833.2.p1
OG0000790	XM_001588713.1.p1, XM_001588711.1.p1	XM_003333004.2.p1
OG0000793	XM_001588947.1.p1, XM_001588068.1.p1, XM_001588367.1.p1, XM_001595542.1.p1	XM_003319395.2.p1
OG0000794	XM_001589028.1.p1	XM_003319590.2.p1
OG0000796	XM_001590467.1.p1, XM_001597758.1.p1	XM_003325692.2.p1
OG0000797	XM_001586761.1.p1	XM_003337646.2.p1
OG0000798	XM_001591069.1.p1	XM_003335025.2.p1
OG0000799	XM_001598185.1.p1	XM_003335772.2.p1
OG0000801	XM_001595009.1.p1, XM_001592333.1.p1	XM_003307321.2.p1, XM_003889921.1.p1, XM_003890517.1.p1, XM_003326369.2.p1
OG0000802	XM_001591221.1.p1	XM_003331250.2.p1
OG0000804	XM_001586190.1.p1	XM_003321522.2.p1
OG0000806	XM_001589187.1.p1	XM_003327902.2.p1
OG0000807	XM_001587026.1.p1, XM_001597524.1.p1	XM_003307342.2.p1
OG0000809	XM_001598101.1.p1	XM_003327808.2.p1
OG0000810	XM_001592962.1.p1	XM_003321050.2.p1
OG0000811	XM_001589102.1.p1, XM_001594369.1.p1	XM_003320833.2.p1
OG0000814	XM_001591234.1.p1	XM_003338008.2.p1
OG0000815	XM_001590827.1.p1	XM_003326756.2.p1
OG0000819	XM_001595146.1.p1, XM_001595145.1.p1	XM_003889823.1.p1
OG0000822	XM_001597996.1.p1	XM_003330232.2.p1
OG0000823	XM_001594941.1.p1	XM_003889126.1.p1
OG0000833	XM_001585066.1.p1	XM_003325481.2.p1
OG0000835	XM_001590315.1.p1	XM_003320567.2.p1
OG0000835	XM_001594972.1.p1	XM_003324622.2.p1
OG0000837	XM_001589349.1.p1	XM_003335637.2.p1
OG0000842	XM_001590686.1.p1, XM_001590759.1.p1	XM_003335300.2.p1
OG0000843	XM_001595926.1.p1	XM_003327896.2.p1
OG0000844	XM_001588877.1.p1	XM_003307513.2.p1
OG0000846	XM_001590812.1.p1	XM_003327438.2.p1
OG0000849	XM_001598887.1.p1	XM_003328057.2.p1
OG0000850	XM_001590302.1.p1, XM_001591407.1.p1, XM_001598854.1.p1, XM_001592294.1.p1	XM_003320819.2.p1, XM_003889450.1.p1
OG0000853	XM_001591040.1.p1	XM_003337396.2.p1
OG0000855	XM_001591217.1.p1	XM_003335031.2.p1
OG0000856	XM_001593053.1.p1, XM_001592531.1.p1	XM_003331173.1.p1
OG0000858	XM_001595785.1.p1	XM_003332649.2.p1
OG0000860	XM_001597972.1.p1	XM_003336967.2.p1, XM_003336954.2.p1, XM_003336951.2.p1
OG0000862	XM_001597870.1.p1	XM_003890668.1.p1
OG0000863	XM_001597318.1.p1, XM_001596881.1.p1	XM_003328693.2.p1
OG0000865	XM_001593989.1.p1	XM_003324689.2.p1, XM_003327564.2.p1
OG0000867	XM_001592201.1.p1	XM_003325837.2.p1
OG0000868	XM_001596445.1.p1	XM_003324930.2.p1
OG0000869	XM_001586557.1.p1	XM_003320465.2.p1
OG0000870	XM_001589082.1.p1	XM_003336603.2.p1, XM_003323242.2.p1, XM_003323338.2.p1, XM_003321947.2.p1
OG0000871	XM_001584684.1.p1	XM_003328097.2.p1
OG0000872	XM_001598410.1.p1	XM_003330628.2.p1
OG0000880	XM_001594610.1.p1	XM_003889752.1.p1, XM_003328165.2.p1
OG0000881	XM_001598078.1.p1	XM_003322723.2.p1
OG0000882	XM_001591123.1.p1	XM_003323371.2.p1
OG0000883	XM_001592684.1.p1	XM_003334179.2.p1
OG0000886	XM_001597766.1.p1	XM_003330733.2.p1
OG0000888	XM_001588156.1.p1	XM_003335554.1.p1
OG0000889	XM_001595904.1.p1, XM_001587720.1.p1	XM_003326667.2.p1
OG0000892	XM_001589455.1.p1, XM_001589124.1.p1	XM_003332655.2.p1
OG0000893	XM_001593810.1.p1	XM_003890342.1.p1
OG0000894	XM_001594761.1.p1	XM_003320336.2.p1
OG0000898	XM_001594950.1.p1	XM_003307681.2.p1
OG0000899	XM_001590448.1.p1	XM_003322320.2.p1
OG0000900	XM_001587345.1.p1	XM_003332254.2.p1
OG0000900	XM_001587164.1.p1	XM_003325377.2.p1
OG0000901	XM_001594946.1.p1	XM_003333259.2.p1
OG0000902	XM_001590403.1.p1, XM_001597563.1.p1	XM_003330592.2.p1
OG0000906	XM_001593572.1.p1	XM_003326669.2.p1
OG0000910	XM_001591606.1.p1	XM_003321098.2.p1
OG0000911	XM_001586116.1.p1	XM_003323698.2.p1
OG0000913	XM_001595797.1.p1	XM_003321556.2.p1, XM_003325285.2.p1
OG0000914	XM_001585726.1.p1, XM_001585725.1.p1	XM_003319923.2.p1, XM_003338292.2.p1
OG0000915	XM_001594710.1.p1	XM_003334566.2.p1
OG0000917	XM_001591777.1.p1, XM_001594442.1.p1, XM_001594441.1.p1	XM_003335278.2.p1
OG0000919	XM_001591846.1.p1	XM_003321916.2.p1, XM_003332457.2.p1
OG0000920	XM_001587710.1.p1	XM_003326757.2.p1
OG0000921	XM_001594655.1.p1	XM_003333438.2.p1
OG0000925	XM_001595201.1.p1	XM_003337780.2.p1
OG0000925	XM_001591996.1.p1	XM_003324707.2.p1
OG0000925	XM_001591790.1.p1	XM_003337991.1.p1
OG0000935	XM_001596262.1.p1	XM_003307566.1.p1, XM_003322790.2.p1
OG0000938	XM_001587290.1.p1	XM_003334313.2.p1, XM_003334310.2.p1, XM_003888943.1.p1
OG0000940	XM_001588094.1.p1, XM_001591875.1.p1	XM_003334318.2.p1
OG0000942	XM_001586412.1.p1	XM_003890020.1.p1
OG0000944	XM_001598065.1.p1	XM_003335217.2.p1
OG0000946	XM_001595577.1.p1	XM_003332908.2.p1
OG0000947	XM_001591181.1.p1	XM_003324041.2.p1
OG0000950	XM_001588656.1.p1	XM_003888527.1.p1, XM_003334250.2.p1, XM_003337567.2.p1, XM_003326740.2.p1
OG0000951	XM_001595072.1.p1	XM_003328140.2.p1
OG0000954	XM_001592026.1.p1	XM_003307379.2.p1
OG0000957	XM_001585602.1.p1	XM_003330471.2.p1
OG0000958	XM_001588449.1.p1	XM_003328559.2.p1
OG0000959	XM_001593888.1.p1	XM_003319607.2.p1, XM_003321723.2.p1
OG0000964	XM_001593840.1.p1, XM_001598313.1.p1	XM_003332178.2.p1
OG0000965	XM_001585357.1.p1	XM_003322174.2.p1
OG0000966	XM_001585978.1.p1	XM_003323195.2.p1
OG0000968	XM_001586768.1.p1	XM_003324623.2.p1
OG0000969	XM_001592200.1.p1	XM_003330468.2.p1, XM_003336066.2.p1
OG0000970	XM_001587938.1.p1	XM_003338595.2.p1, XM_003336751.2.p1, XM_003338726.2.p1, XM_003336524.2.p1, XM_003329970.1.p1, XM_003329087.2.p1, XM_003890852.1.p1
OG0000971	XM_001585772.1.p1	XM_003322774.2.p1, XM_003322780.2.p1, XM_003322781.2.p1
OG0000972	XM_001597384.1.p1	XM_003889566.1.p1
OG0000974	XM_001594163.1.p1	XM_003333653.2.p1
OG0000974	XM_001594159.1.p1	XM_003320326.2.p1
OG0000975	XM_001590008.1.p1	XM_003324426.2.p1
OG0000983	XM_001587127.1.p1	XM_003330903.2.p1
OG0000987	XM_001586400.1.p1	XM_003334382.2.p1
OG0000989	XM_001593681.1.p1	XM_003328755.2.p1
OG0000991	XM_001584614.1.p1, XM_001588147.1.p1	XM_003320978.2.p1
OG0000993	XM_001592118.1.p1	XM_003322997.2.p1
OG0000994	XM_001598761.1.p1	XM_003333500.2.p1
OG0000996	XM_001585239.1.p1	XM_003307470.2.p1, XM_003336479.2.p1
OG0000997	XM_001597390.1.p1	XM_003334477.2.p1
OG0000998	XM_001586122.1.p1	XM_003320405.2.p1
OG0001000	XM_001588995.1.p1	XM_003890644.1.p1
OG0001002	XM_001591895.1.p1	XM_003320516.2.p1
OG0001003	XM_001586491.1.p1	XM_003338682.1.p1, XM_003329400.2.p1
OG0001004	XM_001591998.1.p1, XM_001590075.1.p1	XM_003331325.2.p1, XM_003331328.2.p1
OG0001007	XM_001584998.1.p1, XM_001597153.1.p1	XM_003324420.2.p1
OG0001010	XM_001587714.1.p1	XM_003319877.2.p1, XM_003888746.1.p1
OG0001013	XM_001595593.1.p1	XM_003331837.2.p1
OG0001014	XM_001598170.1.p1	XM_003326094.2.p1
