Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Trichoderma_reesei_rna_prot
OG0001126	XM_001590062.1.p1	XM_006961152.1.p1
OG0001127	XM_001590729.1.p1	XM_006968558.1.p1
OG0001128	XM_001594215.1.p1	XM_006963279.1.p1
OG0001129	XM_001595650.1.p1	XM_006962245.1.p1
OG0001130	XM_001590691.1.p1	XM_006962409.1.p1
OG0001131	XM_001597050.1.p1	XM_006969574.1.p1
OG0001132	XM_001589184.1.p1, XM_001597308.1.p1	XM_006968715.1.p1
OG0001133	XM_001584780.1.p1	XM_006965601.1.p1
OG0001135	XM_001592071.1.p1	XM_006967653.1.p1
OG0001137	XM_001592959.1.p1	XM_006964715.2.p1
OG0001145	XM_001589744.1.p1	XM_006967177.1.p1
OG0001146	XM_001587854.1.p1	XM_006965685.1.p1
OG0001147	XM_001589207.1.p1	XM_006967558.1.p1
OG0001150	XM_001585637.1.p1	XM_006965260.1.p1
OG0001151	XM_001586398.1.p1	XM_006967670.1.p1
OG0001152	XM_001585966.1.p1	XM_006965490.1.p1
OG0001153	XM_001585409.1.p1	XM_006961170.1.p1
OG0001155	XM_001593807.1.p1	XM_006967378.1.p1
OG0001156	XM_001587763.1.p1	XM_006964828.1.p1
OG0001157	XM_001585113.1.p1	XM_006969145.1.p1
OG0001159	XM_001593742.1.p1	XM_006968106.1.p1
OG0001160	XM_001597233.1.p1	XM_006964338.1.p1
OG0001161	XM_001597319.1.p1	XM_006963901.1.p1
OG0001162	XM_001592594.1.p1	XM_006962498.1.p1
OG0001164	XM_001586609.1.p1	XM_006967634.1.p1
OG0001165	XM_001590535.1.p1	XM_006967167.1.p1
OG0001166	XM_001590617.1.p1	XM_006962185.1.p1
OG0001168	XM_001589673.1.p1	XM_006963598.1.p1
OG0001168	XM_001595545.1.p1	XM_006968673.1.p1
OG0001170	XM_001586853.1.p1	XM_006969607.1.p1
OG0001171	XM_001597826.1.p1	XM_006961193.1.p1
OG0001173	XM_001598301.1.p1	XM_006961401.1.p1
OG0001177	XM_001594947.1.p1	XM_006962694.1.p1
OG0001178	XM_001589035.1.p1	XM_006962069.1.p1
OG0001179	XM_001593660.1.p1	XM_006967285.1.p1, XM_006960935.1.p1
OG0001180	XM_001596694.1.p1	XM_006966334.1.p1
OG0001183	XM_001590324.1.p1	XM_006968138.1.p1
OG0001184	XM_001594370.1.p1	XM_006963863.1.p1
OG0001185	XM_001586426.1.p1	XM_006967625.1.p1
OG0001187	XM_001586559.1.p1	XM_006969780.1.p1
OG0001188	XM_001596042.1.p1, XM_001597194.1.p1	XM_006967742.1.p1
OG0001190	XM_001593245.1.p1	XM_006966782.1.p1
OG0001191	XM_001585271.1.p1	XM_006963367.1.p1
OG0001192	XM_001586300.1.p1	XM_006966336.1.p1
OG0001193	XM_001591587.1.p1	XM_006967937.1.p1
OG0001194	XM_001585295.1.p1	XM_006968014.1.p1
OG0001195	XM_001593678.1.p1	XM_006964029.1.p1, XM_006965593.1.p1
OG0001196	XM_001588984.1.p1	XM_006961546.1.p1
OG0001197	XM_001590968.1.p1	XM_006963297.1.p1
OG0001198	XM_001597467.1.p1	XM_006966231.1.p1
OG0001199	XM_001586739.1.p1	XM_006964909.1.p1
OG0001200	XM_001586874.1.p1	XM_006965690.1.p1
OG0001200	XM_001595974.1.p1	XM_006968826.1.p1
OG0001201	XM_001595554.1.p1	XM_006969348.1.p1
OG0001202	XM_001590037.1.p1	XM_006966221.1.p1
OG0001203	XM_001595223.1.p1	XM_006961814.1.p1
OG0001204	XM_001587531.1.p1	XM_006968989.1.p1
OG0001205	XM_001597608.1.p1	XM_006963421.1.p1
OG0001206	XM_001590495.1.p1	XM_006969143.1.p1
OG0001207	XM_001598174.1.p1	XM_006969665.1.p1
OG0001208	XM_001585675.1.p1	XM_006969128.1.p1
OG0001209	XM_001584711.1.p1	XM_006962449.1.p1
OG0001210	XM_001593130.1.p1	XM_006961925.1.p1
OG0001211	XM_001597698.1.p1	XM_006962042.1.p1
OG0001212	XM_001587505.1.p1	XM_006967532.1.p1
OG0001213	XM_001586026.1.p1	XM_006961229.1.p1, XM_006964141.1.p1
OG0001214	XM_001594629.1.p1	XM_006966234.1.p1
OG0001215	XM_001598435.1.p1	XM_006969036.1.p1
OG0001216	XM_001587846.1.p1	XM_006965666.1.p1
OG0001217	XM_001584573.1.p1	XM_006965243.1.p1
OG0001218	XM_001585042.1.p1	XM_006968592.1.p1
OG0001219	XM_001598205.1.p1	XM_006969507.1.p1
OG0001220	XM_001598294.1.p1	XM_006968480.1.p1
OG0001221	XM_001587099.1.p1	XM_006965738.1.p1
OG0001223	XM_001596735.1.p1	XM_006962078.1.p1
OG0001224	XM_001591829.1.p1	XM_006969790.1.p1
OG0001230	XM_001592257.1.p1	XM_006962535.1.p1
OG0001230	XM_001588431.1.p1	XM_006969554.1.p1
OG0001242	XM_001594852.1.p1, XM_001592817.1.p1	XM_006969542.1.p1
OG0001243	XM_001586524.1.p1	XM_006965208.1.p1
OG0001244	XM_001587402.1.p1	XM_006963613.1.p1
OG0001245	XM_001598019.1.p1	XM_006968647.1.p1
OG0001246	XM_001596306.1.p1	XM_006962138.1.p1
OG0001248	XM_001597052.1.p1	XM_006963675.1.p1
OG0001249	XM_001590861.1.p1	XM_006969903.1.p1
OG0001250	XM_001585219.1.p1	XM_006962566.1.p1
OG0001251	XM_001597911.1.p1	XM_006964327.1.p1
OG0001253	XM_001594361.1.p1	XM_006969886.1.p1
OG0001254	XM_001594431.1.p1	XM_006962624.1.p1
OG0001255	XM_001585594.1.p1	XM_006968131.1.p1
OG0001256	XM_001597117.1.p1	XM_006963659.1.p1
OG0001258	XM_001592670.1.p1	XM_006966513.1.p1
OG0001259	XM_001595026.1.p1	XM_006964267.1.p1
OG0001260	XM_001591210.1.p1	XM_006962465.1.p1
OG0001261	XM_001592688.1.p1	XM_006966525.1.p1
OG0001262	XM_001584906.1.p1	XM_006960872.1.p1
OG0001262	XM_001592747.1.p1	XM_006968696.1.p1
OG0001263	XM_001593392.1.p1	XM_006963049.1.p1
OG0001264	XM_001589375.1.p1	XM_006964734.1.p1
OG0001266	XM_001594795.1.p1	XM_006962884.1.p1
OG0001267	XM_001593062.1.p1	XM_006968434.1.p1
OG0001268	XM_001595596.1.p1	XM_006965963.1.p1
OG0001270	XM_001592691.1.p1	XM_006965752.1.p1
OG0001271	XM_001587646.1.p1	XM_006969349.1.p1
OG0001272	XM_001592903.1.p1	XM_006964937.1.p1
OG0001273	XM_001598707.1.p1	XM_006965295.1.p1
OG0001275	XM_001588945.1.p1	XM_006968008.1.p1
OG0001276	XM_001596955.1.p1	XM_006961116.1.p1
OG0001277	XM_001588770.1.p1	XM_006963129.1.p1
OG0001278	XM_001597610.1.p1	XM_006962996.1.p1
OG0001279	XM_001591890.1.p1	XM_006967567.1.p1
OG0001280	XM_001586262.1.p1	XM_006963687.1.p1
OG0001281	XM_001584702.1.p1	XM_006966966.1.p1, XM_006965975.1.p1
OG0001282	XM_001595958.1.p1	XM_006962445.1.p1
OG0001283	XM_001590433.1.p1	XM_006961046.1.p1
OG0001284	XM_001596034.1.p1	XM_006967162.1.p1
OG0001285	XM_001585904.1.p1	XM_006966551.1.p1
OG0001286	XM_001585616.1.p1	XM_006969723.1.p1
OG0001287	XM_001586319.1.p1	XM_006964894.1.p1
OG0001288	XM_001590210.1.p1	XM_006965349.1.p1
OG0001290	XM_001588613.1.p1	XM_006965967.1.p1
OG0001291	XM_001589450.1.p1	XM_006963720.1.p1
OG0001292	XM_001595039.1.p1	XM_006963213.1.p1
OG0001293	XM_001592260.1.p1	XM_006961248.1.p1
OG0001294	XM_001590764.1.p1, XM_001594184.1.p1	XM_006969460.1.p1
OG0001295	XM_001587939.1.p1	XM_006967933.1.p1
OG0001296	XM_001585953.1.p1	XM_006962334.1.p1
OG0001297	XM_001591937.1.p1	XM_006967987.1.p1
OG0001298	XM_001595056.1.p1	XM_006963793.1.p1
OG0001299	XM_001596175.1.p1	XM_006967059.1.p1
OG0001300	XM_001586937.1.p1	XM_006964781.1.p1
OG0001301	XM_001589470.1.p1	XM_006967727.1.p1
OG0001301	XM_001586397.1.p1	XM_006967542.1.p1
OG0001303	XM_001591817.1.p1	XM_006967668.2.p1
OG0001304	XM_001591192.1.p1	XM_006964453.1.p1
OG0001306	XM_001592155.1.p1	XM_006964672.1.p1
OG0001307	XM_001597316.1.p1	XM_006966194.1.p1
OG0001308	XM_001586167.1.p1	XM_006962425.1.p1
OG0001309	XM_001594213.1.p1	XM_006966202.1.p1
OG0001310	XM_001594188.1.p1	XM_006969884.1.p1
OG0001312	XM_001587817.1.p1, XM_001593839.1.p1	XM_006966556.1.p1
OG0001313	XM_001584723.1.p1	XM_006963253.1.p1
OG0001314	XM_001587845.1.p1	XM_006964845.1.p1
OG0001315	XM_001585518.1.p1	XM_006969354.1.p1
OG0001316	XM_001596129.1.p1	XM_006968850.1.p1
OG0001317	XM_001587842.1.p1	XM_006964791.2.p1
OG0001318	XM_001597396.1.p1	XM_006965956.1.p1
OG0001320	XM_001587379.1.p1	XM_006968524.1.p1
OG0001321	XM_001594406.1.p1, XM_001598936.1.p1	XM_006963121.1.p1
OG0001322	XM_001585388.1.p1	XM_006961582.1.p1
OG0001323	XM_001596853.1.p1	XM_006960878.1.p1
OG0001324	XM_001594829.1.p1	XM_006962984.1.p1
OG0001327	XM_001584707.1.p1, XM_001588824.1.p1, XM_001589583.1.p1	XM_006965059.1.p1, XM_006963784.1.p1, XM_006968898.2.p1
OG0001335	XM_001593152.1.p1	XM_006968437.1.p1
OG0001336	XM_001596324.1.p1	XM_006966040.1.p1
OG0001337	XM_001586758.1.p1	XM_006964942.1.p1
OG0001339	XM_001588334.1.p1	XM_006969674.1.p1, XM_006965286.1.p1
OG0001340	XM_001585646.1.p1	XM_006969079.1.p1
OG0001341	XM_001585322.1.p1	XM_006967671.1.p1
OG0001342	XM_001594850.1.p1	XM_006965491.1.p1
OG0001343	XM_001585832.1.p1	XM_006966684.1.p1
OG0001344	XM_001590875.1.p1	XM_006969549.1.p1
OG0001345	XM_001594772.1.p1	XM_006963227.1.p1
OG0001347	XM_001588165.1.p1	XM_006967026.1.p1
OG0001348	XM_001587711.1.p1	XM_006965001.1.p1
OG0001349	XM_001585733.1.p1	XM_006961964.1.p1
OG0001350	XM_001594034.1.p1	XM_006966273.1.p1
OG0001351	XM_001587708.1.p1	XM_006964873.1.p1
OG0001352	XM_001586665.1.p1	XM_006964940.1.p1
OG0001353	XM_001591623.1.p1	XM_006960934.1.p1
OG0001354	XM_001592719.1.p1	XM_006961722.1.p1
OG0001356	XM_001585187.1.p1	XM_006962401.1.p1
OG0001357	XM_001596863.1.p1	XM_006960947.1.p1
OG0001358	XM_001597450.1.p1	XM_006963077.1.p1
OG0001359	XM_001587161.1.p1	XM_006966701.1.p1
OG0001361	XM_001589944.1.p1	XM_006964333.1.p1
OG0001362	XM_001591944.1.p1	XM_006963191.1.p1
OG0001365	XM_001590890.1.p1	XM_006961967.1.p1
OG0001366	XM_001595151.1.p1	XM_006967216.1.p1
OG0001367	XM_001595176.1.p1	XM_006967107.1.p1
OG0001369	XM_001597173.1.p1	XM_006967809.1.p1
OG0001371	XM_001597570.1.p1	XM_006966869.1.p1
OG0001372	XM_001594988.1.p1	XM_006965205.1.p1
OG0001373	XM_001587954.1.p1	XM_006969091.1.p1
OG0001374	XM_001585514.1.p1	XM_006966826.1.p1
OG0001375	XM_001588248.1.p1	XM_006967968.1.p1
OG0001377	XM_001584620.1.p1	XM_006962738.1.p1
OG0001378	XM_001593740.1.p1	XM_006968175.1.p1
OG0001379	XM_001590461.1.p1	XM_006969195.1.p1
OG0001381	XM_001598755.1.p1	XM_006969940.1.p1
OG0001382	XM_001585252.1.p1	XM_006962180.1.p1
OG0001384	XM_001584676.1.p1, XM_001584677.1.p1	XM_006965284.1.p1
OG0001385	XM_001590507.1.p1	XM_006962181.1.p1
OG0001386	XM_001594603.1.p1	XM_006963886.1.p1
OG0001387	XM_001590581.1.p1	XM_006968569.1.p1
OG0001388	XM_001595837.1.p1	XM_006968093.1.p1
OG0001389	XM_001594385.1.p1	XM_006960998.1.p1
OG0001390	XM_001593629.1.p1	XM_006961035.1.p1
OG0001391	XM_001593760.1.p1	XM_006963149.1.p1
OG0001392	XM_001591018.1.p1	XM_006965348.1.p1
OG0001393	XM_001587430.1.p1	XM_006960903.1.p1
OG0001394	XM_001595447.1.p1	XM_006964455.1.p1
OG0001395	XM_001595940.1.p1	XM_006961228.1.p1
OG0001396	XM_001597306.1.p1	XM_006968720.1.p1
OG0001397	XM_001597458.1.p1	XM_006966187.1.p1
OG0001398	XM_001593321.1.p1	XM_006966678.1.p1
OG0001399	XM_001594283.1.p1	XM_006962464.1.p1
OG0001399	XM_001589226.1.p1	XM_006964289.1.p1
OG0001401	XM_001585941.1.p1	XM_006961978.1.p1
OG0001402	XM_001598084.1.p1	XM_006969021.1.p1
OG0001404	XM_001588050.1.p1	XM_006968955.1.p1
OG0001405	XM_001594368.1.p1	XM_006963218.1.p1
OG0001406	XM_001592275.1.p1	XM_006961707.1.p1
OG0001407	XM_001591124.1.p1	XM_006967974.1.p1
OG0001408	XM_001598811.1.p1	XM_006968851.1.p1
OG0001409	XM_001594864.1.p1	XM_006965211.1.p1
OG0001411	XM_001592806.1.p1	XM_006966579.1.p1
OG0001412	XM_001590469.1.p1	XM_006962588.1.p1
OG0001414	XM_001590169.1.p1	XM_006964315.1.p1
OG0001415	XM_001596226.1.p1	XM_006962211.1.p1
OG0001416	XM_001598452.1.p1	XM_006961577.1.p1
OG0001418	XM_001591514.1.p1	XM_006967587.1.p1
OG0001419	XM_001598681.1.p1	XM_006969855.1.p1
OG0001420	XM_001590398.1.p1	XM_006963467.1.p1
OG0001421	XM_001595574.1.p1	XM_006968969.1.p1
OG0001423	XM_001585238.1.p1, XM_001597234.1.p1	XM_006968889.1.p1
OG0001424	XM_001589412.1.p1	XM_006967427.1.p1
OG0001425	XM_001597305.1.p1	XM_006961221.1.p1
OG0001426	XM_001591173.1.p1	XM_006965953.1.p1
OG0001428	XM_001588090.1.p1	XM_006962747.1.p1
OG0001429	XM_001592111.1.p1	XM_006966837.1.p1
OG0001430	XM_001588184.1.p1	XM_006963401.1.p1
OG0001432	XM_001593969.1.p1	XM_006963845.1.p1
OG0001433	XM_001585693.1.p1, XM_001585692.1.p1	XM_006961477.1.p1
OG0001434	XM_001598003.1.p1	XM_006962650.1.p1
OG0001435	XM_001591027.1.p1	XM_006963381.1.p1
OG0001436	XM_001594967.1.p1	XM_006962537.1.p1
OG0001437	XM_001595220.1.p1, XM_001598482.1.p1	XM_006964687.1.p1
OG0001440	XM_001593418.1.p1	XM_006967781.1.p1
OG0001441	XM_001591502.1.p1	XM_006969660.1.p1
OG0001442	XM_001596523.1.p1	XM_006966552.1.p1
OG0001443	XM_001591497.1.p1	XM_006969712.1.p1
OG0001444	XM_001598154.1.p1	XM_006961449.1.p1
OG0001445	XM_001592332.1.p1	XM_006963102.1.p1
OG0001446	XM_001584964.1.p1	XM_006961915.1.p1
OG0001447	XM_001590454.1.p1	XM_006962087.1.p1
OG0001449	XM_001584927.1.p1	XM_006961016.2.p1
OG0001450	XM_001594323.1.p1	XM_006965510.1.p1
OG0001451	XM_001590785.1.p1	XM_006965851.1.p1
OG0001452	XM_001586975.1.p1	XM_006966815.1.p1
OG0001453	XM_001585709.1.p1	XM_006963278.1.p1
OG0001454	XM_001598339.1.p1	XM_006964048.1.p1
OG0001455	XM_001596308.1.p1	XM_006962009.1.p1
OG0001456	XM_001594827.1.p1	XM_006961109.1.p1
OG0001457	XM_001590966.1.p1	XM_006963111.1.p1
OG0001458	XM_001597544.1.p1	XM_006964560.1.p1
OG0001459	XM_001586602.1.p1	XM_006963012.1.p1
OG0001460	XM_001585269.1.p1	XM_006967914.1.p1
OG0001461	XM_001597434.1.p1	XM_006964615.1.p1
OG0001462	XM_001594600.1.p1	XM_006963858.1.p1
OG0001463	XM_001587116.1.p1	XM_006962384.1.p1
OG0001464	XM_001587145.1.p1	XM_006965412.1.p1
OG0001465	XM_001584616.1.p1	XM_006962968.1.p1
OG0001466	XM_001596624.1.p1	XM_006966222.1.p1
OG0001467	XM_001593377.1.p1	XM_006966340.1.p1
OG0001469	XM_001587568.1.p1	XM_006963513.1.p1
OG0001470	XM_001598483.1.p1	XM_006964591.1.p1
OG0001471	XM_001597927.1.p1	XM_006961529.1.p1
OG0001472	XM_001588144.1.p1	XM_006968862.1.p1
OG0001473	XM_001588083.1.p1	XM_006966345.1.p1
OG0001489	XM_001594695.1.p1	XM_006966646.1.p1
OG0001490	XM_001590455.1.p1	XM_006966008.1.p1
OG0001491	XM_001587628.1.p1	XM_006963648.1.p1
OG0001492	XM_001589157.1.p1	XM_006963695.1.p1
OG0001494	XM_001590871.1.p1	XM_006962439.1.p1
OG0001495	XM_001591501.1.p1	XM_006969642.1.p1
OG0001496	XM_001590486.1.p1	XM_006967189.1.p1
OG0001497	XM_001586720.1.p1	XM_006965022.1.p1
OG0001498	XM_001586789.1.p1	XM_006964749.1.p1
OG0001500	XM_001590999.1.p1	XM_006966292.1.p1
OG0001501	XM_001585424.1.p1	XM_006967307.1.p1
OG0001502	XM_001585986.1.p1	XM_006962508.1.p1
OG0001504	XM_001598066.1.p1	XM_006967690.1.p1
OG0001505	XM_001590355.1.p1	XM_006968630.1.p1
OG0001506	XM_001595083.1.p1	XM_006967767.1.p1
OG0001507	XM_001596353.1.p1	XM_006963716.1.p1
OG0001509	XM_001589211.1.p1	XM_006961518.1.p1
OG0001510	XM_001587247.1.p1	XM_006966518.1.p1
OG0001511	XM_001598741.1.p1	XM_006969606.1.p1
OG0001512	XM_001598889.1.p1	XM_006968756.1.p1
OG0001513	XM_001592873.1.p1	XM_006966706.1.p1
OG0001514	XM_001585948.1.p1	XM_006964260.1.p1
OG0001515	XM_001594183.1.p1	XM_006966786.1.p1
OG0001517	XM_001588211.1.p1	XM_006961209.1.p1
OG0001518	XM_001588256.1.p1	XM_006963397.1.p1
OG0001519	XM_001587131.1.p1	XM_006965276.1.p1
OG0001521	XM_001596692.1.p1	XM_006963903.1.p1
OG0001522	XM_001596697.1.p1	XM_006963702.1.p1
OG0001523	XM_001587383.1.p1	XM_006964266.1.p1
OG0001524	XM_001594990.1.p1	XM_006964594.1.p1
OG0001525	XM_001587317.1.p1	XM_006969622.1.p1
OG0001526	XM_001591706.1.p1	XM_006961133.1.p1
OG0001529	XM_001597439.1.p1	XM_006964433.1.p1
OG0001530	XM_001584603.1.p1	XM_006966760.1.p1
OG0001531	XM_001598262.1.p1	XM_006964401.1.p1, XM_006961368.1.p1
OG0001532	XM_001585492.1.p1	XM_006968161.1.p1
OG0001533	XM_001585528.1.p1	XM_006965865.1.p1
OG0001534	XM_001587067.1.p1	XM_006966799.1.p1
OG0001537	XM_001586965.1.p1	XM_006961690.1.p1
OG0001538	XM_001585028.1.p1	XM_006963109.1.p1
OG0001539	XM_001594194.1.p1	XM_006969892.1.p1
OG0001541	XM_001598499.1.p1	XM_006961584.1.p1
OG0001543	XM_001598769.1.p1	XM_006968353.1.p1
OG0001544	XM_001595965.1.p1	XM_006967127.1.p1
OG0001545	XM_001591563.1.p1	XM_006962584.1.p1
OG0001546	XM_001584892.1.p1	XM_006961917.1.p1
OG0001547	XM_001592560.1.p1	XM_006963116.1.p1
OG0001548	XM_001592711.1.p1	XM_006966629.1.p1
OG0001550	XM_001590263.1.p1	XM_006961040.1.p1
OG0001551	XM_001591912.1.p1, XM_001591910.1.p1	XM_006961571.1.p1
OG0001552	XM_001591114.1.p1	XM_006968041.1.p1
OG0001553	XM_001585770.1.p1	XM_006965899.1.p1
OG0001554	XM_001588826.1.p1	XM_006966939.1.p1
OG0001555	XM_001588932.1.p1	XM_006967665.1.p1
OG0001556	XM_001586500.1.p1	XM_006967583.1.p1
OG0001557	XM_001598314.1.p1	XM_006962171.1.p1
OG0001558	XM_001586489.1.p1	XM_006965163.1.p1
OG0001559	XM_001595680.1.p1	XM_006966392.1.p1
OG0001560	XM_001584921.1.p1	XM_006968599.1.p1
OG0001561	XM_001587460.1.p1	XM_006961813.1.p1
OG0001563	XM_001586244.1.p1	XM_006962701.1.p1
OG0001564	XM_001597736.1.p1	XM_006965973.1.p1
OG0001565	XM_001586785.1.p1	XM_006965005.1.p1
OG0001566	XM_001587857.1.p1	XM_006964908.1.p1
OG0001567	XM_001585586.1.p1	XM_006968058.1.p1
OG0001568	XM_001588032.1.p1	XM_006969687.1.p1
OG0001569	XM_001598533.1.p1	XM_006961392.1.p1
OG0001570	XM_001598009.1.p1	XM_006969510.1.p1
OG0001571	XM_001586005.1.p1	XM_006966608.1.p1
OG0001572	XM_001597978.1.p1	XM_006964595.1.p1
OG0001573	XM_001598381.1.p1	XM_006965324.1.p1
OG0001574	XM_001592452.1.p1	XM_006968662.1.p1
OG0001575	XM_001586034.1.p1	XM_006964292.1.p1
OG0001576	XM_001588787.1.p1	XM_006966977.1.p1
OG0001577	XM_001597408.1.p1	XM_006966945.1.p1
OG0001579	XM_001596911.1.p1	XM_006962460.1.p1
OG0001580	XM_001588446.1.p1	XM_006961645.1.p1
OG0001581	XM_001592716.1.p1	XM_006966614.1.p1
OG0001582	XM_001585389.1.p1	XM_006961172.1.p1
OG0001583	XM_001590383.1.p1	XM_006961868.1.p1
OG0001584	XM_001592184.1.p1	XM_006963018.1.p1
OG0001585	XM_001591668.1.p1	XM_006965373.1.p1
OG0001586	XM_001595864.1.p1	XM_006961093.1.p1
OG0001587	XM_001584989.1.p1	XM_006965995.1.p1
OG0001588	XM_001598638.1.p1	XM_006965165.1.p1
OG0001589	XM_001598421.1.p1	XM_006969633.1.p1
OG0001590	XM_001586317.1.p1	XM_006965048.1.p1
OG0001591	XM_001588337.1.p1	XM_006963004.1.p1
OG0001592	XM_001591465.1.p1	XM_006961175.1.p1
OG0001593	XM_001589357.1.p1	XM_006969017.1.p1
OG0001594	XM_001597642.1.p1	XM_006969743.1.p1
OG0001596	XM_001597634.1.p1	XM_006960853.1.p1
OG0001597	XM_001594887.1.p1	XM_006964973.1.p1
OG0001598	XM_001593169.1.p1	XM_006965726.1.p1
OG0001599	XM_001595351.1.p1	XM_006961299.1.p1
OG0001600	XM_001590984.1.p1	XM_006966294.1.p1
OG0001601	XM_001592341.1.p1	XM_006963293.1.p1
OG0001602	XM_001584934.1.p1	XM_006969005.1.p1
OG0001603	XM_001584607.1.p1	XM_006967234.1.p1
OG0001604	XM_001587107.1.p1	XM_006964446.1.p1
OG0001605	XM_001585121.1.p1	XM_006962118.1.p1
OG0001607	XM_001597097.1.p1	XM_006962362.1.p1
OG0001608	XM_001591914.1.p1	XM_006965376.1.p1
OG0001609	XM_001590202.1.p1	XM_006964610.1.p1
OG0001610	XM_001593541.1.p1	XM_006968387.1.p1
OG0001611	XM_001587790.1.p1	XM_006962146.1.p1, XM_006968835.1.p1
OG0001613	XM_001587935.1.p1, XM_001587936.1.p1	XM_006968000.1.p1
OG0001614	XM_001585306.1.p1	XM_006963386.1.p1
OG0001615	XM_001584605.1.p1	XM_006967235.1.p1
OG0001616	XM_001594984.1.p1	XM_006965328.1.p1
OG0001618	XM_001589352.1.p1	XM_006963118.1.p1
OG0001619	XM_001587176.1.p1	XM_006968496.1.p1
OG0001620	XM_001597684.1.p1	XM_006962315.1.p1
OG0001622	XM_001585761.1.p1	XM_006969735.1.p1
OG0001623	XM_001597189.1.p1	XM_006969809.1.p1
OG0001624	XM_001584840.1.p1	XM_006967388.1.p1
OG0001625	XM_001597024.1.p1	XM_006961834.1.p1
OG0001628	XM_001590916.1.p1	XM_006961979.1.p1
OG0001632	XM_001588154.1.p1	XM_006966152.1.p1
OG0001633	XM_001597348.1.p1	XM_006960936.1.p1
OG0001634	XM_001590949.1.p1	XM_006965948.1.p1
OG0001635	XM_001594583.1.p1	XM_006964199.1.p1
OG0001636	XM_001591692.1.p1	XM_006961596.1.p1
OG0001638	XM_001593822.1.p1	XM_006963619.2.p1
OG0001639	XM_001589214.1.p1	XM_006961478.1.p1
OG0001640	XM_001590005.1.p1	XM_006968281.1.p1
OG0001641	XM_001597680.1.p1	XM_006962316.1.p1
OG0001642	XM_001595175.1.p1	XM_006967094.1.p1
OG0001643	XM_001594880.1.p1	XM_006965052.1.p1
OG0001644	XM_001592354.1.p1	XM_006969500.1.p1
OG0001646	XM_001595519.1.p1	XM_006962254.1.p1
OG0001648	XM_001589622.1.p1	XM_006963950.1.p1
OG0001649	XM_001589054.1.p1	XM_006966033.1.p1
OG0001650	XM_001586535.1.p1	XM_006963176.1.p1
OG0001651	XM_001587633.1.p1	XM_006961049.1.p1
OG0001652	XM_001596506.1.p1	XM_006967088.1.p1
OG0001652	XM_001585745.1.p1	XM_006965807.1.p1
OG0001653	XM_001588927.1.p1	XM_006961738.1.p1
OG0001654	XM_001590965.1.p1	XM_006963243.1.p1
OG0001655	XM_001593345.1.p1	XM_006966616.1.p1
OG0001656	XM_001590149.1.p1	XM_006965352.1.p1
OG0001657	XM_001585417.1.p1	XM_006969638.1.p1
OG0001658	XM_001589660.1.p1	XM_006966566.1.p1
OG0001659	XM_001594992.1.p1	XM_006967372.1.p1
OG0001660	XM_001588943.1.p1	XM_006967335.1.p1
OG0001661	XM_001593670.1.p1	XM_006967379.1.p1
OG0001662	XM_001584854.1.p1	XM_006964121.1.p1
OG0001663	XM_001595755.1.p1	XM_006963334.1.p1
OG0001664	XM_001595822.1.p1	XM_006967502.1.p1
OG0001665	XM_001586803.1.p1	XM_006964818.1.p1
OG0001666	XM_001598872.1.p1	XM_006966352.1.p1
OG0001667	XM_001592467.1.p1	XM_006966297.1.p1
OG0001668	XM_001593029.1.p1	XM_006966412.1.p1
OG0001669	XM_001585163.1.p1	XM_006962568.1.p1
OG0001671	XM_001598414.1.p1	XM_006961390.1.p1
OG0001673	XM_001597675.1.p1	XM_006962371.1.p1
OG0001674	XM_001592252.1.p1	XM_006961720.1.p1
OG0001675	XM_001596085.1.p1	XM_006968625.1.p1
OG0001676	XM_001592934.1.p1	XM_006965747.1.p1
OG0001677	XM_001585846.1.p1	XM_006968286.1.p1
OG0001679	XM_001588168.1.p1	XM_006969398.1.p1
OG0001680	XM_001586872.1.p1	XM_006965531.1.p1
OG0001681	XM_001593299.1.p1	XM_006966631.1.p1
OG0001682	XM_001586639.1.p1	XM_006964945.1.p1
OG0001683	XM_001595338.1.p1	XM_006968522.1.p1
OG0001684	XM_001592337.1.p1	XM_006963291.1.p1
OG0001685	XM_001592409.1.p1	XM_006963115.1.p1
OG0001686	XM_001585532.1.p1	XM_006968104.1.p1
OG0001687	XM_001598229.1.p1	XM_006966642.1.p1
OG0001689	XM_001585628.1.p1	XM_006961268.1.p1
OG0001690	XM_001585778.1.p1	XM_006962193.1.p1
OG0001691	XM_001588440.1.p1	XM_006961217.1.p1
OG0001692	XM_001584910.1.p1	XM_006961563.1.p1
OG0001693	XM_001591043.1.p1	XM_006963251.1.p1
OG0001694	XM_001596686.1.p1	XM_006963255.1.p1
OG0001695	XM_001594204.1.p1	XM_006969357.1.p1
OG0001696	XM_001593962.1.p1	XM_006966349.1.p1
OG0001697	XM_001589617.1.p1	XM_006961971.1.p1
OG0001698	XM_001597629.1.p1	XM_006969730.1.p1
OG0001699	XM_001589149.1.p1	XM_006966006.1.p1
OG0001700	XM_001598246.1.p1	XM_006966126.1.p1
OG0001701	XM_001591929.1.p1	XM_006967588.1.p1
OG0001703	XM_001595758.1.p1	XM_006968034.1.p1
OG0001705	XM_001595225.1.p1	XM_006960937.1.p1
OG0001707	XM_001596871.1.p1	XM_006961602.1.p1
