Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Aspergillus_flavus_rna_prot
OG0000536	XM_001598108.1.p1	XM_041290523.1.p1
OG0000537	XM_001585626.1.p1	XM_041292265.1.p1
OG0000538	XM_001589468.1.p1	XM_041293434.1.p1, XM_041295328.1.p1, XM_041293543.1.p1, XM_041294752.1.p1
OG0000539	XM_001585352.1.p1	XM_041286096.1.p1
OG0000539	XM_001594270.1.p1	XM_041295740.1.p1
OG0000540	XM_001590468.1.p1	XM_041292580.1.p1
OG0000541	XM_001586293.1.p1	XM_041284655.1.p1
OG0000543	XM_001595141.1.p1, XM_001594622.1.p1	XM_041286309.1.p1
OG0000544	XM_001585633.1.p1, XM_001590593.1.p1	XM_041284392.1.p1
OG0000545	XM_001588276.1.p1	XM_041292025.1.p1
OG0000545	XM_001593595.1.p1	XM_041290053.1.p1
OG0000545	XM_001585300.1.p1	XM_041285000.1.p1
OG0000546	XM_001594546.1.p1	XM_041294276.1.p1
OG0000547	XM_001597908.1.p1	XM_041289937.1.p1
OG0000548	XM_001598930.1.p1	XM_041291895.1.p1
OG0000554	XM_001597381.1.p1	XM_041292086.1.p1
OG0000554	XM_001593422.1.p1	XM_041287948.1.p1
OG0000555	XM_001594828.1.p1	XM_041292023.1.p1, XM_041290414.1.p1
OG0000557	XM_001588649.1.p1	XM_041291779.1.p1
OG0000558	XM_001590696.1.p1	XM_041293269.1.p1
OG0000559	XM_001598247.1.p1	XM_041292549.1.p1
OG0000560	XM_001595116.1.p1	XM_041293323.1.p1
OG0000561	XM_001592440.1.p1	XM_041290173.1.p1
OG0000562	XM_001595328.1.p1	XM_041295121.1.p1
OG0000563	XM_001591823.1.p1	XM_041288455.1.p1
OG0000564	XM_001589362.1.p1	XM_041285966.1.p1
OG0000565	XM_001591908.1.p1	XM_041289906.1.p1
OG0000565	XM_001586006.1.p1	XM_041290841.1.p1
OG0000566	XM_001592658.1.p1	XM_041290884.1.p1
OG0000566	XM_001594465.1.p1	XM_041293737.1.p1
OG0000567	XM_001595707.1.p1	XM_041289024.1.p1
OG0000567	XM_001586497.1.p1	XM_041289819.1.p1
OG0000568	XM_001586737.1.p1	XM_041288277.1.p1
OG0000568	XM_001595590.1.p1	XM_041294903.1.p1
OG0000570	XM_001590616.1.p1	XM_041287650.1.p1
OG0000571	XM_001596650.1.p1	XM_041295428.1.p1
OG0000571	XM_001587072.1.p1	XM_041295270.1.p1
OG0000572	XM_001588215.1.p1	XM_041290281.1.p1
OG0000572	XM_001597686.1.p1	XM_041295717.1.p1
OG0000573	XM_001598905.1.p1	XM_041287367.1.p1, XM_041283844.1.p1, XM_041286150.1.p1, XM_041285856.1.p1
OG0000574	XM_001590420.1.p1	XM_041293199.1.p1
OG0000574	XM_001586519.1.p1	XM_041288165.1.p1, XM_041293433.1.p1
OG0000575	XM_001588302.1.p1	XM_041289017.1.p1
OG0000576	XM_001597753.1.p1	XM_041283840.1.p1, XM_041293754.1.p1
OG0000576	XM_001598260.1.p1	XM_041286301.1.p1
OG0000577	XM_001597370.1.p1	XM_041295555.1.p1
OG0000578	XM_001585543.1.p1	XM_041284182.1.p1
OG0000579	XM_001598740.1.p1	XM_041289786.1.p1
OG0000580	XM_001589111.1.p1	XM_041285235.1.p1
OG0000580	XM_001595987.1.p1	XM_041287788.1.p1
OG0000581	XM_001598836.1.p1, XM_001585825.1.p1	XM_041294499.1.p1, XM_041295564.1.p1
OG0000582	XM_001592617.1.p1	XM_041285365.1.p1
OG0000582	XM_001592459.1.p1	XM_041294028.1.p1
OG0000583	XM_001587683.1.p1	XM_041289934.1.p1, XM_041285092.1.p1
OG0000584	XM_001584971.1.p1	XM_041291352.1.p1
OG0000584	XM_001584969.1.p1	XM_041291347.1.p1
OG0000585	XM_001594243.1.p1	XM_041290777.1.p1
OG0000586	XM_001596162.1.p1	XM_041289620.1.p1
OG0000586	XM_001589542.1.p1	XM_041293721.1.p1
OG0000588	XM_001586513.1.p1	XM_041288337.1.p1
OG0000588	XM_001586815.1.p1	XM_041289763.1.p1
OG0000589	XM_001593383.1.p1	XM_041291035.1.p1
OG0000589	XM_001598163.1.p1	XM_041293342.1.p1
OG0000590	XM_001591738.1.p1, XM_001589568.1.p1, XM_001593325.1.p1, XM_001596272.1.p1	XM_041292655.1.p1, XM_041295488.1.p1, XM_041285811.1.p1, XM_041292137.1.p1, XM_041285609.1.p1
OG0000592	XM_001597088.1.p1	XM_041286361.1.p1, XM_041290365.1.p1
OG0000592	XM_001586527.1.p1	XM_041284434.1.p1, XM_041285688.1.p1, XM_041284255.1.p1
OG0000593	XM_001589346.1.p1	XM_041291390.1.p1, XM_041294454.1.p1
OG0000594	XM_001588641.1.p1	XM_041288809.1.p1
OG0000595	XM_001589667.1.p1	XM_041291183.1.p1
OG0000595	XM_001587433.1.p1	XM_041284203.1.p1
OG0000596	XM_001598489.1.p1	XM_041290439.1.p1
OG0000597	XM_001586224.1.p1	XM_041290752.1.p1
OG0000598	XM_001592151.1.p1	XM_041294310.1.p1
OG0000599	XM_001590786.1.p1	XM_041295472.1.p1
OG0000599	XM_001598047.1.p1	XM_041292998.1.p1
OG0000600	XM_001598296.1.p1	XM_041292971.1.p1
OG0000601	XM_001594734.1.p1, XM_001584784.1.p1, XM_001596438.1.p1, XM_001595471.1.p1	XM_041288127.1.p1
OG0000602	XM_001593498.1.p1	XM_041289016.1.p1
OG0000602	XM_001593423.1.p1	XM_041286528.1.p1
OG0000603	XM_001589302.1.p1	XM_041284564.1.p1
OG0000607	XM_001590536.1.p1	XM_041295461.1.p1
OG0000607	XM_001594619.1.p1	XM_041283988.1.p1
OG0000608	XM_001585159.1.p1	XM_041294075.1.p1
OG0000610	XM_001592833.1.p1	XM_041284114.1.p1
OG0000610	XM_001587685.1.p1	XM_041288792.1.p1
OG0000611	XM_001584794.1.p1	XM_041284396.1.p1, XM_041286617.1.p1, XM_041290698.1.p1
OG0000612	XM_001585145.1.p1	XM_041289432.1.p1
OG0000612	XM_001585254.1.p1	XM_041295587.1.p1
OG0000613	XM_001598913.1.p1	XM_041291940.1.p1
OG0000613	XM_001590405.1.p1	XM_041288860.1.p1
OG0000614	XM_001596566.1.p1	XM_041292727.1.p1
OG0000614	XM_001595436.1.p1	XM_041286582.1.p1
OG0000616	XM_001588389.1.p1	XM_041289304.1.p1
OG0000617	XM_001593217.1.p1	XM_041288696.1.p1
OG0000617	XM_001591019.1.p1	XM_041292301.1.p1
OG0000618	XM_001591111.1.p1	XM_041288568.1.p1
OG0000619	XM_001584618.1.p1	XM_041289857.1.p1
OG0000620	XM_001588805.1.p1	XM_041290990.1.p1
OG0000621	XM_001596841.1.p1	XM_041284988.1.p1
OG0000621	XM_001598866.1.p1	XM_041288419.1.p1, XM_041294002.1.p1
OG0000622	XM_001591288.1.p1	XM_041287890.1.p1
OG0000622	XM_001588461.1.p1, XM_001598715.1.p1	XM_041295645.1.p1, XM_041291657.1.p1
OG0000623	XM_001590677.1.p1	XM_041288863.1.p1
OG0000624	XM_001594377.1.p1	XM_041293939.1.p1
OG0000625	XM_001589316.1.p1	XM_041284476.1.p1
OG0000626	XM_001588533.1.p1	XM_041295021.1.p1
OG0000627	XM_001587865.1.p1	XM_041284047.1.p1
OG0000627	XM_001597895.1.p1	XM_041286412.1.p1
OG0000628	XM_001586561.1.p1	XM_041289164.1.p1
OG0000629	XM_001594794.1.p1	XM_041294101.1.p1
OG0000630	XM_001589004.1.p1	XM_041291535.1.p1
OG0000631	XM_001585037.1.p1	XM_041288832.1.p1
OG0000633	XM_001584744.1.p1	XM_041291790.1.p1
OG0000633	XM_001590819.1.p1	XM_041286454.1.p1
OG0000634	XM_001593326.1.p1	XM_041289087.1.p1
OG0000641	XM_001586942.1.p1	XM_041288544.1.p1
OG0000642	XM_001592393.1.p1	XM_041287779.1.p1
OG0000643	XM_001589232.1.p1	XM_041287456.1.p1
OG0000643	XM_001586018.1.p1	XM_041293678.1.p1
OG0000644	XM_001591795.1.p1	XM_041289293.1.p1
OG0000644	XM_001591081.1.p1	XM_041285745.1.p1
OG0000645	XM_001590830.1.p1, XM_001589099.1.p1	XM_041294365.1.p1
OG0000646	XM_001590778.1.p1	XM_041286595.1.p1
OG0000647	XM_001587654.1.p1	XM_041289285.1.p1, XM_041288258.1.p1
OG0000648	XM_001594682.1.p1	XM_041289407.1.p1, XM_041293065.1.p1, XM_041291274.1.p1
OG0000648	XM_001589012.1.p1	XM_041291455.1.p1
OG0000649	XM_001589418.1.p1	XM_041294138.1.p1
OG0000649	XM_001589600.1.p1	XM_041293040.1.p1
OG0000652	XM_001592321.1.p1	XM_041294083.1.p1
OG0000654	XM_001588727.1.p1	XM_041289037.1.p1
OG0000655	XM_001593583.1.p1, XM_001597938.1.p1, XM_001590300.1.p1	XM_041294686.1.p1, XM_041285556.1.p1, XM_041287492.1.p1
OG0000656	XM_001594487.1.p1	XM_041288133.1.p1
OG0000657	XM_001593859.1.p1, XM_001591519.1.p1	XM_041291736.1.p1
OG0000658	XM_001588121.1.p1	XM_041295299.1.p1
OG0000658	XM_001590345.1.p1	XM_041289705.1.p1
OG0000659	XM_001588433.1.p1	XM_041290901.1.p1
OG0000659	XM_001597588.1.p1	XM_041290368.1.p1
OG0000660	XM_001587702.1.p1	XM_041291862.1.p1, XM_041289315.1.p1
OG0000661	XM_001591625.1.p1	XM_041287845.1.p1
OG0000662	XM_001587349.1.p1	XM_041289344.1.p1, XM_041288660.1.p1, XM_041294155.1.p1
OG0000663	XM_001593339.1.p1	XM_041290079.1.p1
OG0000665	XM_001587764.1.p1	XM_041289766.1.p1
OG0000666	XM_001590386.1.p1	XM_041285374.1.p1
OG0000676	XM_001595848.1.p1	XM_041291439.1.p1
OG0000676	XM_001588952.1.p1	XM_041285167.1.p1
OG0000677	XM_001595573.1.p1	XM_041289318.1.p1
OG0000677	XM_001590843.1.p1	XM_041287908.1.p1
OG0000678	XM_001586952.1.p1	XM_041288777.1.p1
OG0000678	XM_001591970.1.p1	XM_041293036.1.p1
OG0000680	XM_001597379.1.p1	XM_041294624.1.p1, XM_041289734.1.p1, XM_041284161.1.p1
OG0000680	XM_001594200.1.p1, XM_001594199.1.p1	XM_041288168.1.p1
OG0000681	XM_001588807.1.p1	XM_041285368.1.p1
OG0000682	XM_001593644.1.p1	XM_041295038.1.p1
OG0000682	XM_001598135.1.p1	XM_041285043.1.p1, XM_041287411.1.p1
OG0000683	XM_001592158.1.p1	XM_041291693.1.p1
OG0000684	XM_001598914.1.p1	XM_041290695.1.p1
OG0000684	XM_001594435.1.p1	XM_041291902.1.p1, XM_041295210.1.p1, XM_041290711.1.p1, XM_041295607.1.p1
OG0000685	XM_001596619.1.p1	XM_041287446.1.p1, XM_041286678.1.p1, XM_041287513.1.p1
OG0000685	XM_001586676.1.p1	XM_041284447.1.p1
OG0000686	XM_001592583.1.p1	XM_041290373.1.p1
OG0000687	XM_001590432.1.p1	XM_041290309.1.p1
OG0000687	XM_001588710.1.p1	XM_041293912.1.p1
OG0000688	XM_001584724.1.p1	XM_041288577.1.p1
OG0000688	XM_001597165.1.p1	XM_041288722.1.p1
OG0000690	XM_001592277.1.p1	XM_041284546.1.p1
OG0000692	XM_001593436.1.p1	XM_041289949.1.p1
OG0000693	XM_001589123.1.p1, XM_001589114.1.p1, XM_001590613.1.p1, XM_001589121.1.p1, XM_001593757.1.p1	XM_041285056.1.p1
OG0000694	XM_001592443.1.p1	XM_041284930.1.p1
OG0000695	XM_001598068.1.p1	XM_041288027.1.p1
OG0000696	XM_001591039.1.p1	XM_041292191.1.p1
OG0000697	XM_001592369.1.p1	XM_041289862.1.p1, XM_041290146.1.p1
OG0000699	XM_001589881.1.p1, XM_001587920.1.p1	XM_041293729.1.p1, XM_041292143.1.p1
OG0000699	XM_001586012.1.p1	XM_041292128.1.p1
OG0000700	XM_001596857.1.p1	XM_041289356.1.p1
OG0000701	XM_001598701.1.p1	XM_041289286.1.p1
OG0000701	XM_001597738.1.p1	XM_041289699.1.p1
OG0000702	XM_001590377.1.p1	XM_041288107.1.p1
OG0000703	XM_001586680.1.p1, XM_001584591.1.p1	XM_041283861.1.p1
OG0000703	XM_001593587.1.p1	XM_041286331.1.p1, XM_041287629.1.p1
OG0000704	XM_001593295.1.p1, XM_001598316.1.p1	XM_041290248.1.p1
OG0000705	XM_001590323.1.p1, XM_001589597.1.p1, XM_001586677.1.p1	XM_041292107.1.p1
OG0000709	XM_001588477.1.p1	XM_041293159.1.p1
OG0000709	XM_001589280.1.p1	XM_041290954.1.p1
OG0000711	XM_001593724.1.p1	XM_041289223.1.p1, XM_041292486.1.p1
OG0000718	XM_001584951.1.p1	XM_041285480.1.p1
OG0000718	XM_001589768.1.p1	XM_041284716.1.p1
OG0000719	XM_001594228.1.p1	XM_041293532.1.p1
OG0000721	XM_001598753.1.p1	XM_041294027.1.p1
OG0000722	XM_001591074.1.p1	XM_041291484.1.p1, XM_041295827.1.p1
OG0000723	XM_001597476.1.p1	XM_041286856.1.p1, XM_041289488.1.p1
OG0000727	XM_001591832.1.p1	XM_041294577.1.p1, XM_041291169.1.p1
OG0000727	XM_001592634.1.p1	XM_041291860.1.p1
OG0000728	XM_001588955.1.p1	XM_041293570.1.p1, XM_041288984.1.p1, XM_041291525.1.p1
OG0000729	XM_001593697.1.p1	XM_041286498.1.p1
OG0000729	XM_001596580.1.p1	XM_041287915.1.p1
OG0000730	XM_001592960.1.p1	XM_041290072.1.p1
OG0000731	XM_001598010.1.p1	XM_041284963.1.p1
OG0000733	XM_001590497.1.p1	XM_041292397.1.p1
OG0000735	XM_001592013.1.p1	XM_041291337.1.p1, XM_041288985.1.p1
OG0000736	XM_001598120.1.p1	XM_041290656.1.p1
OG0000736	XM_001586755.1.p1	XM_041286818.1.p1
OG0000737	XM_001585464.1.p1	XM_041289605.1.p1
OG0000738	XM_001589763.1.p1	XM_041289637.1.p1
OG0000739	XM_001591620.1.p1	XM_041288458.1.p1, XM_041295444.1.p1, XM_041289105.1.p1
OG0000740	XM_001587354.1.p1	XM_041287922.1.p1
OG0000741	XM_001597032.1.p1	XM_041285672.1.p1
OG0000741	XM_001585910.1.p1	XM_041295150.1.p1
OG0000742	XM_001597193.1.p1	XM_041285751.1.p1
OG0000742	XM_001598237.1.p1	XM_041294742.1.p1
OG0000743	XM_001591205.1.p1	XM_041287212.1.p1
OG0000751	XM_001596945.1.p1	XM_041287275.1.p1, XM_041294030.1.p1
OG0000752	XM_001597613.1.p1	XM_041292058.1.p1
OG0000753	XM_001591506.1.p1	XM_041288384.1.p1
OG0000754	XM_001593020.1.p1	XM_041291948.1.p1
OG0000755	XM_001596807.1.p1	XM_041293531.1.p1
OG0000755	XM_001586833.1.p1	XM_041287816.1.p1, XM_041291920.1.p1
OG0000757	XM_001593138.1.p1	XM_041290863.1.p1
OG0000758	XM_001590577.1.p1	XM_041285228.1.p1
OG0000759	XM_001584997.1.p1	XM_041288970.1.p1
OG0000760	XM_001585827.1.p1	XM_041285674.1.p1
OG0000760	XM_001598485.1.p1	XM_041293027.1.p1
OG0000761	XM_001592729.1.p1	XM_041288631.1.p1
OG0000762	XM_001594392.1.p1	XM_041295811.1.p1
OG0000762	XM_001585091.1.p1	XM_041294691.1.p1
OG0000762	XM_001590564.1.p1	XM_041288769.1.p1
OG0000763	XM_001591452.1.p1	XM_041288320.1.p1
OG0000764	XM_001589307.1.p1	XM_041289520.1.p1
OG0000766	XM_001584664.1.p1	XM_041286604.1.p1, XM_041289583.1.p1, XM_041294994.1.p1, XM_041291747.1.p1, XM_041293383.1.p1, XM_041284789.1.p1, XM_041290031.1.p1
OG0000767	XM_001596669.1.p1	XM_041294118.1.p1
OG0000768	XM_001590429.1.p1	XM_041292810.1.p1
OG0000768	XM_001593431.1.p1	XM_041286578.1.p1
OG0000769	XM_001591980.1.p1	XM_041287866.1.p1
OG0000770	XM_001593837.1.p1	XM_041284621.1.p1
OG0000772	XM_001584884.1.p1	XM_041295489.1.p1
OG0000772	XM_001596787.1.p1	XM_041291021.1.p1
OG0000773	XM_001585787.1.p1	XM_041291838.1.p1
OG0000774	XM_001585346.1.p1	XM_041285853.1.p1
OG0000775	XM_001588040.1.p1	XM_041284783.1.p1
OG0000776	XM_001587360.1.p1, XM_001587558.1.p1	XM_041283880.1.p1
OG0000777	XM_001589734.1.p1	XM_041291633.1.p1
OG0000778	XM_001594705.1.p1	XM_041287685.1.p1
OG0000779	XM_001596814.1.p1	XM_041290629.1.p1, XM_041290707.1.p1
OG0000780	XM_001596764.1.p1	XM_041288373.1.p1
OG0000780	XM_001589984.1.p1	XM_041284360.1.p1
OG0000781	XM_001591637.1.p1	XM_041288935.1.p1
OG0000782	XM_001592743.1.p1	XM_041285891.1.p1
OG0000788	XM_001593948.1.p1	XM_041289997.1.p1
OG0000789	XM_001595138.1.p1	XM_041294793.1.p1
OG0000790	XM_001588711.1.p1	XM_041286704.1.p1
OG0000791	XM_001590505.1.p1	XM_041292411.1.p1
OG0000793	XM_001588367.1.p1	XM_041293112.1.p1
OG0000793	XM_001595542.1.p1	XM_041295003.1.p1
OG0000795	XM_001596838.1.p1	XM_041295203.1.p1
OG0000796	XM_001590467.1.p1	XM_041291100.1.p1
OG0000797	XM_001586761.1.p1	XM_041289737.1.p1
OG0000798	XM_001591069.1.p1	XM_041288162.1.p1
OG0000799	XM_001598185.1.p1	XM_041290116.1.p1
OG0000800	XM_001586023.1.p1	XM_041286806.1.p1
OG0000800	XM_001592009.1.p1	XM_041284500.1.p1, XM_041289245.1.p1, XM_041285462.1.p1, XM_041283906.1.p1
OG0000801	XM_001595009.1.p1, XM_001592333.1.p1	XM_041293195.1.p1
OG0000802	XM_001596533.1.p1	XM_041284376.1.p1, XM_041286591.1.p1, XM_041284850.1.p1, XM_041286411.1.p1
OG0000803	XM_001592402.1.p1	XM_041288093.1.p1
OG0000803	XM_001594865.1.p1	XM_041290798.1.p1
OG0000804	XM_001586190.1.p1	XM_041284399.1.p1
OG0000805	XM_001598102.1.p1	XM_041292808.1.p1
OG0000806	XM_001590392.1.p1	XM_041284574.1.p1
OG0000806	XM_001589187.1.p1	XM_041289587.1.p1
OG0000807	XM_001587026.1.p1	XM_041285440.1.p1
OG0000808	XM_001597536.1.p1	XM_041293565.1.p1
OG0000809	XM_001598101.1.p1	XM_041287192.1.p1
OG0000810	XM_001592962.1.p1	XM_041290185.1.p1
OG0000811	XM_001589102.1.p1	XM_041291354.1.p1
OG0000811	XM_001594369.1.p1	XM_041288741.1.p1
OG0000812	XM_001593803.1.p1	XM_041287958.1.p1
OG0000812	XM_001596379.1.p1	XM_041288102.1.p1
OG0000814	XM_001594454.1.p1	XM_041291177.1.p1
OG0000814	XM_001591234.1.p1	XM_041289307.1.p1
OG0000815	XM_001590827.1.p1	XM_041294977.1.p1
OG0000816	XM_001590301.1.p1	XM_041287064.1.p1, XM_041293757.1.p1
OG0000816	XM_001592788.1.p1	XM_041293228.1.p1
OG0000818	XM_001596889.1.p1	XM_041292657.1.p1
OG0000819	XM_001595146.1.p1, XM_001595145.1.p1	XM_041294422.1.p1
OG0000820	XM_001596118.1.p1	XM_041287799.1.p1
OG0000821	XM_001594412.1.p1	XM_041290744.1.p1
OG0000822	XM_001597996.1.p1	XM_041284099.1.p1
OG0000823	XM_001594941.1.p1	XM_041291013.1.p1
OG0000824	XM_001596316.1.p1	XM_041295309.1.p1, XM_041294264.1.p1, XM_041294358.1.p1
OG0000833	XM_001585066.1.p1	XM_041291200.1.p1
OG0000838	XM_001585082.1.p1	XM_041291229.1.p1
OG0000840	XM_001590356.1.p1, XM_001598433.1.p1	XM_041295557.1.p1
OG0000842	XM_001590686.1.p1	XM_041284367.1.p1, XM_041291101.1.p1
OG0000842	XM_001590759.1.p1	XM_041291882.1.p1
OG0000843	XM_001595926.1.p1	XM_041284589.1.p1
OG0000844	XM_001588877.1.p1	XM_041291896.1.p1
OG0000845	XM_001589804.1.p1, XM_001591296.1.p1	XM_041295733.1.p1, XM_041287668.1.p1
OG0000846	XM_001590812.1.p1	XM_041290699.1.p1
OG0000847	XM_001590428.1.p1	XM_041292800.1.p1
OG0000848	XM_001596923.1.p1	XM_041288724.1.p1
OG0000848	XM_001593063.1.p1	XM_041290147.1.p1
OG0000849	XM_001598887.1.p1	XM_041286422.1.p1
OG0000850	XM_001591407.1.p1	XM_041291721.1.p1
OG0000850	XM_001598854.1.p1, XM_001592294.1.p1	XM_041286533.1.p1
OG0000851	XM_001598336.1.p1	XM_041294463.1.p1
OG0000852	XM_001595780.1.p1	XM_041292508.1.p1
OG0000852	XM_001593308.1.p1	XM_041284330.1.p1
OG0000852	XM_001592475.1.p1	XM_041295742.1.p1
OG0000853	XM_001591040.1.p1	XM_041289334.1.p1
OG0000855	XM_001591217.1.p1	XM_041295281.1.p1
OG0000856	XM_001593053.1.p1	XM_041289152.1.p1
OG0000856	XM_001592531.1.p1	XM_041288103.1.p1
OG0000857	XM_001593074.1.p1	XM_041284632.1.p1
OG0000857	XM_001593980.1.p1	XM_041284752.1.p1
OG0000858	XM_001595785.1.p1	XM_041290906.1.p1
OG0000859	XM_001598727.1.p1	XM_041284869.1.p1
OG0000860	XM_001597972.1.p1	XM_041294784.1.p1
OG0000861	XM_001591332.1.p1	XM_041286003.1.p1
OG0000862	XM_001597870.1.p1	XM_041287198.1.p1
OG0000863	XM_001597318.1.p1	XM_041294088.1.p1
OG0000863	XM_001596881.1.p1	XM_041289271.1.p1
OG0000864	XM_001593637.1.p1	XM_041284673.1.p1
OG0000864	XM_001589072.1.p1	XM_041288834.1.p1
OG0000865	XM_001593989.1.p1	XM_041293830.1.p1
OG0000866	XM_001590913.1.p1, XM_001598347.1.p1	XM_041293750.1.p1
OG0000867	XM_001592201.1.p1	XM_041294021.1.p1
OG0000868	XM_001596445.1.p1	XM_041286686.1.p1
OG0000869	XM_001586557.1.p1	XM_041290043.1.p1
OG0000870	XM_001589082.1.p1	XM_041294672.1.p1
OG0000872	XM_001598410.1.p1	XM_041293665.1.p1
OG0000873	XM_001584833.1.p1	XM_041290419.1.p1
OG0000873	XM_001587510.1.p1	XM_041295171.1.p1
OG0000873	XM_001585718.1.p1, XM_001595219.1.p1	XM_041293530.1.p1, XM_041294316.1.p1
OG0000879	XM_001589058.1.p1	XM_041288842.1.p1
OG0000880	XM_001594610.1.p1	XM_041289821.1.p1
OG0000881	XM_001598078.1.p1	XM_041286409.1.p1
OG0000882	XM_001591123.1.p1	XM_041290356.1.p1, XM_041287155.1.p1
OG0000883	XM_001592684.1.p1	XM_041284485.1.p1
OG0000884	XM_001590418.1.p1, XM_001598607.1.p1	XM_041294024.1.p1, XM_041295624.1.p1
OG0000885	XM_001595409.1.p1	XM_041288159.1.p1
OG0000886	XM_001597766.1.p1	XM_041285990.1.p1
OG0000887	XM_001590479.1.p1	XM_041289409.1.p1
OG0000888	XM_001588156.1.p1	XM_041290942.1.p1
OG0000889	XM_001587720.1.p1	XM_041287176.1.p1
OG0000890	XM_001595595.1.p1	XM_041292085.1.p1
OG0000891	XM_001596381.1.p1	XM_041293727.1.p1
OG0000892	XM_001589455.1.p1	XM_041288115.1.p1
OG0000893	XM_001593810.1.p1	XM_041293141.1.p1
OG0000894	XM_001594761.1.p1	XM_041289055.1.p1
OG0000895	XM_001589295.1.p1	XM_041293723.1.p1
OG0000896	XM_001588385.1.p1	XM_041290293.1.p1
OG0000896	XM_001585538.1.p1	XM_041290477.1.p1, XM_041286544.1.p1
OG0000898	XM_001594950.1.p1	XM_041284429.1.p1
OG0000901	XM_001594946.1.p1	XM_041291010.1.p1
OG0000902	XM_001590403.1.p1	XM_041288848.1.p1
OG0000902	XM_001597563.1.p1	XM_041292350.1.p1
OG0000903	XM_001589185.1.p1, XM_001589229.1.p1	XM_041295111.1.p1, XM_041293470.1.p1
OG0000905	XM_001585245.1.p1	XM_041290183.1.p1, XM_041295603.1.p1
OG0000906	XM_001598656.1.p1	XM_041295720.1.p1, XM_041288736.1.p1
OG0000907	XM_001594766.1.p1	XM_041292365.1.p1
OG0000907	XM_001590056.1.p1	XM_041287151.1.p1
OG0000907	XM_001593151.1.p1	XM_041294997.1.p1
OG0000909	XM_001592755.1.p1	XM_041289839.1.p1
OG0000910	XM_001591606.1.p1	XM_041288388.1.p1
OG0000911	XM_001586116.1.p1	XM_041291022.1.p1
OG0000912	XM_001596337.1.p1	XM_041284949.1.p1
OG0000913	XM_001595797.1.p1	XM_041290932.1.p1
OG0000914	XM_001585725.1.p1	XM_041289324.1.p1
OG0000915	XM_001594710.1.p1	XM_041288113.1.p1
OG0000917	XM_001594442.1.p1	XM_041284486.1.p1
OG0000917	XM_001594441.1.p1	XM_041290827.1.p1
OG0000918	XM_001597261.1.p1, XM_001591703.1.p1	XM_041295285.1.p1
OG0000919	XM_001591846.1.p1	XM_041288943.1.p1
OG0000920	XM_001587710.1.p1	XM_041293850.1.p1
OG0000921	XM_001594655.1.p1	XM_041289556.1.p1
OG0000925	XM_001595201.1.p1	XM_041293372.1.p1
OG0000930	XM_001593408.1.p1	XM_041286021.1.p1, XM_041287102.1.p1
OG0000932	XM_001587325.1.p1	XM_041293367.1.p1
OG0000935	XM_001596262.1.p1	XM_041288124.1.p1
OG0000936	XM_001587773.1.p1	XM_041286167.1.p1, XM_041291658.1.p1, XM_041286740.1.p1
OG0000938	XM_001587290.1.p1	XM_041293031.1.p1
OG0000939	XM_001589765.1.p1	XM_041284705.1.p1
OG0000940	XM_001591875.1.p1	XM_041283872.1.p1
OG0000941	XM_001591228.1.p1	XM_041294781.1.p1
OG0000942	XM_001586412.1.p1	XM_041287987.1.p1
OG0000943	XM_001594387.1.p1	XM_041286652.1.p1
OG0000944	XM_001598065.1.p1	XM_041288034.1.p1
OG0000945	XM_001598342.1.p1	XM_041289252.1.p1, XM_041288249.1.p1
OG0000946	XM_001595577.1.p1	XM_041290937.1.p1
OG0000947	XM_001591181.1.p1	XM_041294956.1.p1
OG0000948	XM_001598011.1.p1	XM_041284902.1.p1
OG0000951	XM_001595072.1.p1	XM_041293262.1.p1
OG0000952	XM_001590098.1.p1	XM_041289996.1.p1
OG0000953	XM_001586843.1.p1	XM_041286273.1.p1, XM_041289237.1.p1, XM_041291531.1.p1, XM_041284032.1.p1
OG0000954	XM_001592026.1.p1	XM_041288003.1.p1
OG0000956	XM_001585166.1.p1	XM_041286196.1.p1
OG0000957	XM_001585600.1.p1	XM_041291770.1.p1
OG0000957	XM_001585602.1.p1	XM_041291771.1.p1
OG0000958	XM_001588449.1.p1	XM_041290931.1.p1
OG0000959	XM_001593888.1.p1	XM_041291301.1.p1
OG0000960	XM_001587310.1.p1	XM_041292061.1.p1
OG0000961	XM_001587170.1.p1	XM_041293996.1.p1
OG0000964	XM_001593840.1.p1	XM_041284562.1.p1
OG0000964	XM_001598313.1.p1	XM_041290194.1.p1
OG0000965	XM_001585357.1.p1	XM_041292414.1.p1
OG0000966	XM_001585978.1.p1	XM_041288121.1.p1
OG0000967	XM_001592626.1.p1	XM_041287164.1.p1, XM_041286448.1.p1
OG0000968	XM_001586768.1.p1	XM_041283979.1.p1, XM_041289777.1.p1
OG0000969	XM_001592200.1.p1	XM_041294022.1.p1
OG0000970	XM_001587938.1.p1	XM_041290708.1.p1, XM_041290760.1.p1
OG0000971	XM_001585772.1.p1	XM_041291307.1.p1
OG0000972	XM_001597384.1.p1	XM_041292121.1.p1, XM_041293059.1.p1
OG0000973	XM_001591714.1.p1	XM_041290783.1.p1
OG0000974	XM_001594159.1.p1	XM_041293805.1.p1
OG0000975	XM_001590008.1.p1	XM_041283898.1.p1
OG0000983	XM_001587127.1.p1	XM_041290842.1.p1
OG0000985	XM_001586705.1.p1	XM_041295292.1.p1
