Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Rhizoctonia_solani_rna_prot
OG0000565	XM_001586006.1.p1	XM_043329676.1.p1
OG0000566	XM_001592658.1.p1	XM_043324772.1.p1
OG0000568	XM_001586737.1.p1, XM_001595590.1.p1	XM_043328391.1.p1
OG0000571	XM_001596650.1.p1	XM_043320692.1.p1
OG0000572	XM_001588215.1.p1	XM_043326507.1.p1
OG0000573	XM_001598905.1.p1	XM_043329082.1.p1, XM_043323676.1.p1, XM_043327664.1.p1
OG0000574	XM_001590420.1.p1, XM_001586519.1.p1	XM_043327755.1.p1, XM_043322787.1.p1, XM_043322417.1.p1, XM_043322416.1.p1, XM_043330780.1.p1, XM_043327754.1.p1, XM_043322880.1.p1, XM_043322410.1.p1
OG0000575	XM_001588302.1.p1	XM_043320488.1.p1, XM_043320429.1.p1
OG0000578	XM_001596093.1.p1	XM_043320862.1.p1, XM_043320873.1.p1
OG0000579	XM_001598740.1.p1, XM_001598216.1.p1	XM_043328752.1.p1, XM_043328751.1.p1, XM_043328756.1.p1, XM_043328755.1.p1, XM_043328750.1.p1
OG0000580	XM_001589111.1.p1, XM_001595987.1.p1	XM_043330617.1.p1, XM_043328474.1.p1
OG0000581	XM_001598836.1.p1, XM_001585825.1.p1	XM_043321847.1.p1, XM_043325595.1.p1
OG0000582	XM_001592617.1.p1	XM_043323657.1.p1
OG0000582	XM_001592459.1.p1	XM_043329628.1.p1
OG0000584	XM_001584971.1.p1	XM_043330694.1.p1
OG0000584	XM_001584969.1.p1	XM_043324388.1.p1
OG0000585	XM_001594243.1.p1	XM_043329761.1.p1, XM_043320306.1.p1
OG0000586	XM_001596162.1.p1	XM_043322592.1.p1
OG0000587	XM_001588230.1.p1	XM_043329103.1.p1
OG0000588	XM_001586513.1.p1	XM_043330285.1.p1, XM_043326881.1.p1
OG0000588	XM_001586815.1.p1	XM_043322074.1.p1
OG0000589	XM_001593383.1.p1	XM_043323614.1.p1
OG0000591	XM_001585967.1.p1	XM_043328748.1.p1
OG0000595	XM_001589667.1.p1, XM_001587433.1.p1	XM_043323688.1.p1
OG0000597	XM_001586224.1.p1	XM_043321874.1.p1
OG0000598	XM_001592151.1.p1	XM_043327329.1.p1, XM_043327328.1.p1, XM_043327315.1.p1, XM_043327332.1.p1, XM_043327320.1.p1, XM_043320651.1.p1
OG0000599	XM_001590786.1.p1	XM_043329029.1.p1
OG0000601	XM_001584784.1.p1, XM_001596438.1.p1, XM_001595471.1.p1	XM_043323975.1.p1, XM_043326222.1.p1, XM_043331381.1.p1
OG0000602	XM_001593423.1.p1	XM_043331439.1.p1
OG0000603	XM_001589302.1.p1	XM_043326128.1.p1
OG0000607	XM_001590536.1.p1	XM_043329627.1.p1
OG0000608	XM_001588104.1.p1, XM_001585159.1.p1	XM_043323031.1.p1
OG0000610	XM_001587685.1.p1	XM_043330704.1.p1
OG0000611	XM_001584794.1.p1, XM_001588443.1.p1	XM_043320737.1.p1
OG0000612	XM_001585145.1.p1, XM_001585254.1.p1	XM_043321707.1.p1
OG0000613	XM_001598913.1.p1	XM_043323577.1.p1
OG0000613	XM_001590405.1.p1	XM_043324718.1.p1
OG0000614	XM_001596566.1.p1, XM_001595436.1.p1	XM_043326858.1.p1, XM_043330308.1.p1
OG0000617	XM_001593217.1.p1	XM_043326547.1.p1, XM_043326548.1.p1
OG0000617	XM_001591019.1.p1	XM_043326175.1.p1
OG0000618	XM_001591111.1.p1	XM_043331335.1.p1
OG0000619	XM_001584618.1.p1	XM_043324295.1.p1
OG0000621	XM_001598866.1.p1	XM_043328893.1.p1, XM_043328912.1.p1
OG0000624	XM_001594377.1.p1	XM_043320246.1.p1
OG0000625	XM_001589315.1.p1, XM_001589316.1.p1	XM_043329629.1.p1
OG0000627	XM_001597895.1.p1	XM_043327637.1.p1, XM_043320279.1.p1
OG0000628	XM_001586561.1.p1	XM_043325996.1.p1
OG0000629	XM_001594794.1.p1	XM_043329026.1.p1
OG0000630	XM_001589004.1.p1	XM_043319924.1.p1, XM_043321060.1.p1, XM_043331661.1.p1, XM_043322231.1.p1, XM_043325297.1.p1, XM_043324452.1.p1, XM_043324464.1.p1, XM_043331662.1.p1
OG0000631	XM_001585037.1.p1	XM_043327483.1.p1
OG0000633	XM_001584744.1.p1	XM_043328935.1.p1
OG0000634	XM_001593326.1.p1	XM_043320506.1.p1
OG0000641	XM_001586942.1.p1	XM_043325588.1.p1, XM_043321653.1.p1
OG0000643	XM_001589232.1.p1	XM_043322776.1.p1, XM_043325452.1.p1
OG0000644	XM_001591081.1.p1	XM_043331008.1.p1
OG0000645	XM_001590830.1.p1, XM_001589099.1.p1	XM_043323373.1.p1, XM_043328548.1.p1, XM_043328556.1.p1, XM_043328393.1.p1
OG0000646	XM_001590778.1.p1	XM_043321017.1.p1
OG0000647	XM_001587654.1.p1	XM_043329138.1.p1, XM_043329142.1.p1, XM_043329139.1.p1, XM_043329239.1.p1
OG0000648	XM_001594682.1.p1	XM_043324016.1.p1
OG0000648	XM_001589012.1.p1	XM_043320500.1.p1
OG0000649	XM_001589418.1.p1, XM_001589600.1.p1	XM_043329631.1.p1
OG0000650	XM_001598771.1.p1	XM_043326242.1.p1, XM_043324927.1.p1
OG0000651	XM_001588210.1.p1	XM_043324568.1.p1, XM_043322904.1.p1
OG0000657	XM_001593859.1.p1, XM_001591519.1.p1	XM_043321139.1.p1, XM_043331627.1.p1, XM_043332031.1.p1, XM_043330126.1.p1
OG0000658	XM_001588121.1.p1, XM_001585190.1.p1, XM_001590345.1.p1	XM_043327845.1.p1, XM_043328097.1.p1, XM_043322950.1.p1
OG0000659	XM_001588433.1.p1	XM_043327539.1.p1
OG0000660	XM_001587702.1.p1	XM_043323001.1.p1, XM_043324655.1.p1, XM_043322429.1.p1
OG0000661	XM_001591625.1.p1	XM_043322070.1.p1
OG0000662	XM_001587349.1.p1	XM_043323848.1.p1
OG0000663	XM_001595888.1.p1	XM_043326239.1.p1
OG0000665	XM_001597611.1.p1	XM_043324060.1.p1
OG0000665	XM_001587764.1.p1	XM_043322389.1.p1
OG0000675	XM_001593877.1.p1	XM_043325926.1.p1, XM_043321564.1.p1
OG0000676	XM_001595848.1.p1, XM_001588952.1.p1	XM_043321437.1.p1, XM_043328071.1.p1
OG0000677	XM_001595573.1.p1, XM_001590843.1.p1	XM_043320272.1.p1
OG0000678	XM_001591970.1.p1	XM_043325857.1.p1
OG0000683	XM_001592158.1.p1	XM_043329769.1.p1
OG0000684	XM_001598914.1.p1	XM_043320984.1.p1
OG0000687	XM_001590432.1.p1, XM_001588710.1.p1	XM_043322586.1.p1, XM_043322649.1.p1, XM_043324294.1.p1, XM_043322290.1.p1
OG0000688	XM_001584724.1.p1, XM_001597165.1.p1	XM_043320923.1.p1
OG0000690	XM_001592277.1.p1	XM_043329193.1.p1
OG0000692	XM_001593436.1.p1	XM_043320436.1.p1
OG0000694	XM_001592443.1.p1	XM_043321328.1.p1
OG0000695	XM_001598068.1.p1	XM_043322165.1.p1
OG0000696	XM_001591039.1.p1	XM_043323840.1.p1
OG0000697	XM_001592369.1.p1	XM_043320334.1.p1
OG0000699	XM_001589881.1.p1, XM_001587920.1.p1, XM_001586012.1.p1	XM_043320043.1.p1
OG0000700	XM_001596857.1.p1	XM_043324411.1.p1
OG0000701	XM_001598701.1.p1	XM_043322181.1.p1
OG0000701	XM_001597738.1.p1	XM_043330876.1.p1, XM_043330940.1.p1, XM_043325779.1.p1, XM_043327318.1.p1
OG0000702	XM_001590377.1.p1	XM_043328849.1.p1
OG0000703	XM_001586680.1.p1, XM_001584591.1.p1, XM_001593587.1.p1	XM_043326314.1.p1
OG0000704	XM_001593295.1.p1, XM_001598316.1.p1	XM_043321593.1.p1, XM_043323199.1.p1
OG0000718	XM_001584951.1.p1, XM_001589768.1.p1	XM_043321507.1.p1
OG0000719	XM_001594228.1.p1	XM_043329914.1.p1
OG0000721	XM_001598753.1.p1	XM_043321957.1.p1
OG0000723	XM_001597476.1.p1, XM_001595771.1.p1	XM_043328087.1.p1, XM_043325665.1.p1, XM_043325664.1.p1
OG0000726	XM_001589268.1.p1, XM_001587474.1.p1, XM_001595123.1.p1, XM_001591330.1.p1	XM_043323770.1.p1
OG0000727	XM_001591832.1.p1	XM_043320762.1.p1, XM_043322677.1.p1
OG0000727	XM_001592634.1.p1	XM_043327844.1.p1
OG0000730	XM_001592960.1.p1	XM_043321776.1.p1, XM_043329601.1.p1
OG0000731	XM_001598010.1.p1	XM_043331791.1.p1
OG0000735	XM_001592013.1.p1	XM_043326321.1.p1, XM_043328332.1.p1, XM_043325024.1.p1, XM_043322650.1.p1, XM_043321246.1.p1, XM_043329274.1.p1
OG0000736	XM_001586755.1.p1	XM_043320622.1.p1
OG0000737	XM_001585464.1.p1	XM_043329054.1.p1
OG0000738	XM_001589763.1.p1	XM_043320890.1.p1
OG0000739	XM_001591620.1.p1	XM_043329642.1.p1
OG0000741	XM_001597032.1.p1, XM_001585910.1.p1	XM_043331766.1.p1
OG0000742	XM_001597193.1.p1, XM_001598237.1.p1	XM_043326220.1.p1
OG0000743	XM_001597463.1.p1	XM_043322144.1.p1
OG0000743	XM_001591205.1.p1	XM_043328186.1.p1
OG0000751	XM_001589822.1.p1, XM_001596945.1.p1	XM_043329279.1.p1
OG0000753	XM_001591506.1.p1	XM_043326393.1.p1
OG0000757	XM_001593138.1.p1	XM_043322352.1.p1
OG0000758	XM_001590577.1.p1	XM_043322397.1.p1
OG0000759	XM_001593983.1.p1, XM_001584997.1.p1	XM_043330154.1.p1, XM_043330156.1.p1, XM_043330157.1.p1
OG0000761	XM_001592728.1.p1	XM_043326254.1.p1
OG0000761	XM_001592729.1.p1	XM_043321634.1.p1
OG0000762	XM_001594392.1.p1, XM_001585091.1.p1, XM_001590564.1.p1	XM_043329427.1.p1
OG0000763	XM_001590106.1.p1, XM_001591452.1.p1	XM_043330445.1.p1, XM_043326728.1.p1
OG0000764	XM_001590789.1.p1	XM_043323019.1.p1
OG0000767	XM_001594777.1.p1, XM_001596669.1.p1	XM_043327752.1.p1
OG0000768	XM_001590429.1.p1, XM_001593431.1.p1	XM_043327519.1.p1, XM_043327117.1.p1
OG0000772	XM_001596787.1.p1	XM_043323619.1.p1
OG0000773	XM_001589152.1.p1, XM_001585787.1.p1	XM_043326264.1.p1
OG0000775	XM_001588040.1.p1	XM_043329077.1.p1
OG0000776	XM_001587360.1.p1, XM_001587558.1.p1	XM_043323720.1.p1, XM_043323728.1.p1, XM_043323727.1.p1, XM_043323710.1.p1, XM_043322544.1.p1, XM_043326332.1.p1
OG0000777	XM_001589734.1.p1	XM_043326953.1.p1, XM_043321683.1.p1
OG0000778	XM_001594705.1.p1	XM_043328657.1.p1, XM_043328647.1.p1
OG0000779	XM_001596814.1.p1	XM_043320706.1.p1, XM_043320702.1.p1
OG0000780	XM_001596764.1.p1	XM_043328358.1.p1
OG0000780	XM_001589984.1.p1	XM_043322374.1.p1
OG0000781	XM_001591637.1.p1	XM_043324777.1.p1
OG0000782	XM_001592743.1.p1	XM_043320148.1.p1
OG0000788	XM_001593948.1.p1	XM_043322124.1.p1
OG0000789	XM_001595138.1.p1	XM_043321301.1.p1, XM_043320458.1.p1, XM_043325022.1.p1
OG0000790	XM_001588713.1.p1, XM_001588711.1.p1	XM_043321815.1.p1
OG0000791	XM_001594295.1.p1, XM_001589639.1.p1, XM_001590505.1.p1	XM_043320600.1.p1
OG0000794	XM_001589028.1.p1	XM_043322098.1.p1, XM_043322099.1.p1
OG0000797	XM_001586761.1.p1	XM_043326240.1.p1
OG0000798	XM_001591069.1.p1	XM_043324547.1.p1
OG0000800	XM_001586023.1.p1, XM_001592009.1.p1	XM_043331378.1.p1
OG0000801	XM_001595009.1.p1, XM_001592333.1.p1	XM_043323483.1.p1, XM_043325508.1.p1, XM_043327275.1.p1, XM_043329632.1.p1, XM_043320946.1.p1, XM_043320197.1.p1
OG0000802	XM_001596533.1.p1, XM_001591221.1.p1	XM_043324377.1.p1
OG0000805	XM_001598102.1.p1	XM_043326001.1.p1, XM_043321158.1.p1, XM_043324421.1.p1, XM_043323188.1.p1, XM_043328686.1.p1, XM_043327727.1.p1
OG0000806	XM_001589187.1.p1	XM_043320788.1.p1
OG0000807	XM_001587026.1.p1, XM_001597524.1.p1	XM_043327123.1.p1
OG0000809	XM_001598101.1.p1	XM_043326280.1.p1
OG0000810	XM_001592962.1.p1	XM_043329141.1.p1
OG0000811	XM_001594369.1.p1	XM_043331049.1.p1
OG0000814	XM_001594454.1.p1	XM_043328173.1.p1
OG0000814	XM_001591234.1.p1	XM_043329883.1.p1
OG0000815	XM_001590827.1.p1	XM_043320904.1.p1, XM_043324609.1.p1, XM_043329897.1.p1, XM_043329898.1.p1, XM_043320440.1.p1
OG0000818	XM_001596889.1.p1	XM_043325831.1.p1
OG0000819	XM_001595146.1.p1, XM_001595145.1.p1	XM_043329949.1.p1
OG0000822	XM_001597996.1.p1	XM_043323585.1.p1, XM_043323584.1.p1, XM_043326150.1.p1, XM_043323583.1.p1
OG0000833	XM_001585066.1.p1	XM_043328884.1.p1, XM_043321658.1.p1
OG0000835	XM_001590315.1.p1	XM_043323994.1.p1
OG0000837	XM_001589349.1.p1	XM_043328956.1.p1
OG0000839	XM_001586909.1.p1	XM_043330093.1.p1, XM_043324308.1.p1
OG0000840	XM_001590356.1.p1, XM_001598433.1.p1, XM_001591761.1.p1	XM_043325419.1.p1, XM_043325418.1.p1
OG0000842	XM_001590686.1.p1, XM_001590759.1.p1	XM_043330919.1.p1
OG0000843	XM_001595926.1.p1	XM_043331788.1.p1
OG0000844	XM_001588877.1.p1	XM_043322948.1.p1
OG0000846	XM_001590812.1.p1	XM_043329110.1.p1
OG0000847	XM_001590428.1.p1	XM_043330092.1.p1, XM_043327115.1.p1, XM_043328832.1.p1, XM_043327094.1.p1, XM_043327116.1.p1
OG0000848	XM_001596923.1.p1, XM_001593063.1.p1	XM_043331636.1.p1
OG0000849	XM_001598887.1.p1	XM_043322903.1.p1
OG0000850	XM_001590302.1.p1, XM_001591407.1.p1, XM_001598854.1.p1, XM_001592294.1.p1	XM_043331310.1.p1
OG0000851	XM_001598336.1.p1, XM_001589806.1.p1	XM_043320199.1.p1
OG0000853	XM_001591040.1.p1	XM_043326602.1.p1
OG0000855	XM_001591217.1.p1	XM_043324696.1.p1
OG0000856	XM_001593053.1.p1, XM_001592531.1.p1	XM_043329400.1.p1
OG0000858	XM_001595785.1.p1	XM_043328209.1.p1
OG0000860	XM_001597972.1.p1	XM_043326987.1.p1, XM_043327022.1.p1
OG0000862	XM_001597870.1.p1	XM_043329557.1.p1
OG0000863	XM_001597318.1.p1, XM_001596881.1.p1	XM_043330703.1.p1
OG0000865	XM_001593989.1.p1	XM_043329658.1.p1
OG0000868	XM_001596445.1.p1	XM_043321790.1.p1, XM_043321405.1.p1, XM_043321789.1.p1, XM_043323116.1.p1
OG0000869	XM_001586557.1.p1	XM_043320028.1.p1
OG0000870	XM_001589082.1.p1	XM_043321352.1.p1, XM_043323029.1.p1
OG0000872	XM_001598410.1.p1	XM_043328106.1.p1, XM_043329208.1.p1
OG0000880	XM_001594610.1.p1	XM_043326298.1.p1, XM_043326297.1.p1, XM_043320509.1.p1
OG0000881	XM_001598078.1.p1	XM_043323903.1.p1
OG0000882	XM_001591123.1.p1	XM_043324721.1.p1
OG0000883	XM_001592684.1.p1	XM_043325278.1.p1
OG0000884	XM_001590418.1.p1, XM_001598607.1.p1	XM_043326154.1.p1, XM_043326293.1.p1, XM_043326292.1.p1
OG0000885	XM_001595409.1.p1	XM_043331304.1.p1
OG0000888	XM_001588156.1.p1	XM_043329766.1.p1
OG0000889	XM_001595904.1.p1, XM_001587720.1.p1	XM_043324812.1.p1
OG0000890	XM_001595595.1.p1	XM_043327504.1.p1, XM_043327505.1.p1
OG0000891	XM_001596381.1.p1	XM_043328277.1.p1
OG0000892	XM_001589455.1.p1, XM_001589124.1.p1	XM_043320659.1.p1
OG0000893	XM_001593810.1.p1	XM_043328389.1.p1
OG0000894	XM_001594761.1.p1	XM_043323923.1.p1
OG0000896	XM_001598113.1.p1, XM_001588385.1.p1, XM_001597532.1.p1, XM_001595246.1.p1, XM_001585538.1.p1	XM_043322886.1.p1, XM_043320298.1.p1
OG0000898	XM_001594950.1.p1	XM_043321669.1.p1
OG0000899	XM_001590448.1.p1	XM_043330608.1.p1
OG0000900	XM_001587345.1.p1	XM_043330836.1.p1
OG0000900	XM_001587164.1.p1	XM_043324768.1.p1
OG0000902	XM_001590403.1.p1, XM_001597563.1.p1	XM_043327665.1.p1, XM_043323374.1.p1
OG0000906	XM_001593572.1.p1	XM_043328346.1.p1
OG0000908	XM_001594258.1.p1	XM_043325911.1.p1
OG0000910	XM_001591606.1.p1	XM_043324375.1.p1
OG0000911	XM_001586116.1.p1	XM_043322675.1.p1
OG0000912	XM_001596337.1.p1	XM_043326111.1.p1
OG0000914	XM_001585726.1.p1, XM_001585725.1.p1	XM_043321010.1.p1
OG0000915	XM_001594710.1.p1	XM_043320635.1.p1
OG0000917	XM_001591777.1.p1, XM_001594442.1.p1, XM_001594441.1.p1	XM_043324226.1.p1
OG0000918	XM_001597261.1.p1, XM_001591703.1.p1	XM_043328667.1.p1
OG0000919	XM_001591846.1.p1	XM_043319965.1.p1
OG0000920	XM_001587710.1.p1	XM_043320821.1.p1
OG0000921	XM_001594655.1.p1	XM_043330779.1.p1, XM_043326593.1.p1, XM_043320728.1.p1
OG0000925	XM_001595201.1.p1	XM_043325094.1.p1
OG0000925	XM_001591996.1.p1, XM_001591790.1.p1	XM_043325294.1.p1, XM_043329292.1.p1, XM_043325295.1.p1
OG0000935	XM_001596262.1.p1	XM_043331291.1.p1
OG0000938	XM_001587290.1.p1	XM_043320291.1.p1, XM_043324667.1.p1, XM_043324751.1.p1
OG0000939	XM_001589765.1.p1	XM_043324536.1.p1
OG0000939	XM_001596967.1.p1	XM_043324231.1.p1
OG0000941	XM_001591228.1.p1	XM_043321409.1.p1, XM_043321408.1.p1, XM_043327954.1.p1
OG0000942	XM_001586412.1.p1	XM_043331846.1.p1
OG0000944	XM_001598065.1.p1	XM_043326527.1.p1
OG0000945	XM_001598342.1.p1	XM_043323732.1.p1
OG0000946	XM_001595577.1.p1	XM_043320927.1.p1
OG0000947	XM_001591181.1.p1	XM_043321728.1.p1
OG0000948	XM_001598011.1.p1	XM_043329194.1.p1
OG0000950	XM_001588656.1.p1	XM_043324680.1.p1
OG0000951	XM_001595072.1.p1	XM_043325942.1.p1, XM_043325944.1.p1
OG0000953	XM_001586843.1.p1	XM_043330353.1.p1, XM_043320297.1.p1, XM_043327026.1.p1, XM_043329454.1.p1
OG0000954	XM_001592026.1.p1	XM_043321603.1.p1
OG0000956	XM_001585166.1.p1	XM_043330053.1.p1, XM_043328828.1.p1, XM_043330056.1.p1, XM_043330055.1.p1, XM_043323285.1.p1, XM_043323009.1.p1, XM_043323010.1.p1
OG0000957	XM_001585602.1.p1	XM_043331400.1.p1
OG0000958	XM_001588449.1.p1	XM_043331374.1.p1
OG0000959	XM_001593888.1.p1	XM_043321424.1.p1, XM_043321919.1.p1, XM_043320235.1.p1
OG0000960	XM_001598732.1.p1, XM_001587310.1.p1	XM_043320548.1.p1, XM_043323161.1.p1
OG0000964	XM_001593840.1.p1, XM_001598313.1.p1	XM_043328963.1.p1
OG0000965	XM_001585357.1.p1	XM_043327310.1.p1
OG0000966	XM_001585978.1.p1	XM_043323746.1.p1, XM_043323883.1.p1
OG0000967	XM_001592626.1.p1	XM_043319954.1.p1
OG0000968	XM_001586768.1.p1	XM_043322690.1.p1, XM_043322691.1.p1
OG0000969	XM_001592200.1.p1	XM_043322813.1.p1
OG0000970	XM_001587938.1.p1	XM_043326315.1.p1
OG0000971	XM_001585772.1.p1	XM_043329148.1.p1
OG0000972	XM_001597384.1.p1	XM_043322293.1.p1, XM_043326367.1.p1
OG0000974	XM_001594159.1.p1	XM_043321806.1.p1
OG0000975	XM_001590008.1.p1	XM_043331558.1.p1
OG0000983	XM_001587127.1.p1	XM_043322689.1.p1
OG0000986	XM_001589957.1.p1	XM_043321646.1.p1
OG0000987	XM_001586400.1.p1	XM_043324834.1.p1
OG0000989	XM_001593681.1.p1	XM_043326458.1.p1
OG0000990	XM_001587667.1.p1	XM_043320465.1.p1
OG0000991	XM_001584614.1.p1, XM_001588147.1.p1	XM_043324475.1.p1, XM_043324766.1.p1
OG0000992	XM_001587616.1.p1, XM_001588027.1.p1	XM_043320149.1.p1
OG0000993	XM_001592118.1.p1	XM_043320083.1.p1
OG0000994	XM_001598761.1.p1	XM_043326883.1.p1, XM_043330282.1.p1, XM_043325193.1.p1
OG0000995	XM_001598657.1.p1	XM_043321922.1.p1
OG0000996	XM_001585239.1.p1	XM_043327313.1.p1
OG0000997	XM_001597390.1.p1	XM_043331599.1.p1
OG0000998	XM_001586122.1.p1	XM_043327489.1.p1
OG0001000	XM_001588995.1.p1	XM_043321516.1.p1
OG0001002	XM_001591895.1.p1	XM_043323929.1.p1, XM_043324225.1.p1
OG0001003	XM_001586491.1.p1	XM_043328343.1.p1
OG0001004	XM_001591998.1.p1, XM_001590075.1.p1	XM_043319984.1.p1
OG0001007	XM_001584998.1.p1, XM_001597153.1.p1	XM_043320608.1.p1
OG0001008	XM_001587492.1.p1	XM_043330519.1.p1, XM_043330515.1.p1, XM_043327951.1.p1
OG0001010	XM_001587714.1.p1	XM_043320471.1.p1
OG0001013	XM_001595593.1.p1	XM_043327625.1.p1
OG0001014	XM_001598170.1.p1	XM_043331465.1.p1
OG0001022	XM_001584957.1.p1, XM_001592881.1.p1	XM_043326436.1.p1
OG0001023	XM_001589690.1.p1	XM_043326955.1.p1
OG0001024	XM_001590102.1.p1	XM_043328299.1.p1
OG0001025	XM_001597615.1.p1	XM_043324780.1.p1
OG0001028	XM_001595420.1.p1	XM_043331990.1.p1
OG0001029	XM_001597029.1.p1	XM_043320428.1.p1
OG0001030	XM_001590150.1.p1	XM_043322616.1.p1
OG0001031	XM_001598290.1.p1	XM_043323698.1.p1
OG0001032	XM_001592750.1.p1	XM_043330412.1.p1, XM_043326760.1.p1, XM_043326758.1.p1
OG0001033	XM_001593019.1.p1	XM_043329637.1.p1
OG0001034	XM_001589286.1.p1	XM_043324197.1.p1
OG0001035	XM_001591201.1.p1	XM_043326260.1.p1, XM_043329660.1.p1
OG0001037	XM_001585833.1.p1	XM_043320045.1.p1
OG0001038	XM_001584660.1.p1	XM_043327336.1.p1
OG0001039	XM_001589840.1.p1	XM_043329013.1.p1
OG0001040	XM_001585509.1.p1	XM_043322437.1.p1
OG0001041	XM_001595956.1.p1	XM_043323960.1.p1
OG0001043	XM_001588858.1.p1	XM_043331261.1.p1, XM_043321870.1.p1, XM_043324683.1.p1, XM_043322662.1.p1, XM_043321841.1.p1
OG0001044	XM_001594810.1.p1, XM_001585034.1.p1	XM_043329025.1.p1
OG0001053	XM_001594048.1.p1, XM_001590154.1.p1	XM_043327872.1.p1
OG0001053	XM_001589231.1.p1, XM_001596558.1.p1, XM_001588556.1.p1, XM_001585762.1.p1, XM_001586329.1.p1, XM_001593441.1.p1, XM_001589462.1.p1, XM_001585809.1.p1, XM_001589234.1.p1, XM_001596931.1.p1, XM_001584714.1.p1, XM_001597767.1.p1, XM_001588835.1.p1, XM_001586178.1.p1, XM_001595189.1.p1, XM_001589257.1.p1, XM_001585212.1.p1, XM_001597798.1.p1, XM_001586475.1.p1, XM_001586104.1.p1, XM_001596785.1.p1, XM_001591579.1.p1, XM_001586894.1.p1, XM_001586369.1.p1	XM_043331104.1.p1
OG0001061	XM_001598663.1.p1	XM_043320158.1.p1
OG0001062	XM_001589384.1.p1, XM_001589587.1.p1	XM_043323603.1.p1
OG0001063	XM_001594182.1.p1	XM_043329232.1.p1
OG0001064	XM_001585284.1.p1	XM_043326986.1.p1
OG0001065	XM_001596255.1.p1	XM_043322445.1.p1
OG0001067	XM_001586413.1.p1, XM_001586670.1.p1, XM_001590538.1.p1	XM_043321664.1.p1, XM_043325765.1.p1
OG0001069	XM_001592162.1.p1	XM_043330534.1.p1
OG0001070	XM_001587376.1.p1	XM_043329600.1.p1
OG0001071	XM_001592045.1.p1	XM_043325021.1.p1
OG0001075	XM_001598429.1.p1	XM_043331713.1.p1
OG0001076	XM_001598603.1.p1, XM_001595171.1.p1	XM_043321850.1.p1
OG0001077	XM_001595998.1.p1	XM_043320956.1.p1
OG0001078	XM_001590375.1.p1	XM_043326226.1.p1
OG0001083	XM_001584635.1.p1	XM_043323766.1.p1, XM_043322644.1.p1
OG0001084	XM_001589263.1.p1	XM_043322830.1.p1
OG0001085	XM_001591188.1.p1	XM_043321549.1.p1
OG0001086	XM_001593619.1.p1	XM_043322475.1.p1
OG0001088	XM_001598916.1.p1	XM_043320832.1.p1
OG0001090	XM_001587887.1.p1	XM_043321694.1.p1, XM_043321828.1.p1
OG0001091	XM_001584643.1.p1	XM_043322481.1.p1
OG0001093	XM_001593447.1.p1	XM_043320450.1.p1
OG0001095	XM_001593519.1.p1	XM_043326086.1.p1
OG0001099	XM_001587319.1.p1	XM_043331153.1.p1
OG0001100	XM_001597302.1.p1	XM_043320147.1.p1
OG0001101	XM_001592758.1.p1	XM_043320607.1.p1
OG0001103	XM_001592955.1.p1, XM_001588227.1.p1	XM_043321636.1.p1
OG0001105	XM_001592782.1.p1	XM_043330979.1.p1
OG0001107	XM_001593873.1.p1	XM_043330966.1.p1
OG0001108	XM_001585014.1.p1	XM_043323560.1.p1
OG0001112	XM_001592330.1.p1	XM_043322594.1.p1
OG0001112	XM_001595541.1.p1	XM_043325805.1.p1
OG0001113	XM_001596509.1.p1	XM_043327682.1.p1
OG0001114	XM_001588042.1.p1, XM_001594347.1.p1	XM_043327051.1.p1
OG0001115	XM_001593943.1.p1, XM_001588637.1.p1	XM_043324404.1.p1, XM_043322876.1.p1, XM_043326604.1.p1, XM_043327274.1.p1, XM_043322187.1.p1, XM_043322093.1.p1
OG0001117	XM_001587235.1.p1, XM_001589260.1.p1	XM_043331785.1.p1
OG0001118	XM_001590650.1.p1	XM_043323140.1.p1
OG0001119	XM_001587563.1.p1	XM_043328158.1.p1
OG0001120	XM_001591426.1.p1, XM_001593250.1.p1	XM_043326312.1.p1
OG0001121	XM_001593046.1.p1	XM_043328244.1.p1
OG0001122	XM_001594924.1.p1	XM_043331776.1.p1
OG0001123	XM_001592405.1.p1	XM_043321824.1.p1
OG0001124	XM_001598830.1.p1	XM_043323871.1.p1
OG0001125	XM_001588623.1.p1	XM_043320189.1.p1
OG0001126	XM_001590062.1.p1	XM_043324286.1.p1
OG0001127	XM_001590729.1.p1	XM_043321456.1.p1
OG0001128	XM_001594215.1.p1	XM_043329570.1.p1
OG0001130	XM_001590691.1.p1	XM_043322400.1.p1
OG0001131	XM_001591289.1.p1, XM_001597050.1.p1	XM_043327478.1.p1
OG0001133	XM_001584780.1.p1	XM_043320571.1.p1
OG0001135	XM_001592071.1.p1	XM_043330969.1.p1, XM_043321772.1.p1
OG0001137	XM_001592959.1.p1	XM_043327231.1.p1
OG0001146	XM_001587854.1.p1	XM_043321544.1.p1, XM_043321543.1.p1
OG0001147	XM_001589207.1.p1	XM_043322145.1.p1, XM_043322163.1.p1, XM_043331562.1.p1, XM_043331561.1.p1, XM_043322141.1.p1
OG0001150	XM_001585637.1.p1, XM_001586145.1.p1	XM_043323971.1.p1
OG0001151	XM_001586398.1.p1	XM_043328396.1.p1
OG0001152	XM_001585966.1.p1	XM_043326430.1.p1
OG0001153	XM_001585409.1.p1	XM_043322111.1.p1
OG0001154	XM_001596258.1.p1	XM_043325023.1.p1
OG0001155	XM_001593807.1.p1	XM_043320424.1.p1
