Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Fusarium_oxysporum_cds_prot
OG0000684	XM_001598914.1.p1	lcl|NC_030993.1_cds_XP_018237669.1_18214.p1
OG0000684	XM_001594435.1.p1	lcl|NC_030990.1_cds_XP_018255305.1_10814.p1
OG0000685	XM_001596619.1.p1	lcl|NC_030989.1_cds_XP_018243290.1_8239.p1
OG0000685	XM_001586676.1.p1	lcl|NC_030987.1_cds_XP_018241557.1_4171.p1
OG0000686	XM_001592583.1.p1	lcl|NC_030996.1_cds_XP_018247186.1_22605.p1
OG0000687	XM_001590432.1.p1	lcl|NC_030987.1_cds_XP_018241099.1_3713.p1
OG0000687	XM_001588710.1.p1	lcl|NC_030992.1_cds_XP_018248475.1_16605.p1
OG0000688	XM_001584724.1.p1	lcl|NC_030986.1_cds_XP_018232905.1_2148.p1, lcl|NC_030986.1_cds_XP_018232906.1_2149.p1
OG0000688	XM_001597165.1.p1	lcl|NC_030986.1_cds_XP_018232607.1_1851.p1
OG0000690	XM_001592277.1.p1	lcl|NC_030986.1_cds_XP_018232424.1_1667.p1, lcl|NC_030986.1_cds_XP_018232425.1_1666.p1
OG0000692	XM_001593436.1.p1	lcl|NC_030991.1_cds_XP_018244302.1_13340.p1, lcl|NC_030991.1_cds_XP_018244401.1_13438.p1, lcl|NW_017264861.1_cds_XP_018258726.1_26463.p1, lcl|NC_030991.1_cds_XP_018244375.1_13412.p1, lcl|NC_030992.1_cds_XP_018240393.1_15308.p1
OG0000693	XM_001589123.1.p1, XM_001589114.1.p1, XM_001590613.1.p1, XM_001589121.1.p1, XM_001593757.1.p1	lcl|NC_030999.1_cds_XP_018258026.1_25471.p1, lcl|NC_030986.1_cds_XP_018233825.1_3067.p1, lcl|NC_030986.1_cds_XP_018233822.1_3064.p1, lcl|NC_030986.1_cds_XP_018233821.1_3063.p1, lcl|NC_030986.1_cds_XP_018233824.1_3066.p1, lcl|NC_030998.1_cds_XP_018250868.1_24879.p1, lcl|NC_030999.1_cds_XP_018257369.1_25636.p1, lcl|NC_030992.1_cds_XP_018239644.1_14559.p1, lcl|NC_030997.1_cds_XP_018254153.1_23984.p1, lcl|NC_030986.1_cds_XP_018233826.1_3068.p1, lcl|NC_030994.1_cds_XP_018245946.1_19013.p1
OG0000694	XM_001592443.1.p1	lcl|NC_030986.1_cds_XP_018232771.1_2013.p1
OG0000695	XM_001598068.1.p1	lcl|NC_030990.1_cds_XP_018234136.1_11036.p1
OG0000696	XM_001591039.1.p1	lcl|NC_030990.1_cds_XP_018234307.1_11207.p1
OG0000697	XM_001592369.1.p1	lcl|NC_030987.1_cds_XP_018241924.1_4538.p1
OG0000698	XM_001585443.1.p1	lcl|NC_030998.1_cds_XP_018257577.1_24989.p1, lcl|NC_030997.1_cds_XP_018254063.1_23894.p1
OG0000698	XM_001589297.1.p1	lcl|NC_030987.1_cds_XP_018245291.1_5480.p1
OG0000699	XM_001586012.1.p1	lcl|NC_030993.1_cds_XP_018237519.1_18064.p1
OG0000700	XM_001596857.1.p1	lcl|NC_030986.1_cds_XP_018232064.1_1306.p1
OG0000701	XM_001598701.1.p1	lcl|NC_030990.1_cds_XP_018255421.1_10930.p1
OG0000701	XM_001597738.1.p1	lcl|NC_030996.1_cds_XP_018247017.1_22436.p1, lcl|NW_017264848.1_cds_XP_018258110.1_26922.p1
OG0000702	XM_001590377.1.p1	lcl|NC_030992.1_cds_XP_018240173.1_15088.p1, lcl|NC_030992.1_cds_XP_018240176.1_15091.p1, lcl|NC_030992.1_cds_XP_018240171.1_15086.p1
OG0000703	XM_001586680.1.p1, XM_001584591.1.p1	lcl|NC_030990.1_cds_XP_018236163.1_13063.p1
OG0000703	XM_001593587.1.p1	lcl|NC_030995.1_cds_XP_018249831.1_21515.p1
OG0000704	XM_001598316.1.p1	lcl|NC_030998.1_cds_XP_018250454.1_24465.p1, lcl|NC_030992.1_cds_XP_018239571.1_14486.p1
OG0000705	XM_001589597.1.p1	lcl|NC_030987.1_cds_XP_018245267.1_5456.p1, lcl|NC_030989.1_cds_XP_018239482.1_10557.p1, lcl|NC_030987.1_cds_XP_018241058.1_3672.p1, lcl|NC_030987.1_cds_XP_018245122.1_5311.p1
OG0000705	XM_001586677.1.p1	lcl|NC_030989.1_cds_XP_018238912.1_9987.p1, lcl|NC_030986.1_cds_XP_018248744.1_19.p1, lcl|NC_030986.1_cds_XP_018255592.1_3443.p1, lcl|NC_030993.1_cds_XP_018256169.1_18796.p1, lcl|NC_030986.1_cds_XP_018255634.1_3485.p1
OG0000709	XM_001589280.1.p1	lcl|NC_030990.1_cds_XP_018234813.1_11713.p1
OG0000711	XM_001593724.1.p1	lcl|NC_030996.1_cds_XP_018247765.1_23184.p1, lcl|NC_030996.1_cds_XP_018247766.1_23185.p1, lcl|NC_030989.1_cds_XP_018238515.1_9590.p1, lcl|NC_030987.1_cds_XP_018241194.1_3808.p1, lcl|NC_030998.1_cds_XP_018250827.1_24838.p1, lcl|NC_030993.1_cds_XP_018256196.1_18823.p1, lcl|NC_030997.1_cds_XP_018252750.1_23775.p1, lcl|NC_030989.1_cds_XP_018239464.1_10539.p1
OG0000718	XM_001584951.1.p1	lcl|NC_030987.1_cds_XP_018245219.1_5408.p1
OG0000718	XM_001589768.1.p1	lcl|NC_030993.1_cds_XP_018237622.1_18167.p1
OG0000719	XM_001594228.1.p1	lcl|NC_030994.1_cds_XP_018251360.1_20319.p1, lcl|NC_030995.1_cds_XP_018249883.1_21567.p1
OG0000721	XM_001598753.1.p1	lcl|NC_030996.1_cds_XP_018247005.1_22424.p1
OG0000723	XM_001597476.1.p1	lcl|NC_030990.1_cds_XP_018234233.1_11133.p1
OG0000723	XM_001595771.1.p1	lcl|NC_030987.1_cds_XP_018241043.1_3657.p1
OG0000724	XM_001597293.1.p1	lcl|NC_030989.1_cds_XP_018243364.1_8313.p1
OG0000726	XM_001587474.1.p1	lcl|NC_030997.1_cds_XP_018252832.1_23857.p1
OG0000726	XM_001595123.1.p1, XM_001591330.1.p1	lcl|NC_030988.1_cds_XP_018251736.1_6313.p1, lcl|NC_030988.1_cds_XP_018251883.1_6460.p1, lcl|NC_030987.1_cds_XP_018241706.1_4320.p1
OG0000727	XM_001591832.1.p1	lcl|NC_030989.1_cds_XP_018238885.1_9960.p1
OG0000727	XM_001592634.1.p1	lcl|NC_030993.1_cds_XP_018237209.1_17754.p1
OG0000728	XM_001588955.1.p1	lcl|NC_030997.1_cds_XP_018252454.1_23479.p1, lcl|NC_030997.1_cds_XP_018254212.1_24043.p1, lcl|NC_030989.1_cds_XP_018243079.1_8028.p1
OG0000729	XM_001593697.1.p1	lcl|NC_030999.1_cds_XP_018253843.1_25269.p1, lcl|NC_030988.1_cds_XP_018251937.1_6514.p1, lcl|NC_030993.1_cds_XP_018237978.1_18523.p1
OG0000729	XM_001596580.1.p1	lcl|NC_030986.1_cds_XP_018232448.1_1690.p1, lcl|NC_030986.1_cds_XP_018232449.1_1691.p1, lcl|NC_031000.1_cds_XP_018255843.1_26181.p1
OG0000730	XM_001592960.1.p1	lcl|NC_030986.1_cds_XP_018233290.1_2532.p1
OG0000733	XM_001590502.1.p1	lcl|NC_030992.1_cds_XP_018247811.1_15941.p1
OG0000733	XM_001590497.1.p1	lcl|NC_030995.1_cds_XP_018249502.1_21186.p1
OG0000735	XM_001592013.1.p1	lcl|NC_030998.1_cds_XP_018250687.1_24698.p1, lcl|NC_030991.1_cds_XP_018244376.1_13413.p1
OG0000736	XM_001598120.1.p1	lcl|NC_030995.1_cds_XP_018250168.1_21852.p1
OG0000736	XM_001586755.1.p1	lcl|NC_030989.1_cds_XP_018238602.1_9677.p1
OG0000737	XM_001585464.1.p1	lcl|NC_030993.1_cds_XP_018237106.1_17650.p1
OG0000738	XM_001589763.1.p1	lcl|NC_030987.1_cds_XP_018241855.1_4469.p1
OG0000739	XM_001591620.1.p1	lcl|NC_030989.1_cds_XP_018238220.1_9295.p1, lcl|NC_030990.1_cds_XP_018255341.1_10850.p1
OG0000740	XM_001594516.1.p1	lcl|NC_030993.1_cds_XP_018236598.1_17143.p1
OG0000740	XM_001587354.1.p1	lcl|NC_030995.1_cds_XP_018249807.1_21491.p1
OG0000741	XM_001597032.1.p1	lcl|NC_030998.1_cds_XP_018250686.1_24697.p1
OG0000741	XM_001585910.1.p1	lcl|NC_030987.1_cds_XP_018242226.1_4840.p1
OG0000742	XM_001597193.1.p1	lcl|NC_030989.1_cds_XP_018243413.1_8362.p1
OG0000742	XM_001598237.1.p1	lcl|NC_030986.1_cds_XP_018233085.1_2327.p1
OG0000743	XM_001597463.1.p1	lcl|NC_030986.1_cds_XP_018231985.1_1227.p1
OG0000743	XM_001591205.1.p1	lcl|NC_030986.1_cds_XP_018231986.1_1228.p1
OG0000751	XM_001589822.1.p1	lcl|NC_030995.1_cds_XP_018253299.1_21046.p1
OG0000751	XM_001596945.1.p1	lcl|NC_030994.1_cds_XP_018246406.1_19473.p1
OG0000752	XM_001597613.1.p1	lcl|NC_030986.1_cds_XP_018233023.1_2265.p1, lcl|NC_030988.1_cds_XP_018256617.1_6764.p1
OG0000753	XM_001587676.1.p1	lcl|NC_030989.1_cds_XP_018244063.1_9012.p1
OG0000753	XM_001591506.1.p1	lcl|NC_030989.1_cds_XP_018238906.1_9982.p1
OG0000754	XM_001593020.1.p1	lcl|NC_030996.1_cds_XP_018247054.1_22473.p1, lcl|NC_030994.1_cds_XP_018245969.1_19036.p1, lcl|NC_030987.1_cds_XP_018245729.1_5918.p1, lcl|NC_030986.1_cds_XP_018233803.1_3045.p1, lcl|NC_030996.1_cds_XP_018247370.1_22789.p1, lcl|NC_030992.1_cds_XP_018240045.1_14960.p1
OG0000755	XM_001596807.1.p1	lcl|NW_017264847.1_cds_XP_018257861.1_27022.p1, lcl|NC_030986.1_cds_XP_018255617.1_3468.p1
OG0000755	XM_001586833.1.p1	lcl|NC_030989.1_cds_XP_018243470.1_8419.p1
OG0000757	XM_001593138.1.p1	lcl|NC_030989.1_cds_XP_018243751.1_8700.p1
OG0000758	XM_001590577.1.p1	lcl|NC_030987.1_cds_XP_018245188.1_5377.p1
OG0000759	XM_001593983.1.p1	lcl|NC_030998.1_cds_XP_018250393.1_24404.p1, lcl|NC_030992.1_cds_XP_018240133.1_15048.p1
OG0000759	XM_001584997.1.p1	lcl|NC_030989.1_cds_XP_018239466.1_10541.p1
OG0000760	XM_001585827.1.p1	lcl|NC_030986.1_cds_XP_018249479.1_754.p1
OG0000760	XM_001596300.1.p1	lcl|NC_030993.1_cds_XP_018237515.1_18060.p1
OG0000760	XM_001598485.1.p1	lcl|NC_030994.1_cds_XP_018246670.1_19737.p1
OG0000761	XM_001592728.1.p1	lcl|NC_030989.1_cds_XP_018243434.1_8383.p1
OG0000761	XM_001592729.1.p1	lcl|NC_030989.1_cds_XP_018243435.1_8384.p1
OG0000762	XM_001585091.1.p1	lcl|NC_030989.1_cds_XP_018243256.1_8205.p1
OG0000763	XM_001590106.1.p1	lcl|NC_030990.1_cds_XP_018236050.1_12950.p1
OG0000763	XM_001591452.1.p1	lcl|NC_030992.1_cds_XP_018248345.1_16475.p1
OG0000764	XM_001589307.1.p1	lcl|NC_030986.1_cds_XP_018232392.1_1635.p1
OG0000766	XM_001584664.1.p1	lcl|NC_030997.1_cds_XP_018254139.1_23970.p1, lcl|NC_030987.1_cds_XP_018245004.1_5193.p1, lcl|NC_030987.1_cds_XP_018245005.1_5194.p1, lcl|NC_030995.1_cds_XP_018253024.1_20775.p1, lcl|NC_030988.1_cds_XP_018254846.1_7776.p1, lcl|NC_030986.1_cds_XP_018248919.1_194.p1
OG0000767	XM_001596669.1.p1	lcl|NC_030987.1_cds_XP_018241544.1_4158.p1
OG0000769	XM_001591980.1.p1	lcl|NC_030996.1_cds_XP_018247084.1_22503.p1
OG0000770	XM_001585905.1.p1	lcl|NC_030998.1_cds_XP_018250876.1_24887.p1
OG0000770	XM_001593837.1.p1	lcl|NC_030992.1_cds_XP_018240516.1_15431.p1
OG0000772	XM_001584884.1.p1	lcl|NC_030994.1_cds_XP_018246242.1_19309.p1
OG0000772	XM_001596787.1.p1	lcl|NC_030989.1_cds_XP_018243311.1_8260.p1
OG0000773	XM_001585787.1.p1	lcl|NC_030987.1_cds_XP_018244903.1_5092.p1
OG0000775	XM_001588040.1.p1	lcl|NC_030992.1_cds_XP_018240859.1_15774.p1
OG0000776	XM_001587360.1.p1, XM_001587558.1.p1	lcl|NC_030997.1_cds_XP_018252649.1_23674.p1, lcl|NC_030995.1_cds_XP_018258170.1_22040.p1
OG0000777	XM_001589734.1.p1	lcl|NC_030987.1_cds_XP_018242305.1_4922.p1
OG0000778	XM_001594705.1.p1	lcl|NC_030989.1_cds_XP_018239249.1_10324.p1
OG0000779	XM_001596814.1.p1	lcl|NC_030990.1_cds_XP_018234195.1_11095.p1
OG0000780	XM_001596764.1.p1	lcl|NC_030987.1_cds_XP_018245443.1_5632.p1
OG0000780	XM_001589984.1.p1	lcl|NC_030996.1_cds_XP_018257137.1_22136.p1
OG0000781	XM_001591637.1.p1	lcl|NC_030990.1_cds_XP_018235573.1_12473.p1
OG0000782	XM_001592743.1.p1	lcl|NC_030989.1_cds_XP_018243441.1_8390.p1
OG0000787	XM_001592534.1.p1	lcl|NC_030989.1_cds_XP_018238099.1_9174.p1
OG0000788	XM_001593948.1.p1	lcl|NC_030987.1_cds_XP_018241970.1_4584.p1
OG0000789	XM_001595138.1.p1	lcl|NC_030993.1_cds_XP_018256005.1_18633.p1
OG0000790	XM_001588711.1.p1	lcl|NC_030992.1_cds_XP_018248476.1_16606.p1
OG0000791	XM_001590505.1.p1	lcl|NC_030995.1_cds_XP_018249537.1_21221.p1
OG0000792	XM_001590492.1.p1	lcl|NC_030997.1_cds_XP_018252223.1_23248.p1
OG0000792	XM_001593640.1.p1	lcl|NC_030993.1_cds_XP_018237424.1_17969.p1
OG0000792	XM_001592943.1.p1	lcl|NC_030997.1_cds_XP_018254357.1_24188.p1
OG0000793	XM_001588947.1.p1	lcl|NC_030990.1_cds_XP_018235531.1_12432.p1
OG0000794	XM_001589028.1.p1	lcl|NC_030994.1_cds_XP_018246617.1_19684.p1
OG0000795	XM_001596838.1.p1	lcl|NW_017264847.1_cds_XP_018257823.1_26984.p1
OG0000796	XM_001590467.1.p1	lcl|NC_030994.1_cds_XP_018246246.1_19313.p1
OG0000796	XM_001597758.1.p1	lcl|NC_030992.1_cds_XP_018248121.1_16251.p1
OG0000797	XM_001586761.1.p1	lcl|NC_030990.1_cds_XP_018234738.1_11638.p1
OG0000798	XM_001591069.1.p1	lcl|NC_030994.1_cds_XP_018246395.1_19462.p1
OG0000799	XM_001598185.1.p1	lcl|NC_030993.1_cds_XP_018236785.1_17330.p1
OG0000800	XM_001586023.1.p1	lcl|NC_030993.1_cds_XP_018237835.1_18380.p1
OG0000800	XM_001592009.1.p1	lcl|NC_030992.1_cds_XP_018248366.1_16497.p1, lcl|NC_030995.1_cds_XP_018250251.1_21935.p1, lcl|NC_030992.1_cds_XP_018248661.1_16791.p1
OG0000801	XM_001595009.1.p1	lcl|NC_030990.1_cds_XP_018235956.1_12857.p1
OG0000802	XM_001596533.1.p1	lcl|NC_030998.1_cds_XP_018250941.1_24952.p1
OG0000803	XM_001592402.1.p1	lcl|NC_030986.1_cds_XP_018232595.1_1837.p1
OG0000803	XM_001594865.1.p1	lcl|NC_030990.1_cds_XP_018255372.1_10881.p1
OG0000804	XM_001586190.1.p1	lcl|NC_030994.1_cds_XP_018246375.1_19442.p1
OG0000806	XM_001590392.1.p1	lcl|NC_030987.1_cds_XP_018245799.1_5988.p1, lcl|NC_030998.1_cds_XP_018250418.1_24429.p1
OG0000806	XM_001589187.1.p1	lcl|NC_030986.1_cds_XP_018232104.1_1346.p1
OG0000807	XM_001587026.1.p1	lcl|NC_030987.1_cds_XP_018241255.1_3869.p1
OG0000807	XM_001597524.1.p1	lcl|NC_030986.1_cds_XP_018249067.1_342.p1
OG0000809	XM_001598101.1.p1	lcl|NC_030990.1_cds_XP_018235468.1_12368.p1
OG0000810	XM_001592962.1.p1	lcl|NC_030995.1_cds_XP_018253382.1_21133.p1
OG0000811	XM_001589102.1.p1	lcl|NC_030989.1_cds_XP_018238798.1_9873.p1
OG0000811	XM_001594369.1.p1	lcl|NC_030986.1_cds_XP_018231989.1_1231.p1
OG0000812	XM_001596379.1.p1	lcl|NC_030990.1_cds_XP_018255397.1_10906.p1
OG0000813	XM_001592242.1.p1	lcl|NC_030986.1_cds_XP_018232343.1_1585.p1, lcl|NC_030998.1_cds_XP_018250858.1_24869.p1
OG0000814	XM_001594454.1.p1	lcl|NC_030993.1_cds_XP_018237363.1_17913.p1
OG0000814	XM_001591234.1.p1	lcl|NC_030989.1_cds_XP_018238101.1_9176.p1
OG0000815	XM_001590827.1.p1	lcl|NC_030987.1_cds_XP_018245252.1_5441.p1
OG0000816	XM_001592788.1.p1	lcl|NC_030986.1_cds_XP_018233555.1_2797.p1, lcl|NC_030986.1_cds_XP_018233556.1_2798.p1
OG0000817	XM_001589496.1.p1	lcl|NC_030997.1_cds_XP_018252729.1_23754.p1, lcl|NC_030989.1_cds_XP_018243068.1_8017.p1
OG0000818	XM_001596889.1.p1	lcl|NC_030998.1_cds_XP_018250598.1_24609.p1, lcl|NW_017264850.1_cds_XP_018258374.1_26794.p1
OG0000819	XM_001595145.1.p1	lcl|NC_030986.1_cds_XP_018233940.1_3184.p1
OG0000820	XM_001592386.1.p1	lcl|NC_030986.1_cds_XP_018232527.1_1770.p1
OG0000820	XM_001596118.1.p1	lcl|NC_030994.1_cds_XP_018246441.1_19508.p1
OG0000821	XM_001596577.1.p1	lcl|NC_030986.1_cds_XP_018232464.1_1706.p1
OG0000821	XM_001594412.1.p1	lcl|NC_030986.1_cds_XP_018232111.1_1353.p1
OG0000822	XM_001597996.1.p1	lcl|NC_030988.1_cds_XP_018251865.1_6442.p1, lcl|NC_030989.1_cds_XP_018243767.1_8716.p1, lcl|NC_030999.1_cds_XP_018257348.1_25615.p1, lcl|NC_030991.1_cds_XP_018253514.1_14090.p1
OG0000823	XM_001594941.1.p1	lcl|NC_030986.1_cds_XP_018232314.1_1556.p1
OG0000824	XM_001596316.1.p1	lcl|NC_030994.1_cds_XP_018251467.1_20426.p1
OG0000833	XM_001585066.1.p1	lcl|NC_030987.1_cds_XP_018245151.1_5339.p1, lcl|NC_030987.1_cds_XP_018245150.1_5340.p1
OG0000835	XM_001590315.1.p1	lcl|NC_030990.1_cds_XP_018234800.1_11700.p1
OG0000835	XM_001594972.1.p1	lcl|NC_030994.1_cds_XP_018246197.1_19264.p1
OG0000837	XM_001589349.1.p1	lcl|NC_030986.1_cds_XP_018231738.1_980.p1, lcl|NC_030986.1_cds_XP_018231736.1_979.p1
OG0000838	XM_001585082.1.p1	lcl|NC_030989.1_cds_XP_018238777.1_9852.p1
OG0000839	XM_001586909.1.p1	lcl|NC_030998.1_cds_XP_018250420.1_24431.p1
OG0000840	XM_001590356.1.p1, XM_001598433.1.p1	lcl|NC_030993.1_cds_XP_018255970.1_18597.p1
OG0000840	XM_001591761.1.p1	lcl|NC_030989.1_cds_XP_018238908.1_9983.p1, lcl|NC_030996.1_cds_XP_018257146.1_22145.p1
OG0000842	XM_001590686.1.p1	lcl|NC_030995.1_cds_XP_018249511.1_21195.p1
OG0000842	XM_001590759.1.p1	lcl|NC_030995.1_cds_XP_018253172.1_20923.p1
OG0000843	XM_001595926.1.p1	lcl|NC_030987.1_cds_XP_018241950.1_4564.p1
OG0000844	XM_001588877.1.p1	lcl|NC_030992.1_cds_XP_018240660.1_15575.p1
OG0000846	XM_001590812.1.p1	lcl|NC_030987.1_cds_XP_018244915.1_5104.p1
OG0000848	XM_001593063.1.p1	lcl|NC_030986.1_cds_XP_018234064.1_3306.p1, lcl|NC_030986.1_cds_XP_018255696.1_3547.p1, lcl|NC_030990.1_cds_XP_018236271.1_13171.p1, lcl|NC_030986.1_cds_XP_018255702.1_3553.p1, lcl|NC_030990.1_cds_XP_018236272.1_13172.p1, lcl|NC_030986.1_cds_XP_018233553.1_2795.p1
OG0000849	XM_001598887.1.p1	lcl|NC_030994.1_cds_XP_018251421.1_20380.p1
OG0000850	XM_001591407.1.p1	lcl|NC_030986.1_cds_XP_018231894.1_1136.p1
OG0000850	XM_001598854.1.p1, XM_001592294.1.p1	lcl|NC_030986.1_cds_XP_018233906.1_3148.p1, lcl|NC_030989.1_cds_XP_018238173.1_9248.p1
OG0000851	XM_001598336.1.p1	lcl|NC_030993.1_cds_XP_018256032.1_18659.p1
OG0000851	XM_001589806.1.p1	lcl|NC_030986.1_cds_XP_018233687.1_2934.p1
OG0000852	XM_001595780.1.p1	lcl|NW_017264858.1_cds_XP_018258689.1_26496.p1
OG0000852	XM_001592475.1.p1	lcl|NC_030986.1_cds_XP_018232045.1_1287.p1
OG0000853	XM_001591040.1.p1	lcl|NC_030986.1_cds_XP_018231828.1_1070.p1
OG0000855	XM_001591217.1.p1	lcl|NC_030986.1_cds_XP_018232380.1_1622.p1
OG0000856	XM_001593053.1.p1	lcl|NC_030986.1_cds_XP_018233769.1_3011.p1, lcl|NC_030986.1_cds_XP_018233770.1_3012.p1
OG0000856	XM_001592531.1.p1	lcl|NC_030986.1_cds_XP_018232063.1_1305.p1, lcl|NC_030988.1_cds_XP_018242560.1_7188.p1
OG0000857	XM_001593980.1.p1	lcl|NC_030997.1_cds_XP_018252694.1_23719.p1, lcl|NC_030989.1_cds_XP_018238272.1_9347.p1
OG0000858	XM_001595785.1.p1	lcl|NC_030989.1_cds_XP_018243937.1_8886.p1
OG0000859	XM_001598727.1.p1	lcl|NC_030992.1_cds_XP_018240126.1_15041.p1
OG0000860	XM_001597972.1.p1	lcl|NC_030994.1_cds_XP_018246763.1_19830.p1
OG0000861	XM_001591332.1.p1	lcl|NC_030991.1_cds_XP_018253596.1_14172.p1, lcl|NC_030988.1_cds_XP_018251844.1_6421.p1, lcl|NC_030988.1_cds_XP_018254756.1_7686.p1, lcl|NC_031000.1_cds_XP_018255916.1_26254.p1
OG0000862	XM_001597870.1.p1	lcl|NC_030995.1_cds_XP_018249720.1_21404.p1
OG0000863	XM_001597318.1.p1	lcl|NC_030986.1_cds_XP_018231928.1_1171.p1, lcl|NC_030986.1_cds_XP_018231929.1_1172.p1
OG0000863	XM_001596881.1.p1	lcl|NC_030986.1_cds_XP_018231910.1_1152.p1
OG0000864	XM_001593637.1.p1	lcl|NC_030995.1_cds_XP_018253290.1_21041.p1
OG0000864	XM_001589072.1.p1	lcl|NC_030987.1_cds_XP_018245448.1_5637.p1
OG0000865	XM_001593989.1.p1	lcl|NC_030992.1_cds_XP_018240536.1_15454.p1, lcl|NC_030992.1_cds_XP_018240539.1_15451.p1
OG0000866	XM_001590913.1.p1, XM_001598347.1.p1	lcl|NC_030992.1_cds_XP_018248410.1_16540.p1, lcl|NC_030992.1_cds_XP_018248409.1_16539.p1, lcl|NC_030992.1_cds_XP_018239508.1_14423.p1, lcl|NC_030986.1_cds_XP_018233223.1_2465.p1
OG0000867	XM_001592201.1.p1	lcl|NC_030995.1_cds_XP_018249828.1_21512.p1
OG0000868	XM_001596445.1.p1	lcl|NC_030988.1_cds_XP_018242573.1_7201.p1, lcl|NC_030991.1_cds_XP_018244509.1_13546.p1, lcl|NC_030988.1_cds_XP_018242895.1_7523.p1, lcl|NC_030988.1_cds_XP_018256759.1_6906.p1, lcl|NC_030987.1_cds_XP_018244873.1_5062.p1
OG0000869	XM_001586557.1.p1	lcl|NC_030990.1_cds_XP_018235015.1_11915.p1
OG0000870	XM_001589082.1.p1	lcl|NC_030988.1_cds_XP_018251881.1_6458.p1, lcl|NC_030987.1_cds_XP_018245387.1_5576.p1
OG0000871	XM_001584684.1.p1	lcl|NC_030986.1_cds_XP_018249171.1_446.p1
OG0000872	XM_001598410.1.p1	lcl|NC_030990.1_cds_XP_018235241.1_12141.p1
OG0000873	XM_001587510.1.p1	lcl|NC_030997.1_cds_XP_018252371.1_23396.p1
OG0000873	XM_001585855.1.p1	lcl|NC_030991.1_cds_XP_018253491.1_14067.p1, lcl|NC_030993.1_cds_XP_018256107.1_18734.p1, lcl|NC_030999.1_cds_XP_018258502.1_25537.p1, lcl|NC_030993.1_cds_XP_018236554.1_17099.p1
OG0000873	XM_001585718.1.p1, XM_001595219.1.p1	lcl|NC_030996.1_cds_XP_018257132.1_22131.p1
OG0000873	XM_001594231.1.p1	lcl|NC_030989.1_cds_XP_018239204.1_10279.p1
OG0000879	XM_001589058.1.p1	lcl|NC_030987.1_cds_XP_018244965.1_5154.p1
OG0000880	XM_001594610.1.p1	lcl|NC_030995.1_cds_XP_018250156.1_21840.p1, lcl|NC_030995.1_cds_XP_018250107.1_21791.p1
OG0000881	XM_001598078.1.p1	lcl|NC_030990.1_cds_XP_018234243.1_11143.p1
OG0000882	XM_001591123.1.p1	lcl|NC_030989.1_cds_XP_018243908.1_8857.p1
OG0000883	XM_001592684.1.p1	lcl|NC_030998.1_cds_XP_018250727.1_24738.p1, lcl|NC_030986.1_cds_XP_018249283.1_558.p1
OG0000885	XM_001595409.1.p1	lcl|NC_030990.1_cds_XP_018235688.1_12588.p1, lcl|NC_030993.1_cds_XP_018236846.1_17391.p1
OG0000886	XM_001597766.1.p1	lcl|NC_030990.1_cds_XP_018234809.1_11709.p1
OG0000887	XM_001590479.1.p1	lcl|NC_030994.1_cds_XP_018246346.1_19413.p1
OG0000888	XM_001588156.1.p1	lcl|NC_030992.1_cds_XP_018240077.1_14992.p1
OG0000889	XM_001587720.1.p1	lcl|NC_030989.1_cds_XP_018244147.1_9096.p1
OG0000890	XM_001595595.1.p1	lcl|NC_030990.1_cds_XP_018255143.1_10653.p1, lcl|NC_030986.1_cds_XP_018249433.1_708.p1
OG0000891	XM_001596381.1.p1	lcl|NC_030992.1_cds_XP_018240569.1_15484.p1
OG0000892	XM_001589455.1.p1	lcl|NC_030986.1_cds_XP_018233231.1_2473.p1
OG0000893	XM_001593810.1.p1	lcl|NC_030993.1_cds_XP_018237044.1_17589.p1
OG0000894	XM_001594761.1.p1	lcl|NC_030993.1_cds_XP_018236543.1_17088.p1
OG0000895	XM_001589295.1.p1	lcl|NC_030998.1_cds_XP_018257633.1_25045.p1, lcl|NC_030989.1_cds_XP_018238359.1_9434.p1
OG0000896	XM_001598113.1.p1	lcl|NC_030998.1_cds_XP_018257748.1_25160.p1
OG0000898	XM_001594950.1.p1	lcl|NC_030990.1_cds_XP_018234675.1_11575.p1
OG0000901	XM_001594946.1.p1	lcl|NC_030986.1_cds_XP_018231578.1_820.p1
OG0000902	XM_001590403.1.p1	lcl|NC_030989.1_cds_XP_018238688.1_9763.p1
OG0000902	XM_001597563.1.p1	lcl|NC_030987.1_cds_XP_018245377.1_5566.p1
OG0000903	XM_001589185.1.p1, XM_001589229.1.p1	lcl|NC_030993.1_cds_XP_018237747.1_18290.p1, lcl|NC_030993.1_cds_XP_018237745.1_18291.p1, lcl|NC_030990.1_cds_XP_018236118.1_13018.p1
OG0000905	XM_001585973.1.p1	lcl|NC_030989.1_cds_XP_018238576.1_9651.p1
OG0000906	XM_001598656.1.p1	lcl|NC_030996.1_cds_XP_018247759.1_23178.p1, lcl|NC_030986.1_cds_XP_018249157.1_432.p1
OG0000907	XM_001594766.1.p1	lcl|NC_030986.1_cds_XP_018249494.1_769.p1
OG0000909	XM_001592755.1.p1	lcl|NC_030986.1_cds_XP_018233442.1_2684.p1
OG0000910	XM_001591606.1.p1	lcl|NC_030989.1_cds_XP_018243645.1_8594.p1
OG0000911	XM_001586116.1.p1	lcl|NC_030990.1_cds_XP_018234589.1_11489.p1
