Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Ustilago_maydis_rna_prot
OG0000958	XM_001588449.1.p1	XM_011392493.1.p1
OG0000959	XM_001593888.1.p1	XM_011389200.1.p1, XM_011392759.1.p1
OG0000960	XM_001598732.1.p1, XM_001587310.1.p1	XM_011389730.1.p1
OG0000964	XM_001593840.1.p1, XM_001598313.1.p1	XM_011392635.1.p1
OG0000965	XM_001585357.1.p1	XM_011392816.1.p1
OG0000966	XM_001585978.1.p1	XM_011389648.1.p1
OG0000968	XM_001586768.1.p1	XM_011387999.1.p1
OG0000969	XM_001592200.1.p1	XM_011394161.1.p1
OG0000970	XM_001587938.1.p1	XM_011391324.1.p1
OG0000971	XM_001585772.1.p1	XM_011388260.1.p1
OG0000972	XM_001597384.1.p1	XM_011388311.1.p1
OG0000974	XM_001594163.1.p1	XM_011393948.1.p1
OG0000974	XM_001594159.1.p1	XM_011387913.1.p1
OG0000975	XM_001590008.1.p1	XM_011388495.1.p1
OG0000983	XM_001587127.1.p1	XM_011388714.1.p1
OG0000986	XM_001589957.1.p1	XM_011389299.1.p1
OG0000987	XM_001586400.1.p1	XM_011391737.1.p1
OG0000990	XM_001587667.1.p1	XM_011389681.1.p1
OG0000991	XM_001584614.1.p1, XM_001588147.1.p1	XM_011393760.1.p1
OG0000993	XM_001592118.1.p1	XM_011389840.1.p1
OG0000994	XM_001598761.1.p1	XM_011390527.1.p1
OG0000995	XM_001598657.1.p1	XM_011389873.1.p1
OG0000996	XM_001585239.1.p1	XM_011388977.1.p1
OG0000997	XM_001597390.1.p1	XM_011391755.1.p1
OG0000998	XM_001586122.1.p1	XM_011390281.1.p1
OG0001000	XM_001588995.1.p1	XM_011393414.1.p1
OG0001002	XM_001591895.1.p1	XM_011391537.1.p1
OG0001003	XM_001586491.1.p1	XM_011391834.1.p1
OG0001004	XM_001591998.1.p1, XM_001590075.1.p1	XM_011394235.1.p1
OG0001007	XM_001584998.1.p1, XM_001597153.1.p1	XM_011392121.1.p1
OG0001010	XM_001587714.1.p1	XM_011391215.1.p1
OG0001013	XM_001595593.1.p1	XM_011388100.1.p1
OG0001014	XM_001598170.1.p1	XM_011388277.1.p1
OG0001018	XM_001589900.1.p1	XM_011389292.1.p1
OG0001020	XM_001587899.1.p1, XM_001598910.1.p1	XM_011392329.1.p1
OG0001021	XM_001596254.1.p1	XM_011389313.1.p1
OG0001022	XM_001584957.1.p1, XM_001592881.1.p1	XM_011389149.1.p1
OG0001023	XM_001589690.1.p1	XM_011389988.1.p1
OG0001024	XM_001590102.1.p1	XM_011390841.1.p1
OG0001025	XM_001597615.1.p1	XM_011387807.1.p1
OG0001028	XM_001595420.1.p1	XM_011388878.1.p1
OG0001029	XM_001597029.1.p1	XM_011391268.1.p1
OG0001030	XM_001590150.1.p1	XM_011391717.1.p1
OG0001031	XM_001598290.1.p1	XM_011388982.1.p1
OG0001032	XM_001592750.1.p1	XM_011390411.1.p1
OG0001033	XM_001593019.1.p1	XM_011388674.1.p1
OG0001034	XM_001589286.1.p1	XM_011390167.1.p1
OG0001035	XM_001591201.1.p1	XM_011390033.1.p1, XM_011390640.1.p1
OG0001037	XM_001585833.1.p1	XM_011393429.1.p1
OG0001038	XM_001584660.1.p1	XM_011390212.1.p1
OG0001039	XM_001589840.1.p1	XM_011388373.1.p1
OG0001040	XM_001585509.1.p1	XM_011387988.1.p1
OG0001041	XM_001595956.1.p1	XM_011389295.1.p1
OG0001043	XM_001588858.1.p1	XM_011388105.1.p1, XM_011391622.1.p1, XM_011387722.1.p1
OG0001044	XM_001594810.1.p1, XM_001585034.1.p1	XM_011388837.1.p1
OG0001061	XM_001598663.1.p1	XM_011388624.1.p1
OG0001063	XM_001594182.1.p1	XM_011389742.1.p1
OG0001064	XM_001585284.1.p1	XM_011392835.1.p1
OG0001065	XM_001596255.1.p1	XM_011393370.1.p1, XM_011389374.1.p1
OG0001066	XM_001597746.1.p1, XM_001589877.1.p1	XM_011391534.1.p1, XM_011389072.1.p1, XM_011390963.1.p1
OG0001067	XM_001586413.1.p1, XM_001586670.1.p1, XM_001590538.1.p1	XM_011393021.1.p1
OG0001068	XM_001594868.1.p1	XM_011389837.1.p1
OG0001069	XM_001592162.1.p1	XM_011389373.1.p1
OG0001070	XM_001587376.1.p1	XM_011392782.1.p1
OG0001071	XM_001592045.1.p1	XM_011392667.1.p1
OG0001072	XM_001594382.1.p1	XM_011389387.1.p1, XM_011392183.1.p1
OG0001073	XM_001592588.1.p1	XM_011391580.1.p1, XM_011389137.1.p1
OG0001075	XM_001598429.1.p1	XM_011389054.1.p1
OG0001076	XM_001598603.1.p1, XM_001595171.1.p1	XM_011393679.1.p1
OG0001077	XM_001595998.1.p1	XM_011391988.1.p1
OG0001078	XM_001590375.1.p1	XM_011394023.1.p1
OG0001081	XM_001593141.1.p1, XM_001588384.1.p1	XM_011389543.1.p1
OG0001082	XM_001597171.1.p1	XM_011393745.1.p1
OG0001083	XM_001584635.1.p1	XM_011392737.1.p1, XM_011388425.1.p1, XM_011393404.1.p1
OG0001084	XM_001589263.1.p1	XM_011388325.1.p1
OG0001085	XM_001591188.1.p1	XM_011388812.1.p1
OG0001086	XM_001593619.1.p1	XM_011391979.1.p1
OG0001088	XM_001598916.1.p1	XM_011391950.1.p1
OG0001090	XM_001587887.1.p1	XM_011391763.1.p1
OG0001091	XM_001584643.1.p1	XM_011392314.1.p1
OG0001092	XM_001591597.1.p1	XM_011388500.1.p1
OG0001093	XM_001593447.1.p1	XM_011394156.1.p1
OG0001095	XM_001593519.1.p1	XM_011390020.1.p1
OG0001098	XM_001590638.1.p1, XM_001584687.1.p1	XM_011391378.1.p1
OG0001099	XM_001587319.1.p1	XM_011391882.1.p1
OG0001102	XM_001584733.1.p1	XM_011390255.1.p1
OG0001103	XM_001592955.1.p1, XM_001588227.1.p1	XM_011389144.1.p1
OG0001105	XM_001592782.1.p1	XM_011391072.1.p1
OG0001107	XM_001593873.1.p1	XM_011391132.1.p1
OG0001108	XM_001585014.1.p1	XM_011394260.1.p1
OG0001109	XM_001593892.1.p1	XM_011390927.1.p1
OG0001110	XM_001593845.1.p1	XM_011388622.1.p1
OG0001112	XM_001592330.1.p1	XM_011393194.1.p1
OG0001114	XM_001588042.1.p1, XM_001594347.1.p1	XM_011388442.1.p1
OG0001116	XM_001587754.1.p1	XM_011392810.1.p1, XM_011388456.1.p1, XM_011394202.1.p1
OG0001117	XM_001587235.1.p1, XM_001589260.1.p1	XM_011391891.1.p1
OG0001118	XM_001590650.1.p1	XM_011388834.1.p1
OG0001119	XM_001587563.1.p1	XM_011387911.1.p1
OG0001120	XM_001591426.1.p1, XM_001593250.1.p1	XM_011392976.1.p1
OG0001121	XM_001593046.1.p1	XM_011391288.1.p1
OG0001122	XM_001594924.1.p1	XM_011388447.1.p1
OG0001123	XM_001592405.1.p1	XM_011390524.1.p1
OG0001124	XM_001598830.1.p1	XM_011389172.1.p1
OG0001126	XM_001590062.1.p1	XM_011391538.1.p1
OG0001127	XM_001590729.1.p1	XM_011387834.1.p1
OG0001128	XM_001594215.1.p1	XM_011391443.1.p1
OG0001129	XM_001595650.1.p1	XM_011392575.1.p1
OG0001130	XM_001590691.1.p1	XM_011388802.1.p1
OG0001131	XM_001591289.1.p1, XM_001597050.1.p1	XM_011393908.1.p1
OG0001132	XM_001589184.1.p1, XM_001597308.1.p1	XM_011394213.1.p1
OG0001135	XM_001592071.1.p1	XM_011388180.1.p1
OG0001146	XM_001587854.1.p1	XM_011393791.1.p1
OG0001150	XM_001585637.1.p1, XM_001586145.1.p1	XM_011392018.1.p1
OG0001151	XM_001586398.1.p1	XM_011391210.1.p1
OG0001152	XM_001585966.1.p1	XM_011389880.1.p1
OG0001153	XM_001585409.1.p1	XM_011393416.1.p1
OG0001154	XM_001596258.1.p1	XM_011390785.1.p1
OG0001155	XM_001593807.1.p1	XM_011394456.1.p1
OG0001156	XM_001587763.1.p1	XM_011389815.1.p1
OG0001157	XM_001585113.1.p1	XM_011389128.1.p1
OG0001159	XM_001593742.1.p1	XM_011390409.1.p1
OG0001160	XM_001597233.1.p1	XM_011390683.1.p1
OG0001161	XM_001597319.1.p1	XM_011391037.1.p1
OG0001162	XM_001592594.1.p1	XM_011387772.1.p1, XM_011393622.1.p1
OG0001163	XM_001595298.1.p1, XM_001594217.1.p1, XM_001590240.1.p1	XM_011394430.1.p1, XM_011388986.1.p1
OG0001164	XM_001586609.1.p1	XM_011394118.1.p1
OG0001166	XM_001590617.1.p1	XM_011393898.1.p1
OG0001168	XM_001589673.1.p1, XM_001595545.1.p1	XM_011392323.1.p1
OG0001171	XM_001597826.1.p1	XM_011394204.1.p1
OG0001173	XM_001598301.1.p1	XM_011390842.1.p1
OG0001175	XM_001596458.1.p1, XM_001595154.1.p1	XM_011390045.1.p1, XM_011391302.1.p1, XM_011392829.1.p1
OG0001177	XM_001594947.1.p1	XM_011391846.1.p1
OG0001178	XM_001589035.1.p1	XM_011394301.1.p1
OG0001179	XM_001593660.1.p1	XM_011387784.1.p1
OG0001180	XM_001596694.1.p1	XM_011390535.1.p1
OG0001182	XM_001594846.1.p1	XM_011394387.1.p1
OG0001183	XM_001590324.1.p1	XM_011392589.1.p1
OG0001184	XM_001594370.1.p1	XM_011391800.1.p1
OG0001185	XM_001586426.1.p1	XM_011393539.1.p1, XM_011390356.1.p1
OG0001186	XM_001592367.1.p1	XM_011389502.1.p1
OG0001187	XM_001586559.1.p1	XM_011392777.1.p1
OG0001188	XM_001596042.1.p1, XM_001597194.1.p1	XM_011393350.1.p1
OG0001190	XM_001593245.1.p1	XM_011390926.1.p1
OG0001192	XM_001586300.1.p1	XM_011390375.1.p1
OG0001192	XM_001589019.1.p1	XM_011389565.1.p1
OG0001193	XM_001591587.1.p1	XM_011388739.1.p1
OG0001196	XM_001588984.1.p1	XM_011388458.1.p1
OG0001197	XM_001590968.1.p1	XM_011393741.1.p1
OG0001198	XM_001589197.1.p1, XM_001597467.1.p1	XM_011393768.1.p1
OG0001199	XM_001586739.1.p1	XM_011392943.1.p1
OG0001200	XM_001586874.1.p1	XM_011391331.1.p1, XM_011390132.1.p1
OG0001201	XM_001595554.1.p1	XM_011390050.1.p1
OG0001201	XM_001593213.1.p1	XM_011389001.1.p1
OG0001203	XM_001595223.1.p1	XM_011389453.1.p1
OG0001204	XM_001587531.1.p1	XM_011393903.1.p1
OG0001205	XM_001597608.1.p1	XM_011393707.1.p1
OG0001206	XM_001590495.1.p1	XM_011387897.1.p1
OG0001207	XM_001598174.1.p1	XM_011388891.1.p1, XM_011392023.1.p1
OG0001208	XM_001585675.1.p1	XM_011391911.1.p1
OG0001209	XM_001584711.1.p1	XM_011389925.1.p1
OG0001210	XM_001593130.1.p1	XM_011389121.1.p1
OG0001212	XM_001587505.1.p1	XM_011390688.1.p1
OG0001213	XM_001586026.1.p1	XM_011390221.1.p1
OG0001214	XM_001594629.1.p1	XM_011390694.1.p1
OG0001215	XM_001598435.1.p1	XM_011388591.1.p1
OG0001216	XM_001587846.1.p1	XM_011390922.1.p1
OG0001217	XM_001584573.1.p1	XM_011389834.1.p1
OG0001218	XM_001585042.1.p1	XM_011387989.1.p1
OG0001219	XM_001598205.1.p1	XM_011389912.1.p1
OG0001220	XM_001598294.1.p1, XM_001590652.1.p1	XM_011388726.1.p1
OG0001221	XM_001587099.1.p1	XM_011391792.1.p1
OG0001222	XM_001586044.1.p1	XM_011394255.1.p1
OG0001223	XM_001596735.1.p1	XM_011389889.1.p1
OG0001224	XM_001591829.1.p1	XM_011389430.1.p1
OG0001227	XM_001598832.1.p1	XM_011388454.1.p1
OG0001229	XM_001591967.1.p1	XM_011390381.1.p1
OG0001240	XM_001594618.1.p1	XM_011394234.1.p1
OG0001241	XM_001591997.1.p1	XM_011390541.1.p1
OG0001242	XM_001594852.1.p1, XM_001592817.1.p1, XM_001585350.1.p1	XM_011394400.1.p1
OG0001244	XM_001587402.1.p1	XM_011390664.1.p1
OG0001245	XM_001598019.1.p1	XM_011389335.1.p1
OG0001246	XM_001596306.1.p1	XM_011391454.1.p1
OG0001247	XM_001595279.1.p1	XM_011389701.1.p1
OG0001248	XM_001597052.1.p1	XM_011390421.1.p1
OG0001249	XM_001590861.1.p1	XM_011393460.1.p1
OG0001250	XM_001585219.1.p1	XM_011388327.1.p1
OG0001251	XM_001597911.1.p1	XM_011388783.1.p1
OG0001252	XM_001589710.1.p1	XM_011389229.1.p1
OG0001253	XM_001594361.1.p1	XM_011392290.1.p1, XM_011388936.1.p1
OG0001254	XM_001594431.1.p1	XM_011393224.1.p1
OG0001255	XM_001585594.1.p1	XM_011393011.1.p1
OG0001256	XM_001597117.1.p1	XM_011392974.1.p1
OG0001259	XM_001587500.1.p1, XM_001595026.1.p1	XM_011387762.1.p1
OG0001260	XM_001591210.1.p1	XM_011393835.1.p1
OG0001261	XM_001592688.1.p1	XM_011388628.1.p1
OG0001262	XM_001584906.1.p1, XM_001592747.1.p1	XM_011393702.1.p1
OG0001263	XM_001593392.1.p1	XM_011388809.1.p1
OG0001266	XM_001594795.1.p1	XM_011393409.1.p1
OG0001268	XM_001595596.1.p1	XM_011393495.1.p1
OG0001270	XM_001592691.1.p1	XM_011392500.1.p1
OG0001271	XM_001587646.1.p1	XM_011391781.1.p1
OG0001272	XM_001592903.1.p1	XM_011391318.1.p1
OG0001273	XM_001598707.1.p1	XM_011388388.1.p1
OG0001275	XM_001588945.1.p1	XM_011388556.1.p1
OG0001276	XM_001596955.1.p1	XM_011391869.1.p1
OG0001277	XM_001588770.1.p1	XM_011392155.1.p1
OG0001278	XM_001597610.1.p1	XM_011392597.1.p1
OG0001279	XM_001591890.1.p1	XM_011393703.1.p1
OG0001280	XM_001586262.1.p1	XM_011392505.1.p1
OG0001281	XM_001584702.1.p1	XM_011393453.1.p1
OG0001282	XM_001595958.1.p1	XM_011392545.1.p1
OG0001283	XM_001590433.1.p1, XM_001597865.1.p1	XM_011393393.1.p1
OG0001286	XM_001585616.1.p1	XM_011391728.1.p1
OG0001287	XM_001586319.1.p1	XM_011391346.1.p1
OG0001288	XM_001590210.1.p1	XM_011391868.1.p1
OG0001290	XM_001588613.1.p1	XM_011391093.1.p1
OG0001291	XM_001589450.1.p1	XM_011389386.1.p1
OG0001292	XM_001595039.1.p1	XM_011387692.1.p1
OG0001293	XM_001592260.1.p1	XM_011391362.1.p1
OG0001294	XM_001590764.1.p1, XM_001594184.1.p1	XM_011392074.1.p1
OG0001295	XM_001587939.1.p1	XM_011394355.1.p1
OG0001296	XM_001585953.1.p1	XM_011394442.1.p1
OG0001297	XM_001591937.1.p1	XM_011390568.1.p1
OG0001298	XM_001595056.1.p1	XM_011393681.1.p1
OG0001299	XM_001596175.1.p1	XM_011390536.1.p1
OG0001300	XM_001586937.1.p1	XM_011390070.1.p1
OG0001302	XM_001593610.1.p1	XM_011390225.1.p1
OG0001303	XM_001591817.1.p1	XM_011389105.1.p1
OG0001304	XM_001591192.1.p1	XM_011391246.1.p1
OG0001305	XM_001592167.1.p1	XM_011393332.1.p1
OG0001306	XM_001592155.1.p1	XM_011390438.1.p1
OG0001307	XM_001597316.1.p1	XM_011391873.1.p1
OG0001308	XM_001586167.1.p1	XM_011388085.1.p1
OG0001309	XM_001594213.1.p1	XM_011391336.1.p1
OG0001310	XM_001594188.1.p1	XM_011393422.1.p1
OG0001311	XM_001598187.1.p1	XM_011390946.1.p1
OG0001313	XM_001584723.1.p1	XM_011392919.1.p1
OG0001314	XM_001587845.1.p1	XM_011387925.1.p1
OG0001317	XM_001587842.1.p1	XM_011388215.1.p1
OG0001318	XM_001597396.1.p1	XM_011389496.1.p1
OG0001319	XM_001591640.1.p1	XM_011390325.1.p1
OG0001320	XM_001587379.1.p1	XM_011390261.1.p1
OG0001321	XM_001598937.1.p1	XM_011393511.1.p1
OG0001321	XM_001594406.1.p1, XM_001598936.1.p1	XM_011390863.1.p1
OG0001322	XM_001585388.1.p1	XM_011394392.1.p1, XM_011392781.1.p1
OG0001323	XM_001596853.1.p1	XM_011393309.1.p1
OG0001324	XM_001594829.1.p1	XM_011391358.1.p1
OG0001326	XM_001592619.1.p1	XM_011389999.1.p1
OG0001335	XM_001593152.1.p1	XM_011393857.1.p1
OG0001336	XM_001596324.1.p1	XM_011393227.1.p1
OG0001337	XM_001586758.1.p1	XM_011391303.1.p1
OG0001339	XM_001588334.1.p1	XM_011390984.1.p1
OG0001340	XM_001585646.1.p1	XM_011393701.1.p1
OG0001341	XM_001585322.1.p1	XM_011390291.1.p1
OG0001345	XM_001594772.1.p1	XM_011390044.1.p1
OG0001346	XM_001594790.1.p1	XM_011393338.1.p1
OG0001347	XM_001588165.1.p1	XM_011393462.1.p1
OG0001348	XM_001587711.1.p1	XM_011388219.1.p1
OG0001349	XM_001585733.1.p1	XM_011394327.1.p1
OG0001350	XM_001594034.1.p1	XM_011388331.1.p1
OG0001351	XM_001587708.1.p1	XM_011391243.1.p1
OG0001352	XM_001586665.1.p1	XM_011389071.1.p1
OG0001353	XM_001591623.1.p1	XM_011391059.1.p1
OG0001354	XM_001592719.1.p1	XM_011388589.1.p1
OG0001356	XM_001585187.1.p1	XM_011391820.1.p1
OG0001357	XM_001596863.1.p1	XM_011393408.1.p1
OG0001358	XM_001597450.1.p1	XM_011391069.1.p1
OG0001359	XM_001587161.1.p1	XM_011388820.1.p1
OG0001360	XM_001586985.1.p1	XM_011389857.1.p1
OG0001362	XM_001591944.1.p1	XM_011393527.1.p1
OG0001363	XM_001598194.1.p1	XM_011392541.1.p1
OG0001364	XM_001587004.1.p1	XM_011394164.1.p1
OG0001365	XM_001590890.1.p1	XM_011387771.1.p1
OG0001366	XM_001596179.1.p1, XM_001589539.1.p1, XM_001595151.1.p1	XM_011387767.1.p1
OG0001367	XM_001595176.1.p1	XM_011391607.1.p1
OG0001368	XM_001596704.1.p1	XM_011393761.1.p1
OG0001369	XM_001597173.1.p1	XM_011387777.1.p1
OG0001371	XM_001597570.1.p1	XM_011389916.1.p1
OG0001372	XM_001594988.1.p1	XM_011393555.1.p1
OG0001373	XM_001587954.1.p1	XM_011392378.1.p1
OG0001375	XM_001588248.1.p1	XM_011390874.1.p1
OG0001377	XM_001584620.1.p1	XM_011389509.1.p1, XM_011393749.1.p1
OG0001378	XM_001593740.1.p1	XM_011393226.1.p1
OG0001379	XM_001590461.1.p1	XM_011391296.1.p1
OG0001381	XM_001597963.1.p1, XM_001598755.1.p1	XM_011391927.1.p1
OG0001383	XM_001597060.1.p1	XM_011392767.1.p1
OG0001384	XM_001584676.1.p1, XM_001584677.1.p1	XM_011392025.1.p1
OG0001385	XM_001590507.1.p1	XM_011389858.1.p1
OG0001386	XM_001594603.1.p1	XM_011390219.1.p1
OG0001387	XM_001590581.1.p1	XM_011392967.1.p1
OG0001388	XM_001595837.1.p1	XM_011390348.1.p1
OG0001389	XM_001594385.1.p1	XM_011393585.1.p1
OG0001390	XM_001593629.1.p1	XM_011388642.1.p1
OG0001391	XM_001593760.1.p1	XM_011388647.1.p1
OG0001392	XM_001591018.1.p1	XM_011388020.1.p1
OG0001393	XM_001587430.1.p1	XM_011393449.1.p1
OG0001394	XM_001595447.1.p1	XM_011392136.1.p1
OG0001395	XM_001595940.1.p1	XM_011388689.1.p1
OG0001397	XM_001597458.1.p1	XM_011389038.1.p1
OG0001401	XM_001585941.1.p1	XM_011393929.1.p1
OG0001402	XM_001598084.1.p1	XM_011390427.1.p1
OG0001404	XM_001588050.1.p1	XM_011393952.1.p1
OG0001406	XM_001592275.1.p1	XM_011391975.1.p1
OG0001407	XM_001591124.1.p1	XM_011390165.1.p1
OG0001408	XM_001598811.1.p1	XM_011390681.1.p1
OG0001409	XM_001594864.1.p1	XM_011391463.1.p1
OG0001411	XM_001592806.1.p1	XM_011392762.1.p1
OG0001412	XM_001590469.1.p1	XM_011394256.1.p1
OG0001415	XM_001596226.1.p1, XM_001598472.1.p1	XM_011389725.1.p1
OG0001416	XM_001598452.1.p1	XM_011393330.1.p1
OG0001417	XM_001593177.1.p1	XM_011391406.1.p1
OG0001418	XM_001591514.1.p1	XM_011390567.1.p1
OG0001420	XM_001590398.1.p1	XM_011393530.1.p1
OG0001421	XM_001595574.1.p1	XM_011388206.1.p1
OG0001422	XM_001590100.1.p1	XM_011393805.1.p1
OG0001423	XM_001585238.1.p1, XM_001597234.1.p1	XM_011389073.1.p1
OG0001424	XM_001589412.1.p1	XM_011393839.1.p1, XM_011387700.1.p1
OG0001425	XM_001597305.1.p1	XM_011393546.1.p1
OG0001426	XM_001591173.1.p1	XM_011391978.1.p1
OG0001427	XM_001593871.1.p1	XM_011390778.1.p1
OG0001428	XM_001588090.1.p1	XM_011390358.1.p1
OG0001430	XM_001588184.1.p1	XM_011389610.1.p1
OG0001432	XM_001593969.1.p1, XM_001585343.1.p1	XM_011391938.1.p1
OG0001433	XM_001585693.1.p1, XM_001585692.1.p1	XM_011392763.1.p1
OG0001435	XM_001591027.1.p1	XM_011388925.1.p1
OG0001436	XM_001594967.1.p1	XM_011393512.1.p1
OG0001437	XM_001595220.1.p1, XM_001598482.1.p1	XM_011390888.1.p1
OG0001440	XM_001593418.1.p1	XM_011393993.1.p1
OG0001441	XM_001591502.1.p1	XM_011392825.1.p1, XM_011388883.1.p1
OG0001442	XM_001596523.1.p1	XM_011392021.1.p1
OG0001443	XM_001591497.1.p1	XM_011388514.1.p1
OG0001444	XM_001598154.1.p1	XM_011388112.1.p1
OG0001445	XM_001592332.1.p1	XM_011389506.1.p1
OG0001446	XM_001584964.1.p1	XM_011393992.1.p1
OG0001447	XM_001590454.1.p1	XM_011389306.1.p1
OG0001449	XM_001584927.1.p1	XM_011388116.1.p1
OG0001450	XM_001594323.1.p1	XM_011389699.1.p1
OG0001451	XM_001590785.1.p1	XM_011392629.1.p1
OG0001452	XM_001586975.1.p1	XM_011390862.1.p1
OG0001453	XM_001585709.1.p1	XM_011394193.1.p1
OG0001454	XM_001598339.1.p1	XM_011391413.1.p1, XM_011393792.1.p1
OG0001455	XM_001596308.1.p1	XM_011394311.1.p1
OG0001456	XM_001594827.1.p1	XM_011390871.1.p1
OG0001457	XM_001590966.1.p1	XM_011392400.1.p1
OG0001458	XM_001597544.1.p1	XM_011388639.1.p1
OG0001459	XM_001586602.1.p1	XM_011392633.1.p1, XM_011392632.1.p1
OG0001460	XM_001585269.1.p1	XM_011388663.1.p1
OG0001461	XM_001597434.1.p1	XM_011392800.1.p1
OG0001462	XM_001594600.1.p1	XM_011388519.1.p1
OG0001463	XM_001587116.1.p1	XM_011388144.1.p1
OG0001464	XM_001587145.1.p1	XM_011388900.1.p1
OG0001465	XM_001584616.1.p1	XM_011390338.1.p1
OG0001467	XM_001593377.1.p1	XM_011389238.1.p1
OG0001468	XM_001585179.1.p1	XM_011391446.1.p1
OG0001469	XM_001587568.1.p1	XM_011393664.1.p1
OG0001470	XM_001598483.1.p1	XM_011393031.1.p1
OG0001471	XM_001597927.1.p1	XM_011392170.1.p1
OG0001472	XM_001588144.1.p1	XM_011389787.1.p1
OG0001473	XM_001588083.1.p1	XM_011392975.1.p1
OG0001478	XM_001593259.1.p1	XM_011390092.1.p1
OG0001480	XM_001596614.1.p1	XM_011390403.1.p1
OG0001489	XM_001594695.1.p1	XM_011387894.1.p1
OG0001490	XM_001590455.1.p1	XM_011391738.1.p1
OG0001492	XM_001589157.1.p1	XM_011390295.1.p1
OG0001494	XM_001590871.1.p1	XM_011391351.1.p1
OG0001495	XM_001591501.1.p1	XM_011390149.1.p1
OG0001496	XM_001590486.1.p1	XM_011393246.1.p1
OG0001497	XM_001586720.1.p1	XM_011392934.1.p1
OG0001498	XM_001586789.1.p1	XM_011388545.1.p1
OG0001500	XM_001591000.1.p1, XM_001590999.1.p1	XM_011390981.1.p1
OG0001501	XM_001585424.1.p1	XM_011394037.1.p1
OG0001503	XM_001586391.1.p1	XM_011390181.1.p1
OG0001504	XM_001598066.1.p1	XM_011389902.1.p1
OG0001505	XM_001590355.1.p1	XM_011387958.1.p1
OG0001506	XM_001595083.1.p1	XM_011390539.1.p1
OG0001507	XM_001596353.1.p1	XM_011388279.1.p1
OG0001509	XM_001589211.1.p1	XM_011391173.1.p1
OG0001511	XM_001598741.1.p1	XM_011388806.1.p1
OG0001512	XM_001598889.1.p1	XM_011389392.1.p1
OG0001513	XM_001592873.1.p1	XM_011391671.1.p1
OG0001514	XM_001585948.1.p1	XM_011388796.1.p1
OG0001515	XM_001594183.1.p1	XM_011390743.1.p1
OG0001517	XM_001588211.1.p1	XM_011391961.1.p1
OG0001518	XM_001588256.1.p1	XM_011388512.1.p1
OG0001519	XM_001587131.1.p1	XM_011394209.1.p1, XM_011389897.1.p1
OG0001520	XM_001590166.1.p1	XM_011393304.1.p1
OG0001521	XM_001596692.1.p1	XM_011389782.1.p1
OG0001522	XM_001596697.1.p1	XM_011391102.1.p1
OG0001523	XM_001587383.1.p1	XM_011389302.1.p1
OG0001524	XM_001594990.1.p1	XM_011393532.1.p1
OG0001525	XM_001587317.1.p1	XM_011392474.1.p1
OG0001526	XM_001591706.1.p1	XM_011392407.1.p1
OG0001527	XM_001597417.1.p1	XM_011392279.1.p1
OG0001528	XM_001595463.1.p1	XM_011388572.1.p1, XM_011389472.1.p1
OG0001529	XM_001597439.1.p1	XM_011390711.1.p1
OG0001530	XM_001584603.1.p1	XM_011392073.1.p1
OG0001532	XM_001585492.1.p1	XM_011394232.1.p1
OG0001533	XM_001585528.1.p1	XM_011391956.1.p1
OG0001534	XM_001587067.1.p1	XM_011387776.1.p1
OG0001536	XM_001587085.1.p1	XM_011389954.1.p1
OG0001537	XM_001586965.1.p1	XM_011389328.1.p1
OG0001538	XM_001585028.1.p1	XM_011388928.1.p1
OG0001539	XM_001594194.1.p1, XM_001594193.1.p1	XM_011392039.1.p1
OG0001541	XM_001598499.1.p1	XM_011391317.1.p1
OG0001543	XM_001598769.1.p1	XM_011389668.1.p1
OG0001544	XM_001595965.1.p1	XM_011390768.1.p1
OG0001545	XM_001591563.1.p1	XM_011391656.1.p1
OG0001546	XM_001584892.1.p1	XM_011394280.1.p1
OG0001547	XM_001592560.1.p1	XM_011393356.1.p1
OG0001548	XM_001592711.1.p1	XM_011389264.1.p1
OG0001550	XM_001590263.1.p1	XM_011394269.1.p1
OG0001552	XM_001591114.1.p1	XM_011393982.1.p1
OG0001553	XM_001585770.1.p1	XM_011391884.1.p1
OG0001554	XM_001588826.1.p1	XM_011391803.1.p1
OG0001555	XM_001588932.1.p1	XM_011390734.1.p1
OG0001556	XM_001586500.1.p1	XM_011391216.1.p1
OG0001557	XM_001598314.1.p1	XM_011389230.1.p1
OG0001558	XM_001586489.1.p1	XM_011391718.1.p1
OG0001559	XM_001595680.1.p1	XM_011391788.1.p1
OG0001561	XM_001587460.1.p1	XM_011389326.1.p1
OG0001563	XM_001586244.1.p1	XM_011388698.1.p1
OG0001564	XM_001597736.1.p1	XM_011393494.1.p1
OG0001565	XM_001586785.1.p1	XM_011391343.1.p1
OG0001566	XM_001587857.1.p1	XM_011391236.1.p1
OG0001567	XM_001585586.1.p1	XM_011389045.1.p1
OG0001568	XM_001588032.1.p1	XM_011387908.1.p1
OG0001569	XM_001598533.1.p1	XM_011390168.1.p1, XM_011388754.1.p1
OG0001570	XM_001598009.1.p1	XM_011388507.1.p1
OG0001571	XM_001586005.1.p1	XM_011387817.1.p1
OG0001572	XM_001597978.1.p1	XM_011388080.1.p1
OG0001573	XM_001598381.1.p1	XM_011392270.1.p1
OG0001574	XM_001592452.1.p1	XM_011388590.1.p1
OG0001575	XM_001586034.1.p1	XM_011389153.1.p1
OG0001576	XM_001588787.1.p1	XM_011388171.1.p1, XM_011387878.1.p1
