Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Hyaloperonospora_brassicae_cds_prot
OG0000767	XM_001594777.1.p1, XM_001596669.1.p1	lcl|CANTFL010000136.1_cds_CAI5714602.1_1342.p1
OG0000772	XM_001584884.1.p1	lcl|CANTFL010000665.1_cds_CAI5726568.1_4077.p1
OG0000772	XM_001596787.1.p1	lcl|CANTFL010000195.1_cds_CAI5717875.1_2010.p1
OG0000775	XM_001588040.1.p1	lcl|CANTFL010001360.1_cds_CAI5738150.1_7771.p1, lcl|CANTFL010001482.1_cds_CAI5742914.1_9710.p1
OG0000777	XM_001589734.1.p1	lcl|CANTFL010000970.1_cds_CAI5728940.1_4680.p1, lcl|CANTFL010000970.1_cds_CAI5728943.1_4681.p1
OG0000780	XM_001596764.1.p1, XM_001589984.1.p1	lcl|CANTFL010000086.1_cds_CAI5711961.1_801.p1, lcl|CANTFL010000086.1_cds_CAI5711951.1_799.p1
OG0000787	XM_001590076.1.p1, XM_001592534.1.p1, XM_001592535.1.p1	lcl|CANTFL010000455.1_cds_CAI5722768.1_3109.p1, lcl|CANTFL010001451.1_cds_CAI5741649.1_9040.p1, lcl|CANTFL010001451.1_cds_CAI5741647.1_9036.p1
OG0000789	XM_001595138.1.p1	lcl|CANTFL010000173.1_cds_CAI5716921.1_1815.p1
OG0000790	XM_001588713.1.p1, XM_001588711.1.p1	lcl|CANTFL010001248.1_cds_CAI5735052.1_6696.p1
OG0000794	XM_001589028.1.p1	lcl|CANTFL010001452.1_cds_CAI5741800.1_9118.p1, lcl|CANTFL010000086.1_cds_CAI5712459.1_904.p1, lcl|CANTFL010001429.1_cds_CAI5739695.1_8307.p1, lcl|CANTFL010000122.1_cds_CAI5714164.1_1252.p1, lcl|CANTFL010001296.1_cds_CAI5735983.1_7018.p1, lcl|CANTFL010000540.1_cds_CAI5724009.1_3428.p1, lcl|CANTFL010000541.1_cds_CAI5724025.1_3432.p1
OG0000797	XM_001586761.1.p1	lcl|CANTFL010001477.1_cds_CAI5742805.1_9653.p1
OG0000798	XM_001591069.1.p1	lcl|CANTFL010000636.1_cds_CAI5726114.1_3958.p1
OG0000799	XM_001598185.1.p1	lcl|CANTFL010000086.1_cds_CAI5712723.1_957.p1, lcl|CANTFL010000086.1_cds_CAI5712713.1_955.p1, lcl|CANTFL010000086.1_cds_CAI5712870.1_988.p1, lcl|CANTFL010000086.1_cds_CAI5712743.1_961.p1, lcl|CANTFL010001455.1_cds_CAI5741913.1_9181.p1, lcl|CANTFL010000397.1_cds_CAI5721980.1_2910.p1, lcl|CANTFL010000397.1_cds_CAI5721983.1_2911.p1, lcl|CANTFL010001416.1_cds_CAI5739295.1_8166.p1, lcl|CANTFL010000222.1_cds_CAI5718704.1_2173.p1
OG0000802	XM_001596533.1.p1, XM_001591221.1.p1	lcl|CANTFL010001335.1_cds_CAI5737440.1_7527.p1, lcl|CANTFL010001335.1_cds_CAI5737435.1_7525.p1, lcl|CANTFL010000455.1_cds_CAI5722825.1_3126.p1, lcl|CANTFL010001097.1_cds_CAI5731358.1_5428.p1, lcl|CANTFL010001445.1_cds_CAI5740560.1_8610.p1, lcl|CANTFL010001445.1_cds_CAI5740548.1_8605.p1, lcl|CANTFL010001445.1_cds_CAI5740513.1_8594.p1, lcl|CANTFL010001445.1_cds_CAI5740554.1_8608.p1
OG0000803	XM_001592402.1.p1, XM_001594865.1.p1	lcl|CANTFL010001109.1_cds_CAI5731607.1_5514.p1
OG0000804	XM_001586190.1.p1	lcl|CANTFL010001489.1_cds_CAI5743453.1_9991.p1
OG0000806	XM_001590392.1.p1, XM_001589187.1.p1	lcl|CANTFL010000608.1_cds_CAI5725547.1_3819.p1
OG0000807	XM_001587026.1.p1, XM_001597524.1.p1	lcl|CANTFL010000165.1_cds_CAI5716605.1_1749.p1
OG0000808	XM_001597536.1.p1	lcl|CANTFL010001475.1_cds_CAI5742679.1_9586.p1
OG0000810	XM_001592962.1.p1	lcl|CANTFL010001451.1_cds_CAI5741729.1_9082.p1
OG0000811	XM_001589102.1.p1, XM_001594369.1.p1	lcl|CANTFL010001441.1_cds_CAI5739955.1_8399.p1
OG0000812	XM_001593803.1.p1, XM_001596379.1.p1	lcl|CANTFL010000222.1_cds_CAI5718714.1_2175.p1
OG0000813	XM_001592242.1.p1	lcl|CANTFL010001198.1_cds_CAI5733413.1_6134.p1, lcl|CANTFL010001198.1_cds_CAI5733420.1_6137.p1, lcl|CANTFL010001198.1_cds_CAI5733423.1_6138.p1, lcl|CANTFL010001451.1_cds_CAI5741592.1_9009.p1, lcl|CANTFL010001283.1_cds_CAI5735636.1_6897.p1
OG0000814	XM_001594454.1.p1, XM_001591234.1.p1	lcl|CANTFL010000549.1_cds_CAI5724172.1_3470.p1, lcl|CANTFL010000549.1_cds_CAI5724168.1_3469.p1
OG0000819	XM_001595146.1.p1, XM_001595145.1.p1	lcl|CANTFL010001406.1_cds_CAI5739049.1_8083.p1, lcl|CANTFL010000233.1_cds_CAI5719340.1_2300.p1, lcl|CANTFL010001414.1_cds_CAI5739207.1_8136.p1, lcl|CANTFL010001256.1_cds_CAI5735290.1_6780.p1
OG0000821	XM_001596577.1.p1, XM_001594411.1.p1, XM_001594412.1.p1	lcl|CANTFL010000748.1_cds_CAI5727349.1_4275.p1
OG0000823	XM_001594941.1.p1	lcl|CANTFL010001193.1_cds_CAI5733227.1_6069.p1
OG0000833	XM_001585066.1.p1	lcl|CANTFL010000673.1_cds_CAI5726779.1_4133.p1, lcl|CANTFL010001352.1_cds_CAI5737852.1_7670.p1
OG0000846	XM_001590812.1.p1	lcl|CANTFL010001122.1_cds_CAI5731945.1_5631.p1
OG0000847	XM_001590428.1.p1	lcl|CANTFL010000810.1_cds_CAI5727889.1_4413.p1
OG0000853	XM_001591040.1.p1	lcl|CANTFL010000106.1_cds_CAI5713947.1_1210.p1, lcl|CANTFL010000106.1_cds_CAI5713968.1_1214.p1, lcl|CANTFL010000106.1_cds_CAI5713975.1_1215.p1, lcl|CANTFL010000106.1_cds_CAI5713958.1_1212.p1
OG0000858	XM_001595783.1.p1, XM_001595785.1.p1	lcl|CANTFL010001482.1_cds_CAI5742908.1_9707.p1
OG0000859	XM_001591771.1.p1, XM_001598727.1.p1	lcl|CANTFL010001444.1_cds_CAI5740252.1_8503.p1
OG0000860	XM_001597972.1.p1	lcl|CANTFL010001487.1_cds_CAI5743262.1_9891.p1
OG0000862	XM_001597870.1.p1	lcl|CANTFL010001332.1_cds_CAI5737292.1_7478.p1
OG0000864	XM_001593637.1.p1, XM_001589072.1.p1	lcl|CANTFL010000028.1_cds_CAI5709066.1_225.p1
OG0000865	XM_001593989.1.p1	lcl|CANTFL010000173.1_cds_CAI5716979.1_1827.p1
OG0000867	XM_001592201.1.p1	lcl|CANTFL010001244.1_cds_CAI5734930.1_6652.p1
OG0000882	XM_001591123.1.p1	lcl|CANTFL010000080.1_cds_CAI5711320.1_681.p1
OG0000883	XM_001592684.1.p1	lcl|CANTFL010001387.1_cds_CAI5738694.1_7961.p1, lcl|CANTFL010000174.1_cds_CAI5717357.1_1904.p1, lcl|CANTFL010000174.1_cds_CAI5717362.1_1905.p1
OG0000884	XM_001590418.1.p1, XM_001598607.1.p1	lcl|CANTFL010000554.1_cds_CAI5724543.1_3564.p1
OG0000886	XM_001597766.1.p1	lcl|CANTFL010001465.1_cds_CAI5742267.1_9368.p1
OG0000888	XM_001588156.1.p1	lcl|CANTFL010000167.1_cds_CAI5716819.1_1794.p1
OG0000889	XM_001595904.1.p1, XM_001587720.1.p1	lcl|CANTFL010000810.1_cds_CAI5727836.1_4400.p1
OG0000893	XM_001593810.1.p1	lcl|CANTFL010000122.1_cds_CAI5714386.1_1300.p1
OG0000894	XM_001594761.1.p1	lcl|CANTFL010001207.1_cds_CAI5733688.1_6231.p1
OG0000895	XM_001589295.1.p1	lcl|CANTFL010000921.1_cds_CAI5728720.1_4623.p1
OG0000898	XM_001594950.1.p1	lcl|CANTFL010000165.1_cds_CAI5716555.1_1739.p1
OG0000899	XM_001590448.1.p1	lcl|CANTFL010001360.1_cds_CAI5738126.1_7762.p1
OG0000900	XM_001587345.1.p1	lcl|CANTFL010001352.1_cds_CAI5737871.1_7676.p1
OG0000900	XM_001587164.1.p1	lcl|CANTFL010000549.1_cds_CAI5724184.1_3473.p1, lcl|CANTFL010000549.1_cds_CAI5724160.1_3467.p1
OG0000901	XM_001594946.1.p1	lcl|CANTFL010001032.1_cds_CAI5730486.1_5128.p1
OG0000906	XM_001593572.1.p1, XM_001598656.1.p1	lcl|CANTFL010000360.1_cds_CAI5721072.1_2678.p1
OG0000909	XM_001592755.1.p1	lcl|CANTFL010000748.1_cds_CAI5727477.1_4308.p1, lcl|CANTFL010000579.1_cds_CAI5724986.1_3674.p1, lcl|CANTFL010000730.1_cds_CAI5727045.1_4201.p1, lcl|CANTFL010000535.1_cds_CAI5724000.1_3426.p1, lcl|CANTFL010000136.1_cds_CAI5714673.1_1356.p1
OG0000910	XM_001591606.1.p1	lcl|CANTFL010001411.1_cds_CAI5739186.1_8129.p1
OG0000911	XM_001586116.1.p1	lcl|CANTFL010001489.1_cds_CAI5743427.1_9977.p1, lcl|CANTFL010000742.1_cds_CAI5727217.1_4245.p1, lcl|CANTFL010000366.1_cds_CAI5721302.1_2740.p1
OG0000913	XM_001595797.1.p1	lcl|CANTFL010001234.1_cds_CAI5734560.1_6531.p1, lcl|CANTFL010000086.1_cds_CAI5711661.1_739.p1, lcl|CANTFL010001446.1_cds_CAI5740741.1_8676.p1, lcl|CANTFL010000007.1_cds_CAI5708389.1_83.p1
OG0000914	XM_001585726.1.p1, XM_001585725.1.p1	lcl|CANTFL010001352.1_cds_CAI5737931.1_7697.p1, lcl|CANTFL010000086.1_cds_CAI5711721.1_752.p1, lcl|CANTFL010001018.1_cds_CAI5730170.1_5014.p1
OG0000915	XM_001594710.1.p1	lcl|CANTFL010000148.1_cds_CAI5716148.1_1656.p1, lcl|CANTFL010000148.1_cds_CAI5716153.1_1657.p1, lcl|CANTFL010001427.1_cds_CAI5739674.1_8300.p1
OG0000917	XM_001591777.1.p1, XM_001594442.1.p1, XM_001594441.1.p1	lcl|CANTFL010000549.1_cds_CAI5724212.1_3480.p1
OG0000919	XM_001591846.1.p1	lcl|CANTFL010000086.1_cds_CAI5712629.1_938.p1
OG0000920	XM_001587710.1.p1	lcl|CANTFL010000235.1_cds_CAI5719529.1_2338.p1
OG0000921	XM_001594655.1.p1	lcl|CANTFL010000478.1_cds_CAI5723364.1_3264.p1
OG0000935	XM_001596262.1.p1	lcl|CANTFL010001223.1_cds_CAI5734376.1_6464.p1, lcl|CANTFL010001103.1_cds_CAI5731461.1_5466.p1, lcl|CANTFL010000003.1_cds_CAI5708158.1_24.p1
OG0000939	XM_001589765.1.p1, XM_001596967.1.p1	lcl|CANTFL010001050.1_cds_CAI5730689.1_5196.p1
OG0000944	XM_001598065.1.p1	lcl|CANTFL010001451.1_cds_CAI5741640.1_9035.p1
OG0000945	XM_001598342.1.p1	lcl|CANTFL010001463.1_cds_CAI5742121.1_9290.p1
OG0000947	XM_001591181.1.p1	lcl|CANTFL010001420.1_cds_CAI5739460.1_8227.p1, lcl|CANTFL010001420.1_cds_CAI5739457.1_8226.p1
OG0000950	XM_001588656.1.p1	lcl|CANTFL010000389.1_cds_CAI5721770.1_2855.p1
OG0000951	XM_001595072.1.p1	lcl|CANTFL010001207.1_cds_CAI5733730.1_6245.p1, lcl|CANTFL010001207.1_cds_CAI5733718.1_6241.p1
OG0000952	XM_001590098.1.p1	lcl|CANTFL010001312.1_cds_CAI5736327.1_7143.p1, lcl|CANTFL010001299.1_cds_CAI5736210.1_7105.p1
OG0000953	XM_001586843.1.p1	lcl|CANTFL010000363.1_cds_CAI5721240.1_2726.p1
OG0000954	XM_001592026.1.p1	lcl|CANTFL010001018.1_cds_CAI5730173.1_5015.p1
OG0000956	XM_001585166.1.p1	lcl|CANTFL010000545.1_cds_CAI5724042.1_3436.p1
OG0000957	XM_001585600.1.p1, XM_001585602.1.p1	lcl|CANTFL010001452.1_cds_CAI5741834.1_9137.p1, lcl|CANTFL010001264.1_cds_CAI5735529.1_6861.p1
OG0000958	XM_001588449.1.p1	lcl|CANTFL010001238.1_cds_CAI5734628.1_6553.p1, lcl|CANTFL010000472.1_cds_CAI5723272.1_3241.p1
OG0000964	XM_001593840.1.p1, XM_001598313.1.p1	lcl|CANTFL010000634.1_cds_CAI5725954.1_3918.p1
OG0000965	XM_001585357.1.p1	lcl|CANTFL010001426.1_cds_CAI5739579.1_8267.p1, lcl|CANTFL010001426.1_cds_CAI5739570.1_8264.p1
OG0000966	XM_001585978.1.p1	lcl|CANTFL010000272.1_cds_CAI5720331.1_2496.p1, lcl|CANTFL010000579.1_cds_CAI5725037.1_3687.p1
OG0000968	XM_001586768.1.p1	lcl|CANTFL010001451.1_cds_CAI5741590.1_9008.p1, lcl|CANTFL010001387.1_cds_CAI5738714.1_7968.p1, lcl|CANTFL010001327.1_cds_CAI5736831.1_7320.p1
OG0000969	XM_001592200.1.p1	lcl|CANTFL010000086.1_cds_CAI5712372.1_886.p1
OG0000970	XM_001587938.1.p1	lcl|CANTFL010001403.1_cds_CAI5739020.1_8074.p1
OG0000971	XM_001585772.1.p1	lcl|CANTFL010000608.1_cds_CAI5725579.1_3827.p1
OG0000973	XM_001591714.1.p1	lcl|CANTFL010001489.1_cds_CAI5743439.1_9984.p1, lcl|CANTFL010000032.1_cds_CAI5709280.1_268.p1
OG0000974	XM_001594163.1.p1	lcl|CANTFL010000080.1_cds_CAI5711221.1_661.p1
OG0000974	XM_001594159.1.p1	lcl|CANTFL010000748.1_cds_CAI5727485.1_4310.p1
OG0000975	XM_001590008.1.p1	lcl|CANTFL010000165.1_cds_CAI5716468.1_1721.p1
OG0000983	XM_001587127.1.p1	lcl|CANTFL010001335.1_cds_CAI5737429.1_7523.p1
OG0000987	XM_001586400.1.p1	lcl|CANTFL010000028.1_cds_CAI5709143.1_240.p1
OG0000989	XM_001593681.1.p1	lcl|CANTFL010000032.1_cds_CAI5709285.1_269.p1
OG0000990	XM_001587667.1.p1	lcl|CANTFL010000165.1_cds_CAI5716584.1_1745.p1
OG0000991	XM_001584614.1.p1, XM_001588147.1.p1	lcl|CANTFL010000910.1_cds_CAI5728603.1_4593.p1
OG0000993	XM_001592118.1.p1	lcl|CANTFL010001489.1_cds_CAI5743417.1_9972.p1
OG0000994	XM_001598761.1.p1	lcl|CANTFL010001446.1_cds_CAI5740638.1_8635.p1, lcl|CANTFL010001475.1_cds_CAI5742765.1_9632.p1
OG0000996	XM_001585239.1.p1	lcl|CANTFL010000389.1_cds_CAI5721812.1_2866.p1
OG0000998	XM_001586122.1.p1	lcl|CANTFL010000056.1_cds_CAI5710146.1_442.p1, lcl|CANTFL010000086.1_cds_CAI5712229.1_856.p1
OG0001000	XM_001588995.1.p1	lcl|CANTFL010000375.1_cds_CAI5721440.1_2774.p1, lcl|CANTFL010000375.1_cds_CAI5721444.1_2775.p1
OG0001002	XM_001591895.1.p1	lcl|CANTFL010001320.1_cds_CAI5736741.1_7283.p1, lcl|CANTFL010001387.1_cds_CAI5738631.1_7937.p1
OG0001003	XM_001586491.1.p1	lcl|CANTFL010000251.1_cds_CAI5719591.1_2349.p1
OG0001007	XM_001584998.1.p1, XM_001597153.1.p1	lcl|CANTFL010001078.1_cds_CAI5731089.1_5333.p1
OG0001010	XM_001587714.1.p1	lcl|CANTFL010001465.1_cds_CAI5742261.1_9365.p1
OG0001012	XM_001591023.1.p1, XM_001588951.1.p1	lcl|CANTFL010001076.1_cds_CAI5731047.1_5320.p1
OG0001013	XM_001595593.1.p1	lcl|CANTFL010000981.1_cds_CAI5729218.1_4749.p1
OG0001014	XM_001598170.1.p1	lcl|CANTFL010001443.1_cds_CAI5740022.1_8424.p1
OG0001016	XM_001595811.1.p1	lcl|CANTFL010001444.1_cds_CAI5740279.1_8512.p1, lcl|CANTFL010001327.1_cds_CAI5736923.1_7355.p1, lcl|CANTFL010000204.1_cds_CAI5718420.1_2118.p1
OG0001021	XM_001596254.1.p1	lcl|CANTFL010001315.1_cds_CAI5736715.1_7274.p1
OG0001023	XM_001589690.1.p1	lcl|CANTFL010001244.1_cds_CAI5734849.1_6625.p1
OG0001025	XM_001597615.1.p1	lcl|CANTFL010001315.1_cds_CAI5736631.1_7246.p1, lcl|CANTFL010000553.1_cds_CAI5724407.1_3528.p1
OG0001028	XM_001595420.1.p1	lcl|CANTFL010000479.1_cds_CAI5723379.1_3267.p1
OG0001031	XM_001598290.1.p1	lcl|CANTFL010001332.1_cds_CAI5737408.1_7518.p1, lcl|CANTFL010001332.1_cds_CAI5737402.1_7516.p1, lcl|CANTFL010001488.1_cds_CAI5743287.1_9902.p1
OG0001033	XM_001593019.1.p1	lcl|CANTFL010001451.1_cds_CAI5741657.1_9044.p1, lcl|CANTFL010000003.1_cds_CAI5708191.1_32.p1
OG0001035	XM_001591201.1.p1	lcl|CANTFL010001198.1_cds_CAI5733312.1_6100.p1
OG0001037	XM_001585833.1.p1	lcl|CANTFL010001260.1_cds_CAI5735406.1_6820.p1
OG0001039	XM_001589840.1.p1	lcl|CANTFL010001451.1_cds_CAI5741713.1_9074.p1
OG0001041	XM_001595956.1.p1	lcl|CANTFL010000409.1_cds_CAI5722164.1_2957.p1, lcl|CANTFL010000409.1_cds_CAI5722120.1_2946.p1, lcl|CANTFL010000042.1_cds_CAI5709934.1_399.p1
OG0001059	XM_001598005.1.p1	lcl|CANTFL010000037.1_cds_CAI5709708.1_353.p1, lcl|CANTFL010000037.1_cds_CAI5709703.1_352.p1
OG0001061	XM_001598663.1.p1	lcl|CANTFL010001465.1_cds_CAI5742255.1_9362.p1
OG0001064	XM_001585284.1.p1	lcl|CANTFL010000086.1_cds_CAI5712187.1_847.p1, lcl|CANTFL010001312.1_cds_CAI5736333.1_7145.p1, lcl|CANTFL010001312.1_cds_CAI5736330.1_7144.p1
OG0001065	XM_001596255.1.p1	lcl|CANTFL010000002.1_cds_CAI5708092.1_8.p1, lcl|CANTFL010000126.1_cds_CAI5714475.1_1318.p1
OG0001069	XM_001592162.1.p1	lcl|CANTFL010001352.1_cds_CAI5737855.1_7671.p1
OG0001070	XM_001587376.1.p1	lcl|CANTFL010001187.1_cds_CAI5732962.1_5979.p1
OG0001071	XM_001592045.1.p1	lcl|CANTFL010000360.1_cds_CAI5721084.1_2685.p1, lcl|CANTFL010000037.1_cds_CAI5709725.1_357.p1
OG0001073	XM_001592588.1.p1	lcl|CANTFL010001453.1_cds_CAI5741875.1_9161.p1
OG0001075	XM_001598429.1.p1	lcl|CANTFL010001416.1_cds_CAI5739258.1_8153.p1
OG0001077	XM_001595998.1.p1	lcl|CANTFL010001487.1_cds_CAI5743276.1_9898.p1, lcl|CANTFL010001332.1_cds_CAI5737326.1_7489.p1, lcl|CANTFL010000195.1_cds_CAI5717941.1_2023.p1
OG0001078	XM_001590375.1.p1	lcl|CANTFL010001420.1_cds_CAI5739397.1_8205.p1
OG0001079	XM_001598602.1.p1	lcl|CANTFL010001005.1_cds_CAI5729679.1_4869.p1, lcl|CANTFL010001361.1_cds_CAI5738199.1_7791.p1, lcl|CANTFL010001361.1_cds_CAI5738205.1_7793.p1
OG0001082	XM_001597171.1.p1	lcl|CANTFL010001452.1_cds_CAI5741850.1_9146.p1
OG0001084	XM_001589263.1.p1	lcl|CANTFL010000136.1_cds_CAI5714539.1_1329.p1
OG0001085	XM_001591188.1.p1	lcl|CANTFL010001360.1_cds_CAI5738173.1_7780.p1
OG0001086	XM_001593619.1.p1	lcl|CANTFL010001135.1_cds_CAI5732101.1_5685.p1
OG0001088	XM_001598916.1.p1	lcl|CANTFL010000579.1_cds_CAI5725082.1_3697.p1
OG0001090	XM_001587887.1.p1	lcl|CANTFL010001335.1_cds_CAI5737515.1_7553.p1, lcl|CANTFL010001489.1_cds_CAI5743411.1_9969.p1
OG0001091	XM_001584643.1.p1	lcl|CANTFL010001416.1_cds_CAI5739283.1_8161.p1
OG0001093	XM_001593447.1.p1	lcl|CANTFL010001204.1_cds_CAI5733497.1_6162.p1, lcl|CANTFL010001193.1_cds_CAI5733269.1_6084.p1
OG0001095	XM_001593519.1.p1	lcl|CANTFL010001444.1_cds_CAI5740234.1_8497.p1
OG0001098	XM_001590638.1.p1, XM_001584687.1.p1	lcl|CANTFL010001335.1_cds_CAI5737461.1_7534.p1
OG0001099	XM_001587319.1.p1	lcl|CANTFL010001244.1_cds_CAI5734792.1_6605.p1
OG0001101	XM_001592758.1.p1	lcl|CANTFL010001207.1_cds_CAI5733680.1_6228.p1, lcl|CANTFL010001075.1_cds_CAI5730982.1_5299.p1
OG0001103	XM_001592955.1.p1, XM_001588227.1.p1	lcl|CANTFL010001352.1_cds_CAI5737943.1_7701.p1, lcl|CANTFL010001426.1_cds_CAI5739540.1_8254.p1, lcl|CANTFL010000165.1_cds_CAI5716525.1_1733.p1
OG0001107	XM_001593873.1.p1	lcl|CANTFL010001296.1_cds_CAI5735994.1_7024.p1
OG0001108	XM_001585014.1.p1, XM_001591202.1.p1	lcl|CANTFL010001466.1_cds_CAI5742353.1_9414.p1, lcl|CANTFL010000136.1_cds_CAI5714596.1_1340.p1
OG0001110	XM_001593845.1.p1	lcl|CANTFL010001478.1_cds_CAI5742834.1_9669.p1
OG0001113	XM_001596509.1.p1	lcl|CANTFL010000608.1_cds_CAI5725618.1_3837.p1, lcl|CANTFL010001484.1_cds_CAI5743029.1_9770.p1, lcl|CANTFL010001198.1_cds_CAI5733457.1_6149.p1, lcl|CANTFL010001475.1_cds_CAI5742693.1_9593.p1, lcl|CANTFL010001475.1_cds_CAI5742695.1_9594.p1
OG0001118	XM_001590650.1.p1	lcl|CANTFL010001361.1_cds_CAI5738222.1_7799.p1
OG0001119	XM_001587563.1.p1	lcl|CANTFL010001135.1_cds_CAI5732130.1_5695.p1, lcl|CANTFL010001060.1_cds_CAI5730873.1_5259.p1
OG0001122	XM_001594924.1.p1	lcl|CANTFL010000080.1_cds_CAI5711192.1_655.p1, lcl|CANTFL010000999.1_cds_CAI5729605.1_4850.p1
OG0001123	XM_001592405.1.p1	lcl|CANTFL010000146.1_cds_CAI5715726.1_1572.p1, lcl|CANTFL010000186.1_cds_CAI5717723.1_1980.p1
OG0001124	XM_001598830.1.p1	lcl|CANTFL010001192.1_cds_CAI5733071.1_6014.p1
OG0001126	XM_001590062.1.p1	lcl|CANTFL010000226.1_cds_CAI5718994.1_2231.p1
OG0001128	XM_001594215.1.p1	lcl|CANTFL010001449.1_cds_CAI5741293.1_8863.p1, lcl|CANTFL010000223.1_cds_CAI5718875.1_2206.p1
OG0001129	XM_001595650.1.p1	lcl|CANTFL010000028.1_cds_CAI5709021.1_215.p1
OG0001130	XM_001590691.1.p1	lcl|CANTFL010000361.1_cds_CAI5721120.1_2697.p1
OG0001131	XM_001591289.1.p1, XM_001597050.1.p1	lcl|CANTFL010001009.1_cds_CAI5729907.1_4932.p1, lcl|CANTFL010001009.1_cds_CAI5729895.1_4929.p1, lcl|CANTFL010001009.1_cds_CAI5729935.1_4939.p1
OG0001132	XM_001589184.1.p1, XM_001597308.1.p1	lcl|CANTFL010000251.1_cds_CAI5719567.1_2344.p1
OG0001133	XM_001584780.1.p1	lcl|CANTFL010001327.1_cds_CAI5736852.1_7329.p1
OG0001135	XM_001592071.1.p1	lcl|CANTFL010001475.1_cds_CAI5742772.1_9637.p1
OG0001145	XM_001589744.1.p1	lcl|CANTFL010001009.1_cds_CAI5729833.1_4912.p1
OG0001150	XM_001585637.1.p1, XM_001586145.1.p1	lcl|CANTFL010000137.1_cds_CAI5714903.1_1402.p1
OG0001151	XM_001586398.1.p1	lcl|CANTFL010001487.1_cds_CAI5743270.1_9895.p1, lcl|CANTFL010000641.1_cds_CAI5726235.1_3990.p1, lcl|CANTFL010001260.1_cds_CAI5735380.1_6811.p1, lcl|CANTFL010001260.1_cds_CAI5735387.1_6813.p1, lcl|CANTFL010001260.1_cds_CAI5735383.1_6812.p1, lcl|CANTFL010001260.1_cds_CAI5735389.1_6814.p1
OG0001152	XM_001585966.1.p1	lcl|CANTFL010000617.1_cds_CAI5725838.1_3892.p1, lcl|CANTFL010000017.1_cds_CAI5708828.1_176.p1, lcl|CANTFL010001192.1_cds_CAI5733068.1_6013.p1
OG0001153	XM_001585409.1.p1	lcl|CANTFL010000174.1_cds_CAI5717394.1_1912.p1, lcl|CANTFL010000204.1_cds_CAI5718448.1_2123.p1, lcl|CANTFL010000665.1_cds_CAI5726476.1_4053.p1, lcl|CANTFL010000165.1_cds_CAI5716454.1_1718.p1
OG0001155	XM_001593807.1.p1	lcl|CANTFL010001446.1_cds_CAI5740648.1_8639.p1
OG0001156	XM_001587763.1.p1	lcl|CANTFL010001244.1_cds_CAI5734766.1_6597.p1
OG0001157	XM_001585113.1.p1	lcl|CANTFL010001299.1_cds_CAI5736195.1_7100.p1
OG0001159	XM_001593742.1.p1	lcl|CANTFL010000320.1_cds_CAI5720725.1_2589.p1, lcl|CANTFL010001256.1_cds_CAI5735220.1_6752.p1
OG0001162	XM_001592594.1.p1	lcl|CANTFL010000641.1_cds_CAI5726250.1_3994.p1
OG0001164	XM_001586609.1.p1	lcl|CANTFL010001466.1_cds_CAI5742311.1_9390.p1, lcl|CANTFL010001475.1_cds_CAI5742713.1_9604.p1
OG0001165	XM_001590535.1.p1	lcl|CANTFL010000122.1_cds_CAI5714338.1_1290.p1
OG0001166	XM_001590617.1.p1	lcl|CANTFL010000362.1_cds_CAI5721168.1_2708.p1
OG0001168	XM_001589673.1.p1, XM_001595545.1.p1	lcl|CANTFL010000080.1_cds_CAI5711242.1_665.p1
OG0001173	XM_001598301.1.p1	lcl|CANTFL010001114.1_cds_CAI5731803.1_5581.p1, lcl|CANTFL010000665.1_cds_CAI5726639.1_4097.p1
OG0001178	XM_001589035.1.p1	lcl|CANTFL010000086.1_cds_CAI5712665.1_945.p1, lcl|CANTFL010001198.1_cds_CAI5733382.1_6124.p1
OG0001179	XM_001593660.1.p1	lcl|CANTFL010001312.1_cds_CAI5736392.1_7165.p1
OG0001180	XM_001596694.1.p1	lcl|CANTFL010000445.1_cds_CAI5722649.1_3079.p1
OG0001184	XM_001594370.1.p1	lcl|CANTFL010000090.1_cds_CAI5713249.1_1064.p1
OG0001185	XM_001586426.1.p1	lcl|CANTFL010000561.1_cds_CAI5724663.1_3593.p1
OG0001187	XM_001586559.1.p1	lcl|CANTFL010000375.1_cds_CAI5721448.1_2776.p1
OG0001188	XM_001596042.1.p1, XM_001597194.1.p1	lcl|CANTFL010000090.1_cds_CAI5713505.1_1118.p1
OG0001190	XM_001593245.1.p1	lcl|CANTFL010000034.1_cds_CAI5709593.1_331.p1
OG0001191	XM_001585271.1.p1, XM_001592100.1.p1	lcl|CANTFL010001244.1_cds_CAI5734945.1_6658.p1, lcl|CANTFL010001296.1_cds_CAI5736043.1_7045.p1, lcl|CANTFL010001427.1_cds_CAI5739690.1_8306.p1
OG0001192	XM_001586300.1.p1, XM_001589019.1.p1	lcl|CANTFL010001444.1_cds_CAI5740261.1_8506.p1
OG0001193	XM_001591587.1.p1	lcl|CANTFL010000073.1_cds_CAI5710865.1_588.p1
OG0001194	XM_001585295.1.p1	lcl|CANTFL010000251.1_cds_CAI5719852.1_2402.p1, lcl|CANTFL010001482.1_cds_CAI5742933.1_9720.p1, lcl|CANTFL010001078.1_cds_CAI5731169.1_5361.p1
OG0001196	XM_001588984.1.p1	lcl|CANTFL010001018.1_cds_CAI5730155.1_5009.p1
OG0001199	XM_001586739.1.p1	lcl|CANTFL010000148.1_cds_CAI5716168.1_1660.p1
