Orthogroup	Sclerotinia_sclerotiorum	Phytophthora_infestans
OG0000451	XM_001593295.1.p1, XM_001598316.1.p1	XM_002895855.1.p1, XM_002900420.1.p1, XM_002895170.1.p1, XM_002903003.1.p1, XM_002895169.1.p1, XM_002899374.1.p1, XM_002906013.1.p1
OG0000452	XM_001593840.1.p1, XM_001598313.1.p1	XM_002896705.1.p1
OG0000454	XM_001594215.1.p1	XM_002895504.1.p1, XM_002906705.1.p1, XM_002906704.1.p1, XM_002899254.1.p1
OG0000455	XM_001590945.1.p1	XM_002904911.1.p1
OG0000457	XM_001587224.1.p1	XM_002902030.1.p1, XM_002895488.1.p1, XM_002895489.1.p1, XM_002898828.1.p1, XM_002898827.1.p1, XM_002895490.1.p1, XM_002909710.1.p1, XM_002898826.1.p1, XM_002895491.1.p1
OG0000458	XM_001597703.1.p1	XM_002901772.1.p1, XM_002997397.1.p1, XM_002902749.1.p1
OG0000459	XM_001586561.1.p1	XM_002908197.1.p1, XM_002900855.1.p1, XM_002901633.1.p1
OG0000460	XM_001591933.1.p1, XM_001587571.1.p1	XM_002902202.1.p1, XM_002909837.1.p1
OG0000461	XM_001590012.1.p1	XM_002999214.1.p1
OG0000461	XM_001591479.1.p1	XM_002896668.1.p1
OG0000473	XM_001590271.1.p1	XM_002895879.1.p1
OG0000483	XM_001586040.1.p1	XM_002998724.1.p1
OG0000484	XM_001595705.1.p1	XM_002901821.1.p1
OG0000484	XM_001590736.1.p1	XM_002899277.1.p1, XM_002899293.1.p1, XM_002899276.1.p1, XM_002901687.1.p1
OG0000486	XM_001585913.1.p1	XM_002906857.1.p1, XM_002899741.1.p1, XM_002998046.1.p1, XM_002998044.1.p1, XM_002998043.1.p1, XM_002895014.1.p1, XM_002896471.1.p1
OG0000487	XM_001594577.1.p1	XM_002897571.1.p1
OG0000487	XM_001585929.1.p1	XM_002902893.1.p1
OG0000488	XM_001594675.1.p1, XM_001592144.1.p1	XM_002998393.1.p1
OG0000489	XM_001591061.1.p1	XM_002902476.1.p1
OG0000490	XM_001591069.1.p1	XM_002901688.1.p1
OG0000492	XM_001597732.1.p1, XM_001594531.1.p1	XM_002907730.1.p1, XM_002902827.1.p1
OG0000494	XM_001592803.1.p1, XM_001593065.1.p1	XM_002897138.1.p1, XM_002897141.1.p1, XM_002907798.1.p1, XM_002905321.1.p1, XM_002903346.1.p1, XM_002902691.1.p1, XM_002903345.1.p1, XM_002902692.1.p1
OG0000495	XM_001584773.1.p1, XM_001595211.1.p1	XM_002899960.1.p1
OG0000496	XM_001594289.1.p1, XM_001586883.1.p1	XM_002906112.1.p1
OG0000497	XM_001590113.1.p1	XM_002909279.1.p1
OG0000499	XM_001585254.1.p1, XM_001585145.1.p1	XM_002895463.1.p1, XM_002902016.1.p1
OG0000500	XM_001597450.1.p1	XM_002904585.1.p1, XM_002895320.1.p1, XM_002904802.1.p1
OG0000501	XM_001590763.1.p1, XM_001594596.1.p1	XM_002902196.1.p1, XM_002902195.1.p1, XM_002906146.1.p1
OG0000502	XM_001595590.1.p1, XM_001586737.1.p1	XM_002998507.1.p1, XM_002898531.1.p1
OG0000505	XM_001593339.1.p1	XM_002998338.1.p1
OG0000505	XM_001595888.1.p1	XM_002902752.1.p1, XM_002902751.1.p1
OG0000506	XM_001592376.1.p1	XM_002998450.1.p1
OG0000506	XM_001596584.1.p1	XM_002902645.1.p1
OG0000508	XM_001598855.1.p1, XM_001592491.1.p1	XM_002898093.1.p1
OG0000509	XM_001596341.1.p1, XM_001592574.1.p1	XM_002908149.1.p1
OG0000510	XM_001589200.1.p1, XM_001592573.1.p1	XM_002896572.1.p1
OG0000511	XM_001588302.1.p1	XM_002901106.1.p1, XM_002901942.1.p1
OG0000513	XM_001597022.1.p1	XM_002908766.1.p1, XM_002998246.1.p1
OG0000516	XM_001594601.1.p1	XM_002997398.1.p1
OG0000516	XM_001592146.1.p1	XM_002998207.1.p1
OG0000518	XM_001595898.1.p1, XM_001597487.1.p1	XM_002901620.1.p1
OG0000520	XM_001586662.1.p1	XM_002894894.1.p1
OG0000522	XM_001590375.1.p1	XM_002903009.1.p1, XM_002902998.1.p1, XM_002902997.1.p1, XM_002903008.1.p1
OG0000523	XM_001595596.1.p1	XM_002907923.1.p1, XM_002907922.1.p1, XM_002998619.1.p1, XM_002998617.1.p1, XM_002901149.1.p1, XM_002998613.1.p1, XM_002901150.1.p1
OG0000525	XM_001596825.1.p1	XM_002909607.1.p1
OG0000526	XM_001597112.1.p1, XM_001591627.1.p1	XM_002908652.1.p1, XM_002896742.1.p1, XM_002898879.1.p1
OG0000529	XM_001587359.1.p1	XM_002900152.1.p1
OG0000529	XM_001593419.1.p1	XM_002906487.1.p1, XM_002906485.1.p1
OG0000532	XM_001591640.1.p1	XM_002907934.1.p1
OG0000533	XM_001592277.1.p1	XM_002908859.1.p1
OG0000537	XM_001591152.1.p1	XM_002999069.1.p1, XM_002901723.1.p1
OG0000538	XM_001589957.1.p1	XM_002905588.1.p1, XM_002998513.1.p1
OG0000572	XM_001589225.1.p1, XM_001588923.1.p1	XM_002903110.1.p1
OG0000573	XM_001588787.1.p1	XM_002902813.1.p1
OG0000574	XM_001596577.1.p1, XM_001594411.1.p1, XM_001594412.1.p1	XM_002905247.1.p1
OG0000579	XM_001592955.1.p1, XM_001588227.1.p1	XM_002900014.1.p1, XM_002899167.1.p1, XM_002896331.1.p1
OG0000580	XM_001585637.1.p1, XM_001586145.1.p1	XM_002907455.1.p1, XM_002895646.1.p1, XM_002907361.1.p1
OG0000581	XM_001593087.1.p1	XM_002897831.1.p1, XM_002897819.1.p1, XM_002999231.1.p1
OG0000582	XM_001585910.1.p1, XM_001597032.1.p1	XM_002903996.1.p1, XM_002998891.1.p1
OG0000584	XM_001598928.1.p1	XM_002997093.1.p1, XM_002902103.1.p1
OG0000585	XM_001592833.1.p1	XM_002897000.1.p1
OG0000585	XM_001587685.1.p1	XM_002895100.1.p1
OG0000586	XM_001591019.1.p1	XM_002998376.1.p1, XM_002998378.1.p1
OG0000586	XM_001593217.1.p1	XM_002999221.1.p1
OG0000592	XM_001584658.1.p1, XM_001590285.1.p1	XM_002905737.1.p1
OG0000593	XM_001592658.1.p1	XM_002907693.1.p1
OG0000595	XM_001595328.1.p1, XM_001595547.1.p1	XM_002908065.1.p1
OG0000597	XM_001591625.1.p1	XM_002904860.1.p1, XM_002898073.1.p1
OG0000598	XM_001590038.1.p1, XM_001590058.1.p1	XM_002908392.1.p1, XM_002895174.1.p1
OG0000600	XM_001593005.1.p1	XM_002908091.1.p1
OG0000601	XM_001593383.1.p1, XM_001593382.1.p1	XM_002908693.1.p1
OG0000603	XM_001588641.1.p1	XM_002902179.1.p1, XM_002902180.1.p1, XM_002902186.1.p1, XM_002997106.1.p1, XM_002902077.1.p1, XM_002999078.1.p1, XM_002999079.1.p1
OG0000605	XM_001586293.1.p1	XM_002997461.1.p1
OG0000606	XM_001595043.1.p1	XM_002900238.1.p1
OG0000609	XM_001585822.1.p1	XM_002894665.1.p1, XM_002908332.1.p1, XM_002896105.1.p1, XM_002908329.1.p1
OG0000612	XM_001592026.1.p1, XM_001592563.1.p1	XM_002908561.1.p1
OG0000613	XM_001596401.1.p1	XM_002908311.1.p1, XM_002902748.1.p1, XM_002906183.1.p1, XM_002908325.1.p1
OG0000614	XM_001592514.1.p1	XM_002998683.1.p1
OG0000617	XM_001591023.1.p1, XM_001588951.1.p1	XM_002903462.1.p1
OG0000620	XM_001589418.1.p1, XM_001589600.1.p1	XM_002903149.1.p1
OG0000621	XM_001598602.1.p1	XM_002898492.1.p1, XM_002997723.1.p1, XM_002997718.1.p1, XM_002896622.1.p1
OG0000622	XM_001593138.1.p1	XM_002904067.1.p1, XM_002900291.1.p1, XM_002998652.1.p1, XM_002998675.1.p1, XM_002898821.1.p1
OG0000623	XM_001592910.1.p1	XM_002899875.1.p1, XM_002906317.1.p1
OG0000624	XM_001593803.1.p1, XM_001596379.1.p1	XM_002899244.1.p1
OG0000625	XM_001589667.1.p1, XM_001587433.1.p1	XM_002904807.1.p1, XM_002900725.1.p1
OG0000626	XM_001598192.1.p1	XM_002899379.1.p1
OG0000629	XM_001594794.1.p1	XM_002908737.1.p1
OG0000631	XM_001593422.1.p1, XM_001597381.1.p1	XM_002908584.1.p1
OG0000632	XM_001586769.1.p1, XM_001590674.1.p1	XM_002998070.1.p1
OG0000633	XM_001586741.1.p1	XM_002897575.1.p1, XM_002905171.1.p1, XM_002905372.1.p1, XM_002898464.1.p1, XM_002904854.1.p1, XM_002908403.1.p1
OG0000635	XM_001595650.1.p1	XM_002906908.1.p1, XM_002906907.1.p1
OG0000636	XM_001592755.1.p1	XM_002907395.1.p1, XM_002898381.1.p1
OG0000639	XM_001597675.1.p1	XM_002997758.1.p1
OG0000640	XM_001595226.1.p1	XM_002895125.1.p1, XM_002895848.1.p1, XM_002897037.1.p1, XM_002905682.1.p1, XM_002899629.1.p1, XM_002897529.1.p1
OG0000642	XM_001593873.1.p1	XM_002896368.1.p1, XM_002909248.1.p1, XM_002909247.1.p1, XM_002909249.1.p1
OG0000644	XM_001586412.1.p1	XM_002908225.1.p1, XM_002906293.1.p1, XM_002906294.1.p1, XM_002905133.1.p1, XM_002897823.1.p1
OG0000645	XM_001592588.1.p1	XM_002895352.1.p1, XM_002909953.1.p1
OG0000646	XM_001590729.1.p1	XM_002895935.1.p1
OG0000647	XM_001590735.1.p1	XM_002904258.1.p1
OG0000648	XM_001584952.1.p1	XM_002909893.1.p1, XM_002898844.1.p1, XM_002898829.1.p1, XM_002898845.1.p1, XM_002898830.1.p1, XM_002898843.1.p1
OG0000649	XM_001595966.1.p1, XM_001595965.1.p1	XM_002907986.1.p1
OG0000650	XM_001591192.1.p1	XM_002998638.1.p1, XM_002998635.1.p1
OG0000651	XM_001589867.1.p1	XM_002909554.1.p1
OG0000652	XM_001589897.1.p1	XM_002899274.1.p1, XM_002899268.1.p1, XM_002899250.1.p1, XM_002899253.1.p1, XM_002899260.1.p1, XM_002905216.1.p1, XM_002905215.1.p1
OG0000653	XM_001590014.1.p1	XM_002905142.1.p1
OG0000654	XM_001590171.1.p1	XM_002905503.1.p1, XM_002896184.1.p1, XM_002999187.1.p1
OG0000689	XM_001598930.1.p1	XM_002902002.1.p1
OG0000691	XM_001596841.1.p1, XM_001598866.1.p1	XM_002899498.1.p1, XM_002899499.1.p1, XM_002899500.1.p1
OG0000692	XM_001586983.1.p1, XM_001596690.1.p1	XM_002896972.1.p1
OG0000693	XM_001586996.1.p1, XM_001595543.1.p1	XM_002908330.1.p1
OG0000695	XM_001597686.1.p1	XM_002908380.1.p1
OG0000696	XM_001592962.1.p1	XM_002997184.1.p1, XM_002894877.1.p1, XM_002897139.1.p1
OG0000697	XM_001592059.1.p1	XM_002997309.1.p1, XM_002899160.1.p1, XM_002905273.1.p1, XM_002905272.1.p1
OG0000698	XM_001590537.1.p1	XM_002901085.1.p1, XM_002906912.1.p1, XM_002899147.1.p1, XM_002899145.1.p1, XM_002895768.1.p1, XM_002897802.1.p1
OG0000699	XM_001590475.1.p1, XM_001593484.1.p1	XM_002908585.1.p1
OG0000700	XM_001584906.1.p1, XM_001592747.1.p1	XM_002901885.1.p1
OG0000701	XM_001592679.1.p1	XM_002909822.1.p1, XM_002901069.1.p1, XM_002997107.1.p1, XM_002997113.1.p1, XM_002899135.1.p1
OG0000702	XM_001598084.1.p1	XM_002901721.1.p1, XM_002901725.1.p1
OG0000703	XM_001587072.1.p1, XM_001596650.1.p1	XM_002908346.1.p1
OG0000704	XM_001593468.1.p1, XM_001596068.1.p1, XM_001590206.1.p1	XM_002904730.1.p1, XM_002902681.1.p1
OG0000706	XM_001590210.1.p1	XM_002908698.1.p1
OG0000707	XM_001588042.1.p1, XM_001594347.1.p1	XM_002908893.1.p1
OG0000708	XM_001594380.1.p1	XM_002898996.1.p1, XM_002898997.1.p1
OG0000711	XM_001593541.1.p1	XM_002899067.1.p1, XM_002895483.1.p1, XM_002904904.1.p1
OG0000714	XM_001592758.1.p1	XM_002902970.1.p1, XM_002907554.1.p1
OG0000715	XM_001593006.1.p1	XM_002905627.1.p1, XM_002905625.1.p1, XM_002905780.1.p1, XM_002905624.1.p1
OG0000716	XM_001597536.1.p1	XM_002907040.1.p1
OG0000717	XM_001589673.1.p1, XM_001595545.1.p1	XM_002899334.1.p1, XM_002904276.1.p1, XM_002897755.1.p1
OG0000723	XM_001595072.1.p1	XM_002997667.1.p1, XM_002997663.1.p1
OG0000725	XM_001598507.1.p1	XM_002905483.1.p1, XM_002899660.1.p1
OG0000727	XM_001598010.1.p1	XM_002909204.1.p1, XM_002909203.1.p1, XM_002909210.1.p1
OG0000728	XM_001598003.1.p1	XM_002901279.1.p1, XM_002901283.1.p1
OG0000729	XM_001589496.1.p1	XM_002896877.1.p1, XM_002896876.1.p1, XM_002908223.1.p1
OG0000731	XM_001591997.1.p1	XM_002997686.1.p1, XM_002906789.1.p1, XM_002897203.1.p1
OG0000733	XM_001594881.1.p1, XM_001586166.1.p1	XM_002908333.1.p1, XM_002997367.1.p1
OG0000737	XM_001586489.1.p1	XM_002909103.1.p1, XM_002905074.1.p1, XM_002908034.1.p1
OG0000739	XM_001588421.1.p1	XM_002904872.1.p1
OG0000740	XM_001590418.1.p1, XM_001598607.1.p1	XM_002903445.1.p1, XM_002903443.1.p1
OG0000749	XM_001594373.1.p1	XM_002902204.1.p1
OG0000752	XM_001594710.1.p1	XM_002903604.1.p1, XM_002904387.1.p1
OG0000753	XM_001597364.1.p1, XM_001595651.1.p1	XM_002908762.1.p1
OG0000755	XM_001592450.1.p1	XM_002901817.1.p1, XM_002895211.1.p1
OG0000756	XM_001587757.1.p1, XM_001588139.1.p1	XM_002997637.1.p1
OG0000757	XM_001587731.1.p1	XM_002899112.1.p1, XM_002899113.1.p1, XM_002901010.1.p1
OG0000758	XM_001587676.1.p1, XM_001591506.1.p1	XM_002903107.1.p1
OG0000759	XM_001591970.1.p1, XM_001586952.1.p1	XM_002895194.1.p1, XM_002902300.1.p1
OG0000761	XM_001598429.1.p1	XM_002906732.1.p1, XM_002895889.1.p1, XM_002898601.1.p1
OG0000762	XM_001597935.1.p1	XM_002907525.1.p1
OG0000763	XM_001585675.1.p1	XM_002907286.1.p1, XM_002908266.1.p1, XM_002907665.1.p1, XM_002905370.1.p1
OG0000768	XM_001593314.1.p1	XM_002897177.1.p1, XM_002997227.1.p1
OG0000769	XM_001596308.1.p1	XM_002896119.1.p1, XM_002901208.1.p1, XM_002900411.1.p1, XM_002905401.1.p1
OG0000770	XM_001596306.1.p1	XM_002900722.1.p1
OG0000771	XM_001589657.1.p1	XM_002998871.1.p1
OG0000772	XM_001596637.1.p1	XM_002909694.1.p1, XM_002906253.1.p1
OG0000773	XM_001584780.1.p1	XM_002896003.1.p1, XM_002899389.1.p1, XM_002899411.1.p1, XM_002899412.1.p1, XM_002899410.1.p1, XM_002900287.1.p1
OG0000774	XM_001589984.1.p1, XM_001596764.1.p1	XM_002906333.1.p1, XM_002906330.1.p1
OG0000776	XM_001597658.1.p1	XM_002904964.1.p1, XM_002904565.1.p1, XM_002907379.1.p1, XM_002906666.1.p1
OG0000777	XM_001590013.1.p1	XM_002901803.1.p1, XM_002896561.1.p1
OG0000780	XM_001597851.1.p1	XM_002894732.1.p1
OG0000781	XM_001592071.1.p1	XM_002908637.1.p1
OG0000782	XM_001591996.1.p1	XM_002903633.1.p2, XM_002896188.1.p2
OG0000784	XM_001587319.1.p1	XM_002909512.1.p1
OG0000785	XM_001594102.1.p1, XM_001587396.1.p1	XM_002900781.1.p1, XM_002900783.1.p1, XM_002902027.1.p1, XM_002898862.1.p1
OG0000786	XM_001593742.1.p1	XM_002908344.1.p1
OG0000788	XM_001584792.1.p1	XM_002901200.1.p1, XM_002908530.1.p1, XM_002998049.1.p1
OG0000789	XM_001591834.1.p1	XM_002909449.1.p1, XM_002909448.1.p1
OG0000790	XM_001586535.1.p1	XM_002909396.1.p1, XM_002996966.1.p1
OG0000791	XM_001591637.1.p1	XM_002998904.1.p1, XM_002901666.1.p1
OG0000793	XM_001589734.1.p1	XM_002900796.1.p1, XM_002900798.1.p1, XM_002900797.1.p1, XM_002900795.1.p1, XM_002900794.1.p1
OG0000796	XM_001584508.1.p1	XM_002896307.1.p1, XM_002908493.1.p1, XM_002901665.1.p1, XM_002895181.1.p1
OG0000803	XM_001589586.1.p1	XM_002902513.1.p1, XM_002904069.1.p1
OG0000849	XM_001589840.1.p1	XM_002897149.1.p1
OG0000852	XM_001597867.1.p1, XM_001586169.1.p1	XM_002909456.1.p1, XM_002904672.1.p1
OG0000853	XM_001595311.1.p1	XM_002905345.1.p1, XM_002997313.1.p1
OG0000858	XM_001597475.1.p1	XM_002998646.1.p1, XM_002906377.1.p1
OG0000862	XM_001591099.1.p1, XM_001592260.1.p1	XM_002907591.1.p1
OG0000863	XM_001598485.1.p1	XM_002998770.1.p1
OG0000865	XM_001598326.1.p1, XM_001594524.1.p1	XM_002904113.1.p1
OG0000867	XM_001592118.1.p1	XM_002999011.1.p1, XM_002905630.1.p1
OG0000868	XM_001597680.1.p1	XM_002906850.1.p1, XM_002899913.1.p1, XM_002895376.1.p1
OG0000870	XM_001597050.1.p1, XM_001591289.1.p1	XM_002897345.1.p1
OG0000871	XM_001596910.1.p1	XM_002997508.1.p1, XM_002997510.1.p1
OG0000875	XM_001593845.1.p1	XM_002899517.1.p1
OG0000877	XM_001592045.1.p1	XM_002909697.1.p1, XM_002895232.1.p1
OG0000878	XM_001597928.1.p1, XM_001587993.1.p1	XM_002907614.1.p1
OG0000879	XM_001594949.1.p1	XM_002895896.1.p1, XM_002896280.1.p1
OG0000881	XM_001592700.1.p1	XM_002894897.1.p1, XM_002902085.1.p1, XM_002906085.1.p1
OG0000883	XM_001590066.1.p1	XM_002902942.1.p1, XM_002899476.1.p1
OG0000886	XM_001596807.1.p1, XM_001586833.1.p1	XM_002901612.1.p1, XM_002897255.1.p1
OG0000887	XM_001585183.1.p1	XM_002906923.1.p1, XM_002896030.1.p1
OG0000888	XM_001598811.1.p1	XM_002901760.1.p1, XM_002895802.1.p1
OG0000889	XM_001593531.1.p1	XM_002902455.1.p1
OG0000890	XM_001594041.1.p1	XM_002904671.1.p1, XM_002905337.1.p1
OG0000891	XM_001588984.1.p1	XM_002908571.1.p1
OG0000893	XM_001587349.1.p1	XM_002895326.1.p1, XM_002899095.1.p1
OG0000894	XM_001588147.1.p1, XM_001584614.1.p1	XM_002900332.1.p1, XM_002895065.1.p1
OG0000895	XM_001593426.1.p1, XM_001585222.1.p1	XM_002905325.1.p1, XM_002894834.1.p1, XM_002907052.1.p1
OG0000896	XM_001587430.1.p1	XM_002896638.1.p1, XM_002908272.1.p1
OG0000897	XM_001584839.1.p1	XM_002903653.1.p1, XM_002900188.1.p1, XM_002900191.1.p1
OG0000901	XM_001587500.1.p1, XM_001595026.1.p1	XM_002997506.1.p1
OG0000903	XM_001589310.1.p1	XM_002907303.1.p1, XM_002904006.1.p1, XM_002998416.1.p1, XM_002905852.1.p1
OG0000905	XM_001585490.1.p1	XM_002898389.1.p1
OG0000907	XM_001598473.1.p1	XM_002895494.1.p1, XM_002996922.1.p1, XM_002996921.1.p1, XM_002902319.1.p1, XM_002903325.1.p1
OG0000908	XM_001598421.1.p1	XM_002909125.1.p1, XM_002895398.1.p1
OG0000909	XM_001585850.1.p1	XM_002907222.1.p1
OG0000910	XM_001585978.1.p1	XM_002900784.1.p1, XM_002900777.1.p1
OG0000911	XM_001592009.1.p1, XM_001586023.1.p1	XM_002902828.1.p1
OG0000912	XM_001591972.1.p1	XM_002906816.1.p1, XM_002895767.1.p1, XM_002908763.1.p1, XM_002899779.1.p1, XM_002906141.1.p1
OG0000913	XM_001587954.1.p1	XM_002895387.1.p1, XM_002895736.1.p1
OG0000914	XM_001588938.1.p1, XM_001596624.1.p1	XM_002896846.1.p1, XM_002997209.1.p1
OG0000915	XM_001589716.1.p1	XM_002904242.1.p1, XM_002904250.1.p1, XM_002904246.1.p1, XM_002904255.1.p1, XM_002909884.1.p1
OG0000916	XM_001586143.1.p1	XM_002897075.1.p1, XM_002900001.1.p1
OG0000918	XM_001585357.1.p1	XM_002899981.1.p1
OG0000919	XM_001595755.1.p1	XM_002906690.1.p1, XM_002909086.1.p1
OG0000921	XM_001586426.1.p1	XM_002905339.1.p1, XM_002894860.1.p1, XM_002894859.1.p1, XM_002905338.1.p1
OG0000923	XM_001585619.1.p1, XM_001588156.1.p1	XM_002903103.1.p1
OG0000924	XM_001588165.1.p1	XM_002902148.1.p1
OG0000925	XM_001588295.1.p1	XM_002908705.1.p1
OG0000926	XM_001588337.1.p1	XM_002899768.1.p1
OG0000930	XM_001590812.1.p1	XM_002902641.1.p1, XM_002902652.1.p1
OG0000931	XM_001590956.1.p1	XM_002902333.1.p1, XM_002895622.1.p1, XM_002901196.1.p1, XM_002901194.1.p1
OG0000932	XM_001592461.1.p1	XM_002896852.1.p1, XM_002997880.1.p1
OG0000933	XM_001597308.1.p1, XM_001589184.1.p1	XM_002899709.1.p1
OG0000935	XM_001597612.1.p1	XM_002908568.1.p1
OG0000938	XM_001592787.1.p1	XM_002901074.1.p1
OG0000941	XM_001589442.1.p1	XM_002905413.1.p1, XM_002905427.1.p1, XM_002905450.1.p1, XM_002900666.1.p1
OG0000942	XM_001598561.1.p1	XM_002905696.1.p1, XM_002909695.1.p1, XM_002901600.1.p1
OG0000943	XM_001598120.1.p1, XM_001586755.1.p1	XM_002896953.1.p1
OG0000944	XM_001594848.1.p1	XM_002908240.1.p1, XM_002908055.1.p1
OG0000947	XM_001585954.1.p1	XM_002903968.1.p1, XM_002903969.1.p1
OG0000948	XM_001585833.1.p1	XM_002908804.1.p1
OG0000949	XM_001594546.1.p1	XM_002902742.1.p1
OG0000950	XM_001594563.1.p1	XM_002901630.1.p1
OG0000951	XM_001594629.1.p1	XM_002900425.1.p1, XM_002896050.1.p1
OG0000955	XM_001597434.1.p1	XM_002901839.1.p1, XM_002901192.1.p1
OG0000957	XM_001587734.1.p1	XM_002908253.1.p1
OG0000959	XM_001586787.1.p1	XM_002900758.1.p1
OG0000960	XM_001586733.1.p1	XM_002904315.1.p1, XM_002905389.1.p1
OG0000963	XM_001598483.1.p1	XM_002906252.1.p1, XM_002998562.1.p1
OG0000964	XM_001598496.1.p1	XM_002896673.1.p1, XM_002907018.1.p1
OG0000965	XM_001588649.1.p1	XM_002908322.1.p1
OG0000966	XM_001598229.1.p1	XM_002900990.1.p1, XM_002998487.1.p1, XM_002998488.1.p1
OG0000967	XM_001598185.1.p1	XM_002901790.1.p1, XM_002901789.1.p1, XM_002901743.1.p1
OG0000968	XM_001597972.1.p1	XM_002898305.1.p1, XM_002895083.1.p1
OG0000969	XM_001590395.1.p1	XM_002900317.1.p1
OG0000972	XM_001588168.1.p1	XM_002905838.1.p1, XM_002894672.1.p1, XM_002905851.1.p1, XM_002905850.1.p1
OG0000973	XM_001592719.1.p1	XM_002899475.1.p1, XM_002895977.1.p1, XM_002896979.1.p1
OG0000974	XM_001592931.1.p1	XM_002901950.1.p1, XM_002901954.1.p1, XM_002901951.1.p1, XM_002901952.1.p1
OG0000975	XM_001592866.1.p1	XM_002908537.1.p1, XM_002907610.1.p1
OG0000978	XM_001596255.1.p1	XM_002998731.1.p1, XM_002898148.1.p1, XM_002905911.1.p1, XM_002905910.1.p1, XM_002905912.1.p1
OG0000980	XM_001597641.1.p1	XM_002900137.1.p1
OG0000981	XM_001597094.1.p1	XM_002899404.1.p1, XM_002900028.1.p1, XM_002895807.1.p1, XM_002908847.1.p1
OG0000982	XM_001589316.1.p1	XM_002907800.1.p1, XM_002907799.1.p1
OG0000984	XM_001589081.1.p1	XM_002909787.1.p1, XM_002998986.1.p1, XM_002909800.1.p1
OG0000985	XM_001595306.1.p1	XM_002999205.1.p1
OG0000986	XM_001595223.1.p1	XM_002908354.1.p1, XM_002906700.1.p1, XM_002901719.1.p1
OG0000988	XM_001595146.1.p1, XM_001595145.1.p1	XM_002899597.1.p1, XM_002902807.1.p1
OG0000992	XM_001593447.1.p1	XM_002904976.1.p1, XM_002996975.1.p1
OG0000995	XM_001593519.1.p1	XM_002902552.1.p1, XM_002909030.1.p1
OG0000996	XM_001593992.1.p1	XM_002997352.1.p1
OG0000997	XM_001591942.1.p1	XM_002901021.1.p1
OG0000998	XM_001591845.1.p1	XM_002909246.1.p1
OG0000999	XM_001586531.1.p1	XM_002898006.1.p2, XM_002898010.1.p1, XM_002894989.1.p1, XM_002909723.1.p1
OG0001000	XM_001591689.1.p1	XM_002905129.1.p1, XM_002907678.1.p1
OG0001001	XM_001591874.1.p1	XM_002907974.1.p1, XM_002904125.1.p1, XM_002899720.1.p1, XM_002998257.1.p1
OG0001002	XM_001584624.1.p1	XM_002898722.1.p1, XM_002909369.1.p1, XM_002997682.1.p1
OG0001003	XM_001592200.1.p1	XM_002906447.1.p1
OG0001005	XM_001592369.1.p1	XM_002999208.1.p1, XM_002907574.1.p1
OG0001006	XM_001596953.1.p1	XM_002898504.1.p1, XM_002904539.1.p1, XM_002904531.1.p1, XM_002997486.1.p1
OG0001007	XM_001584905.1.p1	XM_002999254.1.p1, XM_002897568.1.p1, XM_002899065.1.p2, XM_002908643.1.p1
OG0001008	XM_001590820.1.p1	XM_002898517.1.p1
OG0001009	XM_001595958.1.p1	XM_002999100.1.p1, XM_002996976.1.p1
OG0001010	XM_001596176.1.p1	XM_002903317.1.p1, XM_002897756.1.p1, XM_002898260.1.p1, XM_002998141.1.p1, XM_002908057.1.p1
OG0001011	XM_001598916.1.p1	XM_002997078.1.p1, XM_002895511.1.p1, XM_002895914.1.p1
OG0001012	XM_001588214.1.p1, XM_001588516.1.p1	XM_002900564.1.p1
OG0001015	XM_001584676.1.p1, XM_001584677.1.p1	XM_002901405.1.p1
OG0001016	XM_001591205.1.p1	XM_002900491.1.p1, XM_002998441.1.p1
OG0001017	XM_001591173.1.p1	XM_002901423.1.p1, XM_002897623.1.p1
OG0001018	XM_001585294.1.p1, XM_001585295.1.p1	XM_002908072.1.p1, XM_002896592.1.p1
OG0001019	XM_001585284.1.p1	XM_002906412.1.p1, XM_002901185.1.p1, XM_002901186.1.p1
OG0001020	XM_001585265.1.p1	XM_002896285.1.p1, XM_002895942.1.p1, XM_002896295.1.p1, XM_002896286.1.p1
OG0001023	XM_001590041.1.p1	XM_002897376.1.p1, XM_002897784.1.p1, XM_002900321.1.p1
OG0001024	XM_001590016.1.p1	XM_002997525.1.p1
OG0001090	XM_001590376.1.p1	XM_002898448.1.p1, XM_002898446.1.p1
OG0001092	XM_001591181.1.p1	XM_002902887.1.p1, XM_002902888.1.p1
OG0001097	XM_001584519.1.p1, XM_001587943.1.p1	XM_002998834.1.p1
OG0001100	XM_001590743.1.p1, XM_001597669.1.p1	XM_002904838.1.p1
OG0001102	XM_001585061.1.p1	XM_002996846.1.p1, XM_002906115.1.p1
OG0001104	XM_001596023.1.p1, XM_001592578.1.p1	XM_002902489.1.p1
OG0001105	XM_001597397.1.p1	XM_002909146.1.p1, XM_002909757.1.p1, XM_002895409.1.p1
OG0001109	XM_001585917.1.p1	XM_002906655.1.p1, XM_002896986.1.p1
OG0001110	XM_001585955.1.p1	XM_002905083.1.p1, XM_002905589.1.p1
OG0001112	XM_001591464.1.p1	XM_002907849.1.p1, XM_002895833.1.p1
OG0001116	XM_001594527.1.p1	XM_002901705.1.p1, XM_002896706.1.p1
OG0001117	XM_001584998.1.p1, XM_001597153.1.p1	XM_002908033.1.p1
OG0001118	XM_001586044.1.p1	XM_002997473.1.p1
OG0001120	XM_001588462.1.p1	XM_002897083.1.p1
