Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Saccharomyces_cerevisiae_rna_prot
OG0000490	XM_001589239.1.p1	NM_001181157.3.p1
OG0000491	XM_001591479.1.p1	NM_001178181.1.p1
OG0000491	XM_001590012.1.p1	NM_001181302.1.p1
OG0000494	XM_001594386.1.p1	NM_001180621.1.p1
OG0000497	XM_001596284.1.p1	NM_001182968.3.p1, NM_001179253.1.p1
OG0000498	XM_001586996.1.p1, XM_001595543.1.p1	NM_001182029.1.p1
OG0000499	XM_001594743.1.p1, XM_001588554.1.p1	NM_001183785.1.p1, NM_001178196.2.p1, NM_001184035.1.p1, NM_001181004.3.p1
OG0000500	XM_001584816.1.p1	NM_001180454.3.p1, NM_001182020.1.p1
OG0000501	XM_001584728.1.p1	NM_001178581.3.p1
OG0000501	XM_001591462.1.p1	NM_001178272.1.p1
OG0000502	XM_001585206.1.p1	NM_001179651.1.p1
OG0000502	XM_001590161.1.p1	NM_001180137.1.p1
OG0000503	XM_001597809.1.p1	NM_001180938.3.p1
OG0000506	XM_001596570.1.p1	NM_001183966.1.p1
OG0000506	XM_001585581.1.p1	NM_001179501.1.p1
OG0000507	XM_001592146.1.p1	NM_001180329.3.p1
OG0000507	XM_001594601.1.p1	NM_001179849.3.p1
OG0000514	XM_001593274.1.p1	NM_001179138.1.p1
OG0000517	XM_001590260.1.p1	NM_001179482.3.p1
OG0000517	XM_001588081.1.p1	NM_001178821.1.p1, NM_001179356.1.p1
OG0000518	XM_001590757.1.p1	NM_001180956.3.p1
OG0000518	XM_001597485.1.p1	NM_001179353.1.p1
OG0000519	XM_001588250.1.p1	NM_001179754.1.p1
OG0000519	XM_001592932.1.p1	NM_001183961.1.p1
OG0000520	XM_001591603.1.p1	NM_001183118.1.p1
OG0000522	XM_001595612.1.p1	NM_001181043.1.p1, NM_001180879.1.p1
OG0000522	XM_001597943.1.p1	NM_001181833.1.p1
OG0000523	XM_001585437.1.p1	NM_001182116.1.p1
OG0000525	XM_001594404.1.p1	NM_001178987.1.p1, NM_001178301.1.p1
OG0000525	XM_001593959.1.p1	NM_001180263.1.p1
OG0000532	XM_001593715.1.p1	NM_001181046.1.p1
OG0000532	XM_001596173.1.p1	NM_001179394.3.p1
OG0000534	XM_001590038.1.p1	NM_001181674.1.p1
OG0000540	XM_001590468.1.p1	NM_001179866.3.p1, NM_001182757.1.p1, NM_001181283.3.p1
OG0000543	XM_001595141.1.p1, XM_001594622.1.p1	NM_001183451.1.p1
OG0000547	XM_001597908.1.p1	NM_001183937.1.p1
OG0000548	XM_001598930.1.p1	NM_001180969.3.p1, NM_001178589.1.p1
OG0000554	XM_001597381.1.p1	NM_001183178.1.p1, NM_001178718.1.p1
OG0000555	XM_001594828.1.p1	NM_001178644.1.p1
OG0000557	XM_001588649.1.p1	NM_001178465.3.p1, NM_001184171.1.p1
OG0000561	XM_001592440.1.p1	NM_001183112.1.p1
OG0000562	XM_001595328.1.p1	NM_001182363.1.p1
OG0000563	XM_001597235.1.p1, XM_001584930.1.p1, XM_001591823.1.p1	NM_001179560.1.p1
OG0000565	XM_001591908.1.p1	NM_001183508.1.p1
OG0000565	XM_001586006.1.p1	NM_001179804.1.p1
OG0000566	XM_001592658.1.p1	NM_001183623.3.p1, NM_001183933.1.p1
OG0000568	XM_001586737.1.p1	NM_001181945.1.p1
OG0000568	XM_001595590.1.p1	NM_001178611.3.p1
OG0000570	XM_001590616.1.p1	NR_172478.1.p1
OG0000571	XM_001587072.1.p1	NM_001183842.1.p1
OG0000572	XM_001588215.1.p1	NM_001184063.1.p1, NM_001182698.1.p1
OG0000573	XM_001598905.1.p1	NM_001181541.1.p1
OG0000575	XM_001588302.1.p1	NM_001182610.1.p1
OG0000577	XM_001594482.1.p1	NM_001178735.1.p1, NM_001178402.1.p1, NM_001180341.1.p1
OG0000580	XM_001589111.1.p1, XM_001595987.1.p1	NM_001181526.1.p1
OG0000581	XM_001598836.1.p1, XM_001585825.1.p1	NM_001184046.1.p1, NM_001182689.1.p1
OG0000582	XM_001592617.1.p1	NM_001180884.3.p1
OG0000582	XM_001592459.1.p1	NM_001183458.1.p1
OG0000583	XM_001587683.1.p1	NM_001178917.3.p1, NM_001179456.1.p1
OG0000586	XM_001596162.1.p1, XM_001589542.1.p1	NM_001178805.1.p1
OG0000588	XM_001586513.1.p1	NM_001178421.4.p1
OG0000588	XM_001586815.1.p1	NM_001181028.1.p1
OG0000593	XM_001589346.1.p1	NM_001181067.1.p1
OG0000595	XM_001589667.1.p1	NM_001181838.1.p1
OG0000599	XM_001590786.1.p1	NM_001178626.1.p1, NM_001181498.1.p1
OG0000599	XM_001598047.1.p1	NM_001183778.1.p1
OG0000600	XM_001598296.1.p1	NM_001178509.3.p1, NM_001183871.1.p1
OG0000602	XM_001593498.1.p1	NM_001178956.3.p1
OG0000602	XM_001593423.1.p1	NM_001184103.1.p1
OG0000603	XM_001589302.1.p1	NM_001182337.3.p1, NM_001182433.1.p1
OG0000607	XM_001590536.1.p1	NM_001178367.1.p1
OG0000608	XM_001588104.1.p1, XM_001585159.1.p1	NM_001179694.1.p1
OG0000610	XM_001592833.1.p1	NM_001179760.1.p1
OG0000610	XM_001587685.1.p1	NM_001179428.3.p1
OG0000612	XM_001585145.1.p1, XM_001585254.1.p1	NM_001181757.1.p1
OG0000613	XM_001598913.1.p1	NM_001180115.1.p1
OG0000613	XM_001590405.1.p1	NM_001182069.1.p1
OG0000614	XM_001596566.1.p1, XM_001595436.1.p1	NM_001181707.1.p1, NM_001178856.1.p1
OG0000616	XM_001588389.1.p1	NM_001183509.1.p1
OG0000617	XM_001593217.1.p1	NM_001181141.1.p1
OG0000618	XM_001591111.1.p1	NM_001183099.1.p1
OG0000620	XM_001588805.1.p1	NM_001180695.3.p1
OG0000623	XM_001590677.1.p1	NM_001179782.1.p1
OG0000624	XM_001594377.1.p1	NM_001183505.1.p1, NM_001182925.1.p1
OG0000627	XM_001597895.1.p1	NM_001179308.1.p1, NM_001178822.1.p1
OG0000628	XM_001586561.1.p1	NM_001178166.1.p1
OG0000629	XM_001594794.1.p1	NM_001179929.1.p1
OG0000630	XM_001589004.1.p1	NM_001181630.1.p1
OG0000631	XM_001585037.1.p1	NM_001178701.1.p1
OG0000634	XM_001593326.1.p1	NM_001182750.1.p1, NM_001183736.3.p1
OG0000641	XM_001586942.1.p1	NM_001182231.1.p1, NM_001181161.3.p1, NM_001182817.1.p1
OG0000644	XM_001591081.1.p1	NM_001179101.1.p1
OG0000646	XM_001590778.1.p1	NM_001181545.2.p1, NM_001179826.2.p1
OG0000648	XM_001594682.1.p1, XM_001589012.1.p1	NM_001179393.1.p1
OG0000649	XM_001589418.1.p1, XM_001589600.1.p1	NM_001180595.3.p1, NM_001179176.1.p1
OG0000652	XM_001592321.1.p1	NM_001178727.1.p1
OG0000656	XM_001594487.1.p1	NM_001178723.1.p1, NM_001183179.3.p1, NM_001180692.1.p1
OG0000658	XM_001588121.1.p1, XM_001585190.1.p1, XM_001590345.1.p1	NM_001179447.3.p1
OG0000659	XM_001588433.1.p1, XM_001597588.1.p1	NM_001184005.1.p1, NM_001180947.3.p1
OG0000660	XM_001587702.1.p1	NM_001183616.3.p1
OG0000661	XM_001591625.1.p1	NM_001181768.1.p1
OG0000663	XM_001595888.1.p1	NM_001180345.1.p1
OG0000663	XM_001593339.1.p1	NM_001182911.1.p1
OG0000665	XM_001597611.1.p1	NM_001183024.2.p1
OG0000665	XM_001587764.1.p1	NM_001182730.1.p1
OG0000666	XM_001588311.1.p1, XM_001590386.1.p1	NM_001178636.4.p1
OG0000675	XM_001593877.1.p1	NM_001182237.1.p1
OG0000680	XM_001597379.1.p1, XM_001594200.1.p1, XM_001594199.1.p1	NM_001179545.3.p1
OG0000681	XM_001588807.1.p1, XM_001593083.1.p1	NM_001183218.3.p1
OG0000687	XM_001590432.1.p1, XM_001588710.1.p1	NM_001181736.3.p1
OG0000688	XM_001584724.1.p1, XM_001597165.1.p1	NM_001178355.2.p1
OG0000695	XM_001598068.1.p1	NM_001178174.1.p1, NM_001183746.1.p1
OG0000696	XM_001591039.1.p1	NM_001180924.4.p1
OG0000697	XM_001592369.1.p1	NM_001178442.2.p1
OG0000698	XM_001585443.1.p1, XM_001588339.1.p1, XM_001589297.1.p1	NM_001180385.3.p1
OG0000699	XM_001589881.1.p1, XM_001587920.1.p1, XM_001586012.1.p1	NM_001182173.1.p1
OG0000700	XM_001596857.1.p1	NM_001179167.1.p1
OG0000702	XM_001590377.1.p1	NM_001178296.2.p1, NM_001178980.1.p1
OG0000703	XM_001586680.1.p1, XM_001584591.1.p1, XM_001593587.1.p1	NM_001178531.1.p1, NM_001183901.1.p1
OG0000704	XM_001593295.1.p1, XM_001598316.1.p1	NM_001179180.1.p1, NM_001181921.2.p1, NM_001183376.1.p1
OG0000711	XM_001593724.1.p1	NM_001181812.1.p1
OG0000718	XM_001584951.1.p1, XM_001589768.1.p1	NM_001179052.4.p1
OG0000723	XM_001595771.1.p1	NM_001183906.1.p1
OG0000727	XM_001592634.1.p1	NM_001182172.1.p1
OG0000729	XM_001593697.1.p1	NM_001178498.1.p1, NM_001183343.1.p1
OG0000730	XM_001592960.1.p1	NM_001179716.1.p1
OG0000731	XM_001598010.1.p1, XM_001588455.1.p1	NM_001182875.3.p1
OG0000733	XM_001590497.1.p1	NM_001179058.1.p1
OG0000736	XM_001598120.1.p1, XM_001586755.1.p1	NM_001178639.1.p1
OG0000737	XM_001585464.1.p1	NM_001178410.1.p1
OG0000738	XM_001589763.1.p1	NM_001183315.1.p1
OG0000741	XM_001597032.1.p1, XM_001585910.1.p1	NM_001180298.1.p1
OG0000743	XM_001597463.1.p1	NM_001183285.1.p1
OG0000751	XM_001589822.1.p1, XM_001596945.1.p1	NM_001182842.3.p1
OG0000757	XM_001593138.1.p1	NM_001182939.1.p1, NM_001179712.1.p1
OG0000759	XM_001593983.1.p1, XM_001584997.1.p1	NM_001178444.3.p1
OG0000760	XM_001585827.1.p1, XM_001596300.1.p1, XM_001598485.1.p1	NM_001179561.3.p1, NM_001182007.1.p1, NM_001180451.3.p1, NM_001182008.1.p1, NM_001179365.1.p1
OG0000761	XM_001592728.1.p1	NM_001179551.1.p1
OG0000761	XM_001592729.1.p1	NM_001184186.1.p1
OG0000763	XM_001590106.1.p1, XM_001591452.1.p1	NM_001179971.1.p1
OG0000764	XM_001589307.1.p1	NM_001178467.1.p1
OG0000767	XM_001594777.1.p1, XM_001596669.1.p1	NM_001183462.1.p1
OG0000770	XM_001585905.1.p1, XM_001593837.1.p1	NM_001181270.1.p1, NM_001184254.1.p1
OG0000772	XM_001596787.1.p1	NM_001178462.1.p1
OG0000773	XM_001589152.1.p1, XM_001585787.1.p1	NM_001179618.1.p1
OG0000775	XM_001588040.1.p1	NM_001179383.1.p1
OG0000777	XM_001589734.1.p1	NM_001180592.1.p1
OG0000780	XM_001596764.1.p1	NM_001180502.1.p1
OG0000781	XM_001591637.1.p1	NM_001184128.1.p1
OG0000788	XM_001593948.1.p1	NM_001183952.1.p1
OG0000789	XM_001595138.1.p1	NM_001182723.1.p1
OG0000790	XM_001588713.1.p1	NM_001179940.2.p1
OG0000793	XM_001588947.1.p1, XM_001588068.1.p1, XM_001588367.1.p1, XM_001595542.1.p1	NM_001178914.3.p1
OG0000794	XM_001589028.1.p1	NM_001183105.1.p1
OG0000796	XM_001590467.1.p1, XM_001597758.1.p1	NM_001182013.1.p1
OG0000798	XM_001591069.1.p1	NM_001183638.3.p1, NM_001179158.1.p1
OG0000799	XM_001598185.1.p1	NM_001183244.1.p1, NM_001182031.1.p1
OG0000800	XM_001586023.1.p1, XM_001592009.1.p1	NM_001179193.1.p1
OG0000802	XM_001596533.1.p1, XM_001591221.1.p1	NM_001178363.1.p1, NM_001181619.2.p1
OG0000803	XM_001592402.1.p1	NM_001182824.1.p1
OG0000803	XM_001594865.1.p1	NM_001183500.1.p1, NM_001179879.1.p1
OG0000804	XM_001586190.1.p1	NM_001184134.1.p1
OG0000806	XM_001590392.1.p1, XM_001589187.1.p1	NM_001179314.3.p1, NM_001181385.3.p1
OG0000807	XM_001587026.1.p1, XM_001597524.1.p1	NM_001178280.1.p1
OG0000810	XM_001592962.1.p1	NM_001179473.1.p1
OG0000811	XM_001594369.1.p1	NM_001181922.1.p1
OG0000812	XM_001593803.1.p1, XM_001596379.1.p1	NM_001178389.1.p1
OG0000814	XM_001591234.1.p1	NM_001178163.1.p1, NM_001183302.1.p1
OG0000815	XM_001590827.1.p1	NM_001180723.1.p1
OG0000816	XM_001590301.1.p1, XM_001592788.1.p1	NM_001182339.3.p1
OG0000819	XM_001595146.1.p1, XM_001595145.1.p1	NM_001178746.1.p1
OG0000823	XM_001594941.1.p1	NM_001183969.1.p1
OG0000842	XM_001590686.1.p1, XM_001590759.1.p1	NM_001181800.3.p1
OG0000843	XM_001595926.1.p1	NM_001183319.1.p1
OG0000844	XM_001588877.1.p1	NM_001181299.1.p1
OG0000846	XM_001590812.1.p1	NM_001179172.1.p1
OG0000849	XM_001598887.1.p1	NM_001180542.3.p1
OG0000850	XM_001590302.1.p1, XM_001591407.1.p1, XM_001598854.1.p1, XM_001592294.1.p1	NM_001180866.1.p1
OG0000853	XM_001591040.1.p1	NM_001181439.3.p1
OG0000855	XM_001591217.1.p1	NM_001178808.1.p1, NM_001183243.3.p1, NM_001179519.1.p1, NM_001178257.1.p1, NM_001183242.1.p1, NM_001178807.1.p1
OG0000856	XM_001593053.1.p1, XM_001592531.1.p1	NM_001181395.1.p1
OG0000859	XM_001591771.1.p1	NM_001182516.1.p1
OG0000860	XM_001597972.1.p1	NM_001180914.1.p1, NM_001181291.3.p1
OG0000862	XM_001597870.1.p1	NM_001178165.2.p1
OG0000863	XM_001597318.1.p1, XM_001596881.1.p1	NM_001182591.1.p1
OG0000867	XM_001592201.1.p1	NM_001183426.1.p1
OG0000868	XM_001596445.1.p1	NM_001181596.1.p1
OG0000869	XM_001586557.1.p1	NM_001183780.1.p1
OG0000870	XM_001589082.1.p1	NM_001182568.1.p1
OG0000871	XM_001584684.1.p1	NM_001179423.1.p1
OG0000872	XM_001598410.1.p1	NM_001183113.1.p1
OG0000879	XM_001589058.1.p1, XM_001592081.1.p1	NM_001184119.1.p1
OG0000881	XM_001598078.1.p1	NM_001179756.1.p1
OG0000882	XM_001591123.1.p1	NM_001181321.3.p1, NM_001181485.3.p1
OG0000883	XM_001592684.1.p1	NM_001180578.1.p1
OG0000886	XM_001597766.1.p1	NM_001178770.1.p1
OG0000888	XM_001588156.1.p1	NM_001178331.2.p1
OG0000890	XM_001595595.1.p1	NM_001182191.1.p1
OG0000892	XM_001589455.1.p1	NM_001183818.1.p1, NM_001181215.3.p1
OG0000893	XM_001593810.1.p1	NM_001183874.1.p1, NM_001183754.1.p1
OG0000894	XM_001594761.1.p1	NM_001183137.1.p1, NM_001183369.1.p1
OG0000898	XM_001594950.1.p1	NM_001180573.1.p1
OG0000901	XM_001594946.1.p1	NM_001183664.1.p1
OG0000906	XM_001593572.1.p1	NM_001182756.1.p1
OG0000910	XM_001591606.1.p1	NM_001178665.1.p1
OG0000911	XM_001586116.1.p1	NM_001181764.4.p1, NM_001180266.1.p1
OG0000913	XM_001595797.1.p1	NM_001182871.3.p1, NM_001180375.1.p1, NM_001182937.3.p1, NM_001182895.3.p1
OG0000914	XM_001585726.1.p1, XM_001585725.1.p1	NM_001181313.1.p1, NM_001181911.2.p1
OG0000915	XM_001594710.1.p1	NM_001183767.3.p1, NM_001178183.1.p1
OG0000917	XM_001591777.1.p1, XM_001594442.1.p1, XM_001594441.1.p1	NM_001183660.1.p1
OG0000919	XM_001591846.1.p1	NM_001181227.3.p1
OG0000920	XM_001587710.1.p1	NM_001181878.1.p1, NM_001182441.1.p1, NM_001181788.1.p1
OG0000921	XM_001594655.1.p1	NM_001181789.3.p1
OG0000925	XM_001595201.1.p1	NM_001179161.1.p1, NM_001182420.1.p1
OG0000932	XM_001587325.1.p1	NM_001180729.1.p1
OG0000935	XM_001596262.1.p1	NM_001179984.2.p1
OG0000938	XM_001587290.1.p1	NM_001179333.3.p1
OG0000939	XM_001589765.1.p1	NM_001183241.1.p1
OG0000940	XM_001588094.1.p1, XM_001591875.1.p1	NM_001178762.1.p1, NM_001183196.1.p1
OG0000942	XM_001586412.1.p1	NM_001180764.3.p1
OG0000943	XM_001594387.1.p1	NM_001182435.1.p1
OG0000944	XM_001598065.1.p1	NM_001183710.1.p1
OG0000945	XM_001598342.1.p1	NM_001178499.1.p1
OG0000946	XM_001595577.1.p1	NM_001179972.1.p1
OG0000947	XM_001591181.1.p1	NM_001181373.3.p1
OG0000948	XM_001598011.1.p1	NM_001181024.1.p1
OG0000950	XM_001588656.1.p1	NM_001180313.1.p1
OG0000951	XM_001595072.1.p1	NM_001180789.3.p1
OG0000956	XM_001585166.1.p1	NM_001181240.1.p1
OG0000957	XM_001585602.1.p1	NM_001181691.3.p1
OG0000958	XM_001588449.1.p1	NM_001178295.1.p1
OG0000959	XM_001593888.1.p1	NM_001179931.1.p1, NM_001179454.1.p1
OG0000964	XM_001593840.1.p1, XM_001598313.1.p1	NM_001179112.1.p1
OG0000966	XM_001585978.1.p1	NM_001182131.1.p1
OG0000967	XM_001592626.1.p1	NM_001184091.1.p1, NM_001183809.3.p1
OG0000968	XM_001586768.1.p1	NM_001178474.1.p1
OG0000969	XM_001592200.1.p1	NM_001179094.1.p1, NM_001178373.1.p1
OG0000970	XM_001587938.1.p1	NM_001182326.1.p1
OG0000972	XM_001597384.1.p1	NM_001178555.4.p1
OG0000974	XM_001594163.1.p1	NM_001181636.1.p1
OG0000975	XM_001590008.1.p1	NM_001180964.3.p1
OG0000983	XM_001587127.1.p1	NM_001179750.1.p1
OG0000987	XM_001586400.1.p1	NM_001182250.1.p1
OG0000989	XM_001593681.1.p1	NM_001178217.1.p1
OG0000990	XM_001587667.1.p1	NM_001180455.3.p1
OG0000991	XM_001584614.1.p1	NM_001182489.1.p1
OG0000992	XM_001587616.1.p1, XM_001588027.1.p1	NM_001180297.2.p1
OG0000993	XM_001592118.1.p1	NM_001180649.3.p1, NM_001179221.1.p1
OG0000994	XM_001598761.1.p1	NM_001182616.1.p1
OG0000995	XM_001598657.1.p1	NM_001181735.1.p1
OG0000996	XM_001585239.1.p1	NM_001183334.1.p1
OG0000998	XM_001586122.1.p1	NM_001182095.1.p1
OG0001000	XM_001588995.1.p1	NM_001181993.1.p1
OG0001002	XM_001591895.1.p1	NM_001184054.1.p1, NM_001182692.1.p1
OG0001003	XM_001586491.1.p1	NM_001179869.1.p1
OG0001007	XM_001584998.1.p1, XM_001597153.1.p1	NM_001182261.3.p1, NM_001178748.1.p1, NM_001181629.1.p1
OG0001010	XM_001587714.1.p1	NM_001182843.1.p1, NM_001178660.1.p1
OG0001014	XM_001598170.1.p1	NM_001181100.1.p1
OG0001023	XM_001589690.1.p1	NM_001183699.1.p1, NM_001182729.1.p1
OG0001024	XM_001590102.1.p1	NM_001181284.3.p1
OG0001025	XM_001597615.1.p1	NM_001183988.1.p1, NM_001182986.1.p1
OG0001028	XM_001595420.1.p1	NM_001182015.1.p1
OG0001029	XM_001597029.1.p1	NM_001180018.3.p1, NM_001181119.1.p1
OG0001030	XM_001590150.1.p1	NM_001181943.1.p1
OG0001031	XM_001598290.1.p1	NM_001183594.1.p1
OG0001032	XM_001592750.1.p1	NM_001178186.1.p1
OG0001033	XM_001593019.1.p1	NM_001184022.1.p1, NM_001179119.1.p1
OG0001034	XM_001589286.1.p1	NM_001182340.1.p1
OG0001035	XM_001591201.1.p1	NM_001180552.1.p1, NM_001182514.1.p1
OG0001037	XM_001585833.1.p1	NM_001178303.1.p1, NM_001178876.1.p1
OG0001039	XM_001589840.1.p1	NM_001184023.1.p1
OG0001041	XM_001595956.1.p1	NM_001183820.1.p1
OG0001044	XM_001585034.1.p1	NM_001179065.3.p1, NM_001179340.1.p1
OG0001061	XM_001598663.1.p1	NM_001178270.1.p1, NM_001178433.3.p1, NM_001182554.1.p1
OG0001062	XM_001589384.1.p1, XM_001589587.1.p1	NM_001183980.1.p1
OG0001064	XM_001585284.1.p1	NM_001179834.3.p1
OG0001065	XM_001596255.1.p1	NM_001178724.1.p1
OG0001071	XM_001592045.1.p1	NM_001179380.3.p1
OG0001072	XM_001594382.1.p1	NM_001183881.1.p1
OG0001076	XM_001598603.1.p1	NM_001179139.1.p1
OG0001077	XM_001595998.1.p1	NM_001183183.3.p1
OG0001079	XM_001598602.1.p1	NM_001179592.3.p1
OG0001084	XM_001589263.1.p1	NM_001179799.1.p1
OG0001085	XM_001591188.1.p1	NM_001181478.1.p1, NM_001179714.1.p1
OG0001086	XM_001593619.1.p1	NM_001183058.1.p1
OG0001090	XM_001587887.1.p1	NM_001183941.1.p1
OG0001091	XM_001584643.1.p1	NM_001180242.1.p1, NM_001180190.1.p1
OG0001093	XM_001593447.1.p1	NM_001182061.1.p1, NM_001182848.3.p1, NM_001180125.1.p1
OG0001095	XM_001593519.1.p1	NM_001181620.1.p1
OG0001099	XM_001587319.1.p1	NM_001179686.1.p1
OG0001101	XM_001592758.1.p1	NM_001181860.1.p1
OG0001103	XM_001592955.1.p1, XM_001588227.1.p1	NM_001183905.1.p1
OG0001105	XM_001592782.1.p1	NM_001184082.1.p1
OG0001107	XM_001593873.1.p1	NM_001178197.1.p1, NM_001182040.1.p1
OG0001108	XM_001585014.1.p1	NM_001181288.1.p1
OG0001112	XM_001592330.1.p1	NM_001180499.3.p1
OG0001112	XM_001595541.1.p1	NM_001183444.1.p1
OG0001116	XM_001587754.1.p1	NM_001182269.3.p1
OG0001117	XM_001587235.1.p1, XM_001589260.1.p1	NM_001182754.1.p1, NM_001179359.1.p1, NM_001183737.3.p1
OG0001119	XM_001587563.1.p1	NM_001182788.1.p1
OG0001120	XM_001591426.1.p1, XM_001593250.1.p1	NM_001178862.3.p1, NM_001181709.1.p1
OG0001121	XM_001593046.1.p1	NM_001182434.1.p1, NM_001182338.1.p1
OG0001123	XM_001592405.1.p1	NM_001179038.3.p1
OG0001124	XM_001598830.1.p1	NM_001178523.1.p1
OG0001125	XM_001588623.1.p1	NM_001181093.1.p1
OG0001126	XM_001590062.1.p1	NM_001182278.1.p1
OG0001128	XM_001594215.1.p1	NM_001181383.3.p1, NM_001179305.1.p1, NM_001182836.3.p1
OG0001129	XM_001595650.1.p1	NM_001178750.1.p1
OG0001130	XM_001590691.1.p1	NM_001181689.1.p1, NM_001178837.1.p1
OG0001131	XM_001597050.1.p1	NM_001181314.3.p1
OG0001132	XM_001589184.1.p1, XM_001597308.1.p1	NM_001182147.1.p1, NM_001183590.1.p1
OG0001133	XM_001584780.1.p1	NM_001180340.1.p1, NM_001178717.1.p1
OG0001150	XM_001585637.1.p1, XM_001586145.1.p1	NM_001178613.2.p1
OG0001151	XM_001586398.1.p1	NM_001179660.1.p1
OG0001152	XM_001585966.1.p1	NM_001178977.1.p1
OG0001153	XM_001585409.1.p1	NM_001180995.3.p1
OG0001154	XM_001596258.1.p1	NM_001178939.3.p1, NM_001179526.1.p1
OG0001155	XM_001593807.1.p1	NM_001179582.3.p1
OG0001157	XM_001585113.1.p1	NM_001181002.1.p1
OG0001159	XM_001593742.1.p1	NM_001183377.1.p1
OG0001160	XM_001597233.1.p1	NM_001181777.1.p1
OG0001161	XM_001597319.1.p1	NM_001179173.1.p1, NM_001179174.1.p1, NM_001179403.1.p1, NM_001178953.3.p1
OG0001162	XM_001592594.1.p1	NM_001179339.3.p1, NM_001181806.1.p1
OG0001164	XM_001586609.1.p1	NM_001180326.1.p1, NM_001178390.1.p1
OG0001166	XM_001590617.1.p1	NM_001183817.1.p1
OG0001171	XM_001597826.1.p1	NM_001180183.1.p1
OG0001173	XM_001598301.1.p1	NM_001178525.3.p1, NM_001183909.1.p1, NM_001182717.1.p1
OG0001176	XM_001594407.1.p1	NM_001180893.3.p1
OG0001176	XM_001586945.1.p1	NM_001181408.1.p1, NM_001182815.1.p1
OG0001177	XM_001594947.1.p1	NM_001179137.1.p1
OG0001178	XM_001589035.1.p1	NM_001181239.3.p1
OG0001179	XM_001593660.1.p1	NM_001182005.1.p1
OG0001180	XM_001596694.1.p1	NM_001180826.1.p1, NM_001178688.1.p1
OG0001182	XM_001595857.1.p1, XM_001594846.1.p1	NM_001178304.1.p1
OG0001183	XM_001590324.1.p1	NM_001180891.1.p1
OG0001184	XM_001594370.1.p1	NM_001181223.1.p1
OG0001185	XM_001586426.1.p1	NM_001182523.1.p1
OG0001187	XM_001586559.1.p1	NM_001178422.2.p1
OG0001188	XM_001596042.1.p1, XM_001597194.1.p1	NM_001178861.1.p1
OG0001190	XM_001593245.1.p1	NM_001183258.1.p1
OG0001191	XM_001585271.1.p1, XM_001592100.1.p1	NM_001183545.3.p1
OG0001192	XM_001586300.1.p1, XM_001589019.1.p1	NM_001179856.1.p1
OG0001193	XM_001591587.1.p1	NM_001181148.3.p1
OG0001196	XM_001588984.1.p1	NM_001178167.1.p1
OG0001197	XM_001590968.1.p1	NM_001178794.1.p1
OG0001198	XM_001589197.1.p1, XM_001597467.1.p1	NM_001180336.1.p1
OG0001199	XM_001586739.1.p1	NM_001183968.1.p1
OG0001204	XM_001587531.1.p1	NM_001184118.1.p1
OG0001205	XM_001597608.1.p1	NM_001180887.1.p1
OG0001206	XM_001590495.1.p1	NM_001181980.1.p1
OG0001207	XM_001598174.1.p1	NM_001181849.1.p1
OG0001208	XM_001585675.1.p1	NM_001182966.4.p1
OG0001209	XM_001584711.1.p1	NM_001181970.1.p1, NM_001180415.1.p1
OG0001210	XM_001593130.1.p1	NM_001182601.1.p1, NM_001178350.1.p1
OG0001211	XM_001597698.1.p1	NM_001182961.1.p1
OG0001212	XM_001587505.1.p1	NM_001182600.1.p1
OG0001213	XM_001586026.1.p1	NM_001180506.1.p1
OG0001214	XM_001594629.1.p1	NM_001179352.3.p1, NM_001183528.3.p1, NM_001182944.1.p1
OG0001215	XM_001598435.1.p1	NM_001178943.1.p1
OG0001216	XM_001587846.1.p1	NM_001182159.1.p1
OG0001218	XM_001585042.1.p1	NM_001180966.1.p1, NM_001178590.1.p1
OG0001219	XM_001598205.1.p1	NM_001180957.1.p1
OG0001220	XM_001598294.1.p1, XM_001590652.1.p1	NM_001181090.1.p1, NM_001178930.1.p1
OG0001221	XM_001587099.1.p1	NM_001178622.1.p1
OG0001222	XM_001586044.1.p1	NM_001179993.3.p1
OG0001223	XM_001596735.1.p1	NM_001178264.1.p1
OG0001227	XM_001598832.1.p1	NM_001182579.1.p1
OG0001229	XM_001591967.1.p1	NM_001179744.1.p1
OG0001243	XM_001586524.1.p1	NM_001181638.1.p1, NM_001179478.1.p1
OG0001244	XM_001587402.1.p1	NM_001180310.1.p1
OG0001245	XM_001598019.1.p1	NM_001179959.1.p1
OG0001246	XM_001596306.1.p1	NM_001180634.1.p1, NM_001179210.1.p1, NM_001181959.1.p1, NM_001179924.1.p1
OG0001247	XM_001595279.1.p1	NM_001178459.1.p1
OG0001248	XM_001597052.1.p1	NM_001179700.2.p1
OG0001250	XM_001585219.1.p1	NM_001182993.1.p1
OG0001251	XM_001597911.1.p1	NM_001180265.1.p1
OG0001253	XM_001594361.1.p1	NM_001182038.1.p1
OG0001254	XM_001594431.1.p1	NM_001183964.1.p1
OG0001255	XM_001585594.1.p1	NM_001183354.1.p1, NM_001180798.3.p1
OG0001257	XM_001594378.1.p1	NM_001182728.1.p1
OG0001258	XM_001592670.1.p1	NM_001179335.3.p1
OG0001259	XM_001587500.1.p1, XM_001595026.1.p1	NM_001180727.3.p1
OG0001260	XM_001591210.1.p1	NM_001178339.2.p1
OG0001261	XM_001592688.1.p1	NM_001182783.1.p1
