Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Penicillium_expansum_rna_prot
OG0000909	XM_001592755.1.p1	XM_016737833.1.p1
OG0000910	XM_001591606.1.p1	XM_016737785.1.p1
OG0000911	XM_001586116.1.p1	XM_016738900.1.p1
OG0000912	XM_001596337.1.p1	XM_016742481.1.p1
OG0000913	XM_001595797.1.p1	XM_016743052.1.p1
OG0000914	XM_001585725.1.p1	XM_016743692.1.p1
OG0000915	XM_001594710.1.p1	XM_016742914.1.p1
OG0000917	XM_001591777.1.p1	XM_016738702.1.p1
OG0000917	XM_001594441.1.p1	XM_016740685.1.p1
OG0000918	XM_001597261.1.p1, XM_001591703.1.p1	XM_016742155.1.p1, XM_016743729.1.p1, XM_016741509.1.p1
OG0000919	XM_001591846.1.p1	XM_016745385.1.p1
OG0000920	XM_001587710.1.p1	XM_016741048.1.p1
OG0000921	XM_001594655.1.p1	XM_016739715.1.p1
OG0000925	XM_001595201.1.p1	XM_016738794.1.p1
OG0000930	XM_001593408.1.p1	XM_016745597.1.p1, XM_016747324.1.p1, XM_016740174.1.p1
OG0000931	XM_001596854.1.p1	XM_016748310.1.p1
OG0000932	XM_001587325.1.p1	XM_016738801.1.p1
OG0000933	XM_001597415.1.p1	XM_016743316.1.p1
OG0000935	XM_001596262.1.p1	XM_016742912.1.p1
OG0000936	XM_001587773.1.p1	XM_016745100.1.p1, XM_016743504.1.p1, XM_016743780.1.p1, XM_016746380.1.p1, XM_016741752.1.p1
OG0000938	XM_001587290.1.p1	XM_016742441.1.p1
OG0000940	XM_001588094.1.p1	XM_016741809.1.p1
OG0000940	XM_001591875.1.p1	XM_016746830.1.p1
OG0000942	XM_001586412.1.p1	XM_016741740.1.p1
OG0000943	XM_001594387.1.p1	XM_016739560.1.p1
OG0000944	XM_001598065.1.p1	XM_016745899.1.p1
OG0000945	XM_001598342.1.p1	XM_016740764.1.p1, XM_016740393.1.p1, XM_016738015.1.p1
OG0000946	XM_001595577.1.p1	XM_016743092.1.p1
OG0000947	XM_001591181.1.p1	XM_016740787.1.p1
OG0000948	XM_001598011.1.p1	XM_016744471.1.p1
OG0000950	XM_001588656.1.p1	XM_016738508.1.p1, XM_016745830.1.p1
OG0000951	XM_001595072.1.p1	XM_016747931.1.p1
OG0000952	XM_001590098.1.p1	XM_016745010.1.p1
OG0000953	XM_001586843.1.p1	XM_016744158.1.p1, XM_016737735.1.p1, XM_016746188.1.p1, XM_016740395.1.p1
OG0000954	XM_001592026.1.p1	XM_016741766.1.p1
OG0000955	XM_001594722.1.p1	XM_016740687.1.p1
OG0000956	XM_001585166.1.p1	XM_016737896.1.p1
OG0000957	XM_001585602.1.p1	XM_016738476.1.p1
OG0000958	XM_001588449.1.p1	XM_016743051.1.p1
OG0000959	XM_001593888.1.p1	XM_016739418.1.p1
OG0000961	XM_001587170.1.p1	XM_016739569.1.p1
OG0000964	XM_001593840.1.p1	XM_016743684.1.p1
OG0000964	XM_001598313.1.p1	XM_016738022.1.p1
OG0000965	XM_001585357.1.p1	XM_016739478.1.p1, XM_016741495.1.p1
OG0000966	XM_001585978.1.p1	XM_016740942.1.p1
OG0000967	XM_001592626.1.p1	XM_016745781.1.p1
OG0000968	XM_001586768.1.p1	XM_016742593.1.p1
OG0000969	XM_001592200.1.p1	XM_016740498.1.p1
OG0000970	XM_001587938.1.p1	XM_016747879.1.p1
OG0000971	XM_001585772.1.p1	XM_016739398.1.p1
OG0000972	XM_001597384.1.p1	XM_016746974.1.p1
OG0000973	XM_001591714.1.p1	XM_016742275.1.p1
OG0000974	XM_001594159.1.p1	XM_016739259.1.p1
OG0000975	XM_001590008.1.p1	XM_016737498.1.p1
OG0000981	XM_001590758.1.p1	XM_016737730.1.p1
OG0000981	XM_001592822.1.p1	XM_016748236.1.p1, XM_016745536.1.p1
OG0000983	XM_001587127.1.p1	XM_016740703.1.p1
OG0000985	XM_001594520.1.p1, XM_001586705.1.p1	XM_016746111.1.p1
OG0000987	XM_001586400.1.p1	XM_016739384.1.p1
OG0000989	XM_001593681.1.p1	XM_016746445.1.p1
OG0000990	XM_001587667.1.p1	XM_016741026.1.p1
OG0000991	XM_001584614.1.p1	XM_016740831.1.p1
OG0000991	XM_001588147.1.p1	XM_016744015.1.p1
OG0000992	XM_001587616.1.p1	XM_016739400.1.p1, XM_016742450.1.p1
OG0000993	XM_001592118.1.p1	XM_016746173.1.p1
OG0000994	XM_001598761.1.p1	XM_016747831.1.p1
OG0000995	XM_001598657.1.p1	XM_016741188.1.p1
OG0000996	XM_001585239.1.p1	XM_016745606.1.p1
OG0000997	XM_001597390.1.p1	XM_016740474.1.p1
OG0000998	XM_001586122.1.p1	XM_016743203.1.p1
OG0001000	XM_001588995.1.p1	XM_016739437.1.p1
OG0001002	XM_001591895.1.p1	XM_016745399.1.p1
OG0001003	XM_001586491.1.p1	XM_016741549.1.p1
OG0001004	XM_001591998.1.p1	XM_016746918.1.p1
OG0001004	XM_001590075.1.p1	XM_016742284.1.p1
OG0001006	XM_001598279.1.p1	XM_016748055.1.p1
OG0001007	XM_001597153.1.p1	XM_016747095.1.p1
OG0001010	XM_001587714.1.p1	XM_016747756.1.p1
OG0001013	XM_001595593.1.p1	XM_016741863.1.p1
OG0001014	XM_001598170.1.p1	XM_016739900.1.p1
OG0001015	XM_001593604.1.p1	XM_016741942.1.p1
OG0001016	XM_001595811.1.p1	XM_016743129.1.p1
OG0001018	XM_001589900.1.p1	XM_016738091.1.p1, XM_016747297.1.p1, XM_016745258.1.p1
OG0001019	XM_001593936.1.p1	XM_016746389.1.p1
OG0001020	XM_001587899.1.p1	XM_016737779.1.p1
OG0001020	XM_001598910.1.p1	XM_016745021.1.p1
OG0001021	XM_001596254.1.p1	XM_016739869.1.p1, XM_016743549.1.p1, XM_016740950.1.p1
OG0001022	XM_001584957.1.p1	XM_016747103.1.p1
OG0001022	XM_001592881.1.p1	XM_016738920.1.p1
OG0001023	XM_001589690.1.p1	XM_016742329.1.p1, XM_016738280.1.p1
OG0001024	XM_001590102.1.p1	XM_016741823.1.p1
OG0001025	XM_001597615.1.p1	XM_016746668.1.p1
OG0001026	XM_001585171.1.p1	XM_016737671.1.p1
OG0001028	XM_001595420.1.p1	XM_016741467.1.p1
OG0001029	XM_001597029.1.p1	XM_016745574.1.p1
OG0001030	XM_001590150.1.p1	XM_016741602.1.p1, XM_016744676.1.p1
OG0001031	XM_001598290.1.p1	XM_016744638.1.p1
OG0001032	XM_001592750.1.p1	XM_016738009.1.p1
OG0001033	XM_001593019.1.p1	XM_016738079.1.p1
OG0001034	XM_001589286.1.p1	XM_016737428.1.p1
OG0001035	XM_001591201.1.p1	XM_016741144.1.p1
OG0001037	XM_001585833.1.p1	XM_016745411.1.p1
OG0001038	XM_001584660.1.p1	XM_016738052.1.p1
OG0001039	XM_001589840.1.p1	XM_016741818.1.p1
OG0001040	XM_001585509.1.p1	XM_016746463.1.p1
OG0001041	XM_001595956.1.p1	XM_016743790.1.p1
OG0001044	XM_001594810.1.p1, XM_001585034.1.p1	XM_016740820.1.p1
OG0001053	XM_001594048.1.p1, XM_001590154.1.p1	XM_016743887.1.p1
OG0001059	XM_001598005.1.p1	XM_016738090.1.p1
OG0001061	XM_001598663.1.p1	XM_016740921.1.p1
OG0001062	XM_001589384.1.p1	XM_016745070.1.p1
OG0001062	XM_001589587.1.p1	XM_016742261.1.p1
OG0001063	XM_001594182.1.p1	XM_016740696.1.p1, XM_016739966.1.p1
OG0001064	XM_001585284.1.p1	XM_016739433.1.p1
OG0001065	XM_001596255.1.p1	XM_016740946.1.p1
OG0001066	XM_001597746.1.p1	XM_016741614.1.p1
OG0001066	XM_001589877.1.p1	XM_016745623.1.p1
OG0001067	XM_001586670.1.p1	XM_016740081.1.p1
OG0001068	XM_001594868.1.p1	XM_016747476.1.p1
OG0001069	XM_001592162.1.p1	XM_016741677.1.p1
OG0001070	XM_001587376.1.p1	XM_016747066.1.p1
OG0001071	XM_001592045.1.p1	XM_016741960.1.p1
OG0001072	XM_001594382.1.p1	XM_016746177.1.p1, XM_016741004.1.p1
OG0001073	XM_001592588.1.p1	XM_016746468.1.p1
OG0001075	XM_001598429.1.p1	XM_016739825.1.p1
OG0001076	XM_001595171.1.p1	XM_016742488.1.p1
OG0001077	XM_001595998.1.p1	XM_016737739.1.p1
OG0001078	XM_001590375.1.p1	XM_016743229.1.p1
OG0001079	XM_001598602.1.p1	XM_016740858.1.p1
OG0001081	XM_001588384.1.p1	XM_016740907.1.p1
OG0001082	XM_001597171.1.p1	XM_016743927.1.p1
OG0001083	XM_001584635.1.p1	XM_016739425.1.p1
OG0001084	XM_001589263.1.p1	XM_016742540.1.p1
OG0001085	XM_001591188.1.p1	XM_016745865.1.p1
OG0001086	XM_001593619.1.p1	XM_016741223.1.p1
OG0001088	XM_001598916.1.p1	XM_016747677.1.p1, XM_016738574.1.p1
OG0001089	XM_001591672.1.p1, XM_001588523.1.p1, XM_001589749.1.p1	XM_016748304.1.p1
OG0001090	XM_001587887.1.p1	XM_016739236.1.p1
OG0001091	XM_001584643.1.p1	XM_016743700.1.p1
OG0001093	XM_001593447.1.p1	XM_016742036.1.p1
OG0001095	XM_001593519.1.p1	XM_016741831.1.p1
OG0001096	XM_001597021.1.p1	XM_016740519.1.p1, XM_016747432.1.p1, XM_016741362.1.p1
OG0001098	XM_001584687.1.p1	XM_016738044.1.p1
OG0001099	XM_001587319.1.p1	XM_016745938.1.p1
OG0001100	XM_001597302.1.p1	XM_016739106.1.p1
OG0001101	XM_001592758.1.p1	XM_016738024.1.p1
OG0001102	XM_001584733.1.p1	XM_016742671.1.p1, XM_016745242.1.p1, XM_016744255.1.p1
OG0001103	XM_001592955.1.p1	XM_016737778.1.p1
OG0001105	XM_001592782.1.p1	XM_016743387.1.p1
OG0001106	XM_001594241.1.p1	XM_016741343.1.p1
OG0001107	XM_001593873.1.p1	XM_016738075.1.p1
OG0001108	XM_001585014.1.p1	XM_016740348.1.p1
OG0001109	XM_001593892.1.p1	XM_016746877.1.p1
OG0001110	XM_001593845.1.p1	XM_016746586.1.p1
OG0001112	XM_001592330.1.p1	XM_016747335.1.p1
OG0001114	XM_001588042.1.p1, XM_001594347.1.p1	XM_016746277.1.p1
OG0001116	XM_001587754.1.p1	XM_016742625.1.p1
OG0001117	XM_001587235.1.p1, XM_001589260.1.p1	XM_016746729.1.p1
OG0001118	XM_001590650.1.p1	XM_016738599.1.p1
OG0001119	XM_001587563.1.p1	XM_016738822.1.p1
OG0001120	XM_001593250.1.p1	XM_016743920.1.p1
OG0001121	XM_001593046.1.p1	XM_016737870.1.p1
OG0001122	XM_001594924.1.p1	XM_016747861.1.p1
OG0001123	XM_001592405.1.p1	XM_016740115.1.p1
OG0001124	XM_001598830.1.p1	XM_016739682.1.p1
OG0001125	XM_001588623.1.p1	XM_016739665.1.p1
OG0001126	XM_001590062.1.p1	XM_016744369.1.p1
OG0001127	XM_001590729.1.p1	XM_016740555.1.p1
OG0001128	XM_001594215.1.p1	XM_016739713.1.p1
OG0001129	XM_001595650.1.p1	XM_016742764.1.p1, XM_016743942.1.p1
OG0001130	XM_001590691.1.p1	XM_016745993.1.p1
OG0001131	XM_001597050.1.p1	XM_016747091.1.p1
OG0001132	XM_001589184.1.p1, XM_001597308.1.p1	XM_016740009.1.p1
OG0001133	XM_001584780.1.p1	XM_016738956.1.p1
OG0001135	XM_001592071.1.p1	XM_016741459.1.p1
OG0001137	XM_001592959.1.p1	XM_016745650.1.p1
OG0001145	XM_001589744.1.p1	XM_016737710.1.p1
OG0001146	XM_001587854.1.p1	XM_016745888.1.p1
OG0001147	XM_001589207.1.p1	XM_016747545.1.p1, XM_016744146.1.p1
OG0001150	XM_001585637.1.p1, XM_001586145.1.p1	XM_016738291.1.p1
OG0001151	XM_001586398.1.p1	XM_016739381.1.p1
OG0001152	XM_001585966.1.p1	XM_016748143.1.p1
OG0001153	XM_001585409.1.p1	XM_016745629.1.p1
OG0001154	XM_001596258.1.p1	XM_016745430.1.p1
OG0001155	XM_001593807.1.p1	XM_016738587.1.p1
OG0001156	XM_001587763.1.p1	XM_016742594.1.p1
OG0001157	XM_001585113.1.p1	XM_016746805.1.p1
OG0001158	XM_001597265.1.p1	XM_016739636.1.p1
OG0001159	XM_001593742.1.p1	XM_016745537.1.p1
OG0001160	XM_001597233.1.p1	XM_016737365.1.p1
OG0001161	XM_001597319.1.p1	XM_016747338.1.p1
OG0001162	XM_001592594.1.p1	XM_016743182.1.p1
OG0001163	XM_001594217.1.p1	XM_016738892.1.p1
OG0001164	XM_001586609.1.p1	XM_016747526.1.p1
OG0001165	XM_001590535.1.p1	XM_016746999.1.p1
OG0001166	XM_001590617.1.p1	XM_016740239.1.p1
OG0001168	XM_001589673.1.p1, XM_001595545.1.p1	XM_016748311.1.p1, XM_016737665.1.p1
OG0001170	XM_001586853.1.p1	XM_016743720.1.p1
OG0001171	XM_001597826.1.p1	XM_016739405.1.p1, XM_016747582.1.p1, XM_016746676.1.p1
OG0001172	XM_001592471.1.p1	XM_016746314.1.p1
OG0001173	XM_001598301.1.p1	XM_016739890.1.p1
OG0001174	XM_001586495.1.p1	XM_016740875.1.p1
OG0001175	XM_001595154.1.p1	XM_016748140.1.p1, XM_016744025.1.p1
OG0001176	XM_001594407.1.p1	XM_016743914.1.p1
OG0001176	XM_001586945.1.p1	XM_016747733.1.p1
OG0001177	XM_001594947.1.p1	XM_016741287.1.p1
OG0001178	XM_001589035.1.p1	XM_016737960.1.p1
OG0001179	XM_001593660.1.p1	XM_016739023.1.p1
OG0001180	XM_001596694.1.p1	XM_016748117.1.p1
OG0001182	XM_001595857.1.p1	XM_016747248.1.p1
OG0001183	XM_001590324.1.p1	XM_016746635.1.p1
OG0001184	XM_001594370.1.p1	XM_016741322.1.p1
OG0001186	XM_001592367.1.p1	XM_016738143.1.p1
OG0001187	XM_001586559.1.p1	XM_016746836.1.p1
OG0001188	XM_001596042.1.p1, XM_001597194.1.p1	XM_016744080.1.p1, XM_016743142.1.p1
OG0001189	XM_001589128.1.p1	XM_016743576.1.p1
OG0001190	XM_001593245.1.p1	XM_016743917.1.p1
OG0001191	XM_001585271.1.p1, XM_001592100.1.p1	XM_016738830.1.p1, XM_016741991.1.p1
OG0001192	XM_001586300.1.p1	XM_016747875.1.p1
OG0001192	XM_001589019.1.p1	XM_016742696.1.p1
OG0001193	XM_001591587.1.p1	XM_016744268.1.p1
OG0001194	XM_001585295.1.p1	XM_016741910.1.p1
OG0001195	XM_001593678.1.p1	XM_016747207.1.p1, XM_016739998.1.p1, XM_016747560.1.p1
OG0001196	XM_001588984.1.p1	XM_016747039.1.p1
OG0001197	XM_001590968.1.p1	XM_016742183.1.p1
OG0001198	XM_001597467.1.p1	XM_016742178.1.p1
OG0001199	XM_001586739.1.p1	XM_016738205.1.p1
OG0001200	XM_001586874.1.p1	XM_016741045.1.p1
OG0001201	XM_001595554.1.p1	XM_016741830.1.p1
OG0001201	XM_001593213.1.p1	XM_016739795.1.p1
OG0001202	XM_001592262.1.p1	XM_016737467.1.p1, XM_016743835.1.p1
OG0001202	XM_001590037.1.p1	XM_016747860.1.p1
OG0001203	XM_001595223.1.p1	XM_016745950.1.p1
OG0001204	XM_001587531.1.p1	XM_016745383.1.p1
OG0001205	XM_001597608.1.p1	XM_016744286.1.p1
OG0001206	XM_001590495.1.p1	XM_016738381.1.p1
OG0001207	XM_001598174.1.p1	XM_016744587.1.p1
OG0001208	XM_001585675.1.p1	XM_016739455.1.p1
OG0001209	XM_001584711.1.p1	XM_016742734.1.p1
OG0001210	XM_001593130.1.p1	XM_016747553.1.p1
OG0001211	XM_001597698.1.p1	XM_016742702.1.p1
OG0001212	XM_001587505.1.p1	XM_016745953.1.p1
OG0001213	XM_001586026.1.p1	XM_016739263.1.p1
OG0001214	XM_001594629.1.p1	XM_016741281.1.p1
OG0001215	XM_001598435.1.p1	XM_016745907.1.p1
OG0001216	XM_001587846.1.p1	XM_016739207.1.p1
OG0001217	XM_001584573.1.p1	XM_016745271.1.p1
OG0001218	XM_001585042.1.p1	XM_016739508.1.p1
OG0001219	XM_001598205.1.p1	XM_016738076.1.p1
OG0001220	XM_001598294.1.p1	XM_016747544.1.p1
OG0001221	XM_001587099.1.p1	XM_016740061.1.p1
OG0001222	XM_001586044.1.p1	XM_016740860.1.p1
OG0001223	XM_001596735.1.p1	XM_016738546.1.p1
OG0001224	XM_001591829.1.p1	XM_016741633.1.p1
OG0001227	XM_001598832.1.p1	XM_016743350.1.p1
OG0001229	XM_001591967.1.p1	XM_016744607.1.p1
OG0001230	XM_001592257.1.p1, XM_001588431.1.p1, XM_001594329.1.p1	XM_016743601.1.p1, XM_016743710.1.p1
OG0001240	XM_001594618.1.p1	XM_016745873.1.p1
OG0001240	XM_001589392.1.p1	XM_016746497.1.p1
OG0001242	XM_001594852.1.p1	XM_016747317.1.p1
OG0001242	XM_001592817.1.p1	XM_016745588.1.p1
OG0001243	XM_001586524.1.p1	XM_016745012.1.p1
OG0001244	XM_001587402.1.p1	XM_016745957.1.p1
OG0001245	XM_001598019.1.p1	XM_016738026.1.p1
OG0001246	XM_001596306.1.p1	XM_016741642.1.p1
OG0001247	XM_001595279.1.p1	XM_016744572.1.p1, XM_016739374.1.p1
OG0001248	XM_001597052.1.p1	XM_016737680.1.p1
OG0001250	XM_001585219.1.p1	XM_016740806.1.p1
OG0001251	XM_001597911.1.p1	XM_016746005.1.p1
OG0001252	XM_001589710.1.p1	XM_016738374.1.p1
OG0001253	XM_001594361.1.p1	XM_016739314.1.p1
OG0001254	XM_001594431.1.p1	XM_016739707.1.p1
OG0001255	XM_001585594.1.p1	XM_016746905.1.p1
OG0001256	XM_001597117.1.p1	XM_016741327.1.p1
OG0001257	XM_001594378.1.p1	XM_016739565.1.p1
OG0001258	XM_001592670.1.p1	XM_016739684.1.p1
OG0001259	XM_001595026.1.p1	XM_016737533.1.p1
OG0001260	XM_001591210.1.p1	XM_016741163.1.p1
OG0001261	XM_001592688.1.p1	XM_016742677.1.p1
OG0001262	XM_001592747.1.p1	XM_016743708.1.p1
OG0001263	XM_001593392.1.p1	XM_016746684.1.p1
OG0001264	XM_001594448.1.p1	XM_016743851.1.p1
OG0001266	XM_001594795.1.p1	XM_016737694.1.p1
OG0001267	XM_001593062.1.p1	XM_016747928.1.p1
OG0001268	XM_001595596.1.p1	XM_016743681.1.p1
OG0001270	XM_001592691.1.p1	XM_016743957.1.p1
OG0001271	XM_001587646.1.p1	XM_016746530.1.p1
OG0001272	XM_001592903.1.p1	XM_016742591.1.p1
OG0001273	XM_001598707.1.p1	XM_016741566.1.p1
OG0001275	XM_001588945.1.p1	XM_016739446.1.p1
OG0001276	XM_001596955.1.p1	XM_016747419.1.p1
OG0001277	XM_001588770.1.p1	XM_016744215.1.p1
OG0001278	XM_001597610.1.p1	XM_016744283.1.p1
OG0001279	XM_001591890.1.p1	XM_016739369.1.p1
OG0001280	XM_001586262.1.p1	XM_016738888.1.p1
OG0001281	XM_001584702.1.p1	XM_016738047.1.p1
OG0001282	XM_001595958.1.p1	XM_016746509.1.p1
OG0001283	XM_001590433.1.p1	XM_016740453.1.p1
OG0001283	XM_001597865.1.p1	XM_016746776.1.p1
OG0001284	XM_001596034.1.p1	XM_016746457.1.p1
OG0001285	XM_001585904.1.p1	XM_016745053.1.p1
OG0001286	XM_001585616.1.p1	XM_016738482.1.p1
OG0001287	XM_001586319.1.p1	XM_016746772.1.p1
OG0001288	XM_001590210.1.p1	XM_016744687.1.p1
OG0001289	XM_001586984.1.p1	XM_016741600.1.p1, XM_016745857.1.p1
OG0001291	XM_001589450.1.p1	XM_016742140.1.p1
OG0001292	XM_001595039.1.p1	XM_016743751.1.p1
OG0001293	XM_001592260.1.p1	XM_016738149.1.p1
OG0001294	XM_001590764.1.p1	XM_016738443.1.p1, XM_016741062.1.p1, XM_016739112.1.p1, XM_016747694.1.p1, XM_016742136.1.p1
OG0001295	XM_001587939.1.p1	XM_016747870.1.p1
OG0001296	XM_001585953.1.p1	XM_016745237.1.p1
OG0001297	XM_001591937.1.p1	XM_016738416.1.p1
OG0001298	XM_001595056.1.p1	XM_016740320.1.p1
OG0001299	XM_001596175.1.p1	XM_016739459.1.p1
OG0001300	XM_001586937.1.p1	XM_016745886.1.p1
OG0001301	XM_001589470.1.p1, XM_001586397.1.p1	XM_016739326.1.p1
OG0001302	XM_001593610.1.p1	XM_016741410.1.p1
OG0001303	XM_001591817.1.p1	XM_016740891.1.p1
OG0001304	XM_001591192.1.p1	XM_016742771.1.p1
OG0001305	XM_001592167.1.p1	XM_016737285.1.p1
OG0001306	XM_001592155.1.p1	XM_016747087.1.p1
OG0001307	XM_001597316.1.p1	XM_016747596.1.p1
OG0001308	XM_001586167.1.p1	XM_016739093.1.p1
OG0001309	XM_001594213.1.p1	XM_016742413.1.p1, XM_016740388.1.p1
OG0001310	XM_001594188.1.p1	XM_016744894.1.p1
OG0001311	XM_001598187.1.p1	XM_016744478.1.p1
OG0001313	XM_001584723.1.p1	XM_016748298.1.p1
OG0001314	XM_001587845.1.p1	XM_016745132.1.p1
OG0001315	XM_001585518.1.p1	XM_016746448.1.p1
OG0001316	XM_001596129.1.p1	XM_016738737.1.p1
OG0001317	XM_001587842.1.p1	XM_016742046.1.p1
OG0001318	XM_001597396.1.p1	XM_016742520.1.p1
OG0001319	XM_001591640.1.p1	XM_016741742.1.p1
OG0001320	XM_001587379.1.p1	XM_016743580.1.p1
OG0001321	XM_001594406.1.p1, XM_001598936.1.p1	XM_016743951.1.p1
OG0001322	XM_001585388.1.p1	XM_016741460.1.p1
OG0001323	XM_001596853.1.p1	XM_016746891.1.p1
OG0001324	XM_001594829.1.p1	XM_016743961.1.p1
OG0001325	XM_001594327.1.p1	XM_016747074.1.p1
OG0001326	XM_001592619.1.p1	XM_016747674.1.p1, XM_016745134.1.p1
OG0001335	XM_001593152.1.p1	XM_016742345.1.p1
OG0001336	XM_001596324.1.p1	XM_016747145.1.p1
OG0001337	XM_001586758.1.p1	XM_016742093.1.p1
OG0001338	XM_001590772.1.p1, XM_001595896.1.p1	XM_016738133.1.p1
OG0001339	XM_001588334.1.p1	XM_016742199.1.p1
OG0001340	XM_001585646.1.p1	XM_016744270.1.p1
OG0001341	XM_001585322.1.p1	XM_016747038.1.p1
OG0001342	XM_001594850.1.p1	XM_016739549.1.p1
OG0001343	XM_001585832.1.p1	XM_016740940.1.p1
OG0001344	XM_001590875.1.p1	XM_016743783.1.p1
OG0001345	XM_001594772.1.p1	XM_016741616.1.p1, XM_016746163.1.p1
OG0001346	XM_001594790.1.p1	XM_016739056.1.p1
OG0001348	XM_001587711.1.p1	XM_016741033.1.p1
OG0001349	XM_001585733.1.p1	XM_016746807.1.p1
OG0001350	XM_001594034.1.p1	XM_016741815.1.p1
OG0001351	XM_001587708.1.p1	XM_016745077.1.p1
OG0001352	XM_001586665.1.p1	XM_016738172.1.p1
OG0001353	XM_001591623.1.p1	XM_016740895.1.p1
OG0001354	XM_001592719.1.p1	XM_016738843.1.p1
OG0001356	XM_001585187.1.p1	XM_016746103.1.p1
OG0001357	XM_001596863.1.p1	XM_016747428.1.p1
OG0001358	XM_001597450.1.p1	XM_016744302.1.p1
OG0001359	XM_001587161.1.p1	XM_016741321.1.p1
OG0001361	XM_001589944.1.p1	XM_016739907.1.p1
OG0001362	XM_001591944.1.p1	XM_016744261.1.p1
OG0001363	XM_001598194.1.p1	XM_016746633.1.p1
OG0001365	XM_001590890.1.p1	XM_016738515.1.p1
OG0001366	XM_001595151.1.p1	XM_016747065.1.p1
OG0001367	XM_001595176.1.p1	XM_016744536.1.p1
OG0001368	XM_001596704.1.p1	XM_016745373.1.p1
OG0001369	XM_001597173.1.p1	XM_016741305.1.p1
OG0001371	XM_001597570.1.p1	XM_016747090.1.p1
OG0001372	XM_001594988.1.p1	XM_016745971.1.p1
OG0001373	XM_001587954.1.p1	XM_016740962.1.p1
OG0001374	XM_001585514.1.p1	XM_016746459.1.p1
OG0001375	XM_001588248.1.p1	XM_016747471.1.p1
OG0001377	XM_001584620.1.p1	XM_016739975.1.p1
OG0001378	XM_001593740.1.p1	XM_016745538.1.p1
OG0001379	XM_001590461.1.p1	XM_016748042.1.p1
OG0001382	XM_001585252.1.p1	XM_016737607.1.p1, XM_016744921.1.p1
OG0001383	XM_001597060.1.p1	XM_016745456.1.p1, XM_016739686.1.p1
OG0001384	XM_001584676.1.p1, XM_001584677.1.p1	XM_016745460.1.p1
OG0001385	XM_001590507.1.p1	XM_016741442.1.p1
OG0001386	XM_001594603.1.p1	XM_016741313.1.p1
OG0001387	XM_001590581.1.p1	XM_016746058.1.p1
OG0001388	XM_001595837.1.p1	XM_016743041.1.p1
OG0001389	XM_001594385.1.p1	XM_016739620.1.p1
OG0001390	XM_001593629.1.p1	XM_016739005.1.p1
OG0001391	XM_001593760.1.p1	XM_016738217.1.p1
OG0001392	XM_001591018.1.p1	XM_016744404.1.p1
OG0001393	XM_001587430.1.p1	XM_016745744.1.p1
OG0001394	XM_001595447.1.p1	XM_016746976.1.p1
OG0001395	XM_001595940.1.p1	XM_016740263.1.p1
OG0001396	XM_001597306.1.p1	XM_016738286.1.p1
OG0001397	XM_001597458.1.p1	XM_016744301.1.p1
OG0001398	XM_001593321.1.p1	XM_016741382.1.p1
OG0001399	XM_001589226.1.p1	XM_016742001.1.p1
OG0001401	XM_001585941.1.p1	XM_016741790.1.p1, XM_016742504.1.p1
OG0001402	XM_001598084.1.p1	XM_016739879.1.p1
OG0001404	XM_001588050.1.p1	XM_016743215.1.p1, XM_016738401.1.p1
OG0001406	XM_001592275.1.p1	XM_016746257.1.p1
OG0001407	XM_001591124.1.p1	XM_016744367.1.p1
OG0001408	XM_001598811.1.p1	XM_016739667.1.p1
OG0001409	XM_001594864.1.p1	XM_016746109.1.p1
OG0001411	XM_001592806.1.p1	XM_016737839.1.p1
OG0001412	XM_001590469.1.p1	XM_016737881.1.p1
OG0001414	XM_001590169.1.p1	XM_016739737.1.p1
OG0001415	XM_001596226.1.p1	XM_016740954.1.p1
OG0001415	XM_001598472.1.p1	XM_016745916.1.p1
OG0001416	XM_001598452.1.p1	XM_016747515.1.p1
OG0001417	XM_001593177.1.p1	XM_016738080.1.p1
OG0001418	XM_001591514.1.p1	XM_016741241.1.p1
OG0001419	XM_001598681.1.p1	XM_016742808.1.p1, XM_016738618.1.p1
OG0001420	XM_001590398.1.p1	XM_016743221.1.p1, XM_016737362.1.p1
OG0001421	XM_001595574.1.p1	XM_016743089.1.p1
OG0001422	XM_001590100.1.p1	XM_016741911.1.p1
OG0001424	XM_001589412.1.p1	XM_016739615.1.p1
OG0001425	XM_001597305.1.p1	XM_016739140.1.p1
OG0001426	XM_001591173.1.p1	XM_016740652.1.p1
OG0001427	XM_001593871.1.p1	XM_016738252.1.p1
OG0001429	XM_001592111.1.p1	XM_016747998.1.p1
OG0001430	XM_001588184.1.p1	XM_016739412.1.p1
OG0001431	XM_001589594.1.p1	XM_016738604.1.p1, XM_016741640.1.p1
OG0001432	XM_001593969.1.p1	XM_016745821.1.p1
OG0001433	XM_001585693.1.p1, XM_001585692.1.p1	XM_016745702.1.p1
OG0001434	XM_001598003.1.p1	XM_016747549.1.p1
OG0001435	XM_001591027.1.p1	XM_016744412.1.p1
OG0001436	XM_001594967.1.p1	XM_016739080.1.p1
OG0001437	XM_001595220.1.p1, XM_001598482.1.p1	XM_016744582.1.p1
OG0001438	XM_001586526.1.p1	XM_016741388.1.p1, XM_016738642.1.p1
OG0001440	XM_001593418.1.p1	XM_016745181.1.p1, XM_016739527.1.p1
OG0001441	XM_001591502.1.p1	XM_016742025.1.p1
