Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Alternaria_alternata_rna_prot
OG0000541	XM_001586293.1.p1	XM_018528374.1.p1
OG0000542	XM_001593826.1.p1	XM_018529864.1.p1
OG0000542	XM_001588481.1.p1	XM_018536544.1.p1, XM_018534417.1.p1
OG0000543	XM_001595141.1.p1, XM_001594622.1.p1	XM_018536307.1.p1
OG0000544	XM_001590593.1.p1	XM_018529149.1.p1, XM_018531925.1.p1
OG0000545	XM_001588276.1.p1	XM_018534446.1.p1, XM_018530751.1.p1
OG0000545	XM_001585300.1.p1	XM_018531430.1.p1
OG0000546	XM_001594546.1.p1	XM_018530902.1.p1
OG0000547	XM_001597908.1.p1	XM_018534055.1.p1
OG0000547	XM_001595656.1.p1	XM_018531878.1.p1
OG0000553	XM_001597347.1.p1	XM_018524314.1.p1
OG0000554	XM_001597381.1.p1	XM_018530872.1.p1
OG0000554	XM_001593422.1.p1	XM_018523317.1.p1
OG0000555	XM_001594828.1.p1	XM_018526537.1.p1
OG0000556	XM_001597214.1.p1	XM_018531709.1.p1
OG0000556	XM_001595928.1.p1	XM_018524321.1.p1
OG0000557	XM_001588649.1.p1	XM_018524529.1.p1
OG0000558	XM_001590696.1.p1	XM_018525143.1.p1
OG0000559	XM_001598247.1.p1	XM_018534140.1.p1
OG0000560	XM_001595116.1.p1	XM_018525541.1.p1
OG0000562	XM_001595328.1.p1	XM_018525841.1.p1
OG0000563	XM_001591823.1.p1	XM_018527679.1.p1
OG0000565	XM_001591908.1.p1	XM_018526504.1.p1
OG0000565	XM_001586006.1.p1	XM_018535199.1.p1
OG0000566	XM_001592658.1.p1	XM_018529393.1.p1
OG0000566	XM_001594465.1.p1	XM_018527040.1.p1
OG0000567	XM_001595707.1.p1	XM_018533953.1.p1
OG0000567	XM_001586497.1.p1	XM_018534030.1.p1
OG0000568	XM_001586737.1.p1	XM_018527099.1.p1
OG0000568	XM_001595590.1.p1	XM_018536492.1.p1
OG0000570	XM_001590616.1.p1	XM_018530616.1.p1
OG0000571	XM_001596650.1.p1	XM_018528412.1.p1
OG0000571	XM_001587072.1.p1	XM_018533284.1.p1
OG0000572	XM_001588215.1.p1	XM_018531174.1.p1
OG0000572	XM_001597686.1.p1	XM_018536376.1.p1
OG0000573	XM_001598905.1.p1	XM_018534086.1.p1, XM_018531678.1.p1
OG0000574	XM_001590420.1.p1	XM_018536470.1.p1, XM_018533101.1.p1
OG0000575	XM_001588302.1.p1	XM_018533962.1.p1
OG0000577	XM_001594482.1.p1	XM_018523960.1.p1
OG0000577	XM_001597370.1.p1	XM_018523259.1.p1
OG0000579	XM_001598740.1.p1	XM_018525977.1.p1
OG0000579	XM_001598216.1.p1	XM_018523438.1.p1
OG0000580	XM_001589111.1.p1	XM_018536353.1.p1
OG0000580	XM_001595987.1.p1	XM_018524072.1.p1
OG0000581	XM_001598836.1.p1	XM_018534789.1.p1
OG0000581	XM_001585825.1.p1	XM_018524114.1.p1
OG0000582	XM_001592617.1.p1	XM_018533187.1.p1
OG0000582	XM_001592459.1.p1	XM_018524790.1.p1
OG0000583	XM_001587683.1.p1	XM_018533981.1.p1, XM_018531956.1.p1, XM_018525045.1.p1
OG0000584	XM_001584971.1.p1	XM_018528511.1.p1
OG0000584	XM_001584969.1.p1	XM_018525246.1.p1
OG0000585	XM_001594243.1.p1	XM_018533862.1.p1
OG0000586	XM_001596162.1.p1	XM_018525343.1.p1
OG0000587	XM_001588230.1.p1	XM_018525966.1.p1
OG0000588	XM_001586513.1.p1	XM_018532627.1.p1
OG0000588	XM_001586815.1.p1	XM_018526020.1.p1
OG0000589	XM_001593383.1.p1	XM_018528327.1.p1
OG0000589	XM_001598163.1.p1	XM_018526217.1.p1
OG0000590	XM_001593325.1.p1	XM_018526660.1.p1
OG0000591	XM_001585967.1.p1	XM_018531016.1.p1
OG0000592	XM_001597088.1.p1	XM_018534783.1.p1
OG0000592	XM_001586527.1.p1	XM_018535422.1.p1
OG0000593	XM_001589346.1.p1	XM_018527576.1.p1
OG0000594	XM_001588641.1.p1	XM_018532733.1.p1
OG0000595	XM_001589667.1.p1	XM_018527856.1.p1
OG0000595	XM_001587433.1.p1	XM_018533332.1.p1
OG0000596	XM_001598489.1.p1	XM_018527873.1.p1
OG0000597	XM_001586224.1.p1	XM_018529724.1.p1
OG0000598	XM_001592151.1.p1	XM_018528997.1.p1
OG0000599	XM_001590786.1.p1	XM_018530132.1.p1
OG0000599	XM_001598047.1.p1	XM_018530181.1.p1
OG0000600	XM_001598296.1.p1	XM_018530276.1.p1
OG0000601	XM_001594734.1.p1	XM_018531646.1.p1
OG0000602	XM_001593498.1.p1	XM_018533923.1.p1
OG0000602	XM_001593423.1.p1	XM_018533934.1.p1
OG0000603	XM_001589302.1.p1	XM_018536202.1.p1
OG0000607	XM_001590536.1.p1	XM_018525087.1.p1
OG0000607	XM_001594619.1.p1	XM_018523826.1.p1
OG0000608	XM_001585159.1.p1	XM_018532196.1.p1
OG0000610	XM_001592833.1.p1	XM_018524815.1.p1
OG0000610	XM_001587685.1.p1	XM_018535467.1.p1
OG0000611	XM_001584794.1.p1	XM_018524975.1.p1
OG0000612	XM_001585145.1.p1	XM_018535407.1.p1
OG0000612	XM_001585254.1.p1	XM_018530569.1.p1
OG0000613	XM_001598913.1.p1	XM_018525556.1.p1
OG0000613	XM_001590405.1.p1	XM_018534575.1.p1
OG0000614	XM_001596566.1.p1	XM_018525561.1.p1
OG0000614	XM_001595436.1.p1	XM_018532848.1.p1
OG0000616	XM_001588389.1.p1	XM_018534729.1.p1
OG0000617	XM_001593217.1.p1	XM_018534338.1.p1
OG0000617	XM_001591019.1.p1	XM_018527140.1.p1
OG0000619	XM_001584618.1.p1	XM_018528027.1.p1
OG0000620	XM_001588805.1.p1	XM_018528154.1.p1
OG0000621	XM_001596841.1.p1	XM_018536225.1.p1
OG0000621	XM_001598866.1.p1	XM_018535732.1.p1, XM_018530091.1.p1
OG0000623	XM_001590677.1.p1	XM_018530437.1.p1
OG0000624	XM_001594377.1.p1	XM_018530825.1.p1
OG0000625	XM_001589316.1.p1	XM_018531624.1.p1
OG0000626	XM_001588533.1.p1	XM_018531664.1.p1, XM_018534407.1.p1
OG0000627	XM_001587865.1.p1	XM_018531911.1.p1
OG0000627	XM_001597895.1.p1	XM_018534530.1.p1
OG0000628	XM_001586561.1.p1	XM_018532098.1.p1
OG0000629	XM_001594794.1.p1	XM_018533191.1.p1
OG0000630	XM_001589004.1.p1	XM_018533765.1.p1
OG0000631	XM_001585037.1.p1	XM_018534025.1.p1
OG0000633	XM_001584744.1.p1	XM_018535787.1.p1
OG0000633	XM_001590819.1.p1	XM_018536212.1.p1
OG0000634	XM_001593326.1.p1	XM_018536533.1.p1
OG0000641	XM_001586942.1.p1	XM_018523335.1.p1
OG0000642	XM_001592393.1.p1	XM_018523915.1.p1
OG0000643	XM_001589232.1.p1	XM_018524435.1.p1
OG0000643	XM_001586018.1.p1	XM_018533174.1.p1
OG0000644	XM_001591795.1.p1	XM_018529278.1.p1
OG0000644	XM_001591081.1.p1	XM_018524845.1.p1
OG0000645	XM_001590830.1.p1, XM_001589099.1.p1	XM_018524991.1.p1
OG0000646	XM_001590778.1.p1	XM_018527690.1.p1
OG0000647	XM_001587654.1.p1	XM_018525174.1.p1
OG0000648	XM_001594682.1.p1	XM_018525417.1.p1
OG0000648	XM_001589012.1.p1	XM_018525355.1.p1
OG0000649	XM_001589418.1.p1	XM_018525511.1.p1
OG0000649	XM_001589600.1.p1	XM_018532599.1.p1, XM_018526933.1.p1
OG0000650	XM_001598771.1.p1	XM_018532784.1.p1
OG0000651	XM_001588210.1.p1	XM_018526433.1.p1, XM_018530149.1.p1
OG0000652	XM_001592321.1.p1	XM_018527162.1.p1
OG0000653	XM_001594099.1.p1	XM_018527052.1.p1
OG0000654	XM_001588727.1.p1	XM_018527341.1.p1
OG0000655	XM_001593583.1.p1	XM_018531433.1.p1, XM_018527529.1.p1
OG0000655	XM_001597938.1.p1	XM_018532656.1.p1
OG0000656	XM_001594487.1.p1	XM_018527878.1.p1
OG0000657	XM_001593859.1.p1	XM_018531221.1.p1
OG0000657	XM_001591519.1.p1	XM_018532640.1.p1
OG0000658	XM_001588121.1.p1, XM_001585190.1.p1, XM_001590345.1.p1	XM_018528451.1.p1
OG0000659	XM_001588433.1.p1	XM_018529866.1.p1
OG0000659	XM_001597588.1.p1	XM_018530270.1.p1
OG0000660	XM_001587702.1.p1	XM_018532012.1.p1
OG0000661	XM_001591625.1.p1	XM_018532771.1.p1
OG0000662	XM_001587349.1.p1	XM_018534214.1.p1, XM_018532808.1.p1
OG0000663	XM_001595888.1.p1	XM_018536387.1.p1
OG0000663	XM_001593339.1.p1	XM_018533249.1.p1
OG0000665	XM_001587764.1.p1	XM_018535465.1.p1
OG0000666	XM_001590386.1.p1	XM_018535747.1.p1
OG0000675	XM_001593877.1.p1	XM_018523319.1.p1
OG0000676	XM_001595848.1.p1	XM_018523381.1.p1, XM_018536190.1.p1, XM_018527519.1.p1
OG0000677	XM_001595573.1.p1	XM_018526508.1.p1
OG0000678	XM_001586952.1.p1	XM_018531403.1.p1
OG0000678	XM_001591970.1.p1	XM_018523644.1.p1
OG0000679	XM_001593283.1.p1	XM_018524244.1.p1
OG0000679	XM_001596119.1.p1	XM_018523825.1.p1
OG0000680	XM_001597379.1.p1	XM_018523833.1.p1
OG0000680	XM_001594200.1.p1, XM_001594199.1.p1	XM_018533346.1.p1
OG0000681	XM_001588807.1.p1	XM_018525499.1.p1
OG0000681	XM_001593083.1.p1	XM_018524128.1.p1, XM_018527561.1.p1
OG0000682	XM_001593644.1.p1	XM_018535683.1.p1
OG0000682	XM_001598135.1.p1	XM_018536366.1.p1
OG0000683	XM_001592158.1.p1	XM_018524506.1.p1, XM_018534895.1.p1
OG0000684	XM_001598914.1.p1	XM_018524612.1.p1
OG0000684	XM_001594435.1.p1	XM_018524726.1.p1, XM_018526766.1.p1, XM_018527127.1.p1
OG0000685	XM_001596619.1.p1	XM_018527865.1.p1
OG0000685	XM_001586676.1.p1	XM_018525151.1.p1
OG0000686	XM_001592583.1.p1	XM_018533145.1.p1
OG0000687	XM_001590432.1.p1	XM_018525763.1.p1
OG0000687	XM_001588710.1.p1	XM_018530159.1.p1
OG0000688	XM_001584724.1.p1	XM_018533371.1.p1
OG0000688	XM_001597165.1.p1	XM_018525875.1.p1
OG0000690	XM_001592277.1.p1	XM_018527098.1.p1
OG0000692	XM_001593436.1.p1	XM_018533955.1.p1
OG0000693	XM_001589123.1.p1, XM_001589114.1.p1, XM_001590613.1.p1, XM_001589121.1.p1, XM_001593757.1.p1	XM_018534743.1.p1, XM_018530669.1.p1, XM_018528919.1.p1
OG0000694	XM_001592443.1.p1	XM_018529695.1.p1
OG0000695	XM_001598068.1.p1	XM_018530232.1.p1
OG0000696	XM_001591039.1.p1	XM_018534224.1.p1
OG0000697	XM_001592369.1.p1	XM_018530829.1.p1
OG0000699	XM_001586012.1.p1	XM_018532484.1.p1
OG0000700	XM_001596857.1.p1	XM_018536211.1.p1
OG0000701	XM_001598701.1.p1	XM_018535167.1.p1
OG0000701	XM_001597738.1.p1	XM_018534053.1.p1
OG0000702	XM_001590377.1.p1	XM_018534135.1.p1
OG0000703	XM_001586680.1.p1, XM_001584591.1.p1	XM_018535596.1.p1
OG0000703	XM_001593587.1.p1	XM_018534274.1.p1
OG0000704	XM_001593295.1.p1, XM_001598316.1.p1	XM_018534631.1.p1
OG0000705	XM_001590323.1.p1, XM_001589597.1.p1, XM_001586677.1.p1	XM_018535112.1.p1
OG0000718	XM_001584951.1.p1	XM_018523365.1.p1
OG0000718	XM_001589768.1.p1	XM_018535657.1.p1
OG0000719	XM_001594228.1.p1	XM_018523596.1.p1
OG0000721	XM_001598753.1.p1	XM_018523871.1.p1
OG0000722	XM_001591074.1.p1	XM_018524052.1.p1
OG0000723	XM_001597476.1.p1	XM_018524513.1.p1
OG0000723	XM_001595771.1.p1	XM_018528277.1.p1
OG0000724	XM_001593210.1.p1	XM_018524827.1.p1
OG0000726	XM_001595123.1.p1, XM_001591330.1.p1	XM_018526356.1.p1
OG0000727	XM_001591832.1.p1	XM_018526490.1.p1
OG0000727	XM_001592634.1.p1	XM_018529899.1.p1
OG0000728	XM_001588955.1.p1	XM_018535509.1.p1, XM_018529306.1.p1, XM_018529173.1.p1, XM_018529960.1.p1, XM_018526763.1.p1
OG0000729	XM_001593697.1.p1	XM_018527989.1.p1
OG0000729	XM_001596580.1.p1	XM_018526906.1.p1
OG0000730	XM_001592960.1.p1	XM_018536227.1.p1
OG0000731	XM_001598010.1.p1, XM_001588455.1.p1	XM_018533502.1.p1
OG0000733	XM_001590497.1.p1	XM_018528957.1.p1
OG0000735	XM_001592013.1.p1	XM_018531347.1.p1
OG0000736	XM_001598120.1.p1	XM_018531632.1.p1
OG0000736	XM_001586755.1.p1	XM_018534042.1.p1
OG0000737	XM_001585464.1.p1	XM_018531663.1.p1
OG0000738	XM_001589763.1.p1	XM_018531669.1.p1
OG0000739	XM_001591620.1.p1	XM_018532636.1.p1
OG0000740	XM_001587354.1.p1	XM_018531967.1.p1
OG0000741	XM_001585910.1.p1	XM_018533978.1.p1
OG0000742	XM_001597193.1.p1	XM_018534349.1.p1
OG0000742	XM_001598237.1.p1	XM_018534990.1.p1
OG0000743	XM_001591205.1.p1	XM_018535888.1.p1
OG0000751	XM_001589822.1.p1	XM_018526555.1.p1
OG0000751	XM_001596945.1.p1	XM_018523172.1.p1
OG0000752	XM_001597613.1.p1	XM_018523872.1.p1
OG0000753	XM_001587676.1.p1	XM_018524387.1.p1
OG0000753	XM_001591506.1.p1	XM_018525407.1.p1
OG0000754	XM_001593020.1.p1	XM_018524405.1.p1, XM_018524404.1.p1, XM_018533034.1.p1
OG0000755	XM_001596807.1.p1	XM_018524616.1.p1
OG0000755	XM_001586833.1.p1	XM_018526961.1.p1
OG0000757	XM_001593138.1.p1	XM_018524913.1.p1
OG0000758	XM_001590577.1.p1	XM_018525082.1.p1
OG0000759	XM_001593983.1.p1	XM_018525256.1.p1
OG0000760	XM_001598485.1.p1	XM_018525569.1.p1
OG0000761	XM_001592728.1.p1	XM_018525770.1.p1
OG0000761	XM_001592729.1.p1	XM_018534942.1.p1
OG0000762	XM_001590564.1.p1	XM_018526286.1.p1
OG0000763	XM_001590106.1.p1	XM_018526446.1.p1
OG0000763	XM_001591452.1.p1	XM_018528611.1.p1
OG0000764	XM_001590789.1.p1	XM_018529770.1.p1
OG0000764	XM_001589307.1.p1	XM_018526616.1.p1
OG0000766	XM_001584664.1.p1	XM_018527186.1.p1, XM_018528204.1.p1
OG0000767	XM_001596669.1.p1	XM_018527559.1.p1
OG0000769	XM_001591980.1.p1	XM_018528167.1.p1
OG0000770	XM_001585905.1.p1	XM_018534208.1.p1
OG0000770	XM_001593837.1.p1	XM_018529179.1.p1
OG0000772	XM_001584884.1.p1	XM_018535665.1.p1
OG0000772	XM_001596787.1.p1	XM_018529728.1.p1
OG0000773	XM_001585787.1.p1	XM_018536351.1.p1
OG0000774	XM_001586428.1.p1	XM_018529903.1.p1
OG0000775	XM_001588040.1.p1	XM_018531237.1.p1
OG0000776	XM_001587558.1.p1	XM_018531696.1.p1
OG0000777	XM_001589734.1.p1	XM_018536264.1.p1
OG0000779	XM_001596814.1.p1	XM_018534376.1.p1
OG0000780	XM_001596764.1.p1	XM_018534667.1.p1
OG0000780	XM_001589984.1.p1	XM_018534400.1.p1
OG0000781	XM_001591637.1.p1	XM_018536020.1.p1
OG0000782	XM_001592743.1.p1	XM_018536183.1.p1
OG0000787	XM_001592534.1.p1	XM_018528005.1.p1
OG0000787	XM_001592535.1.p1	XM_018523111.1.p1
OG0000788	XM_001593948.1.p1	XM_018523193.1.p1
OG0000789	XM_001595138.1.p1	XM_018523374.1.p1
OG0000790	XM_001588713.1.p1	XM_018523584.1.p1
OG0000790	XM_001588711.1.p1	XM_018527153.1.p1
OG0000791	XM_001594295.1.p1	XM_018523646.1.p1
OG0000791	XM_001589639.1.p1	XM_018531385.1.p1
OG0000791	XM_001590505.1.p1	XM_018529774.1.p1
OG0000792	XM_001590492.1.p1	XM_018523790.1.p1
OG0000793	XM_001588947.1.p1	XM_018524015.1.p1
OG0000794	XM_001589028.1.p1	XM_018524102.1.p1
OG0000795	XM_001596838.1.p1	XM_018524501.1.p1
OG0000796	XM_001590467.1.p1	XM_018525067.1.p1
OG0000796	XM_001597758.1.p1	XM_018535141.1.p1
OG0000797	XM_001586761.1.p1	XM_018525765.1.p1
OG0000798	XM_001591069.1.p1	XM_018525863.1.p1
OG0000800	XM_001586023.1.p1	XM_018526285.1.p1
OG0000800	XM_001592009.1.p1	XM_018531962.1.p1
OG0000801	XM_001595009.1.p1, XM_001592333.1.p1	XM_018526410.1.p1
OG0000802	XM_001596533.1.p1	XM_018526519.1.p1, XM_018532685.1.p1
OG0000803	XM_001592402.1.p1	XM_018526559.1.p1
OG0000803	XM_001594865.1.p1	XM_018532412.1.p1
OG0000804	XM_001586190.1.p1	XM_018526618.1.p1
OG0000805	XM_001598102.1.p1	XM_018532309.1.p1
OG0000806	XM_001590392.1.p1	XM_018526677.1.p1
OG0000806	XM_001589187.1.p1	XM_018531944.1.p1
OG0000807	XM_001587026.1.p1	XM_018526784.1.p1
OG0000807	XM_001597524.1.p1	XM_018527367.1.p1
OG0000808	XM_001597536.1.p1	XM_018528839.1.p1
OG0000809	XM_001598101.1.p1	XM_018526856.1.p1
OG0000810	XM_001592962.1.p1	XM_018527212.1.p1
OG0000811	XM_001589102.1.p1	XM_018527241.1.p1
OG0000811	XM_001594369.1.p1	XM_018529705.1.p1
OG0000812	XM_001593803.1.p1	XM_018527994.1.p1
OG0000812	XM_001596379.1.p1	XM_018535401.1.p1
OG0000813	XM_001592242.1.p1	XM_018528759.1.p1
OG0000814	XM_001594454.1.p1	XM_018533864.1.p1
OG0000814	XM_001591234.1.p1	XM_018528894.1.p1
OG0000815	XM_001590827.1.p1	XM_018535516.1.p1
OG0000816	XM_001592788.1.p1	XM_018530163.1.p1
OG0000817	XM_001589496.1.p1	XM_018530665.1.p1
OG0000818	XM_001596889.1.p1	XM_018531578.1.p1
OG0000819	XM_001595145.1.p1	XM_018531462.1.p1
OG0000820	XM_001596118.1.p1	XM_018534065.1.p1
OG0000821	XM_001596577.1.p1	XM_018536204.1.p1
OG0000821	XM_001594412.1.p1	XM_018533393.1.p1
OG0000822	XM_001597996.1.p1	XM_018534103.1.p1
OG0000823	XM_001594941.1.p1	XM_018535287.1.p1
OG0000824	XM_001596316.1.p1	XM_018535483.1.p1
OG0000833	XM_001585066.1.p1	XM_018523392.1.p1
OG0000835	XM_001590315.1.p1	XM_018533159.1.p1
OG0000835	XM_001594972.1.p1	XM_018523640.1.p1
OG0000837	XM_001589349.1.p1	XM_018526738.1.p1
OG0000838	XM_001585082.1.p1	XM_018524311.1.p1
OG0000840	XM_001590356.1.p1, XM_001598433.1.p1	XM_018533633.1.p1
OG0000840	XM_001591761.1.p1	XM_018529480.1.p1, XM_018524750.1.p1
OG0000842	XM_001590686.1.p1	XM_018525500.1.p1
OG0000843	XM_001595926.1.p1	XM_018525922.1.p1
OG0000844	XM_001588877.1.p1	XM_018526499.1.p1
OG0000845	XM_001589804.1.p1, XM_001591296.1.p1	XM_018529367.1.p1
OG0000846	XM_001590812.1.p1	XM_018534790.1.p1
OG0000847	XM_001590428.1.p1	XM_018526790.1.p1
OG0000848	XM_001596923.1.p1, XM_001593063.1.p1	XM_018528671.1.p1
OG0000849	XM_001598887.1.p1	XM_018527274.1.p1
OG0000850	XM_001590302.1.p1	XM_018532384.1.p1
OG0000850	XM_001591407.1.p1	XM_018534290.1.p1
OG0000850	XM_001598854.1.p1, XM_001592294.1.p1	XM_018527374.1.p1
OG0000851	XM_001598336.1.p1	XM_018528232.1.p1
OG0000851	XM_001589806.1.p1	XM_018533230.1.p1
OG0000852	XM_001595780.1.p1	XM_018528639.1.p1
OG0000852	XM_001592475.1.p1	XM_018531480.1.p1
OG0000853	XM_001591040.1.p1	XM_018529329.1.p1
OG0000855	XM_001591217.1.p1	XM_018530012.1.p1
OG0000856	XM_001593053.1.p1	XM_018535612.1.p1
OG0000856	XM_001592531.1.p1	XM_018530118.1.p1
OG0000857	XM_001593980.1.p1	XM_018530174.1.p1
OG0000858	XM_001595785.1.p1	XM_018530705.1.p1
OG0000859	XM_001598727.1.p1	XM_018530977.1.p1, XM_018534801.1.p1
OG0000860	XM_001597972.1.p1	XM_018531503.1.p1
OG0000862	XM_001597870.1.p1	XM_018532108.1.p1
OG0000863	XM_001597318.1.p1	XM_018533138.1.p1
OG0000863	XM_001596881.1.p1	XM_018532447.1.p1
OG0000864	XM_001593637.1.p1	XM_018533037.1.p1
OG0000864	XM_001589072.1.p1	XM_018532490.1.p1
OG0000865	XM_001593989.1.p1	XM_018532783.1.p1
OG0000866	XM_001590913.1.p1, XM_001598347.1.p1	XM_018533065.1.p1, XM_018535331.1.p1
OG0000867	XM_001592201.1.p1	XM_018533111.1.p1
OG0000869	XM_001586557.1.p1	XM_018533881.1.p1
OG0000870	XM_001589082.1.p1	XM_018533993.1.p1
OG0000871	XM_001584684.1.p1	XM_018536557.1.p1
OG0000872	XM_001598410.1.p1	XM_018536576.1.p1
OG0000879	XM_001589058.1.p1	XM_018523404.1.p1
OG0000880	XM_001594610.1.p1	XM_018532756.1.p1
OG0000881	XM_001598078.1.p1	XM_018523406.1.p1
OG0000882	XM_001591123.1.p1	XM_018523704.1.p1
OG0000883	XM_001592684.1.p1	XM_018523842.1.p1, XM_018529712.1.p1
OG0000884	XM_001590418.1.p1, XM_001598607.1.p1	XM_018524195.1.p1
OG0000885	XM_001595409.1.p1	XM_018525852.1.p1
OG0000886	XM_001597766.1.p1	XM_018524669.1.p1
OG0000887	XM_001590479.1.p1	XM_018532681.1.p1
OG0000888	XM_001588156.1.p1	XM_018525490.1.p1
OG0000889	XM_001587720.1.p1	XM_018527297.1.p1
OG0000890	XM_001595595.1.p1	XM_018525577.1.p1
OG0000891	XM_001596381.1.p1	XM_018531955.1.p1
OG0000892	XM_001589455.1.p1	XM_018535400.1.p1
OG0000893	XM_001593810.1.p1	XM_018526389.1.p1
OG0000894	XM_001594761.1.p1	XM_018526471.1.p1
OG0000895	XM_001589295.1.p1	XM_018529018.1.p1
OG0000896	XM_001598113.1.p1	XM_018526801.1.p1
OG0000898	XM_001594950.1.p1	XM_018526984.1.p1
OG0000899	XM_001590448.1.p1	XM_018536127.1.p1
OG0000900	XM_001587345.1.p1	XM_018534418.1.p1
OG0000900	XM_001587164.1.p1	XM_018527182.1.p1
OG0000901	XM_001594946.1.p1	XM_018527190.1.p1
OG0000902	XM_001590403.1.p1	XM_018529814.1.p1
OG0000902	XM_001597563.1.p1	XM_018527272.1.p1
OG0000903	XM_001589185.1.p1, XM_001589229.1.p1	XM_018527287.1.p1
OG0000905	XM_001585973.1.p1	XM_018527755.1.p1
OG0000905	XM_001585245.1.p1	XM_018532171.1.p1
OG0000906	XM_001593572.1.p1	XM_018535872.1.p1
OG0000906	XM_001598656.1.p1	XM_018528054.1.p1
OG0000907	XM_001594766.1.p1	XM_018528284.1.p1, XM_018531005.1.p1
OG0000908	XM_001594258.1.p1	XM_018529130.1.p1
OG0000909	XM_001592755.1.p1	XM_018529465.1.p1
OG0000910	XM_001591606.1.p1	XM_018529607.1.p1
OG0000911	XM_001586116.1.p1	XM_018530104.1.p1
OG0000912	XM_001596337.1.p1	XM_018530151.1.p1
OG0000913	XM_001595797.1.p1	XM_018530761.1.p1
OG0000914	XM_001585726.1.p1, XM_001585725.1.p1	XM_018531363.1.p1
OG0000915	XM_001594710.1.p1	XM_018532425.1.p1
OG0000917	XM_001594441.1.p1	XM_018535431.1.p1
OG0000918	XM_001597261.1.p1, XM_001591703.1.p1	XM_018535480.1.p1
OG0000919	XM_001591846.1.p1	XM_018536025.1.p1
OG0000920	XM_001587710.1.p1	XM_018536077.1.p1
OG0000921	XM_001594655.1.p1	XM_018536268.1.p1
OG0000930	XM_001593408.1.p1	XM_018527635.1.p1, XM_018531784.1.p1
OG0000932	XM_001587325.1.p1	XM_018524519.1.p1
OG0000933	XM_001591154.1.p1	XM_018533226.1.p1
OG0000933	XM_001591764.1.p1	XM_018533917.1.p1
OG0000933	XM_001597415.1.p1	XM_018526859.1.p1, XM_018533091.1.p1, XM_018527339.1.p1
OG0000933	XM_001585312.1.p1	XM_018534083.1.p1, XM_018532907.1.p1, XM_018532546.1.p1, XM_018532713.1.p1
OG0000935	XM_001596262.1.p1	XM_018523982.1.p1
OG0000936	XM_001587773.1.p1	XM_018531084.1.p1, XM_018524123.1.p1, XM_018528880.1.p1
OG0000938	XM_001587290.1.p1	XM_018524368.1.p1
OG0000939	XM_001596967.1.p1	XM_018525721.1.p1
OG0000940	XM_001588094.1.p1	XM_018531408.1.p1
OG0000940	XM_001591875.1.p1	XM_018524493.1.p1
OG0000941	XM_001591228.1.p1	XM_018536133.1.p1, XM_018526913.1.p1, XM_018533896.1.p1, XM_018524655.1.p1
OG0000942	XM_001586412.1.p1	XM_018524988.1.p1
OG0000943	XM_001594387.1.p1	XM_018525639.1.p1, XM_018525150.1.p1
OG0000944	XM_001598065.1.p1	XM_018525233.1.p1
OG0000945	XM_001598342.1.p1	XM_018525322.1.p1
OG0000946	XM_001595577.1.p1	XM_018525443.1.p1
OG0000947	XM_001591181.1.p1	XM_018525806.1.p1
OG0000948	XM_001598011.1.p1	XM_018536537.1.p1
OG0000949	XM_001593492.1.p1	XM_018526416.1.p1
OG0000950	XM_001588656.1.p1	XM_018526791.1.p1
OG0000951	XM_001595072.1.p1	XM_018529789.1.p1
OG0000952	XM_001590098.1.p1	XM_018533479.1.p1
OG0000953	XM_001586843.1.p1	XM_018528525.1.p1, XM_018528251.1.p1, XM_018532362.1.p1
OG0000954	XM_001592026.1.p1	XM_018528364.1.p1
OG0000955	XM_001594722.1.p1	XM_018528567.1.p1
OG0000956	XM_001585166.1.p1	XM_018529684.1.p1, XM_018534588.1.p1
OG0000957	XM_001585602.1.p1	XM_018529823.1.p1
OG0000958	XM_001588449.1.p1	XM_018530716.1.p1
OG0000959	XM_001593888.1.p1	XM_018531214.1.p1
OG0000960	XM_001598732.1.p1	XM_018536197.1.p1
OG0000960	XM_001587310.1.p1	XM_018531336.1.p1
OG0000961	XM_001587170.1.p1	XM_018531772.1.p1
OG0000964	XM_001598313.1.p1	XM_018533116.1.p1
OG0000965	XM_001585357.1.p1	XM_018533796.1.p1
OG0000966	XM_001585978.1.p1	XM_018533874.1.p1
OG0000967	XM_001592626.1.p1	XM_018534029.1.p1
OG0000968	XM_001586768.1.p1	XM_018534233.1.p1
OG0000969	XM_001592200.1.p1	XM_018534255.1.p1
OG0000970	XM_001587938.1.p1	XM_018534375.1.p1
OG0000971	XM_001585772.1.p1	XM_018534579.1.p1
OG0000972	XM_001597384.1.p1	XM_018534684.1.p1
OG0000973	XM_001591714.1.p1	XM_018535639.1.p1
OG0000974	XM_001594159.1.p1	XM_018535993.1.p1
OG0000975	XM_001590008.1.p1	XM_018536338.1.p1
OG0000981	XM_001592822.1.p1	XM_018527440.1.p1, XM_018529992.1.p1
OG0000983	XM_001587127.1.p1	XM_018523535.1.p1
OG0000985	XM_001594520.1.p1	XM_018529821.1.p1, XM_018523939.1.p1, XM_018527385.1.p1
OG0000985	XM_001586705.1.p1	XM_018529142.1.p1
OG0000986	XM_001589957.1.p1	XM_018523980.1.p1
OG0000987	XM_001586400.1.p1	XM_018524121.1.p1
OG0000989	XM_001593681.1.p1	XM_018524212.1.p1
OG0000990	XM_001587667.1.p1	XM_018524288.1.p1
