Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Arthrobotrys_oligospora_cds_prot
OG0001318	XM_001597396.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501122.1_9263.p1
OG0001319	XM_001591640.1.p1	lcl|JAVHJL010000011.1_cds_KAK6496212.1_2307.p1
OG0001320	XM_001587379.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505692.1_7822.p1
OG0001321	XM_001594406.1.p1, XM_001598936.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505355.1_7485.p1
OG0001322	XM_001585388.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501487.1_9628.p1
OG0001323	XM_001596853.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509885.1_4743.p1
OG0001324	XM_001594829.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505350.1_7480.p1
OG0001325	XM_001594327.1.p1	lcl|JAVHJL010000011.1_cds_KAK6496140.1_2235.p1
OG0001335	XM_001593152.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505405.1_7535.p1
OG0001336	XM_001596324.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505779.1_7909.p1
OG0001337	XM_001586758.1.p1	lcl|JAVHJL010000008.1_cds_KAK6498567.1_11515.p1, lcl|JAVHJL010000008.1_cds_KAK6498568.1_11516.p1
OG0001339	XM_001588334.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509989.1_4847.p1
OG0001340	XM_001585646.1.p1	lcl|JAVHJL010000003.1_cds_KAK6506894.1_5497.p1
OG0001341	XM_001585322.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501699.1_9840.p1
OG0001342	XM_001594850.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501870.1_10011.p1
OG0001343	XM_001585832.1.p1	lcl|JAVHJL010000005.1_cds_KAK6502867.1_8155.p1
OG0001344	XM_001590875.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511887.1_809.p1
OG0001345	XM_001594772.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505793.1_7923.p1
OG0001346	XM_001594790.1.p1	lcl|JAVHJL010000002.1_cds_KAK6508876.1_3734.p1, lcl|JAVHJL010000002.1_cds_KAK6509315.1_4173.p1
OG0001347	XM_001588165.1.p1	lcl|JAVHJL010000004.1_cds_KAK6504671.1_6801.p1
OG0001348	XM_001587711.1.p1	lcl|JAVHJL010000008.1_cds_KAK6498565.1_11513.p1
OG0001349	XM_001585733.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511464.1_386.p1
OG0001350	XM_001594034.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501506.1_9647.p1
OG0001351	XM_001587708.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509344.1_4202.p1
OG0001352	XM_001586665.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505189.1_7319.p1
OG0001353	XM_001591623.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509610.1_4468.p1
OG0001354	XM_001592719.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509045.1_3903.p1
OG0001356	XM_001585187.1.p1	lcl|JAVHJL010000013.1_cds_KAK6495379.1_3494.p1
OG0001357	XM_001596863.1.p1	lcl|JAVHJL010000013.1_cds_KAK6495281.1_3396.p1
OG0001358	XM_001597450.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505545.1_7675.p1
OG0001359	XM_001587161.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505421.1_7551.p1
OG0001361	XM_001589944.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511779.1_701.p1
OG0001362	XM_001591944.1.p1	lcl|JAVHJL010000005.1_cds_KAK6503082.1_8370.p1
OG0001363	XM_001598194.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509180.1_4038.p1
OG0001364	XM_001587004.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505201.1_7331.p1
OG0001365	XM_001590890.1.p1	lcl|JAVHJL010000003.1_cds_KAK6507355.1_5958.p1
OG0001366	XM_001596179.1.p1, XM_001589539.1.p1, XM_001595151.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505689.1_7819.p1
OG0001367	XM_001595176.1.p1	lcl|JAVHJL010000004.1_cds_KAK6504909.1_7039.p1
OG0001368	XM_001596704.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501829.1_9970.p1
OG0001369	XM_001597173.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505501.1_7631.p1
OG0001370	XM_001592102.1.p1	lcl|JAVHJL010000005.1_cds_KAK6503872.1_9160.p1, lcl|JAVHJL010000005.1_cds_KAK6503873.1_9161.p1, lcl|JAVHJL010000003.1_cds_KAK6507993.1_6596.p1, lcl|JAVHJL010000009.1_cds_KAK6497773.1_12564.p1, lcl|JAVHJL010000001.1_cds_KAK6512632.1_1554.p1, lcl|JAVHJL010000006.1_cds_KAK6501673.1_9814.p1, lcl|JAVHJL010000006.1_cds_KAK6501674.1_9815.p1, lcl|JAVHJL010000006.1_cds_KAK6501414.1_9555.p1, lcl|JAVHJL010000001.1_cds_KAK6511817.1_739.p1, lcl|JAVHJL010000007.1_cds_KAK6499826.1_10526.p1, lcl|JAVHJL010000002.1_cds_KAK6508995.1_3853.p1, lcl|JAVHJL010000001.1_cds_KAK6511531.1_453.p1, lcl|JAVHJL010000009.1_cds_KAK6497440.1_12231.p1, lcl|JAVHJL010000003.1_cds_KAK6507844.1_6447.p1, lcl|JAVHJL010000009.1_cds_KAK6497441.1_12232.p1, lcl|JAVHJL010000005.1_cds_KAK6503787.1_9075.p1, lcl|JAVHJL010000005.1_cds_KAK6503790.1_9078.p1, lcl|JAVHJL010000005.1_cds_KAK6503789.1_9077.p1, lcl|JAVHJL010000005.1_cds_KAK6503786.1_9074.p1, lcl|JAVHJL010000001.1_cds_KAK6511739.1_661.p1, lcl|JAVHJL010000004.1_cds_KAK6505756.1_7886.p1
OG0001371	XM_001597570.1.p1	lcl|JAVHJL010000008.1_cds_KAK6498738.1_11686.p1
OG0001372	XM_001594988.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509455.1_4313.p1
OG0001373	XM_001587954.1.p1	lcl|JAVHJL010000009.1_cds_KAK6497879.1_12670.p1
OG0001374	XM_001585514.1.p1	lcl|JAVHJL010000001.1_cds_KAK6512230.1_1152.p1
OG0001375	XM_001588248.1.p1	lcl|JAVHJL010000004.1_cds_KAK6504666.1_6796.p1
OG0001377	XM_001584620.1.p1	lcl|JAVHJL010000007.1_cds_KAK6500189.1_10889.p1
OG0001378	XM_001593740.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505069.1_7199.p1
OG0001379	XM_001590461.1.p1	lcl|JAVHJL010000007.1_cds_KAK6499876.1_10576.p1
OG0001382	XM_001585252.1.p1	lcl|JAVHJL010000005.1_cds_KAK6503109.1_8397.p1
OG0001384	XM_001584676.1.p1, XM_001584677.1.p1	lcl|JAVHJL010000004.1_cds_KAK6504836.1_6965.p1
OG0001385	XM_001590507.1.p1	lcl|JAVHJL010000007.1_cds_KAK6499744.1_10444.p1
OG0001386	XM_001594603.1.p1	lcl|JAVHJL010000002.1_cds_KAK6510166.1_5024.p1
OG0001387	XM_001590581.1.p1	lcl|JAVHJL010000013.1_cds_KAK6495437.1_3552.p1
OG0001388	XM_001595837.1.p1	lcl|JAVHJL010000002.1_cds_KAK6510054.1_4912.p1
OG0001389	XM_001594385.1.p1	lcl|JAVHJL010000010.1_cds_KAK6496634.1_1677.p1
OG0001390	XM_001593629.1.p1	lcl|JAVHJL010000005.1_cds_KAK6503585.1_8873.p1
OG0001391	XM_001593760.1.p1	lcl|JAVHJL010000003.1_cds_KAK6507183.1_5786.p1
OG0001392	XM_001591018.1.p1	lcl|JAVHJL010000008.1_cds_KAK6498739.1_11687.p1
OG0001393	XM_001587430.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505147.1_7277.p1
OG0001394	XM_001595447.1.p1	lcl|JAVHJL010000005.1_cds_KAK6503044.1_8332.p1
OG0001395	XM_001595940.1.p1	lcl|JAVHJL010000009.1_cds_KAK6497619.1_12410.p1
OG0001396	XM_001597306.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511900.1_822.p1
OG0001397	XM_001597458.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505549.1_7679.p1
OG0001398	XM_001593321.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509238.1_4096.p1
OG0001399	XM_001594283.1.p1, XM_001589226.1.p1	lcl|JAVHJL010000002.1_cds_KAK6510153.1_5011.p1
OG0001401	XM_001585941.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501183.1_9324.p1
OG0001402	XM_001598084.1.p1	lcl|JAVHJL010000003.1_cds_KAK6506959.1_5562.p1
OG0001404	XM_001588050.1.p1	lcl|JAVHJL010000002.1_cds_KAK6510065.1_4923.p1
OG0001405	XM_001594368.1.p1	lcl|JAVHJL010000010.1_cds_KAK6496643.1_1686.p1
OG0001406	XM_001592275.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509828.1_4686.p1
OG0001407	XM_001591124.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505272.1_7402.p1
OG0001408	XM_001598811.1.p1	lcl|JAVHJL010000010.1_cds_KAK6496600.1_1643.p1
OG0001409	XM_001594864.1.p1	lcl|JAVHJL010000009.1_cds_KAK6497497.1_12288.p1
OG0001411	XM_001592806.1.p1	lcl|JAVHJL010000010.1_cds_KAK6496699.1_1742.p1
OG0001412	XM_001590469.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511999.1_921.p1
OG0001414	XM_001590169.1.p1	lcl|JAVHJL010000005.1_cds_KAK6503894.1_9182.p1
OG0001415	XM_001596226.1.p1, XM_001598472.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511497.1_419.p1
OG0001416	XM_001598452.1.p1	lcl|JAVHJL010000003.1_cds_KAK6506909.1_5512.p1
OG0001417	XM_001593177.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509192.1_4050.p1
OG0001418	XM_001591514.1.p1	lcl|JAVHJL010000009.1_cds_KAK6497550.1_12341.p1
OG0001420	XM_001590398.1.p1	lcl|JAVHJL010000003.1_cds_KAK6506689.1_5292.p1
OG0001421	XM_001595574.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509963.1_4821.p1
OG0001422	XM_001590100.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501623.1_9764.p1
OG0001425	XM_001597305.1.p1	lcl|JAVHJL010000005.1_cds_KAK6502989.1_8277.p1
OG0001426	XM_001591173.1.p1	lcl|JAVHJL010000005.1_cds_KAK6503008.1_8296.p1
OG0001427	XM_001593871.1.p1	lcl|JAVHJL010000004.1_cds_KAK6504839.1_6969.p1
OG0001428	XM_001588090.1.p1	lcl|JAVHJL010000004.1_cds_KAK6504997.1_7127.p1
OG0001429	XM_001592111.1.p1	lcl|JAVHJL010000007.1_cds_KAK6500513.1_11213.p1
OG0001430	XM_001588184.1.p1	lcl|JAVHJL010000004.1_cds_KAK6504831.1_6961.p1
OG0001431	XM_001589594.1.p1	lcl|JAVHJL010000003.1_cds_KAK6507193.1_5796.p1
OG0001432	XM_001585343.1.p1	lcl|JAVHJL010000007.1_cds_KAK6500309.1_11009.p1
OG0001433	XM_001585693.1.p1, XM_001585692.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501947.1_10088.p1
OG0001434	XM_001598003.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505286.1_7416.p1
OG0001435	XM_001591027.1.p1	lcl|JAVHJL010000008.1_cds_KAK6498668.1_11616.p1
OG0001436	XM_001594967.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509073.1_3931.p1
OG0001437	XM_001595220.1.p1, XM_001598482.1.p1	lcl|JAVHJL010000003.1_cds_KAK6506836.1_5439.p1
OG0001438	XM_001586526.1.p1	lcl|JAVHJL010000004.1_cds_KAK6504983.1_7113.p1
OG0001440	XM_001593418.1.p1	lcl|JAVHJL010000005.1_cds_KAK6503574.1_8862.p1
OG0001441	XM_001591502.1.p1	lcl|JAVHJL010000005.1_cds_KAK6503446.1_8734.p1
OG0001442	XM_001596523.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505250.1_7380.p1
OG0001443	XM_001591497.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509587.1_4445.p1
OG0001444	XM_001598154.1.p1	lcl|JAVHJL010000001.1_cds_KAK6512170.1_1092.p1
OG0001445	XM_001592332.1.p1	lcl|JAVHJL010000013.1_cds_KAK6495391.1_3506.p1
OG0001446	XM_001584964.1.p1	lcl|JAVHJL010000013.1_cds_KAK6495401.1_3516.p1
OG0001447	XM_001590454.1.p1	lcl|JAVHJL010000001.1_cds_KAK6512085.1_1007.p1
OG0001449	XM_001584927.1.p1	lcl|JAVHJL010000003.1_cds_KAK6506634.1_5237.p1
OG0001450	XM_001594323.1.p1	lcl|JAVHJL010000005.1_cds_KAK6502887.1_8175.p1
OG0001451	XM_001590785.1.p1	lcl|JAVHJL010000009.1_cds_KAK6497689.1_12480.p1
OG0001452	XM_001586975.1.p1	lcl|JAVHJL010000010.1_cds_KAK6496941.1_1984.p1
OG0001453	XM_001585709.1.p1	lcl|JAVHJL010000006.1_cds_KAK6502009.1_10150.p1
OG0001454	XM_001598339.1.p1	lcl|JAVHJL010000004.1_cds_KAK6504908.1_7038.p1
OG0001455	XM_001596308.1.p1	lcl|JAVHJL010000011.1_cds_KAK6496375.1_2470.p1
OG0001456	XM_001594827.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505443.1_7573.p1
OG0001457	XM_001590966.1.p1	lcl|JAVHJL010000005.1_cds_KAK6502872.1_8160.p1
OG0001458	XM_001597544.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509710.1_4568.p1
OG0001459	XM_001586602.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511140.1_62.p1
OG0001460	XM_001585269.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501540.1_9681.p1
OG0001461	XM_001597434.1.p1	lcl|JAVHJL010000008.1_cds_KAK6498703.1_11651.p1
OG0001463	XM_001587116.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505323.1_7453.p1
OG0001464	XM_001587145.1.p1	lcl|JAVHJL010000005.1_cds_KAK6503678.1_8966.p1
OG0001465	XM_001584616.1.p1	lcl|JAVHJL010000001.1_cds_KAK6512361.1_1283.p1
OG0001466	XM_001588938.1.p1	lcl|JAVHJL010000008.1_cds_KAK6498294.1_11242.p1
OG0001467	XM_001593377.1.p1	lcl|JAVHJL010000008.1_cds_KAK6498538.1_11486.p1, lcl|JAVHJL010000007.1_cds_KAK6500008.1_10708.p1
OG0001468	XM_001585179.1.p1	lcl|JAVHJL010000009.1_cds_KAK6497652.1_12443.p1
OG0001469	XM_001587568.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509470.1_4328.p1
OG0001470	XM_001598483.1.p1	lcl|JAVHJL010000003.1_cds_KAK6506891.1_5494.p1
OG0001471	XM_001597927.1.p1	lcl|JAVHJL010000009.1_cds_KAK6497401.1_12192.p1
OG0001472	XM_001588144.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501644.1_9785.p1
OG0001473	XM_001588083.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509961.1_4819.p1
OG0001479	XM_001598015.1.p1	lcl|JAVHJL010000005.1_cds_KAK6503235.1_8523.p1
OG0001489	XM_001594695.1.p1	lcl|JAVHJL010000001.1_cds_KAK6512548.1_1470.p1
OG0001490	XM_001590455.1.p1	lcl|JAVHJL010000007.1_cds_KAK6499839.1_10539.p1
OG0001491	XM_001587628.1.p1	lcl|JAVHJL010000005.1_cds_KAK6503060.1_8348.p1
OG0001492	XM_001589157.1.p1	lcl|JAVHJL010000005.1_cds_KAK6503228.1_8516.p1
OG0001494	XM_001590871.1.p1	lcl|JAVHJL010000005.1_cds_KAK6503367.1_8655.p1
OG0001495	XM_001591501.1.p1	lcl|JAVHJL010000005.1_cds_KAK6503447.1_8735.p1
OG0001496	XM_001590486.1.p1	lcl|JAVHJL010000011.1_cds_KAK6496440.1_2535.p1
OG0001497	XM_001586720.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505255.1_7385.p1
OG0001498	XM_001586789.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509428.1_4286.p1
OG0001500	XM_001591000.1.p1, XM_001590999.1.p1	lcl|JAVHJL010000008.1_cds_KAK6498775.1_11723.p1
OG0001501	XM_001585424.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501497.1_9638.p1
OG0001502	XM_001585986.1.p1	lcl|JAVHJL010000007.1_cds_KAK6500518.1_11218.p1
OG0001504	XM_001598066.1.p1	lcl|JAVHJL010000003.1_cds_KAK6506863.1_5466.p1
OG0001505	XM_001590355.1.p1	lcl|JAVHJL010000003.1_cds_KAK6506632.1_5235.p1
OG0001506	XM_001595083.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505738.1_7868.p1
OG0001509	XM_001589211.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501874.1_10015.p1
OG0001510	XM_001587247.1.p1	lcl|JAVHJL010000009.1_cds_KAK6497908.1_12699.p1
OG0001511	XM_001598741.1.p1	lcl|JAVHJL010000010.1_cds_KAK6496551.1_1594.p1
OG0001512	XM_001598889.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511558.1_480.p1
OG0001513	XM_001592873.1.p1	lcl|JAVHJL010000001.1_cds_KAK6512038.1_960.p1
OG0001514	XM_001585948.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505668.1_7798.p1
OG0001515	XM_001594183.1.p1	lcl|JAVHJL010000005.1_cds_KAK6502865.1_8153.p1
OG0001517	XM_001588211.1.p1	lcl|JAVHJL010000004.1_cds_KAK6504699.1_6829.p1
OG0001518	XM_001588256.1.p1	lcl|JAVHJL010000004.1_cds_KAK6504628.1_6758.p1
OG0001519	XM_001587131.1.p1	lcl|JAVHJL010000003.1_cds_KAK6507340.1_5943.p1
OG0001520	XM_001590166.1.p1	lcl|JAVHJL010000007.1_cds_KAK6499891.1_10591.p1
OG0001521	XM_001596692.1.p1	lcl|JAVHJL010000010.1_cds_KAK6496886.1_1929.p1
OG0001522	XM_001596697.1.p1	lcl|JAVHJL010000005.1_cds_KAK6503332.1_8620.p1
OG0001523	XM_001587383.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501097.1_9238.p1
OG0001524	XM_001594990.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509457.1_4315.p1
OG0001525	XM_001587317.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509475.1_4333.p1
OG0001526	XM_001591706.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509580.1_4438.p1
OG0001527	XM_001597417.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509790.1_4648.p1
OG0001529	XM_001597439.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509685.1_4543.p1
OG0001530	XM_001584603.1.p1	lcl|JAVHJL010000007.1_cds_KAK6499653.1_10353.p1
OG0001531	XM_001598262.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511628.1_550.p1
OG0001532	XM_001585492.1.p1	lcl|JAVHJL010000009.1_cds_KAK6497618.1_12409.p1
OG0001533	XM_001585528.1.p1	lcl|JAVHJL010000013.1_cds_KAK6495487.1_3602.p1
OG0001534	XM_001587067.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509255.1_4113.p1
OG0001536	XM_001587085.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505386.1_7516.p1
OG0001537	XM_001586965.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501831.1_9972.p1
OG0001538	XM_001585028.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501797.1_9938.p1
OG0001539	XM_001594194.1.p1, XM_001594193.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509089.1_3947.p1
OG0001540	XM_001594424.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509008.1_3866.p1
OG0001541	XM_001598499.1.p1	lcl|JAVHJL010000011.1_cds_KAK6496007.1_2102.p1
OG0001543	XM_001598769.1.p1	lcl|JAVHJL010000005.1_cds_KAK6503194.1_8482.p1
OG0001544	XM_001595965.1.p1	lcl|JAVHJL010000005.1_cds_KAK6503164.1_8452.p1
OG0001545	XM_001591563.1.p1	lcl|JAVHJL010000004.1_cds_KAK6504683.1_6813.p1
OG0001546	XM_001584892.1.p1	lcl|JAVHJL010000013.1_cds_KAK6495445.1_3560.p1
OG0001547	XM_001592560.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511833.1_755.p1
OG0001548	XM_001592711.1.p1	lcl|JAVHJL010000010.1_cds_KAK6496883.1_1926.p1
OG0001550	XM_001590263.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511526.1_448.p1
OG0001551	XM_001591912.1.p1	lcl|JAVHJL010000007.1_cds_KAK6499692.1_10392.p1
OG0001551	XM_001591910.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511948.1_870.p1
OG0001552	XM_001591114.1.p1	lcl|JAVHJL010000008.1_cds_KAK6498614.1_11562.p1
OG0001553	XM_001585770.1.p1	lcl|JAVHJL010000003.1_cds_KAK6507628.1_6231.p1
OG0001554	XM_001588826.1.p1	lcl|JAVHJL010000007.1_cds_KAK6500399.1_11099.p1
OG0001555	XM_001588932.1.p1	lcl|JAVHJL010000006.1_cds_KAK6502060.1_10201.p1
OG0001556	XM_001586500.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511264.1_186.p1
OG0001557	XM_001598314.1.p1	lcl|JAVHJL010000009.1_cds_KAK6497492.1_12283.p1
OG0001558	XM_001586489.1.p1	lcl|JAVHJL010000009.1_cds_KAK6497496.1_12287.p1
OG0001559	XM_001595680.1.p1	lcl|JAVHJL010000002.1_cds_KAK6510041.1_4899.p1
OG0001560	XM_001584921.1.p1	lcl|JAVHJL010000001.1_cds_KAK6512083.1_1005.p1
OG0001561	XM_001587460.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505139.1_7269.p1
OG0001563	XM_001586244.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509004.1_3862.p1
OG0001564	XM_001597736.1.p1	lcl|JAVHJL010000005.1_cds_KAK6502993.1_8281.p1
OG0001565	XM_001586785.1.p1	lcl|JAVHJL010000013.1_cds_KAK6495202.1_3317.p1
OG0001566	XM_001587857.1.p1	lcl|JAVHJL010000013.1_cds_KAK6495052.1_3167.p1
OG0001567	XM_001585586.1.p1	lcl|JAVHJL010000005.1_cds_KAK6503677.1_8965.p1
OG0001568	XM_001588032.1.p1	lcl|JAVHJL010000004.1_cds_KAK6504999.1_7129.p1
OG0001569	XM_001598533.1.p1	lcl|JAVHJL010000013.1_cds_KAK6495250.1_3365.p1
OG0001570	XM_001598009.1.p1	lcl|JAVHJL010000010.1_cds_KAK6496536.1_1579.p1
OG0001571	XM_001586005.1.p1	lcl|JAVHJL010000001.1_cds_KAK6512408.1_1330.p1
OG0001572	XM_001597978.1.p1	lcl|JAVHJL010000001.1_cds_KAK6512165.1_1087.p1
OG0001573	XM_001598381.1.p1	lcl|JAVHJL010000001.1_cds_KAK6512157.1_1079.p1
OG0001574	XM_001592452.1.p1	lcl|JAVHJL010000013.1_cds_KAK6495328.1_3443.p1
OG0001575	XM_001586034.1.p1	lcl|JAVHJL010000011.1_cds_KAK6496335.1_2430.p1
OG0001576	XM_001588787.1.p1	lcl|JAVHJL010000004.1_cds_KAK6504900.1_7030.p1
OG0001578	XM_001594733.1.p1	lcl|JAVHJL010000011.1_cds_KAK6496143.1_2238.p1
OG0001579	XM_001596911.1.p1	lcl|JAVHJL010000007.1_cds_KAK6500247.1_10947.p1
OG0001580	XM_001588446.1.p1	lcl|JAVHJL010000007.1_cds_KAK6499578.1_10278.p1
OG0001581	XM_001592716.1.p1	lcl|JAVHJL010000010.1_cds_KAK6497015.1_2058.p1
OG0001582	XM_001585389.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501512.1_9653.p1
OG0001583	XM_001590383.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501945.1_10086.p1
OG0001584	XM_001592184.1.p1	lcl|JAVHJL010000001.1_cds_KAK6512349.1_1271.p1
OG0001585	XM_001591668.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511944.1_866.p1
OG0001586	XM_001595864.1.p1	lcl|JAVHJL010000006.1_cds_KAK6502020.1_10161.p1
OG0001587	XM_001584989.1.p1	lcl|JAVHJL010000003.1_cds_KAK6506693.1_5296.p1
OG0001589	XM_001598421.1.p1	lcl|JAVHJL010000009.1_cds_KAK6497435.1_12226.p1
OG0001590	XM_001586317.1.p1	lcl|JAVHJL010000008.1_cds_KAK6498925.1_11873.p1
OG0001591	XM_001588337.1.p1	lcl|JAVHJL010000002.1_cds_KAK6510053.1_4911.p1
OG0001592	XM_001591465.1.p1	lcl|JAVHJL010000008.1_cds_KAK6498494.1_11442.p1
OG0001593	XM_001589357.1.p1	lcl|JAVHJL010000008.1_cds_KAK6498664.1_11612.p1
OG0001594	XM_001597642.1.p1	lcl|JAVHJL010000003.1_cds_KAK6507726.1_6329.p1
OG0001595	XM_001594480.1.p1	lcl|JAVHJL010000008.1_cds_KAK6498878.1_11826.p1
OG0001596	XM_001597634.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501948.1_10089.p1
OG0001597	XM_001594887.1.p1	lcl|JAVHJL010000009.1_cds_KAK6497575.1_12366.p1
OG0001598	XM_001593169.1.p1	lcl|JAVHJL010000010.1_cds_KAK6496711.1_1754.p1
OG0001599	XM_001595351.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509471.1_4329.p1
OG0001600	XM_001590984.1.p1	lcl|JAVHJL010000008.1_cds_KAK6498740.1_11688.p1
OG0001601	XM_001592341.1.p1	lcl|JAVHJL010000013.1_cds_KAK6495334.1_3449.p1
OG0001602	XM_001584934.1.p1	lcl|JAVHJL010000013.1_cds_KAK6495337.1_3452.p1
OG0001603	XM_001584607.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511908.1_830.p1
OG0001604	XM_001587107.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511430.1_352.p1
OG0001605	XM_001585121.1.p1	lcl|JAVHJL010000007.1_cds_KAK6499794.1_10494.p1
OG0001606	XM_001593391.1.p1	lcl|JAVHJL010000008.1_cds_KAK6498543.1_11491.p1
OG0001607	XM_001597097.1.p1	lcl|JAVHJL010000003.1_cds_KAK6507470.1_6073.p1
OG0001608	XM_001591914.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509172.1_4030.p1
OG0001609	XM_001590202.1.p1	lcl|JAVHJL010000001.1_cds_KAK6511591.1_513.p1
OG0001610	XM_001593541.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505021.1_7151.p1
OG0001611	XM_001587790.1.p1	lcl|JAVHJL010000013.1_cds_KAK6495173.1_3288.p1
OG0001613	XM_001587935.1.p1, XM_001587936.1.p1	lcl|JAVHJL010000009.1_cds_KAK6497789.1_12580.p1
OG0001614	XM_001585306.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501668.1_9809.p1
OG0001615	XM_001584605.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505362.1_7492.p1
OG0001616	XM_001594984.1.p1	lcl|JAVHJL010000002.1_cds_KAK6509459.1_4317.p1
OG0001617	XM_001597285.1.p1	lcl|JAVHJL010000005.1_cds_KAK6503130.1_8418.p1
OG0001618	XM_001589352.1.p1	lcl|JAVHJL010000006.1_cds_KAK6501967.1_10108.p1
OG0001619	XM_001587176.1.p1	lcl|JAVHJL010000004.1_cds_KAK6505454.1_7584.p1
OG0001620	XM_001597684.1.p1	lcl|JAVHJL010000003.1_cds_KAK6507363.1_5966.p1
OG0001622	XM_001585761.1.p1	lcl|JAVHJL010000003.1_cds_KAK6507616.1_6219.p1
