Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Pythium_ultimum_cds_prot
OG0000616	XM_001588389.1.p1	lcl|BBXB02000058.1_cds_GLE03168.1_11689.p1, lcl|BBXB02000030.1_cds_GLD99347.1_7869.p1
OG0000617	XM_001593217.1.p1	lcl|BBXB02000004.1_cds_GLD93118.1_1640.p1
OG0000617	XM_001591019.1.p1	lcl|BBXB02000052.1_cds_GLE02661.1_11182.p1
OG0000618	XM_001591111.1.p1	lcl|BBXB02000078.1_cds_GLE05053.1_13574.p1
OG0000620	XM_001588805.1.p1	lcl|BBXB02000031.1_cds_GLD99518.1_8040.p1
OG0000621	XM_001596841.1.p1, XM_001598866.1.p1	lcl|BBXB02000036.1_cds_GLE00447.1_8968.p1
OG0000624	XM_001594377.1.p1	lcl|BBXB02000008.1_cds_GLD94563.1_3085.p1, lcl|BBXB02000009.1_cds_GLD94661.1_3183.p1, lcl|BBXB02000008.1_cds_GLD94564.1_3086.p1
OG0000628	XM_001586561.1.p1	lcl|BBXB02000068.1_cds_GLE04208.1_12729.p1
OG0000629	XM_001594794.1.p1	lcl|BBXB02000082.1_cds_GLE05221.1_13742.p1
OG0000630	XM_001589004.1.p1	lcl|BBXB02000043.1_cds_GLE01392.1_9913.p1, lcl|BBXB02000076.1_cds_GLE04786.1_13307.p1, lcl|BBXB02000343.1_cds_GLE08596.1_17117.p1, lcl|BBXB02000034.1_cds_GLE00037.1_8558.p1
OG0000631	XM_001585037.1.p1	lcl|BBXB02000033.1_cds_GLD99880.1_8402.p1, lcl|BBXB02000005.1_cds_GLD93382.1_1904.p1
OG0000634	XM_001593326.1.p1	lcl|BBXB02000013.1_cds_GLD95936.1_4458.p1, lcl|BBXB02000301.1_cds_GLE08249.1_16770.p1, lcl|BBXB02000013.1_cds_GLD95780.1_4302.p1
OG0000641	XM_001586942.1.p1	lcl|BBXB02000001.1_cds_GLD91630.1_152.p1, lcl|BBXB02000017.1_cds_GLD96826.1_5348.p1, lcl|BBXB02000017.1_cds_GLD97010.1_5532.p1, lcl|BBXB02000009.1_cds_GLD94826.1_3348.p1, lcl|BBXB02000009.1_cds_GLD94845.1_3367.p1, lcl|BBXB02000009.1_cds_GLD94856.1_3378.p1
OG0000644	XM_001591795.1.p1	lcl|BBXB02000024.1_cds_GLD98299.1_6821.p1
OG0000644	XM_001591081.1.p1	lcl|BBXB02000011.1_cds_GLD95385.1_3907.p1
OG0000648	XM_001594682.1.p1, XM_001589012.1.p1	lcl|BBXB02000001.1_cds_GLD91988.1_510.p1
OG0000649	XM_001589418.1.p1, XM_001589600.1.p1	lcl|BBXB02000059.1_cds_GLE03321.1_11842.p1
OG0000650	XM_001598771.1.p1	lcl|BBXB02000009.1_cds_GLD94699.1_3221.p1, lcl|BBXB02000010.1_cds_GLD95020.1_3542.p1, lcl|BBXB02000010.1_cds_GLD95022.1_3544.p1
OG0000652	XM_001592321.1.p1	lcl|BBXB02000033.1_cds_GLD99999.1_8521.p1, lcl|BBXB02000557.1_cds_GLE10477.1_18998.p1
OG0000658	XM_001588121.1.p1, XM_001585190.1.p1, XM_001590345.1.p1	lcl|BBXB02000027.1_cds_GLD98880.1_7402.p1
OG0000659	XM_001588433.1.p1	lcl|BBXB02000050.1_cds_GLE02410.1_10931.p1
OG0000659	XM_001597588.1.p1	lcl|BBXB02000031.1_cds_GLD99510.1_8032.p1
OG0000661	XM_001591625.1.p1	lcl|BBXB02000044.1_cds_GLE01602.1_10123.p1, lcl|BBXB02000001.1_cds_GLD91992.1_514.p1
OG0000662	XM_001587349.1.p1	lcl|BBXB02000071.1_cds_GLE04462.1_12983.p1
OG0000663	XM_001595888.1.p1	lcl|BBXB02000027.1_cds_GLD98896.1_7418.p1
OG0000663	XM_001593339.1.p1	lcl|BBXB02000078.1_cds_GLE05038.1_13559.p1
OG0000665	XM_001597611.1.p1	lcl|BBXB02000046.1_cds_GLE01878.1_10399.p1
OG0000665	XM_001587764.1.p1	lcl|BBXB02000041.1_cds_GLE01176.1_9697.p1
OG0000666	XM_001588311.1.p1, XM_001590386.1.p1	lcl|BBXB02000105.1_cds_GLE06166.1_14687.p1
OG0000675	XM_001593877.1.p1	lcl|BBXB02000031.1_cds_GLD99663.1_8185.p1
OG0000678	XM_001586952.1.p1, XM_001591970.1.p1	lcl|BBXB02000028.1_cds_GLD99099.1_7621.p1
OG0000681	XM_001588807.1.p1, XM_001593083.1.p1	lcl|BBXB02000031.1_cds_GLD99573.1_8095.p1
OG0000688	XM_001584724.1.p1, XM_001597165.1.p1	lcl|BBXB02000552.1_cds_GLE10456.1_18977.p1
OG0000690	XM_001592277.1.p1	lcl|BBXB02000030.1_cds_GLD99384.1_7906.p1, lcl|BBXB02000427.1_cds_GLE09395.1_17916.p1
OG0000695	XM_001598068.1.p1	lcl|BBXB02000005.1_cds_GLD93394.1_1916.p1, lcl|BBXB02000026.1_cds_GLD98764.1_7286.p1, lcl|BBXB02000030.1_cds_GLD99306.1_7828.p1, lcl|BBXB02000011.1_cds_GLD95201.1_3723.p1, lcl|BBXB02000078.1_cds_GLE05065.1_13586.p1, lcl|BBXB02000109.1_cds_GLE06303.1_14824.p1, lcl|BBXB02000297.1_cds_GLE08216.1_16737.p1, lcl|BBXB02000109.1_cds_GLE06274.1_14795.p1
OG0000703	XM_001586680.1.p1, XM_001584591.1.p1, XM_001593587.1.p1	lcl|BBXB02000015.1_cds_GLD96532.1_5054.p1, lcl|BBXB02000015.1_cds_GLD96533.1_5055.p1
OG0000704	XM_001593295.1.p1, XM_001598316.1.p1	lcl|BBXB02000084.1_cds_GLE05319.1_13840.p1, lcl|BBXB02000013.1_cds_GLD95868.1_4390.p1, lcl|BBXB02000084.1_cds_GLE05318.1_13839.p1
OG0000705	XM_001590323.1.p1, XM_001589597.1.p1, XM_001586677.1.p1	lcl|BBXB02000050.1_cds_GLE02376.1_10897.p1, lcl|BBXB02000050.1_cds_GLE02375.1_10896.p1
OG0000709	XM_001588477.1.p1, XM_001598287.1.p1, XM_001589280.1.p1	lcl|BBXB02000005.1_cds_GLD93573.1_2095.p1
OG0000718	XM_001584951.1.p1, XM_001589768.1.p1	lcl|BBXB02000002.1_cds_GLD92028.1_550.p1
OG0000719	XM_001594228.1.p1	lcl|BBXB02000138.1_cds_GLE06754.1_15275.p1, lcl|BBXB02000022.1_cds_GLD98029.1_6551.p1, lcl|BBXB02000022.1_cds_GLD97986.1_6508.p1, lcl|BBXB02000022.1_cds_GLD97987.1_6509.p1, lcl|BBXB02000031.1_cds_GLD99661.1_8183.p1, lcl|BBXB02000022.1_cds_GLD97992.1_6514.p1
OG0000721	XM_001598753.1.p1	lcl|BBXB02000065.1_cds_GLE03977.1_12498.p1, lcl|BBXB02000018.1_cds_GLD97177.1_5699.p1, lcl|BBXB02000065.1_cds_GLE03978.1_12499.p1, lcl|BBXB02000065.1_cds_GLE03973.1_12494.p1, lcl|BBXB02000065.1_cds_GLE03970.1_12491.p1, lcl|BBXB02000065.1_cds_GLE03972.1_12493.p1, lcl|BBXB02000067.1_cds_GLE04116.1_12637.p1
OG0000724	XM_001597293.1.p1, XM_001593210.1.p1	lcl|BBXB02000750.1_cds_GLE11681.1_20202.p1
OG0000730	XM_001592960.1.p1	lcl|BBXB02000026.1_cds_GLD98643.1_7165.p1, lcl|BBXB02000453.1_cds_GLE09616.1_18137.p1
OG0000731	XM_001598010.1.p1, XM_001588455.1.p1	lcl|BBXB02000006.1_cds_GLD93749.1_2271.p1, lcl|BBXB02000006.1_cds_GLD93742.1_2264.p1
OG0000733	XM_001590502.1.p1	lcl|BBXB02000078.1_cds_GLE05010.1_13531.p1
OG0000733	XM_001590497.1.p1	lcl|BBXB02000078.1_cds_GLE05011.1_13532.p1, lcl|BBXB02000021.1_cds_GLD97773.1_6295.p1
OG0000736	XM_001598120.1.p1, XM_001586755.1.p1	lcl|BBXB02000011.1_cds_GLD95281.1_3803.p1
OG0000737	XM_001585464.1.p1	lcl|BBXB02000004.1_cds_GLD93105.1_1627.p1
OG0000738	XM_001589763.1.p1	lcl|BBXB02000038.1_cds_GLE00797.1_9318.p1, lcl|BBXB02000038.1_cds_GLE00790.1_9311.p1
OG0000741	XM_001597032.1.p1, XM_001585910.1.p1	lcl|BBXB02000037.1_cds_GLE00521.1_9042.p1
OG0000743	XM_001591205.1.p1	lcl|BBXB02000052.1_cds_GLE02625.1_11146.p1, lcl|BBXB02000013.1_cds_GLD95798.1_4320.p1
OG0000751	XM_001589822.1.p1, XM_001596945.1.p1	lcl|BBXB02000004.1_cds_GLD93126.1_1648.p1
OG0000753	XM_001587676.1.p1, XM_001591506.1.p1	lcl|BBXB02000048.1_cds_GLE02102.1_10623.p1
OG0000757	XM_001593138.1.p1	lcl|BBXB02000032.1_cds_GLD99799.1_8321.p1, lcl|BBXB02000032.1_cds_GLD99797.1_8319.p1, lcl|BBXB02000002.1_cds_GLD92302.1_824.p1
OG0000758	XM_001590577.1.p1	lcl|BBXB02000051.1_cds_GLE02572.1_11093.p1
OG0000759	XM_001593983.1.p1, XM_001584997.1.p1	lcl|BBXB02000002.1_cds_GLD92216.1_738.p1
OG0000763	XM_001590106.1.p1, XM_001591452.1.p1	lcl|BBXB02000039.1_cds_GLE00831.1_9352.p1
OG0000764	XM_001590789.1.p1, XM_001589307.1.p1	lcl|BBXB02000060.1_cds_GLE03427.1_11948.p1
OG0000767	XM_001594777.1.p1, XM_001596669.1.p1	lcl|BBXB02000005.1_cds_GLD93615.1_2137.p1
OG0000772	XM_001584884.1.p1	lcl|BBXB02000038.1_cds_GLE00709.1_9230.p1
OG0000775	XM_001588040.1.p1	lcl|BBXB02000491.1_cds_GLE09910.1_18431.p1, lcl|BBXB02000026.1_cds_GLD98652.1_7174.p1, lcl|BBXB02000037.1_cds_GLE00573.1_9094.p1, lcl|BBXB02000020.1_cds_GLD97621.1_6143.p1, lcl|BBXB02000080.1_cds_GLE05138.1_13659.p1, lcl|BBXB02000058.1_cds_GLE03200.1_11721.p1, lcl|BBXB02000065.1_cds_GLE03985.1_12506.p1, lcl|BBXB02000005.1_cds_GLD93580.1_2102.p1
OG0000777	XM_001589734.1.p1	lcl|BBXB02000026.1_cds_GLD98641.1_7163.p1
OG0000780	XM_001596764.1.p1, XM_001589984.1.p1	lcl|BBXB02000001.1_cds_GLD91595.1_117.p1, lcl|BBXB02000060.1_cds_GLE03399.1_11920.p1
OG0000787	XM_001590076.1.p1, XM_001592534.1.p1, XM_001592535.1.p1	lcl|BBXB02000055.1_cds_GLE02888.1_11409.p1, lcl|BBXB02000055.1_cds_GLE02887.1_11408.p1
OG0000789	XM_001595138.1.p1	lcl|BBXB02000006.1_cds_GLD93933.1_2455.p1
OG0000790	XM_001588713.1.p1, XM_001588711.1.p1	lcl|BBXB02000035.1_cds_GLE00182.1_8703.p1
OG0000794	XM_001589028.1.p1	lcl|BBXB02000072.1_cds_GLE04482.1_13003.p1, lcl|BBXB02000072.1_cds_GLE04541.1_13062.p1, lcl|BBXB02000352.1_cds_GLE08661.1_17182.p1, lcl|BBXB02000017.1_cds_GLD97004.1_5526.p1, lcl|BBXB02000017.1_cds_GLD96839.1_5361.p1, lcl|BBXB02000004.1_cds_GLD92968.1_1490.p1, lcl|BBXB02000029.1_cds_GLD99179.1_7701.p1
OG0000797	XM_001586761.1.p1	lcl|BBXB02000043.1_cds_GLE01372.1_9893.p1
OG0000798	XM_001591069.1.p1	lcl|BBXB02000020.1_cds_GLD97519.1_6041.p1
OG0000799	XM_001598185.1.p1	lcl|BBXB02000033.1_cds_GLE00004.1_8525.p1, lcl|BBXB02000051.1_cds_GLE02564.1_11085.p1, lcl|BBXB02000056.1_cds_GLE02965.1_11486.p1, lcl|BBXB02000056.1_cds_GLE02956.1_11477.p1, lcl|BBXB02000010.1_cds_GLD95064.1_3586.p1, lcl|BBXB02000061.1_cds_GLE03472.1_11993.p1
OG0000802	XM_001596533.1.p1, XM_001591221.1.p1	lcl|BBXB02000007.1_cds_GLD94127.1_2649.p1, lcl|BBXB02000007.1_cds_GLD94131.1_2653.p1, lcl|BBXB02000055.1_cds_GLE02910.1_11431.p1, lcl|BBXB02000062.1_cds_GLE03633.1_12154.p1, lcl|BBXB02000062.1_cds_GLE03626.1_12147.p1, lcl|BBXB02000067.1_cds_GLE04141.1_12662.p1, lcl|BBXB02000422.1_cds_GLE09322.1_17843.p1
OG0000803	XM_001592402.1.p1, XM_001594865.1.p1	lcl|BBXB02000005.1_cds_GLD93557.1_2079.p1, lcl|BBXB02000005.1_cds_GLD93555.1_2077.p1, lcl|BBXB02000057.1_cds_GLE03090.1_11611.p1
OG0000804	XM_001586190.1.p1	lcl|BBXB02000004.1_cds_GLD93280.1_1802.p1
OG0000806	XM_001590392.1.p1, XM_001589187.1.p1	lcl|BBXB02000047.1_cds_GLE02047.1_10568.p1
OG0000807	XM_001587026.1.p1, XM_001597524.1.p1	lcl|BBXB02000045.1_cds_GLE01714.1_10235.p1
OG0000808	XM_001597536.1.p1	lcl|BBXB02000080.1_cds_GLE05142.1_13663.p1
OG0000810	XM_001592962.1.p1	lcl|BBXB02000023.1_cds_GLD98266.1_6788.p1
OG0000812	XM_001593803.1.p1, XM_001596379.1.p1	lcl|BBXB02000061.1_cds_GLE03480.1_12001.p1, lcl|BBXB02000559.1_cds_GLE10505.1_19026.p1
OG0000813	XM_001592242.1.p1	lcl|BBXB02000072.1_cds_GLE04496.1_13017.p1, lcl|BBXB02000026.1_cds_GLD98769.1_7291.p1, lcl|BBXB02000026.1_cds_GLD98771.1_7293.p1, lcl|BBXB02000026.1_cds_GLD98772.1_7294.p1
OG0000814	XM_001594454.1.p1, XM_001591234.1.p1	lcl|BBXB02000009.1_cds_GLD94673.1_3195.p1
OG0000819	XM_001595146.1.p1, XM_001595145.1.p1	lcl|BBXB02000660.1_cds_GLE11246.1_19767.p1, lcl|BBXB02000018.1_cds_GLD97164.1_5686.p1, lcl|BBXB02000035.1_cds_GLE00215.1_8736.p1, lcl|BBXB02000029.1_cds_GLD99155.1_7677.p1, lcl|BBXB02000029.1_cds_GLD99119.1_7641.p1, lcl|BBXB02000004.1_cds_GLD93188.1_1710.p1, lcl|BBXB02000015.1_cds_GLD96313.1_4835.p1
OG0000823	XM_001594941.1.p1	lcl|BBXB02000082.1_cds_GLE05226.1_13747.p1, lcl|BBXB02000013.1_cds_GLD95806.1_4328.p1, lcl|BBXB02000017.1_cds_GLD96926.1_5448.p1, lcl|BBXB02000316.1_cds_GLE08404.1_16925.p1, lcl|BBXB02000076.1_cds_GLE04784.1_13305.p1, lcl|BBXB02000003.1_cds_GLD92485.1_1007.p1
OG0000824	XM_001596316.1.p1	lcl|BBXB02000005.1_cds_GLD93530.1_2052.p1
OG0000833	XM_001585066.1.p1	lcl|BBXB02000066.1_cds_GLE04065.1_12586.p1, lcl|BBXB02000015.1_cds_GLD96254.1_4776.p1, lcl|BBXB02000060.1_cds_GLE03385.1_11906.p1
OG0000840	XM_001590356.1.p1, XM_001598433.1.p1, XM_001591761.1.p1	lcl|BBXB02000032.1_cds_GLD99755.1_8277.p1, lcl|BBXB02000245.1_cds_GLE07794.1_16315.p1
OG0000842	XM_001590686.1.p1, XM_001590759.1.p1	lcl|BBXB02000026.1_cds_GLD98777.1_7299.p1
OG0000846	XM_001590812.1.p1	lcl|BBXB02000015.1_cds_GLD96388.1_4910.p1
OG0000847	XM_001590428.1.p1	lcl|BBXB02000092.1_cds_GLE05696.1_14217.p1
OG0000849	XM_001598887.1.p1	lcl|BBXB02000016.1_cds_GLD96772.1_5294.p1
OG0000853	XM_001591040.1.p1	lcl|BBXB02000309.1_cds_GLE08355.1_16876.p1, lcl|BBXB02000027.1_cds_GLD98893.1_7415.p1, lcl|BBXB02000027.1_cds_GLD98870.1_7392.p1, lcl|BBXB02000008.1_cds_GLD94499.1_3021.p1, lcl|BBXB02000003.1_cds_GLD92820.1_1342.p1
OG0000858	XM_001595783.1.p1, XM_001595785.1.p1	lcl|BBXB02000005.1_cds_GLD93575.1_2097.p1
OG0000859	XM_001591771.1.p1, XM_001598727.1.p1	lcl|BBXB02000030.1_cds_GLD99343.1_7865.p1
OG0000860	XM_001597972.1.p1	lcl|BBXB02000021.1_cds_GLD97747.1_6269.p1
OG0000862	XM_001597870.1.p1	lcl|BBXB02000011.1_cds_GLD95423.1_3945.p1
OG0000864	XM_001593637.1.p1, XM_001589072.1.p1	lcl|BBXB02000008.1_cds_GLD94525.1_3047.p1
OG0000865	XM_001593989.1.p1	lcl|BBXB02000006.1_cds_GLD93914.1_2436.p1, lcl|BBXB02000006.1_cds_GLD93912.1_2434.p1
OG0000867	XM_001592201.1.p1	lcl|BBXB02000051.1_cds_GLE02548.1_11069.p1
OG0000869	XM_001586557.1.p1	lcl|BBXB02000051.1_cds_GLE02508.1_11029.p1, lcl|BBXB02000063.1_cds_GLE03803.1_12324.p1, lcl|BBXB02000023.1_cds_GLD98111.1_6633.p1
OG0000881	XM_001598078.1.p1	lcl|BBXB02000232.1_cds_GLE07588.1_16109.p1, lcl|BBXB02000278.1_cds_GLE08060.1_16581.p1
OG0000882	XM_001591123.1.p1	lcl|BBXB02000014.1_cds_GLD96177.1_4699.p1
OG0000883	XM_001592684.1.p1	lcl|BBXB02000004.1_cds_GLD93220.1_1742.p1, lcl|BBXB02000011.1_cds_GLD95474.1_3996.p1
OG0000886	XM_001597766.1.p1	lcl|BBXB02000608.1_cds_GLE10902.1_19423.p1
OG0000888	XM_001588156.1.p1	lcl|BBXB02000219.1_cds_GLE07501.1_16022.p1
OG0000889	XM_001595904.1.p1, XM_001587720.1.p1	lcl|BBXB02000079.1_cds_GLE05094.1_13615.p1
OG0000891	XM_001596381.1.p1	lcl|BBXB02000381.1_cds_GLE08944.1_17465.p1, lcl|BBXB02000065.1_cds_GLE03947.1_12468.p1
OG0000893	XM_001593810.1.p1	lcl|BBXB02000004.1_cds_GLD92954.1_1476.p1, lcl|BBXB02000004.1_cds_GLD92952.1_1474.p1, lcl|BBXB02000004.1_cds_GLD92946.1_1468.p1, lcl|BBXB02000004.1_cds_GLD92947.1_1469.p1, lcl|BBXB02000004.1_cds_GLD92951.1_1473.p1, lcl|BBXB02000004.1_cds_GLD92953.1_1475.p1
OG0000894	XM_001594761.1.p1	lcl|BBXB02000001.1_cds_GLD91924.1_446.p1
OG0000895	XM_001589295.1.p1	lcl|BBXB02000086.1_cds_GLE05438.1_13959.p1
OG0000898	XM_001594950.1.p1	lcl|BBXB02000045.1_cds_GLE01698.1_10219.p1
OG0000899	XM_001590448.1.p1	lcl|BBXB02000065.1_cds_GLE03924.1_12445.p1, lcl|BBXB02000626.1_cds_GLE11017.1_19538.p1, lcl|BBXB02000065.1_cds_GLE04008.1_12529.p1
OG0000900	XM_001587345.1.p1	lcl|BBXB02000180.1_cds_GLE07184.1_15705.p1
OG0000900	XM_001587164.1.p1	lcl|BBXB02000009.1_cds_GLD94693.1_3215.p1
OG0000901	XM_001594946.1.p1	lcl|BBXB02000038.1_cds_GLE00728.1_9249.p1, lcl|BBXB02000001.1_cds_GLD91815.1_337.p1, lcl|BBXB02000001.1_cds_GLD91814.1_336.p1, lcl|BBXB02000029.1_cds_GLD99277.1_7799.p1, lcl|BBXB02000029.1_cds_GLD99280.1_7802.p1
OG0000906	XM_001593572.1.p1, XM_001598656.1.p1	lcl|BBXB02000007.1_cds_GLD94256.1_2778.p1
OG0000909	XM_001592755.1.p1	lcl|BBXB02000005.1_cds_GLD93406.1_1928.p1, lcl|BBXB02000040.1_cds_GLE01088.1_9609.p1, lcl|BBXB02000152.1_cds_GLE06880.1_15401.p1, lcl|BBXB02000016.1_cds_GLD96766.1_5288.p1, lcl|BBXB02000003.1_cds_GLD92569.1_1091.p1, lcl|BBXB02000015.1_cds_GLD96505.1_5027.p1, lcl|BBXB02000001.1_cds_GLD91666.1_188.p1, lcl|BBXB02000023.1_cds_GLD98101.1_6623.p1, lcl|BBXB02000063.1_cds_GLE03711.1_12232.p1
OG0000910	XM_001591606.1.p1	lcl|BBXB02000084.1_cds_GLE05322.1_13843.p1
OG0000911	XM_001586116.1.p1	lcl|BBXB02000004.1_cds_GLD93044.1_1566.p1, lcl|BBXB02000004.1_cds_GLD93043.1_1565.p1, lcl|BBXB02000019.1_cds_GLD97354.1_5876.p1
OG0000912	XM_001596337.1.p1	lcl|BBXB02000233.1_cds_GLE07630.1_16151.p1, lcl|BBXB02000513.1_cds_GLE10135.1_18656.p1, lcl|BBXB02000089.1_cds_GLE05556.1_14077.p1, lcl|BBXB02000089.1_cds_GLE05555.1_14076.p1, lcl|BBXB02000233.1_cds_GLE07631.1_16152.p1, lcl|BBXB02000513.1_cds_GLE10132.1_18653.p1, lcl|BBXB02000233.1_cds_GLE07635.1_16156.p1, lcl|BBXB02000089.1_cds_GLE05560.1_14081.p1, lcl|BBXB02000089.1_cds_GLE05554.1_14075.p1
OG0000913	XM_001595797.1.p1	lcl|BBXB02000073.1_cds_GLE04586.1_13107.p1, lcl|BBXB02000001.1_cds_GLD91572.1_94.p1, lcl|BBXB02000059.1_cds_GLE03357.1_11878.p1, lcl|BBXB02000091.1_cds_GLE05673.1_14194.p1
OG0000914	XM_001585726.1.p1, XM_001585725.1.p1	lcl|BBXB02000061.1_cds_GLE03517.1_12038.p1, lcl|BBXB02000001.1_cds_GLD91554.1_76.p1, lcl|BBXB02000015.1_cds_GLD96348.1_4870.p1, lcl|BBXB02000015.1_cds_GLD96349.1_4871.p1
OG0000915	XM_001594710.1.p1	lcl|BBXB02000018.1_cds_GLD97224.1_5746.p1, lcl|BBXB02000009.1_cds_GLD94794.1_3316.p1, lcl|BBXB02000009.1_cds_GLD94788.1_3310.p1, lcl|BBXB02000009.1_cds_GLD94795.1_3317.p1, lcl|BBXB02000190.1_cds_GLE07281.1_15802.p1
OG0000917	XM_001591777.1.p1, XM_001594442.1.p1, XM_001594441.1.p1	lcl|BBXB02000259.1_cds_GLE07907.1_16428.p1
OG0000919	XM_001591846.1.p1	lcl|BBXB02000033.1_cds_GLD99972.1_8494.p1, lcl|BBXB02000033.1_cds_GLD99971.1_8493.p1, lcl|BBXB02000033.1_cds_GLD99973.1_8495.p1
OG0000920	XM_001587710.1.p1	lcl|BBXB02000084.1_cds_GLE05313.1_13834.p1
OG0000921	XM_001594655.1.p1	lcl|BBXB02000015.1_cds_GLD96502.1_5024.p1
OG0000922	XM_001597315.1.p1	lcl|BBXB02000015.1_cds_GLD96405.1_4927.p1
OG0000935	XM_001596262.1.p1	lcl|BBXB02000004.1_cds_GLD93120.1_1642.p1, lcl|BBXB02000071.1_cds_GLE04404.1_12925.p1, lcl|BBXB02000030.1_cds_GLD99374.1_7896.p1
OG0000939	XM_001589765.1.p1, XM_001596967.1.p1	lcl|BBXB02000028.1_cds_GLD99069.1_7591.p1
OG0000940	XM_001588094.1.p1, XM_001591875.1.p1	lcl|BBXB02000026.1_cds_GLD98612.1_7134.p1
OG0000942	XM_001586412.1.p1	lcl|BBXB02000030.1_cds_GLD99371.1_7893.p1
OG0000944	XM_001598065.1.p1	lcl|BBXB02000055.1_cds_GLE02926.1_11447.p1, lcl|BBXB02000055.1_cds_GLE02902.1_11423.p1, lcl|BBXB02000037.1_cds_GLE00553.1_9074.p1, lcl|BBXB02000363.1_cds_GLE08756.1_17277.p1, lcl|BBXB02000127.1_cds_GLE06645.1_15166.p1, lcl|BBXB02000127.1_cds_GLE06646.1_15167.p1
OG0000945	XM_001598342.1.p1	lcl|BBXB02000040.1_cds_GLE01073.1_9594.p1
OG0000947	XM_001591181.1.p1	lcl|BBXB02000085.1_cds_GLE05392.1_13913.p1
OG0000950	XM_001588656.1.p1	lcl|BBXB02000002.1_cds_GLD92074.1_596.p1
OG0000951	XM_001595072.1.p1	lcl|BBXB02000001.1_cds_GLD91936.1_458.p1, lcl|BBXB02000001.1_cds_GLD91937.1_459.p1
OG0000952	XM_001590098.1.p1	lcl|BBXB02000049.1_cds_GLE02312.1_10833.p1, lcl|BBXB02000021.1_cds_GLD97782.1_6304.p1
OG0000954	XM_001592026.1.p1	lcl|BBXB02000015.1_cds_GLD96350.1_4872.p1
OG0000956	XM_001585166.1.p1	lcl|BBXB02000056.1_cds_GLE02952.1_11473.p1
OG0000957	XM_001585600.1.p1, XM_001585602.1.p1	lcl|BBXB02000033.1_cds_GLD99922.1_8444.p1
OG0000958	XM_001588449.1.p1	lcl|BBXB02000015.1_cds_GLD96333.1_4855.p1, lcl|BBXB02000036.1_cds_GLE00371.1_8892.p1, lcl|BBXB02000002.1_cds_GLD92350.1_872.p1
OG0000959	XM_001593888.1.p1	lcl|BBXB02000041.1_cds_GLE01140.1_9661.p1
OG0000964	XM_001593840.1.p1, XM_001598313.1.p1	lcl|BBXB02000019.1_cds_GLD97366.1_5888.p1
OG0000965	XM_001585357.1.p1	lcl|BBXB02000074.1_cds_GLE04685.1_13206.p1, lcl|BBXB02000074.1_cds_GLE04684.1_13205.p1
OG0000966	XM_001585978.1.p1	lcl|BBXB02000026.1_cds_GLD98600.1_7122.p1, lcl|BBXB02000045.1_cds_GLE01728.1_10249.p1
OG0000968	XM_001586768.1.p1	lcl|BBXB02000023.1_cds_GLD98062.1_6584.p1, lcl|BBXB02000001.1_cds_GLD91991.1_513.p1, lcl|BBXB02000029.1_cds_GLD99224.1_7746.p1
OG0000969	XM_001592200.1.p1	lcl|BBXB02000001.1_cds_GLD91665.1_187.p1
OG0000970	XM_001587938.1.p1	lcl|BBXB02000018.1_cds_GLD97166.1_5688.p1
OG0000971	XM_001585772.1.p1	lcl|BBXB02000073.1_cds_GLE04585.1_13106.p1
OG0000973	XM_001591714.1.p1	lcl|BBXB02000004.1_cds_GLD93033.1_1555.p1, lcl|BBXB02000003.1_cds_GLD92605.1_1127.p1, lcl|BBXB02000030.1_cds_GLD99491.1_8013.p1
OG0000974	XM_001594163.1.p1	lcl|BBXB02000014.1_cds_GLD96138.1_4660.p1
OG0000974	XM_001594159.1.p1	lcl|BBXB02000081.1_cds_GLE05172.1_13693.p1
OG0000975	XM_001590008.1.p1	lcl|BBXB02000045.1_cds_GLE01662.1_10183.p1
OG0000983	XM_001587127.1.p1	lcl|BBXB02000007.1_cds_GLD94132.1_2654.p1
OG0000986	XM_001589957.1.p1	lcl|BBXB02000041.1_cds_GLE01127.1_9648.p1, lcl|BBXB02000060.1_cds_GLE03396.1_11917.p1, lcl|BBXB02000690.1_cds_GLE11412.1_19933.p1
OG0000987	XM_001586400.1.p1	lcl|BBXB02000003.1_cds_GLD92494.1_1016.p1, lcl|BBXB02000232.1_cds_GLE07597.1_16118.p1, lcl|BBXB02000079.1_cds_GLE05104.1_13625.p1, lcl|BBXB02000232.1_cds_GLE07598.1_16119.p1, lcl|BBXB02000397.1_cds_GLE09059.1_17580.p1, lcl|BBXB02000064.1_cds_GLE03830.1_12351.p1, lcl|BBXB02000015.1_cds_GLD96376.1_4898.p1, lcl|BBXB02000003.1_cds_GLD92495.1_1017.p1
OG0000989	XM_001593681.1.p1	lcl|BBXB02000543.1_cds_GLE10382.1_18903.p1, lcl|BBXB02000030.1_cds_GLD99490.1_8012.p1
OG0000991	XM_001584614.1.p1, XM_001588147.1.p1	lcl|BBXB02000016.1_cds_GLD96795.1_5317.p1
OG0000993	XM_001592118.1.p1	lcl|BBXB02000004.1_cds_GLD93050.1_1572.p1
OG0000994	XM_001598761.1.p1	lcl|BBXB02000059.1_cds_GLE03315.1_11836.p1, lcl|BBXB02000008.1_cds_GLD94561.1_3083.p1, lcl|BBXB02000031.1_cds_GLD99646.1_8168.p1, lcl|BBXB02000016.1_cds_GLD96624.1_5146.p1
OG0000996	XM_001585239.1.p1	lcl|BBXB02000002.1_cds_GLD92115.1_637.p1
