Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Laccaria_bicolor_rna_prot
OG0000245	XM_001588698.1.p1	XM_001888959.1.p1, XM_001890847.1.p1, XM_001890289.1.p1, XM_001888895.1.p1, XM_001880509.1.p1, XM_001881787.1.p1, XM_001880289.1.p1
OG0000249	XM_001587592.1.p1	XM_001880946.1.p1
OG0000250	XM_001594455.1.p1, XM_001587767.1.p1, XM_001588201.1.p1, XM_001594320.1.p1, XM_001588570.1.p1, XM_001598870.1.p1	XM_001877453.1.p1
OG0000251	XM_001593458.1.p1	XM_001874404.1.p1
OG0000251	XM_001590820.1.p1	XM_001887314.1.p1
OG0000253	XM_001594281.1.p1, XM_001596081.1.p1, XM_001598377.1.p1, XM_001590310.1.p1, XM_001586686.1.p1, XM_001597250.1.p1, XM_001589178.1.p1	XM_001875825.1.p1, XM_001881521.1.p1, XM_001889439.1.p1, XM_001879648.1.p1
OG0000254	XM_001587794.1.p1, XM_001590596.1.p1	XM_001880871.1.p1, XM_001888228.1.p1, XM_001876100.1.p1
OG0000256	XM_001590113.1.p1	XM_001885110.1.p1
OG0000260	XM_001587809.1.p1	XM_001884467.1.p1
OG0000263	XM_001593172.1.p1	XM_001873194.1.p1
OG0000263	XM_001595664.1.p1	XM_001875378.1.p1, XM_001888781.1.p1, XM_001878201.1.p1, XM_001878202.1.p1
OG0000264	XM_001596457.1.p1, XM_001587892.1.p1, XM_001595608.1.p1	XM_001880935.1.p1, XM_001888219.1.p1
OG0000265	XM_001590863.1.p1	XM_001881348.1.p1, XM_001881349.1.p1
OG0000265	XM_001587775.1.p1	XM_001881867.1.p1
OG0000266	XM_001598558.1.p1	XM_001888350.1.p1, XM_001883005.1.p1, XM_001875038.1.p1, XM_001875048.1.p1
OG0000268	XM_001594381.1.p1	XM_001887369.1.p1, XM_001878072.1.p1
OG0000268	XM_001592851.1.p1	XM_001876866.1.p1, XM_001874234.1.p1
OG0000273	XM_001592377.1.p1	XM_001880655.1.p1
OG0000277	XM_001588099.1.p1	XM_001883342.1.p1
OG0000279	XM_001594867.1.p1, XM_001584514.1.p1, XM_001597332.1.p1, XM_001585797.1.p1	XM_001885015.1.p1, XM_001885099.1.p1, XM_001885343.1.p1
OG0000281	XM_001594638.1.p1	XM_001883597.1.p1
OG0000281	XM_001594133.1.p1	XM_001877668.1.p1
OG0000283	XM_001593967.1.p1	XM_001877774.1.p1
OG0000283	XM_001586787.1.p1	XM_001886848.1.p1, XM_001881011.1.p1, XM_001881137.1.p1
OG0000284	XM_001594975.1.p1	XM_001874045.1.p1, XM_001875792.1.p1
OG0000284	XM_001588421.1.p1	XM_001876153.1.p1
OG0000285	XM_001596070.1.p1	XM_001876115.1.p1
OG0000286	XM_001596937.1.p1, XM_001595178.1.p1	XM_001877070.1.p1
OG0000287	XM_001586375.1.p1	XM_001877164.1.p1
OG0000287	XM_001591627.1.p1	XM_001876815.1.p1
OG0000287	XM_001597112.1.p1	XM_001877509.1.p1
OG0000288	XM_001586741.1.p1	XM_001884276.1.p1
OG0000288	XM_001585180.1.p1	XM_001876079.1.p1
OG0000289	XM_001596210.1.p1	XM_001875409.1.p1
OG0000289	XM_001587013.1.p1	XM_001874698.1.p1
OG0000292	XM_001595511.1.p1, XM_001596671.1.p1, XM_001597497.1.p1	XM_001886787.1.p1, XM_001874825.1.p1, XM_001874824.1.p1
OG0000295	XM_001586192.1.p1	XM_001884253.1.p1
OG0000295	XM_001595606.1.p1	XM_001880419.1.p1
OG0000302	XM_001589175.1.p1, XM_001596985.1.p1, XM_001589445.1.p1, XM_001591897.1.p1	XM_001888828.1.p1, XM_001878586.1.p1
OG0000303	XM_001593841.1.p1, XM_001595283.1.p1, XM_001596500.1.p1	XM_001884770.1.p1, XM_001878770.1.p1, XM_001878771.1.p1, XM_001878964.1.p1
OG0000304	XM_001587021.1.p1	XM_001876578.1.p1
OG0000306	XM_001588299.1.p1, XM_001590000.1.p1	XM_001889393.1.p1
OG0000307	XM_001584568.1.p1, XM_001596247.1.p1, XM_001592523.1.p1, XM_001593676.1.p1	XM_001884497.1.p1
OG0000310	XM_001597658.1.p1	XM_001874000.1.p1
OG0000312	XM_001596529.1.p1	XM_001885885.1.p1, XM_001880357.1.p1, XM_001877773.1.p1
OG0000313	XM_001598739.1.p1	XM_001880873.1.p1, XM_001880637.1.p1, XM_001884237.1.p1
OG0000314	XM_001597620.1.p1	XM_001877336.1.p1
OG0000314	XM_001593040.1.p1	XM_001875806.1.p1
OG0000318	XM_001598012.1.p1, XM_001594756.1.p1	XM_001886948.1.p1, XM_001887371.1.p1
OG0000319	XM_001598351.1.p1	XM_001889454.1.p1
OG0000320	XM_001585068.1.p1	XM_001877545.1.p1
OG0000321	XM_001592385.1.p1	XM_001883049.1.p1
OG0000323	XM_001590851.1.p1, XM_001584830.1.p1, XM_001593606.1.p1, XM_001587578.1.p1, XM_001598484.1.p1, XM_001591961.1.p1, XM_001593906.1.p1, XM_001587226.1.p1	XM_001880094.1.p1, XM_001884272.1.p1, XM_001884271.1.p1, XM_001881127.1.p1
OG0000324	XM_001594373.1.p1	XM_001874267.1.p1
OG0000324	XM_001588802.1.p1, XM_001592271.1.p1	XM_001879742.1.p1
OG0000325	XM_001595222.1.p1	XM_001876923.1.p1
OG0000325	XM_001590041.1.p1, XM_001594961.1.p1	XM_001877225.1.p1
OG0000326	XM_001589657.1.p1	XM_001874031.1.p1
OG0000326	XM_001595679.1.p1	XM_001874901.1.p1
OG0000329	XM_001591776.1.p1, XM_001590057.1.p1, XM_001598723.1.p1	XM_001886443.1.p1, XM_001885615.1.p1, XM_001885616.1.p1, XM_001885617.1.p1
OG0000335	XM_001587695.1.p1	XM_001889430.1.p1, XM_001875854.1.p1
OG0000337	XM_001597150.1.p1	XM_001876281.1.p1
OG0000337	XM_001589811.1.p1	XM_001873615.1.p1
OG0000338	XM_001595733.1.p1	XM_001873769.1.p1
OG0000338	XM_001589919.1.p1	XM_001884286.1.p1
OG0000339	XM_001588030.1.p1	XM_001874268.1.p1
OG0000339	XM_001597935.1.p1	XM_001880731.1.p1
OG0000342	XM_001587098.1.p1	XM_001878278.1.p1
OG0000343	XM_001588828.1.p1	XM_001884821.1.p1
OG0000346	XM_001588685.1.p1	XM_001875690.1.p1
OG0000347	XM_001594045.1.p1	XM_001890074.1.p1, XM_001883188.1.p1
OG0000348	XM_001596342.1.p1	XM_001880900.1.p1
OG0000350	XM_001594577.1.p1	XM_001888084.1.p1
OG0000350	XM_001585929.1.p1	XM_001889766.1.p1, XM_001878943.1.p1, XM_001876720.1.p1
OG0000351	XM_001592911.1.p1	XM_001875056.1.p1, XM_001883391.1.p1, XM_001877277.1.p1, XM_001879978.1.p1, XM_001888831.1.p1, XM_001877843.1.p1, XM_001882798.1.p1, XM_001877536.1.p1, XM_001876378.1.p1, XM_001888988.1.p1, XM_001883345.1.p1, XM_001889621.1.p1, XM_001877527.1.p1, XM_001882384.1.p1, XM_001882638.1.p1, XM_001886348.1.p1, XM_001891055.1.p1, XM_001889760.1.p1, XM_001879029.1.p1, XM_001888173.1.p1, XM_001874334.1.p1, XM_001885356.1.p1, XM_001877958.1.p1, XM_001885081.1.p1
OG0000351	XM_001590850.1.p1, XM_001590848.1.p1	XM_001877606.1.p1
OG0000355	XM_001590970.1.p1, XM_001585849.1.p1	XM_001880382.1.p1, XM_001879917.1.p1
OG0000356	XM_001594952.1.p1	XM_001876530.1.p1
OG0000357	XM_001584508.1.p1	XM_001875721.1.p1, XM_001889456.1.p1
OG0000364	XM_001586746.1.p1	XM_001888627.1.p1
OG0000366	XM_001585303.1.p1, XM_001592514.1.p1	XM_001881066.1.p1
OG0000368	XM_001586991.1.p1	XM_001874146.1.p1
OG0000369	XM_001585931.1.p1	XM_001880809.1.p1
OG0000375	XM_001586362.1.p1, XM_001597921.1.p1	XM_001879122.1.p1, XM_001879121.1.p1, XM_001885197.1.p1
OG0000376	XM_001588139.1.p1	XM_001873854.1.p1
OG0000376	XM_001587757.1.p1	XM_001878523.1.p1, XM_001879548.1.p1
OG0000378	XM_001594848.1.p1	XM_001889181.1.p1
OG0000379	XM_001588044.1.p1	XM_001876621.1.p1
OG0000380	XM_001584697.1.p1	XM_001876593.1.p1, XM_001886949.1.p1
OG0000380	XM_001597824.1.p1	XM_001886109.1.p1
OG0000381	XM_001596277.1.p1	XM_001873757.1.p1
OG0000381	XM_001586516.1.p1	XM_001881194.1.p1
OG0000382	XM_001589705.1.p1, XM_001586499.1.p1	XM_001883090.1.p1, XM_001873142.1.p1
OG0000383	XM_001595200.1.p1	XM_001873250.1.p1
OG0000385	XM_001594849.1.p1	XM_001873186.1.p1
OG0000386	XM_001592690.1.p1	XM_001873736.1.p1
OG0000386	XM_001587880.1.p1	XM_001878731.1.p1
OG0000388	XM_001587153.1.p1	XM_001878431.1.p1
OG0000388	XM_001588257.1.p1	XM_001873157.1.p1
OG0000393	XM_001596263.1.p1	XM_001883311.1.p1
OG0000393	XM_001597320.1.p1	XM_001884265.1.p1
OG0000395	XM_001592276.1.p1	XM_001877872.1.p1, XM_001880783.1.p1, XM_001878531.1.p1
OG0000397	XM_001592147.1.p1	XM_001885245.1.p1
OG0000398	XM_001597851.1.p1	XM_001878439.1.p1
OG0000398	XM_001591395.1.p1	XM_001882777.1.p1
OG0000399	XM_001586912.1.p1	XM_001878145.1.p1
OG0000401	XM_001598784.1.p1, XM_001589106.1.p1	XM_001885012.1.p1, XM_001876282.1.p1, XM_001885895.1.p1, XM_001876538.1.p1, XM_001877687.1.p1, XM_001873929.1.p1, XM_001887430.1.p1, XM_001879925.1.p1, XM_001879646.1.p1
OG0000402	XM_001598320.1.p1	XM_001879394.1.p1
OG0000403	XM_001590733.1.p1	XM_001880025.1.p1, XM_001874333.1.p1
OG0000404	XM_001593260.1.p1, XM_001584912.1.p1	XM_001880674.1.p1
OG0000404	XM_001595520.1.p1, XM_001598231.1.p1	XM_001883174.1.p1
OG0000405	XM_001584602.1.p1	XM_001880606.1.p1, XM_001884341.1.p1, XM_001880464.1.p1
OG0000407	XM_001594751.1.p1	XM_001873217.1.p1
OG0000408	XM_001590719.1.p1	XM_001878508.1.p1
OG0000408	XM_001588056.1.p1	XM_001880656.1.p1, XM_001885191.1.p1
OG0000409	XM_001591593.1.p1	XM_001879961.1.p1
OG0000411	XM_001585214.1.p1	XM_001878481.1.p1
OG0000411	XM_001593430.1.p1	XM_001877765.1.p1
OG0000412	XM_001592689.1.p1	XM_001877692.1.p1
OG0000414	XM_001588538.1.p1	XM_001875274.1.p1
OG0000415	XM_001587000.1.p1	XM_001889169.1.p1, XM_001889168.1.p1, XM_001891161.1.p1, XM_001888463.1.p1
OG0000415	XM_001590013.1.p1	XM_001875870.1.p1, XM_001881186.1.p1
OG0000416	XM_001585521.1.p1	XM_001881042.1.p1
OG0000419	XM_001589943.1.p1	XM_001886605.1.p1, XM_001886541.1.p1, XM_001875068.1.p1, XM_001873568.1.p1, XM_001885364.1.p1, XM_001877521.1.p1, XM_001877519.1.p1, XM_001885757.1.p1, XM_001885692.1.p1, XM_001885690.1.p1, XM_001877516.1.p1, XM_001877517.1.p1, XM_001877518.1.p1
OG0000420	XM_001597867.1.p1, XM_001586169.1.p1	XM_001888759.1.p1, XM_001889574.1.p1, XM_001885108.1.p1, XM_001881936.1.p1, XM_001891285.1.p1, XM_001881934.1.p1
OG0000421	XM_001586054.1.p1	XM_001881187.1.p1
OG0000423	XM_001597246.1.p1	XM_001875460.1.p1
OG0000425	XM_001595569.1.p1	XM_001876255.1.p1, XM_001878532.1.p1
OG0000426	XM_001594352.1.p1	XM_001879954.1.p1
OG0000426	XM_001595306.1.p1	XM_001889455.1.p1
OG0000429	XM_001596406.1.p1	XM_001887811.1.p1
OG0000431	XM_001595021.1.p1	XM_001879574.1.p1
OG0000432	XM_001592025.1.p1	XM_001885992.1.p1
OG0000432	XM_001595641.1.p1	XM_001884698.1.p1
OG0000433	XM_001590463.1.p1	XM_001875115.1.p1, XM_001879054.1.p1, XM_001879012.1.p1
OG0000437	XM_001586166.1.p1, XM_001594881.1.p1	XM_001875845.1.p1, XM_001879975.1.p1
OG0000438	XM_001594730.1.p1	XM_001878979.1.p1
OG0000439	XM_001594207.1.p1	XM_001881033.1.p1
OG0000440	XM_001592376.1.p1	XM_001883638.1.p1
OG0000440	XM_001596584.1.p1	XM_001877223.1.p1
OG0000441	XM_001598052.1.p1	XM_001878676.1.p1
OG0000441	XM_001587956.1.p1	XM_001873955.1.p1
OG0000442	XM_001594041.1.p1	XM_001873179.1.p1
OG0000442	XM_001595999.1.p1	XM_001875277.1.p1
OG0000443	XM_001597889.1.p1	XM_001873145.1.p1
OG0000443	XM_001589171.1.p1	XM_001876497.1.p1
OG0000444	XM_001585129.1.p1	XM_001877051.1.p1
OG0000444	XM_001588771.1.p1	XM_001881143.1.p1
OG0000446	XM_001595180.1.p1	XM_001883355.1.p1, XM_001877776.1.p1
OG0000447	XM_001592798.1.p1, XM_001598386.1.p1	XM_001883326.1.p1, XM_001883327.1.p1, XM_001887623.1.p1, XM_001885654.1.p1
OG0000448	XM_001596951.1.p1	XM_001874503.1.p1
OG0000448	XM_001589303.1.p1	XM_001877764.1.p1
OG0000451	XM_001598145.1.p1	XM_001874922.1.p1
OG0000451	XM_001590342.1.p1	XM_001887216.1.p1, XM_001887225.1.p1, XM_001875177.1.p1, XM_001888144.1.p1, XM_001888147.1.p1, XM_001889481.1.p1, XM_001887167.1.p1
OG0000452	XM_001593005.1.p1	XM_001877067.1.p1
OG0000455	XM_001593732.1.p1	XM_001874977.1.p1
OG0000456	XM_001586769.1.p1	XM_001879776.1.p1
OG0000456	XM_001590674.1.p1	XM_001875340.1.p1
OG0000457	XM_001597364.1.p1	XM_001874975.1.p1
OG0000457	XM_001595651.1.p1	XM_001878165.1.p1
OG0000458	XM_001594303.1.p1	XM_001876679.1.p1
OG0000458	XM_001589273.1.p1	XM_001876669.1.p1
OG0000459	XM_001595847.1.p1	XM_001876189.1.p1, XM_001875786.1.p1
OG0000459	XM_001588033.1.p1	XM_001879032.1.p1
OG0000460	XM_001597572.1.p1, XM_001597304.1.p1	XM_001876554.1.p1, XM_001877013.1.p1
OG0000461	XM_001594597.1.p1, XM_001594596.1.p1	XM_001880390.1.p1
OG0000461	XM_001590763.1.p1	XM_001883273.1.p1
OG0000462	XM_001592837.1.p1, XM_001585696.1.p1, XM_001592836.1.p1	XM_001880813.1.p1, XM_001880812.1.p1
OG0000464	XM_001589681.1.p1, XM_001595333.1.p1, XM_001588447.1.p1, XM_001585203.1.p1	XM_001876612.1.p1
OG0000465	XM_001596182.1.p1	XM_001875078.1.p1
OG0000465	XM_001598498.1.p1	XM_001888594.1.p1, XM_001889416.1.p1
OG0000467	XM_001588516.1.p1, XM_001588214.1.p1	XM_001889670.1.p1
OG0000469	XM_001586974.1.p1	XM_001877075.1.p1
OG0000469	XM_001588006.1.p1	XM_001880710.1.p1
OG0000470	XM_001589646.1.p1	XM_001877140.1.p1
OG0000470	XM_001589696.1.p1	XM_001886816.1.p1
OG0000471	XM_001589081.1.p1	XM_001875118.1.p1
OG0000471	XM_001597763.1.p1	XM_001875434.1.p1
OG0000473	XM_001597336.1.p1	XM_001877859.1.p1
OG0000473	XM_001585585.1.p1	XM_001876135.1.p1
OG0000474	XM_001586657.1.p1	XM_001884247.1.p1
OG0000475	XM_001586521.1.p1	XM_001873763.1.p1
OG0000475	XM_001592419.1.p1	XM_001881733.1.p1, XM_001881731.1.p1
OG0000476	XM_001584773.1.p1	XM_001875457.1.p1
OG0000477	XM_001598467.1.p1	XM_001874834.1.p1
OG0000477	XM_001587693.1.p1	XM_001879822.1.p1, XM_001873729.1.p1
OG0000479	XM_001592726.1.p1	XM_001878587.1.p1
OG0000480	XM_001589137.1.p1, XM_001585975.1.p1	XM_001873541.1.p1, XM_001874188.1.p1, XM_001885594.1.p1, XM_001885595.1.p1, XM_001885596.1.p1, XM_001885597.1.p1
OG0000485	XM_001592093.1.p1	XM_001878487.1.p1
OG0000486	XM_001590667.1.p1, XM_001594460.1.p1	XM_001873953.1.p1
OG0000490	XM_001593846.1.p1	XM_001874786.1.p1
OG0000490	XM_001589239.1.p1	XM_001876139.1.p1
OG0000491	XM_001591479.1.p1	XM_001877042.1.p1
OG0000491	XM_001590012.1.p1	XM_001873901.1.p1
OG0000492	XM_001589340.1.p1	XM_001878880.1.p1
OG0000494	XM_001594386.1.p1	XM_001876721.1.p1
OG0000496	XM_001585344.1.p1, XM_001589703.1.p1, XM_001593971.1.p1	XM_001887052.1.p1
OG0000498	XM_001586996.1.p1, XM_001595543.1.p1	XM_001881361.1.p1
OG0000500	XM_001584816.1.p1	XM_001873605.1.p1
OG0000501	XM_001584728.1.p1	XM_001874919.1.p1
OG0000501	XM_001591462.1.p1	XM_001873198.1.p1
OG0000502	XM_001585206.1.p1	XM_001884428.1.p1
OG0000502	XM_001590161.1.p1	XM_001879684.1.p1
OG0000506	XM_001596570.1.p1	XM_001887668.1.p1, XM_001889272.1.p1
OG0000506	XM_001585581.1.p1	XM_001875686.1.p1
OG0000507	XM_001592146.1.p1	XM_001877021.1.p1
OG0000507	XM_001594601.1.p1	XM_001877480.1.p1
OG0000508	XM_001589593.1.p1	XM_001874985.1.p1, XM_001877802.1.p1, XM_001882150.1.p1
OG0000509	XM_001593419.1.p1	XM_001875272.1.p1
OG0000512	XM_001587571.1.p1	XM_001877394.1.p1
OG0000514	XM_001593274.1.p1	XM_001878739.1.p1, XM_001887014.1.p1, XM_001888480.1.p1
OG0000515	XM_001585817.1.p1	XM_001883789.1.p1, XM_001883788.1.p1, XM_001884043.1.p1
OG0000516	XM_001598362.1.p1, XM_001596103.1.p1	XM_001890579.1.p1, XM_001886624.1.p1, XM_001879533.1.p1
OG0000517	XM_001590260.1.p1	XM_001884240.1.p1
OG0000517	XM_001588081.1.p1	XM_001875627.1.p1
OG0000518	XM_001590757.1.p1	XM_001875198.1.p1
OG0000518	XM_001597485.1.p1	XM_001877035.1.p1
OG0000519	XM_001588250.1.p1	XM_001873906.1.p1
OG0000520	XM_001596455.1.p1, XM_001591603.1.p1	XM_001888341.1.p1
OG0000522	XM_001597943.1.p1	XM_001875363.1.p1
OG0000523	XM_001586040.1.p1	XM_001873806.1.p1
OG0000523	XM_001585437.1.p1	XM_001878156.1.p1
OG0000525	XM_001593959.1.p1	XM_001878298.1.p1
OG0000532	XM_001593715.1.p1	XM_001878815.1.p1
OG0000532	XM_001596173.1.p1	XM_001889022.1.p1
OG0000534	XM_001590058.1.p1	XM_001877725.1.p1
OG0000534	XM_001590038.1.p1	XM_001875832.1.p1
OG0000535	XM_001587943.1.p1, XM_001584519.1.p1	XM_001878260.1.p1, XM_001875036.1.p1
OG0000536	XM_001585792.1.p1, XM_001594223.1.p1, XM_001598108.1.p1	XM_001880883.1.p1
OG0000540	XM_001594074.1.p1	XM_001881050.1.p1
OG0000542	XM_001593826.1.p1, XM_001588481.1.p1, XM_001592953.1.p1	XM_001887772.1.p1
OG0000543	XM_001595141.1.p1, XM_001594622.1.p1	XM_001884773.1.p1
OG0000545	XM_001588276.1.p1	XM_001885802.1.p1, XM_001885798.1.p1
OG0000546	XM_001585394.1.p1, XM_001594546.1.p1	XM_001876266.1.p1
OG0000547	XM_001597908.1.p1	XM_001887098.1.p1, XM_001881807.1.p1
OG0000547	XM_001595656.1.p1	XM_001873957.1.p1
OG0000548	XM_001598930.1.p1	XM_001878273.1.p1
OG0000554	XM_001597381.1.p1	XM_001880948.1.p1
OG0000554	XM_001593422.1.p1	XM_001874788.1.p1
OG0000557	XM_001588649.1.p1	XM_001878183.1.p1
OG0000558	XM_001590696.1.p1	XM_001873273.1.p1
OG0000559	XM_001598247.1.p1	XM_001877158.1.p1
OG0000561	XM_001592440.1.p1	XM_001880350.1.p1
OG0000562	XM_001595328.1.p1	XM_001881221.1.p1
OG0000564	XM_001589362.1.p1	XM_001884802.1.p1, XM_001887950.1.p1, XM_001887148.1.p1, XM_001887149.1.p1, XM_001887146.1.p1
OG0000565	XM_001591908.1.p1	XM_001873833.1.p1
OG0000566	XM_001592658.1.p1	XM_001883771.1.p1
OG0000568	XM_001586737.1.p1, XM_001595590.1.p1	XM_001880037.1.p1
OG0000571	XM_001596650.1.p1	XM_001876610.1.p1
OG0000572	XM_001588215.1.p1	XM_001877697.1.p1
OG0000573	XM_001598905.1.p1	XM_001873938.1.p1, XM_001886797.1.p1
OG0000574	XM_001590420.1.p1, XM_001586519.1.p1	XM_001879467.1.p1, XM_001885643.1.p1, XM_001885724.1.p1
OG0000575	XM_001588302.1.p1	XM_001885568.1.p1, XM_001877512.1.p1, XM_001886208.1.p1
OG0000578	XM_001596093.1.p1	XM_001885248.1.p1, XM_001885249.1.p1
OG0000579	XM_001598740.1.p1, XM_001598216.1.p1	XM_001874918.1.p1
OG0000580	XM_001589111.1.p1, XM_001595987.1.p1	XM_001876814.1.p1, XM_001889337.1.p1
OG0000581	XM_001598836.1.p1, XM_001585825.1.p1	XM_001874769.1.p1, XM_001874784.1.p1
OG0000583	XM_001587683.1.p1	XM_001877472.1.p1
OG0000584	XM_001584971.1.p1	XM_001889242.1.p1
OG0000584	XM_001584969.1.p1	XM_001883892.1.p1
OG0000585	XM_001594243.1.p1	XM_001878182.1.p1
OG0000586	XM_001596162.1.p1	XM_001880885.1.p1, XM_001879322.1.p1
OG0000586	XM_001589542.1.p1	XM_001873810.1.p1
OG0000587	XM_001588230.1.p1	XM_001881269.1.p1
OG0000588	XM_001586513.1.p1	XM_001877652.1.p1
OG0000588	XM_001586815.1.p1	XM_001874856.1.p1
OG0000589	XM_001593383.1.p1	XM_001884360.1.p1
OG0000591	XM_001585967.1.p1	XM_001879973.1.p1, XM_001887473.1.p1
OG0000595	XM_001589667.1.p1, XM_001587433.1.p1	XM_001873182.1.p1
OG0000596	XM_001598489.1.p1	XM_001889504.1.p1
OG0000597	XM_001586224.1.p1	XM_001879759.1.p1
OG0000599	XM_001590786.1.p1	XM_001876192.1.p1, XM_001876176.1.p1
OG0000601	XM_001594734.1.p1	XM_001885105.1.p1
OG0000601	XM_001584784.1.p1, XM_001596438.1.p1, XM_001595471.1.p1	XM_001874846.1.p1, XM_001881888.1.p1
OG0000602	XM_001593423.1.p1	XM_001874026.1.p1
OG0000603	XM_001589302.1.p1	XM_001880093.1.p1
OG0000603	XM_001585870.1.p1	XM_001883071.1.p1
OG0000607	XM_001590536.1.p1	XM_001873444.1.p1
OG0000608	XM_001588104.1.p1, XM_001585159.1.p1	XM_001874739.1.p1, XM_001881645.1.p1
OG0000610	XM_001587685.1.p1	XM_001878933.1.p1
OG0000612	XM_001585145.1.p1, XM_001585254.1.p1	XM_001885208.1.p1
OG0000613	XM_001598913.1.p1	XM_001886926.1.p1
OG0000617	XM_001593217.1.p1	XM_001877788.1.p1
OG0000617	XM_001591019.1.p1	XM_001877290.1.p1
OG0000618	XM_001591111.1.p1	XM_001887209.1.p1, XM_001879481.1.p1, XM_001879479.1.p1, XM_001887258.1.p1, XM_001879225.1.p1
OG0000624	XM_001594377.1.p1	XM_001874213.1.p1
OG0000627	XM_001597895.1.p1	XM_001883217.1.p1, XM_001885240.1.p1
OG0000629	XM_001594794.1.p1	XM_001885201.1.p1
OG0000630	XM_001589004.1.p1	XM_001874534.1.p1
OG0000631	XM_001585037.1.p1	XM_001875855.1.p1
OG0000633	XM_001584744.1.p1	XM_001889132.1.p1, XM_001890789.1.p1, XM_001875771.1.p1
OG0000634	XM_001593326.1.p1	XM_001886508.1.p1, XM_001874517.1.p1
OG0000641	XM_001586942.1.p1	XM_001875351.1.p1, XM_001878747.1.p1
OG0000643	XM_001589232.1.p1	XM_001878493.1.p1
OG0000643	XM_001586018.1.p1	XM_001878494.1.p1
OG0000644	XM_001591795.1.p1	XM_001880596.1.p1
OG0000644	XM_001591081.1.p1	XM_001878810.1.p1
OG0000645	XM_001590830.1.p1, XM_001589099.1.p1	XM_001887392.1.p1, XM_001887395.1.p1, XM_001887396.1.p1
OG0000648	XM_001589012.1.p1	XM_001873846.1.p1
OG0000649	XM_001589418.1.p1, XM_001589600.1.p1	XM_001873496.1.p1
OG0000650	XM_001598771.1.p1	XM_001884934.1.p1, XM_001884939.1.p1
OG0000651	XM_001588210.1.p1	XM_001883047.1.p1
OG0000652	XM_001592321.1.p1	XM_001879791.1.p1, XM_001879790.1.p1
OG0000656	XM_001594487.1.p1	XM_001889382.1.p1, XM_001887232.1.p1
OG0000657	XM_001593859.1.p1, XM_001591519.1.p1	XM_001874487.1.p1, XM_001874486.1.p1
OG0000658	XM_001588121.1.p1, XM_001585190.1.p1, XM_001590345.1.p1	XM_001876216.1.p1
OG0000659	XM_001588433.1.p1	XM_001876761.1.p1
OG0000659	XM_001597588.1.p1	XM_001880765.1.p1
OG0000660	XM_001587702.1.p1	XM_001875800.1.p1, XM_001881930.1.p1, XM_001881931.1.p1
OG0000662	XM_001587349.1.p1	XM_001882415.1.p1, XM_001877716.1.p1, XM_001876646.1.p1
OG0000663	XM_001595888.1.p1	XM_001877507.1.p1
OG0000665	XM_001587764.1.p1	XM_001874492.1.p1
OG0000675	XM_001593877.1.p1	XM_001886403.1.p1, XM_001879470.1.p1, XM_001873278.1.p1
OG0000676	XM_001595848.1.p1, XM_001588952.1.p1	XM_001875709.1.p1
OG0000677	XM_001595573.1.p1, XM_001590843.1.p1	XM_001880065.1.p1
OG0000678	XM_001591970.1.p1	XM_001878513.1.p1
OG0000681	XM_001588807.1.p1, XM_001593083.1.p1	XM_001877156.1.p1
OG0000687	XM_001590432.1.p1, XM_001588710.1.p1	XM_001874878.1.p1, XM_001886686.1.p1, XM_001886585.1.p1, XM_001880706.1.p1
OG0000688	XM_001584724.1.p1, XM_001597165.1.p1	XM_001874274.1.p1
OG0000690	XM_001592277.1.p1	XM_001875765.1.p1
OG0000692	XM_001593436.1.p1	XM_001876745.1.p1
OG0000694	XM_001592443.1.p1	XM_001878506.1.p1
OG0000694	XM_001586351.1.p1	XM_001879558.1.p1, XM_001879323.1.p1, XM_001886706.1.p1, XM_001890583.1.p1
OG0000695	XM_001598068.1.p1	XM_001874932.1.p1
OG0000696	XM_001591039.1.p1	XM_001876655.1.p1
OG0000697	XM_001592369.1.p1	XM_001873170.1.p1
OG0000699	XM_001589881.1.p1, XM_001587920.1.p1, XM_001586012.1.p1	XM_001874224.1.p1
OG0000700	XM_001596857.1.p1	XM_001876428.1.p1
OG0000701	XM_001597738.1.p1	XM_001885250.1.p1, XM_001879434.1.p1
OG0000702	XM_001590377.1.p1	XM_001876159.1.p1
OG0000703	XM_001586680.1.p1, XM_001584591.1.p1, XM_001593587.1.p1	XM_001873390.1.p1
OG0000704	XM_001593295.1.p1, XM_001598316.1.p1	XM_001873531.1.p1
OG0000709	XM_001588477.1.p1	XM_001873424.1.p1
OG0000709	XM_001589280.1.p1	XM_001880988.1.p1
OG0000718	XM_001584951.1.p1, XM_001589768.1.p1	XM_001876782.1.p1
OG0000723	XM_001597476.1.p1, XM_001595771.1.p1	XM_001877682.1.p1
OG0000726	XM_001589268.1.p1, XM_001587474.1.p1, XM_001595123.1.p1, XM_001591330.1.p1	XM_001878541.1.p1
OG0000727	XM_001591832.1.p1	XM_001875107.1.p1
OG0000727	XM_001592634.1.p1	XM_001880233.1.p1
OG0000728	XM_001588955.1.p1	XM_001876353.1.p1
OG0000729	XM_001593697.1.p1, XM_001596580.1.p1	XM_001876251.1.p1
OG0000730	XM_001592960.1.p1	XM_001874102.1.p1
OG0000731	XM_001598010.1.p1	XM_001874295.1.p1, XM_001887754.1.p1, XM_001880164.1.p1, XM_001882527.1.p1, XM_001875420.1.p1
