Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Blumeria_graminis_cds_prot
OG0001280	XM_001586262.1.p1	lcl|LR898475.1_cds_CAD6503879.1_5237.p1
OG0001281	XM_001584702.1.p1	lcl|LR898469.1_cds_CAD6499539.1_897.p1
OG0001282	XM_001595958.1.p1	lcl|LR898473.1_cds_CAD6502422.1_3780.p1
OG0001283	XM_001597865.1.p1	lcl|LR898472.1_cds_CAD6501794.1_3152.p1
OG0001284	XM_001596034.1.p1	lcl|LR898473.1_cds_CAD6502457.1_3815.p1
OG0001285	XM_001585904.1.p1	lcl|LR898468.1_cds_CAD6498839.1_197.p1
OG0001286	XM_001585616.1.p1	lcl|LR898473.1_cds_CAD6502764.1_4122.p1
OG0001287	XM_001586319.1.p1	lcl|LR898477.1_cds_CAD6506377.1_7735.p1
OG0001288	XM_001590210.1.p1	lcl|LR898472.1_cds_CAD6501783.1_3141.p1
OG0001289	XM_001586984.1.p1, XM_001586202.1.p1	lcl|LR898468.1_cds_CAD6498926.1_284.p1
OG0001290	XM_001588613.1.p1	lcl|LR898469.1_cds_CAD6499477.1_835.p1
OG0001291	XM_001589450.1.p1	lcl|LR898476.1_cds_CAD6504837.1_6195.p1
OG0001292	XM_001595039.1.p1	lcl|LR898477.1_cds_CAD6505957.1_7315.p1
OG0001293	XM_001592260.1.p1	lcl|LR898476.1_cds_CAD6504587.1_5945.p1
OG0001295	XM_001587939.1.p1	lcl|LR898469.1_cds_CAD6499882.1_1240.p1
OG0001296	XM_001585953.1.p1	lcl|LR898468.1_cds_CAD6498755.1_113.p1
OG0001297	XM_001591937.1.p1	lcl|LR898473.1_cds_CAD6502493.1_3851.p1
OG0001298	XM_001595056.1.p1	lcl|LR898477.1_cds_CAD6506133.1_7491.p1
OG0001299	XM_001596175.1.p1	lcl|LR898470.1_cds_CAD6500312.1_1670.p1
OG0001300	XM_001586937.1.p1	lcl|LR898474.1_cds_CAD6503051.1_4409.p1
OG0001301	XM_001586397.1.p1	lcl|LR898469.1_cds_CAD6499625.1_983.p1
OG0001302	XM_001593610.1.p1	lcl|LR898472.1_cds_CAD6502267.1_3625.p1
OG0001303	XM_001591817.1.p1	lcl|LR898469.1_cds_CAD6499376.1_734.p1
OG0001304	XM_001591192.1.p1	lcl|LR898470.1_cds_CAD6500254.1_1612.p1
OG0001305	XM_001592167.1.p1	lcl|LR898470.1_cds_CAD6500258.1_1616.p1
OG0001306	XM_001592155.1.p1	lcl|LR898470.1_cds_CAD6500398.1_1756.p1
OG0001307	XM_001597316.1.p1	lcl|LR898477.1_cds_CAD6506336.1_7694.p1
OG0001308	XM_001586167.1.p1	lcl|LR898476.1_cds_CAD6504947.1_6305.p1
OG0001309	XM_001594213.1.p1	lcl|LR898475.1_cds_CAD6503862.1_5220.p1
OG0001310	XM_001594188.1.p1	lcl|LR898471.1_cds_CAD6500926.1_2284.p1
OG0001311	XM_001598187.1.p1	lcl|LR898475.1_cds_CAD6503802.1_5160.p1
OG0001312	XM_001587817.1.p1, XM_001593839.1.p1	lcl|LR898476.1_cds_CAD6504896.1_6254.p1
OG0001313	XM_001584723.1.p1	lcl|LR898475.1_cds_CAD6503948.1_5306.p1
OG0001314	XM_001587845.1.p1	lcl|LR898474.1_cds_CAD6502960.1_4318.p1
OG0001316	XM_001596129.1.p1	lcl|LR898475.1_cds_CAD6504396.1_5754.p1
OG0001317	XM_001587842.1.p1	lcl|LR898474.1_cds_CAD6503085.1_4443.p1
OG0001318	XM_001597396.1.p1	lcl|LR898476.1_cds_CAD6505839.1_7197.p1
OG0001319	XM_001591640.1.p1	lcl|LR898469.1_cds_CAD6499323.1_681.p1
OG0001320	XM_001587379.1.p1	lcl|LR898468.1_cds_CAD6498686.1_44.p1
OG0001321	XM_001594406.1.p1, XM_001598936.1.p1	lcl|LR898475.1_cds_CAD6503834.1_5192.p1
OG0001322	XM_001585388.1.p1	lcl|LR898476.1_cds_CAD6505432.1_6790.p1
OG0001323	XM_001596853.1.p1	lcl|LR898477.1_cds_CAD6506358.1_7716.p1
OG0001324	XM_001594829.1.p1	lcl|LR898475.1_cds_CAD6504084.1_5442.p1
OG0001327	XM_001584707.1.p1, XM_001588824.1.p1, XM_001589583.1.p1	lcl|LR898473.1_cds_CAD6502808.1_4166.p1, lcl|LR898473.1_cds_CAD6502810.1_4168.p1
OG0001335	XM_001593152.1.p1	lcl|LR898472.1_cds_CAD6501568.1_2926.p1
OG0001336	XM_001596324.1.p1	lcl|LR898468.1_cds_CAD6498979.1_337.p1
OG0001337	XM_001586758.1.p1	lcl|LR898474.1_cds_CAD6503084.1_4442.p1
OG0001339	XM_001588334.1.p1	lcl|LR898476.1_cds_CAD6505175.1_6533.p1
OG0001340	XM_001585646.1.p1	lcl|LR898472.1_cds_CAD6502174.1_3532.p1
OG0001342	XM_001594850.1.p1	lcl|LR898469.1_cds_CAD6499767.1_1125.p1
OG0001343	XM_001585832.1.p1	lcl|LR898469.1_cds_CAD6499663.1_1021.p1
OG0001345	XM_001594772.1.p1	lcl|LR898475.1_cds_CAD6504012.1_5370.p1
OG0001346	XM_001594790.1.p1	lcl|LR898477.1_cds_CAD6506279.1_7637.p1
OG0001347	XM_001588165.1.p1	lcl|LR898474.1_cds_CAD6502954.1_4312.p1
OG0001348	XM_001587711.1.p1	lcl|LR898474.1_cds_CAD6503126.1_4484.p1
OG0001349	XM_001585733.1.p1	lcl|LR898468.1_cds_CAD6499213.1_571.p1
OG0001350	XM_001594034.1.p1	lcl|LR898474.1_cds_CAD6503196.1_4554.p1
OG0001351	XM_001587708.1.p1	lcl|LR898474.1_cds_CAD6503125.1_4483.p1
OG0001352	XM_001586665.1.p1	lcl|LR898469.1_cds_CAD6499992.1_1350.p1
OG0001353	XM_001591623.1.p1	lcl|LR898469.1_cds_CAD6499361.1_719.p1
OG0001354	XM_001592719.1.p1	lcl|LR898474.1_cds_CAD6503259.1_4617.p1
OG0001356	XM_001585187.1.p1	lcl|LR898468.1_cds_CAD6499037.1_395.p1
OG0001357	XM_001596863.1.p1	lcl|LR898477.1_cds_CAD6506274.1_7632.p1
OG0001358	XM_001597450.1.p1	lcl|LR898469.1_cds_CAD6499292.1_650.p1
OG0001359	XM_001587161.1.p1	lcl|LR898469.1_cds_CAD6500064.1_1422.p1
OG0001361	XM_001589944.1.p1	lcl|LR898472.1_cds_CAD6501841.1_3199.p1
OG0001362	XM_001591944.1.p1	lcl|LR898472.1_cds_CAD6501445.1_2803.p1
OG0001365	XM_001590890.1.p1	lcl|LR898470.1_cds_CAD6500289.1_1647.p1
OG0001366	XM_001596179.1.p1	lcl|LR898473.1_cds_CAD6502750.1_4108.p1
OG0001366	XM_001595151.1.p1	lcl|LR898472.1_cds_CAD6501824.1_3182.p1
OG0001367	XM_001595176.1.p1	lcl|LR898472.1_cds_CAD6501820.1_3178.p1
OG0001368	XM_001596704.1.p1	lcl|LR898475.1_cds_CAD6504180.1_5538.p1
OG0001369	XM_001597173.1.p1	lcl|LR898475.1_cds_CAD6504414.1_5772.p1
OG0001371	XM_001597570.1.p1	lcl|LR898470.1_cds_CAD6500416.1_1774.p1
OG0001372	XM_001594988.1.p1	lcl|LR898477.1_cds_CAD6505959.1_7317.p1
OG0001373	XM_001587954.1.p1	lcl|LR898474.1_cds_CAD6503223.1_4581.p1
OG0001375	XM_001588248.1.p1	lcl|LR898474.1_cds_CAD6502948.1_4306.p1
OG0001378	XM_001593740.1.p1	lcl|LR898476.1_cds_CAD6505187.1_6545.p1
OG0001379	XM_001590461.1.p1	lcl|LR898476.1_cds_CAD6504800.1_6158.p1
OG0001384	XM_001584676.1.p1, XM_001584677.1.p1	lcl|LR898469.1_cds_CAD6499558.1_916.p1
OG0001385	XM_001590507.1.p1	lcl|LR898468.1_cds_CAD6499050.1_408.p1
OG0001386	XM_001594603.1.p1	lcl|LR898475.1_cds_CAD6503975.1_5333.p1
OG0001387	XM_001590581.1.p1	lcl|LR898476.1_cds_CAD6504721.1_6079.p1
OG0001388	XM_001595837.1.p1	lcl|LR898476.1_cds_CAD6505139.1_6497.p1
OG0001389	XM_001594385.1.p1	lcl|LR898475.1_cds_CAD6503955.1_5313.p1
OG0001391	XM_001593760.1.p1	lcl|LR898471.1_cds_CAD6500632.1_1990.p1
OG0001392	XM_001591018.1.p1	lcl|LR898470.1_cds_CAD6500265.1_1623.p1
OG0001393	XM_001587430.1.p1	lcl|LR898477.1_cds_CAD6506002.1_7360.p1
OG0001394	XM_001595447.1.p1	lcl|LR898477.1_cds_CAD6506171.1_7529.p1
OG0001395	XM_001595940.1.p1	lcl|LR898473.1_cds_CAD6502771.1_4129.p1
OG0001396	XM_001597306.1.p1	lcl|LR898474.1_cds_CAD6503387.1_4745.p1
OG0001397	XM_001597458.1.p1	lcl|LR898476.1_cds_CAD6504828.1_6186.p1
OG0001398	XM_001593321.1.p1	lcl|LR898472.1_cds_CAD6501401.1_2759.p1
OG0001399	XM_001594283.1.p1	lcl|LR898475.1_cds_CAD6503974.1_5332.p1
OG0001401	XM_001585941.1.p1	lcl|LR898468.1_cds_CAD6498803.1_161.p1
OG0001402	XM_001598084.1.p1	lcl|LR898472.1_cds_CAD6502179.1_3537.p1
OG0001404	XM_001588050.1.p1	lcl|LR898474.1_cds_CAD6503449.1_4807.p1
OG0001406	XM_001592275.1.p1	lcl|LR898474.1_cds_CAD6503424.1_4782.p1
OG0001407	XM_001591124.1.p1	lcl|LR898476.1_cds_CAD6505793.1_7151.p1
OG0001408	XM_001598811.1.p1	lcl|LR898471.1_cds_CAD6500983.1_2341.p1
OG0001411	XM_001592806.1.p1	lcl|LR898472.1_cds_CAD6501477.1_2835.p1
OG0001412	XM_001590469.1.p1	lcl|LR898476.1_cds_CAD6504673.1_6031.p1
OG0001415	XM_001598472.1.p1	lcl|LR898472.1_cds_CAD6502141.1_3499.p1
OG0001416	XM_001598452.1.p1	lcl|LR898472.1_cds_CAD6501938.1_3296.p1
OG0001417	XM_001593177.1.p1	lcl|LR898474.1_cds_CAD6503719.1_5077.p1
OG0001418	XM_001591514.1.p1	lcl|LR898471.1_cds_CAD6500738.1_2096.p1
OG0001420	XM_001590398.1.p1	lcl|LR898470.1_cds_CAD6500442.1_1800.p1
OG0001421	XM_001595574.1.p1	lcl|LR898476.1_cds_CAD6505118.1_6476.p1
OG0001422	XM_001590100.1.p1	lcl|LR898478.1_cds_CAD6506515.1_7873.p1
OG0001423	XM_001585238.1.p1	lcl|LR898474.1_cds_CAD6503531.1_4889.p1
OG0001425	XM_001597305.1.p1	lcl|LR898476.1_cds_CAD6505691.1_7049.p1
OG0001426	XM_001591173.1.p1	lcl|LR898476.1_cds_CAD6505667.1_7025.p1
OG0001427	XM_001593871.1.p1	lcl|LR898476.1_cds_CAD6505020.1_6378.p1
OG0001428	XM_001588090.1.p1	lcl|LR898476.1_cds_CAD6505324.1_6682.p1
OG0001430	XM_001588184.1.p1	lcl|LR898469.1_cds_CAD6499287.1_645.p1
OG0001432	XM_001593969.1.p1	lcl|LR898471.1_cds_CAD6500572.1_1930.p1
OG0001433	XM_001585693.1.p1, XM_001585692.1.p1	lcl|LR898475.1_cds_CAD6504240.1_5598.p1
OG0001435	XM_001591027.1.p1	lcl|LR898470.1_cds_CAD6500231.1_1589.p1, lcl|LR898470.1_cds_CAD6500249.1_1607.p1
OG0001436	XM_001594967.1.p1	lcl|LR898476.1_cds_CAD6504868.1_6226.p1
OG0001437	XM_001598482.1.p1	lcl|LR898472.1_cds_CAD6502121.1_3479.p1
OG0001438	XM_001586526.1.p1	lcl|LR898471.1_cds_CAD6500787.1_2145.p1
OG0001440	XM_001593418.1.p1	lcl|LR898473.1_cds_CAD6502725.1_4083.p1
OG0001441	XM_001591502.1.p1	lcl|LR898474.1_cds_CAD6503141.1_4499.p1
OG0001442	XM_001596523.1.p1	lcl|LR898468.1_cds_CAD6498781.1_139.p1
OG0001443	XM_001591497.1.p1	lcl|LR898471.1_cds_CAD6500732.1_2090.p1
OG0001444	XM_001598154.1.p1	lcl|LR898477.1_cds_CAD6506199.1_7557.p1
OG0001447	XM_001590454.1.p1	lcl|LR898476.1_cds_CAD6504789.1_6147.p1
OG0001449	XM_001584927.1.p1	lcl|LR898476.1_cds_CAD6504657.1_6015.p1
OG0001450	XM_001594323.1.p1	lcl|LR898470.1_cds_CAD6500423.1_1781.p1
OG0001451	XM_001590785.1.p1	lcl|LR898468.1_cds_CAD6499117.1_475.p1
OG0001452	XM_001586975.1.p1	lcl|LR898472.1_cds_CAD6501388.1_2746.p1
OG0001453	XM_001585709.1.p1	lcl|LR898475.1_cds_CAD6504242.1_5600.p1
OG0001454	XM_001598339.1.p1	lcl|LR898472.1_cds_CAD6501904.1_3262.p1
OG0001455	XM_001596308.1.p1	lcl|LR898468.1_cds_CAD6498952.1_310.p1
OG0001456	XM_001594827.1.p1	lcl|LR898475.1_cds_CAD6503990.1_5348.p1
OG0001457	XM_001590966.1.p1	lcl|LR898476.1_cds_CAD6505742.1_7100.p1
OG0001458	XM_001597544.1.p1	lcl|LR898470.1_cds_CAD6500403.1_1761.p1
OG0001459	XM_001586602.1.p1	lcl|LR898471.1_cds_CAD6500801.1_2159.p1
OG0001460	XM_001585269.1.p1	lcl|LR898478.1_cds_CAD6506564.1_7922.p1
OG0001461	XM_001597434.1.p1	lcl|LR898472.1_cds_CAD6501366.1_2724.p1
OG0001463	XM_001587116.1.p1	lcl|LR898474.1_cds_CAD6503431.1_4789.p1
OG0001464	XM_001587145.1.p1	lcl|LR898474.1_cds_CAD6503355.1_4713.p1
OG0001465	XM_001584616.1.p1	lcl|LR898474.1_cds_CAD6503565.1_4923.p1
OG0001468	XM_001585179.1.p1	lcl|LR898468.1_cds_CAD6499114.1_472.p1
OG0001469	XM_001587568.1.p1	lcl|LR898477.1_cds_CAD6505936.1_7294.p1
OG0001470	XM_001598483.1.p1	lcl|LR898472.1_cds_CAD6502120.1_3478.p1
OG0001471	XM_001597927.1.p1	lcl|LR898472.1_cds_CAD6501738.1_3096.p1
OG0001472	XM_001588144.1.p1	lcl|LR898469.1_cds_CAD6500127.1_1485.p1
OG0001473	XM_001588083.1.p1	lcl|LR898476.1_cds_CAD6505119.1_6477.p1
OG0001489	XM_001594695.1.p1	lcl|LR898475.1_cds_CAD6504449.1_5807.p1
OG0001490	XM_001590455.1.p1	lcl|LR898476.1_cds_CAD6504790.1_6148.p1
OG0001492	XM_001589157.1.p1	lcl|LR898475.1_cds_CAD6504262.1_5620.p1
OG0001494	XM_001590871.1.p1	lcl|LR898475.1_cds_CAD6504133.1_5491.p1
OG0001495	XM_001591501.1.p1	lcl|LR898474.1_cds_CAD6503140.1_4498.p1
OG0001496	XM_001590486.1.p1	lcl|LR898476.1_cds_CAD6504677.1_6035.p1
OG0001497	XM_001586720.1.p1	lcl|LR898474.1_cds_CAD6502991.1_4349.p1
OG0001498	XM_001586789.1.p1	lcl|LR898474.1_cds_CAD6503086.1_4444.p1
OG0001500	XM_001590999.1.p1	lcl|LR898468.1_cds_CAD6499207.1_565.p1
OG0001501	XM_001585424.1.p1	lcl|LR898476.1_cds_CAD6505477.1_6835.p1
OG0001502	XM_001585986.1.p1	lcl|LR898468.1_cds_CAD6498924.1_282.p1
OG0001504	XM_001598066.1.p1	lcl|LR898472.1_cds_CAD6502073.1_3431.p1
OG0001505	XM_001590355.1.p1	lcl|LR898474.1_cds_CAD6503555.1_4913.p1
OG0001506	XM_001595083.1.p1	lcl|LR898472.1_cds_CAD6502029.1_3387.p1
OG0001507	XM_001596353.1.p1	lcl|LR898469.1_cds_CAD6499395.1_753.p1
OG0001509	XM_001589211.1.p1	lcl|LR898475.1_cds_CAD6504214.1_5572.p1
OG0001510	XM_001587247.1.p1	lcl|LR898472.1_cds_CAD6501462.1_2820.p1
OG0001511	XM_001598741.1.p1	lcl|LR898471.1_cds_CAD6500922.1_2280.p1
OG0001513	XM_001592873.1.p1	lcl|LR898476.1_cds_CAD6505247.1_6605.p1
OG0001514	XM_001585948.1.p1	lcl|LR898468.1_cds_CAD6498818.1_176.p1
OG0001515	XM_001594183.1.p1	lcl|LR898476.1_cds_CAD6504584.1_5942.p1
OG0001517	XM_001588211.1.p1	lcl|LR898474.1_cds_CAD6502938.1_4296.p1
OG0001518	XM_001588256.1.p1	lcl|LR898476.1_cds_CAD6504979.1_6337.p1
OG0001519	XM_001587131.1.p1	lcl|LR898474.1_cds_CAD6503343.1_4701.p1
OG0001521	XM_001596692.1.p1	lcl|LR898475.1_cds_CAD6504299.1_5657.p1
OG0001522	XM_001596697.1.p1	lcl|LR898475.1_cds_CAD6504285.1_5643.p1
OG0001523	XM_001587383.1.p1	lcl|LR898472.1_cds_CAD6501831.1_3189.p1
OG0001524	XM_001594990.1.p1	lcl|LR898477.1_cds_CAD6505961.1_7319.p1
OG0001525	XM_001587317.1.p1	lcl|LR898477.1_cds_CAD6506193.1_7551.p1
OG0001526	XM_001591706.1.p1	lcl|LR898469.1_cds_CAD6499654.1_1012.p1
OG0001527	XM_001597417.1.p1	lcl|LR898470.1_cds_CAD6500432.1_1790.p1
OG0001529	XM_001597439.1.p1	lcl|LR898470.1_cds_CAD6500391.1_1749.p1
OG0001530	XM_001584603.1.p1	lcl|LR898474.1_cds_CAD6503563.1_4921.p1
OG0001532	XM_001585492.1.p1	lcl|LR898473.1_cds_CAD6502530.1_3888.p1
OG0001533	XM_001585528.1.p1	lcl|LR898473.1_cds_CAD6502529.1_3887.p1
OG0001534	XM_001587067.1.p1	lcl|LR898472.1_cds_CAD6501546.1_2904.p1
OG0001536	XM_001587085.1.p1	lcl|LR898472.1_cds_CAD6501528.1_2886.p1
OG0001537	XM_001586965.1.p1	lcl|LR898474.1_cds_CAD6503552.1_4910.p1
OG0001539	XM_001594194.1.p1, XM_001594193.1.p1	lcl|LR898476.1_cds_CAD6504911.1_6269.p1
OG0001541	XM_001598499.1.p1	lcl|LR898468.1_cds_CAD6498733.1_91.p1
OG0001543	XM_001598769.1.p1	lcl|LR898471.1_cds_CAD6500857.1_2215.p1
OG0001544	XM_001595965.1.p1	lcl|LR898473.1_cds_CAD6502472.1_3830.p1
OG0001546	XM_001584892.1.p1	lcl|LR898476.1_cds_CAD6504732.1_6090.p1
OG0001547	XM_001592560.1.p1	lcl|LR898476.1_cds_CAD6504607.1_5965.p1
OG0001548	XM_001592711.1.p1	lcl|LR898472.1_cds_CAD6501567.1_2925.p1
OG0001550	XM_001590263.1.p1	lcl|LR898472.1_cds_CAD6501717.1_3075.p1
OG0001551	XM_001591910.1.p1	lcl|LR898469.1_cds_CAD6499615.1_973.p1
OG0001552	XM_001591114.1.p1	lcl|LR898476.1_cds_CAD6505778.1_7136.p1
OG0001553	XM_001585770.1.p1	lcl|LR898472.1_cds_CAD6501210.1_2568.p1
OG0001554	XM_001588826.1.p1	lcl|LR898471.1_cds_CAD6500892.1_2250.p1
OG0001557	XM_001598314.1.p1	lcl|LR898477.1_cds_CAD6506023.1_7381.p1
OG0001558	XM_001586489.1.p1	lcl|LR898471.1_cds_CAD6500765.1_2123.p1
OG0001559	XM_001595680.1.p1	lcl|LR898476.1_cds_CAD6505104.1_6462.p1
OG0001560	XM_001584921.1.p1	lcl|LR898476.1_cds_CAD6504661.1_6019.p1
OG0001561	XM_001587460.1.p1	lcl|LR898477.1_cds_CAD6506121.1_7479.p1
OG0001563	XM_001586244.1.p1	lcl|LR898475.1_cds_CAD6503940.1_5298.p1
OG0001564	XM_001597736.1.p1	lcl|LR898476.1_cds_CAD6505680.1_7038.p1
OG0001565	XM_001586785.1.p1	lcl|LR898474.1_cds_CAD6503081.1_4439.p1
OG0001566	XM_001587857.1.p1	lcl|LR898476.1_cds_CAD6504960.1_6318.p1
OG0001567	XM_001585586.1.p1	lcl|LR898477.1_cds_CAD6506404.1_7762.p1
OG0001568	XM_001588032.1.p1	lcl|LR898474.1_cds_CAD6503500.1_4858.p1
OG0001569	XM_001598533.1.p1	lcl|LR898472.1_cds_CAD6502195.1_3553.p1
OG0001570	XM_001598009.1.p1	lcl|LR898475.1_cds_CAD6503769.1_5127.p1
OG0001571	XM_001586005.1.p1	lcl|LR898476.1_cds_CAD6504769.1_6127.p1
OG0001572	XM_001597978.1.p1	lcl|LR898477.1_cds_CAD6506169.1_7527.p1
OG0001573	XM_001598381.1.p1	lcl|LR898477.1_cds_CAD6506179.1_7537.p1
OG0001574	XM_001592452.1.p1	lcl|LR898477.1_cds_CAD6506238.1_7596.p1, lcl|LR898477.1_cds_CAD6506248.1_7606.p1, lcl|LR898477.1_cds_CAD6506246.1_7604.p1, lcl|LR898477.1_cds_CAD6506346.1_7704.p1
OG0001575	XM_001586034.1.p1	lcl|LR898468.1_cds_CAD6498761.1_119.p1
OG0001576	XM_001588787.1.p1	lcl|LR898469.1_cds_CAD6499528.1_886.p1
OG0001579	XM_001596911.1.p1	lcl|LR898477.1_cds_CAD6506267.1_7625.p1
OG0001580	XM_001588446.1.p1	lcl|LR898469.1_cds_CAD6500026.1_1384.p1
OG0001581	XM_001592716.1.p1	lcl|LR898472.1_cds_CAD6501506.1_2864.p1
OG0001582	XM_001585389.1.p1	lcl|LR898476.1_cds_CAD6505431.1_6789.p1
OG0001583	XM_001590383.1.p1	lcl|LR898471.1_cds_CAD6500682.1_2040.p1, lcl|LR898471.1_cds_CAD6500690.1_2048.p1
OG0001584	XM_001592184.1.p1	lcl|LR898474.1_cds_CAD6503417.1_4775.p1
OG0001585	XM_001591668.1.p1	lcl|LR898471.1_cds_CAD6500775.1_2133.p1
OG0001587	XM_001584989.1.p1	lcl|LR898470.1_cds_CAD6500313.1_1671.p1
OG0001589	XM_001598421.1.p1	lcl|LR898472.1_cds_CAD6502187.1_3545.p1
OG0001590	XM_001586317.1.p1	lcl|LR898475.1_cds_CAD6504374.1_5732.p1
OG0001591	XM_001588337.1.p1	lcl|LR898469.1_cds_CAD6500135.1_1493.p1
OG0001592	XM_001591465.1.p1	lcl|LR898474.1_cds_CAD6503149.1_4507.p1
OG0001593	XM_001589357.1.p1	lcl|LR898470.1_cds_CAD6500238.1_1596.p1
OG0001594	XM_001597642.1.p1	lcl|LR898472.1_cds_CAD6501254.1_2612.p1
OG0001596	XM_001597634.1.p1	lcl|LR898475.1_cds_CAD6504265.1_5623.p1
OG0001597	XM_001594887.1.p1	lcl|LR898477.1_cds_CAD6506375.1_7733.p1
OG0001598	XM_001593169.1.p1	lcl|LR898476.1_cds_CAD6505278.1_6636.p1
OG0001599	XM_001595351.1.p1	lcl|LR898477.1_cds_CAD6506141.1_7499.p1
OG0001600	XM_001590984.1.p1	lcl|LR898472.1_cds_CAD6502101.1_3459.p1
OG0001601	XM_001592341.1.p1	lcl|LR898476.1_cds_CAD6504617.1_5975.p1
OG0001602	XM_001584934.1.p1	lcl|LR898470.1_cds_CAD6500243.1_1601.p1
OG0001603	XM_001584607.1.p1	lcl|LR898474.1_cds_CAD6503560.1_4918.p1
OG0001604	XM_001587107.1.p1	lcl|LR898474.1_cds_CAD6503216.1_4574.p1
OG0001605	XM_001585121.1.p1	lcl|LR898468.1_cds_CAD6498692.1_50.p1
OG0001606	XM_001593391.1.p1	lcl|LR898469.1_cds_CAD6499405.1_763.p1
OG0001607	XM_001597097.1.p1	lcl|LR898469.1_cds_CAD6499926.1_1284.p1
OG0001609	XM_001590202.1.p1	lcl|LR898472.1_cds_CAD6501655.1_3013.p1
OG0001610	XM_001593541.1.p1	lcl|LR898474.1_cds_CAD6503193.1_4551.p1
OG0001613	XM_001587936.1.p1	lcl|LR898469.1_cds_CAD6499879.1_1237.p1
OG0001614	XM_001585306.1.p1	lcl|LR898478.1_cds_CAD6506479.1_7837.p1
OG0001615	XM_001584605.1.p1	lcl|LR898474.1_cds_CAD6503557.1_4915.p1
OG0001616	XM_001594984.1.p1	lcl|LR898473.1_cds_CAD6502556.1_3914.p1
OG0001617	XM_001597285.1.p1	lcl|LR898470.1_cds_CAD6500354.1_1712.p1
OG0001618	XM_001589352.1.p1	lcl|LR898475.1_cds_CAD6504119.1_5477.p1
OG0001619	XM_001587176.1.p1	lcl|LR898476.1_cds_CAD6505230.1_6588.p1
OG0001620	XM_001597684.1.p1	lcl|LR898476.1_cds_CAD6505814.1_7172.p1
OG0001622	XM_001585761.1.p1	lcl|LR898472.1_cds_CAD6501171.1_2529.p1
OG0001623	XM_001597189.1.p1	lcl|LR898476.1_cds_CAD6505557.1_6915.p1
OG0001624	XM_001584840.1.p1	lcl|LR898474.1_cds_CAD6503651.1_5009.p1
OG0001625	XM_001597024.1.p1	lcl|LR898470.1_cds_CAD6500361.1_1719.p1
OG0001625	XM_001598302.1.p1	lcl|LR898472.1_cds_CAD6502054.1_3412.p1
OG0001627	XM_001598735.1.p1	lcl|LR898471.1_cds_CAD6501028.1_2386.p1
OG0001628	XM_001590916.1.p1	lcl|LR898472.1_cds_CAD6501245.1_2603.p1
OG0001629	XM_001596143.1.p1	lcl|LR898475.1_cds_CAD6504386.1_5744.p1
OG0001631	XM_001588224.1.p1	lcl|LR898477.1_cds_CAD6506393.1_7751.p1
OG0001632	XM_001588154.1.p1	lcl|LR898469.1_cds_CAD6500131.1_1489.p1
OG0001633	XM_001597348.1.p1	lcl|LR898476.1_cds_CAD6505643.1_7001.p1
OG0001634	XM_001590949.1.p1	lcl|LR898476.1_cds_CAD6505748.1_7106.p1
OG0001635	XM_001594583.1.p1	lcl|LR898475.1_cds_CAD6504019.1_5377.p1
OG0001637	XM_001593662.1.p1	lcl|LR898472.1_cds_CAD6502227.1_3585.p1
OG0001638	XM_001593822.1.p1	lcl|LR898475.1_cds_CAD6504384.1_5742.p1
OG0001639	XM_001589214.1.p1	lcl|LR898475.1_cds_CAD6504213.1_5571.p1
OG0001641	XM_001597680.1.p1	lcl|LR898476.1_cds_CAD6505825.1_7183.p1
OG0001642	XM_001595175.1.p1	lcl|LR898472.1_cds_CAD6501819.1_3177.p1
OG0001644	XM_001592354.1.p1	lcl|LR898477.1_cds_CAD6506306.1_7664.p1
OG0001645	XM_001591061.1.p1	lcl|LR898476.1_cds_CAD6505579.1_6937.p1
OG0001646	XM_001595519.1.p1	lcl|LR898476.1_cds_CAD6504698.1_6056.p1
OG0001648	XM_001589622.1.p1	lcl|LR898469.1_cds_CAD6499286.1_644.p1
OG0001649	XM_001589054.1.p1	lcl|LR898472.1_cds_CAD6501262.1_2620.p1
OG0001650	XM_001586535.1.p1	lcl|LR898471.1_cds_CAD6500786.1_2144.p1
OG0001651	XM_001587633.1.p1	lcl|LR898473.1_cds_CAD6502602.1_3960.p1
OG0001653	XM_001588927.1.p1	lcl|LR898471.1_cds_CAD6500640.1_1998.p1
OG0001654	XM_001588164.1.p1	lcl|LR898476.1_cds_CAD6504980.1_6338.p1
OG0001655	XM_001593345.1.p1	lcl|LR898476.1_cds_CAD6505305.1_6663.p1
OG0001656	XM_001590149.1.p1	lcl|LR898472.1_cds_CAD6501726.1_3084.p1
OG0001657	XM_001585417.1.p1	lcl|LR898476.1_cds_CAD6505374.1_6732.p1
OG0001658	XM_001589660.1.p1	lcl|LR898468.1_cds_CAD6498739.1_97.p1
OG0001659	XM_001594992.1.p1	lcl|LR898472.1_cds_CAD6501992.1_3350.p1
OG0001660	XM_001588943.1.p1	lcl|LR898478.1_cds_CAD6506468.1_7826.p1
OG0001661	XM_001593670.1.p1	lcl|LR898474.1_cds_CAD6503629.1_4987.p1
OG0001662	XM_001588324.1.p1	lcl|LR898476.1_cds_CAD6505142.1_6500.p1
OG0001663	XM_001595755.1.p1	lcl|LR898471.1_cds_CAD6500667.1_2025.p1
OG0001664	XM_001595822.1.p1	lcl|LR898475.1_cds_CAD6504413.1_5771.p1
