Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Claviceps_purpurea_cds_prot
OG0001071	XM_001592045.1.p1	lcl|CAGA01000048.1_cds_CCE32910.1_2464.p1
OG0001072	XM_001594382.1.p1	lcl|CAGA01000028.1_cds_CCE31130.1_4202.p1, lcl|CAGA01000030.1_cds_CCE31362.1_4002.p1
OG0001073	XM_001592588.1.p1	lcl|CAGA01000031.1_cds_CCE31531.1_3954.p1
OG0001075	XM_001598429.1.p1	lcl|CAGA01000005.1_cds_CCE27623.1_7647.p1
OG0001076	XM_001598603.1.p1	lcl|CAGA01000009.1_cds_CCE28531.1_6785.p1
OG0001077	XM_001595998.1.p1	lcl|CAGA01000189.1_cds_CCE35027.1_224.p1
OG0001078	XM_001590375.1.p1	lcl|CAGA01000013.1_cds_CCE29355.1_6126.p1
OG0001079	XM_001598602.1.p1	lcl|CAGA01000009.1_cds_CCE28530.1_6784.p1
OG0001082	XM_001597171.1.p1	lcl|CAGA01000030.1_cds_CCE31348.1_3988.p1
OG0001083	XM_001584635.1.p1	lcl|CAGA01000024.1_cds_CCE30730.1_4692.p1, lcl|CAGA01000002.1_cds_CCE26811.1_8339.p1
OG0001084	XM_001589263.1.p1	lcl|CAGA01000066.1_cds_CCE33782.1_1576.p1
OG0001085	XM_001591188.1.p1	lcl|CAGA01000006.1_cds_CCE28004.1_7589.p1
OG0001086	XM_001593619.1.p1	lcl|CAGA01000032.1_cds_CCE31559.1_3771.p1
OG0001088	XM_001598916.1.p1	lcl|CAGA01000072.1_cds_CCE33992.1_1368.p1
OG0001090	XM_001587887.1.p1	lcl|CAGA01000035.1_cds_CCE31881.1_3503.p1
OG0001091	XM_001584643.1.p1	lcl|CAGA01000005.1_cds_CCE27761.1_7785.p1, lcl|CAGA01000069.1_cds_CCE33909.1_1468.p1
OG0001093	XM_001593447.1.p1	lcl|CAGA01000071.1_cds_CCE33969.1_1405.p1
OG0001095	XM_001593519.1.p1	lcl|CAGA01000037.1_cds_CCE32052.1_3306.p1
OG0001098	XM_001584687.1.p1	lcl|CAGA01000046.1_cds_CCE32778.1_2589.p1
OG0001099	XM_001587319.1.p1	lcl|CAGA01000039.1_cds_CCE32261.1_3132.p1
OG0001100	XM_001597302.1.p1	lcl|CAGA01000019.1_cds_CCE30085.1_5259.p1
OG0001101	XM_001592758.1.p1	lcl|CAGA01000077.1_cds_CCE34140.1_1213.p1
OG0001103	XM_001588227.1.p1	lcl|CAGA01000078.1_cds_CCE34157.1_1183.p1
OG0001105	XM_001592782.1.p1	lcl|CAGA01000009.1_cds_CCE28597.1_6851.p1
OG0001107	XM_001593873.1.p1	lcl|CAGA01000089.1_cds_CCE34442.1_918.p1
OG0001108	XM_001585014.1.p1	lcl|CAGA01000057.1_cds_CCE33414.1_1976.p1
OG0001110	XM_001593845.1.p1	lcl|CAGA01000189.1_cds_CCE35150.1_348.p1, lcl|CAGA01000028.1_cds_CCE31165.1_4237.p1
OG0001112	XM_001592330.1.p1	lcl|CAGA01000091.1_cds_CCE34478.1_874.p1
OG0001112	XM_001595541.1.p1	lcl|CAGA01000052.1_cds_CCE33139.1_2219.p1
OG0001113	XM_001596509.1.p1	lcl|CAGA01000189.1_cds_CCE35135.1_333.p1
OG0001114	XM_001588042.1.p1	lcl|CAGA01000053.1_cds_CCE33220.1_2196.p1
OG0001114	XM_001594347.1.p1	lcl|CAGA01000016.1_cds_CCE29669.1_5639.p1
OG0001116	XM_001587754.1.p1	lcl|CAGA01000133.1_cds_CCE34850.1_507.p1, lcl|CAGA01000050.1_cds_CCE33052.1_2366.p1
OG0001117	XM_001587235.1.p1, XM_001589260.1.p1	lcl|CAGA01000189.1_cds_CCE35025.1_222.p1
OG0001118	XM_001590650.1.p1	lcl|CAGA01000014.1_cds_CCE29419.1_5915.p1
OG0001119	XM_001587563.1.p1	lcl|CAGA01000004.1_cds_CCE27514.1_7990.p1
OG0001120	XM_001593250.1.p1	lcl|CAGA01000082.1_cds_CCE34260.1_1080.p1
OG0001121	XM_001593046.1.p1	lcl|CAGA01000038.1_cds_CCE32143.1_3203.p1
OG0001122	XM_001594924.1.p1	lcl|CAGA01000102.1_cds_CCE34675.1_687.p1
OG0001123	XM_001592405.1.p1	lcl|CAGA01000016.1_cds_CCE29679.1_5649.p1
OG0001124	XM_001598830.1.p1	lcl|CAGA01000015.1_cds_CCE29597.1_5831.p1
OG0001125	XM_001588623.1.p1	lcl|CAGA01000053.1_cds_CCE33191.1_2167.p1
OG0001126	XM_001590062.1.p1	lcl|CAGA01000064.1_cds_CCE33691.1_1647.p1
OG0001127	XM_001590729.1.p1	lcl|CAGA01000061.1_cds_CCE33591.1_1808.p1
OG0001128	XM_001594215.1.p1	lcl|CAGA01000008.1_cds_CCE28306.1_6981.p1
OG0001129	XM_001595650.1.p1	lcl|CAGA01000010.1_cds_CCE28738.1_6576.p1
OG0001130	XM_001590691.1.p1	lcl|CAGA01000084.1_cds_CCE34332.1_1050.p1
OG0001131	XM_001597050.1.p1	lcl|CAGA01000044.1_cds_CCE32605.1_2705.p1
OG0001132	XM_001589184.1.p1, XM_001597308.1.p1	lcl|CAGA01000008.1_cds_CCE28362.1_7037.p1
OG0001135	XM_001592071.1.p1	lcl|CAGA01000035.1_cds_CCE31831.1_3453.p1
OG0001145	XM_001589744.1.p1	lcl|CAGA01000003.1_cds_CCE27199.1_8184.p1
OG0001146	XM_001587854.1.p1	lcl|CAGA01000032.1_cds_CCE31618.1_3830.p1
OG0001147	XM_001589207.1.p1	lcl|CAGA01000032.1_cds_CCE31586.1_3798.p1, lcl|CAGA01000032.1_cds_CCE31589.1_3801.p1
OG0001150	XM_001585637.1.p1	lcl|CAGA01000033.1_cds_CCE31669.1_3684.p1
OG0001151	XM_001586398.1.p1	lcl|CAGA01000072.1_cds_CCE34007.1_1384.p1
OG0001152	XM_001585966.1.p1	lcl|CAGA01000011.1_cds_CCE29030.1_6473.p1
OG0001153	XM_001585409.1.p1	lcl|CAGA01000026.1_cds_CCE30906.1_4423.p1
OG0001154	XM_001596258.1.p1	lcl|CAGA01000007.1_cds_CCE28175.1_7297.p1
OG0001155	XM_001593807.1.p1	lcl|CAGA01000060.1_cds_CCE33522.1_1828.p1
OG0001156	XM_001587763.1.p1	lcl|CAGA01000017.1_cds_CCE29911.1_5612.p1
OG0001157	XM_001585113.1.p1	lcl|CAGA01000059.1_cds_CCE33493.1_1885.p1
OG0001159	XM_001593742.1.p1	lcl|CAGA01000013.1_cds_CCE29358.1_6129.p1
OG0001160	XM_001597233.1.p1	lcl|CAGA01000012.1_cds_CCE29091.1_6170.p1
OG0001161	XM_001597319.1.p1	lcl|CAGA01000070.1_cds_CCE33922.1_1418.p1
OG0001162	XM_001592594.1.p1	lcl|CAGA01000003.1_cds_CCE27329.1_8316.p1
OG0001163	XM_001595298.1.p1, XM_001594217.1.p1, XM_001590240.1.p1	lcl|CAGA01000004.1_cds_CCE27412.1_7888.p1
OG0001164	XM_001586609.1.p1	lcl|CAGA01000003.1_cds_CCE27189.1_8174.p1
OG0001165	XM_001590535.1.p1	lcl|CAGA01000001.1_cds_CCE26600.1_8665.p1
OG0001166	XM_001590617.1.p1	lcl|CAGA01000002.1_cds_CCE26977.1_8505.p1
OG0001168	XM_001595545.1.p1	lcl|CAGA01000052.1_cds_CCE33140.1_2220.p1
OG0001171	XM_001597826.1.p1	lcl|CAGA01000050.1_cds_CCE33046.1_2360.p1
OG0001173	XM_001598301.1.p1	lcl|CAGA01000005.1_cds_CCE27726.1_7750.p1
OG0001174	XM_001586495.1.p1	lcl|CAGA01000028.1_cds_CCE31137.1_4209.p1
OG0001176	XM_001594407.1.p1	lcl|CAGA01000040.1_cds_CCE32328.1_3036.p1
OG0001177	XM_001594947.1.p1	lcl|CAGA01000057.1_cds_CCE33417.1_1979.p1
OG0001178	XM_001589035.1.p1	lcl|CAGA01000076.1_cds_CCE34115.1_1234.p1
OG0001179	XM_001593660.1.p1	lcl|CAGA01000036.1_cds_CCE32003.1_3441.p1
OG0001180	XM_001596694.1.p1	lcl|CAGA01000040.1_cds_CCE32312.1_3020.p1
OG0001182	XM_001594846.1.p1	lcl|CAGA01000018.1_cds_CCE29929.1_5359.p1
OG0001183	XM_001590324.1.p1	lcl|CAGA01000002.1_cds_CCE26970.1_8498.p1
OG0001184	XM_001594370.1.p1	lcl|CAGA01000006.1_cds_CCE27926.1_7511.p1
OG0001185	XM_001586426.1.p1	lcl|CAGA01000035.1_cds_CCE31849.1_3471.p1
OG0001186	XM_001592367.1.p1	lcl|CAGA01000003.1_cds_CCE27322.1_8309.p1
OG0001187	XM_001586559.1.p1	lcl|CAGA01000003.1_cds_CCE27196.1_8181.p1
OG0001188	XM_001596042.1.p1, XM_001597194.1.p1	lcl|CAGA01000001.1_cds_CCE26589.1_8654.p1
OG0001189	XM_001589128.1.p1	lcl|CAGA01000011.1_cds_CCE29046.1_6489.p1
OG0001190	XM_001593245.1.p1	lcl|CAGA01000010.1_cds_CCE28805.1_6644.p1
OG0001191	XM_001585271.1.p1	lcl|CAGA01000027.1_cds_CCE31054.1_4346.p1
OG0001192	XM_001586300.1.p1	lcl|CAGA01000040.1_cds_CCE32311.1_3019.p1
OG0001193	XM_001591587.1.p1	lcl|CAGA01000002.1_cds_CCE27016.1_8544.p1
OG0001194	XM_001585295.1.p1	lcl|CAGA01000039.1_cds_CCE32216.1_3087.p1
OG0001196	XM_001588984.1.p1	lcl|CAGA01000027.1_cds_CCE31001.1_4293.p1
OG0001197	XM_001590968.1.p1	lcl|CAGA01000008.1_cds_CCE28277.1_6952.p1
OG0001198	XM_001597467.1.p1	lcl|CAGA01000040.1_cds_CCE32331.1_3039.p1
OG0001199	XM_001586739.1.p1	lcl|CAGA01000004.1_cds_CCE27446.1_7922.p1
OG0001200	XM_001586874.1.p1	lcl|CAGA01000004.1_cds_CCE27565.1_8041.p1
OG0001200	XM_001595974.1.p1	lcl|CAGA01000016.1_cds_CCE29699.1_5669.p1
OG0001201	XM_001595554.1.p1	lcl|CAGA01000016.1_cds_CCE29719.1_5689.p1, lcl|CAGA01000016.1_cds_CCE29718.1_5688.p1
OG0001202	XM_001590037.1.p1	lcl|CAGA01000051.1_cds_CCE33086.1_2278.p1
OG0001203	XM_001595223.1.p1	lcl|CAGA01000009.1_cds_CCE28619.1_6873.p1
OG0001204	XM_001587531.1.p1	lcl|CAGA01000047.1_cds_CCE32861.1_2533.p1
OG0001205	XM_001597608.1.p1	lcl|CAGA01000093.1_cds_CCE34528.1_834.p1
OG0001206	XM_001590495.1.p1	lcl|CAGA01000001.1_cds_CCE26795.1_8860.p1
OG0001207	XM_001598174.1.p1	lcl|CAGA01000072.1_cds_CCE33998.1_1374.p1
OG0001208	XM_001585675.1.p1	lcl|CAGA01000061.1_cds_CCE33572.1_1789.p1
OG0001209	XM_001584711.1.p1	lcl|CAGA01000001.1_cds_CCE26723.1_8788.p1
OG0001210	XM_001593130.1.p1	lcl|CAGA01000029.1_cds_CCE31227.1_4083.p1
OG0001211	XM_001597698.1.p1	lcl|CAGA01000010.1_cds_CCE28723.1_6561.p1
OG0001212	XM_001587505.1.p1	lcl|CAGA01000018.1_cds_CCE29991.1_5421.p1
OG0001213	XM_001586026.1.p1	lcl|CAGA01000045.1_cds_CCE32724.1_2679.p1
OG0001214	XM_001594629.1.p1	lcl|CAGA01000023.1_cds_CCE30637.1_4829.p1
OG0001215	XM_001598435.1.p1	lcl|CAGA01000018.1_cds_CCE30020.1_5450.p1
OG0001216	XM_001587846.1.p1	lcl|CAGA01000049.1_cds_CCE32959.1_2398.p1
OG0001218	XM_001585042.1.p1	lcl|CAGA01000001.1_cds_CCE26782.1_8847.p1
OG0001219	XM_001598205.1.p1	lcl|CAGA01000043.1_cds_CCE32533.1_2780.p1
OG0001220	XM_001598294.1.p1	lcl|CAGA01000083.1_cds_CCE34291.1_1055.p1
OG0001221	XM_001587099.1.p1	lcl|CAGA01000189.1_cds_CCE35219.1_418.p1
OG0001222	XM_001586044.1.p1	lcl|CAGA01000030.1_cds_CCE31383.1_4024.p1
OG0001224	XM_001591829.1.p1	lcl|CAGA01000003.1_cds_CCE27193.1_8178.p1
OG0001227	XM_001598832.1.p1	lcl|CAGA01000068.1_cds_CCE33855.1_1489.p1
OG0001229	XM_001591967.1.p1	lcl|CAGA01000006.1_cds_CCE27978.1_7563.p1
OG0001230	XM_001592257.1.p1	lcl|CAGA01000020.1_cds_CCE30193.1_5125.p1
OG0001230	XM_001588431.1.p1	lcl|CAGA01000069.1_cds_CCE33906.1_1465.p1
OG0001230	XM_001594329.1.p1	lcl|CAGA01000034.1_cds_CCE31812.1_3634.p1
OG0001240	XM_001594618.1.p1, XM_001594806.1.p1	lcl|CAGA01000026.1_cds_CCE30925.1_4442.p1
OG0001241	XM_001591997.1.p1	lcl|CAGA01000085.1_cds_CCE34335.1_1008.p1
OG0001242	XM_001594852.1.p1, XM_001592817.1.p1	lcl|CAGA01000069.1_cds_CCE33897.1_1456.p1, lcl|CAGA01000021.1_cds_CCE30404.1_5091.p1
OG0001243	XM_001586524.1.p1	lcl|CAGA01000042.1_cds_CCE32526.1_2926.p1
OG0001244	XM_001587402.1.p1	lcl|CAGA01000004.1_cds_CCE27522.1_7998.p1
OG0001245	XM_001598019.1.p1	lcl|CAGA01000021.1_cds_CCE30330.1_5017.p1
OG0001246	XM_001596306.1.p1	lcl|CAGA01000020.1_cds_CCE30278.1_5210.p1
OG0001247	XM_001595279.1.p1	lcl|CAGA01000083.1_cds_CCE34304.1_1068.p1
OG0001248	XM_001597052.1.p1	lcl|CAGA01000006.1_cds_CCE27910.1_7495.p1
OG0001249	XM_001590861.1.p1	lcl|CAGA01000107.1_cds_CCE34731.1_637.p1
OG0001250	XM_001585219.1.p1	lcl|CAGA01000029.1_cds_CCE31275.1_4131.p1
OG0001251	XM_001597911.1.p1	lcl|CAGA01000065.1_cds_CCE33745.1_1615.p1
OG0001252	XM_001589710.1.p1	lcl|CAGA01000189.1_cds_CCE35070.1_267.p1
OG0001253	XM_001594361.1.p1	lcl|CAGA01000107.1_cds_CCE34721.1_627.p1
OG0001254	XM_001594431.1.p1	lcl|CAGA01000020.1_cds_CCE30201.1_5133.p1
OG0001255	XM_001585594.1.p1	lcl|CAGA01000084.1_cds_CCE34318.1_1036.p1
OG0001256	XM_001597117.1.p1	lcl|CAGA01000032.1_cds_CCE31592.1_3804.p1
OG0001258	XM_001592670.1.p1	lcl|CAGA01000001.1_cds_CCE26651.1_8716.p1
OG0001259	XM_001587500.1.p1, XM_001595026.1.p1	lcl|CAGA01000045.1_cds_CCE32685.1_2640.p1
OG0001260	XM_001591210.1.p1	lcl|CAGA01000190.1_cds_CCE35353.1_189.p1
OG0001261	XM_001592688.1.p1	lcl|CAGA01000001.1_cds_CCE26781.1_8846.p1
OG0001262	XM_001584906.1.p1	lcl|CAGA01000011.1_cds_CCE29059.1_6502.p1
OG0001263	XM_001593392.1.p1	lcl|CAGA01000013.1_cds_CCE29245.1_6016.p1
OG0001266	XM_001594795.1.p1	lcl|CAGA01000003.1_cds_CCE27151.1_8136.p1
OG0001267	XM_001593062.1.p1	lcl|CAGA01000082.1_cds_CCE34272.1_1092.p1
OG0001268	XM_001595596.1.p1	lcl|CAGA01000046.1_cds_CCE32800.1_2612.p1
OG0001270	XM_001592691.1.p1	lcl|CAGA01000096.1_cds_CCE34573.1_774.p1
OG0001271	XM_001587646.1.p1	lcl|CAGA01000016.1_cds_CCE29753.1_5723.p1
OG0001272	XM_001592903.1.p1	lcl|CAGA01000061.1_cds_CCE33570.1_1787.p1
OG0001273	XM_001598707.1.p1	lcl|CAGA01000002.1_cds_CCE26832.1_8360.p1
OG0001275	XM_001588945.1.p1	lcl|CAGA01000039.1_cds_CCE32223.1_3094.p1
OG0001276	XM_001596955.1.p1	lcl|CAGA01000102.1_cds_CCE34674.1_686.p1
OG0001277	XM_001588770.1.p1	lcl|CAGA01000014.1_cds_CCE29491.1_5987.p1
OG0001278	XM_001597610.1.p1	lcl|CAGA01000093.1_cds_CCE34530.1_836.p1
OG0001279	XM_001591890.1.p1	lcl|CAGA01000003.1_cds_CCE27072.1_8057.p1
OG0001280	XM_001586262.1.p1	lcl|CAGA01000006.1_cds_CCE28007.1_7592.p1
OG0001281	XM_001584702.1.p1	lcl|CAGA01000046.1_cds_CCE32779.1_2590.p1
OG0001282	XM_001595958.1.p1	lcl|CAGA01000021.1_cds_CCE30349.1_5036.p1
OG0001283	XM_001590433.1.p1	lcl|CAGA01000038.1_cds_CCE32163.1_3223.p1
OG0001284	XM_001596034.1.p1	lcl|CAGA01000088.1_cds_CCE34423.1_940.p1
OG0001285	XM_001585904.1.p1	lcl|CAGA01000029.1_cds_CCE31301.1_4157.p1
OG0001286	XM_001585616.1.p1	lcl|CAGA01000022.1_cds_CCE30519.1_4955.p1
OG0001287	XM_001586319.1.p1	lcl|CAGA01000035.1_cds_CCE31887.1_3509.p1
OG0001288	XM_001590210.1.p1	lcl|CAGA01000081.1_cds_CCE34229.1_1107.p1
OG0001290	XM_001588613.1.p1	lcl|CAGA01000046.1_cds_CCE32814.1_2626.p1
OG0001291	XM_001589450.1.p1	lcl|CAGA01000008.1_cds_CCE28429.1_7104.p1, lcl|CAGA01000018.1_cds_CCE29921.1_5351.p1
OG0001292	XM_001595039.1.p1	lcl|CAGA01000006.1_cds_CCE27957.1_7542.p1
OG0001293	XM_001592260.1.p1	lcl|CAGA01000008.1_cds_CCE28387.1_7062.p1
OG0001295	XM_001587939.1.p1	lcl|CAGA01000001.1_cds_CCE26688.1_8753.p1
OG0001296	XM_001585953.1.p1	lcl|CAGA01000038.1_cds_CCE32182.1_3242.p1
OG0001297	XM_001591937.1.p1	lcl|CAGA01000028.1_cds_CCE31149.1_4221.p1
OG0001298	XM_001595056.1.p1	lcl|CAGA01000004.1_cds_CCE27516.1_7992.p1
OG0001299	XM_001596175.1.p1	lcl|CAGA01000018.1_cds_CCE30033.1_5464.p1
OG0001300	XM_001586937.1.p1	lcl|CAGA01000022.1_cds_CCE30483.1_4919.p1
OG0001301	XM_001589470.1.p1	lcl|CAGA01000061.1_cds_CCE33576.1_1793.p1
OG0001301	XM_001586397.1.p1	lcl|CAGA01000024.1_cds_CCE30685.1_4647.p1
OG0001302	XM_001593610.1.p1	lcl|CAGA01000015.1_cds_CCE29582.1_5816.p1
OG0001303	XM_001591817.1.p1	lcl|CAGA01000072.1_cds_CCE33987.1_1362.p1
OG0001304	XM_001591192.1.p1	lcl|CAGA01000005.1_cds_CCE27647.1_7671.p1
OG0001305	XM_001592167.1.p1	lcl|CAGA01000047.1_cds_CCE32838.1_2510.p1, lcl|CAGA01000144.1_cds_CCE34882.1_479.p1, lcl|CAGA01000047.1_cds_CCE32837.1_2509.p1, lcl|CAGA01000047.1_cds_CCE32836.1_2508.p1, lcl|CAGA01000144.1_cds_CCE34880.1_477.p1, lcl|CAGA01000047.1_cds_CCE32835.1_2507.p1
OG0001306	XM_001592155.1.p1	lcl|CAGA01000012.1_cds_CCE29096.1_6175.p1
OG0001307	XM_001597316.1.p1	lcl|CAGA01000190.1_cds_CCE35259.1_95.p1
OG0001308	XM_001586167.1.p1	lcl|CAGA01000001.1_cds_CCE26759.1_8824.p1
OG0001309	XM_001594213.1.p1	lcl|CAGA01000190.1_cds_CCE35241.1_77.p1
OG0001310	XM_001594188.1.p1	lcl|CAGA01000102.1_cds_CCE34680.1_692.p1
OG0001311	XM_001598187.1.p1	lcl|CAGA01000019.1_cds_CCE30058.1_5232.p1
OG0001313	XM_001584723.1.p1	lcl|CAGA01000056.1_cds_CCE33357.1_2023.p1
OG0001314	XM_001587845.1.p1	lcl|CAGA01000017.1_cds_CCE29899.1_5600.p1
OG0001315	XM_001585518.1.p1	lcl|CAGA01000016.1_cds_CCE29744.1_5714.p1
OG0001316	XM_001596129.1.p1	lcl|CAGA01000016.1_cds_CCE29696.1_5666.p1
OG0001317	XM_001587842.1.p1	lcl|CAGA01000017.1_cds_CCE29907.1_5608.p1
OG0001318	XM_001597396.1.p1	lcl|CAGA01000043.1_cds_CCE32548.1_2795.p1
OG0001319	XM_001591640.1.p1	lcl|CAGA01000006.1_cds_CCE27967.1_7552.p1
OG0001320	XM_001587379.1.p1	lcl|CAGA01000025.1_cds_CCE30777.1_4517.p1
OG0001321	XM_001594406.1.p1, XM_001598936.1.p1	lcl|CAGA01000023.1_cds_CCE30655.1_4847.p1
OG0001322	XM_001585388.1.p1	lcl|CAGA01000026.1_cds_CCE30909.1_4426.p1
OG0001323	XM_001596853.1.p1	lcl|CAGA01000008.1_cds_CCE28324.1_6999.p1
OG0001324	XM_001594829.1.p1	lcl|CAGA01000023.1_cds_CCE30654.1_4846.p1
OG0001325	XM_001594327.1.p1	lcl|CAGA01000036.1_cds_CCE31931.1_3367.p1, lcl|CAGA01000025.1_cds_CCE30858.1_4599.p1, lcl|CAGA01000025.1_cds_CCE30859.1_4600.p1, lcl|CAGA01000025.1_cds_CCE30861.1_4602.p1, lcl|CAGA01000025.1_cds_CCE30863.1_4604.p1, lcl|CAGA01000044.1_cds_CCE32612.1_2712.p1, lcl|CAGA01000021.1_cds_CCE30314.1_5001.p1, lcl|CAGA01000021.1_cds_CCE30312.1_4999.p1, lcl|CAGA01000021.1_cds_CCE30313.1_5000.p1, lcl|CAGA01000021.1_cds_CCE30311.1_4998.p1
OG0001326	XM_001592619.1.p1	lcl|CAGA01000010.1_cds_CCE28818.1_6657.p1
OG0001327	XM_001584707.1.p1, XM_001588824.1.p1, XM_001589583.1.p1	lcl|CAGA01000189.1_cds_CCE35123.1_321.p1, lcl|CAGA01000189.1_cds_CCE35118.1_316.p1, lcl|CAGA01000189.1_cds_CCE35124.1_322.p1, lcl|CAGA01000189.1_cds_CCE35125.1_323.p1, lcl|CAGA01000189.1_cds_CCE35114.1_311.p1, lcl|CAGA01000189.1_cds_CCE35115.1_313.p1, lcl|CAGA01000082.1_cds_CCE34281.1_1101.p1, lcl|CAGA01000186.1_cds_CCE34938.1_421.p1, lcl|CAGA01000076.1_cds_CCE34132.1_1251.p1, lcl|CAGA01000076.1_cds_CCE34129.1_1248.p1, lcl|CAGA01000076.1_cds_CCE34130.1_1249.p1, lcl|CAGA01000061.1_cds_CCE33598.1_1815.p1
OG0001327	XM_001590244.1.p1	lcl|CAGA01000189.1_cds_CCE35116.1_314.p1
OG0001335	XM_001593152.1.p1	lcl|CAGA01000082.1_cds_CCE34262.1_1082.p1
OG0001336	XM_001596324.1.p1	lcl|CAGA01000036.1_cds_CCE31962.1_3399.p1
OG0001337	XM_001586758.1.p1	lcl|CAGA01000022.1_cds_CCE30454.1_4890.p1
OG0001338	XM_001590772.1.p1, XM_001595896.1.p1	lcl|CAGA01000062.1_cds_CCE33603.1_1730.p1
OG0001339	XM_001588334.1.p1	lcl|CAGA01000002.1_cds_CCE26855.1_8383.p1
OG0001340	XM_001585646.1.p1	lcl|CAGA01000018.1_cds_CCE30040.1_5471.p1
OG0001341	XM_001585322.1.p1	lcl|CAGA01000072.1_cds_CCE33991.1_1367.p1
OG0001342	XM_001594850.1.p1	lcl|CAGA01000007.1_cds_CCE28198.1_7320.p1
OG0001343	XM_001585832.1.p1	lcl|CAGA01000010.1_cds_CCE28816.1_6655.p1
OG0001345	XM_001594772.1.p1	lcl|CAGA01000108.1_cds_CCE34738.1_621.p1
OG0001346	XM_001594790.1.p1	lcl|CAGA01000007.1_cds_CCE28174.1_7296.p1
OG0001347	XM_001588165.1.p1	lcl|CAGA01000014.1_cds_CCE29396.1_5892.p1
OG0001348	XM_001587711.1.p1	lcl|CAGA01000079.1_cds_CCE34196.1_1174.p1
OG0001349	XM_001585733.1.p1	lcl|CAGA01000010.1_cds_CCE28772.1_6611.p1
OG0001350	XM_001594034.1.p1	lcl|CAGA01000011.1_cds_CCE28976.1_6419.p1
OG0001351	XM_001587708.1.p1	lcl|CAGA01000022.1_cds_CCE30497.1_4933.p1
OG0001352	XM_001586665.1.p1	lcl|CAGA01000014.1_cds_CCE29435.1_5931.p1
OG0001353	XM_001591623.1.p1	lcl|CAGA01000039.1_cds_CCE32243.1_3114.p1
OG0001354	XM_001592719.1.p1	lcl|CAGA01000005.1_cds_CCE27684.1_7708.p1
OG0001356	XM_001585187.1.p1	lcl|CAGA01000002.1_cds_CCE26976.1_8504.p1
OG0001357	XM_001596863.1.p1	lcl|CAGA01000008.1_cds_CCE28453.1_7128.p1
OG0001358	XM_001597450.1.p1	lcl|CAGA01000008.1_cds_CCE28315.1_6990.p1
OG0001359	XM_001587161.1.p1	lcl|CAGA01000054.1_cds_CCE33260.1_2134.p1
OG0001361	XM_001589944.1.p1	lcl|CAGA01000009.1_cds_CCE28582.1_6836.p1
OG0001362	XM_001591944.1.p1	lcl|CAGA01000006.1_cds_CCE27976.1_7561.p1
OG0001363	XM_001598194.1.p1	lcl|CAGA01000189.1_cds_CCE35047.1_244.p1
OG0001365	XM_001590890.1.p1	lcl|CAGA01000010.1_cds_CCE28718.1_6556.p1
OG0001366	XM_001595151.1.p1	lcl|CAGA01000029.1_cds_CCE31287.1_4143.p1
OG0001367	XM_001595176.1.p1	lcl|CAGA01000017.1_cds_CCE29820.1_5520.p1
OG0001368	XM_001596704.1.p1	lcl|CAGA01000091.1_cds_CCE34489.1_885.p1
OG0001369	XM_001597173.1.p1	lcl|CAGA01000001.1_cds_CCE26571.1_8636.p1
OG0001371	XM_001597570.1.p1	lcl|CAGA01000013.1_cds_CCE29244.1_6015.p1
OG0001372	XM_001594988.1.p1	lcl|CAGA01000042.1_cds_CCE32489.1_2889.p1
OG0001373	XM_001587954.1.p1	lcl|CAGA01000018.1_cds_CCE30014.1_5444.p1
OG0001374	XM_001585514.1.p1	lcl|CAGA01000189.1_cds_CCE35036.1_233.p1
OG0001375	XM_001588248.1.p1	lcl|CAGA01000004.1_cds_CCE27376.1_7852.p1
OG0001378	XM_001593740.1.p1	lcl|CAGA01000013.1_cds_CCE29357.1_6128.p1
OG0001379	XM_001590461.1.p1	lcl|CAGA01000059.1_cds_CCE33484.1_1876.p1
OG0001381	XM_001598755.1.p1	lcl|CAGA01000073.1_cds_CCE34018.1_1332.p1
OG0001384	XM_001584676.1.p1, XM_001584677.1.p1	lcl|CAGA01000002.1_cds_CCE26860.1_8388.p1
OG0001385	XM_001590507.1.p1	lcl|CAGA01000067.1_cds_CCE33809.1_1526.p1
OG0001386	XM_001594603.1.p1	lcl|CAGA01000027.1_cds_CCE31009.1_4301.p1
OG0001387	XM_001590581.1.p1	lcl|CAGA01000001.1_cds_CCE26620.1_8685.p1
OG0001388	XM_001595837.1.p1	lcl|CAGA01000002.1_cds_CCE26936.1_8464.p1
OG0001389	XM_001594385.1.p1	lcl|CAGA01000030.1_cds_CCE31361.1_4001.p1
OG0001390	XM_001593629.1.p1	lcl|CAGA01000025.1_cds_CCE30870.1_4611.p1
OG0001391	XM_001593760.1.p1	lcl|CAGA01000013.1_cds_CCE29330.1_6101.p1
OG0001392	XM_001591018.1.p1	lcl|CAGA01000090.1_cds_CCE34472.1_908.p1
OG0001393	XM_001587430.1.p1	lcl|CAGA01000005.1_cds_CCE27583.1_7607.p1
OG0001394	XM_001595447.1.p1	lcl|CAGA01000005.1_cds_CCE27640.1_7664.p1
OG0001395	XM_001595940.1.p1	lcl|CAGA01000029.1_cds_CCE31230.1_4086.p1
OG0001397	XM_001597458.1.p1	lcl|CAGA01000190.1_cds_CCE35270.1_106.p1
OG0001398	XM_001593321.1.p1	lcl|CAGA01000010.1_cds_CCE28800.1_6639.p1
OG0001399	XM_001594283.1.p1	lcl|CAGA01000190.1_cds_CCE35342.1_178.p1
