Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Neonectria_ditissima_cds_prot
OG0001021	XM_001596254.1.p1	lcl|LKCW01000166.1_cds_KPM37436.1_3107.p1, lcl|LKCW01000040.1_cds_KPM42952.1_8689.p1
OG0001022	XM_001584957.1.p1	lcl|LKCW01000033.1_cds_KPM43463.1_7586.p1
OG0001022	XM_001592881.1.p1	lcl|LKCW01000168.1_cds_KPM37372.1_3185.p1
OG0001023	XM_001589690.1.p1	lcl|LKCW01000371.1_cds_KPM34242.1_8170.p1
OG0001024	XM_001590102.1.p1	lcl|LKCW01000258.1_cds_KPM35337.1_6130.p1
OG0001025	XM_001597615.1.p1	lcl|LKCW01000419.1_cds_KPM34048.1_8816.p1
OG0001026	XM_001585171.1.p1	lcl|LKCW01000057.1_cds_KPM41888.1_10053.p1, lcl|LKCW01000099.1_cds_KPM39754.1_12679.p1, lcl|LKCW01000099.1_cds_KPM39762.1_12685.p1, lcl|LKCW01000190.1_cds_KPM36781.1_4017.p1
OG0001028	XM_001595420.1.p1	lcl|LKCW01000358.1_cds_KPM34321.1_7964.p1
OG0001029	XM_001597029.1.p1	lcl|LKCW01000344.1_cds_KPM34409.1_7801.p1
OG0001030	XM_001590150.1.p1	lcl|LKCW01000219.1_cds_KPM36079.1_5049.p1
OG0001031	XM_001598290.1.p1	lcl|LKCW01000185.1_cds_KPM36887.1_3826.p1
OG0001032	XM_001592750.1.p1	lcl|LKCW01000381.1_cds_KPM34192.1_8284.p1
OG0001033	XM_001593019.1.p1	lcl|LKCW01000005.1_cds_KPM45691.1_9466.p1
OG0001034	XM_001589286.1.p1	lcl|LKCW01000146.1_cds_KPM38051.1_2395.p1, lcl|LKCW01000001.1_cds_KPM46321.1_22.p1, lcl|LKCW01000020.1_cds_KPM44384.1_4491.p1
OG0001035	XM_001591201.1.p1	lcl|LKCW01000218.1_cds_KPM36094.1_5021.p1
OG0001037	XM_001585833.1.p1	lcl|LKCW01000028.1_cds_KPM43713.1_6604.p1, lcl|LKCW01000191.1_cds_KPM36767.1_4023.p1
OG0001038	XM_001584660.1.p1	lcl|LKCW01000133.1_cds_KPM38465.1_1862.p1
OG0001039	XM_001589840.1.p1	lcl|LKCW01000217.1_cds_KPM36134.1_5008.p1, lcl|LKCW01000141.1_cds_KPM38190.1_2208.p1, lcl|LKCW01000032.1_cds_KPM43492.1_7418.p1
OG0001040	XM_001585509.1.p1	lcl|LKCW01000322.1_cds_KPM34577.1_7494.p1
OG0001041	XM_001595956.1.p1	lcl|LKCW01000304.1_cds_KPM34741.1_7210.p1
OG0001043	XM_001588858.1.p1	lcl|LKCW01000209.1_cds_KPM36301.1_4738.p1
OG0001044	XM_001594810.1.p1	lcl|LKCW01000126.1_cds_KPM38707.1_1508.p1
OG0001044	XM_001585034.1.p1	lcl|LKCW01000092.1_cds_KPM40045.1_12379.p1
OG0001061	XM_001598663.1.p1	lcl|LKCW01000021.1_cds_KPM44251.1_4765.p1
OG0001062	XM_001589384.1.p1	lcl|LKCW01000256.1_cds_KPM35379.1_6085.p1
OG0001063	XM_001594182.1.p1	lcl|LKCW01000004.1_cds_KPM45969.1_8538.p1
OG0001064	XM_001585284.1.p1	lcl|LKCW01000170.1_cds_KPM37298.1_3337.p1
OG0001065	XM_001596255.1.p1	lcl|LKCW01000166.1_cds_KPM37427.1_3108.p1
OG0001066	XM_001597746.1.p1	lcl|LKCW01000043.1_cds_KPM42756.1_8967.p1, lcl|LKCW01000026.1_cds_KPM43845.1_6186.p1
OG0001067	XM_001590538.1.p1	lcl|LKCW01000065.1_cds_KPM41431.1_10687.p1
OG0001068	XM_001594868.1.p1	lcl|LKCW01000017.1_cds_KPM44651.1_3271.p1
OG0001069	XM_001592162.1.p1	lcl|LKCW01000176.1_cds_KPM37113.1_3497.p1
OG0001070	XM_001587376.1.p1	lcl|LKCW01000011.1_cds_KPM45049.1_740.p1
OG0001071	XM_001592045.1.p1	lcl|LKCW01000029.1_cds_KPM43677.1_6793.p1
OG0001072	XM_001594382.1.p1	lcl|LKCW01000211.1_cds_KPM36256.1_4867.p1, lcl|LKCW01000264.1_cds_KPM35245.1_6286.p1
OG0001073	XM_001592588.1.p1	lcl|LKCW01000099.1_cds_KPM39750.1_12699.p1, lcl|LKCW01000132.1_cds_KPM38502.1_1824.p1, lcl|LKCW01000193.1_cds_KPM36705.1_4068.p1
OG0001075	XM_001598429.1.p1	lcl|LKCW01000268.1_cds_KPM35185.1_6342.p1
OG0001076	XM_001598603.1.p1	lcl|LKCW01000316.1_cds_KPM34629.1_7374.p1
OG0001076	XM_001595171.1.p1	lcl|LKCW01000008.1_cds_KPM45388.1_11676.p1
OG0001077	XM_001595998.1.p1	lcl|LKCW01000201.1_cds_KPM36498.1_4527.p1
OG0001078	XM_001590375.1.p1	lcl|LKCW01000224.1_cds_KPM35979.1_5227.p1
OG0001079	XM_001598602.1.p1	lcl|LKCW01000316.1_cds_KPM34637.1_7375.p1
OG0001082	XM_001597171.1.p1	lcl|LKCW01000294.1_cds_KPM34872.1_6864.p1
OG0001083	XM_001584635.1.p1	lcl|LKCW01000173.1_cds_KPM37219.1_3421.p1
OG0001084	XM_001589263.1.p1	lcl|LKCW01000285.1_cds_KPM34963.1_6697.p1
OG0001085	XM_001591188.1.p1	lcl|LKCW01000157.1_cds_KPM37701.1_2780.p1
OG0001086	XM_001593619.1.p1	lcl|LKCW01000125.1_cds_KPM38739.1_1473.p1, lcl|LKCW01000133.1_cds_KPM38454.1_1841.p1
OG0001088	XM_001598916.1.p1	lcl|LKCW01000031.1_cds_KPM43545.1_7289.p1
OG0001089	XM_001591672.1.p1, XM_001588523.1.p1, XM_001589749.1.p1	lcl|LKCW01000159.1_cds_KPM37624.1_2845.p1
OG0001090	XM_001587887.1.p1	lcl|LKCW01000134.1_cds_KPM38423.1_1887.p1
OG0001091	XM_001584643.1.p1	lcl|LKCW01000109.1_cds_KPM39377.1_722.p1, lcl|LKCW01000012.1_cds_KPM44984.1_1227.p1
OG0001093	XM_001593447.1.p1	lcl|LKCW01000321.1_cds_KPM34581.1_7487.p1
OG0001095	XM_001593519.1.p1	lcl|LKCW01000015.1_cds_KPM44769.1_2503.p1
OG0001096	XM_001597021.1.p1	lcl|LKCW01000077.1_cds_KPM40741.1_11511.p1, lcl|LKCW01000153.1_cds_KPM37793.1_2688.p1, lcl|LKCW01000162.1_cds_KPM37546.1_2983.p1
OG0001098	XM_001584687.1.p1	lcl|LKCW01000034.1_cds_KPM43389.1_7771.p1
OG0001099	XM_001587319.1.p1	lcl|LKCW01000002.1_cds_KPM46193.1_4343.p1
OG0001100	XM_001597302.1.p1	lcl|LKCW01000265.1_cds_KPM35238.1_6309.p1
OG0001101	XM_001592758.1.p1	lcl|LKCW01000364.1_cds_KPM34288.1_8068.p1
OG0001102	XM_001584733.1.p1	lcl|LKCW01000018.1_cds_KPM44485.1_3607.p1, lcl|LKCW01000142.1_cds_KPM38150.1_2262.p1, lcl|LKCW01000052.1_cds_KPM42231.1_9731.p1, lcl|LKCW01000113.1_cds_KPM39233.1_946.p1, lcl|LKCW01000229.1_cds_KPM35842.1_5366.p1, lcl|LKCW01000137.1_cds_KPM38332.1_1993.p1
OG0001103	XM_001588227.1.p1	lcl|LKCW01000012.1_cds_KPM45001.1_1247.p1
OG0001105	XM_001592782.1.p1	lcl|LKCW01000477.1_cds_KPM33929.1_9301.p1
OG0001106	XM_001594359.1.p1	lcl|LKCW01000223.1_cds_KPM35988.1_5211.p1
OG0001107	XM_001593873.1.p1	lcl|LKCW01000023.1_cds_KPM44130.1_5390.p1, lcl|LKCW01000273.1_cds_KPM35116.1_6515.p1
OG0001108	XM_001585014.1.p1	lcl|LKCW01000120.1_cds_KPM38916.1_1280.p1
OG0001109	XM_001593892.1.p1	lcl|LKCW01000038.1_cds_KPM43059.1_8230.p1
OG0001110	XM_001593845.1.p1	lcl|LKCW01000168.1_cds_KPM37363.1_3166.p1, lcl|LKCW01000074.1_cds_KPM40921.1_11359.p1
OG0001112	XM_001592330.1.p1	lcl|LKCW01000145.1_cds_KPM38081.1_2341.p1
OG0001113	XM_001596509.1.p1	lcl|LKCW01000168.1_cds_KPM37353.1_3180.p1
OG0001114	XM_001594347.1.p1	lcl|LKCW01000135.1_cds_KPM38402.1_1923.p1
OG0001115	XM_001593943.1.p1	lcl|LKCW01000011.1_cds_KPM45052.1_747.p1
OG0001116	XM_001587754.1.p1	lcl|LKCW01000131.1_cds_KPM38535.1_1781.p1
OG0001117	XM_001587235.1.p1, XM_001589260.1.p1	lcl|LKCW01000040.1_cds_KPM42969.1_8632.p1, lcl|LKCW01000201.1_cds_KPM36500.1_4529.p1
OG0001118	XM_001590650.1.p1	lcl|LKCW01000022.1_cds_KPM44233.1_5065.p1
OG0001119	XM_001587563.1.p1	lcl|LKCW01000132.1_cds_KPM38505.1_1803.p1
OG0001120	XM_001591426.1.p1	lcl|LKCW01000004.1_cds_KPM45877.1_8516.p1
OG0001120	XM_001593250.1.p1	lcl|LKCW01000004.1_cds_KPM45893.1_8625.p1
OG0001121	XM_001593046.1.p1	lcl|LKCW01000039.1_cds_KPM42982.1_8334.p1
OG0001122	XM_001594924.1.p1	lcl|LKCW01000261.1_cds_KPM35299.1_6256.p1, lcl|LKCW01000294.1_cds_KPM34867.1_6855.p1
OG0001123	XM_001592405.1.p1	lcl|LKCW01000167.1_cds_KPM37410.1_3160.p1
OG0001124	XM_001598830.1.p1	lcl|LKCW01000155.1_cds_KPM37740.1_2736.p1
OG0001125	XM_001588623.1.p1	lcl|LKCW01000015.1_cds_KPM44768.1_2561.p1
OG0001126	XM_001590062.1.p1	lcl|LKCW01000079.1_cds_KPM40656.1_11605.p1
OG0001127	XM_001590729.1.p1	lcl|LKCW01000003.1_cds_KPM46123.1_6987.p1
OG0001128	XM_001594215.1.p1	lcl|LKCW01000093.1_cds_KPM39985.1_12446.p1
OG0001129	XM_001595650.1.p1	lcl|LKCW01000125.1_cds_KPM38747.1_1477.p1, lcl|LKCW01000001.1_cds_KPM46465.1_95.p1, lcl|LKCW01000395.1_cds_KPM34127.1_8436.p1
OG0001130	XM_001590691.1.p1	lcl|LKCW01000091.1_cds_KPM40084.1_12330.p1
OG0001131	XM_001597050.1.p1	lcl|LKCW01000151.1_cds_KPM37849.1_2605.p1
OG0001132	XM_001589184.1.p1, XM_001597308.1.p1	lcl|LKCW01000014.1_cds_KPM44852.1_2130.p1
OG0001133	XM_001584780.1.p1	lcl|LKCW01000311.1_cds_KPM34686.1_7323.p1
OG0001135	XM_001592071.1.p1	lcl|LKCW01000031.1_cds_KPM43553.1_7256.p1, lcl|LKCW01000165.1_cds_KPM37462.1_3088.p1
OG0001137	XM_001592959.1.p1	lcl|LKCW01000025.1_cds_KPM43970.1_5963.p1
OG0001145	XM_001589744.1.p1	lcl|LKCW01000196.1_cds_KPM36624.1_4172.p1
OG0001146	XM_001587854.1.p1	lcl|LKCW01000095.1_cds_KPM39915.1_12538.p1
OG0001147	XM_001589207.1.p1	lcl|LKCW01000154.1_cds_KPM37775.1_2717.p1
OG0001148	XM_001598280.1.p1	lcl|LKCW01000058.1_cds_KPM41865.1_10118.p1
OG0001150	XM_001585637.1.p1	lcl|LKCW01000192.1_cds_KPM36736.1_4049.p1
OG0001151	XM_001586398.1.p1	lcl|LKCW01000031.1_cds_KPM43565.1_7290.p1
OG0001152	XM_001585966.1.p1	lcl|LKCW01000004.1_cds_KPM45859.1_8484.p1
OG0001153	XM_001585409.1.p1	lcl|LKCW01000328.1_cds_KPM34529.1_7543.p1
OG0001154	XM_001596258.1.p1	lcl|LKCW01000004.1_cds_KPM45944.1_8523.p1
OG0001155	XM_001593807.1.p1	lcl|LKCW01000083.1_cds_KPM40438.1_11930.p1
OG0001156	XM_001587763.1.p1	lcl|LKCW01000131.1_cds_KPM38550.1_1791.p1
OG0001157	XM_001585113.1.p1	lcl|LKCW01000343.1_cds_KPM34418.1_7791.p1
OG0001158	XM_001597265.1.p1	lcl|LKCW01000109.1_cds_KPM39379.1_720.p1
OG0001159	XM_001593742.1.p1	lcl|LKCW01000180.1_cds_KPM37017.1_3693.p1
OG0001160	XM_001597233.1.p1	lcl|LKCW01000176.1_cds_KPM37122.1_3493.p1
OG0001161	XM_001597319.1.p1	lcl|LKCW01000016.1_cds_KPM44668.1_2915.p1
OG0001162	XM_001592594.1.p1	lcl|LKCW01000164.1_cds_KPM37475.1_3068.p1
OG0001163	XM_001590240.1.p1	lcl|LKCW01000002.1_cds_KPM46155.1_4269.p1
OG0001164	XM_001586609.1.p1	lcl|LKCW01000152.1_cds_KPM37833.1_2661.p1
OG0001165	XM_001590535.1.p1	lcl|LKCW01000252.1_cds_KPM35453.1_6021.p1
OG0001166	XM_001590617.1.p1	lcl|LKCW01000091.1_cds_KPM40059.1_12342.p1
OG0001168	XM_001595545.1.p1	lcl|LKCW01000138.1_cds_KPM38282.1_2054.p1
OG0001170	XM_001598862.1.p1	lcl|LKCW01000013.1_cds_KPM44899.1_1703.p1
OG0001171	XM_001597826.1.p1	lcl|LKCW01000173.1_cds_KPM37211.1_3396.p1, lcl|LKCW01000025.1_cds_KPM43978.1_5979.p1
OG0001173	XM_001598301.1.p1	lcl|LKCW01000206.1_cds_KPM36363.1_4679.p1
OG0001174	XM_001586495.1.p1	lcl|LKCW01000156.1_cds_KPM37716.1_2772.p1
OG0001176	XM_001594407.1.p1	lcl|LKCW01000094.1_cds_KPM39963.1_12465.p1
OG0001176	XM_001586945.1.p1	lcl|LKCW01000165.1_cds_KPM37467.1_3071.p1
OG0001177	XM_001594947.1.p1	lcl|LKCW01000120.1_cds_KPM38922.1_1282.p1
OG0001178	XM_001589035.1.p1	lcl|LKCW01000277.1_cds_KPM35075.1_6555.p1
OG0001179	XM_001593660.1.p1	lcl|LKCW01000056.1_cds_KPM41962.1_9973.p1
OG0001180	XM_001596694.1.p1	lcl|LKCW01000383.1_cds_KPM34187.1_8291.p1
OG0001181	XM_001593576.1.p1	lcl|LKCW01000193.1_cds_KPM36718.1_4094.p1
OG0001182	XM_001594846.1.p1	lcl|LKCW01000058.1_cds_KPM41856.1_10171.p1
OG0001183	XM_001590324.1.p1	lcl|LKCW01000069.1_cds_KPM41207.1_10917.p1
OG0001184	XM_001594370.1.p1	lcl|LKCW01000016.1_cds_KPM44706.1_2884.p1
OG0001185	XM_001586426.1.p1	lcl|LKCW01000254.1_cds_KPM35410.1_6052.p1, lcl|LKCW01000197.1_cds_KPM36596.1_4193.p1
OG0001186	XM_001592367.1.p1	lcl|LKCW01000351.1_cds_KPM34349.1_7931.p1
OG0001187	XM_001586559.1.p1	lcl|LKCW01000152.1_cds_KPM37835.1_2653.p1
OG0001188	XM_001596042.1.p1, XM_001597194.1.p1	lcl|LKCW01000003.1_cds_KPM46058.1_7011.p1
OG0001189	XM_001589128.1.p1	lcl|LKCW01000023.1_cds_KPM44128.1_5392.p1
OG0001190	XM_001593245.1.p1	lcl|LKCW01000004.1_cds_KPM45827.1_8555.p1
OG0001191	XM_001585271.1.p1	lcl|LKCW01000043.1_cds_KPM42771.1_8927.p1
OG0001192	XM_001586300.1.p1	lcl|LKCW01000383.1_cds_KPM34185.1_8293.p1
OG0001193	XM_001591587.1.p1	lcl|LKCW01000003.1_cds_KPM46097.1_7084.p1
OG0001194	XM_001585295.1.p1	lcl|LKCW01000038.1_cds_KPM43110.1_8274.p1
OG0001195	XM_001593678.1.p1	lcl|LKCW01000001.1_cds_KPM46519.1_43.p1, lcl|LKCW01000034.1_cds_KPM43351.1_7725.p1, lcl|LKCW01000072.1_cds_KPM41000.1_11212.p1
OG0001196	XM_001588984.1.p1	lcl|LKCW01000233.1_cds_KPM35777.1_5528.p1
OG0001197	XM_001590968.1.p1	lcl|LKCW01000093.1_cds_KPM39973.1_12414.p1
OG0001198	XM_001597467.1.p1	lcl|LKCW01000094.1_cds_KPM39930.1_12467.p1
OG0001199	XM_001586739.1.p1	lcl|LKCW01000210.1_cds_KPM36273.1_4861.p1
OG0001200	XM_001586874.1.p1	lcl|LKCW01000165.1_cds_KPM37450.1_3077.p1
OG0001200	XM_001595974.1.p1	lcl|LKCW01000073.1_cds_KPM40956.1_11304.p1
OG0001201	XM_001595554.1.p1	lcl|LKCW01000147.1_cds_KPM38002.1_2411.p1
OG0001201	XM_001593213.1.p1	lcl|LKCW01000097.1_cds_KPM39846.1_12610.p1
OG0001202	XM_001590037.1.p1	lcl|LKCW01000081.1_cds_KPM40563.1_11799.p1, lcl|LKCW01000094.1_cds_KPM39955.1_12485.p1
OG0001203	XM_001595223.1.p1	lcl|LKCW01000067.1_cds_KPM41301.1_10825.p1
OG0001204	XM_001587531.1.p1	lcl|LKCW01000181.1_cds_KPM36987.1_3709.p1
OG0001205	XM_001597608.1.p1	lcl|LKCW01000062.1_cds_KPM41609.1_10526.p1
OG0001206	XM_001590495.1.p1	lcl|LKCW01000200.1_cds_KPM36537.1_4503.p1
OG0001207	XM_001598174.1.p1	lcl|LKCW01000185.1_cds_KPM36894.1_3819.p1
OG0001208	XM_001585675.1.p1	lcl|LKCW01000090.1_cds_KPM40120.1_12315.p1
OG0001209	XM_001584711.1.p1	lcl|LKCW01000008.1_cds_KPM45387.1_11677.p1
OG0001210	XM_001593130.1.p1	lcl|LKCW01000260.1_cds_KPM35318.1_6230.p1
OG0001211	XM_001597698.1.p1	lcl|LKCW01000121.1_cds_KPM38880.1_1329.p1
OG0001212	XM_001587505.1.p1	lcl|LKCW01000061.1_cds_KPM41640.1_10490.p1
OG0001213	XM_001586026.1.p1	lcl|LKCW01000315.1_cds_KPM34650.1_7357.p1
OG0001214	XM_001594629.1.p1	lcl|LKCW01000430.1_cds_KPM34004.1_8983.p1
OG0001215	XM_001598435.1.p1	lcl|LKCW01000061.1_cds_KPM41618.1_10456.p1, lcl|LKCW01000060.1_cds_KPM41680.1_10432.p1
OG0001216	XM_001587846.1.p1	lcl|LKCW01000172.1_cds_KPM37258.1_3383.p1
OG0001217	XM_001584573.1.p1	lcl|LKCW01000210.1_cds_KPM36285.1_4840.p1, lcl|LKCW01000045.1_cds_KPM42641.1_9128.p1
OG0001218	XM_001585042.1.p1	lcl|LKCW01000003.1_cds_KPM46015.1_6969.p1
OG0001219	XM_001598205.1.p1	lcl|LKCW01000041.1_cds_KPM42891.1_8751.p1
OG0001220	XM_001598294.1.p1	lcl|LKCW01000185.1_cds_KPM36889.1_3825.p1
OG0001221	XM_001587099.1.p1	lcl|LKCW01000085.1_cds_KPM40359.1_12005.p1
OG0001222	XM_001586044.1.p1	lcl|LKCW01000119.1_cds_KPM38964.1_1193.p1
OG0001223	XM_001596735.1.p1	lcl|LKCW01000183.1_cds_KPM36949.1_3764.p1
OG0001224	XM_001591829.1.p1	lcl|LKCW01000118.1_cds_KPM39029.1_1123.p1, lcl|LKCW01000152.1_cds_KPM37836.1_2656.p1
OG0001227	XM_001598832.1.p1	lcl|LKCW01000038.1_cds_KPM43100.1_8248.p1
OG0001229	XM_001591967.1.p1	lcl|LKCW01000063.1_cds_KPM41561.1_10608.p1
OG0001230	XM_001592257.1.p1	lcl|LKCW01000336.1_cds_KPM34466.1_7672.p1
OG0001230	XM_001588431.1.p1	lcl|LKCW01000033.1_cds_KPM43461.1_7565.p1
OG0001240	XM_001594806.1.p1	lcl|LKCW01000087.1_cds_KPM40270.1_12087.p1
OG0001241	XM_001591997.1.p1	lcl|LKCW01000144.1_cds_KPM38096.1_2307.p1
OG0001242	XM_001594852.1.p1, XM_001592817.1.p1	lcl|LKCW01000033.1_cds_KPM43459.1_7563.p1
OG0001243	XM_001586524.1.p1	lcl|LKCW01000101.1_cds_KPM39633.1_429.p1
OG0001244	XM_001587402.1.p1	lcl|LKCW01000230.1_cds_KPM35836.1_5467.p1
OG0001245	XM_001598019.1.p1	lcl|LKCW01000444.1_cds_KPM33969.1_9083.p1
OG0001246	XM_001596306.1.p1	lcl|LKCW01000212.1_cds_KPM36227.1_4898.p1
OG0001247	XM_001595279.1.p1	lcl|LKCW01000045.1_cds_KPM42604.1_9101.p1
OG0001248	XM_001597052.1.p1	lcl|LKCW01000276.1_cds_KPM35084.1_6549.p1
OG0001250	XM_001585219.1.p1	lcl|LKCW01000008.1_cds_KPM45332.1_11615.p1
OG0001251	XM_001597911.1.p1	lcl|LKCW01000076.1_cds_KPM40812.1_11463.p1
OG0001252	XM_001589710.1.p1	lcl|LKCW01000006.1_cds_KPM45677.1_10365.p1
OG0001253	XM_001594361.1.p1	lcl|LKCW01000059.1_cds_KPM41762.1_10184.p1
OG0001254	XM_001594431.1.p1	lcl|LKCW01000019.1_cds_KPM44460.1_3986.p1
OG0001255	XM_001585594.1.p1	lcl|LKCW01000069.1_cds_KPM41223.1_10937.p1
OG0001256	XM_001597117.1.p1	lcl|LKCW01000095.1_cds_KPM39890.1_12528.p1
OG0001257	XM_001594378.1.p1	lcl|LKCW01000093.1_cds_KPM39988.1_12452.p1
OG0001258	XM_001592670.1.p1	lcl|LKCW01000175.1_cds_KPM37137.1_3485.p1
OG0001259	XM_001595026.1.p1	lcl|LKCW01000239.1_cds_KPM35671.1_5638.p1
OG0001260	XM_001591210.1.p1	lcl|LKCW01000007.1_cds_KPM45511.1_10982.p1
OG0001261	XM_001592688.1.p1	lcl|LKCW01000167.1_cds_KPM37402.1_3129.p1
OG0001262	XM_001584906.1.p1	lcl|LKCW01000159.1_cds_KPM37642.1_2839.p1
OG0001263	XM_001593392.1.p1	lcl|LKCW01000055.1_cds_KPM42054.1_9937.p1
OG0001264	XM_001589375.1.p1	lcl|LKCW01000479.1_cds_KPM33927.1_9302.p1
OG0001266	XM_001594795.1.p1	lcl|LKCW01000075.1_cds_KPM40876.1_11409.p1, lcl|LKCW01000277.1_cds_KPM35076.1_6556.p1
OG0001267	XM_001593062.1.p1	lcl|LKCW01000039.1_cds_KPM42994.1_8353.p1
OG0001268	XM_001595596.1.p1	lcl|LKCW01000259.1_cds_KPM35324.1_6146.p1
OG0001270	XM_001592691.1.p1	lcl|LKCW01000311.1_cds_KPM34688.1_7315.p1
OG0001271	XM_001587646.1.p1	lcl|LKCW01000147.1_cds_KPM38009.1_2416.p1
OG0001272	XM_001592903.1.p1	lcl|LKCW01000181.1_cds_KPM37003.1_3716.p1, lcl|LKCW01000150.1_cds_KPM37897.1_2590.p1
OG0001273	XM_001598707.1.p1	lcl|LKCW01000021.1_cds_KPM44313.1_4763.p1
OG0001275	XM_001588945.1.p1	lcl|LKCW01000038.1_cds_KPM43114.1_8266.p1
OG0001276	XM_001596955.1.p1	lcl|LKCW01000284.1_cds_KPM34980.1_6673.p1
OG0001277	XM_001588770.1.p1	lcl|LKCW01000055.1_cds_KPM42020.1_9891.p1
OG0001278	XM_001597610.1.p1	lcl|LKCW01000062.1_cds_KPM41597.1_10528.p1
OG0001279	XM_001591890.1.p1	lcl|LKCW01000228.1_cds_KPM35877.1_5336.p1
OG0001280	XM_001586262.1.p1	lcl|LKCW01000157.1_cds_KPM37685.1_2778.p1
OG0001281	XM_001584702.1.p1	lcl|LKCW01000034.1_cds_KPM43390.1_7770.p1
OG0001282	XM_001595958.1.p1	lcl|LKCW01000278.1_cds_KPM35063.1_6576.p1
OG0001283	XM_001590433.1.p1	lcl|LKCW01000162.1_cds_KPM37542.1_3004.p1
OG0001283	XM_001597865.1.p1	lcl|LKCW01000291.1_cds_KPM34895.1_6831.p1
OG0001284	XM_001596034.1.p1	lcl|LKCW01000046.1_cds_KPM42538.1_9174.p1
OG0001285	XM_001585904.1.p1	lcl|LKCW01000124.1_cds_KPM38785.1_1427.p1
OG0001286	XM_001585616.1.p1	lcl|LKCW01000009.1_cds_KPM45262.1_12212.p1, lcl|LKCW01000147.1_cds_KPM37997.1_2397.p1
OG0001287	XM_001586319.1.p1	lcl|LKCW01000088.1_cds_KPM40241.1_12143.p1
OG0001288	XM_001590210.1.p1	lcl|LKCW01000160.1_cds_KPM37601.1_2926.p1
OG0001289	XM_001586984.1.p1	lcl|LKCW01000013.1_cds_KPM44931.1_1649.p1, lcl|LKCW01000042.1_cds_KPM42813.1_8824.p1, lcl|LKCW01000013.1_cds_KPM44916.1_1684.p1, lcl|LKCW01000077.1_cds_KPM40754.1_11502.p1
OG0001290	XM_001588613.1.p1	lcl|LKCW01000034.1_cds_KPM43373.1_7747.p1
OG0001291	XM_001589450.1.p1	lcl|LKCW01000175.1_cds_KPM37140.1_3472.p1, lcl|LKCW01000010.1_cds_KPM45159.1_339.p1, lcl|LKCW01000082.1_cds_KPM40501.1_11846.p1
OG0001292	XM_001595039.1.p1	lcl|LKCW01000063.1_cds_KPM41544.1_10571.p1
OG0001293	XM_001592260.1.p1	lcl|LKCW01000014.1_cds_KPM44815.1_2168.p1
OG0001294	XM_001590764.1.p1	lcl|LKCW01000100.1_cds_KPM39705.1_364.p1
OG0001295	XM_001587939.1.p1	lcl|LKCW01000189.1_cds_KPM36808.1_3909.p1
OG0001296	XM_001585953.1.p1	lcl|LKCW01000098.1_cds_KPM39803.1_12629.p1
OG0001297	XM_001591937.1.p1	lcl|LKCW01000156.1_cds_KPM37713.1_2764.p1
OG0001298	XM_001595056.1.p1	lcl|LKCW01000392.1_cds_KPM34142.1_8424.p1
OG0001299	XM_001596175.1.p1	lcl|LKCW01000017.1_cds_KPM44641.1_3291.p1, lcl|LKCW01000106.1_cds_595.p1
OG0001300	XM_001586937.1.p1	lcl|LKCW01000074.1_cds_KPM40914.1_11343.p1
OG0001301	XM_001589470.1.p1	lcl|LKCW01000055.1_cds_KPM42065.1_9909.p1, lcl|LKCW01000197.1_cds_KPM36597.1_4190.p1
OG0001301	XM_001586397.1.p1	lcl|LKCW01000197.1_cds_KPM36598.1_4191.p1
OG0001302	XM_001593610.1.p1	lcl|LKCW01000223.1_cds_KPM36000.1_5226.p1
OG0001303	XM_001591817.1.p1	lcl|LKCW01000031.1_cds_KPM43546.1_7288.p1
OG0001304	XM_001591192.1.p1	lcl|LKCW01000186.1_cds_KPM36864.1_3834.p1
OG0001305	XM_001592167.1.p1	lcl|LKCW01000136.1_cds_KPM38355.1_1963.p1
OG0001306	XM_001592155.1.p1	lcl|LKCW01000176.1_cds_KPM37117.1_3498.p1
OG0001307	XM_001597316.1.p1	lcl|LKCW01000106.1_cds_KPM39484.1_572.p1
OG0001308	XM_001586167.1.p1	lcl|LKCW01000008.1_cds_KPM45410.1_11717.p1
OG0001309	XM_001594213.1.p1	lcl|LKCW01000106.1_cds_KPM39496.1_584.p1
OG0001310	XM_001594188.1.p1	lcl|LKCW01000059.1_cds_KPM41751.1_10204.p1
OG0001311	XM_001598187.1.p1	lcl|LKCW01000041.1_cds_KPM42882.1_8790.p1
OG0001312	XM_001587817.1.p1, XM_001593839.1.p1	lcl|LKCW01000124.1_cds_KPM38792.1_1423.p1
OG0001313	XM_001584723.1.p1	lcl|LKCW01000073.1_cds_KPM40959.1_11284.p1
OG0001314	XM_001587845.1.p1	lcl|LKCW01000089.1_cds_KPM40176.1_12167.p1
OG0001315	XM_001585518.1.p1	lcl|LKCW01000035.1_cds_KPM43273.1_7849.p1
OG0001316	XM_001596129.1.p1	lcl|LKCW01000073.1_cds_KPM40988.1_11294.p1, lcl|LKCW01000153.1_cds_KPM37790.1_2687.p1
OG0001317	XM_001587842.1.p1	lcl|LKCW01000089.1_cds_KPM40201.1_12176.p1
OG0001318	XM_001597396.1.p1	lcl|LKCW01000259.1_cds_KPM35321.1_6136.p1
OG0001319	XM_001591640.1.p1	lcl|LKCW01000063.1_cds_KPM41542.1_10565.p1
OG0001320	XM_001587379.1.p1	lcl|LKCW01000056.1_cds_KPM41965.1_9977.p1
