Orthogroup	Sclerotinia_sclerotiorum	Magnaporthe_oryzae
OG0001555	XM_001586815.1.p1	XM_003716318.1.p1
OG0001556	XM_001586958.1.p1, XM_001586840.1.p1	XM_003719999.1.p1
OG0001557	XM_001592869.1.p1, XM_001585301.1.p1	XM_003714359.1.p1
OG0001559	XM_001585171.1.p1	XM_003713139.1.p1, XM_003708944.1.p1
OG0001560	XM_001598769.1.p1	XM_003715494.1.p1
OG0001561	XM_001591650.1.p1, XM_001585689.1.p1	XM_003709859.1.p1
OG0001562	XM_001597634.1.p1, XM_001597635.1.p1	XM_003712886.1.p1
OG0001563	XM_001594729.1.p1, XM_001592643.1.p1	XM_003710990.1.p1
OG0001565	XM_001593835.1.p1, XM_001588682.1.p1	XM_003708814.1.p1
OG0001566	XM_001593580.1.p1	XM_003717787.1.p1
OG0001567	XM_001594103.1.p1	XM_003720878.1.p1
OG0001569	XM_001594034.1.p1	XM_003712220.1.p1
OG0001570	XM_001590027.1.p1	XM_003719754.1.p1
OG0001571	XM_001590010.1.p1	XM_003711388.1.p1
OG0001572	XM_001594231.1.p1, XM_001595219.1.p1	XM_003720413.1.p1
OG0001573	XM_001595166.1.p1	XM_003720517.1.p1
OG0001574	XM_001592743.1.p1	XM_003719766.1.p1, XM_003709355.1.p1
OG0001575	XM_001594992.1.p1	XM_003721120.1.p1
OG0001576	XM_001595848.1.p1	XM_003719032.1.p1, XM_003713940.1.p1
OG0001577	XM_001590576.1.p1	XM_003711909.1.p1
OG0001578	XM_001587283.1.p1	XM_003720560.1.p1, XM_003720559.1.p1
OG0001579	XM_001587327.1.p1	XM_003713876.1.p1
OG0001580	XM_001586680.1.p1, XM_001584591.1.p1	XM_003710456.1.p1
OG0001581	XM_001584615.1.p1, XM_001595458.1.p1	XM_003717865.1.p1
OG0001582	XM_001595451.1.p1	XM_003719767.1.p1
OG0001583	XM_001595417.1.p1	XM_003716850.1.p1
OG0001584	XM_001593378.1.p1	XM_003711794.1.p1
OG0001585	XM_001593415.1.p1	XM_003711366.1.p1
OG0001586	XM_001587817.1.p1, XM_001593839.1.p1	XM_003716273.1.p1, XM_003720837.1.p1
OG0001587	XM_001594448.1.p1	XM_003719036.1.p1
OG0001588	XM_001587842.1.p1	XM_003712126.1.p1
OG0001589	XM_001598740.1.p1	XM_003718177.1.p1
OG0001590	XM_001598839.1.p1, XM_001597134.1.p1	XM_003710075.1.p1
OG0001591	XM_001587402.1.p1	XM_003712700.1.p1
OG0001592	XM_001587456.1.p1	XM_003716084.1.p1
OG0001593	XM_001587490.1.p1	XM_003711006.1.p1, XM_003711007.1.p1
OG0001595	XM_001588619.1.p1	XM_003709276.1.p1
OG0001596	XM_001598836.1.p1	XM_003717923.1.p1
OG0001597	XM_001584821.1.p1	XM_003720720.1.p1
OG0001598	XM_001584877.1.p1	XM_003720680.1.p1
OG0001599	XM_001586277.1.p1	XM_003714175.1.p1
OG0001600	XM_001586244.1.p1	XM_003713482.1.p1
OG0001601	XM_001584602.1.p1	XM_003717694.1.p1, XM_003717861.1.p1
OG0001602	XM_001591197.1.p1	XM_003709836.1.p1
OG0001603	XM_001591201.1.p1	XM_003713375.1.p1
OG0001604	XM_001588929.1.p1	XM_003712310.1.p1
OG0001605	XM_001588928.1.p1	XM_003712249.1.p1
OG0001606	XM_001597458.1.p1	XM_003713365.1.p1
OG0001607	XM_001590855.1.p1	XM_003712568.1.p1
OG0001608	XM_001589360.1.p1	XM_003711325.1.p1
OG0001609	XM_001589352.1.p1	XM_003709976.1.p1
OG0001611	XM_001586739.1.p1	XM_003717989.1.p1
OG0001612	XM_001586639.1.p1	XM_003717978.1.p1
OG0001613	XM_001588098.1.p1	XM_003710932.1.p1
OG0001614	XM_001588099.1.p1	XM_003718176.1.p1
OG0001615	XM_001595580.1.p1	XM_003711367.1.p1
OG0001616	XM_001595591.1.p1	XM_003710804.1.p1
OG0001617	XM_001593852.1.p1	XM_003712152.1.p1
OG0001618	XM_001593864.1.p1	XM_003714751.1.p1
OG0001619	XM_001593868.1.p1	XM_003716716.1.p1
OG0001620	XM_001593890.1.p1	XM_003711511.1.p1
OG0001622	XM_001585343.1.p1, XM_001593969.1.p1	XM_003712153.1.p1
OG0001623	XM_001593624.1.p1	XM_003708939.1.p1, XM_003708879.1.p1
OG0001624	XM_001595088.1.p1	XM_003713890.1.p1
OG0001625	XM_001585466.1.p1	XM_003717000.1.p1
OG0001626	XM_001585532.1.p1	XM_003709720.1.p1
OG0001627	XM_001585701.1.p1	XM_003710939.1.p1
OG0001628	XM_001589702.1.p1, XM_001585741.1.p1	XM_003711873.1.p1
OG0001629	XM_001598499.1.p1	XM_003717216.1.p1
OG0001630	XM_001588454.1.p1	XM_003715626.1.p1, XM_003716634.1.p1
OG0001631	XM_001598466.1.p1	XM_003711023.1.p1
OG0001632	XM_001598458.1.p1	XM_003717274.1.p2
OG0001633	XM_001596820.1.p1	XM_003718677.1.p1
OG0001634	XM_001595897.1.p1	XM_003712418.1.p1, XM_003712410.1.p1
OG0001635	XM_001598035.1.p1	XM_003714153.1.p1
OG0001636	XM_001597962.1.p1	XM_003717123.1.p1
OG0001637	XM_001585829.1.p1	XM_003713999.1.p1
OG0001638	XM_001585952.1.p1	XM_003719051.1.p1
OG0001639	XM_001592025.1.p1	XM_003710302.1.p1
OG0001640	XM_001591995.1.p1, XM_001586764.1.p1	XM_003718064.1.p1
OG0001641	XM_001597438.1.p1	XM_003712303.1.p1, XM_003712304.1.p1
OG0001642	XM_001597258.1.p1	XM_003719709.1.p1
OG0001643	XM_001597283.1.p1	XM_003710055.1.p1, XM_003710056.1.p1
OG0001644	XM_001587985.1.p1	XM_003713192.1.p1
OG0001645	XM_001596610.1.p1	XM_003712615.1.p1
OG0001646	XM_001596622.1.p1	XM_003717532.1.p1
OG0001647	XM_001596566.1.p1	XM_003709991.1.p1
OG0001648	XM_001589763.1.p1	XM_003714184.1.p1
OG0001649	XM_001596252.1.p1	XM_003718843.1.p1, XM_003709649.1.p2
OG0001650	XM_001596199.1.p1	XM_003709127.1.p1
OG0001651	XM_001596168.1.p1	XM_003709242.1.p1
OG0001652	XM_001594674.1.p1	XM_003714957.1.p1
OG0001653	XM_001586167.1.p1	XM_003719027.1.p1
OG0001654	XM_001586207.1.p1	XM_003718351.1.p1
OG0001655	XM_001596995.1.p1	XM_003715401.1.p1, XM_003713972.1.p1
OG0001656	XM_001592521.1.p1	XM_003718775.1.p1
OG0001657	XM_001597336.1.p1	XM_003713559.1.p1
OG0001658	XM_001592238.1.p1	XM_003712541.1.p1
OG0001659	XM_001586609.1.p1	XM_003710264.1.p1
OG0001660	XM_001595935.1.p1	XM_003717006.1.p1
OG0001661	XM_001595936.1.p1	XM_003717008.1.p1
OG0001662	XM_001597504.1.p1	XM_003721297.1.p1
OG0001664	XM_001586491.1.p1	XM_003712816.1.p1
OG0001665	XM_001586500.1.p1	XM_003709789.1.p1
OG0001666	XM_001586512.1.p1	XM_003712836.1.p1
OG0001667	XM_001586514.1.p1	XM_003712447.1.p1
OG0001668	XM_001588256.1.p1	XM_003716692.1.p1
OG0001669	XM_001588279.1.p1	XM_003717884.1.p1
OG0001670	XM_001588290.1.p1	XM_003715160.1.p1
OG0001672	XM_001588307.1.p1	XM_003715007.1.p1
OG0001673	XM_001588334.1.p1	XM_003709431.1.p1
OG0001674	XM_001588389.1.p1	XM_003716791.1.p1
OG0001675	XM_001588390.1.p1	XM_003709142.1.p1
OG0001676	XM_001588403.1.p1	XM_003717588.1.p1
OG0001677	XM_001595491.1.p1	XM_003717993.1.p1
OG0001678	XM_001590558.1.p1	XM_003718781.1.p1
OG0001679	XM_001590666.1.p1	XM_003713506.1.p1
OG0001680	XM_001590816.1.p1	XM_003715262.1.p1
OG0001681	XM_001591018.1.p1	XM_003713812.1.p1
OG0001682	XM_001591002.1.p1	XM_003715509.1.p1
OG0001683	XM_001590966.1.p1	XM_003717176.1.p1
OG0001684	XM_001590908.1.p1	XM_003714809.1.p1
OG0001685	XM_001596947.1.p1	XM_003712642.1.p1
OG0001686	XM_001596948.1.p1	XM_003712641.1.p1
OG0001687	XM_001596951.1.p1	XM_003712175.1.p1, XM_003710175.1.p1
OG0001688	XM_001592459.1.p1	XM_003710496.1.p1
OG0001689	XM_001592403.1.p1	XM_003713853.1.p1
OG0001690	XM_001592361.1.p1	XM_003709229.1.p1
OG0001691	XM_001597742.1.p1	XM_003716679.1.p1
OG0001692	XM_001597746.1.p1	XM_003720892.1.p1
OG0001693	XM_001597772.1.p1	XM_003715106.1.p1
OG0001694	XM_001589187.1.p1	XM_003718903.1.p1
OG0001695	XM_001589202.1.p1	XM_003709937.1.p1
OG0001697	XM_001588943.1.p1	XM_003717155.1.p1
OG0001698	XM_001597387.1.p1, XM_001598671.1.p1	XM_003710463.1.p1, XM_003710464.1.p1
OG0001699	XM_001597367.1.p1	XM_003709665.1.p1
OG0001700	XM_001597018.1.p1	XM_003720235.1.p1, XM_003716053.1.p1
OG0001701	XM_001597620.1.p1	XM_003716047.1.p1
OG0001702	XM_001597600.1.p1	XM_003713657.1.p1
OG0001703	XM_001597579.1.p1	XM_003712164.1.p1
OG0001704	XM_001597547.1.p1	XM_003715513.1.p1
OG0001705	XM_001597517.1.p1	XM_003716785.1.p1
OG0001706	XM_001596692.1.p1	XM_003710653.1.p1
OG0001707	XM_001596664.1.p1	XM_003714399.1.p1
OG0001708	XM_001584647.1.p1	XM_003708811.1.p1
OG0001709	XM_001589535.1.p1	XM_003716083.1.p1
OG0001710	XM_001589622.1.p1	XM_003720986.1.p1
OG0001711	XM_001596498.1.p1	XM_003720449.1.p1
OG0001712	XM_001598414.1.p1	XM_003711289.1.p1
OG0001713	XM_001598396.1.p1	XM_003713627.1.p1
OG0001715	XM_001598606.1.p1	XM_003714025.1.p2, XM_003710440.1.p1
OG0001716	XM_001598670.1.p1	XM_003709311.1.p1
OG0001717	XM_001589064.1.p1	XM_003713625.1.p1
OG0001718	XM_001593298.1.p1	XM_003716211.1.p1
OG0001719	XM_001593313.1.p1	XM_003713300.1.p1
OG0001720	XM_001587107.1.p1	XM_003709643.1.p1
OG0001721	XM_001587146.1.p1	XM_003709332.1.p1, XM_003709333.1.p1
OG0001722	XM_001594101.1.p1	XM_003717510.1.p1
OG0001723	XM_001587218.1.p1	XM_003719548.1.p1
OG0001724	XM_001593199.1.p1, XM_001591049.1.p1	XM_003714410.1.p1
OG0001725	XM_001593175.1.p1	XM_003713914.1.p1
OG0001726	XM_001593169.1.p1	XM_003713845.1.p1
OG0001727	XM_001593130.1.p1	XM_003719866.1.p1
OG0001728	XM_001593122.1.p1	XM_003709646.1.p1
OG0001731	XM_001593045.1.p1	XM_003713967.1.p1
OG0001732	XM_001593038.1.p1	XM_003714097.1.p1
OG0001733	XM_001593034.1.p1, XM_001596869.1.p1	XM_003718921.1.p1
OG0001734	XM_001592867.1.p1	XM_003719523.1.p1
OG0001735	XM_001589417.1.p1	XM_003712950.1.p1
OG0001736	XM_001596364.1.p1	XM_003715043.1.p1
OG0001737	XM_001598307.1.p1	XM_003719898.1.p1
OG0001738	XM_001594266.1.p1	XM_003715651.1.p1, XM_003716464.1.p1, XM_003715620.1.p1, XM_003715630.1.p1
OG0001739	XM_001598170.1.p1	XM_003713734.1.p1
OG0001740	XM_001598116.1.p1	XM_003717145.1.p1
OG0001741	XM_001598086.1.p1	XM_003709630.1.p1
OG0001742	XM_001594867.1.p1	XM_003708876.1.p1, XM_003718380.1.p1
OG0001743	XM_001594857.1.p1	XM_003716247.1.p1
OG0001744	XM_001594858.1.p1	XM_003716250.1.p1
OG0001745	XM_001594763.1.p1	XM_003718621.1.p1
OG0001746	XM_001594188.1.p1	XM_003718940.1.p1
OG0001747	XM_001594193.1.p1	XM_003718946.1.p1
OG0001748	XM_001586061.1.p1	XM_003718491.1.p1
OG0001749	XM_001586065.1.p1	XM_003710839.1.p1
OG0001750	XM_001594666.1.p1	XM_003710014.1.p1
OG0001751	XM_001594579.1.p1	XM_003713468.1.p1, XM_003713467.1.p1
OG0001752	XM_001594578.1.p1, XM_001591341.1.p1	XM_003713459.1.p1
OG0001753	XM_001594548.1.p1	XM_003714513.1.p1
OG0001754	XM_001585963.1.p1, XM_001585964.1.p1	XM_003715454.1.p1
OG0001755	XM_001585949.1.p1	XM_003711962.1.p1
OG0001756	XM_001585907.1.p1	XM_003711970.1.p1
OG0001757	XM_001585900.1.p1	XM_003719598.1.p1
OG0001758	XM_001586006.1.p1	XM_003714022.1.p1
OG0001759	XM_001586026.1.p1	XM_003720968.1.p1
OG0001760	XM_001586030.1.p1	XM_003720965.1.p1
OG0001762	XM_001594163.1.p1	XM_003720711.1.p2
OG0001763	XM_001594228.1.p1	XM_003711424.1.p1
OG0001764	XM_001589226.1.p1	XM_003713067.1.p1
OG0001764	XM_001594283.1.p1	XM_003718460.1.p1
OG0001765	XM_001594293.1.p1	XM_003710413.1.p1
OG0001766	XM_001594478.1.p1	XM_003718254.1.p1
OG0001767	XM_001594598.1.p1	XM_003713512.1.p1
OG0001768	XM_001594600.1.p1	XM_003710966.1.p1
OG0001771	XM_001594650.1.p1	XM_003716577.1.p1
OG0001772	XM_001590240.1.p1	XM_003720896.1.p1
OG0001773	XM_001594204.1.p1	XM_003718402.1.p1
OG0001775	XM_001594792.1.p1	XM_003716418.1.p1, XM_003718727.1.p1, XM_003710324.1.p1
OG0001776	XM_001594818.1.p1	XM_003712614.1.p1
OG0001777	XM_001594850.1.p1	XM_003713589.1.p1
OG0001778	XM_001594829.1.p1	XM_003710022.1.p1
OG0001779	XM_001586247.1.p1	XM_003712919.1.p1
OG0001781	XM_001586224.1.p1	XM_003712866.1.p1
OG0001782	XM_001586211.1.p1	XM_003712921.1.p1
OG0001784	XM_001595495.1.p1, XM_001589399.1.p1, XM_001586177.1.p1	XM_003713549.1.p1
OG0001785	XM_001586135.1.p1	XM_003710399.1.p1, XM_003710398.1.p1
OG0001786	XM_001586122.1.p1	XM_003718327.1.p1
OG0001787	XM_001586077.1.p1	XM_003708666.1.p1
OG0001788	XM_001594695.1.p1	XM_003715707.1.p1, XM_003716141.1.p1
OG0001789	XM_001586316.1.p1	XM_003710431.1.p1
OG0001790	XM_001586318.1.p1	XM_003710436.1.p1
OG0001791	XM_001586319.1.p1	XM_003710437.1.p1
OG0001792	XM_001597249.1.p1	XM_003713976.1.p1, XM_003715795.1.p1
OG0001793	XM_001597286.1.p1	XM_003711409.1.p1
OG0001794	XM_001585231.1.p1, XM_001585347.1.p1	XM_016990543.1.p1
OG0001795	XM_001592168.1.p1	XM_003719785.1.p1
OG0001796	XM_001597528.1.p1	XM_003715514.1.p1
OG0001797	XM_001595386.1.p1, XM_001597540.1.p1	XM_003713790.1.p1
OG0001798	XM_001597598.1.p1	XM_003718472.1.p2
OG0001799	XM_001597402.1.p1	XM_003709671.1.p1
OG0001800	XM_001597481.1.p1	XM_003718680.1.p1
OG0001801	XM_001597471.1.p1	XM_003710871.1.p1
OG0001802	XM_001597197.1.p1	XM_003718479.1.p1
OG0001803	XM_001587887.1.p1	XM_003716929.1.p1
OG0001805	XM_001587865.1.p1	XM_003716927.1.p1
OG0001806	XM_001587857.1.p1	XM_003716919.1.p1
OG0001807	XM_001587711.1.p1	XM_003716289.1.p1
OG0001808	XM_001587667.1.p1	XM_003716798.1.p1
OG0001809	XM_001586943.1.p1	XM_003718060.1.p1
OG0001810	XM_001586783.1.p1	XM_003712131.1.p1
OG0001811	XM_001588843.1.p1	XM_003716457.1.p1, XM_003716462.1.p1, XM_003720184.1.p1
OG0001812	XM_001586665.1.p1	XM_003718082.1.p1
OG0001813	XM_001586660.1.p1	XM_003718078.1.p1
OG0001814	XM_001598690.1.p1	XM_003716625.1.p1
OG0001815	XM_001598656.1.p1	XM_003709105.1.p1
OG0001816	XM_001598393.1.p1	XM_003715052.1.p1
OG0001817	XM_001598420.1.p1	XM_003717107.1.p1
OG0001818	XM_001598452.1.p1	XM_003717099.1.p1
OG0001819	XM_001598467.1.p1	XM_003717195.1.p1
OG0001820	XM_001598490.1.p1	XM_003712288.1.p1
OG0001821	XM_001598504.1.p1	XM_003712470.1.p1
OG0001822	XM_001598534.1.p1	XM_003719814.1.p1
OG0001823	XM_001598306.1.p1	XM_003719897.1.p1
OG0001824	XM_001593577.1.p1, XM_001598241.1.p1	XM_003720898.1.p1
OG0001825	XM_001598154.1.p1	XM_003715072.1.p1
OG0001826	XM_001598076.1.p1	XM_003712324.1.p1
OG0001827	XM_001598015.1.p1	XM_003713843.1.p1
OG0001828	XM_001598001.1.p1	XM_003714181.1.p1
OG0001829	XM_001597955.1.p1	XM_003712802.1.p1
OG0001830	XM_001597951.1.p1	XM_003712804.1.p1
OG0001831	XM_001597944.1.p1	XM_003712801.1.p1
OG0001832	XM_001597917.1.p1	XM_003715084.1.p1
OG0001833	XM_001597883.1.p1	XM_003713825.1.p1
OG0001834	XM_001585799.1.p1	XM_003714502.1.p1
OG0001835	XM_001585772.1.p1	XM_003714670.1.p1
OG0001838	XM_001585722.1.p1	XM_003710509.1.p1
OG0001839	XM_001585695.1.p1	XM_003712889.1.p1
OG0001840	XM_001585693.1.p1, XM_001585692.1.p1	XM_003712896.1.p1
OG0001841	XM_001585644.1.p1	XM_003709631.1.p1
OG0001842	XM_001590383.1.p1	XM_003718276.1.p1
OG0001844	XM_001588088.1.p1	XM_003710905.1.p1
OG0001845	XM_001588083.1.p1	XM_003717945.1.p1
OG0001846	XM_001588052.1.p1	XM_003717959.1.p1
OG0001847	XM_001595816.1.p1	XM_003717555.1.p1
OG0001848	XM_001595679.1.p1	XM_003715004.1.p1
OG0001849	XM_001595660.1.p1	XM_003711746.1.p1
OG0001850	XM_001595641.1.p1	XM_003710678.1.p1
OG0001851	XM_001584560.1.p1, XM_001585804.1.p1, XM_001595582.1.p1	XM_003719367.1.p2, XM_003715664.1.p1
OG0001852	XM_001595612.1.p1	XM_003709685.1.p1
OG0001853	XM_001588186.1.p1	XM_003716681.1.p1, XM_003720149.1.p1
OG0001854	XM_001588207.1.p1	XM_003716640.1.p1
OG0001855	XM_001588257.1.p1	XM_003715298.1.p1
OG0001856	XM_001592684.1.p1	XM_003716108.1.p1
OG0001857	XM_001592691.1.p1	XM_003718204.1.p1
OG0001858	XM_001592750.1.p1	XM_003717610.1.p1
OG0001859	XM_001593010.1.p1	XM_003717087.1.p1
OG0001860	XM_001592941.1.p1	XM_003709568.1.p1
OG0001860	XM_001593643.1.p1	XM_003721177.1.p1
OG0001861	XM_001592829.1.p1	XM_003709999.1.p1, XM_003716159.1.p1
OG0001862	XM_001592902.1.p1	XM_003717449.1.p1
OG0001863	XM_001592800.1.p1	XM_003716215.1.p1
OG0001864	XM_001592765.1.p1	XM_003709293.1.p1, XM_003709294.1.p1
OG0001865	XM_001593109.1.p1	XM_003709640.1.p1
OG0001867	XM_001593156.1.p1	XM_003714051.1.p1, XM_003714052.1.p1
OG0001868	XM_001593176.1.p1, XM_001593177.1.p1	XM_003716494.1.p1
OG0001870	XM_001593245.1.p1	XM_003716228.1.p1
OG0001871	XM_001587124.1.p1	XM_003709180.1.p1
OG0001872	XM_001587116.1.p1	XM_003719869.1.p1
OG0001874	XM_001587071.1.p1	XM_003712851.1.p1
OG0001875	XM_001587013.1.p1	XM_003709508.1.p1
OG0001876	XM_001589457.1.p1	XM_003718924.1.p1
OG0001877	XM_001596386.1.p1	XM_003709812.1.p1
OG0001879	XM_001596262.1.p1	XM_003713848.1.p1
OG0001880	XM_001589662.1.p1	XM_003720810.1.p1
OG0001881	XM_001596615.1.p1	XM_003713699.1.p1
OG0001882	XM_001596408.1.p1	XM_003710680.1.p1
OG0001883	XM_001596492.1.p1	XM_003717547.1.p1
OG0001884	XM_001596493.1.p1	XM_003720451.1.p1
OG0001885	XM_001596497.1.p1	XM_003720448.1.p1
OG0001886	XM_001589561.1.p1	XM_003720755.1.p1
OG0001887	XM_001591726.1.p1, XM_001589602.1.p1	XM_003709056.1.p1, XM_003719457.1.p1
OG0001888	XM_001589618.1.p1	XM_003711839.1.p1
OG0001889	XM_001596529.1.p1	XM_003714376.1.p1
OG0001890	XM_001596697.1.p1	XM_003710628.1.p1
OG0001891	XM_001596732.1.p1	XM_003714469.1.p1
OG0001892	XM_001596721.1.p1	XM_003713351.1.p1
OG0001893	XM_001596723.1.p1	XM_003713350.1.p1
OG0001894	XM_001587963.1.p1	XM_003711339.1.p1
OG0001896	XM_001587936.1.p1, XM_001587935.1.p1	XM_003717132.1.p1
OG0001897	XM_001597642.1.p1	XM_003711871.1.p1
OG0001898	XM_001597099.1.p1	XM_003714689.1.p1
OG0001899	XM_001597808.1.p1	XM_003717225.1.p1, XM_003714735.1.p1, XM_003718996.1.p1
OG0001900	XM_001589203.1.p1	XM_003709938.1.p1
OG0001901	XM_001597762.1.p1	XM_003715100.1.p1
OG0001903	XM_001597660.1.p1	XM_003719658.1.p1
OG0001904	XM_001589289.1.p1	XM_003719582.1.p1
OG0001905	XM_001589324.1.p1	XM_003709956.1.p1
OG0001906	XM_001589014.1.p1	XM_003717248.1.p1
OG0001907	XM_001589024.1.p1	XM_003718957.1.p1
OG0001909	XM_001589055.1.p1	XM_003714728.1.p1
OG0001910	XM_001589099.1.p1, XM_001590830.1.p1	XM_003720834.1.p1
OG0001911	XM_001586559.1.p1	XM_003709418.1.p1
OG0001912	XM_001595419.1.p1	XM_003716851.1.p1
OG0001913	XM_001595429.1.p1	XM_003719178.1.p1
OG0001914	XM_001595383.1.p1	XM_003720857.1.p1
OG0001915	XM_001595347.1.p1	XM_003712699.1.p1
OG0001916	XM_001595343.1.p1	XM_003712698.1.p1
OG0001917	XM_001595279.1.p1	XM_003721183.1.p1
OG0001918	XM_001595237.1.p1, XM_001595236.1.p1	XM_003712772.1.p1
OG0001919	XM_001595234.1.p1	XM_003717918.1.p1
OG0001920	XM_001595175.1.p1	XM_003720537.1.p1
OG0001921	XM_001595155.1.p1	XM_003720983.1.p1
OG0001922	XM_001590565.1.p1	XM_003713783.1.p1
OG0001923	XM_001595110.1.p1	XM_003719794.1.p1
OG0001924	XM_001595024.1.p1	XM_003720744.1.p1
OG0001925	XM_001594986.1.p1	XM_003712774.1.p1
OG0001926	XM_001594988.1.p1	XM_003712764.1.p1, XM_003712763.1.p1
OG0001927	XM_001587320.1.p1	XM_003717115.1.p1
OG0001928	XM_001587346.1.p1	XM_003712692.1.p1
OG0001929	XM_001587376.1.p1	XM_003720454.1.p1
OG0001930	XM_001587393.1.p1	XM_003713888.1.p1
OG0001931	XM_001587568.1.p1	XM_003712520.1.p1
OG0001932	XM_001587595.1.p1	XM_003711678.1.p1
OG0001933	XM_001587632.1.p1	XM_003715190.1.p1
OG0001934	XM_001593698.1.p1	XM_003713256.1.p1, XM_003712052.1.p1, XM_003720686.1.p1
OG0001936	XM_001593877.1.p1	XM_003716715.1.p1
OG0001937	XM_001593759.1.p1	XM_003717466.1.p1, XM_003720251.1.p1, XM_003711784.1.p1
OG0001938	XM_001593789.1.p1	XM_003720884.1.p1
OG0001940	XM_001593822.1.p1	XM_003713582.1.p1
OG0001941	XM_001593823.1.p1	XM_003709041.1.p1
OG0001941	XM_001592770.1.p1	XM_003710562.1.p1
OG0001942	XM_001593947.1.p1	XM_003721000.1.p1
OG0001943	XM_001593574.1.p1	XM_003721064.1.p1
OG0001944	XM_001593609.1.p1	XM_003715027.1.p1
OG0001945	XM_001594108.1.p1	XM_003720925.1.p1
OG0001946	XM_001594109.1.p1	XM_003720931.1.p2
OG0001947	XM_001591693.1.p1	XM_003713739.1.p1
OG0001948	XM_001591890.1.p1	XM_003709409.1.p1
OG0001949	XM_001591893.1.p1	XM_003709408.1.p1
OG0001951	XM_001586580.1.p1	XM_003710545.1.p1, XM_003710546.1.p1
OG0001952	XM_001591514.1.p1	XM_003709785.1.p1
OG0001953	XM_001591512.1.p1	XM_003709780.1.p1
OG0001954	XM_001586501.1.p1	XM_003717224.1.p1
OG0001955	XM_001595409.1.p1	XM_003712848.1.p1, XM_003715712.1.p1
OG0001956	XM_001592591.1.p1	XM_003709240.1.p1
OG0001957	XM_001592587.1.p1, XM_001592585.1.p1	XM_003718722.1.p1
OG0001958	XM_001592582.1.p1	XM_003718592.1.p1
OG0001959	XM_001592583.1.p1	XM_003710800.1.p1
OG0001960	XM_001597017.1.p1	XM_003720796.1.p1, XM_003711709.1.p1
OG0001961	XM_001596978.1.p1	XM_003709497.1.p1
OG0001962	XM_001592523.1.p1, XM_001596247.1.p1	XM_003721242.1.p1, XM_003717422.1.p1, XM_003710394.1.p1
OG0001963	XM_001592548.1.p1	XM_003713438.1.p1
OG0001964	XM_001594016.1.p1, XM_001592558.1.p1	XM_003720079.1.p1
OG0001965	XM_001592314.1.p1	XM_003710180.1.p1
OG0001966	XM_001592365.1.p1	XM_003709230.1.p1
OG0001967	XM_001592410.1.p1	XM_003710564.1.p1
OG0001968	XM_001592421.1.p1	XM_003710480.1.p1, XM_003710481.1.p1
OG0001969	XM_001596955.1.p1	XM_003714108.1.p1
OG0001971	XM_001590420.1.p1	XM_003718552.1.p1
OG0001972	XM_001590468.1.p1	XM_003714307.1.p1
OG0001973	XM_001590469.1.p1	XM_003714306.1.p1
OG0001974	XM_001590454.1.p1	XM_003719622.1.p1
OG0001975	XM_001590507.1.p1	XM_003719602.1.p1
OG0001976	XM_001590532.1.p1	XM_003719597.1.p1
OG0001977	XM_001590557.1.p1	XM_003714867.1.p1
OG0001978	XM_001590633.1.p1	XM_003716496.1.p1
OG0001979	XM_001590641.1.p1	XM_003720196.1.p1
OG0001980	XM_001590691.1.p1	XM_003715225.1.p1
OG0001981	XM_001590809.1.p1	XM_003715257.1.p1
OG0001982	XM_001590827.1.p1	XM_003716898.1.p1, XM_016990478.1.p1
OG0001983	XM_001590577.1.p1	XM_003714629.1.p1
OG0001984	XM_001590590.1.p1	XM_003719643.1.p1
OG0001985	XM_001590715.1.p1	XM_003711926.1.p1
OG0001986	XM_001590718.1.p1	XM_003711929.1.p1, XM_003711928.1.p1
OG0001987	XM_001590725.1.p1	XM_003714818.1.p1
OG0001988	XM_001596553.1.p1	XM_003720955.1.p1
OG0001989	XM_001590857.1.p1	XM_003719346.1.p1
OG0001990	XM_001585196.1.p1	XM_003720373.1.p1
OG0001991	XM_001584964.1.p1	XM_003712081.1.p1
OG0001992	XM_001585181.1.p1	XM_003711984.1.p1
OG0001993	XM_001585166.1.p1	XM_003721073.1.p1, XM_003719348.1.p1
OG0001994	XM_001585130.1.p1	XM_003714466.1.p1
OG0001995	XM_001585424.1.p1	XM_003717156.1.p1
OG0001996	XM_001585392.1.p1	XM_003717051.1.p1
OG0001997	XM_001585390.1.p1	XM_003717220.1.p1
OG0001998	XM_001585382.1.p1	XM_003715643.1.p1
OG0001999	XM_001595999.1.p1	XM_003709261.1.p1
OG0002000	XM_001595992.1.p1	XM_003717820.1.p1
OG0002001	XM_001595956.1.p1	XM_003718116.1.p1
OG0002002	XM_001595951.1.p1	XM_003720005.1.p1
OG0002003	XM_001595937.1.p1	XM_003709367.1.p1
OG0002004	XM_001595902.1.p1, XM_001591300.1.p1	XM_003718028.1.p1
OG0002005	XM_001596197.1.p1	XM_003718442.1.p1
OG0002006	XM_001589814.1.p1	XM_003716810.1.p1
OG0002007	XM_001589832.1.p1	XM_003717715.1.p1, XM_003717716.1.p1
OG0002008	XM_001585602.1.p1	XM_003717759.1.p1
OG0002009	XM_001585463.1.p1	XM_003711612.1.p1
OG0002010	XM_001585448.1.p1	XM_003715724.1.p1, XM_003719940.1.p1
OG0002011	XM_001598924.1.p1	XM_003715852.1.p1
OG0002012	XM_001598889.1.p1	XM_003716447.1.p1, XM_003720440.1.p1
