Orthogroup	Sclerotinia_sclerotiorum	Fusarium_graminearum
OG0001715	XM_001598606.1.p1	XM_011326246.1.p1, XM_011323712.1.p1, XM_011326684.1.p1
OG0001716	XM_001598670.1.p1	XM_011326340.1.p1
OG0001717	XM_001589064.1.p1	XM_011327398.1.p1
OG0001718	XM_001593298.1.p1	XM_011330131.1.p1
OG0001719	XM_001593313.1.p1	XM_011318186.1.p1, XM_011318187.1.p1
OG0001720	XM_001587107.1.p1	XM_011326216.1.p1
OG0001721	XM_001587146.1.p1	XM_011327254.1.p1
OG0001722	XM_001594101.1.p1	XM_011324610.1.p1, XM_011327401.1.p1, XM_011323927.1.p1, XM_011327585.1.p1
OG0001723	XM_001587218.1.p1	XM_011330084.1.p1
OG0001724	XM_001593199.1.p1, XM_001591049.1.p1	XM_011326574.1.p1
OG0001725	XM_001593175.1.p1	XM_011327355.1.p1
OG0001726	XM_001593169.1.p1	XM_011317638.1.p1
OG0001727	XM_001593130.1.p1	XM_011317644.1.p1
OG0001728	XM_001593122.1.p1	XM_011326207.1.p1
OG0001730	XM_001586312.1.p1	XM_011318396.1.p1
OG0001731	XM_001593045.1.p1	XM_011330281.1.p1
OG0001732	XM_001593038.1.p1	XM_011318311.1.p1
OG0001733	XM_001593034.1.p1, XM_001596869.1.p1	XM_011322313.1.p1
OG0001734	XM_001592867.1.p1	XM_011318227.1.p1
OG0001735	XM_001589417.1.p1	XM_011323493.1.p1, XM_011323488.1.p1, XM_011323492.1.p1, XM_011325978.1.p1
OG0001736	XM_001596364.1.p1	XM_011328958.1.p1
OG0001737	XM_001598307.1.p1	XM_011325366.1.p1
OG0001738	XM_001594266.1.p1	XM_011321137.1.p1
OG0001739	XM_001598170.1.p1	XM_011323068.1.p1, XM_011320137.1.p1
OG0001740	XM_001598116.1.p1	XM_011325798.1.p1
OG0001741	XM_001598086.1.p1	XM_011328865.1.p1
OG0001742	XM_001594867.1.p1	XM_011325032.1.p1, XM_011327503.1.p1, XM_011329893.1.p1
OG0001743	XM_001594857.1.p1	XM_011327849.1.p1, XM_011325103.1.p1
OG0001744	XM_001594858.1.p1	XM_011330313.1.p1
OG0001745	XM_001594763.1.p1	XM_011322336.1.p1
OG0001746	XM_001594188.1.p1	XM_011328475.1.p1
OG0001747	XM_001594193.1.p1	XM_011328474.1.p1
OG0001748	XM_001586061.1.p1	XM_011318507.1.p1
OG0001749	XM_001586065.1.p1	XM_011317780.1.p1
OG0001750	XM_001594666.1.p1	XM_011318560.1.p2
OG0001751	XM_001594579.1.p1	XM_011318563.1.p1
OG0001752	XM_001594578.1.p1, XM_001591341.1.p1	XM_011318683.1.p1
OG0001753	XM_001594548.1.p1	XM_011328201.1.p1
OG0001754	XM_001585963.1.p1, XM_001585964.1.p1	XM_011330050.1.p1
OG0001755	XM_001585949.1.p1	XM_011326557.1.p1
OG0001756	XM_001585907.1.p1	XM_011325507.1.p1
OG0001757	XM_001585900.1.p1	XM_011328863.1.p1
OG0001758	XM_001586006.1.p1	XM_011318085.1.p1
OG0001759	XM_001586026.1.p1	XM_011321548.1.p1
OG0001760	XM_001586030.1.p1	XM_011321534.1.p1
OG0001762	XM_001594163.1.p1	XM_011321461.1.p1
OG0001763	XM_001594228.1.p1	XM_011327414.1.p1, XM_011323286.1.p1, XM_011327155.1.p1
OG0001764	XM_001594283.1.p1	XM_011318556.1.p1
OG0001765	XM_001594293.1.p1	XM_011322384.1.p1
OG0001766	XM_001594478.1.p1	XM_011329026.1.p1
OG0001767	XM_001594598.1.p1	XM_011318558.1.p1
OG0001768	XM_001594600.1.p1	XM_011328191.1.p1
OG0001771	XM_001594650.1.p1	XM_011327418.1.p1, XM_011321431.1.p1, XM_011324002.1.p1, XM_011325954.1.p1
OG0001772	XM_001595298.1.p1, XM_001594217.1.p1	XM_011327751.1.p1
OG0001772	XM_001590240.1.p1	XM_011319828.1.p1
OG0001773	XM_001594204.1.p1	XM_011325562.1.p1
OG0001775	XM_001594792.1.p1	XM_011319793.1.p1
OG0001776	XM_001594818.1.p1	XM_011318829.1.p1
OG0001777	XM_001594850.1.p1	XM_011329148.1.p1, XM_011317632.1.p1
OG0001778	XM_001594829.1.p1	XM_011318749.1.p1
OG0001779	XM_001586247.1.p1	XM_011318540.1.p1
OG0001781	XM_001586224.1.p1	XM_011318543.1.p1
OG0001782	XM_001586211.1.p1	XM_011328473.1.p1
OG0001783	XM_001593945.1.p1	XM_011321031.1.p1
OG0001784	XM_001595495.1.p1, XM_001589399.1.p1, XM_001586177.1.p1	XM_011318429.1.p1
OG0001785	XM_001586135.1.p1	XM_011325206.1.p1
OG0001786	XM_001586122.1.p1	XM_011330195.1.p1
OG0001787	XM_001586077.1.p1	XM_011326068.1.p1
OG0001788	XM_001594695.1.p1	XM_011330042.1.p1
OG0001789	XM_001586316.1.p1	XM_011322162.1.p1
OG0001790	XM_001586318.1.p1	XM_011322379.1.p1
OG0001791	XM_001586319.1.p1	XM_011322380.1.p1
OG0001792	XM_001597249.1.p1	XM_011322539.1.p1
OG0001793	XM_001597286.1.p1	XM_011326467.1.p1
OG0001795	XM_001592168.1.p1	XM_011328877.1.p1
OG0001796	XM_001597528.1.p1	XM_011328145.1.p1
OG0001797	XM_001595386.1.p1, XM_001597540.1.p1	XM_011327989.1.p1
OG0001798	XM_001597598.1.p1	XM_011317974.1.p1
OG0001799	XM_001597402.1.p1	XM_011327219.1.p1
OG0001800	XM_001597481.1.p1	XM_011317707.1.p1
OG0001801	XM_001597471.1.p1	XM_011318732.1.p1
OG0001802	XM_001597197.1.p1	XM_011325853.1.p1
OG0001803	XM_001587887.1.p1	XM_011327298.1.p1
OG0001805	XM_001587865.1.p1	XM_011327304.1.p1
OG0001806	XM_001587857.1.p1	XM_011327305.1.p1
OG0001807	XM_001587711.1.p1	XM_011329544.1.p1
OG0001808	XM_001587667.1.p1	XM_011327125.1.p1, XM_011329515.1.p1
OG0001809	XM_001586943.1.p1	XM_011329486.1.p1
OG0001810	XM_001586783.1.p1	XM_011326819.1.p1, XM_011317308.1.p1, XM_011317565.1.p1, XM_011326742.1.p1
OG0001812	XM_001586665.1.p1	XM_011328368.1.p1
OG0001813	XM_001586660.1.p1	XM_011326705.1.p1
OG0001814	XM_001598690.1.p1	XM_011319065.1.p1
OG0001815	XM_001598656.1.p1	XM_011319083.1.p1
OG0001816	XM_001598393.1.p1	XM_011328918.1.p1
OG0001817	XM_001598420.1.p1	XM_011325634.1.p1
OG0001818	XM_001598452.1.p1	XM_011328308.1.p1
OG0001819	XM_001598467.1.p1	XM_011325725.1.p1
OG0001820	XM_001598490.1.p1	XM_011330485.1.p1
OG0001821	XM_001598504.1.p1	XM_011320039.1.p1
OG0001822	XM_001598534.1.p1	XM_011328166.1.p1
OG0001823	XM_001598306.1.p1	XM_011325367.1.p1
OG0001824	XM_001593577.1.p1, XM_001598241.1.p1	XM_011321792.1.p1
OG0001825	XM_001598154.1.p1	XM_011328557.1.p1
OG0001826	XM_001598076.1.p1	XM_011330523.1.p1
OG0001827	XM_001598015.1.p1	XM_011325660.1.p1
OG0001828	XM_001598001.1.p1	XM_011329933.1.p1
OG0001829	XM_001597955.1.p1	XM_011323194.1.p1
OG0001830	XM_001597951.1.p1	XM_011323214.1.p1
OG0001831	XM_001597944.1.p1	XM_011323195.1.p1
OG0001832	XM_001597917.1.p1	XM_011328602.1.p1
OG0001833	XM_001597883.1.p1	XM_011320235.1.p1
OG0001834	XM_001585799.1.p1	XM_011325888.1.p1
OG0001835	XM_001585772.1.p1	XM_011319473.1.p1
OG0001838	XM_001585722.1.p1	XM_011318489.1.p1
OG0001839	XM_001585695.1.p1	XM_011317715.1.p1
OG0001840	XM_001585693.1.p1, XM_001585692.1.p1	XM_011317948.1.p1
OG0001841	XM_001585644.1.p1	XM_011328862.1.p1
OG0001842	XM_001590383.1.p1	XM_011320758.1.p1
OG0001844	XM_001588088.1.p1	XM_011320467.1.p1
OG0001845	XM_001588083.1.p1	XM_011320543.1.p1
OG0001846	XM_001588052.1.p1	XM_011322712.1.p1
OG0001847	XM_001595816.1.p1	XM_011321095.1.p1
OG0001848	XM_001595679.1.p1	XM_011320696.1.p1, XM_011320694.1.p1
OG0001849	XM_001595660.1.p1	XM_011322700.1.p1
OG0001850	XM_001595641.1.p1	XM_011330525.1.p1
OG0001851	XM_001584560.1.p1, XM_001585804.1.p1, XM_001595582.1.p1	XM_011324298.1.p1
OG0001852	XM_001595612.1.p1	XM_011318259.1.p1, XM_011318258.1.p1
OG0001853	XM_001588186.1.p1	XM_011319369.1.p1, XM_011321139.1.p1
OG0001854	XM_001588207.1.p1	XM_011326333.1.p1
OG0001855	XM_001588257.1.p1	XM_011330161.1.p1
OG0001856	XM_001592684.1.p1	XM_011322322.1.p1, XM_011319008.1.p1
OG0001857	XM_001592691.1.p1	XM_011318906.1.p1
OG0001858	XM_001592750.1.p1	XM_011321201.1.p1
OG0001859	XM_001593010.1.p1	XM_011325757.1.p1
OG0001860	XM_001593643.1.p1	XM_011321923.1.p1
OG0001861	XM_001592829.1.p1	XM_011317624.1.p1
OG0001862	XM_001592902.1.p1	XM_011321220.1.p1
OG0001863	XM_001592800.1.p1	XM_011330127.1.p1
OG0001864	XM_001592765.1.p1	XM_011326298.1.p1
OG0001865	XM_001593109.1.p1	XM_011326219.1.p1
OG0001867	XM_001593156.1.p1	XM_011330110.1.p1
OG0001868	XM_001593176.1.p1, XM_001593177.1.p1	XM_011321215.1.p1
OG0001870	XM_001593245.1.p1	XM_011330153.1.p1
OG0001871	XM_001587124.1.p1	XM_011326208.1.p1
OG0001872	XM_001587116.1.p1	XM_011318230.1.p1
OG0001873	XM_001593280.1.p1	XM_011319870.1.p1
OG0001874	XM_001587071.1.p1	XM_011318138.1.p1
OG0001875	XM_001587013.1.p1	XM_011325055.1.p1
OG0001876	XM_001589457.1.p1	XM_011318334.1.p1
OG0001877	XM_001596386.1.p1	XM_011330066.1.p1
OG0001878	XM_001586091.1.p1	XM_011324648.1.p1, XM_011323443.1.p1
OG0001879	XM_001596262.1.p1	XM_011317635.1.p1
OG0001880	XM_001589662.1.p1	XM_011321728.1.p1
OG0001881	XM_001596615.1.p1	XM_011317810.1.p1
OG0001882	XM_001596408.1.p1	XM_011326234.1.p1, XM_011317319.1.p1, XM_011322484.1.p1, XM_011326233.1.p1
OG0001883	XM_001596492.1.p1	XM_011321743.1.p1
OG0001884	XM_001596493.1.p1	XM_011321744.1.p1
OG0001885	XM_001596497.1.p1	XM_011317496.1.p1
OG0001888	XM_001589618.1.p1	XM_011325271.1.p1
OG0001889	XM_001596529.1.p1	XM_011324420.1.p1
OG0001890	XM_001596697.1.p1	XM_011328482.1.p1
OG0001891	XM_001596732.1.p1	XM_011329804.1.p1
OG0001892	XM_001596721.1.p1	XM_011329776.1.p1
OG0001893	XM_001596723.1.p1	XM_011329775.1.p1
OG0001894	XM_001587963.1.p1	XM_011328897.1.p1
OG0001895	XM_001587941.1.p1	XM_011319724.1.p1
OG0001896	XM_001587936.1.p1, XM_001587935.1.p1	XM_011325791.1.p1
OG0001897	XM_001597642.1.p1	XM_011319503.1.p1
OG0001898	XM_001597099.1.p1	XM_011329833.1.p1
OG0001899	XM_001597808.1.p1	XM_011322377.1.p1, XM_011327323.1.p1
OG0001900	XM_001589203.1.p1	XM_011317879.1.p1
OG0001901	XM_001597762.1.p1	XM_011328531.1.p1
OG0001903	XM_001597660.1.p1	XM_011325542.1.p1
OG0001904	XM_001589289.1.p1	XM_011325318.1.p1
OG0001905	XM_001589324.1.p1	XM_011318704.1.p1
OG0001906	XM_001589014.1.p1	XM_011325735.1.p1
OG0001907	XM_001589024.1.p1	XM_011328122.1.p1
OG0001909	XM_001589055.1.p1	XM_011329626.1.p1
OG0001910	XM_001589099.1.p1, XM_001590830.1.p1	XM_011321965.1.p1
OG0001911	XM_001586559.1.p1	XM_011319652.1.p1
OG0001912	XM_001595419.1.p1	XM_011320370.1.p1
OG0001913	XM_001595429.1.p1	XM_011320405.1.p1
OG0001914	XM_001595383.1.p1	XM_011321701.1.p1
OG0001915	XM_001595347.1.p1	XM_011323228.1.p1
OG0001916	XM_001595343.1.p1	XM_011323230.1.p1
OG0001917	XM_001595279.1.p1	XM_011330549.1.p1, XM_011317490.1.p1
OG0001918	XM_001595237.1.p1, XM_001595236.1.p1	XM_011320213.1.p1
OG0001919	XM_001595234.1.p1	XM_011327913.1.p1
OG0001920	XM_001595175.1.p1	XM_011330018.1.p1
OG0001921	XM_001595155.1.p1	XM_011321597.1.p1
OG0001922	XM_001590565.1.p1	XM_011328656.1.p1, XM_011321770.1.p1
OG0001923	XM_001595110.1.p1	XM_011330497.1.p1
OG0001924	XM_001595024.1.p1	XM_011321487.1.p1
OG0001925	XM_001594986.1.p1	XM_011320211.1.p1
OG0001926	XM_001594988.1.p1	XM_011320203.1.p1
OG0001927	XM_001587320.1.p1	XM_011325643.1.p1
OG0001928	XM_001587346.1.p1	XM_011323233.1.p1
OG0001929	XM_001587376.1.p1	XM_011321748.1.p1
OG0001930	XM_001587393.1.p1	XM_011328037.1.p1
OG0001931	XM_001587568.1.p1	XM_011320397.1.p1
OG0001932	XM_001587595.1.p1	XM_011330169.1.p1
OG0001934	XM_001593698.1.p1	XM_011326252.1.p1, XM_011321475.1.p1
OG0001935	XM_001593617.1.p1, XM_001593667.1.p1	XM_011323866.1.p1, XM_011319950.1.p1, XM_011321374.1.p1
OG0001936	XM_001593877.1.p1	XM_011318952.1.p1
OG0001937	XM_001593759.1.p1	XM_011319589.1.p1, XM_011324347.1.p1
OG0001938	XM_001593789.1.p1	XM_011321772.1.p1
OG0001940	XM_001593822.1.p1	XM_011325487.1.p1
OG0001941	XM_001593823.1.p1	XM_011327438.1.p1
OG0001941	XM_001592770.1.p1	XM_011317379.1.p1
OG0001942	XM_001593947.1.p1	XM_011321762.1.p1
OG0001943	XM_001593574.1.p1	XM_011321637.1.p1
OG0001944	XM_001593609.1.p1	XM_011320276.1.p1, XM_011324223.1.p1
OG0001945	XM_001594108.1.p1	XM_011321738.1.p1
OG0001946	XM_001594109.1.p1	XM_011321855.1.p1
OG0001947	XM_001591693.1.p1	XM_011328053.1.p1
OG0001948	XM_001591890.1.p1	XM_011319577.1.p1
OG0001949	XM_001591893.1.p1	XM_011319576.1.p1
OG0001950	XM_001592021.1.p1	XM_011319294.1.p1, XM_011322132.1.p1, XM_011326079.1.p1, XM_011324859.1.p1, XM_011326855.1.p1
OG0001951	XM_001586580.1.p1	XM_011325674.1.p1
OG0001952	XM_001591514.1.p1	XM_011319412.1.p1
OG0001953	XM_001591512.1.p1	XM_011319398.1.p1
OG0001954	XM_001586501.1.p1	XM_011325615.1.p1
OG0001955	XM_001595409.1.p1	XM_011328024.1.p1, XM_011323480.1.p1, XM_011321629.1.p1
OG0001956	XM_001592591.1.p1	XM_011329907.1.p1
OG0001957	XM_001592587.1.p1, XM_001592585.1.p1	XM_011319882.1.p1, XM_011327744.1.p1, XM_011322095.1.p1
OG0001958	XM_001592582.1.p1	XM_011327747.1.p1, XM_011322120.1.p1
OG0001959	XM_001592583.1.p1	XM_011323648.1.p1
OG0001960	XM_001597017.1.p1	XM_011329431.1.p1, XM_011323899.1.p1, XM_011320271.1.p1
OG0001961	XM_001596978.1.p1	XM_011328819.1.p1
OG0001962	XM_001592523.1.p1, XM_001596247.1.p1	XM_011329711.1.p1
OG0001963	XM_001592548.1.p1	XM_011318476.1.p1
OG0001964	XM_001594016.1.p1, XM_001592558.1.p1	XM_011321109.1.p1
OG0001965	XM_001592314.1.p1	XM_011317964.1.p1
OG0001966	XM_001592365.1.p1	XM_011329896.1.p1
OG0001967	XM_001592410.1.p1	XM_011329044.1.p1, XM_011318791.1.p1
OG0001968	XM_001592421.1.p1	XM_011318861.1.p1
OG0001969	XM_001596955.1.p1	XM_011317848.1.p1
OG0001971	XM_001590420.1.p1	XM_011324319.1.p1, XM_011318171.1.p1, XM_011319892.1.p1, XM_011323481.1.p1
OG0001972	XM_001590468.1.p1	XM_011322867.1.p1, XM_011329715.1.p1
OG0001973	XM_001590469.1.p1	XM_011329714.1.p1
OG0001974	XM_001590454.1.p1	XM_011329622.1.p1
OG0001975	XM_001590507.1.p1	XM_011323060.1.p1
OG0001976	XM_001590532.1.p1	XM_011329628.1.p1
OG0001977	XM_001590557.1.p1	XM_011323140.1.p1
OG0001978	XM_001590633.1.p1	XM_011329785.1.p1, XM_011326151.1.p1, XM_011327892.1.p1
OG0001979	XM_001590641.1.p1	XM_011323084.1.p1
OG0001980	XM_001590691.1.p1	XM_011323037.1.p1
OG0001981	XM_001590809.1.p1	XM_011329601.1.p1
OG0001982	XM_001590827.1.p1	XM_011325454.1.p1, XM_011322505.1.p1, XM_011319356.1.p1
OG0001983	XM_001590577.1.p1	XM_011325493.1.p1
OG0001984	XM_001590590.1.p1	XM_011320102.1.p1
OG0001985	XM_001590715.1.p1	XM_011325510.1.p1
OG0001986	XM_001590718.1.p1	XM_011325508.1.p1
OG0001987	XM_001590725.1.p1	XM_011325495.1.p1
OG0001988	XM_001596553.1.p1	XM_011322629.1.p1
OG0001989	XM_001590857.1.p1	XM_011325458.1.p1
OG0001990	XM_001585196.1.p1	XM_011323129.1.p1
OG0001991	XM_001584964.1.p1	XM_011329656.1.p1
OG0001992	XM_001585181.1.p1	XM_011329616.1.p1
OG0001993	XM_001585166.1.p1	XM_011325457.1.p1
OG0001994	XM_001585130.1.p1	XM_011329586.1.p1
OG0001995	XM_001585424.1.p1	XM_011325689.1.p1
OG0001996	XM_001585392.1.p1	XM_011328325.1.p1
OG0001997	XM_001585390.1.p1	XM_011328329.1.p1
OG0001998	XM_001585382.1.p1	XM_011320021.1.p1, XM_011323008.1.p1, XM_011323799.1.p1, XM_011320337.1.p1
OG0001999	XM_001595999.1.p1	XM_011329957.1.p1
OG0002000	XM_001595992.1.p1	XM_011322950.1.p1
OG0002001	XM_001595956.1.p1	XM_011330213.1.p1
OG0002002	XM_001595951.1.p1	XM_011330233.1.p1
OG0002003	XM_001595937.1.p1	XM_011318978.1.p1
OG0002004	XM_001595902.1.p1, XM_001591300.1.p1	XM_011327336.1.p1
OG0002005	XM_001596197.1.p1	XM_011330159.1.p1
OG0002006	XM_001589814.1.p1	XM_011323017.1.p1
OG0002007	XM_001589832.1.p1	XM_011323024.1.p1
OG0002008	XM_001585602.1.p1	XM_011327391.1.p1
OG0002009	XM_001585463.1.p1	XM_011317392.1.p1, XM_011321110.1.p1, XM_011323374.1.p1, XM_011319560.1.p1
OG0002010	XM_001585448.1.p1	XM_011324620.1.p1, XM_011328933.1.p1, XM_011319067.1.p1
OG0002011	XM_001598924.1.p1	XM_011322811.1.p1
OG0002012	XM_001598889.1.p1	XM_011327099.1.p1, XM_011318329.1.p1, XM_011325595.1.p1
OG0002013	XM_001598860.1.p1	XM_011319061.1.p1
OG0002014	XM_001588572.1.p1	XM_011327185.1.p1
OG0002015	XM_001588543.1.p1	XM_011319057.1.p1
OG0002016	XM_001588677.1.p1	XM_011320966.1.p1
OG0002017	XM_001588656.1.p1	XM_011320660.1.p1
OG0002018	XM_001588618.1.p1	XM_011319052.1.p1
OG0002019	XM_001598823.1.p1	XM_011320638.1.p1
OG0002020	XM_001598789.1.p1	XM_011327028.1.p1, XM_011324925.1.p1, XM_011321266.1.p1, XM_011329019.1.p1
OG0002021	XM_001598772.1.p1	XM_011317674.1.p1
OG0002022	XM_001588821.1.p1	XM_011320774.1.p1
OG0002023	XM_001588810.1.p1	XM_011320575.1.p1
OG0002024	XM_001588711.1.p1	XM_011320305.1.p1
OG0002025	XM_001588915.1.p1	XM_011326620.1.p1
OG0002026	XM_001584702.1.p1	XM_011319070.1.p1
OG0002027	XM_001591421.1.p1	XM_011318797.1.p1, XM_011319943.1.p1
OG0002028	XM_001591242.1.p1	XM_011329477.1.p1
OG0002029	XM_001591228.1.p1	XM_011327008.1.p1, XM_011323506.1.p1, XM_011327494.1.p1
OG0002030	XM_001591188.1.p1	XM_011328820.1.p1
OG0002031	XM_001591124.1.p1	XM_011322988.1.p1
OG0002032	XM_001591000.1.p1, XM_001590999.1.p1	XM_011328126.1.p1
OG0002033	XM_001590982.1.p1	XM_011328129.1.p1
OG0002034	XM_001590972.1.p1	XM_011328382.1.p1
OG0002036	XM_001590916.1.p1	XM_011329794.1.p1
OG0002037	XM_001590907.1.p1	XM_011319486.1.p1, XM_011317550.1.p1, XM_011319886.1.p1
OG0002038	XM_001590868.1.p1	XM_011318502.1.p1
OG0002039	XM_001590890.1.p1	XM_011324499.1.p1, XM_011325283.1.p1
OG0002040	XM_001590922.1.p1	XM_011325442.1.p1
OG0002041	XM_001585114.1.p1	XM_011329725.1.p1
OG0002042	XM_001585042.1.p1	XM_011321759.1.p1, XM_011325931.1.p1
OG0002043	XM_001590920.1.p1	XM_011325114.1.p1
OG0002044	XM_001585098.1.p1	XM_011325937.1.p1
OG0002045	XM_001596019.1.p1	XM_011322093.1.p1
OG0002046	XM_001596010.1.p1	XM_011330150.1.p1
OG0002047	XM_001585319.1.p1	XM_011319433.1.p1
OG0002048	XM_001585306.1.p1	XM_011328757.1.p1
OG0002049	XM_001585276.1.p1	XM_011325823.1.p1
OG0002052	XM_001589900.1.p1	XM_011330043.1.p1, XM_011329418.1.p1, XM_011317374.1.p1
OG0002053	XM_001589994.1.p1	XM_011328654.1.p1
OG0002054	XM_001590102.1.p1	XM_011327853.1.p1
OG0002055	XM_001590115.1.p1	XM_011319446.1.p1
OG0002056	XM_001590316.1.p1	XM_011328394.1.p1
OG0002057	XM_001590260.1.p1	XM_011328794.1.p1
OG0002058	XM_001590262.1.p1	XM_011328796.1.p1
OG0002059	XM_001590263.1.p1	XM_011328775.1.p1
OG0002060	XM_001590264.1.p1	XM_011328777.1.p1
OG0002061	XM_001590194.1.p1	XM_011325423.1.p1
OG0002062	XM_001590201.1.p1	XM_011325429.1.p1
OG0002063	XM_001590790.1.p1	XM_011323030.1.p1
OG0002068	XM_001590244.1.p1	XM_011323911.1.p1
OG0002068	XM_001588824.1.p1, XM_001589583.1.p1, XM_001584707.1.p1	XM_011319285.1.p1
OG0002074	XM_001588634.1.p1	XM_011324693.1.p1
OG0002074	XM_001589532.1.p1	XM_011321413.1.p1
OG0002074	XM_001589529.1.p1	XM_011321414.1.p1, XM_011321105.1.p1
OG0002076	XM_001595864.1.p1	XM_011329047.1.p1, XM_011321257.1.p1, XM_011322621.1.p1, XM_011327724.1.p1, XM_011322620.1.p1, XM_011327624.1.p1
OG0002079	XM_001594781.1.p1	XM_011323508.1.p1, XM_011330194.1.p1
OG0002086	XM_001598712.1.p1	XM_011327594.1.p1
OG0002179	XM_001597385.1.p1	XM_011318869.1.p1
OG0002180	XM_001590545.1.p1	XM_011329619.1.p1
OG0002181	XM_001591043.1.p1	XM_011317734.1.p1
OG0002182	XM_001588707.1.p1	XM_011326639.1.p1
OG0002183	XM_001587760.1.p1	XM_011329499.1.p1
OG0002184	XM_001586215.1.p1	XM_011328194.1.p1
OG0002185	XM_001586947.1.p1	XM_011326387.1.p1
OG0002186	XM_001593787.1.p1	XM_011321798.1.p3
OG0002187	XM_001591867.1.p1	XM_011328124.1.p1
OG0002189	XM_001584529.1.p1	XM_011329687.1.p1
OG0002191	XM_001597069.1.p1	XM_011325282.1.p1
OG0002192	XM_001587521.1.p1	XM_011328534.1.p1
OG0002194	XM_001589236.1.p1	XM_011329781.1.p1
OG0002195	XM_001589224.1.p1	XM_011317730.1.p1
OG0002196	XM_001589219.1.p1	XM_011321376.1.p1
OG0002197	XM_001588788.1.p1	XM_011322894.1.p1
OG0002198	XM_001591306.1.p1	XM_011317773.1.p1
OG0002199	XM_001592043.1.p1, XM_001591297.1.p1	XM_011319807.1.p1
OG0002200	XM_001593326.1.p1	XM_011318387.1.p1
OG0002201	XM_001586017.1.p1	XM_011321716.1.p1
OG0002202	XM_001592624.1.p1	XM_011318822.1.p1
OG0002203	XM_001592623.1.p1	XM_011318821.1.p1
OG0002204	XM_001590832.1.p1	XM_011325196.1.p1
OG0002205	XM_001595850.1.p1	XM_011326778.1.p1, XM_011326777.1.p1
OG0002206	XM_001594409.1.p1	XM_011328461.1.p1, XM_011326428.1.p1
OG0002207	XM_001597880.1.p1	XM_011320120.1.p1
OG0002208	XM_001597869.1.p1	XM_011320177.1.p1
OG0002209	XM_001585388.1.p1	XM_011328326.1.p1
OG0002210	XM_001585389.1.p1	XM_011328327.1.p2
OG0002211	XM_001586229.1.p1	XM_011317799.1.p1
OG0002213	XM_001588895.1.p1	XM_011326618.1.p2
OG0002214	XM_001588909.1.p1	XM_011318044.1.p1
OG0002215	XM_001584507.1.p1	XM_011325936.1.p1
OG0002216	XM_001595689.1.p1	XM_011322897.1.p1
OG0002217	XM_001591820.1.p1	XM_011320167.1.p1
OG0002218	XM_001586794.1.p1	XM_011326391.1.p1
OG0002219	XM_001586818.1.p1	XM_011326700.1.p1
OG0002220	XM_001589146.1.p1	XM_011329777.1.p1
OG0002221	XM_001589124.1.p1	XM_011317870.1.p1
OG0002222	XM_001594118.1.p1	XM_011321782.1.p1
OG0002223	XM_001588235.1.p1	XM_011326323.1.p1
OG0002224	XM_001588232.1.p1	XM_011326326.1.p1
OG0002225	XM_001594152.1.p1	XM_011321506.1.p1
OG0002226	XM_001594155.1.p1	XM_011321508.1.p1
OG0002227	XM_001594159.1.p1	XM_011321460.1.p1
OG0002228	XM_001585647.1.p1	XM_011317701.1.p1
OG0002230	XM_001596893.1.p1	XM_011320455.1.p1
OG0002231	XM_001593476.1.p1	XM_011321009.1.p1
OG0002232	XM_001595818.1.p1	XM_011321096.1.p1
OG0002233	XM_001585066.1.p1	XM_011329732.1.p1
OG0002234	XM_001585049.1.p1	XM_011325456.1.p1
OG0002235	XM_001591593.1.p1	XM_011325806.1.p1
OG0002236	XM_001591796.1.p1	XM_011319702.1.p1
OG0002237	XM_001591829.1.p1	XM_011319648.1.p1
OG0002238	XM_001596022.1.p1	XM_011330143.1.p1
OG0002239	XM_001596021.1.p1	XM_011330144.1.p1
OG0002240	XM_001596020.1.p1	XM_011322092.1.p1
OG0002241	XM_001596015.1.p1	XM_011321846.1.p1
OG0002242	XM_001596006.1.p1	XM_011321844.1.p1
OG0002243	XM_001592602.1.p1	XM_011322047.1.p1
OG0002244	XM_001592614.1.p1	XM_011321841.1.p1
OG0002245	XM_001592619.1.p1	XM_011329172.1.p1, XM_011329355.1.p1
OG0002246	XM_001595681.1.p1	XM_011320697.1.p1
OG0002248	XM_001592133.1.p1	XM_011328099.1.p1
OG0002249	XM_001592136.1.p1	XM_011320416.1.p1
OG0002250	XM_001597766.1.p1	XM_011326297.1.p1, XM_011328389.1.p1
OG0002251	XM_001585575.1.p1	XM_011326791.1.p1
OG0002253	XM_001597417.1.p1	XM_011319542.1.p1
OG0002254	XM_001597420.1.p1	XM_011328834.1.p1
OG0002255	XM_001585763.1.p1	XM_011319469.1.p1
OG0002256	XM_001585778.1.p1	XM_011319468.1.p1
OG0002257	XM_001586339.1.p1	XM_011324190.1.p1
OG0002258	XM_001586374.1.p1	XM_011328751.1.p1
OG0002259	XM_001591290.1.p1	XM_011330346.1.p1
OG0002260	XM_001596461.1.p1	XM_011321642.1.p1
OG0002261	XM_001584927.1.p1	XM_011323156.1.p1
OG0002262	XM_001597235.1.p1, XM_001584930.1.p1	XM_011326124.1.p1
OG0002263	XM_001585906.1.p1	XM_011326563.1.p1
OG0002264	XM_001587185.1.p1	XM_011322637.1.p1
OG0002265	XM_001589776.1.p1	XM_011321820.1.p1
OG0002266	XM_001589778.1.p1	XM_011321970.1.p1
OG0002267	XM_001596741.1.p1	XM_011329644.1.p1
OG0002268	XM_001596717.1.p1	XM_011329771.1.p1
