Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Colletotrichum_gloeosporioides_rna_prot
OG0000321	XM_001592385.1.p1	XM_045405044.1.p1
OG0000322	XM_001587529.1.p1	XM_045401856.1.p1
OG0000322	XM_001592461.1.p1	XM_045415433.1.p1
OG0000324	XM_001594373.1.p1	XM_045404709.1.p1
OG0000324	XM_001592271.1.p1	XM_045409727.1.p1
OG0000325	XM_001595222.1.p1	XM_045411648.1.p1
OG0000325	XM_001590041.1.p1	XM_045401455.1.p1, XM_045405399.1.p1
OG0000326	XM_001589657.1.p1	XM_045408686.1.p1
OG0000326	XM_001595679.1.p1	XM_045411892.1.p1
OG0000327	XM_001587909.1.p1	XM_045403828.1.p1, XM_045407613.1.p1, XM_045414305.1.p1, XM_045412746.1.p1
OG0000328	XM_001586323.1.p1	XM_045414738.1.p1
OG0000328	XM_001593417.1.p1	XM_045414109.1.p1
OG0000329	XM_001591776.1.p1	XM_045403721.1.p1
OG0000329	XM_001590057.1.p1	XM_045406973.1.p1
OG0000329	XM_001598723.1.p1	XM_045411820.1.p1
OG0000330	XM_001593975.1.p1	XM_045402289.1.p1
OG0000330	XM_001586476.1.p1	XM_045413981.1.p1, XM_045402851.1.p1
OG0000331	XM_001593836.1.p1	XM_045407574.1.p1
OG0000333	XM_001591225.1.p1	XM_045400516.1.p1
OG0000334	XM_001588568.1.p1	XM_045411011.1.p1
OG0000335	XM_001587695.1.p1	XM_045404549.1.p1
OG0000336	XM_001596349.1.p1	XM_045400835.1.p1
OG0000337	XM_001597150.1.p1	XM_045401569.1.p1
OG0000337	XM_001589811.1.p1	XM_045403470.1.p1
OG0000338	XM_001595733.1.p1	XM_045411392.1.p1
OG0000338	XM_001589919.1.p1	XM_045401668.1.p1
OG0000339	XM_001588030.1.p1	XM_045411776.1.p1
OG0000339	XM_001597935.1.p1	XM_045412086.1.p1
OG0000340	XM_001593244.1.p1	XM_045408814.1.p1
OG0000341	XM_001596553.1.p1	XM_045405734.1.p1, XM_045401221.1.p1, XM_045402555.1.p1, XM_045405497.1.p1, XM_045412377.1.p1, XM_045405251.1.p1, XM_045407195.1.p1, XM_045411724.1.p1, XM_045404201.1.p1, XM_045400657.1.p1
OG0000342	XM_001587098.1.p1	XM_045402134.1.p1
OG0000343	XM_001593775.1.p1	XM_045409121.1.p1
OG0000343	XM_001588828.1.p1	XM_045411250.1.p1
OG0000345	XM_001597413.1.p1	XM_045401355.1.p1
OG0000346	XM_001588685.1.p1	XM_045411196.1.p1
OG0000347	XM_001588291.1.p1	XM_045411179.1.p1
OG0000347	XM_001594045.1.p1	XM_045409218.1.p1
OG0000348	XM_001596350.1.p1	XM_045413532.1.p1
OG0000348	XM_001596342.1.p1	XM_045400409.1.p1
OG0000349	XM_001584732.1.p1	XM_045404343.1.p1
OG0000349	XM_001598037.1.p1	XM_045402573.1.p1
OG0000349	XM_001593457.1.p1, XM_001587426.1.p1	XM_045405673.1.p1
OG0000349	XM_001588714.1.p1	XM_045411438.1.p1
OG0000350	XM_001594577.1.p1	XM_045404701.1.p1
OG0000350	XM_001585929.1.p1	XM_045402014.1.p1
OG0000351	XM_001592911.1.p1	XM_045415455.1.p1
OG0000351	XM_001590850.1.p1, XM_001590848.1.p1	XM_045407849.1.p1
OG0000352	XM_001593209.1.p1	XM_045400399.1.p1
OG0000352	XM_001585021.1.p1, XM_001591126.1.p1	XM_045409117.1.p1
OG0000354	XM_001594672.1.p1	XM_045402102.1.p1
OG0000355	XM_001590970.1.p1	XM_045407692.1.p1
OG0000355	XM_001585849.1.p1	XM_045401526.1.p1, XM_045410688.1.p1, XM_045413688.1.p1
OG0000356	XM_001598020.1.p1	XM_045403966.1.p1
OG0000356	XM_001589024.1.p1	XM_045407733.1.p1
OG0000356	XM_001594952.1.p1	XM_045404234.1.p1
OG0000357	XM_001584508.1.p1	XM_045409494.1.p1
OG0000357	XM_001596882.1.p1	XM_045404606.1.p1
OG0000358	XM_001598266.1.p1	XM_045406458.1.p1
OG0000361	XM_001597018.1.p1	XM_045403520.1.p1
OG0000361	XM_001584885.1.p1	XM_045414011.1.p1
OG0000362	XM_001588879.1.p1	XM_045401502.1.p1
OG0000362	XM_001592261.1.p1	XM_045412992.1.p1, XM_045401368.1.p1
OG0000363	XM_001591160.1.p1	XM_045401395.1.p1
OG0000364	XM_001586746.1.p1	XM_045410000.1.p1
OG0000364	XM_001591295.1.p1	XM_045410053.1.p1
OG0000365	XM_001589092.1.p1	XM_045411603.1.p1
OG0000365	XM_001593795.1.p1	XM_045406877.1.p1
OG0000365	XM_001587777.1.p1	XM_045413629.1.p1, XM_045412538.1.p1
OG0000366	XM_001592514.1.p1	XM_045410201.1.p1
OG0000367	XM_001591428.1.p1	XM_045414157.1.p1
OG0000367	XM_001589140.1.p1	XM_045413900.1.p1
OG0000368	XM_001586991.1.p1	XM_045414741.1.p1, XM_045413694.1.p1
OG0000369	XM_001585932.1.p1	XM_045406940.1.p1
OG0000369	XM_001585931.1.p1	XM_045406941.1.p1
OG0000370	XM_001596117.1.p1	XM_045405986.1.p1
OG0000374	XM_001594977.1.p1	XM_045406238.1.p1
OG0000375	XM_001586362.1.p1, XM_001597921.1.p1	XM_045412319.1.p1
OG0000375	XM_001589897.1.p1	XM_045405995.1.p1
OG0000376	XM_001588139.1.p1	XM_045411381.1.p1
OG0000376	XM_001587757.1.p1	XM_045409655.1.p1
OG0000378	XM_001596864.1.p1	XM_045405902.1.p1
OG0000378	XM_001594848.1.p1	XM_045402091.1.p1
OG0000379	XM_001588044.1.p1	XM_045410911.1.p1
OG0000379	XM_001592931.1.p1	XM_045400238.1.p1
OG0000380	XM_001584697.1.p1	XM_045403345.1.p1
OG0000380	XM_001597824.1.p1	XM_045403386.1.p1
OG0000381	XM_001596277.1.p1	XM_045400422.1.p1
OG0000381	XM_001586516.1.p1	XM_045406756.1.p1
OG0000382	XM_001589705.1.p1	XM_045405080.1.p1, XM_045400373.1.p1
OG0000382	XM_001586499.1.p1	XM_045403082.1.p1, XM_045403091.1.p1, XM_045400546.1.p1, XM_045403936.1.p1, XM_045406686.1.p1
OG0000383	XM_001595200.1.p1	XM_045406211.1.p1
OG0000384	XM_001590907.1.p1	XM_045401922.1.p1
OG0000384	XM_001596488.1.p1	XM_045406099.1.p1, XM_045411125.1.p1, XM_045400249.1.p1, XM_045410643.1.p1, XM_045411025.1.p1
OG0000385	XM_001594849.1.p1	XM_045400207.1.p1
OG0000385	XM_001591151.1.p1	XM_045400959.1.p1
OG0000386	XM_001592690.1.p1	XM_045402107.1.p1
OG0000386	XM_001587880.1.p1	XM_045410496.1.p1
OG0000387	XM_001593733.1.p1	XM_045413450.1.p1
OG0000388	XM_001587153.1.p1	XM_045402374.1.p1
OG0000388	XM_001588257.1.p1	XM_045403372.1.p1
OG0000390	XM_001595466.1.p1	XM_045405139.1.p1, XM_045412311.1.p1
OG0000390	XM_001591034.1.p1	XM_045406145.1.p1
OG0000391	XM_001597617.1.p1	XM_045403931.1.p1, XM_045406541.1.p1, XM_045403526.1.p1
OG0000392	XM_001592820.1.p1	XM_045408268.1.p1
OG0000393	XM_001597320.1.p1	XM_045409639.1.p1
OG0000394	XM_001585349.1.p1, XM_001590823.1.p1	XM_045411910.1.p1
OG0000395	XM_001597922.1.p1	XM_045407797.1.p1
OG0000395	XM_001592276.1.p1	XM_045405925.1.p1
OG0000396	XM_001592582.1.p1	XM_045408489.1.p1
OG0000397	XM_001592147.1.p1	XM_045400717.1.p1
OG0000397	XM_001597134.1.p1, XM_001598839.1.p1	XM_045411811.1.p1
OG0000398	XM_001597851.1.p1	XM_045403573.1.p1
OG0000398	XM_001591395.1.p1	XM_045403606.1.p1
OG0000399	XM_001598920.1.p1	XM_045411782.1.p1, XM_045409951.1.p1
OG0000399	XM_001586912.1.p1	XM_045412999.1.p1
OG0000402	XM_001598752.1.p1	XM_045407428.1.p1
OG0000402	XM_001598320.1.p1	XM_045402958.1.p1, XM_045412124.1.p1, XM_045401049.1.p1
OG0000403	XM_001589101.1.p1	XM_045401963.1.p1
OG0000403	XM_001590733.1.p1	XM_045402059.1.p1
OG0000404	XM_001593260.1.p1, XM_001584912.1.p1	XM_045405575.1.p1, XM_045410353.1.p1
OG0000404	XM_001595520.1.p1	XM_045414789.1.p1
OG0000405	XM_001584602.1.p1	XM_045402667.1.p1
OG0000407	XM_001594751.1.p1	XM_045404943.1.p1
OG0000408	XM_001590719.1.p1	XM_045402034.1.p1
OG0000408	XM_001588056.1.p1	XM_045411715.1.p1
OG0000409	XM_001591593.1.p1	XM_045406710.1.p1
OG0000409	XM_001594161.1.p1	XM_045412410.1.p1
OG0000410	XM_001595661.1.p1	XM_045402528.1.p1
OG0000411	XM_001585214.1.p1	XM_045414154.1.p1
OG0000411	XM_001593430.1.p1	XM_045408561.1.p1
OG0000412	XM_001592689.1.p1	XM_045402177.1.p1
OG0000412	XM_001594715.1.p1	XM_045413535.1.p1
OG0000412	XM_001590537.1.p1	XM_045408323.1.p1
OG0000413	XM_001585222.1.p1	XM_045409413.1.p1
OG0000413	XM_001593426.1.p1	XM_045412880.1.p1
OG0000414	XM_001595899.1.p1	XM_045410956.1.p1, XM_045405762.1.p1, XM_045409742.1.p1
OG0000414	XM_001588538.1.p1	XM_045410920.1.p1
OG0000415	XM_001587000.1.p1	XM_045401058.1.p1
OG0000415	XM_001590013.1.p1	XM_045400973.1.p1
OG0000416	XM_001585521.1.p1	XM_045415237.1.p1
OG0000416	XM_001595781.1.p1	XM_045404295.1.p1
OG0000417	XM_001594077.1.p1	XM_045410344.1.p1
OG0000417	XM_001595020.1.p1	XM_045408802.1.p1
OG0000418	XM_001597732.1.p1	XM_045403000.1.p1
OG0000418	XM_001594531.1.p1	XM_045404248.1.p1
OG0000419	XM_001589943.1.p1	XM_045407460.1.p1, XM_045412492.1.p1, XM_045400362.1.p1
OG0000420	XM_001597867.1.p1, XM_001586169.1.p1	XM_045414813.1.p1
OG0000421	XM_001586054.1.p1	XM_045412434.1.p1, XM_045414105.1.p1
OG0000421	XM_001596111.1.p1	XM_045402997.1.p1
OG0000422	XM_001592710.1.p1	XM_045401192.1.p1
OG0000422	XM_001586710.1.p1, XM_001585755.1.p1	XM_045411176.1.p1
OG0000423	XM_001597246.1.p1	XM_045414069.1.p1
OG0000424	XM_001584735.1.p1	XM_045407321.1.p1, XM_045409749.1.p1
OG0000425	XM_001595569.1.p1	XM_045411349.1.p1
OG0000426	XM_001594352.1.p1	XM_045413285.1.p1
OG0000426	XM_001595306.1.p1	XM_045409081.1.p1
OG0000427	XM_001588666.1.p1	XM_045414355.1.p1, XM_045405015.1.p1, XM_045410653.1.p1, XM_045414781.1.p1
OG0000427	XM_001596733.1.p1	XM_045403743.1.p1, XM_045403202.1.p1
OG0000428	XM_001591689.1.p1	XM_045412478.1.p1
OG0000428	XM_001592756.1.p1	XM_045400442.1.p1
OG0000429	XM_001589525.1.p1	XM_045402988.1.p1
OG0000430	XM_001594943.1.p1	XM_045411803.1.p1
OG0000431	XM_001595021.1.p1	XM_045408803.1.p1
OG0000431	XM_001585051.1.p1	XM_045403560.1.p1
OG0000432	XM_001592025.1.p1	XM_045412548.1.p1
OG0000432	XM_001595641.1.p1	XM_045401392.1.p1
OG0000433	XM_001590463.1.p1	XM_045404417.1.p1
OG0000437	XM_001586166.1.p1	XM_045404769.1.p1
OG0000437	XM_001594881.1.p1	XM_045407130.1.p1
OG0000438	XM_001594730.1.p1	XM_045414868.1.p1
OG0000439	XM_001588396.1.p1	XM_045414506.1.p1
OG0000439	XM_001594207.1.p1	XM_045403846.1.p1
OG0000440	XM_001592376.1.p1	XM_045414652.1.p1
OG0000440	XM_001596584.1.p1	XM_045409035.1.p1
OG0000441	XM_001598052.1.p1	XM_045411434.1.p1
OG0000441	XM_001587956.1.p1	XM_045415453.1.p1
OG0000442	XM_001594041.1.p1	XM_045409154.1.p1
OG0000442	XM_001595999.1.p1	XM_045402628.1.p1
OG0000443	XM_001597889.1.p1	XM_045408235.1.p1, XM_045406566.1.p1
OG0000443	XM_001589171.1.p1	XM_045404903.1.p1
OG0000444	XM_001585129.1.p1	XM_045407984.1.p1
OG0000444	XM_001588771.1.p1	XM_045402280.1.p1
OG0000445	XM_001595885.1.p1	XM_045407435.1.p1, XM_045413414.1.p1
OG0000446	XM_001595180.1.p1	XM_045409237.1.p1
OG0000447	XM_001598386.1.p1	XM_045412034.1.p1
OG0000447	XM_001590963.1.p1	XM_045403540.1.p1
OG0000448	XM_001596951.1.p1	XM_045405230.1.p1
OG0000448	XM_001589303.1.p1	XM_045404192.1.p1
OG0000450	XM_001587231.1.p1	XM_045414430.1.p1, XM_045402587.1.p1
OG0000450	XM_001587855.1.p1	XM_045411938.1.p1
OG0000451	XM_001590342.1.p1	XM_045403067.1.p1
OG0000452	XM_001593005.1.p1	XM_045401155.1.p1
OG0000455	XM_001585436.1.p1	XM_045406620.1.p1
OG0000455	XM_001593732.1.p1	XM_045411314.1.p1
OG0000455	XM_001598722.1.p1	XM_045413587.1.p1
OG0000456	XM_001586769.1.p1	XM_045405634.1.p1
OG0000456	XM_001590674.1.p1	XM_045413255.1.p1
OG0000457	XM_001597364.1.p1	XM_045404275.1.p1
OG0000457	XM_001595651.1.p1	XM_045400997.1.p1
OG0000458	XM_001594303.1.p1	XM_045410284.1.p1
OG0000458	XM_001589273.1.p1	XM_045412856.1.p1
OG0000459	XM_001595847.1.p1	XM_045410842.1.p1
OG0000459	XM_001588033.1.p1	XM_045411448.1.p1
OG0000460	XM_001597572.1.p1	XM_045409842.1.p1
OG0000460	XM_001597304.1.p1	XM_045403463.1.p1
OG0000461	XM_001594597.1.p1	XM_045404694.1.p1
OG0000462	XM_001585696.1.p1	XM_045408584.1.p1
OG0000462	XM_001592836.1.p1	XM_045410693.1.p1
OG0000463	XM_001595247.1.p1	XM_045413616.1.p1, XM_045408859.1.p1
OG0000463	XM_001597555.1.p1	XM_045414008.1.p1
OG0000464	XM_001589681.1.p1	XM_045412727.1.p1, XM_045408670.1.p1
OG0000464	XM_001588447.1.p1	XM_045407544.1.p1
OG0000464	XM_001585203.1.p1	XM_045406177.1.p1, XM_045414149.1.p1
OG0000465	XM_001596182.1.p1	XM_045402639.1.p1
OG0000465	XM_001598498.1.p1	XM_045406030.1.p1
OG0000466	XM_001597810.1.p1	XM_045402458.1.p1
OG0000467	XM_001588516.1.p1	XM_045411920.1.p1
OG0000467	XM_001588214.1.p1	XM_045401083.1.p1
OG0000468	XM_001595597.1.p1	XM_045403615.1.p1
OG0000468	XM_001585150.1.p1	XM_045407816.1.p1
OG0000469	XM_001586974.1.p1	XM_045400179.1.p1
OG0000469	XM_001588006.1.p1	XM_045404446.1.p1
OG0000470	XM_001589646.1.p1	XM_045402061.1.p1
OG0000470	XM_001589696.1.p1	XM_045413564.1.p1
OG0000471	XM_001589081.1.p1	XM_045407983.1.p1
OG0000471	XM_001597763.1.p1	XM_045401653.1.p1
OG0000472	XM_001596286.1.p1	XM_045408709.1.p1
OG0000472	XM_001598844.1.p1	XM_045411742.1.p1
OG0000473	XM_001597336.1.p1	XM_045409653.1.p1
OG0000473	XM_001585585.1.p1	XM_045415465.1.p1
OG0000474	XM_001586656.1.p1	XM_045404372.1.p1
OG0000475	XM_001586521.1.p1	XM_045406051.1.p1
OG0000475	XM_001592419.1.p1	XM_045404805.1.p1
OG0000476	XM_001595211.1.p1	XM_045412079.1.p1
OG0000476	XM_001584773.1.p1	XM_045404679.1.p1
OG0000477	XM_001598467.1.p1	XM_045406046.1.p1
OG0000477	XM_001587693.1.p1	XM_045405645.1.p1
OG0000478	XM_001595503.1.p1	XM_045415284.1.p1, XM_045405459.1.p1
OG0000479	XM_001592726.1.p1	XM_045400836.1.p1
OG0000484	XM_001597768.1.p1	XM_045409400.1.p1
OG0000484	XM_001594928.1.p1	XM_045403585.1.p1
OG0000485	XM_001592093.1.p1	XM_045407645.1.p1
OG0000486	XM_001590667.1.p1	XM_045402291.1.p1, XM_045406389.1.p1
OG0000486	XM_001594460.1.p1	XM_045401342.1.p1
OG0000488	XM_001595704.1.p1	XM_045407114.1.p1
OG0000489	XM_001597803.1.p1	XM_045400656.1.p1, XM_045403121.1.p1, XM_045401143.1.p1
OG0000490	XM_001589239.1.p1	XM_045401919.1.p1
OG0000491	XM_001590012.1.p1	XM_045401688.1.p1
OG0000492	XM_001589340.1.p1	XM_045404216.1.p1
OG0000492	XM_001586411.1.p1	XM_045406060.1.p1
OG0000493	XM_001589112.1.p1	XM_045400502.1.p1
OG0000493	XM_001591427.1.p1	XM_045402691.1.p1
OG0000493	XM_001596490.1.p1	XM_045413224.1.p1, XM_045410423.1.p1, XM_045409941.1.p1, XM_045409927.1.p1
OG0000494	XM_001594386.1.p1	XM_045404831.1.p1
OG0000495	XM_001585960.1.p1	XM_045407408.1.p1
OG0000496	XM_001589703.1.p1	XM_045413664.1.p1
OG0000497	XM_001596284.1.p1	XM_045409170.1.p1
OG0000497	XM_001587094.1.p1	XM_045400167.1.p1
OG0000498	XM_001586996.1.p1	XM_045401290.1.p1
OG0000498	XM_001595543.1.p1	XM_045406105.1.p1, XM_045405473.1.p1
OG0000499	XM_001594743.1.p1	XM_045404210.1.p1
OG0000499	XM_001588554.1.p1	XM_045411337.1.p1, XM_045407113.1.p1
OG0000500	XM_001584816.1.p1	XM_045408708.1.p1
OG0000500	XM_001592410.1.p1	XM_045409600.1.p1
OG0000501	XM_001584728.1.p1	XM_045404587.1.p1
OG0000501	XM_001591462.1.p1	XM_045406744.1.p1
OG0000502	XM_001585206.1.p1	XM_045414000.1.p1
OG0000502	XM_001590161.1.p1	XM_045406577.1.p1
OG0000503	XM_001597809.1.p1	XM_045402459.1.p1
OG0000505	XM_001593292.1.p1	XM_045412968.1.p1
OG0000505	XM_001591187.1.p1	XM_045411037.1.p1
OG0000506	XM_001596570.1.p1	XM_045404267.1.p1
OG0000506	XM_001585581.1.p1	XM_045402690.1.p1
OG0000507	XM_001592146.1.p1	XM_045401480.1.p1
OG0000507	XM_001594601.1.p1	XM_045404677.1.p1
OG0000508	XM_001589593.1.p1	XM_045406067.1.p1
OG0000509	XM_001587359.1.p1	XM_045407065.1.p1, XM_045410481.1.p1
OG0000509	XM_001593419.1.p1	XM_045408596.1.p1
OG0000512	XM_001591933.1.p1	XM_045410051.1.p1
OG0000512	XM_001587571.1.p1	XM_045409370.1.p1
OG0000513	XM_001592425.1.p1	XM_045404802.1.p1
OG0000513	XM_001598868.1.p1	XM_045408799.1.p1, XM_045411504.1.p1
OG0000514	XM_001593274.1.p1	XM_045414370.1.p1
OG0000515	XM_001585817.1.p1	XM_045409542.1.p1
OG0000516	XM_001598362.1.p1, XM_001596103.1.p1	XM_045409736.1.p1
OG0000517	XM_001590260.1.p1	XM_045401676.1.p1
OG0000517	XM_001588081.1.p1	XM_045410902.1.p1
OG0000518	XM_001590757.1.p1	XM_045408144.1.p1
OG0000518	XM_001597485.1.p1	XM_045401351.1.p1
OG0000519	XM_001588250.1.p1	XM_045403165.1.p1
OG0000519	XM_001592932.1.p1	XM_045400237.1.p1
OG0000520	XM_001596455.1.p1	XM_045412110.1.p1
OG0000520	XM_001591603.1.p1	XM_045406776.1.p1, XM_045411660.1.p1
OG0000522	XM_001595612.1.p1	XM_045402243.1.p1
OG0000522	XM_001597943.1.p1	XM_045406075.1.p1
OG0000523	XM_001586040.1.p1	XM_045412363.1.p1
OG0000523	XM_001585437.1.p1	XM_045406621.1.p1
OG0000524	XM_001594726.1.p1	XM_045404654.1.p1
OG0000525	XM_001594404.1.p1	XM_045404132.1.p1
OG0000525	XM_001593959.1.p1	XM_045412258.1.p1
OG0000532	XM_001593715.1.p1	XM_045411180.1.p1
OG0000532	XM_001596173.1.p1	XM_045402768.1.p1
OG0000533	XM_001584564.1.p1	XM_045406341.1.p1
OG0000534	XM_001590058.1.p1	XM_045407922.1.p1, XM_045414944.1.p1
OG0000534	XM_001590038.1.p1	XM_045412917.1.p1
OG0000535	XM_001587943.1.p1	XM_045400944.1.p1
OG0000535	XM_001584519.1.p1	XM_045408026.1.p1
OG0000536	XM_001585792.1.p1, XM_001594223.1.p1	XM_045414744.1.p1
OG0000536	XM_001598108.1.p1	XM_045409993.1.p1, XM_045413861.1.p1
OG0000539	XM_001585352.1.p1	XM_045401332.1.p1
OG0000539	XM_001589466.1.p1, XM_001594268.1.p1	XM_045401124.1.p1
OG0000539	XM_001594270.1.p1	XM_045415181.1.p1, XM_045415124.1.p1, XM_045415182.1.p1, XM_045415123.1.p1
OG0000541	XM_001586293.1.p1	XM_045404150.1.p1
OG0000543	XM_001594622.1.p1	XM_045402699.1.p1
OG0000544	XM_001585633.1.p1	XM_045413665.1.p1, XM_045408908.1.p1
OG0000544	XM_001590593.1.p1	XM_045406301.1.p1
OG0000545	XM_001588276.1.p1	XM_045411334.1.p1
OG0000545	XM_001593595.1.p1	XM_045408355.1.p1, XM_045411437.1.p1
OG0000545	XM_001585300.1.p1	XM_045407810.1.p1
OG0000546	XM_001594546.1.p1	XM_045410534.1.p1
OG0000547	XM_001595656.1.p1	XM_045408043.1.p1
OG0000553	XM_001597347.1.p1	XM_045401309.1.p1, XM_045414242.1.p1, XM_045401593.1.p1
OG0000554	XM_001597381.1.p1	XM_045403613.1.p1
OG0000554	XM_001593422.1.p1	XM_045408594.1.p1
OG0000555	XM_001594828.1.p1	XM_045414280.1.p1, XM_045403940.1.p1
OG0000557	XM_001588649.1.p1	XM_045410937.1.p1
OG0000558	XM_001590696.1.p1	XM_045413368.1.p1
OG0000559	XM_001598247.1.p1	XM_045402223.1.p1
OG0000560	XM_001595116.1.p1	XM_045414106.1.p1, XM_045401025.1.p1
OG0000561	XM_001592440.1.p1	XM_045414879.1.p1
OG0000562	XM_001595328.1.p1	XM_045409381.1.p1
OG0000563	XM_001591823.1.p1	XM_045407708.1.p1, XM_045414871.1.p1
OG0000564	XM_001589362.1.p1	XM_045401755.1.p1
OG0000565	XM_001591908.1.p1	XM_045406133.1.p1
OG0000565	XM_001586006.1.p1	XM_045400367.1.p1
OG0000566	XM_001592658.1.p1	XM_045401566.1.p1
OG0000566	XM_001594465.1.p1	XM_045409136.1.p1
OG0000567	XM_001595707.1.p1	XM_045411332.1.p1
OG0000567	XM_001586497.1.p1	XM_045412846.1.p1
OG0000568	XM_001586737.1.p1	XM_045404511.1.p1
OG0000568	XM_001595590.1.p1	XM_045411750.1.p1
OG0000570	XM_001590616.1.p1	XM_045408940.1.p1
OG0000571	XM_001596650.1.p1	XM_045402066.1.p1
OG0000571	XM_001587072.1.p1	XM_045400480.1.p1
OG0000572	XM_001588215.1.p1	XM_045403374.1.p1
OG0000572	XM_001597686.1.p1	XM_045408014.1.p1
OG0000573	XM_001598905.1.p1	XM_045408341.1.p1, XM_045405172.1.p1
OG0000574	XM_001590420.1.p1	XM_045400539.1.p1, XM_045409801.1.p1, XM_045414597.1.p1
OG0000575	XM_001588302.1.p1	XM_045405738.1.p1, XM_045411877.1.p1
OG0000576	XM_001597753.1.p1	XM_045411486.1.p1
OG0000577	XM_001594482.1.p1	XM_045410604.1.p1
OG0000578	XM_001585543.1.p1	XM_045414223.1.p1, XM_045403132.1.p1
OG0000578	XM_001596093.1.p1	XM_045403654.1.p1
OG0000579	XM_001598740.1.p1	XM_045411187.1.p1
OG0000579	XM_001598216.1.p1	XM_045402662.1.p1
OG0000580	XM_001595987.1.p1	XM_045402689.1.p1
OG0000581	XM_001598836.1.p1	XM_045411375.1.p1
OG0000581	XM_001585825.1.p1	XM_045413421.1.p1
OG0000582	XM_001592617.1.p1	XM_045414746.1.p1
OG0000583	XM_001587683.1.p1	XM_045414142.1.p1
OG0000584	XM_001584971.1.p1	XM_045408916.1.p1
OG0000584	XM_001584969.1.p1	XM_045408917.1.p1
OG0000585	XM_001594243.1.p1	XM_045413554.1.p1
OG0000586	XM_001596162.1.p1	XM_045410314.1.p1
OG0000586	XM_001589542.1.p1	XM_045401314.1.p1
OG0000587	XM_001588230.1.p1	XM_045403112.1.p1
OG0000588	XM_001586815.1.p1	XM_045410094.1.p1
OG0000589	XM_001593383.1.p1	XM_045411217.1.p1
OG0000590	XM_001596272.1.p1	XM_045401522.1.p1, XM_045412709.1.p1
OG0000591	XM_001585967.1.p1	XM_045411911.1.p1
OG0000593	XM_001589346.1.p1	XM_045404849.1.p1
OG0000594	XM_001588641.1.p1	XM_045401313.1.p1
OG0000595	XM_001589667.1.p1	XM_045409257.1.p1
OG0000595	XM_001587433.1.p1	XM_045405559.1.p1
OG0000596	XM_001598489.1.p1	XM_045410518.1.p1
OG0000597	XM_001586224.1.p1	XM_045404928.1.p1
OG0000598	XM_001592151.1.p1	XM_045405078.1.p1
OG0000599	XM_001590786.1.p1	XM_045413146.1.p1
OG0000599	XM_001598047.1.p1	XM_045415503.1.p1
OG0000601	XM_001594734.1.p1	XM_045407048.1.p1, XM_045409579.1.p1
OG0000601	XM_001584784.1.p1, XM_001596438.1.p1, XM_001595471.1.p1	XM_045414461.1.p1, XM_045414361.1.p1, XM_045401066.1.p1
OG0000602	XM_001593498.1.p1	XM_045411246.1.p1
OG0000602	XM_001593423.1.p1	XM_045408595.1.p1
OG0000603	XM_001585870.1.p1	XM_045413621.1.p1
OG0000607	XM_001590536.1.p1	XM_045408324.1.p1
OG0000608	XM_001588104.1.p1, XM_001585159.1.p1	XM_045411717.1.p1
OG0000610	XM_001587685.1.p1	XM_045404544.1.p1
OG0000611	XM_001584794.1.p1	XM_045402826.1.p1
OG0000611	XM_001588443.1.p1	XM_045402266.1.p1
OG0000612	XM_001585145.1.p1	XM_045413110.1.p1
OG0000612	XM_001585254.1.p1	XM_045400540.1.p1
OG0000613	XM_001598913.1.p1	XM_045411701.1.p1
OG0000613	XM_001590405.1.p1	XM_045413946.1.p1
OG0000614	XM_001596566.1.p1	XM_045404269.1.p1
OG0000614	XM_001595436.1.p1	XM_045401786.1.p1
OG0000616	XM_001588389.1.p1	XM_045402393.1.p1
OG0000617	XM_001593217.1.p1	XM_045402161.1.p1
OG0000617	XM_001591019.1.p1	XM_045407689.1.p1
OG0000618	XM_001591111.1.p1	XM_045403564.1.p1
OG0000619	XM_001584618.1.p1	XM_045414710.1.p1
OG0000621	XM_001596841.1.p1	XM_045413397.1.p1
OG0000621	XM_001598866.1.p1	XM_045411832.1.p1
OG0000622	XM_001588461.1.p1, XM_001598715.1.p1	XM_045400266.1.p1
OG0000623	XM_001590677.1.p1	XM_045414115.1.p1
OG0000624	XM_001594377.1.p1	XM_045404834.1.p1
OG0000625	XM_001589315.1.p1, XM_001589316.1.p1	XM_045404845.1.p1
OG0000627	XM_001587865.1.p1	XM_045410507.1.p1
OG0000627	XM_001597895.1.p1	XM_045406561.1.p1
OG0000628	XM_001586561.1.p1	XM_045412810.1.p1
OG0000629	XM_001594794.1.p1	XM_045414686.1.p1
OG0000631	XM_001585037.1.p1	XM_045408458.1.p1
OG0000633	XM_001584744.1.p1	XM_045404726.1.p1
OG0000633	XM_001590819.1.p1	XM_045413098.1.p1
OG0000634	XM_001593326.1.p1	XM_045400170.1.p1
OG0000641	XM_001586942.1.p1	XM_045410063.1.p1
OG0000642	XM_001592393.1.p1	XM_045405395.1.p1
OG0000643	XM_001589232.1.p1	XM_045402934.1.p1
OG0000643	XM_001586018.1.p1	XM_045409182.1.p1
OG0000644	XM_001591795.1.p1	XM_045401587.1.p1
OG0000644	XM_001591081.1.p1	XM_045400803.1.p1
OG0000645	XM_001590830.1.p1, XM_001589099.1.p1	XM_045408512.1.p1
OG0000646	XM_001590778.1.p1	XM_045408082.1.p1
OG0000648	XM_001594682.1.p1	XM_045406342.1.p1
OG0000648	XM_001589012.1.p1	XM_045406111.1.p1
