Orthogroup	Sclerotinia_sclerotiorum	Tribolium_castaneum
OG0000756	XM_001587757.1.p1, XM_001588139.1.p1	TC005725.p1
OG0000757	XM_001587731.1.p1	TC007209.p1, TC001944.p1
OG0000758	XM_001587676.1.p1, XM_001591506.1.p1	TC002490.p1
OG0000759	XM_001591970.1.p1, XM_001586952.1.p1	TC011712.p1
OG0000761	XM_001598429.1.p1	TC006755.p1, TC008836.p1
OG0000762	XM_001597935.1.p1	TC031754.p1, TC002367.p1, TC010324.p1, TC033693.p1
OG0000763	XM_001585675.1.p1	TC005314.p1
OG0000764	XM_001591330.1.p1, XM_001595123.1.p1, XM_001587474.1.p1	TC012712.p1
OG0000766	XM_001592782.1.p1	TC032729.p1, TC032801.p1
OG0000769	XM_001596308.1.p1	TC032012.p1
OG0000770	XM_001596306.1.p1	TC000335.p1, TC030578.p1
OG0000771	XM_001589657.1.p1	TC034052.p1, TC012576.p1
OG0000772	XM_001596637.1.p1	TC001418.p1
OG0000776	XM_001597658.1.p1	TC007101.p1, TC011026.p1
OG0000777	XM_001590013.1.p1	TC005232.p1, TC005233.p1
OG0000782	XM_001595201.1.p1	TC031285.p1
OG0000783	XM_001592451.1.p1, XM_001595187.1.p1	TC030668.p1
OG0000784	XM_001587319.1.p1	TC011622.p1, TC011623.p1, TC012854.p1, TC032499.p1, TC003733.p1
OG0000786	XM_001593742.1.p1	TC034370.p1, TC031986.p1, TC031430.p1, TC000928.p1, TC004556.p1
OG0000788	XM_001584792.1.p1	TC033401.p1, TC012342.p1
OG0000789	XM_001591834.1.p1	TC012468.p1, TC012250.p1, TC031226.p1, TC006702.p1
OG0000790	XM_001586535.1.p1	TC011344.p1, TC032124.p1, TC016044.p1, TC001743.p1
OG0000791	XM_001591637.1.p1	TC006094.p1, TC006853.p1, TC013701.p1, TC031364.p1
OG0000793	XM_001589734.1.p1	TC001085.p1
OG0000796	XM_001584508.1.p1	TC007749.p1
OG0000834	XM_001585352.1.p1	TC031057.p1, TC000238.p1, TC007689.p1, TC011522.p1, TC015400.p1, TC015340.p1, TC015339.p1, TC015399.p1, TC015337.p1
OG0000849	XM_001589840.1.p1	TC001817.p1, TC001943.p1
OG0000851	XM_001589260.1.p1, XM_001587235.1.p1	TC014440.p1
OG0000853	XM_001595311.1.p1	TC004374.p1
OG0000855	XM_001593837.1.p1, XM_001585905.1.p1	TC000232.p1
OG0000858	XM_001597475.1.p1	TC002993.p1
OG0000859	XM_001585257.1.p1	TC002959.p1
OG0000862	XM_001591099.1.p1	TC005714.p1
OG0000867	XM_001592118.1.p1	TC007521.p1, TC003711.p1
OG0000868	XM_001597680.1.p1	TC002337.p1, TC030628.p1
OG0000870	XM_001597050.1.p1, XM_001591289.1.p1	TC013181.p1
OG0000871	XM_001596910.1.p1	TC009784.p1
OG0000877	XM_001592045.1.p1	TC006591.p1
OG0000878	XM_001597928.1.p1, XM_001587993.1.p1	TC009929.p1
OG0000880	XM_001590536.1.p1	TC009598.p1
OG0000880	XM_001594619.1.p1	TC009301.p1
OG0000881	XM_001592700.1.p1	TC005593.p1, TC001751.p1
OG0000883	XM_001590066.1.p1	TC006447.p1, TC016200.p1, TC011057.p1
OG0000887	XM_001585183.1.p1	TC008799.p1, TC001037.p1, TC001470.p1
OG0000888	XM_001598811.1.p1	TC030573.p1
OG0000889	XM_001593531.1.p1	TC005794.p1
OG0000890	XM_001594041.1.p1	TC031771.p1, TC010452.p1
OG0000891	XM_001588984.1.p1	TC012524.p1, TC034455.p1, TC015480.p1, TC008473.p1
OG0000894	XM_001588147.1.p1, XM_001584614.1.p1	TC009172.p1
OG0000896	XM_001587430.1.p1	TC000963.p1, TC014465.p1
OG0000897	XM_001584839.1.p1	TC010378.p1
OG0000901	XM_001587500.1.p1, XM_001595026.1.p1	TC011515.p1
OG0000902	XM_001589349.1.p1	TC009808.p1, TC011540.p1, TC001116.p1, TC009779.p1
OG0000903	XM_001589310.1.p1	TC008825.p1
OG0000905	XM_001585490.1.p1	TC005986.p1, TC001166.p1, TC005985.p1, TC034898.p1
OG0000906	XM_001585664.1.p1	TC014984.p1, TC006627.p1, TC003373.p1
OG0000908	XM_001598421.1.p1	TC003488.p1, TC012582.p1, TC012583.p1
OG0000909	XM_001585850.1.p1	TC031208.p1
OG0000910	XM_001585978.1.p1	TC016220.p1
OG0000913	XM_001587954.1.p1	TC006792.p1, TC031962.p1, TC004823.p1
OG0000914	XM_001588938.1.p1, XM_001596624.1.p1	TC033316.p1
OG0000916	XM_001586143.1.p1	TC003222.p1
OG0000918	XM_001585357.1.p1	TC032032.p1, TC034547.p1
OG0000919	XM_001595755.1.p1	TC005370.p1, TC010594.p1, TC010593.p1
OG0000920	XM_001595751.1.p1	TC008002.p1
OG0000921	XM_001586426.1.p1	TC002644.p1
OG0000922	XM_001586461.1.p1	TC002627.p1
OG0000923	XM_001585619.1.p1, XM_001588156.1.p1	TC006844.p1
OG0000924	XM_001588165.1.p1	TC032838.p1, TC033341.p1, TC001613.p1
OG0000925	XM_001588295.1.p1	TC004803.p1, TC005515.p1, TC005618.p1, TC000385.p1
OG0000926	XM_001588337.1.p1	TC012179.p1
OG0000930	XM_001590812.1.p1	TC012437.p1
OG0000931	XM_001590956.1.p1	TC012702.p1
OG0000932	XM_001592461.1.p1	TC014544.p1, TC007193.p1, TC005609.p1
OG0000933	XM_001597308.1.p1, XM_001589184.1.p1	TC003697.p1
OG0000935	XM_001595647.1.p1	TC006028.p1
OG0000935	XM_001597612.1.p1	TC007671.p1
OG0000938	XM_001592787.1.p1	TC011558.p1, TC033222.p1, TC033223.p1, TC007111.p1
OG0000939	XM_001592862.1.p1	TC005573.p1, TC031528.p1, TC012532.p1, TC032748.p1
OG0000941	XM_001589442.1.p1	TC034624.p1
OG0000942	XM_001598561.1.p1	TC002936.p1
OG0000944	XM_001594848.1.p1	TC002240.p1, TC034091.p1, TC011649.p1
OG0000947	XM_001585954.1.p1	TC030629.p1
OG0000948	XM_001585833.1.p1	TC014244.p1, TC004752.p1, TC004751.p1
OG0000950	XM_001594563.1.p1	TC012106.p1
OG0000951	XM_001594629.1.p1	TC012081.p1, TC002268.p1, TC004712.p1
OG0000953	XM_001594828.1.p1	TC032990.p1
OG0000955	XM_001597434.1.p1	TC031427.p1, TC031426.p1, TC032418.p1
OG0000957	XM_001587734.1.p1	TC006819.p1
OG0000959	XM_001586787.1.p1	TC011967.p1
OG0000960	XM_001586733.1.p1	TC034534.p1, TC013530.p1
OG0000961	XM_001586656.1.p1	TC010581.p1, TC034596.p1, TC009324.p1, TC014177.p1
OG0000962	XM_001598410.1.p1	TC032346.p1, TC033053.p1
OG0000963	XM_001598483.1.p1	TC006992.p1, TC009201.p1
OG0000964	XM_001598496.1.p1	TC002806.p1, TC013905.p1, TC004799.p1
OG0000965	XM_001588649.1.p1	TC004789.p1
OG0000966	XM_001598229.1.p1	TC011840.p1, TC033023.p1
OG0000968	XM_001597972.1.p1	TC008408.p1, TC013876.p1
OG0000972	XM_001588168.1.p1	TC030751.p1
OG0000973	XM_001592719.1.p1	TC032570.p1, TC010877.p1
OG0000974	XM_001592931.1.p1	TC013017.p1
OG0000975	XM_001592866.1.p1	TC031214.p1
OG0000980	XM_001597641.1.p1	TC002851.p1
OG0000981	XM_001597094.1.p1	TC005069.p1
OG0000982	XM_001589316.1.p1	TC032013.p1, TC032014.p1
OG0000985	XM_001595306.1.p1	TC004457.p1, TC009322.p1
OG0000986	XM_001595223.1.p1	TC000962.p1, TC004723.p1
OG0000987	XM_001595200.1.p1	TC031489.p1, TC009608.p1
OG0000988	XM_001595146.1.p1, XM_001595145.1.p1	TC007593.p1, TC000957.p1
OG0000989	XM_001595141.1.p1	TC007163.p1
OG0000992	XM_001593447.1.p1	TC012855.p1, TC011647.p1, TC014590.p1
OG0000993	XM_001593871.1.p1, XM_001593870.1.p1	TC010657.p1
OG0000995	XM_001593519.1.p1	TC030744.p1, TC004776.p1
OG0000996	XM_001593992.1.p1	TC006713.p1
OG0000997	XM_001591942.1.p1	TC013301.p1, TC009794.p1, TC034871.p1
OG0000998	XM_001591845.1.p1	TC033432.p1, TC002298.p1, TC001003.p1
OG0000999	XM_001586531.1.p1	TC012303.p1
OG0001000	XM_001591689.1.p1	TC001383.p1, TC010491.p1, TC001036.p1
OG0001001	XM_001591874.1.p1	TC000779.p1, TC002805.p1
OG0001002	XM_001584624.1.p1	TC008844.p1, TC013624.p1
OG0001003	XM_001592200.1.p1	TC034458.p1
OG0001004	XM_001592327.1.p1	TC010805.p1
OG0001006	XM_001596953.1.p1	TC030612.p1
OG0001007	XM_001584905.1.p1	TC016288.p1
OG0001009	XM_001595958.1.p1	TC010408.p1
OG0001012	XM_001588214.1.p1, XM_001588516.1.p1	TC004978.p1
OG0001015	XM_001584676.1.p1, XM_001584677.1.p1	TC011468.p1
OG0001016	XM_001591205.1.p1	TC004426.p1
OG0001017	XM_001591173.1.p1	TC013000.p1
OG0001018	XM_001585294.1.p1, XM_001585295.1.p1	TC010455.p1, TC009817.p1
OG0001019	XM_001585284.1.p1	TC012578.p1, TC009540.p1
OG0001023	XM_001590041.1.p1	TC003450.p1
OG0001024	XM_001590016.1.p1	TC015990.p1
OG0001090	XM_001590376.1.p1	TC013311.p1, TC013312.p1
OG0001092	XM_001591181.1.p1	TC013859.p1, TC005166.p1
OG0001094	XM_001589101.1.p1	TC006488.p1, TC010406.p1, TC002315.p1, TC010405.p1
OG0001095	XM_001589440.1.p1, XM_001589804.1.p1, XM_001591296.1.p1	TC002995.p1, TC013390.p1
OG0001100	XM_001590743.1.p1, XM_001597669.1.p1	TC031060.p1
OG0001102	XM_001585061.1.p1	TC014238.p1
OG0001103	XM_001591526.1.p1, XM_001591784.1.p1	TC006326.p1
OG0001105	XM_001597397.1.p1	TC011620.p1
OG0001107	XM_001594480.1.p1	TC014962.p1
OG0001109	XM_001585917.1.p1	TC014518.p1, TC002919.p1
OG0001110	XM_001585955.1.p1	TC032520.p1, TC003443.p1
OG0001112	XM_001591464.1.p1	TC003883.p1, TC013738.p1
OG0001116	XM_001594527.1.p1	TC011988.p1, TC014418.p1
OG0001117	XM_001584998.1.p1, XM_001597153.1.p1	TC013861.p1
OG0001118	XM_001586044.1.p1	TC008603.p1, TC001964.p1
OG0001120	XM_001588462.1.p1	TC007130.p1
OG0001122	XM_001597684.1.p1	TC003811.p1
OG0001123	XM_001584635.1.p1	TC000954.p1, TC009976.p1
OG0001126	XM_001590247.1.p1	TC013393.p1
OG0001127	XM_001588428.1.p1	TC007191.p1
OG0001128	XM_001593925.1.p1	TC000517.p1, TC000516.p1, TC000515.p1, TC011564.p1
OG0001130	XM_001587646.1.p1	TC002983.p1, TC004501.p1
OG0001131	XM_001585082.1.p1	TC007359.p1
OG0001133	XM_001594912.1.p1	TC009607.p1
OG0001134	XM_001594924.1.p1	TC032736.p1
OG0001138	XM_001590497.1.p1	TC009040.p1
OG0001139	XM_001590455.1.p1	TC032939.p1
OG0001141	XM_001592670.1.p1	TC007447.p1, TC005854.p1
OG0001142	XM_001593681.1.p1	TC032187.p1
OG0001144	XM_001587708.1.p1	TC007113.p1, TC030996.p1
OG0001148	XM_001585144.1.p1	TC012751.p1, TC013479.p1
OG0001149	XM_001598817.1.p1	TC005570.p1
OG0001153	XM_001595209.1.p1	TC011816.p1
OG0001154	XM_001595208.1.p1	TC005107.p1, TC015778.p1, TC009312.p1
OG0001156	XM_001587350.1.p1	TC000301.p1, TC010404.p1
OG0001158	XM_001587379.1.p1	TC003653.p1
OG0001159	XM_001595420.1.p1	TC011556.p1, TC013916.p1
OG0001161	XM_001587391.1.p1	TC007346.p1
OG0001163	XM_001589936.1.p1	TC007943.p1, TC004846.p1, TC032433.p1
OG0001164	XM_001589930.1.p1	TC031384.p1
OG0001165	XM_001587127.1.p1	TC015912.p1
OG0001167	XM_001594750.1.p1	TC013376.p1, TC007465.p1
OG0001168	XM_001591207.1.p1	TC003027.p1, TC002980.p1
OG0001169	XM_001597173.1.p1	TC006652.p1
OG0001170	XM_001588927.1.p1	TC010564.p1
OG0001171	XM_001585198.1.p1	TC012114.p1, TC009503.p1, TC032080.p1
OG0001173	XM_001590773.1.p1, XM_001597586.1.p1	TC009981.p1
OG0001174	XM_001584880.1.p1	TC005123.p1, TC005122.p1
OG0001175	XM_001595039.1.p1	TC013556.p1
OG0001176	XM_001594975.1.p1	TC003754.p1, TC015124.p1, TC031501.p1
OG0001181	XM_001595116.1.p1	TC006469.p1
OG0001182	XM_001595138.1.p1	TC031560.p1, TC003007.p1
OG0001184	XM_001585709.1.p1	TC014636.p1
OG0001185	XM_001585725.1.p1, XM_001585726.1.p1	TC007434.p1
OG0001188	XM_001598491.1.p1	TC032118.p1, TC001571.p1
OG0001190	XM_001598470.1.p1	TC032313.p1, TC014596.p1
OG0001191	XM_001598457.1.p1	TC001202.p1, TC000162.p1
OG0001192	XM_001598068.1.p1	TC000685.p1, TC009935.p1
OG0001197	XM_001586175.1.p1	TC034123.p1, TC006560.p1
OG0001198	XM_001592201.1.p1	TC004720.p1, TC031800.p1
OG0001199	XM_001588110.1.p1	TC009281.p1, TC009279.p1, TC004889.p1
OG0001200	XM_001588126.1.p1	TC014802.p1
OG0001201	XM_001588154.1.p1	TC006408.p1
OG0001204	XM_001590638.1.p1, XM_001584687.1.p1	TC012131.p1
OG0001205	XM_001591027.1.p1	TC030784.p1, TC002688.p1
OG0001207	XM_001590968.1.p1	TC013784.p1, TC005182.p1, TC005204.p1, TC000412.p1
OG0001208	XM_001590875.1.p1	TC011516.p1
OG0001209	XM_001597359.1.p1	TC000466.p1
OG0001211	XM_001597608.1.p1	TC009183.p1, TC010433.p1
OG0001212	XM_001597573.1.p1	TC003562.p1
OG0001213	XM_001584789.1.p1, XM_001597554.1.p1	TC009619.p1
OG0001214	XM_001596686.1.p1	TC014519.p1
OG0001215	XM_001596669.1.p1	TC000059.p1
OG0001217	XM_001598663.1.p1	TC000102.p1, TC010013.p1, TC002415.p1
OG0001221	XM_001593274.1.p1	TC005780.p1
OG0001222	XM_001592923.1.p1	TC005002.p1, TC010339.p1
OG0001223	XM_001592864.1.p1	TC005676.p1, TC007936.p1
OG0001225	XM_001596337.1.p1	TC013480.p1, TC013402.p1, TC013401.p1, TC030580.p1, TC012567.p1
OG0001227	XM_001598294.1.p1	TC003250.p1
OG0001228	XM_001598290.1.p1	TC015057.p1, TC032139.p1
OG0001231	XM_001595857.1.p1, XM_001594846.1.p1	TC013791.p1, TC004948.p1
OG0001233	XM_001594323.1.p1	TC005179.p1
OG0001236	XM_001585968.1.p1	TC001622.p1, TC031106.p1
OG0001237	XM_001585966.1.p1	TC008704.p1
OG0001243	XM_001594145.1.p1	TC033509.p1
OG0001245	XM_001586052.1.p1	TC015591.p1
OG0001247	XM_001594370.1.p1	TC003272.p1, TC006857.p1
OG0001249	XM_001594589.1.p1	TC005937.p1
OG0001253	XM_001594795.1.p1	TC011361.p1
OG0001255	XM_001586190.1.p1	TC003291.p1
OG0001256	XM_001586253.1.p1	TC006624.p1
OG0001259	XM_001597233.1.p1	TC010807.p1
OG0001260	XM_001597285.1.p1	TC013087.p1
OG0001261	XM_001592167.1.p1	TC010882.p1, TC012877.p1
OG0001263	XM_001597570.1.p1	TC005250.p1, TC007848.p1, TC005249.p1
OG0001264	XM_001597610.1.p1	TC011326.p1, TC034331.p1, TC008686.p1
OG0001266	XM_001597151.1.p1, XM_001597150.1.p1	TC013691.p1
OG0001267	XM_001587863.1.p1	TC007211.p1
OG0001268	XM_001587845.1.p1	TC014478.p1
OG0001269	XM_001587764.1.p1	TC030699.p1, TC006701.p1
OG0001270	XM_001587714.1.p1	TC000835.p1
OG0001272	XM_001586768.1.p1	TC007883.p1
OG0001273	XM_001586761.1.p1	TC004596.p1, TC002351.p1
OG0001277	XM_001598301.1.p1	TC034790.p1
OG0001278	XM_001598227.1.p1	TC004389.p1, TC005185.p1
OG0001279	XM_001598205.1.p1	TC013629.p1
OG0001280	XM_001598174.1.p1	TC014437.p1
OG0001281	XM_001598047.1.p1	TC009586.p1
OG0001284	XM_001585770.1.p1	TC003495.p1, TC013519.p1
OG0001285	XM_001590399.1.p1	TC007012.p1
OG0001286	XM_001590377.1.p1	TC008164.p1, TC015925.p1
OG0001288	XM_001588040.1.p1	TC009259.p1, TC000040.p1
OG0001289	XM_001588029.1.p1	TC005308.p1
OG0001290	XM_001595800.1.p1	TC005767.p1, TC002590.p1
OG0001291	XM_001588210.1.p1	TC012903.p1
OG0001292	XM_001593023.1.p1, XM_001593022.1.p1	TC014298.p1, TC030776.p1, TC010849.p1
OG0001293	XM_001593135.1.p1	TC005539.p1
OG0001294	XM_001587203.1.p1	TC000223.p1
OG0001299	XM_001589690.1.p1	TC030670.p1
OG0001303	XM_001589617.1.p1	TC033834.p1
OG0001304	XM_001587939.1.p1	TC005477.p1
OG0001305	XM_001587938.1.p1	TC005134.p1
OG0001307	XM_001597739.1.p1	TC009965.p1
OG0001309	XM_001589278.1.p1	TC011842.p1, TC007765.p1
OG0001310	XM_001589357.1.p1	TC005316.p1
OG0001312	XM_001586551.1.p1	TC012678.p1
OG0001314	XM_001587291.1.p1	TC013788.p1
OG0001315	XM_001587317.1.p1	TC007919.p1
OG0001316	XM_001587423.1.p1	TC014340.p1
OG0001317	XM_001587596.1.p1	TC000767.p1
OG0001322	XM_001593660.1.p1	TC011535.p1
OG0001323	XM_001593911.1.p1	TC006757.p1
OG0001324	XM_001593888.1.p1	TC004387.p1, TC015384.p1
OG0001325	XM_001593740.1.p1	TC010881.p1
OG0001326	XM_001593775.1.p1	TC003567.p1, TC010386.p1, TC015323.p1
OG0001329	XM_001593989.1.p1	TC004633.p1
OG0001331	XM_001591895.1.p1	TC014606.p1, TC012185.p1
OG0001332	XM_001591447.1.p1	TC000610.p1
OG0001333	XM_001591468.1.p1	TC030603.p1, TC013252.p1, TC004399.p1
OG0001334	XM_001586396.1.p1	TC004785.p1, TC014333.p1
OG0001335	XM_001591587.1.p1	TC034299.p1, TC034300.p1
OG0001339	XM_001592224.1.p1	TC009550.p1, TC000577.p1
OG0001341	XM_001592420.1.p1	TC005900.p1, TC031574.p1
OG0001345	XM_001585164.1.p1	TC032478.p1, TC003067.p1, TC003066.p1
OG0001346	XM_001585129.1.p1	TC001108.p1, TC001750.p1
OG0001347	XM_001596113.1.p1	TC015096.p1
OG0001350	XM_001598735.1.p1	TC013573.p1, TC014135.p1
OG0001351	XM_001588623.1.p1	TC014542.p1
OG0001354	XM_001584697.1.p1	TC006472.p1
OG0001355	XM_001584665.1.p1	TC030708.p1, TC030673.p1
OG0001358	XM_001591114.1.p1	TC033135.p1, TC011911.p1
OG0001359	XM_001590918.1.p1	TC009545.p1
OG0001360	XM_001585028.1.p1	TC033342.p1, TC016069.p1, TC005665.p1
OG0001362	XM_001584509.1.p1	TC030755.p1
OG0001367	XM_001585269.1.p1	TC002710.p1, TC007574.p1
OG0001369	XM_001589942.1.p1	TC001566.p1, TC008245.p1
OG0001370	XM_001590062.1.p1	TC000308.p1, TC003912.p1
OG0001371	XM_001590193.1.p1	TC009783.p1
OG0001444	XM_001588050.1.p1	TC010571.p1
OG0001445	XM_001598687.1.p1	TC005530.p1
OG0001447	XM_001585286.1.p1	TC033431.p1
OG0001448	XM_001589012.1.p1	TC000793.p1
OG0001449	XM_001596453.1.p1	TC007156.p1
OG0001452	XM_001592093.1.p1	TC004080.p1, TC003540.p1
OG0001453	XM_001589100.1.p1	TC034663.p1, TC011971.p1
OG0001454	XM_001589263.1.p1	TC009495.p1
OG0001456	XM_001595628.1.p1	TC000617.p1
OG0001458	XM_001588889.1.p1	TC033978.p1
OG0001459	XM_001593996.1.p1	TC006773.p1, TC006501.p1
OG0001460	XM_001598144.1.p1, XM_001595692.1.p1	TC009106.p1
OG0001462	XM_001591824.1.p1	TC011289.p1
OG0001464	XM_001588867.1.p1	TC001210.p1
OG0001466	XM_001595824.1.p1	TC005067.p1
OG0001467	XM_001587882.1.p1	TC031483.p1
OG0001471	XM_001595372.1.p1	TC007602.p1
OG0001472	XM_001596018.1.p1	TC009771.p1
OG0001474	XM_001592593.1.p1	TC031041.p1, TC011557.p1
OG0001475	XM_001592132.1.p1	TC007772.p1
OG0001479	XM_001596742.1.p1	TC014336.p1, TC014754.p1
OG0001481	XM_001585941.1.p1	TC007511.p1
OG0001482	XM_001585409.1.p1	TC013414.p1
OG0001487	XM_001590305.1.p1	TC031634.p1, TC004929.p1
OG0001488	XM_001593705.1.p1	TC009038.p1, TC005864.p1
OG0001489	XM_001588718.1.p1	TC011241.p1
OG0001493	XM_001585594.1.p1	TC002973.p1
OG0001494	XM_001594510.1.p1	TC013489.p1
OG0001495	XM_001586975.1.p1	TC005099.p1
OG0001496	XM_001587002.1.p1	TC031288.p1
OG0001499	XM_001585017.1.p1	TC015710.p1, TC003817.p1
OG0001500	XM_001594183.1.p1	TC015649.p1
OG0001501	XM_001593207.1.p1	TC002743.p1
OG0001502	XM_001595351.1.p1	TC013940.p1
OG0001503	XM_001595355.1.p1	TC002935.p1
OG0001504	XM_001591398.1.p1	TC006559.p1
OG0001507	XM_001594425.1.p1	TC004960.p1
OG0001508	XM_001592943.1.p1, XM_001593640.1.p1	TC002295.p1
OG0001509	XM_001597053.1.p1	TC002371.p1
OG0001510	XM_001597029.1.p1	TC000318.p1, TC000319.p1
OG0001511	XM_001596911.1.p1	TC030666.p1
OG0001512	XM_001590220.1.p1	TC033132.p1, TC007421.p1
OG0001513	XM_001588441.1.p1	TC001561.p1
OG0001514	XM_001588440.1.p1	TC007859.p1, TC007860.p1
OG0001517	XM_001594691.1.p1	TC015839.p1
OG0001520	XM_001593843.1.p1	TC013571.p1
OG0001521	XM_001588826.1.p1	TC002601.p1
OG0001523	XM_001591120.1.p1	TC032030.p1
OG0001524	XM_001589054.1.p1	TC033522.p1, TC032430.p1
OG0001525	XM_001587661.1.p1	TC005987.p1, TC006779.p1
OG0001527	XM_001587608.1.p1	TC014119.p1
OG0001528	XM_001585102.1.p1	TC014627.p1, TC001630.p1
OG0001530	XM_001597912.1.p1	TC010478.p1
OG0001531	XM_001594930.1.p1	TC014107.p1
OG0001533	XM_001584666.1.p1	TC003821.p1
OG0001536	XM_001590534.1.p1	TC000136.p1
OG0001537	XM_001590525.1.p1	TC005650.p1, TC015098.p1
OG0001538	XM_001590495.1.p1	TC008320.p1
OG0001540	XM_001592673.1.p1	TC006568.p1, TC004626.p1
OG0001541	XM_001593680.1.p1	TC004317.p1
OG0001543	XM_001587672.1.p1	TC013405.p1, TC014208.p1
OG0001545	XM_001587075.1.p1	TC033800.p1, TC004013.p1
OG0001546	XM_001590143.1.p1, XM_001590144.1.p1	TC004631.p1
OG0001547	XM_001590139.1.p1	TC004132.p1
OG0001549	XM_001590120.1.p1	TC009664.p1, TC007009.p1
OG0001550	XM_001590106.1.p1	TC011562.p1, TC031503.p1
OG0001552	XM_001590166.1.p1	TC013516.p1
OG0001553	XM_001588060.1.p1	TC013284.p1
OG0001555	XM_001586815.1.p1	TC030720.p1
OG0001560	XM_001598769.1.p1	TC003878.p1, TC001523.p1
OG0001562	XM_001597634.1.p1, XM_001597635.1.p1	TC015701.p1
OG0001566	XM_001593580.1.p1	TC015834.p1
OG0001569	XM_001594034.1.p1	TC009901.p1
OG0001570	XM_001590027.1.p1	TC015731.p1
OG0001571	XM_001590010.1.p1	TC000231.p1, TC008518.p1
OG0001573	XM_001595166.1.p1	TC032003.p1
OG0001578	XM_001587283.1.p1	TC000784.p1
OG0001579	XM_001587327.1.p1	TC033066.p1, TC001209.p1
OG0001583	XM_001595417.1.p1	TC014453.p1
OG0001584	XM_001593378.1.p1	TC000045.p1
OG0001585	XM_001593415.1.p1	TC013491.p1
OG0001588	XM_001587842.1.p1	TC013055.p1, TC030636.p1
OG0001589	XM_001598740.1.p1	TC003279.p1, TC003178.p1
OG0001591	XM_001587402.1.p1	TC002881.p1, TC003451.p1
OG0001592	XM_001587456.1.p1	TC003715.p1
OG0001593	XM_001587490.1.p1	TC014046.p1
OG0001596	XM_001598836.1.p1	TC012094.p1, TC011694.p1
OG0001597	XM_001584821.1.p1	TC005087.p1
OG0001599	XM_001586277.1.p1	TC012451.p1
OG0001600	XM_001586244.1.p1	TC004437.p1
OG0001602	XM_001591197.1.p1	TC013384.p1
OG0001603	XM_001591201.1.p1	TC011841.p1
OG0001604	XM_001588929.1.p1	TC013033.p1
OG0001605	XM_001588928.1.p1	TC005833.p1
OG0001606	XM_001597458.1.p1	TC012563.p1
OG0001607	XM_001590855.1.p1	TC000043.p1, TC011373.p1
OG0001609	XM_001589352.1.p1	TC010320.p1, TC000508.p1
OG0001611	XM_001586739.1.p1	TC004989.p1
OG0001612	XM_001586639.1.p1	TC032169.p1, TC015986.p1
OG0001613	XM_001588098.1.p1	TC031579.p1
OG0001614	XM_001588099.1.p1	TC009532.p1
OG0001616	XM_001595591.1.p1	TC014362.p1, TC004131.p2
OG0001618	XM_001593864.1.p1	TC015150.p1
OG0001619	XM_001593868.1.p1	TC010438.p1
OG0001622	XM_001585343.1.p1, XM_001593969.1.p1	TC016342.p1
OG0001624	XM_001595088.1.p1	TC031506.p1, TC012124.p1
OG0001625	XM_001585466.1.p1	TC009328.p1
OG0001626	XM_001585532.1.p1	TC000028.p1
OG0001627	XM_001585701.1.p1	TC000986.p1
OG0001629	XM_001598499.1.p1	TC013782.p1
OG0001632	XM_001598458.1.p1	TC005644.p1
OG0001633	XM_001596820.1.p1	TC034312.p1
OG0001635	XM_001598035.1.p1	TC009978.p1
OG0001636	XM_001597962.1.p1	TC007717.p1
OG0001637	XM_001585829.1.p1	TC002282.p1
OG0001639	XM_001592025.1.p1	TC011923.p1
OG0001640	XM_001591995.1.p1, XM_001586764.1.p1	TC007642.p1
OG0001641	XM_001597438.1.p1	TC000482.p1
OG0001642	XM_001597258.1.p1	TC003477.p1, TC014980.p1
OG0001643	XM_001597283.1.p1	TC006127.p1
OG0001644	XM_001587985.1.p1	TC013057.p1
OG0001646	XM_001596622.1.p1	TC031495.p1, TC013086.p1
OG0001647	XM_001596566.1.p1	TC006614.p1
OG0001648	XM_001589763.1.p1	TC000970.p1
OG0001649	XM_001596252.1.p1	TC006582.p1, TC034127.p1
OG0001650	XM_001596199.1.p1	TC001676.p1, TC005770.p1
OG0001651	XM_001596168.1.p1	TC032250.p1, TC033868.p1, TC013586.p1
OG0001652	XM_001594674.1.p1	TC013806.p1
OG0001653	XM_001586167.1.p1	TC000688.p1
OG0001654	XM_001586207.1.p1	TC007627.p1, TC002924.p1
OG0001656	XM_001592521.1.p1	TC008221.p1
OG0001657	XM_001597336.1.p1	TC009722.p1
OG0001658	XM_001592238.1.p1	TC010477.p1
OG0001659	XM_001586609.1.p1	TC033310.p1
OG0001660	XM_001595935.1.p1	TC010427.p1
OG0001661	XM_001595936.1.p1	TC012980.p1
OG0001664	XM_001586491.1.p1	TC006728.p1
OG0001665	XM_001586500.1.p1	TC009347.p1
OG0001666	XM_001586512.1.p1	TC014647.p1
OG0001667	XM_001586514.1.p1	TC002876.p1
OG0001668	XM_001588256.1.p1	TC010830.p1, TC001281.p1
OG0001669	XM_001588279.1.p1	TC007199.p1
OG0001670	XM_001588290.1.p1	TC012308.p1
OG0001672	XM_001588307.1.p1	TC001377.p1
OG0001673	XM_001588334.1.p1	TC014210.p1
OG0001674	XM_001588389.1.p1	TC032568.p1
OG0001675	XM_001588390.1.p1	TC030734.p1
OG0001677	XM_001595491.1.p1	TC030725.p1
OG0001679	XM_001590666.1.p1	TC007732.p1, TC004238.p1
OG0001680	XM_001590816.1.p1	TC004675.p1, TC006330.p1
OG0001681	XM_001591018.1.p1	TC007921.p1, TC009926.p1
