Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Verticillium_dahliae_rna_prot
OG0001227	XM_001598832.1.p1	XM_009651653.1.p1
OG0001229	XM_001591967.1.p1	XM_009658716.1.p1
OG0001230	XM_001592257.1.p1	XM_009653610.1.p1
OG0001230	XM_001588431.1.p1	XM_009650403.1.p1, XM_009654860.1.p1, XM_009656485.1.p1
OG0001240	XM_001594806.1.p1	XM_009652805.1.p1
OG0001241	XM_001591997.1.p1	XM_009654181.1.p1
OG0001242	XM_001594852.1.p1, XM_001592817.1.p1	XM_009656481.1.p1
OG0001243	XM_001586524.1.p1	XM_009653808.1.p1
OG0001244	XM_001587402.1.p1	XM_009658653.1.p1
OG0001245	XM_001598019.1.p1	XM_009652295.1.p1
OG0001246	XM_001596306.1.p1	XM_009652017.1.p1
OG0001247	XM_001595279.1.p1	XM_009653325.1.p1
OG0001248	XM_001597052.1.p1	XM_009650565.1.p1
OG0001249	XM_001590861.1.p1	XM_009656895.1.p1
OG0001250	XM_001585219.1.p1	XM_009651243.1.p1
OG0001251	XM_001597911.1.p1	XM_009654798.1.p1
OG0001252	XM_001589710.1.p1	XM_009656591.1.p1
OG0001253	XM_001594361.1.p1	XM_009650545.1.p1
OG0001254	XM_001594431.1.p1	XM_009653602.1.p1
OG0001255	XM_001585594.1.p1	XM_009654153.1.p1
OG0001256	XM_001597117.1.p1	XM_009653617.1.p1
OG0001257	XM_001594378.1.p1	XM_009656887.1.p1
OG0001258	XM_001592670.1.p1	XM_009659097.1.p1
OG0001259	XM_001595026.1.p1	XM_009659805.1.p1
OG0001260	XM_001591210.1.p1	XM_009659816.1.p1
OG0001261	XM_001592688.1.p1	XM_009649806.1.p1
OG0001262	XM_001584906.1.p1	XM_009660013.1.p1
OG0001263	XM_001593392.1.p1	XM_009652946.1.p1
OG0001264	XM_001589375.1.p1	XM_009653219.1.p1
OG0001266	XM_001594795.1.p1	XM_009659711.1.p1
OG0001267	XM_001593062.1.p1	XM_009659164.1.p1
OG0001268	XM_001595596.1.p1	XM_009654024.1.p1
OG0001270	XM_001592691.1.p1	XM_009659514.1.p1
OG0001271	XM_001587646.1.p1	XM_009652206.1.p1
OG0001272	XM_001592903.1.p1	XM_009659921.1.p1
OG0001273	XM_001598707.1.p1	XM_009656437.1.p1
OG0001275	XM_001588945.1.p1	XM_009658732.1.p1
OG0001276	XM_001596955.1.p1	XM_009650867.1.p1
OG0001277	XM_001588770.1.p1	XM_009651512.1.p1
OG0001278	XM_001597610.1.p1	XM_009657094.1.p1
OG0001279	XM_001591890.1.p1	XM_009654251.1.p1
OG0001280	XM_001586262.1.p1	XM_009650580.1.p1
OG0001281	XM_001584702.1.p1	XM_009656661.1.p1
OG0001282	XM_001595958.1.p1	XM_009652377.1.p1
OG0001283	XM_001590433.1.p1	XM_009659612.1.p1
OG0001284	XM_001596034.1.p1	XM_009651330.1.p1
OG0001285	XM_001585904.1.p1	XM_009653150.1.p1
OG0001286	XM_001585616.1.p1	XM_009655795.1.p1
OG0001287	XM_001586319.1.p1	XM_009655367.1.p1
OG0001288	XM_001590210.1.p1	XM_009658697.1.p1
OG0001289	XM_001586984.1.p1	XM_009654729.1.p1
OG0001290	XM_001588613.1.p1	XM_009654010.1.p1
OG0001291	XM_001589450.1.p1	XM_009659189.1.p1, XM_009652362.1.p1
OG0001292	XM_001595039.1.p1	XM_009654674.1.p1
OG0001293	XM_001592260.1.p1	XM_009652638.1.p1
OG0001295	XM_001587939.1.p1	XM_009655142.1.p1
OG0001296	XM_001585953.1.p1	XM_009656754.1.p1
OG0001297	XM_001591937.1.p1	XM_009655199.1.p1
OG0001298	XM_001595056.1.p1	XM_009658555.1.p1
OG0001299	XM_001596175.1.p1	XM_009652477.1.p1
OG0001300	XM_001586937.1.p1	XM_009649754.1.p1
OG0001301	XM_001589470.1.p1	XM_009654230.1.p1
OG0001301	XM_001586397.1.p1	XM_009654221.1.p1
OG0001302	XM_001593610.1.p1	XM_009652504.1.p1
OG0001303	XM_001591817.1.p1	XM_009654202.1.p1
OG0001304	XM_001591192.1.p1	XM_009650163.1.p1
OG0001305	XM_001592167.1.p1	XM_009650357.1.p1
OG0001306	XM_001592155.1.p1	XM_009655630.1.p1
OG0001307	XM_001597316.1.p1	XM_009651100.1.p1
OG0001308	XM_001586167.1.p1	XM_009659850.1.p1
OG0001309	XM_001594213.1.p1	XM_009650719.1.p1
OG0001310	XM_001594188.1.p1	XM_009651049.1.p1
OG0001311	XM_001598187.1.p1	XM_009653010.1.p1, XM_009652387.1.p1
OG0001312	XM_001587817.1.p1, XM_001593839.1.p1	XM_009655532.1.p1, XM_009653116.1.p1
OG0001313	XM_001584723.1.p1	XM_009650700.1.p1
OG0001314	XM_001587845.1.p1	XM_009658414.1.p1
OG0001315	XM_001585518.1.p1	XM_009652265.1.p1
OG0001316	XM_001596129.1.p1	XM_009652449.1.p1
OG0001317	XM_001587842.1.p1	XM_009658423.1.p1
OG0001318	XM_001597396.1.p1	XM_009659475.1.p1
OG0001319	XM_001591640.1.p1	XM_009658933.1.p1
OG0001320	XM_001587379.1.p1	XM_009653445.1.p1
OG0001321	XM_001594406.1.p1, XM_001598936.1.p1	XM_009657006.1.p1
OG0001322	XM_001585388.1.p1	XM_009655244.1.p1
OG0001323	XM_001596853.1.p1	XM_009657363.1.p1
OG0001324	XM_001594829.1.p1	XM_009657003.1.p1
OG0001325	XM_001594327.1.p1	XM_009652232.1.p1, XM_009653084.1.p1
OG0001326	XM_001592619.1.p1	XM_009651349.1.p1
OG0001335	XM_001593152.1.p1	XM_009649825.1.p1
OG0001336	XM_001596324.1.p1	XM_009651722.1.p1
OG0001337	XM_001586758.1.p1	XM_009658186.1.p1
OG0001339	XM_001588334.1.p1	XM_009653611.1.p1, XM_009658271.1.p1
OG0001340	XM_001585646.1.p1	XM_009660086.1.p1
OG0001341	XM_001585322.1.p1	XM_009654189.1.p1
OG0001342	XM_001594850.1.p1	XM_009649984.1.p1
OG0001343	XM_001585832.1.p1	XM_009650048.1.p1
OG0001345	XM_001594772.1.p1	XM_009657056.1.p1
OG0001346	XM_001594790.1.p1	XM_009654400.1.p1
OG0001347	XM_001588165.1.p1	XM_009653886.1.p1
OG0001348	XM_001587711.1.p1	XM_009658400.1.p1
OG0001349	XM_001585733.1.p1	XM_009651879.1.p1
OG0001350	XM_001594034.1.p1	XM_009651526.1.p1
OG0001351	XM_001587708.1.p1	XM_009654069.1.p1
OG0001352	XM_001586665.1.p1	XM_009658443.1.p1
OG0001353	XM_001591623.1.p1	XM_009658759.1.p1
OG0001354	XM_001592719.1.p1	XM_009660152.1.p1
OG0001356	XM_001585187.1.p1	XM_009651770.1.p1
OG0001357	XM_001596863.1.p1	XM_009652571.1.p1
OG0001358	XM_001597450.1.p1	XM_009650890.1.p1
OG0001359	XM_001587161.1.p1	XM_009649915.1.p1
OG0001361	XM_001589944.1.p1	XM_009660115.1.p1, XM_009650601.1.p1
OG0001362	XM_001591944.1.p1	XM_009658718.1.p1
OG0001363	XM_001598194.1.p1	XM_009650418.1.p1
OG0001364	XM_001587004.1.p1	XM_009659224.1.p1
OG0001365	XM_001590890.1.p1	XM_009651790.1.p1
OG0001366	XM_001595151.1.p1	XM_009651714.1.p1
OG0001367	XM_001595176.1.p1	XM_009650829.1.p1
OG0001368	XM_001596704.1.p1	XM_009656928.1.p1
OG0001369	XM_001597173.1.p1	XM_009650886.1.p1
OG0001371	XM_001597570.1.p1	XM_009660132.1.p1
OG0001372	XM_001594988.1.p1	XM_009659721.1.p1
OG0001373	XM_001587954.1.p1	XM_009650296.1.p1
OG0001374	XM_001585514.1.p1	XM_009652485.1.p1
OG0001375	XM_001588248.1.p1	XM_009650134.1.p1
OG0001377	XM_001584620.1.p1	XM_009651350.1.p1
OG0001378	XM_001593740.1.p1	XM_009651500.1.p1
OG0001379	XM_001590461.1.p1	XM_009659943.1.p1
OG0001381	XM_001598755.1.p1	XM_009651573.1.p1
OG0001382	XM_001585252.1.p1	XM_009659964.1.p1, XM_009653781.1.p1
OG0001384	XM_001584676.1.p1	XM_009655874.1.p1
OG0001384	XM_001584677.1.p1	XM_009655873.1.p1
OG0001385	XM_001590507.1.p1	XM_009655470.1.p1
OG0001386	XM_001594603.1.p1	XM_009650746.1.p1
OG0001387	XM_001590581.1.p1	XM_009652752.1.p1
OG0001388	XM_001595837.1.p1	XM_009656403.1.p1
OG0001389	XM_001594385.1.p1	XM_009656890.1.p1
OG0001390	XM_001593629.1.p1	XM_009653300.1.p1
OG0001391	XM_001593760.1.p1	XM_009652968.1.p1
OG0001392	XM_001591018.1.p1	XM_009658700.1.p1
OG0001393	XM_001587430.1.p1	XM_009660050.1.p1
OG0001394	XM_001595447.1.p1	XM_009654813.1.p1
OG0001395	XM_001595940.1.p1	XM_009658038.1.p1
OG0001396	XM_001597306.1.p1	XM_009652592.1.p1
OG0001397	XM_001597458.1.p1	XM_009657172.1.p1
OG0001398	XM_001593321.1.p1	XM_009649940.1.p1
OG0001399	XM_001594283.1.p1	XM_009650855.1.p1
OG0001401	XM_001585941.1.p1	XM_009656734.1.p1
OG0001402	XM_001598084.1.p1	XM_009660081.1.p1
OG0001403	XM_001592896.1.p1, XM_001592895.1.p1, XM_001592891.1.p1, XM_001593282.1.p1	XM_009655852.1.p1, XM_009655851.1.p1
OG0001404	XM_001588050.1.p1	XM_009653230.1.p1
OG0001405	XM_001594368.1.p1	XM_009657104.1.p1
OG0001406	XM_001592275.1.p1	XM_009657407.1.p1
OG0001407	XM_001591124.1.p1	XM_009649776.1.p1
OG0001408	XM_001598811.1.p1	XM_009653256.1.p1
OG0001409	XM_001594864.1.p1	XM_009650610.1.p1
OG0001411	XM_001592806.1.p1	XM_009649847.1.p1
OG0001412	XM_001590469.1.p1	XM_009651799.1.p1
OG0001413	XM_001586280.1.p1	XM_009655108.1.p1, XM_009652253.1.p1, XM_009651807.1.p1
OG0001414	XM_001590169.1.p1	XM_009660105.1.p1
OG0001415	XM_001596226.1.p1	XM_009653985.1.p1
OG0001415	XM_001598472.1.p1	XM_009655354.1.p1
OG0001416	XM_001598452.1.p1	XM_009655347.1.p1
OG0001417	XM_001593177.1.p1	XM_009659918.1.p1
OG0001418	XM_001591514.1.p1	XM_009654282.1.p1
OG0001419	XM_001598681.1.p1	XM_009656633.1.p1
OG0001420	XM_001590398.1.p1	XM_009657052.1.p1
OG0001421	XM_001595574.1.p1	XM_009651620.1.p1
OG0001422	XM_001590100.1.p1	XM_009654589.1.p1
OG0001423	XM_001585238.1.p1	XM_009659972.1.p1
OG0001424	XM_001589412.1.p1	XM_009657551.1.p1
OG0001425	XM_001597305.1.p1	XM_009654145.1.p1
OG0001426	XM_001591173.1.p1	XM_009659488.1.p1
OG0001427	XM_001593871.1.p1	XM_009655961.1.p1
OG0001428	XM_001588090.1.p1	XM_009659385.1.p1
OG0001429	XM_001592111.1.p1	XM_009656465.1.p1
OG0001430	XM_001588184.1.p1	XM_009658018.1.p1
OG0001431	XM_001589594.1.p1	XM_009652475.1.p1
OG0001432	XM_001593969.1.p1	XM_009657443.1.p1
OG0001433	XM_001585693.1.p1, XM_001585692.1.p1	XM_009659830.1.p1
OG0001434	XM_001598003.1.p1	XM_009650432.1.p1
OG0001435	XM_001591027.1.p1	XM_009653830.1.p1
OG0001436	XM_001594967.1.p1	XM_009653628.1.p1
OG0001437	XM_001595220.1.p1, XM_001598482.1.p1	XM_009660187.1.p1
OG0001438	XM_001586526.1.p1	XM_009654186.1.p1
OG0001438	XM_001597135.1.p1	XM_009652176.1.p1
OG0001440	XM_001593418.1.p1	XM_009653419.1.p1
OG0001441	XM_001591502.1.p1	XM_009659313.1.p1
OG0001442	XM_001596523.1.p1	XM_009651702.1.p1
OG0001443	XM_001591497.1.p1	XM_009659318.1.p1
OG0001444	XM_001598154.1.p1	XM_009650329.1.p1
OG0001445	XM_001592332.1.p1	XM_009651148.1.p1
OG0001446	XM_001584964.1.p1	XM_009657430.1.p1
OG0001447	XM_001590454.1.p1	XM_009652070.1.p1
OG0001449	XM_001584927.1.p1	XM_009657541.1.p1
OG0001450	XM_001594323.1.p1	XM_009659511.1.p1
OG0001451	XM_001590785.1.p1	XM_009651915.1.p1
OG0001452	XM_001586975.1.p1	XM_009649899.1.p1
OG0001453	XM_001585709.1.p1	XM_009656921.1.p1
OG0001454	XM_001598339.1.p1	XM_009657708.1.p1
OG0001455	XM_001596308.1.p1	XM_009653177.1.p1
OG0001456	XM_001594827.1.p1	XM_009650574.1.p1
OG0001457	XM_001590966.1.p1	XM_009650849.1.p1
OG0001458	XM_001597544.1.p1	XM_009660094.1.p1
OG0001459	XM_001586602.1.p1	XM_009658915.1.p1
OG0001460	XM_001585269.1.p1	XM_009655200.1.p1
OG0001461	XM_001597434.1.p1	XM_009655691.1.p1
OG0001462	XM_001594600.1.p1	XM_009650734.1.p1
OG0001463	XM_001587116.1.p1	XM_009655832.1.p1
OG0001464	XM_001587145.1.p1	XM_009655991.1.p1
OG0001465	XM_001584616.1.p1	XM_009651352.1.p1
OG0001466	XM_001596624.1.p1	XM_009650951.1.p1
OG0001467	XM_001593377.1.p1	XM_009659034.1.p1, XM_009651622.1.p1
OG0001468	XM_001585179.1.p1	XM_009651248.1.p1
OG0001469	XM_001587568.1.p1	XM_009658595.1.p1
OG0001470	XM_001598483.1.p1	XM_009660211.1.p1
OG0001471	XM_001597927.1.p1	XM_009654681.1.p1
OG0001472	XM_001588144.1.p1	XM_009651613.1.p1
OG0001473	XM_001588083.1.p1	XM_009651643.1.p1
OG0001479	XM_001598015.1.p1	XM_009658502.1.p1
OG0001480	XM_001596614.1.p1	XM_009657117.1.p1
OG0001489	XM_001594695.1.p1	XM_009649936.1.p1
OG0001491	XM_001587628.1.p1	XM_009655051.1.p1
OG0001492	XM_001589157.1.p1	XM_009656936.1.p1
OG0001494	XM_001590871.1.p1	XM_009651071.1.p1
OG0001495	XM_001591501.1.p1	XM_009659314.1.p1
OG0001496	XM_001590486.1.p1	XM_009659700.1.p1
OG0001497	XM_001586720.1.p1	XM_009658281.1.p1
OG0001498	XM_001586789.1.p1	XM_009649764.1.p1
OG0001500	XM_001590999.1.p1	XM_009652835.1.p1
OG0001501	XM_001585424.1.p1	XM_009658735.1.p1
OG0001502	XM_001585986.1.p1	XM_009650799.1.p1
OG0001504	XM_001598066.1.p1	XM_009660030.1.p1
OG0001505	XM_001590355.1.p1	XM_009657635.1.p1
OG0001506	XM_001595083.1.p1	XM_009653297.1.p1
OG0001507	XM_001596353.1.p1	XM_009657556.1.p1
OG0001509	XM_001589211.1.p1	XM_009650591.1.p1
OG0001510	XM_001587247.1.p1	XM_009655002.1.p1, XM_009659080.1.p1
OG0001511	XM_001598741.1.p1	XM_009651575.1.p1
OG0001512	XM_001598889.1.p1	XM_009656381.1.p1, XM_009649876.1.p1
OG0001513	XM_001592873.1.p1	XM_009659106.1.p1
OG0001514	XM_001585948.1.p1	XM_009657968.1.p1
OG0001515	XM_001594183.1.p1	XM_009650046.1.p1
OG0001517	XM_001588211.1.p1	XM_009655913.1.p1
OG0001518	XM_001588256.1.p1	XM_009655811.1.p1
OG0001519	XM_001587131.1.p1	XM_009655994.1.p1
OG0001521	XM_001596692.1.p1	XM_009656917.1.p1
OG0001522	XM_001596697.1.p1	XM_009656910.1.p1
OG0001523	XM_001587383.1.p1	XM_009659807.1.p1
OG0001524	XM_001594990.1.p1	XM_009650323.1.p1
OG0001525	XM_001587317.1.p1	XM_009659338.1.p1
OG0001526	XM_001591706.1.p1	XM_009658937.1.p1
OG0001527	XM_001597417.1.p1	XM_009655616.1.p1
OG0001528	XM_001595463.1.p1	XM_009655408.1.p1
OG0001529	XM_001597439.1.p1	XM_009654780.1.p1
OG0001530	XM_001584603.1.p1	XM_009650430.1.p1
OG0001531	XM_001598262.1.p1	XM_009650204.1.p1
OG0001532	XM_001585492.1.p1	XM_009656408.1.p1
OG0001533	XM_001585528.1.p1	XM_009656599.1.p1
OG0001534	XM_001587067.1.p1	XM_009649949.1.p1
OG0001536	XM_001587085.1.p1	XM_009659202.1.p1
OG0001537	XM_001586965.1.p1	XM_009659239.1.p1
OG0001538	XM_001585028.1.p1	XM_009657078.1.p1
OG0001539	XM_001594194.1.p1	XM_009651048.1.p1
OG0001540	XM_001594424.1.p1	XM_009653601.1.p1
OG0001541	XM_001598499.1.p1	XM_009655252.1.p1
OG0001543	XM_001598769.1.p1	XM_009651519.1.p1
OG0001544	XM_001595965.1.p1	XM_009652369.1.p1
OG0001545	XM_001591563.1.p1	XM_009656458.1.p1
OG0001546	XM_001584892.1.p1	XM_009657434.1.p1
OG0001547	XM_001592560.1.p1	XM_009656865.1.p1
OG0001548	XM_001592711.1.p1	XM_009649808.1.p1
OG0001550	XM_001590263.1.p1	XM_009660157.1.p1
OG0001551	XM_001591912.1.p1	XM_009655181.1.p1
OG0001551	XM_001591910.1.p1	XM_009655180.1.p1
OG0001552	XM_001591114.1.p1	XM_009655767.1.p1
OG0001553	XM_001585770.1.p1	XM_009652115.1.p1
OG0001554	XM_001588826.1.p1	XM_009655281.1.p1, XM_009651466.1.p1
OG0001556	XM_001586500.1.p1	XM_009654273.1.p1
OG0001557	XM_001598314.1.p1	XM_009655833.1.p1
OG0001558	XM_001586489.1.p1	XM_009654688.1.p1
OG0001559	XM_001595680.1.p1	XM_009652845.1.p1
OG0001560	XM_001584921.1.p1	XM_009652799.1.p1
OG0001561	XM_001587460.1.p1	XM_009660068.1.p1
OG0001563	XM_001586244.1.p1	XM_009650888.1.p1
OG0001564	XM_001597736.1.p1	XM_009656384.1.p1
OG0001565	XM_001586785.1.p1	XM_009658421.1.p1
OG0001566	XM_001587857.1.p1	XM_009651282.1.p1
OG0001567	XM_001585586.1.p1	XM_009654155.1.p1
OG0001568	XM_001588032.1.p1	XM_009659414.1.p1
OG0001569	XM_001598533.1.p1	XM_009652826.1.p1
OG0001570	XM_001598009.1.p1	XM_009656371.1.p1
OG0001571	XM_001586005.1.p1	XM_009659586.1.p1
OG0001572	XM_001597978.1.p1	XM_009650325.1.p1
OG0001573	XM_001598381.1.p1	XM_009659723.1.p1
OG0001574	XM_001592452.1.p1	XM_009652600.1.p1
OG0001575	XM_001586034.1.p1	XM_009653133.1.p1
OG0001576	XM_001588787.1.p1	XM_009655848.1.p1
OG0001578	XM_001594733.1.p1	XM_009656274.1.p1
OG0001579	XM_001596911.1.p1	XM_009650811.1.p1
OG0001580	XM_001588446.1.p1	XM_009654126.1.p1
OG0001581	XM_001592716.1.p1	XM_009659096.1.p1
OG0001582	XM_001585389.1.p1	XM_009655242.1.p1
OG0001583	XM_001590383.1.p1	XM_009652959.1.p1
OG0001584	XM_001592184.1.p1	XM_009657193.1.p1
OG0001585	XM_001591668.1.p1	XM_009653662.1.p1
OG0001587	XM_001584989.1.p1	XM_009652712.1.p1
OG0001588	XM_001598638.1.p1	XM_009654651.1.p1
OG0001589	XM_001598421.1.p1	XM_009659340.1.p1
OG0001590	XM_001586317.1.p1	XM_009655369.1.p1
OG0001591	XM_001588337.1.p1	XM_009651667.1.p1
OG0001592	XM_001591465.1.p1	XM_009658884.1.p1
OG0001593	XM_001589357.1.p1	XM_009652844.1.p1
OG0001594	XM_001597642.1.p1	XM_009651752.1.p1
OG0001595	XM_001594480.1.p1	XM_009653717.1.p1
OG0001596	XM_001597634.1.p1	XM_009659825.1.p1
OG0001597	XM_001594887.1.p1	XM_009655421.1.p1
OG0001598	XM_001593169.1.p1	XM_009649978.1.p1
OG0001599	XM_001595351.1.p1	XM_009659345.1.p1
OG0001600	XM_001590984.1.p1	XM_009652839.1.p1
OG0001601	XM_001592341.1.p1	XM_009651139.1.p1
OG0001602	XM_001584934.1.p1	XM_009660056.1.p1
OG0001603	XM_001584607.1.p1	XM_009651362.1.p1
OG0001604	XM_001587107.1.p1	XM_009655729.1.p1
OG0001605	XM_001585121.1.p1	XM_009651855.1.p1
OG0001606	XM_001593391.1.p1	XM_009651579.1.p1
OG0001608	XM_001591914.1.p1	XM_009654691.1.p1
OG0001609	XM_001590202.1.p1	XM_009660125.1.p1
OG0001610	XM_001593541.1.p1	XM_009651421.1.p1
OG0001611	XM_001587790.1.p1	XM_009651270.1.p1
OG0001613	XM_001587935.1.p1, XM_001587936.1.p1	XM_009655139.1.p1
OG0001614	XM_001585306.1.p1	XM_009658929.1.p1
OG0001615	XM_001584605.1.p1	XM_009651367.1.p1
OG0001616	XM_001594984.1.p1	XM_009659727.1.p1
OG0001617	XM_001597285.1.p1	XM_009655661.1.p1
OG0001618	XM_001589352.1.p1	XM_009650932.1.p1
OG0001619	XM_001587176.1.p1	XM_009659151.1.p1
OG0001620	XM_001597684.1.p1	XM_009651981.1.p1
OG0001621	XM_001592537.1.p1, XM_001585007.1.p1	XM_009657661.1.p1
OG0001622	XM_001585761.1.p1	XM_009656851.1.p1
OG0001623	XM_001597189.1.p1	XM_009657149.1.p1
OG0001624	XM_001584840.1.p1	XM_009657946.1.p1
OG0001625	XM_001597024.1.p1	XM_009660163.1.p1
OG0001625	XM_001598302.1.p1	XM_009660182.1.p1
OG0001627	XM_001598735.1.p1	XM_009652877.1.p1
OG0001628	XM_001590916.1.p1	XM_009656785.1.p1, XM_009653007.1.p1
OG0001629	XM_001596143.1.p1	XM_009651364.1.p1
OG0001631	XM_001588224.1.p1	XM_009651666.1.p1
OG0001633	XM_001597348.1.p1	XM_009659474.1.p1
OG0001634	XM_001590949.1.p1	XM_009659465.1.p1
OG0001635	XM_001594583.1.p1	XM_009650629.1.p1
OG0001636	XM_001591692.1.p1	XM_009658891.1.p1
OG0001637	XM_001593662.1.p1	XM_009653716.1.p1, XM_009657373.1.p1, XM_009656117.1.p1, XM_009657743.1.p1
OG0001638	XM_001593822.1.p1	XM_009651505.1.p1
OG0001639	XM_001589214.1.p1	XM_009659828.1.p1
OG0001640	XM_001590005.1.p1	XM_009650652.1.p1
OG0001642	XM_001595175.1.p1	XM_009653412.1.p1
OG0001643	XM_001594880.1.p1	XM_009655361.1.p1
OG0001644	XM_001592354.1.p1	XM_009656376.1.p1
OG0001645	XM_001591061.1.p1	XM_009650725.1.p1
OG0001646	XM_001595519.1.p1	XM_009657428.1.p1
OG0001648	XM_001589622.1.p1	XM_009657840.1.p1
OG0001649	XM_001589054.1.p1	XM_009656771.1.p1
OG0001650	XM_001586535.1.p1	XM_009658797.1.p1
OG0001651	XM_001587633.1.p1	XM_009660063.1.p1
OG0001652	XM_001596506.1.p1	XM_009650485.1.p1
OG0001653	XM_001588927.1.p1	XM_009654755.1.p1
OG0001655	XM_001593345.1.p1	XM_009659555.1.p1
OG0001656	XM_001590149.1.p1	XM_009658691.1.p1
OG0001657	XM_001585417.1.p1	XM_009659328.1.p1
OG0001658	XM_001589660.1.p1	XM_009657828.1.p1
OG0001659	XM_001594992.1.p1	XM_009653280.1.p1
OG0001660	XM_001588943.1.p1	XM_009658734.1.p1
OG0001661	XM_001593670.1.p1	XM_009657900.1.p1
OG0001662	XM_001584854.1.p1	XM_009659797.1.p1
OG0001663	XM_001595755.1.p1	XM_009650406.1.p1
OG0001664	XM_001595822.1.p1	XM_009652091.1.p1
OG0001665	XM_001586803.1.p1	XM_009649730.1.p1
OG0001666	XM_001598872.1.p1	XM_009651418.1.p1
OG0001667	XM_001592467.1.p1	XM_009651108.1.p1
OG0001668	XM_001593029.1.p1	XM_009649823.1.p1
OG0001669	XM_001585163.1.p1	XM_009651246.1.p1
OG0001670	XM_001588398.1.p1	XM_009656645.1.p1
OG0001671	XM_001598414.1.p1	XM_009652829.1.p1
OG0001672	XM_001597380.1.p1	XM_009654031.1.p1
OG0001674	XM_001592252.1.p1	XM_009657308.1.p1
OG0001675	XM_001596085.1.p1	XM_009652277.1.p1
OG0001676	XM_001592934.1.p1	XM_009649964.1.p1
OG0001677	XM_001585846.1.p1	XM_009658727.1.p1
OG0001678	XM_001587393.1.p1	XM_009655290.1.p1
OG0001679	XM_001588168.1.p1	XM_009650120.1.p1
OG0001680	XM_001586872.1.p1	XM_009658351.1.p1
OG0001681	XM_001593299.1.p1	XM_009649835.1.p1
OG0001682	XM_001586639.1.p1	XM_009659639.1.p1
OG0001683	XM_001595338.1.p1	XM_009653380.1.p1
OG0001684	XM_001592337.1.p1	XM_009651144.1.p1
OG0001685	XM_001592409.1.p1	XM_009656866.1.p1
OG0001686	XM_001585532.1.p1	XM_009656666.1.p1
OG0001687	XM_001598229.1.p1	XM_009650516.1.p1
OG0001689	XM_001593582.1.p1	XM_009651416.1.p1
OG0001689	XM_001585628.1.p1	XM_009651046.1.p1
OG0001690	XM_001585778.1.p1	XM_009656854.1.p1
OG0001691	XM_001588440.1.p1	XM_009654129.1.p1
OG0001692	XM_001584910.1.p1	XM_009657537.1.p1
OG0001693	XM_001591043.1.p1	XM_009650696.1.p1
OG0001694	XM_001596686.1.p1	XM_009650689.1.p1
OG0001695	XM_001594204.1.p1	XM_009652312.1.p1
OG0001696	XM_001593962.1.p1	XM_009651656.1.p1
OG0001697	XM_001589617.1.p1	XM_009659703.1.p1
OG0001698	XM_001597629.1.p1	XM_009651738.1.p1
OG0001699	XM_001589149.1.p1	XM_009651744.1.p1
OG0001700	XM_001598246.1.p1	XM_009656626.1.p1
OG0001701	XM_001591929.1.p1	XM_009654203.1.p1
OG0001702	XM_001587596.1.p1	XM_009652264.1.p1
OG0001703	XM_001595758.1.p1	XM_009654044.1.p1
OG0001704	XM_001591634.1.p1	XM_009654179.1.p1
OG0001705	XM_001595225.1.p1	XM_009650340.1.p1
OG0001721	XM_001589322.1.p1	XM_009650944.1.p1
OG0001722	XM_001586788.1.p1	XM_009649761.1.p1
OG0001724	XM_001590840.1.p1	XM_009652733.1.p1
OG0001725	XM_001597394.1.p1	XM_009654035.1.p1
OG0001726	XM_001589936.1.p1	XM_009654962.1.p1, XM_009660177.1.p1, XM_009653040.1.p1
OG0001727	XM_001591137.1.p1	XM_009656005.1.p1
OG0001727	XM_001593237.1.p1	XM_009649925.1.p1
OG0001728	XM_001590382.1.p1	XM_009652958.1.p1
OG0001729	XM_001587382.1.p1	XM_009653447.1.p1
OG0001730	XM_001588187.1.p1	XM_009655779.1.p1
OG0001731	XM_001591843.1.p1	XM_009655212.1.p1
OG0001732	XM_001585968.1.p1	XM_009659534.1.p1
OG0001733	XM_001596326.1.p1	XM_009651721.1.p1
OG0001734	XM_001589885.1.p1	XM_009659935.1.p1
OG0001735	XM_001589025.1.p1	XM_009659596.1.p1
OG0001736	XM_001596497.1.p1	XM_009653432.1.p1
OG0001738	XM_001587146.1.p1	XM_009656678.1.p1
OG0001739	XM_001593621.1.p1	XM_009657979.1.p1
OG0001740	XM_001591824.1.p1	XM_009651705.1.p1
OG0001741	XM_001587709.1.p1	XM_009658433.1.p1
OG0001742	XM_001592521.1.p1	XM_009657260.1.p1
OG0001743	XM_001586642.1.p1	XM_009651189.1.p1
OG0001744	XM_001594510.1.p1	XM_009655403.1.p1
OG0001745	XM_001592516.1.p1	XM_009657315.1.p1
OG0001746	XM_001596949.1.p1	XM_009657197.1.p1
OG0001747	XM_001590666.1.p1	XM_009651240.1.p1
OG0001748	XM_001589278.1.p1	XM_009651775.1.p1
OG0001749	XM_001597157.1.p1	XM_009650222.1.p1
OG0001750	XM_001587513.1.p1	XM_009660039.1.p1
OG0001751	XM_001590998.1.p1	XM_009652834.1.p1
OG0001752	XM_001597420.1.p1	XM_009650192.1.p1
OG0001753	XM_001598799.1.p1	XM_009652941.1.p1
OG0001754	XM_001590525.1.p1	XM_009659886.1.p1
OG0001755	XM_001593055.1.p1	XM_009649929.1.p1
OG0001756	XM_001592679.1.p1	XM_009649944.1.p1
